sequence,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeOEJvhFXgBdmB5mBi?iBcsBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFNlBRhBunB/?rBasB0pB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFNlBamBRiBW?sB0pBXsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFUgBRhBunB/?rBasBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeOEJvhFNlBUhB3iBq?pBxrBzrB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFOlBdmBRiBC?nB0pBXsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Jex/IvhFXhBiiBTkBe?qB9rBcsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFRgB3iBmlBq?rBUnBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Je0/IvhFdmBRiB/pBq?rBTnBOqB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Je0/IvhFdmBRiB2pBq?rBTnBXqB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFamBRiBXlBu?rBcsBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeXAJvhFdmBRiB2pBS?sBzrB0pB
ITZOLJS,O,O,O,X,O,O,O,X,X,X,X,X
ITZOLSJ,O,X,O,X,O,X,X,X,X,X,X,X
ITZOJLS,O,O,O,X,X,O,O,X,X,X,X,X
ITZOJSL,O,O,O,O,X,O,O,X,X,X,X,X
ITZOSLJ,O,O,O,X,O,O,X,X,X,X,X,X
ITZOSJL,O,O,O,X,X,O,X,X,X,X,X,X
ITOLJSZ,O,X,X,X,O,X,X,X,X,X,X,X
ITOLJZS,O,X,X,X,O,X,X,X,X,X,X,X
ITOLSJZ,O,X,X,X,O,X,X,X,X,X,X,X
ITOLSZJ,O,X,X,X,O,X,X,X,X,X,X,X
ITOLZJS,O,X,O,X,O,X,X,X,X,X,X,X
ITOLZSJ,O,X,O,X,O,X,X,X,X,X,X,X
ITOJLSZ,O,X,X,X,X,X,O,O,X,X,X,X
ITOJLZS,O,X,O,X,X,X,O,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,X,O,X,X,X,X,X
ITOJSZL,O,X,X,X,X,X,O,X,X,X,X,X
ITOJZLS,O,O,O,X,X,O,O,X,X,X,X,X
ITOJZSL,O,O,O,X,X,O,O,X,X,X,X,X
ITOSLJZ,O,X,X,X,O,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,O,X,X,X,X,X,X,X
ITOSJLZ,O,X,X,X,X,X,X,X,X,X,X,X
ITOSJZL,O,X,X,X,X,X,X,X,X,X,X,X
ITOSZLJ,O,X,X,X,O,X,X,X,X,X,X,X
ITOSZJL,O,X,X,X,X,X,X,X,X,X,X,X
ITOZLJS,O,O,O,X,O,O,O,X,X,X,X,X
ITOZLSJ,O,X,O,X,O,X,X,X,X,X,X,X
ITOZJLS,O,O,O,X,X,O,O,X,X,X,X,X
ITOZJSL,O,O,O,X,X,O,O,X,X,X,X,X
ITOZSLJ,O,X,O,X,O,X,X,X,X,X,X,X
ITOZSJL,O,O,O,X,X,O,X,X,X,X,X,X
ILTJSZO,O,X,O,X,O,X,X,O,X,X,X,X
ILTJSOZ,X,X,X,X,O,X,X,O,X,X,X,O
ILTJZSO,O,X,O,X,O,X,X,O,X,X,X,X
ILTJZOS,O,X,O,X,O,O,X,X,X,O,X,X
ILTJOSZ,X,X,X,X,O,X,X,O,X,O,X,O
ILTJOZS,X,X,O,X,O,X,X,X,X,O,X,O
ILTSJZO,O,X,X,X,O,X,X,O,X,X,X,X
ILTSJOZ,X,X,X,X,O,X,X,O,X,X,X,O
ILTSZJO,O,X,X,X,O,X,X,X,X,X,O,X
ILTSZOJ,O,X,O,X,O,X,X,X,O,X,X,X
ILTSOJZ,X,X,X,X,O,X,X,X,O,X,X,X
ILTSOZJ,X,X,X,X,O,X,X,X,O,X,X,X
ILTZJSO,O,X,O,X,O,X,X,X,X,X,O,X
ILTZJOS,O,X,O,X,O,O,X,X,X,X,O,X
ILTZSJO,O,X,X,X,O,X,X,X,X,X,O,X
ILTZSOJ,O,X,O,X,O,X,X,X,X,X,X,X
ILTZOJS,O,X,O,X,O,O,X,X,X,X,X,X
ILTZOSJ,O,X,O,X,O,X,X,X,X,X,X,X
ILTOJSZ,O,X,X,X,O,X,X,X,O,O,X,X
ILTOJZS,O,X,X,X,O,X,X,X,X,O,X,X
ILTOSJZ,O,X,X,X,O,X,X,X,O,O,X,X
ILTOSZJ,O,X,X,X,O,X,X,X,O,X,X,X
ILTOZJS,O,X,O,X,O,X,X,X,X,O,X,X
ILTOZSJ,O,X,O,X,O,X,X,X,O,X,X,X
ILJTSZO,O,X,O,X,O,X,X,O,X,X,X,X
ILJTSOZ,X,X,X,X,O,X,X,O,X,X,X,O
ILJTZSO,O,X,O,X,O,X,X,O,X,X,X,X
ILJTZOS,O,X,O,X,O,X,X,X,X,O,X,X
ILJTOSZ,X,X,X,X,O,X,X,O,X,O,X,O
ILJTOZS,X,X,O,X,O,X,X,X,X,O,X,O
ILJSTZO,X,X,O,X,O,X,X,O,X,X,X,X
ILJSTOZ,X,X,X,X,O,X,X,O,X,X,X,O
ILJSZTO,X,X,O,X,O,X,X,X,X,X,X,X
ILJSZOT,X,X,X,X,X,X,X,X,X,X,X,X
ILJSOTZ,X,X,X,X,O,X,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,X,X,X,X,X,X
ILJZTSO,O,X,O,X,O,X,X,X,X,X,X,X
ILJZTOS,O,X,O,X,O,X,X,X,X,O,X,X
ILJZSTO,O,X,O,X,O,X,X,X,X,X,X,X
ILJZSOT,X,X,X,X,X,X,X,X,X,X,X,X
ILJZOTS,O,X,O,X,X,X,X,X,X,O,X,X
ILJZOST,X,X,X,X,X,X,X,X,X,O,X,X
ILJOTSZ,X,X,X,X,O,X,X,X,X,O,X,X
ILJOTZS,X,X,O,X,O,X,X,X,X,O,X,X
ILJOSTZ,X,X,X,X,O,X,X,X,X,O,X,X
ILJOSZT,X,X,X,X,X,X,X,X,X,O,X,X
ILJOZTS,X,X,O,X,X,X,X,X,X,O,X,X
ILJOZST,X,X,X,X,X,X,X,X,X,O,X,X
ILSTJZO,X,X,X,X,O,O,X,O,X,X,X,X
ILSTJOZ,X,X,X,X,O,O,X,O,X,X,X,X
ILSTZJO,X,X,X,X,O,O,X,X,X,X,O,X
ILSTZOJ,X,X,O,X,O,O,X,X,O,X,X,X
ILSTOJZ,X,X,X,X,O,O,X,X,O,X,X,X
ILSTOZJ,X,X,X,X,O,O,X,X,O,X,X,X
ILSJTZO,X,X,X,X,O,O,X,O,X,X,X,X
ILSJTOZ,X,X,X,X,O,O,X,O,X,X,X,X
ILSJZTO,X,X,X,X,O,O,X,X,X,X,X,X
ILSJZOT,X,X,X,X,X,O,X,X,X,X,X,X
ILSJOTZ,X,X,X,X,O,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X,X,X,X,X
ILSZTJO,X,X,X,X,O,O,X,X,X,X,O,X
ILSZTOJ,X,X,O,X,O,O,X,X,O,X,X,X
ILSZJTO,X,X,X,X,O,O,X,X,X,X,O,X
ILSZJOT,X,X,X,X,X,O,X,X,X,X,O,X
ILSZOTJ,X,X,X,X,X,O,X,X,O,X,X,X
ILSZOJT,X,X,X,X,X,O,X,X,O,X,X,X
ILSOTJZ,X,X,X,X,O,O,X,O,O,X,X,X
ILSOTZJ,X,X,X,X,O,O,X,X,O,X,X,X
ILSOJTZ,X,X,X,X,O,X,X,O,O,X,X,X
ILSOJZT,X,X,X,X,X,X,X,X,O,X,X,X
ILSOZTJ,X,X,X,X,X,O,X,X,O,X,X,X
ILSOZJT,X,X,X,X,X,O,X,X,O,X,X,X
ILZTJSO,O,X,O,X,O,X,X,X,X,X,O,X
ILZTJOS,O,X,O,X,O,O,X,X,X,X,O,X
ILZTSJO,O,X,X,X,O,X,X,X,X,X,O,X
ILZTSOJ,O,X,O,X,O,X,X,X,X,X,X,X
ILZTOJS,O,X,O,X,O,O,X,X,X,X,X,X
ILZTOSJ,O,X,O,X,O,X,X,X,X,X,X,X
ILZJTSO,O,X,O,X,O,X,X,X,X,X,O,X
ILZJTOS,O,X,O,X,O,X,X,X,X,X,O,X
ILZJSTO,O,X,O,X,O,X,X,X,X,X,O,X
ILZJSOT,X,X,X,X,X,X,X,X,X,X,O,X
ILZJOTS,O,X,O,X,X,X,X,X,X,X,O,X
ILZJOST,O,X,X,X,X,X,X,X,X,X,O,X
ILZSTJO,O,X,X,X,O,O,X,X,X,X,O,X
ILZSTOJ,O,X,O,X,O,O,X,X,X,X,X,X
ILZSJTO,O,X,X,X,O,O,X,X,X,X,O,X
ILZSJOT,X,X,X,X,X,O,X,X,X,X,O,X
ILZSOTJ,O,X,X,X,X,O,X,X,X,X,X,X
ILZSOJT,O,X,X,X,X,O,X,X,X,X,X,X
ILZOTJS,O,X,O,X,X,O,X,X,X,X,X,X
ILZOTSJ,O,X,O,X,X,X,X,X,X,X,X,X
ILZOJTS,O,X,O,X,X,X,X,X,X,X,X,X
ILZOJST,O,X,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,O,X,X,X,X,O,X,X,X,X,X,X
ILZOSJT,O,X,X,X,X,O,X,X,X,X,X,X
ILOTJSZ,O,X,X,X,O,X,X,O,O,O,X,X
ILOTJZS,O,X,X,X,O,X,X,O,X,O,X,X
ILOTSJZ,O,X,X,X,O,X,X,O,O,O,X,X
ILOTSZJ,O,X,X,X,O,X,X,X,O,X,X,X
ILOTZJS,O,X,O,X,O,X,X,X,X,O,X,X
ILOTZSJ,O,X,O,X,O,X,X,X,O,X,X,X
ILOJTSZ,O,X,X,X,O,X,X,O,O,O,X,X
ILOJTZS,O,X,X,X,O,X,X,O,X,O,X,X
ILOJSTZ,X,X,X,X,O,X,X,O,O,O,X,X
ILOJSZT,X,X,X,X,X,X,X,X,O,O,X,X
ILOJZTS,O,X,X,X,X,X,X,X,X,O,X,X
ILOJZST,O,X,X,X,X,X,X,X,X,O,X,X
ILOSTJZ,X,X,X,X,O,X,X,O,O,O,X,X
ILOSTZJ,X,X,X,X,O,X,X,X,O,X,X,X
ILOSJTZ,X,X,X,X,O,X,X,O,O,O,X,X
ILOSJZT,X,X,X,X,X,X,X,X,O,O,X,X
ILOSZTJ,X,X,X,X,X,X,X,X,O,X,X,X
ILOSZJT,X,X,X,X,X,X,X,X,O,X,X,X
ILOZTJS,O,X,O,X,X,X,X,X,X,O,X,X
ILOZTSJ,O,X,O,X,X,X,X,X,O,X,X,X
ILOZJTS,O,X,X,X,X,X,X,X,X,O,X,X
ILOZJST,O,X,X,X,X,X,X,X,X,O,X,X
ILOZSTJ,O,X,X,X,X,X,X,X,O,X,X,X
ILOZSJT,O,X,X,X,X,X,X,X,O,X,X,X
IJTLSZO,O,X,O,X,O,X,O,O,X,X,X,X
IJTLSOZ,X,X,X,X,O,X,X,O,X,X,X,O
IJTLZSO,O,X,O,X,O,X,O,O,X,X,X,X
IJTLZOS,O,O,O,X,O,O,O,X,X,O,X,X
IJTLOSZ,X,X,X,X,O,X,X,O,X,O,X,O
IJTLOZS,X,X,O,X,O,X,X,X,X,O,X,O
IJTSLZO,O,O,O,O,O,X,O,O,X,X,X,X
IJTSLOZ,X,O,X,O,O,X,X,O,X,X,X,O
IJTSZLO,O,O,O,O,O,X,O,X,X,X,X,X
IJTSZOL,O,O,O,O,X,O,O,X,X,X,X,X
IJTSOLZ,X,X,X,X,X,X,O,X,X,X,X,X
IJTSOZL,O,O,X,O,X,X,O,X,X,X,X,X
IJTZLSO,O,X,O,O,O,X,O,O,X,X,X,X
IJTZLOS,O,O,O,X,O,O,O,X,X,O,X,X
IJTZSLO,O,O,O,O,O,X,O,X,X,X,X,X
IJTZSOL,O,O,O,O,X,O,O,X,X,X,X,X
IJTZOLS,O,O,O,X,X,O,O,X,X,X,X,X
IJTZOSL,O,O,O,O,X,O,O,X,X,X,X,X
IJTOLSZ,O,X,X,X,X,X,O,O,X,X,X,X
IJTOLZS,O,X,O,X,X,X,O,X,X,X,X,X
IJTOSLZ,O,X,X,X,X,X,O,X,X,X,X,X
IJTOSZL,O,X,X,X,X,X,O,X,X,X,X,X
IJTOZLS,O,O,O,X,X,O,O,X,X,X,X,X
IJTOZSL,O,O,O,X,X,O,O,X,X,X,X,X
IJLTSZO,O,X,O,X,O,X,O,O,X,X,X,X
IJLTSOZ,X,X,X,X,O,X,X,O,X,X,X,O
IJLTZSO,O,X,O,X,O,X,O,O,X,X,X,X
IJLTZOS,O,X,O,X,O,X,O,X,X,O,X,X
IJLTOSZ,X,X,X,X,O,X,X,O,X,O,X,O
IJLTOZS,X,X,O,X,O,X,X,X,X,O,X,O
IJLSTZO,X,X,O,X,O,X,O,O,X,X,X,X
IJLSTOZ,X,X,X,X,O,X,X,O,X,X,X,O
IJLSZTO,X,X,O,X,O,X,X,X,X,X,X,X
IJLSZOT,X,X,X,X,X,X,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,O,X,X,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X,X,X,X
IJLZTSO,O,X,O,X,O,X,O,X,X,X,X,X
IJLZTOS,O,X,O,X,O,X,O,X,X,O,X,X
IJLZSTO,O,X,O,X,O,X,O,X,X,X,X,X
IJLZSOT,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOTS,O,X,O,X,X,X,O,X,X,O,X,X
IJLZOST,X,X,X,X,X,X,X,X,X,O,X,X
IJLOTSZ,X,X,X,X,O,X,X,X,X,O,X,X
IJLOTZS,X,X,O,X,O,X,X,X,X,O,X,X
IJLOSTZ,X,X,X,X,O,X,X,X,X,O,X,X
IJLOSZT,X,X,X,X,X,X,X,X,X,O,X,X
IJLOZTS,X,X,O,X,X,X,X,X,X,O,X,X
IJLOZST,X,X,X,X,X,X,X,X,X,O,X,X
IJSTLZO,O,O,O,O,O,O,O,O,X,X,X,X
IJSTLOZ,X,O,X,O,O,X,X,O,X,X,X,O
IJSTZLO,O,O,O,O,O,O,O,X,X,X,X,X
IJSTZOL,O,O,O,O,X,O,O,X,X,X,X,X
IJSTOLZ,X,X,X,O,X,X,O,X,X,X,X,X
IJSTOZL,O,O,X,O,X,O,O,X,X,X,X,X
IJSLTZO,X,O,O,O,O,O,O,O,X,X,X,X
IJSLTOZ,X,O,X,O,O,O,X,O,X,X,X,O
IJSLZTO,X,O,O,O,O,O,X,X,X,X,X,X
IJSLZOT,X,O,X,O,X,O,X,X,X,X,X,X
IJSLOTZ,X,O,X,O,O,X,X,X,X,X,X,X
IJSLOZT,X,O,X,O,X,X,X,X,X,X,X,X
IJSZTLO,O,O,O,O,O,O,O,X,X,X,X,X
IJSZTOL,O,O,O,O,X,O,O,X,X,X,X,X
IJSZLTO,O,O,O,X,X,O,O,X,X,X,X,X
IJSZLOT,X,O,X,X,X,O,X,X,X,X,X,X
IJSZOTL,X,O,O,O,X,O,X,X,X,X,X,X
IJSZOLT,X,O,X,X,X,O,X,X,X,X,X,X
IJSOTLZ,X,X,X,O,X,X,O,X,X,X,X,X
IJSOTZL,X,O,X,O,X,X,O,X,X,X,X,X
IJSOLTZ,X,X,X,O,X,X,O,X,X,X,X,X
IJSOLZT,X,X,X,O,X,X,X,X,X,X,X,X
IJSOZTL,X,O,X,O,X,X,O,X,X,X,X,X
IJSOZLT,X,X,X,X,X,X,X,X,X,X,X,X
IJZTLSO,O,X,O,X,O,X,O,X,X,X,X,X
IJZTLOS,O,O,O,X,O,O,O,X,X,O,X,X
IJZTSLO,O,O,O,X,O,X,O,X,X,X,X,X
IJZTSOL,O,O,O,X,X,O,O,X,X,X,X,X
IJZTOLS,O,O,O,X,X,O,O,X,X,X,X,X
IJZTOSL,O,O,O,X,X,O,O,X,X,X,X,X
IJZLTSO,O,X,O,X,X,X,O,X,X,X,X,X
IJZLTOS,O,X,O,X,X,X,O,X,X,O,X,X
IJZLSTO,O,X,O,X,X,X,O,X,X,X,X,X
IJZLSOT,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOTS,O,X,O,X,X,X,O,X,X,O,X,X
IJZLOST,O,X,X,X,X,X,O,X,X,O,X,X
IJZSTLO,O,O,O,X,O,O,O,X,X,X,X,X
IJZSTOL,O,O,O,X,X,O,O,X,X,X,X,X
IJZSLTO,O,O,O,X,X,O,O,X,X,X,X,X
IJZSLOT,X,O,X,X,X,O,X,X,X,X,X,X
IJZSOTL,X,O,O,X,X,O,X,X,X,X,X,X
IJZSOLT,X,O,X,X,X,O,X,X,X,X,X,X
IJZOTLS,O,O,O,X,X,O,O,X,X,X,X,X
IJZOTSL,O,O,O,X,X,O,O,X,X,X,X,X
IJZOLTS,O,X,O,X,X,X,O,X,X,O,X,X
IJZOLST,O,X,X,X,X,X,O,X,X,O,X,X
IJZOSTL,O,O,O,X,X,O,O,X,X,X,X,X
IJZOSLT,O,O,X,X,X,O,O,X,X,X,X,X
IJOTLSZ,O,X,X,X,X,X,O,X,X,X,X,X
IJOTLZS,O,X,O,X,X,X,O,X,X,X,X,X
IJOTSLZ,O,X,X,O,X,X,O,X,X,X,X,X
IJOTSZL,O,X,X,O,X,X,O,X,X,X,X,X
IJOTZLS,O,X,O,O,X,X,O,X,X,X,X,X
IJOTZSL,O,X,O,O,X,X,O,X,X,X,X,X
IJOLTSZ,O,X,X,X,X,X,O,X,X,O,X,X
IJOLTZS,O,X,O,X,X,X,O,X,X,O,X,X
IJOLSTZ,X,X,X,X,X,X,O,X,X,O,X,X
IJOLSZT,X,X,X,X,X,X,X,X,X,O,X,X
IJOLZTS,O,X,O,X,X,X,O,X,X,O,X,X
IJOLZST,O,X,X,X,X,X,O,X,X,O,X,X
IJOSTLZ,O,X,X,O,X,X,O,X,X,X,X,X
IJOSTZL,O,X,X,O,X,X,O,X,X,X,X,X
IJOSLTZ,X,X,X,O,X,X,O,X,X,X,X,X
IJOSLZT,X,X,X,O,X,X,X,X,X,X,X,X
IJOSZTL,O,X,X,O,X,X,O,X,X,X,X,X
IJOSZLT,O,X,X,X,X,X,O,X,X,X,X,X
IJOZTLS,O,X,O,X,X,X,O,X,X,X,X,X
IJOZTSL,O,X,O,X,X,X,O,X,X,X,X,X
IJOZLTS,O,X,O,X,X,X,O,X,X,O,X,X
IJOZLST,O,X,X,X,X,X,O,X,X,O,X,X
IJOZSTL,O,X,O,X,X,X,O,X,X,X,X,X
IJOZSLT,O,X,X,X,X,X,O,X,X,X,X,X
ISTLJZO,O,O,X,O,O,O,X,O,X,X,X,X
ISTLJOZ,X,O,X,O,O,O,X,O,X,X,X,X
ISTLZJO,O,O,X,O,O,O,O,X,X,X,O,X
ISTLZOJ,O,O,O,O,O,O,O,X,O,X,X,X
ISTLOJZ,X,O,X,O,O,O,X,X,O,X,X,X
ISTLOZJ,X,O,X,O,O,O,X,X,O,X,X,X
ISTJLZO,O,O,O,O,O,O,O,O,X,X,X,X
ISTJLOZ,X,O,X,O,O,O,X,O,X,X,X,X
ISTJZLO,O,O,O,O,O,O,O,X,X,X,X,X
ISTJZOL,O,O,O,O,X,O,O,X,X,X,X,X
ISTJOLZ,X,X,X,O,X,X,O,X,X,X,X,X
ISTJOZL,O,O,X,O,X,O,O,X,X,X,X,X
ISTZLJO,O,O,X,O,O,O,O,X,X,X,O,X
ISTZLOJ,O,O,O,O,O,O,O,X,O,X,X,X
ISTZJLO,O,O,O,O,O,O,O,X,X,X,O,X
ISTZJOL,O,O,O,O,X,O,O,X,X,X,O,X
ISTZOLJ,O,O,O,X,O,O,O,X,X,X,X,X
ISTZOJL,O,O,O,O,X,O,X,X,X,X,X,X
ISTOLJZ,O,X,X,O,O,X,X,X,X,X,X,X
ISTOLZJ,O,X,X,O,O,X,X,X,X,X,X,X
ISTOJLZ,O,X,X,O,X,X,X,X,X,X,X,X
ISTOJZL,O,O,X,O,X,O,X,X,X,X,X,X
ISTOZLJ,O,O,X,O,O,O,O,X,X,X,X,X
ISTOZJL,O,O,X,O,X,O,X,X,X,X,X,X
ISLTJZO,X,O,X,O,O,O,X,O,X,X,X,X
ISLTJOZ,X,O,X,O,O,O,X,O,X,X,X,X
ISLTZJO,X,O,X,O,O,O,O,X,X,X,O,X
ISLTZOJ,X,O,O,O,O,O,O,X,O,X,X,X
ISLTOJZ,X,O,X,O,O,O,X,X,O,X,X,X
ISLTOZJ,X,O,X,O,O,O,X,X,O,X,X,X
ISLJTZO,X,O,X,O,O,O,X,O,X,X,X,X
ISLJTOZ,X,O,X,O,O,O,X,O,X,X,X,X
ISLJZTO,X,O,X,O,O,O,X,X,X,X,X,X
ISLJZOT,X,O,X,O,X,O,X,X,X,X,X,X
ISLJOTZ,X,O,X,O,O,X,X,X,X,X,X,X
ISLJOZT,X,O,X,O,X,X,X,X,X,X,X,X
ISLZTJO,X,O,X,O,O,O,X,X,X,X,O,X
ISLZTOJ,X,O,O,O,O,O,X,X,O,X,X,X
ISLZJTO,X,O,X,O,O,O,X,X,X,X,O,X
ISLZJOT,X,O,X,O,X,O,X,X,X,X,O,X
ISLZOTJ,X,O,X,O,X,O,X,X,O,X,X,X
ISLZOJT,X,O,X,O,X,O,X,X,O,X,X,X
ISLOTJZ,X,O,X,O,O,O,X,O,O,X,X,X
ISLOTZJ,X,O,X,O,O,O,X,X,O,X,X,X
ISLOJTZ,X,O,X,O,O,X,X,O,O,X,X,X
ISLOJZT,X,O,X,O,X,X,X,X,O,X,X,X
ISLOZTJ,X,O,X,O,X,O,X,X,O,X,X,X
ISLOZJT,X,O,X,O,X,O,X,X,O,X,X,X
ISJTLZO,O,O,O,O,O,O,O,O,X,X,X,X
ISJTLOZ,X,O,X,O,O,X,X,O,X,X,X,X
ISJTZLO,O,O,O,O,O,O,O,X,X,X,X,X
ISJTZOL,O,O,O,O,X,O,O,X,X,X,X,X
ISJTOLZ,X,X,X,O,X,X,O,X,X,X,X,X
ISJTOZL,O,O,X,O,X,O,O,X,X,X,X,X
ISJLTZO,X,O,O,O,O,O,O,O,X,X,X,X
ISJLTOZ,X,O,X,O,O,O,X,O,X,X,X,X
ISJLZTO,X,O,O,O,O,O,X,X,X,X,X,X
ISJLZOT,X,O,X,O,X,O,X,X,X,X,X,X
ISJLOTZ,X,O,X,O,O,X,X,X,X,X,X,X
ISJLOZT,X,O,X,O,X,X,X,X,X,X,X,X
ISJZTLO,O,O,O,O,O,O,O,X,X,X,X,X
ISJZTOL,O,O,O,O,X,O,O,X,X,X,X,X
ISJZLTO,O,O,O,X,X,O,X,X,X,X,X,X
ISJZLOT,X,O,X,X,X,O,X,X,X,X,X,X
ISJZOTL,X,O,O,O,X,O,X,X,X,X,X,X
ISJZOLT,X,O,X,X,X,O,X,X,X,X,X,X
ISJOTLZ,X,X,X,O,X,X,O,X,X,X,X,X
ISJOTZL,X,O,X,O,X,X,O,X,X,X,X,X
ISJOLTZ,X,X,X,O,X,X,O,X,X,X,X,X
ISJOLZT,X,X,X,O,X,X,X,X,X,X,X,X
ISJOZTL,X,O,X,O,X,X,O,X,X,X,X,X
ISJOZLT,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,O,X,O,O,O,O,X,X,X,O,X
ISZTLOJ,O,O,O,X,O,O,O,X,O,X,X,X
ISZTJLO,O,O,O,O,O,O,O,X,X,X,O,X
ISZTJOL,O,O,O,O,X,O,X,X,X,X,O,X
ISZTOLJ,O,O,O,X,O,O,O,X,X,X,X,X
ISZTOJL,O,O,O,O,X,O,X,X,X,X,X,X
ISZLTJO,O,O,X,X,O,O,X,X,X,X,O,X
ISZLTOJ,O,O,O,X,O,O,X,X,O,X,X,X
ISZLJTO,O,O,X,X,O,O,X,X,X,X,O,X
ISZLJOT,X,O,X,X,X,O,X,X,X,X,O,X
ISZLOTJ,O,O,X,X,X,O,X,X,O,X,X,X
ISZLOJT,O,O,X,X,X,O,X,X,O,X,X,X
ISZJTLO,O,O,O,O,O,O,X,X,X,X,O,X
ISZJTOL,O,O,O,O,X,O,X,X,X,X,O,X
ISZJLTO,O,O,O,X,X,O,X,X,X,X,O,X
ISZJLOT,X,O,X,X,X,O,X,X,X,X,O,X
ISZJOTL,X,O,O,O,X,O,X,X,X,X,O,X
ISZJOLT,X,O,X,X,X,O,X,X,X,X,O,X
ISZOTLJ,O,O,O,O,O,O,X,X,X,X,X,X
ISZOTJL,O,O,O,O,X,O,X,X,X,X,X,X
ISZOLTJ,O,O,X,X,X,O,X,X,O,X,X,X
ISZOLJT,O,O,X,X,X,O,X,X,O,X,X,X
ISZOJTL,O,O,O,O,X,O,X,X,X,X,X,X
ISZOJLT,O,O,X,X,X,O,X,X,X,X,X,X
ISOTLJZ,O,X,X,O,O,X,X,O,X,X,X,X
ISOTLZJ,O,X,X,O,O,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,O,X,X,X,O,X,X,X,X
ISOTJZL,O,O,X,O,X,O,X,X,X,X,X,X
ISOTZLJ,O,O,X,O,O,O,O,X,X,X,X,X
ISOTZJL,O,O,X,O,X,O,X,X,X,X,X,X
ISOLTJZ,X,X,X,O,O,O,X,O,O,X,X,X
ISOLTZJ,X,X,X,O,O,O,X,X,O,X,X,X
ISOLJTZ,X,X,X,O,O,X,X,O,O,X,X,X
ISOLJZT,X,X,X,O,X,X,X,X,O,X,X,X
ISOLZTJ,X,X,X,O,X,O,X,X,O,X,X,X
ISOLZJT,X,X,X,O,X,O,X,X,O,X,X,X
ISOJTLZ,O,X,X,O,X,X,X,O,X,X,X,X
ISOJTZL,O,O,X,O,X,X,X,X,X,X,X,X
ISOJLTZ,X,X,X,O,X,X,X,O,X,X,X,X
ISOJLZT,X,X,X,O,X,X,X,X,X,X,X,X
ISOJZTL,O,O,X,O,X,X,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,O,X,O,O,O,X,X,X,X,X,X
ISOZTJL,O,O,X,O,X,O,X,X,X,X,X,X
ISOZLTJ,O,X,X,X,X,O,X,X,O,X,X,X
ISOZLJT,O,X,X,X,X,O,X,X,O,X,X,X
ISOZJTL,O,O,X,O,X,O,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,O,X,X,X,X,X,X
IZTLJSO,O,X,O,X,O,X,O,X,X,X,O,X
IZTLJOS,O,O,O,X,O,O,O,X,X,X,O,X
IZTLSJO,O,X,X,X,O,X,O,X,X,X,O,X
IZTLSOJ,O,X,O,X,O,X,O,X,X,X,X,X
IZTLOJS,O,O,O,X,O,O,O,X,X,X,X,X
IZTLOSJ,O,X,O,X,O,X,X,X,X,X,X,X
IZTJLSO,O,X,O,X,O,X,O,X,X,X,O,X
IZTJLOS,O,O,O,X,O,O,O,X,X,X,O,X
IZTJSLO,O,O,O,X,O,O,O,X,X,X,O,X
IZTJSOL,O,O,O,X,X,O,O,X,X,X,O,X
IZTJOLS,O,O,O,X,X,O,O,X,X,X,O,X
IZTJOSL,O,O,O,X,X,O,O,X,X,X,O,X
IZTSLJO,O,O,X,X,O,O,O,X,X,X,O,X
IZTSLOJ,O,O,O,X,O,O,O,X,X,X,X,X
IZTSJLO,O,O,O,X,O,O,O,X,X,X,O,X
IZTSJOL,O,O,O,X,X,O,O,X,X,X,O,X
IZTSOLJ,O,O,O,X,O,O,O,X,X,X,X,X
IZTSOJL,O,O,O,X,X,O,X,X,X,X,X,X
IZTOLJS,O,O,O,X,O,O,O,X,X,X,X,X
IZTOLSJ,O,X,O,X,O,X,X,X,X,X,X,X
IZTOJLS,O,O,O,X,X,O,O,X,X,X,X,X
IZTOJSL,O,O,O,X,X,O,O,X,X,X,X,X
