sequence,v115@9gC8GeB8HeB8HeD8EeA8Je3AJvhFumBcnBTjByqBFt?BxwB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBOnBXjBStBFr?BRxB,v115@9gC8GeB8HeB8HeD8EeA8JeGBJvhFxiBilBXnBToBUr?B1xB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFemBCiBTjBXnBFt?BxwB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBxiBesBCoBFr?BXtB,v115@9gC8GeB8HeB8HeD8EeA8JeRBJvhFGjBTlBlnBirBXt?B0rB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBiiB+oB3nBFr?BRxB,v115@9gC8GeB8HeB8HeD8EeA8Je3AJvhFFiB6oB0mBznBmq?BRxB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFemB6oBRnB3rBzs?BFsB,v115@9gC8GeB8HeB8HeD8EeA8JeRBJvhF+oBilBfsBlnBUr?BzsB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFihB+oBRnBFrBXs?BzsB
ILJSOZT,O,O,X,X,X,X,O,O,X,X,X
ILJZTSO,O,O,X,X,X,X,O,O,X,O,X
ILJZTOS,O,O,O,X,X,X,O,O,X,X,X
ILJZSTO,O,O,X,X,X,X,O,O,X,O,X
ILJZSOT,O,O,X,X,X,X,O,O,X,O,X
ILJZOTS,O,O,X,X,X,X,X,O,X,X,X
ILJZOST,O,O,X,X,X,X,X,O,X,O,X
ILJOTSZ,X,X,O,X,X,X,X,O,X,X,X
ILJOTZS,X,X,O,X,X,X,X,O,X,X,X
ILJOSTZ,X,X,O,X,X,X,X,O,X,X,X
ILJOSZT,O,O,X,X,X,X,X,O,X,X,X
ILJOZTS,O,O,O,X,X,X,X,O,X,X,X
ILJOZST,O,O,X,X,X,X,X,O,X,O,X
ILSTJZO,O,O,X,X,X,O,X,X,X,X,X
ILSTJOZ,O,X,X,X,X,O,X,X,X,X,X
ILSTZJO,O,O,X,O,X,O,X,X,X,X,X
ILSTZOJ,O,O,X,O,X,X,X,X,X,X,X
ILSTOJZ,O,X,X,X,X,O,X,X,X,X,X
ILSTOZJ,O,X,X,O,X,X,X,X,X,X,X
ILSJTZO,O,O,X,X,X,X,X,O,X,O,X
ILSJTOZ,O,X,X,X,X,X,X,O,X,X,X
ILSJZTO,O,O,X,X,X,X,X,O,X,O,X
ILSJZOT,O,O,X,X,X,X,X,O,X,O,X
ILSJOTZ,X,X,X,X,X,X,X,O,X,X,X
ILSJOZT,O,O,X,X,X,X,X,O,X,X,X
ILSZTJO,O,O,X,O,X,X,X,O,X,O,X
ILSZTOJ,O,O,X,O,X,X,X,O,X,X,X
ILSZJTO,O,O,X,O,X,X,X,O,X,O,X
ILSZJOT,O,O,X,O,X,X,X,X,X,O,X
ILSZOTJ,O,O,X,X,X,X,X,O,X,X,X
ILSZOJT,O,O,X,X,X,X,X,X,X,O,X
ILSOTJZ,O,X,X,X,X,X,X,O,X,X,X
ILSOTZJ,O,X,X,X,X,X,X,O,X,X,X
ILSOJTZ,X,X,X,X,X,X,X,O,X,X,X
ILSOJZT,O,O,X,X,X,X,X,O,X,X,X
ILSOZTJ,O,O,X,X,X,X,X,O,X,X,X
ILSOZJT,O,O,X,X,X,X,X,O,X,X,X
ILZTJSO,O,O,X,O,X,X,O,O,X,O,X
ILZTJOS,O,O,O,O,X,X,O,X,X,X,X
ILZTSJO,O,O,O,O,X,X,X,O,X,O,X
ILZTSOJ,O,O,O,O,X,X,X,O,X,X,X
ILZTOJS,O,O,O,O,X,X,O,O,X,X,X
ILZTOSJ,O,O,O,O,X,X,X,O,X,X,X
ILZJTSO,O,O,X,O,X,X,O,O,X,O,X
ILZJTOS,O,O,O,O,X,X,O,O,X,X,X
ILZJSTO,O,O,X,O,X,X,O,O,X,O,X
ILZJSOT,O,O,X,O,X,X,O,O,X,O,X
ILZJOTS,O,O,X,X,X,X,X,O,O,X,X
ILZJOST,O,O,X,X,X,X,X,O,O,O,X
ILZSTJO,O,O,X,O,X,X,X,O,X,O,X
ILZSTOJ,O,O,X,O,X,X,X,O,X,X,X
ILZSJTO,O,O,X,O,X,X,X,O,X,O,X
ILZSJOT,O,O,X,O,X,X,X,X,X,O,X
ILZSOTJ,O,O,X,X,X,X,X,O,X,X,X
ILZSOJT,O,O,X,X,X,X,X,O,X,O,X
ILZOTJS,O,O,X,X,X,X,X,O,O,X,X
ILZOTSJ,O,O,X,X,X,X,X,O,X,X,X
ILZOJTS,O,O,X,X,X,X,X,O,O,X,X
ILZOJST,O,O,X,X,X,X,X,O,O,O,X
ILZOSTJ,O,O,X,X,X,X,X,O,O,X,X
ILZOSJT,O,O,X,X,X,X,X,O,O,O,X
ILOTJSZ,O,X,O,X,X,X,X,O,X,X,X
ILOTJZS,O,X,O,X,X,X,X,O,X,X,X
ILOTSJZ,O,X,O,X,X,X,X,O,X,X,X
ILOTSZJ,O,X,O,X,X,X,X,O,O,X,X
ILOTZJS,O,X,O,X,X,X,X,O,O,X,X
ILOTZSJ,O,X,O,X,X,X,X,O,X,X,X
ILOJTSZ,X,X,O,X,X,X,X,O,X,X,X
ILOJTZS,X,X,O,X,X,X,X,O,X,X,X
ILOJSTZ,X,X,O,X,X,X,X,O,X,X,X
ILOJSZT,O,O,X,X,X,X,X,O,O,X,X
ILOJZTS,O,O,O,X,X,X,X,O,O,X,X
ILOJZST,O,O,X,X,X,X,X,O,O,O,X
ILOSTJZ,O,X,X,X,X,X,X,O,X,X,X
ILOSTZJ,O,X,X,X,X,X,X,O,O,X,X
ILOSJTZ,X,X,O,X,X,X,X,O,X,X,X
ILOSJZT,O,O,X,X,X,X,X,O,O,X,X
ILOSZTJ,O,O,X,X,X,X,X,O,O,X,X
ILOSZJT,O,O,X,X,X,X,X,O,O,X,X
ILOZTJS,O,O,X,X,X,X,X,O,O,X,X
ILOZTSJ,O,O,X,X,X,X,X,O,X,X,X
ILOZJTS,O,O,O,X,X,X,X,O,O,X,X
ILOZJST,O,O,X,X,X,X,X,O,O,O,X
ILOZSTJ,O,O,X,X,X,X,X,O,O,X,X
ILOZSJT,O,O,X,X,X,X,X,O,O,O,X
IJTLSZO,O,O,X,X,X,X,X,O,X,X,X
IJTLSOZ,O,X,X,X,X,X,X,O,X,X,X
IJTLZSO,O,O,X,X,X,X,X,O,X,X,X
IJTLZOS,O,O,X,X,X,X,X,O,X,X,X
IJTLOSZ,O,X,X,X,X,X,X,O,X,X,X
IJTLOZS,O,X,X,X,X,X,X,O,X,X,X
IJTSLZO,X,X,X,X,X,X,O,O,X,O,X
IJTSLOZ,X,X,X,X,X,X,X,O,X,X,X
IJTSZLO,X,X,X,O,X,X,O,O,X,X,X
IJTSZOL,X,X,X,O,X,X,O,O,X,X,X
IJTSOLZ,X,X,X,X,X,X,X,O,X,X,X
IJTSOZL,X,X,X,O,X,X,X,O,X,X,X
IJTZLSO,O,O,X,O,X,X,O,O,X,X,X
IJTZLOS,O,O,X,O,O,X,O,O,X,X,X
IJTZSLO,O,O,X,O,X,X,O,O,X,X,X
IJTZSOL,O,O,X,O,O,X,O,O,X,X,X
IJTZOLS,O,O,X,O,O,X,O,O,X,X,X
IJTZOSL,O,O,X,O,O,X,O,O,X,X,X
IJTOLSZ,O,X,X,X,X,X,X,O,X,X,X
IJTOLZS,O,X,X,X,X,X,X,O,X,X,X
IJTOSLZ,X,X,X,X,X,X,X,O,X,X,X
IJTOSZL,X,X,X,O,X,X,X,O,X,X,X
IJTOZLS,O,X,X,O,X,X,X,O,X,X,X
IJTOZSL,O,X,X,O,X,X,X,O,X,X,X
IJLTSZO,O,O,X,X,X,X,X,O,X,X,X
IJLTSOZ,O,X,X,X,X,X,X,O,X,X,X
IJLTZSO,O,O,X,X,X,X,X,O,X,O,X
IJLTZOS,O,O,X,X,X,X,X,O,X,X,X
IJLTOSZ,O,X,X,X,X,X,X,O,X,X,X
IJLTOZS,O,X,X,X,X,X,X,O,X,X,X
IJLSTZO,O,O,X,X,X,X,O,O,X,O,X
IJLSTOZ,O,X,X,X,X,X,X,O,X,X,X
IJLSZTO,O,O,X,X,X,X,O,O,X,O,X
IJLSZOT,O,O,X,X,X,X,O,O,X,O,X
IJLSOTZ,X,X,X,X,X,X,X,O,X,X,X
IJLSOZT,O,O,X,X,X,X,O,O,X,X,X
IJLZTSO,O,O,X,X,X,X,O,O,X,O,X
IJLZTOS,O,O,X,X,O,X,O,O,X,X,X
IJLZSTO,O,O,X,X,X,X,O,O,X,O,X
IJLZSOT,O,O,X,X,X,X,O,O,X,O,X
IJLZOTS,O,O,X,X,X,X,X,O,X,X,X
IJLZOST,O,O,X,X,X,X,X,O,X,O,X
IJLOTSZ,X,X,X,X,X,X,X,O,X,X,X
IJLOTZS,X,X,X,X,X,X,X,O,X,X,X
IJLOSTZ,X,X,X,X,X,X,X,O,X,X,X
IJLOSZT,O,O,X,X,X,X,X,O,X,X,X
IJLOZTS,O,O,X,X,X,X,X,O,X,X,X
IJLOZST,O,O,X,X,X,X,X,O,X,O,X
IJSTLZO,X,X,X,X,X,X,O,O,X,O,X
IJSTLOZ,X,X,X,X,X,X,X,O,X,X,X
IJSTZLO,X,X,X,O,O,X,O,O,X,X,X
IJSTZOL,X,X,X,O,O,X,O,O,X,X,X
IJSTOLZ,X,X,X,X,X,X,X,O,X,X,X
IJSTOZL,X,X,X,O,X,X,X,O,X,X,X
IJSLTZO,O,O,X,X,O,X,O,O,X,O,X
IJSLTOZ,X,X,X,X,X,X,X,O,X,X,X
IJSLZTO,O,O,X,X,O,X,O,O,X,X,X
IJSLZOT,O,O,X,X,O,X,O,O,X,X,X
IJSLOTZ,X,X,X,X,X,X,X,O,X,X,X
IJSLOZT,O,O,X,X,O,X,O,O,X,X,X
IJSZTLO,O,O,X,O,O,X,O,O,X,X,O
IJSZTOL,O,O,X,O,O,X,O,O,X,X,O
IJSZLTO,O,O,X,O,O,X,O,O,X,X,X
IJSZLOT,O,O,X,O,O,X,O,O,X,X,X
IJSZOTL,X,X,X,O,O,X,O,O,X,X,X
IJSZOLT,X,X,X,O,X,X,O,O,X,X,X
IJSOTLZ,X,X,X,X,X,X,X,O,X,X,X
IJSOTZL,X,X,X,X,X,X,X,O,X,X,X
IJSOLTZ,X,X,X,X,X,X,X,O,X,X,X
IJSOLZT,X,X,X,X,X,X,O,O,X,X,X
IJSOZTL,X,X,X,X,O,X,O,O,X,X,X
IJSOZLT,X,X,X,X,X,X,O,O,X,X,X
IJZTLSO,O,O,X,O,X,X,O,O,X,X,O
IJZTLOS,O,O,X,O,O,X,O,O,X,X,X
IJZTSLO,O,O,X,O,O,X,O,O,X,X,O
IJZTSOL,O,O,X,O,O,X,O,O,X,X,O
IJZTOLS,O,O,X,O,O,X,O,O,X,X,X
IJZTOSL,O,O,X,O,O,X,O,O,X,X,X
IJZLTSO,O,O,X,O,X,X,O,O,X,O,X
IJZLTOS,O,O,X,O,O,X,O,O,X,X,X
IJZLSTO,O,O,X,O,X,X,O,O,X,O,X
IJZLSOT,O,O,X,O,X,X,O,O,X,O,X
IJZLOTS,O,O,X,X,X,X,X,O,X,X,X
IJZLOST,O,O,X,X,X,X,X,O,X,O,X
IJZSTLO,O,O,X,O,O,X,O,O,X,X,O
IJZSTOL,O,O,X,O,O,X,O,O,X,X,O
IJZSLTO,O,O,X,O,O,X,O,O,X,X,X
IJZSLOT,O,O,X,O,O,X,O,O,X,X,X
IJZSOTL,X,X,X,O,O,X,O,O,X,X,X
IJZSOLT,X,X,X,O,X,X,O,O,X,X,X
IJZOTLS,O,O,X,O,O,X,O,O,X,X,X
IJZOTSL,O,O,X,O,O,X,O,O,X,X,X
IJZOLTS,O,O,X,X,X,X,X,O,X,X,X
IJZOLST,O,O,X,X,X,X,X,O,X,X,X
IJZOSTL,X,X,X,O,X,X,O,O,X,X,X
IJZOSLT,X,X,X,O,X,X,O,O,X,X,X
IJOTLSZ,X,X,X,X,X,X,X,O,X,X,X
IJOTLZS,X,X,X,X,X,X,X,O,X,X,X
IJOTSLZ,X,X,X,X,X,X,X,O,X,X,X
IJOTSZL,X,X,X,X,X,X,X,O,X,X,X
IJOTZLS,X,X,X,X,X,X,X,O,X,X,X
IJOTZSL,X,X,X,X,X,X,X,O,X,X,X
IJOLTSZ,X,X,X,X,X,X,X,O,X,X,X
IJOLTZS,X,X,X,X,X,X,X,O,X,X,X
IJOLSTZ,X,X,X,X,X,X,X,O,X,X,X
IJOLSZT,O,O,X,X,X,X,X,O,X,X,X
IJOLZTS,O,O,X,X,X,X,X,O,X,X,X
IJOLZST,O,O,X,X,X,X,X,O,X,X,X
IJOSTLZ,X,X,X,X,X,X,X,O,X,X,X
IJOSTZL,X,X,X,X,X,X,X,O,X,X,X
IJOSLTZ,X,X,X,X,X,X,X,O,X,X,X
IJOSLZT,X,X,X,X,X,X,O,O,X,X,X
IJOSZTL,X,X,X,X,X,X,O,O,X,X,X
IJOSZLT,X,X,X,X,X,X,O,O,X,X,X
IJOZTLS,O,O,X,X,O,X,O,O,X,X,X
IJOZTSL,O,O,X,X,O,X,O,O,X,X,X
IJOZLTS,O,O,X,X,X,X,X,O,X,X,X
IJOZLST,O,O,X,X,X,X,X,O,X,X,X
IJOZSTL,X,X,X,X,X,X,O,O,X,X,X
IJOZSLT,X,X,X,X,X,X,O,O,X,X,X
ISTLJZO,O,X,X,X,X,O,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,O,X,X,X,X,X
ISTLZJO,O,X,X,O,X,O,X,X,X,X,X
ISTLZOJ,O,X,X,O,X,X,X,X,X,X,X
ISTLOJZ,O,X,X,X,X,O,X,X,X,X,X
ISTLOZJ,O,X,X,O,X,X,X,X,X,X,X
ISTJLZO,X,X,X,X,X,O,X,X,X,X,X
ISTJLOZ,X,X,X,X,X,O,X,X,X,X,X
ISTJZLO,X,X,X,O,X,O,X,X,X,X,X
ISTJZOL,X,X,X,O,X,O,X,X,X,X,X
ISTJOLZ,X,X,X,X,X,O,X,X,X,X,X
ISTJOZL,X,X,X,O,X,O,X,X,X,X,X
ISTZLJO,O,X,X,O,X,X,X,X,X,X,X
ISTZLOJ,O,X,X,O,X,X,X,X,X,X,X
ISTZJLO,O,X,X,O,X,O,X,X,X,X,X
ISTZJOL,O,X,X,O,X,O,X,X,X,X,X
ISTZOLJ,O,X,X,O,X,X,X,X,X,X,X
ISTZOJL,O,X,X,O,X,X,X,X,X,X,X
ISTOLJZ,O,X,X,X,X,O,X,X,X,X,X
ISTOLZJ,O,X,X,O,X,O,X,X,X,X,X
ISTOJLZ,X,X,X,X,X,O,X,X,X,X,X
ISTOJZL,X,X,X,O,X,O,X,X,X,X,X
ISTOZLJ,O,X,X,O,X,X,X,X,X,X,X
ISTOZJL,O,X,X,O,X,O,X,X,X,X,X
ISLTJZO,O,O,X,X,O,O,X,X,X,X,X
ISLTJOZ,O,X,X,X,X,O,X,X,X,X,X
ISLTZJO,O,O,X,O,O,O,X,X,X,X,X
ISLTZOJ,O,O,X,O,X,X,X,X,X,X,X
ISLTOJZ,O,X,X,X,X,O,X,X,X,X,X
ISLTOZJ,O,X,X,O,X,X,X,X,X,X,X
ISLJTZO,O,O,X,X,O,X,X,O,X,O,X
ISLJTOZ,O,X,X,X,X,X,X,O,X,X,X
ISLJZTO,O,O,X,X,O,X,X,O,X,X,X
ISLJZOT,O,O,X,X,O,X,X,O,X,X,X
ISLJOTZ,X,X,X,X,X,X,X,O,X,X,X
ISLJOZT,O,O,X,X,O,X,X,O,X,X,X
ISLZTJO,O,O,X,O,O,X,X,O,X,X,X
ISLZTOJ,O,O,X,O,X,X,X,O,X,X,X
ISLZJTO,O,O,X,O,O,X,X,O,X,X,X
ISLZJOT,O,O,X,O,O,X,X,X,X,X,X
ISLZOTJ,O,O,X,X,X,X,X,O,X,X,X
ISLZOJT,O,O,X,X,O,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,O,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,O,X,X,X
ISLOJTZ,X,X,X,X,X,X,X,O,X,X,X
ISLOJZT,O,O,X,X,O,X,X,O,X,X,X
ISLOZTJ,O,O,X,X,X,X,X,O,X,X,X
ISLOZJT,O,O,X,X,O,X,X,O,X,X,X
ISJTLZO,X,X,X,X,X,O,O,O,X,O,X
ISJTLOZ,X,X,X,X,X,O,X,O,X,X,X
ISJTZLO,X,X,X,O,O,O,O,O,X,X,X
ISJTZOL,X,X,X,O,O,O,O,O,X,X,X
ISJTOLZ,X,X,X,X,X,O,X,O,X,X,X
ISJTOZL,X,X,X,O,X,O,X,O,X,X,X
ISJLTZO,O,O,X,X,O,X,O,O,X,O,X
ISJLTOZ,X,X,X,X,X,X,X,O,X,X,X
ISJLZTO,O,O,X,X,O,X,O,O,X,X,X
ISJLZOT,O,O,X,X,O,X,O,O,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,O,X,X,X
ISJLOZT,O,O,X,X,O,X,O,O,X,X,X
ISJZTLO,O,O,X,O,O,X,O,O,X,X,O
ISJZTOL,O,O,X,O,O,X,O,O,X,X,O
ISJZLTO,O,O,X,O,O,X,O,O,X,X,X
ISJZLOT,O,O,X,O,O,X,O,O,X,X,X
ISJZOTL,X,X,X,O,O,X,O,O,X,X,X
ISJZOLT,X,X,X,O,X,X,O,O,X,X,X
ISJOTLZ,X,X,X,X,X,O,X,O,X,X,X
ISJOTZL,X,X,X,X,X,O,X,O,X,X,X
ISJOLTZ,X,X,X,X,X,O,X,O,X,X,X
ISJOLZT,X,X,X,X,X,O,O,O,X,X,X
ISJOZTL,X,X,X,X,O,O,O,O,X,X,X
ISJOZLT,X,X,X,X,X,O,O,O,X,X,X
ISZTLJO,O,O,X,O,X,X,X,O,X,X,O
ISZTLOJ,O,O,X,O,X,X,X,O,X,X,X
ISZTJLO,O,O,X,O,O,X,O,O,X,X,O
ISZTJOL,O,O,X,O,O,X,O,O,X,X,O
ISZTOLJ,O,O,X,O,X,X,X,O,X,X,X
ISZTOJL,O,O,X,O,O,X,O,O,X,X,X
ISZLTJO,O,O,X,O,O,X,X,O,X,X,X
ISZLTOJ,O,O,X,O,X,X,X,O,X,X,X
ISZLJTO,O,O,X,O,O,X,X,O,X,X,X
ISZLJOT,O,O,X,O,O,X,X,X,X,X,X
ISZLOTJ,O,O,X,X,X,X,X,O,X,X,X
ISZLOJT,O,O,X,X,O,X,X,O,X,X,X
ISZJTLO,O,O,X,O,O,X,O,O,X,X,O
ISZJTOL,O,O,X,O,O,X,O,O,X,X,O
ISZJLTO,O,O,X,O,O,X,O,O,X,X,X
ISZJLOT,O,O,X,O,O,X,O,X,X,X,X
ISZJOTL,X,X,X,O,O,X,O,O,O,X,X
ISZJOLT,X,X,X,O,X,X,O,O,O,X,X
ISZOTLJ,X,X,X,O,X,X,X,O,O,X,X
ISZOTJL,X,X,X,O,X,X,X,O,O,X,X
ISZOLTJ,X,X,X,X,X,X,X,O,O,X,X
ISZOLJT,X,X,X,X,X,X,X,O,O,X,X
ISZOJTL,X,X,X,O,X,X,X,O,O,X,X
ISZOJLT,X,X,X,O,X,X,X,O,O,X,X
ISOTLJZ,X,X,X,X,X,O,X,O,X,X,X
ISOTLZJ,X,X,X,O,X,O,X,O,O,X,X
ISOTJLZ,X,X,X,X,X,O,X,O,X,X,X
ISOTJZL,X,X,X,O,X,O,X,O,X,X,X
ISOTZLJ,X,X,X,O,X,X,X,O,O,X,X
ISOTZJL,X,X,X,O,X,O,X,O,O,X,X
ISOLTJZ,X,X,X,X,X,O,X,O,X,X,X
ISOLTZJ,X,X,X,X,X,O,X,O,O,X,X
ISOLJTZ,X,X,X,X,X,O,X,O,X,X,X
ISOLJZT,X,X,X,X,X,O,X,O,O,X,X
ISOLZTJ,X,X,X,X,X,O,X,O,O,X,X
ISOLZJT,X,X,X,X,X,O,X,O,O,X,X
ISOJTLZ,X,X,X,X,X,O,X,O,X,X,X
ISOJTZL,X,X,X,X,X,O,X,O,X,X,X
ISOJLTZ,X,X,X,X,X,O,X,O,X,X,X
ISOJLZT,X,X,X,X,X,O,X,O,O,X,X
ISOJZTL,X,X,X,X,X,O,X,O,O,X,X
ISOJZLT,X,X,X,X,X,O,X,O,O,X,X
ISOZTLJ,X,X,X,O,X,X,X,O,O,X,X
ISOZTJL,X,X,X,O,X,O,X,O,O,X,X
ISOZLTJ,X,X,X,X,X,O,X,O,O,X,X
ISOZLJT,X,X,X,X,X,O,X,O,O,X,X
ISOZJTL,X,X,X,O,X,O,X,O,O,X,X
ISOZJLT,X,X,X,O,X,O,X,O,O,X,X
IZTLJSO,O,O,X,O,X,X,O,O,X,X,O
IZTLJOS,O,O,O,O,X,X,O,X,X,X,X
IZTLSJO,O,O,O,O,X,X,X,O,X,X,O
IZTLSOJ,O,O,O,O,X,X,X,O,X,X,X
IZTLOJS,O,O,O,O,X,X,O,O,X,X,X
IZTLOSJ,O,O,O,O,X,X,X,O,X,X,X
IZTJLSO,O,O,X,O,X,X,O,O,X,X,O
IZTJLOS,O,O,X,O,O,X,O,X,X,X,X
IZTJSLO,O,O,X,O,O,X,O,O,X,X,O
IZTJSOL,O,O,X,O,O,X,O,O,X,X,O
IZTJOLS,O,O,X,O,O,X,O,O,X,X,X
IZTJOSL,O,O,X,O,O,X,O,O,X,X,X
IZTSLJO,O,O,O,O,X,X,X,O,X,X,O
IZTSLOJ,O,O,O,O,X,X,X,O,X,X,X
IZTSJLO,O,O,O,O,O,X,O,O,X,X,O
IZTSJOL,O,O,O,O,O,X,O,O,X,X,O
IZTSOLJ,O,O,O,O,X,X,X,O,X,X,X
IZTSOJL,O,O,O,O,O,X,O,O,X,X,X
IZTOLJS,O,O,O,O,X,X,O,O,X,X,X
IZTOLSJ,O,O,O,O,X,X,X,O,X,X,X
IZTOJLS,O,O,O,O,O,X,O,O,X,X,X
IZTOJSL,O,O,O,O,O,X,O,O,X,X,X
IZTOSLJ,O,O,O,O,X,X,X,O,X,X,X
IZTOSJL,O,O,O,O,O,X,O,O,X,X,X
IZLTJSO,O,O,X,O,X,X,O,O,X,O,X
IZLTJOS,O,O,O,O,X,X,O,X,X,X,X
IZLTSJO,O,O,O,O,X,X,X,O,X,O,X
IZLTSOJ,O,O,O,O,X,X,X,O,X,X,X
IZLTOJS,O,O,O,O,X,X,O,O,X,X,X
IZLTOSJ,O,O,O,O,X,X,X,O,X,X,X
IZLJTSO,O,O,X,O,X,X,O,O,X,O,X
IZLJTOS,O,O,O,O,X,X,O,O,X,X,X
IZLJSTO,O,O,X,O,X,X,O,O,X,O,X
IZLJSOT,O,O,X,O,X,X,O,O,X,O,X
IZLJOTS,O,O,X,X,X,X,X,O,O,X,X
IZLJOST,O,O,X,X,X,X,X,O,O,O,X
IZLSTJO,O,O,X,O,X,X,X,O,X,O,X
IZLSTOJ,O,O,X,O,X,X,X,O,X,X,X
IZLSJTO,O,O,X,O,X,X,X,O,X,O,X
IZLSJOT,O,O,X,O,X,X,X,X,X,O,X
IZLSOTJ,O,O,X,X,X,X,X,O,X,X,X
IZLSOJT,O,O,X,X,X,X,X,O,X,O,X
IZLOTJS,O,O,X,X,X,X,X,O,O,X,X
IZLOTSJ,O,O,X,X,X,X,X,O,X,X,X
IZLOJTS,O,O,X,X,X,X,X,O,O,X,X
IZLOJST,O,O,X,X,X,X,X,O,O,O,X
IZLOSTJ,O,O,X,X,X,X,X,O,O,X,X
IZLOSJT,O,O,X,X,X,X,X,O,O,O,X
IZJTLSO,O,O,X,O,X,X,O,O,X,X,O
IZJTLOS,O,O,X,O,O,X,O,O,X,X,X
IZJTSLO,O,O,X,O,O,X,O,O,X,X,O
IZJTSOL,O,O,X,O,O,X,O,O,X,X,O
IZJTOLS,O,O,X,O,O,X,O,O,X,X,X
IZJTOSL,O,O,X,O,O,X,O,O,X,X,X
IZJLTSO,O,O,X,O,X,X,O,O,X,O,X
IZJLTOS,O,O,X,O,O,X,O,O,X,X,X
IZJLSTO,O,O,X,O,X,X,O,O,X,O,X
IZJLSOT,O,O,X,O,X,X,O,O,X,O,X
IZJLOTS,O,O,X,X,X,X,X,O,O,X,X
IZJLOST,O,O,X,X,X,X,X,O,O,O,X
IZJSTLO,O,O,X,O,O,X,O,O,X,X,O
IZJSTOL,O,O,X,O,O,X,O,O,X,X,O
IZJSLTO,O,O,X,O,O,X,O,O,X,X,X
IZJSLOT,O,O,X,O,O,X,O,O,X,X,X
IZJSOTL,X,X,X,O,O,X,O,O,O,X,X
IZJSOLT,X,X,X,O,X,X,O,O,O,X,X
IZJOTLS,O,O,X,O,O,X,O,O,O,X,X
IZJOTSL,O,O,X,O,O,X,O,O,X,X,X
IZJOLTS,O,O,X,X,X,X,X,O,O,X,X
IZJOLST,O,O,X,X,X,X,X,O,O,X,X
IZJOSTL,X,X,X,O,X,X,O,O,O,X,X
IZJOSLT,X,X,X,O,X,X,O,O,O,X,X
IZSTLJO,O,O,X,O,X,X,X,O,X,X,O
IZSTLOJ,O,O,X,O,X,X,X,O,X,X,X
IZSTJLO,O,O,X,O,O,X,O,O,X,X,O
IZSTJOL,O,O,X,O,O,X,O,O,X,X,O
IZSTOLJ,O,O,X,O,X,X,X,O,X,X,X
IZSTOJL,O,O,X,O,O,X,O,O,X,X,X
IZSLTJO,O,O,X,O,O,X,X,O,X,X,X
IZSLTOJ,O,O,X,O,X,X,X,O,X,X,X
IZSLJTO,O,O,X,O,O,X,X,O,X,X,X
IZSLJOT,O,O,X,O,O,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X,O,X,X,X
IZSLOJT,O,O,X,X,O,X,X,O,X,X,X
IZSJTLO,O,O,X,O,O,X,O,O,X,X,O
IZSJTOL,O,O,X,O,O,X,O,O,X,X,O
IZSJLTO,O,O,X,O,O,X,O,O,X,X,X
IZSJLOT,O,O,X,O,O,X,O,X,X,X,X
IZSJOTL,X,X,X,O,O,X,O,O,O,X,X
IZSJOLT,X,X,X,O,X,X,O,O,O,X,X
IZSOTLJ,X,X,X,O,X,X,X,O,O,X,X
IZSOTJL,X,X,X,O,X,X,X,O,O,X,X
IZSOLTJ,X,X,X,X,X,X,X,O,O,X,X
IZSOLJT,X,X,X,X,X,X,X,O,O,X,X
IZSOJTL,X,X,X,O,X,X,X,O,O,X,X
IZSOJLT,X,X,X,O,X,X,X,O,O,X,X
IZOTLJS,O,O,X,O,X,X,O,O,O,X,X
IZOTLSJ,O,O,X,O,X,X,X,O,X,X,X
IZOTJLS,O,O,X,O,X,X,O,O,O,X,X
IZOTJSL,O,O,X,O,X,X,O,O,X,X,X
IZOTSLJ,O,O,X,O,X,X,X,O,X,X,X
IZOTSJL,O,O,X,O,X,X,O,O,X,X,X
IZOLTJS,O,O,X,X,X,X,X,O,O,X,X
IZOLTSJ,O,O,X,X,X,X,X,O,X,X,X
IZOLJTS,O,O,X,X,X,X,X,O,O,X,X
IZOLJST,O,O,X,X,X,X,X,O,O,X,X
IZOLSTJ,O,O,X,X,X,X,X,O,O,X,X
IZOLSJT,O,O,X,X,X,X,X,O,O,X,X
IZOJTLS,O,O,X,O,X,X,O,O,O,X,X
IZOJTSL,O,O,X,O,X,X,O,O,X,X,X
IZOJLTS,O,O,X,X,X,X,X,O,O,X,X
IZOJLST,O,O,X,X,X,X,X,O,O,X,X
IZOJSTL,X,X,X,O,X,X,O,O,O,X,X
IZOJSLT,X,X,X,O,X,X,O,O,O,X,X
IZOSTLJ,X,X,X,O,X,X,X,O,O,X,X
IZOSTJL,X,X,X,O,X,X,X,O,O,X,X
IZOSLTJ,X,X,X,X,X,X,X,O,O,X,X
IZOSLJT,X,X,X,X,X,X,X,O,O,X,X
IZOSJTL,X,X,X,O,X,X,X,O,O,X,X
