sequence,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFChBliB5oB8sB3r?BmrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWmB3iB5oB8sBlm?BywB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFVnBaoB5oBGsBfr?B0rB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWmBxhB/sBUoB1w?B6tB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFmiB5oBCnBlsBfr?B0rB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFynB5oBGmBFnB3s?BUrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhF0hBxiB1sB6tBWx?BfrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFRhBfsBStBUrBls?BGtB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFFiBGmBxsB6tB3s?BUrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWoBRmB8rB6tB3s?BFrB
ILOTZJS,O,O,X,X,O,X,X,X,X,X
ILOTZSJ,O,O,X,X,O,X,X,X,X,X
ILOJTSZ,X,X,O,X,X,X,X,X,O,X
ILOJTZS,X,O,O,X,X,X,X,X,X,X
ILOJSTZ,X,X,O,X,X,O,X,X,O,X
ILOJSZT,O,O,O,X,X,O,X,X,O,X
ILOJZTS,O,O,O,X,X,X,X,X,X,X
ILOJZST,O,O,O,X,X,X,X,X,O,X
ILOSTJZ,X,X,X,X,X,O,X,X,X,X
ILOSTZJ,O,X,X,X,X,X,X,O,X,X
ILOSJTZ,X,X,O,X,X,O,X,X,X,O
ILOSJZT,O,O,O,X,X,O,X,X,X,O
ILOSZTJ,O,O,X,X,X,X,X,O,X,X
ILOSZJT,O,O,X,X,X,O,X,O,X,X
ILOZTJS,O,O,X,X,X,X,X,X,X,X
ILOZTSJ,O,O,X,X,X,X,X,X,X,X
ILOZJTS,O,O,O,X,X,X,X,X,X,X
ILOZJST,O,O,O,X,X,X,X,X,X,X
ILOZSTJ,O,O,X,X,X,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,X,X,X
IJTLSZO,X,X,O,O,O,X,O,X,O,X
IJTLSOZ,X,X,O,O,O,X,O,X,O,X
IJTLZSO,X,O,O,X,O,X,O,X,X,X
IJTLZOS,X,O,O,X,O,X,O,X,X,X
IJTLOSZ,X,X,O,O,O,X,O,X,O,X
IJTLOZS,X,O,O,X,O,X,O,X,X,X
IJTSLZO,X,X,O,O,O,X,X,X,O,X
IJTSLOZ,X,X,O,O,O,O,X,X,O,X
IJTSZLO,X,X,X,O,X,X,X,X,O,X
IJTSZOL,X,X,X,O,X,X,X,X,O,X
IJTSOLZ,X,X,O,O,O,O,X,X,O,X
IJTSOZL,X,X,X,O,X,X,X,X,O,X
IJTZLSO,X,X,O,X,O,X,X,X,X,X
IJTZLOS,X,X,O,X,O,X,X,X,X,X
IJTZSLO,X,X,X,O,X,X,X,X,X,X
IJTZSOL,X,O,X,O,X,X,X,X,X,X
IJTZOLS,X,X,O,X,O,X,X,X,X,X
IJTZOSL,X,O,X,O,X,X,X,X,X,X
IJTOLSZ,X,X,O,O,O,X,O,X,O,X
IJTOLZS,X,O,O,X,O,X,O,X,X,X
IJTOSLZ,X,X,O,O,O,O,X,X,O,X
IJTOSZL,X,X,X,O,X,X,X,X,O,X
IJTOZLS,X,X,O,X,O,X,X,X,X,X
IJTOZSL,X,O,X,O,X,X,X,X,X,X
IJLTSZO,X,X,O,O,X,X,X,X,O,X
IJLTSOZ,X,X,O,O,X,X,X,X,O,X
IJLTZSO,X,O,O,X,X,X,X,X,X,X
IJLTZOS,X,O,O,X,X,X,X,X,X,X
IJLTOSZ,X,X,O,O,X,X,X,X,O,X
IJLTOZS,X,O,O,X,X,X,X,X,X,X
IJLSTZO,X,X,O,X,X,X,X,X,O,X
IJLSTOZ,X,X,O,X,X,O,X,X,O,X
IJLSZTO,O,O,O,X,X,X,X,X,O,X
IJLSZOT,O,O,O,X,X,O,X,X,O,X
IJLSOTZ,X,X,O,X,X,O,X,X,O,X
IJLSOZT,O,O,O,X,X,O,X,X,O,X
IJLZTSO,X,O,O,X,X,X,X,X,X,X
IJLZTOS,O,O,O,X,X,X,X,X,X,X
IJLZSTO,O,O,O,X,X,X,X,X,O,X
IJLZSOT,O,O,O,X,X,X,X,X,O,X
IJLZOTS,O,O,O,X,X,X,X,X,X,X
IJLZOST,O,O,O,X,X,X,X,X,O,X
IJLOTSZ,X,X,O,O,X,X,X,X,O,X
IJLOTZS,X,O,O,X,X,X,X,X,X,X
IJLOSTZ,X,X,O,X,X,O,X,X,O,X
IJLOSZT,O,O,O,X,X,O,X,X,O,X
IJLOZTS,O,O,O,X,X,X,X,X,X,X
IJLOZST,O,O,O,X,X,X,X,X,O,X
IJSTLZO,X,X,O,O,X,X,X,X,O,X
IJSTLOZ,X,X,O,O,X,O,X,X,O,X
IJSTZLO,X,X,X,O,X,X,X,X,O,X
IJSTZOL,X,X,X,O,X,X,X,X,O,X
IJSTOLZ,X,X,O,O,X,O,X,X,O,O
IJSTOZL,X,X,X,O,X,X,X,X,O,O
IJSLTZO,X,X,O,X,X,X,X,X,O,X
IJSLTOZ,X,X,O,X,X,O,X,X,O,X
IJSLZTO,O,O,O,X,X,X,X,X,O,X
IJSLZOT,O,O,O,X,X,O,X,X,O,X
IJSLOTZ,X,X,O,X,X,O,X,X,O,O
IJSLOZT,O,O,O,X,X,O,X,X,O,O
IJSZTLO,O,X,X,X,X,X,X,X,O,X
IJSZTOL,O,O,X,X,X,X,X,X,O,X
IJSZLTO,O,X,X,X,X,X,X,X,O,X
IJSZLOT,O,O,X,X,X,O,X,X,O,X
IJSZOTL,O,O,X,X,X,X,X,X,O,O
IJSZOLT,O,O,X,X,X,O,X,X,O,O
IJSOTLZ,X,X,O,O,X,O,X,X,O,O
IJSOTZL,X,X,X,O,X,X,X,X,O,O
IJSOLTZ,X,X,O,X,X,O,X,X,O,O
IJSOLZT,O,O,O,X,X,O,X,X,O,O
IJSOZTL,O,O,X,X,X,X,X,X,O,O
IJSOZLT,O,O,X,X,X,O,X,X,O,O
IJZTLSO,X,X,O,X,X,X,X,X,X,X
IJZTLOS,O,X,O,X,X,X,X,X,X,X
IJZTSLO,O,X,X,O,X,X,X,X,X,X
IJZTSOL,O,O,X,O,X,X,X,X,X,X
IJZTOLS,O,X,O,X,X,X,X,X,X,X
IJZTOSL,O,O,X,O,X,X,X,X,X,X
IJZLTSO,X,O,O,X,X,X,X,X,X,X
IJZLTOS,O,O,O,X,X,X,X,X,X,X
IJZLSTO,O,O,O,X,X,X,X,X,O,X
IJZLSOT,O,O,O,X,X,X,X,X,O,X
IJZLOTS,O,O,O,X,X,X,X,X,X,X
IJZLOST,O,O,O,X,X,X,X,X,O,X
IJZSTLO,O,X,X,X,X,X,X,X,O,X
IJZSTOL,O,O,X,X,X,X,X,X,O,X
IJZSLTO,O,X,X,X,X,X,X,X,O,X
IJZSLOT,O,O,X,X,X,O,X,X,O,X
IJZSOTL,O,O,X,X,X,X,X,X,O,X
IJZSOLT,O,O,X,X,X,O,X,X,O,X
IJZOTLS,O,X,O,X,X,X,X,X,X,X
IJZOTSL,O,O,X,O,X,X,X,X,X,X
IJZOLTS,O,O,O,X,X,X,X,X,X,X
IJZOLST,O,O,O,X,X,X,X,X,O,X
IJZOSTL,O,O,X,X,X,X,X,X,O,X
IJZOSLT,O,O,X,X,X,O,X,X,O,X
IJOTLSZ,X,X,O,O,O,X,O,X,O,X
IJOTLZS,X,O,O,X,O,X,O,X,X,X
IJOTSLZ,X,X,O,O,O,O,X,X,O,X
IJOTSZL,X,X,X,O,X,X,X,X,O,X
IJOTZLS,X,X,O,X,O,X,X,X,X,X
IJOTZSL,X,O,X,O,X,X,X,X,X,X
IJOLTSZ,X,X,O,O,X,X,X,X,O,X
IJOLTZS,X,O,O,X,X,X,X,X,X,X
IJOLSTZ,X,X,O,X,X,O,X,X,O,X
IJOLSZT,O,O,O,X,X,O,X,X,O,X
IJOLZTS,O,O,O,X,X,X,X,X,X,X
IJOLZST,O,O,O,X,X,X,X,X,O,X
IJOSTLZ,X,X,O,O,X,O,X,X,O,O
IJOSTZL,X,X,X,O,X,X,X,X,O,O
IJOSLTZ,X,X,O,X,X,O,X,X,O,O
IJOSLZT,O,O,O,X,X,O,X,X,O,O
IJOSZTL,O,O,X,X,X,X,X,X,O,O
IJOSZLT,O,O,X,X,X,O,X,X,O,O
IJOZTLS,O,X,O,X,X,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X,X,X,X,X
IJOZLTS,O,O,O,X,X,X,X,X,X,X
IJOZLST,O,O,O,X,X,X,X,X,O,X
IJOZSTL,O,O,X,X,X,X,X,X,O,X
IJOZSLT,O,O,X,X,X,O,X,X,O,X
ISTLJZO,X,X,X,X,O,X,X,X,X,X
ISTLJOZ,X,X,X,X,O,O,X,X,X,X
ISTLZJO,O,X,X,X,O,X,X,X,X,X
ISTLZOJ,O,X,X,X,O,X,X,X,X,X
ISTLOJZ,X,X,X,X,O,O,X,X,X,X
ISTLOZJ,O,X,X,X,O,X,X,X,X,X
ISTJLZO,X,X,X,X,O,X,X,X,X,X
ISTJLOZ,X,X,X,X,O,O,X,X,X,X
ISTJZLO,X,X,X,X,X,X,X,X,X,X
ISTJZOL,X,X,X,X,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,O,O,X,X,X,O
ISTJOZL,X,X,X,X,X,X,X,X,X,O
ISTZLJO,O,X,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,X,X,X,X,X,X,X,X
ISTZJLO,O,X,X,X,X,X,X,X,X,X
ISTZJOL,O,X,X,X,X,X,X,X,X,X
ISTZOLJ,O,X,X,X,X,X,X,X,X,X
ISTZOJL,O,X,X,X,X,X,X,X,X,X
ISTOLJZ,X,X,X,X,O,O,X,X,X,X
ISTOLZJ,O,X,X,X,O,X,X,X,X,X
ISTOJLZ,X,X,X,X,O,O,X,X,X,O
ISTOJZL,X,X,X,X,X,X,X,X,X,O
ISTOZLJ,O,X,X,X,X,X,X,X,X,X
ISTOZJL,O,X,X,X,X,X,X,X,X,X
ISLTJZO,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,X,X,X,X,X,O,X,X,X,X
ISLTZJO,O,X,X,X,X,X,X,O,X,X
ISLTZOJ,O,X,X,X,X,X,X,O,X,X
ISLTOJZ,X,X,X,X,X,O,X,X,X,X
ISLTOZJ,O,X,X,X,X,X,X,O,X,X
ISLJTZO,X,X,O,X,X,X,X,X,X,X
ISLJTOZ,X,X,O,X,X,O,X,X,X,X
ISLJZTO,O,O,O,X,X,X,X,X,X,X
ISLJZOT,O,O,O,X,X,O,X,X,X,X
ISLJOTZ,X,X,O,X,X,O,X,X,X,O
ISLJOZT,O,O,O,X,X,O,X,X,X,O
ISLZTJO,O,O,X,X,X,X,X,O,X,X
ISLZTOJ,O,O,X,X,X,X,X,O,X,X
ISLZJTO,O,O,X,X,X,X,X,O,X,X
ISLZJOT,O,O,X,X,X,O,X,O,X,X
ISLZOTJ,O,O,X,X,X,X,X,O,X,X
ISLZOJT,O,O,X,X,X,O,X,O,X,X
ISLOTJZ,X,X,X,X,X,O,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,O,X,X
ISLOJTZ,X,X,O,X,X,O,X,X,X,O
ISLOJZT,O,O,O,X,X,O,X,X,X,O
ISLOZTJ,O,O,X,X,X,X,X,O,X,X
ISLOZJT,O,O,X,X,X,O,X,O,X,X
ISJTLZO,X,X,O,X,X,X,X,X,O,X
ISJTLOZ,X,X,O,X,X,O,X,X,O,X
ISJTZLO,X,X,X,X,X,X,X,X,O,X
ISJTZOL,X,X,X,X,X,X,X,X,O,X
ISJTOLZ,X,X,O,X,X,O,X,X,O,O
ISJTOZL,X,X,X,X,X,X,X,X,O,O
ISJLTZO,X,X,O,X,X,X,X,X,O,X
ISJLTOZ,X,X,O,X,X,O,X,X,O,X
ISJLZTO,O,O,O,X,X,X,X,X,O,X
ISJLZOT,O,O,O,X,X,O,X,X,O,X
ISJLOTZ,X,X,O,X,X,O,X,X,O,O
ISJLOZT,O,O,O,X,X,O,X,X,O,O
ISJZTLO,O,X,X,X,X,X,X,X,O,X
ISJZTOL,O,O,X,X,X,X,X,X,O,X
ISJZLTO,O,X,X,X,X,X,X,X,O,X
ISJZLOT,O,O,X,X,X,O,X,X,O,X
ISJZOTL,O,O,X,X,X,X,X,X,O,O
ISJZOLT,O,O,X,X,X,O,X,X,O,O
ISJOTLZ,X,X,O,X,X,O,X,X,O,O
ISJOTZL,X,X,X,X,X,X,X,X,O,O
ISJOLTZ,X,X,O,X,X,O,X,X,O,O
ISJOLZT,O,O,O,X,X,O,X,X,O,O
ISJOZTL,O,O,X,X,X,X,X,X,O,O
ISJOZLT,O,O,X,X,X,O,X,X,O,O
ISZTLJO,O,X,X,X,X,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,X,X,X,X,X
ISZTJLO,O,X,X,X,X,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X,X,X,X
ISZTOLJ,O,X,X,X,X,X,X,X,X,X
ISZTOJL,O,O,X,X,X,X,X,X,X,X
ISZLTJO,O,O,X,X,X,X,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,X,X,X,X
ISZLJTO,O,O,X,X,X,X,X,X,X,X
ISZLJOT,O,O,X,X,X,O,X,X,X,X
ISZLOTJ,O,O,X,X,X,X,X,X,X,X
ISZLOJT,O,O,X,X,X,O,X,X,X,X
ISZJTLO,O,X,X,X,X,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X,X,X,X
ISZJLTO,O,X,X,X,X,X,X,X,X,X
ISZJLOT,O,O,X,X,X,O,X,X,X,X
ISZJOTL,O,O,X,X,X,X,X,X,X,O
ISZJOLT,O,O,X,X,X,O,X,X,X,O
ISZOTLJ,O,X,X,X,X,X,X,X,X,X
ISZOTJL,O,O,X,X,X,X,X,X,X,X
ISZOLTJ,O,O,X,X,X,X,X,X,X,X
ISZOLJT,O,O,X,X,X,O,X,X,X,X
ISZOJTL,O,O,X,X,X,X,X,X,X,O
ISZOJLT,O,O,X,X,X,O,X,X,X,O
ISOTLJZ,X,X,X,X,O,O,X,X,X,X
ISOTLZJ,O,X,X,X,O,X,X,X,X,X
ISOTJLZ,X,X,X,X,O,O,X,X,X,O
ISOTJZL,X,X,X,X,X,X,X,X,X,O
ISOTZLJ,O,X,X,X,X,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,X,O,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,O,X,X
ISOLJTZ,X,X,O,X,X,O,X,X,X,O
ISOLJZT,O,O,O,X,X,O,X,X,X,O
ISOLZTJ,O,O,X,X,X,X,X,O,X,X
ISOLZJT,O,O,X,X,X,O,X,O,X,X
ISOJTLZ,X,X,O,X,X,O,X,X,O,O
ISOJTZL,X,X,X,X,X,X,X,X,O,O
ISOJLTZ,X,X,O,X,X,O,X,X,O,O
ISOJLZT,O,O,O,X,X,O,X,X,O,O
ISOJZTL,O,O,X,X,X,X,X,X,O,O
ISOJZLT,O,O,X,X,X,O,X,X,O,O
ISOZTLJ,O,X,X,X,X,X,X,X,X,X
ISOZTJL,O,O,X,X,X,X,X,X,X,X
ISOZLTJ,O,O,X,X,X,X,X,X,X,X
ISOZLJT,O,O,X,X,X,O,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X,X,X,O
ISOZJLT,O,O,X,X,X,O,X,X,X,O
IZTLJSO,X,O,X,X,O,X,X,X,X,X
IZTLJOS,O,O,X,X,O,X,X,X,X,X
IZTLSJO,O,O,X,X,O,X,X,X,X,X
IZTLSOJ,O,O,X,X,O,X,X,X,X,X
IZTLOJS,O,O,X,X,O,X,X,X,X,X
IZTLOSJ,O,O,X,X,O,X,X,X,X,X
IZTJLSO,X,X,X,X,O,X,X,X,X,X
IZTJLOS,O,X,X,X,O,X,X,X,X,X
IZTJSLO,O,X,X,X,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,X,X,X
IZTJOLS,O,X,X,X,O,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X,X,X,X,X
IZTSLJO,O,X,X,X,X,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,X,X,X,X,X
IZTSJLO,O,X,X,X,X,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X,X,X
IZTSOLJ,O,X,X,X,X,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X,X,X,X
IZTOLJS,O,O,X,X,O,X,X,X,X,X
IZTOLSJ,O,O,X,X,O,X,X,X,X,X
IZTOJLS,O,X,X,X,O,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X,X,X,X
IZLTJSO,X,O,X,X,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X,X,X
IZLTSOJ,O,O,X,X,X,X,X,X,X,X
IZLTOJS,O,O,X,X,X,X,X,X,X,X
IZLTOSJ,O,O,X,X,X,X,X,X,X,X
IZLJTSO,X,O,O,X,X,X,X,X,X,X
IZLJTOS,O,O,O,X,X,X,X,X,X,X
IZLJSTO,O,O,O,X,X,X,X,X,X,X
IZLJSOT,O,O,O,X,X,X,X,X,X,X
IZLJOTS,O,O,O,X,X,X,X,X,X,X
IZLJOST,O,O,O,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X,X,X,X
IZLOTJS,O,O,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,X,X,X
IZLOJTS,O,O,O,X,X,X,X,X,X,X
IZLOJST,O,O,O,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X,X,X
IZJTLSO,X,X,O,X,X,X,X,X,X,X
IZJTLOS,O,X,O,X,X,X,X,X,X,X
IZJTSLO,O,X,X,X,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X,X,X,X
IZJTOLS,O,X,O,X,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,X,X,X,X
IZJLTSO,X,O,O,X,X,X,X,X,X,X
IZJLTOS,O,O,O,X,X,X,X,X,X,X
IZJLSTO,O,O,O,X,X,X,X,X,O,X
IZJLSOT,O,O,O,X,X,X,X,X,O,X
IZJLOTS,O,O,O,X,X,X,X,X,X,X
IZJLOST,O,O,O,X,X,X,X,X,O,X
IZJSTLO,O,X,X,X,X,X,X,X,O,X
IZJSTOL,O,O,X,X,X,X,X,X,O,X
IZJSLTO,O,X,X,X,X,X,X,X,O,X
IZJSLOT,O,O,X,X,X,O,X,X,O,X
IZJSOTL,O,O,X,X,X,X,X,X,O,X
IZJSOLT,O,O,X,X,X,O,X,X,O,X
IZJOTLS,O,X,O,X,X,X,X,X,X,X
IZJOTSL,O,O,X,X,X,X,X,X,X,X
IZJOLTS,O,O,O,X,X,X,X,X,X,X
IZJOLST,O,O,O,X,X,X,X,X,O,X
IZJOSTL,O,O,X,X,X,X,X,X,O,X
IZJOSLT,O,O,X,X,X,O,X,X,O,X
IZSTLJO,O,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X,X,X,X,X
IZSTJLO,O,X,X,X,X,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,X,X,X,X,X,X,X,X,X
IZSTOJL,O,O,X,X,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,O,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X,X,X,X
IZSLOJT,O,O,X,X,X,O,X,X,X,X
IZSJTLO,O,X,X,X,X,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X,X,X,X
IZSJLTO,O,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,O,X,X,X,X
IZSJOTL,O,O,X,X,X,X,X,X,X,O
IZSJOLT,O,O,X,X,X,O,X,X,X,O
IZSOTLJ,O,X,X,X,X,X,X,X,X,X
IZSOTJL,O,O,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,X,X,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,O,X,X,X,X
IZSOJTL,O,O,X,X,X,X,X,X,X,O
IZSOJLT,O,O,X,X,X,O,X,X,X,O
IZOTLJS,O,O,X,X,O,X,X,X,X,X
IZOTLSJ,O,O,X,X,O,X,X,X,X,X
IZOTJLS,O,X,X,X,O,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,X,X,X,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X,X,X,X
IZOLTJS,O,O,X,X,X,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X,X,X,X,X
IZOLJST,O,O,O,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X
IZOJTLS,O,X,O,X,X,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,X,X,X
IZOJLTS,O,O,O,X,X,X,X,X,X,X
IZOJLST,O,O,O,X,X,X,X,X,O,X
IZOJSTL,O,O,X,X,X,X,X,X,O,X
IZOJSLT,O,O,X,X,X,O,X,X,O,X
IZOSTLJ,O,X,X,X,X,X,X,X,X,X
IZOSTJL,O,O,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,X,X,X,X,X,X,X,X
IZOSLJT,O,O,X,X,X,O,X,X,X,X
IZOSJTL,O,O,X,X,X,X,X,X,X,O
IZOSJLT,O,O,X,X,X,O,X,X,X,O
IOTLJSZ,X,X,O,X,O,X,O,X,X,X
IOTLJZS,X,O,O,X,O,X,O,X,X,X
IOTLSJZ,X,X,X,X,O,X,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,X,X,X,X
IOTLZJS,O,O,X,X,O,X,X,X,X,X
IOTLZSJ,O,O,X,X,O,X,X,X,X,X
IOTJLSZ,X,X,O,O,O,X,O,X,O,X
IOTJLZS,X,O,O,X,O,X,O,X,X,X
IOTJSLZ,X,X,O,O,O,O,X,X,O,X
IOTJSZL,X,X,X,O,X,X,X,X,O,X
IOTJZLS,X,X,O,X,O,X,X,X,X,X
IOTJZSL,X,O,X,O,X,X,X,X,X,X
IOTSLJZ,X,X,X,O,O,O,X,X,X,X
IOTSLZJ,O,X,X,O,O,X,X,X,X,X
IOTSJLZ,X,X,X,O,O,O,X,X,X,O
IOTSJZL,X,X,X,O,X,X,X,X,X,O
IOTSZLJ,O,X,X,O,X,X,X,X,X,X
IOTSZJL,O,X,X,O,X,X,X,X,X,X
IOTZLJS,O,O,X,X,O,X,X,X,X,X
IOTZLSJ,O,O,X,X,O,X,X,X,X,X
IOTZJLS,O,X,X,X,O,X,X,X,X,X
IOTZJSL,O,O,X,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,O,X,O,X,O,X,X,X
IOLTJZS,X,O,O,X,O,X,O,X,X,X
IOLTSJZ,X,X,X,X,O,X,X,X,X,X
IOLTSZJ,O,X,X,X,O,X,X,X,X,X
IOLTZJS,O,O,X,X,O,X,X,X,X,X
IOLTZSJ,O,O,X,X,O,X,X,X,X,X
IOLJTSZ,X,X,O,X,X,X,X,X,O,X
IOLJTZS,X,O,O,X,X,X,X,X,X,X
IOLJSTZ,X,X,O,X,X,O,X,X,O,X
IOLJSZT,O,O,O,X,X,O,X,X,O,X
IOLJZTS,O,O,O,X,X,X,X,X,X,X
IOLJZST,O,O,O,X,X,X,X,X,O,X
IOLSTJZ,X,X,X,X,X,O,X,X,X,X
IOLSTZJ,O,X,X,X,X,X,X,O,X,X
IOLSJTZ,X,X,O,X,X,O,X,X,X,O
IOLSJZT,O,O,O,X,X,O,X,X,X,O
IOLSZTJ,O,O,X,X,X,X,X,O,X,X
IOLSZJT,O,O,X,X,X,O,X,O,X,X
IOLZTJS,O,O,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X,X,X,X,X
IOLZJST,O,O,O,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,O,O,O,X,O,X,O,X
IOJTLZS,X,O,O,X,O,X,O,X,X,X
IOJTSLZ,X,X,O,O,O,O,X,X,O,X
IOJTSZL,X,X,X,O,X,X,X,X,O,X
IOJTZLS,X,X,O,X,O,X,X,X,X,X
IOJTZSL,X,O,X,O,X,X,X,X,X,X
IOJLTSZ,X,X,O,O,X,X,X,X,O,X
IOJLTZS,X,O,O,X,X,X,X,X,X,X
IOJLSTZ,X,X,O,X,X,O,X,X,O,X
IOJLSZT,O,O,O,X,X,O,X,X,O,X
IOJLZTS,O,O,O,X,X,X,X,X,X,X
IOJLZST,O,O,O,X,X,X,X,X,O,X
IOJSTLZ,X,X,O,O,X,O,X,X,O,O
IOJSTZL,X,X,X,O,X,X,X,X,O,O
IOJSLTZ,X,X,O,X,X,O,X,X,O,O
IOJSLZT,O,O,O,X,X,O,X,X,O,O
IOJSZTL,O,O,X,X,X,X,X,X,O,O
IOJSZLT,O,O,X,X,X,O,X,X,O,O
IOJZTLS,O,X,O,X,X,X,X,X,X,X
IOJZTSL,O,O,X,O,X,X,X,X,X,X
IOJZLTS,O,O,O,X,X,X,X,X,X,X
IOJZLST,O,O,O,X,X,X,X,X,O,X
IOJZSTL,O,O,X,X,X,X,X,X,O,X
IOJZSLT,O,O,X,X,X,O,X,X,O,X
IOSTLJZ,X,X,X,X,O,O,X,X,X,X
IOSTLZJ,O,X,X,X,O,X,X,X,X,X
IOSTJLZ,X,X,X,X,O,O,X,X,X,O
IOSTJZL,X,X,X,X,X,X,X,X,X,O
IOSTZLJ,O,X,X,X,X,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,X,X,X,O,X,X,X,X
IOSLTZJ,O,X,X,X,X,X,X,O,X,X
IOSLJTZ,X,X,O,X,X,O,X,X,X,O
IOSLJZT,O,O,O,X,X,O,X,X,X,O
IOSLZTJ,O,O,X,X,X,X,X,O,X,X
IOSLZJT,O,O,X,X,X,O,X,O,X,X
IOSJTLZ,X,X,O,X,X,O,X,X,O,O
IOSJTZL,X,X,X,X,X,X,X,X,O,O
IOSJLTZ,X,X,O,X,X,O,X,X,O,O
IOSJLZT,O,O,O,X,X,O,X,X,O,O
IOSJZTL,O,O,X,X,X,X,X,X,O,O
IOSJZLT,O,O,X,X,X,O,X,X,O,O
IOSZTLJ,O,X,X,X,X,X,X,X,X,X
IOSZTJL,O,O,X,X,X,X,X,X,X,X
IOSZLTJ,O,O,X,X,X,X,X,X,X,X
IOSZLJT,O,O,X,X,X,O,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,X,X,O
IOSZJLT,O,O,X,X,X,O,X,X,X,O
IOZTLJS,O,O,X,X,O,X,X,X,X,X
