sequence,v115@9gB8HeB8HeB8HeC8DeC8JexAJvhFOnB6oB/qBznB0r?BFrB,v115@9gB8HeB8HeB8HeC8DeC8JeFCJvhFXjBxlBStBmlB0q?BzrB,v115@9gB8HeB8HeB8HeC8DeC8JexAJvhFKnBziB+oB/qB0r?BFrB,v115@9gB8HeB8HeB8HeC8DeC8Je0AJvhFlhBziB+oB/qBxr?BywB,v115@9gB8HeB8HeB8HeC8DeC8Je3BJvhFziB+oB0lBVsBil?BRwB,v115@9gB8HeB8HeB8HeC8DeC8Je3AJvhF1mBxiBcsBToB2q?BSwB,v115@9gB8HeB8HeB8HeC8DeC8JeUBJvhFFiBTjBWtBxqByw?B/qB,v115@9gB8HeB8HeB8HeC8DeC8JeiAJvhFTjBGmBlqBxsBcs?B3rB,v115@9gB8HeB8HeB8HeC8DeC8JefIJvhF6oBTlBlmBmlBUn?BRwB,v115@9gB8HeB8HeB8HeC8DeC8JeTAJvhFUjBxmBStBlqB3r?BmrB,v115@9gB8HeB8HeB8HeC8DeC8JeXBJvhFxiB2qBToBCsBFs?B0qB
ILJSZOT,X,X,O,O,X,X,O,X,X,X,X
ILJSOTZ,X,X,O,O,X,X,O,X,O,X,O
ILJSOZT,X,X,O,O,X,X,O,X,X,X,X
ILJZTSO,X,X,X,X,O,X,O,X,X,X,X
ILJZTOS,X,X,X,X,O,X,O,X,X,X,X
ILJZSTO,X,X,O,X,X,X,O,X,X,X,X
ILJZSOT,X,X,O,X,X,X,O,X,X,X,X
ILJZOTS,X,X,X,X,X,X,O,X,X,X,X
ILJZOST,X,X,O,X,X,X,O,X,X,X,X
ILJOTSZ,X,X,X,O,O,X,O,X,O,X,O
ILJOTZS,X,X,X,X,O,X,O,X,X,X,O
ILJOSTZ,X,X,O,O,X,X,O,X,O,X,X
ILJOSZT,X,X,O,O,X,X,O,X,X,X,X
ILJOZTS,X,X,X,X,X,X,O,X,X,X,X
ILJOZST,X,X,O,X,X,X,O,X,X,X,X
ILSTJZO,X,X,X,O,X,X,O,X,X,X,X
ILSTJOZ,X,X,O,O,X,X,O,X,O,X,X
ILSTZJO,O,O,X,O,X,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X,X,O,X,X
ILSTOJZ,O,O,X,X,X,X,X,X,O,X,X
ILSTOZJ,X,O,X,X,X,X,X,X,O,X,X
ILSJTZO,X,X,X,O,X,X,O,X,X,X,X
ILSJTOZ,X,X,O,O,X,X,O,X,O,X,X
ILSJZTO,O,X,O,O,X,X,O,X,X,X,X
ILSJZOT,O,X,O,O,X,X,O,X,X,X,X
ILSJOTZ,O,X,O,O,X,X,O,X,O,X,X
ILSJOZT,O,X,O,O,X,X,O,X,X,X,X
ILSZTJO,O,O,O,O,X,X,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X,X,O,X,X
ILSZJTO,O,O,O,O,X,X,X,X,X,X,X
ILSZJOT,O,X,O,O,X,X,X,X,X,X,X
ILSZOTJ,O,O,X,X,X,X,X,X,O,X,X
ILSZOJT,O,O,O,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,X,O,X,X
ILSOTZJ,X,O,X,X,X,X,X,X,O,X,X
ILSOJTZ,O,O,O,X,X,X,X,X,O,X,X
ILSOJZT,O,X,O,X,X,X,X,X,X,X,X
ILSOZTJ,O,O,X,X,X,X,X,X,O,X,X
ILSOZJT,O,O,X,X,X,X,X,X,X,X,X
ILZTJSO,X,O,X,X,O,X,O,X,X,X,X
ILZTJOS,X,X,X,X,O,X,O,X,X,X,X
ILZTSJO,X,O,X,X,O,X,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,O,X,X,O,X,X
ILZTOJS,X,X,X,X,X,O,X,X,X,X,X
ILZTOSJ,X,O,X,X,X,O,X,X,O,X,X
ILZJTSO,X,O,X,X,O,X,O,X,X,X,X
ILZJTOS,X,X,X,X,O,X,O,X,X,X,X
ILZJSTO,O,O,O,X,X,X,O,X,X,X,X
ILZJSOT,O,X,O,X,X,X,O,X,X,X,X
ILZJOTS,X,X,X,X,X,X,O,X,X,X,X
ILZJOST,X,X,O,X,X,X,O,X,X,X,X
ILZSTJO,O,O,O,X,O,X,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X,X,O,X,X
ILZSJTO,O,O,O,X,X,X,X,X,X,X,X
ILZSJOT,O,X,O,X,X,X,X,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,X,X,O,X,X
ILZSOJT,O,O,O,X,X,X,X,X,X,X,X
ILZOTJS,X,O,X,X,X,O,X,X,X,X,X
ILZOTSJ,X,O,X,X,X,O,X,X,O,X,X
ILZOJTS,X,O,X,X,X,O,X,X,X,X,X
ILZOJST,O,O,X,X,X,X,X,X,X,X,X
ILZOSTJ,O,O,X,X,X,O,X,X,O,X,X
ILZOSJT,O,O,X,X,X,X,X,X,X,X,X
ILOTJSZ,X,O,X,X,X,X,O,O,O,X,X
ILOTJZS,X,X,X,X,X,X,O,O,X,X,X
ILOTSJZ,X,O,X,X,X,X,X,O,O,X,X
ILOTSZJ,X,O,X,X,X,O,X,X,O,X,X
ILOTZJS,X,O,X,X,X,O,X,O,X,X,X
ILOTZSJ,X,O,X,X,X,O,X,X,O,X,X
ILOJTSZ,X,O,X,X,X,X,O,X,O,X,O
ILOJTZS,X,X,X,X,X,X,O,X,X,X,O
ILOJSTZ,O,O,X,X,X,X,O,X,O,X,X
ILOJSZT,O,X,X,X,X,X,O,X,X,X,X
ILOJZTS,X,X,X,X,X,X,O,X,X,X,X
ILOJZST,O,X,X,X,X,X,O,X,X,X,X
ILOSTJZ,O,O,X,X,X,X,X,X,O,X,X
ILOSTZJ,X,O,X,X,X,X,X,X,O,X,X
ILOSJTZ,O,O,X,X,X,X,X,X,O,X,X
ILOSJZT,O,X,X,X,X,X,X,X,X,X,X
ILOSZTJ,O,O,X,X,X,X,X,X,O,X,X
ILOSZJT,O,O,X,X,X,X,X,X,X,X,X
ILOZTJS,X,O,X,X,X,O,X,X,X,X,X
ILOZTSJ,X,O,X,X,X,O,X,X,O,X,X
ILOZJTS,X,O,X,X,X,O,X,X,X,X,X
ILOZJST,O,O,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,O,X,X,X,O,X,X,O,X,X
ILOZSJT,O,O,X,X,X,X,X,X,X,X,X
IJTLSZO,X,X,X,O,O,X,O,O,X,X,X
IJTLSOZ,X,X,X,O,O,X,O,O,O,X,X
IJTLZSO,X,X,X,X,O,X,O,O,X,X,X
IJTLZOS,X,X,X,X,O,X,O,O,X,X,X
IJTLOSZ,X,X,X,O,O,X,O,O,O,X,X
IJTLOZS,X,X,X,X,O,X,O,O,X,X,X
IJTSLZO,X,X,X,O,O,X,X,O,X,X,X
IJTSLOZ,X,X,X,O,O,X,X,O,O,X,X
IJTSZLO,X,X,X,O,O,X,X,O,X,X,X
IJTSZOL,X,X,X,O,O,X,X,O,X,X,X
IJTSOLZ,X,X,X,O,O,X,X,O,O,X,X
IJTSOZL,X,X,X,O,O,X,X,O,X,X,X
IJTZLSO,X,X,X,X,O,X,X,O,X,X,X
IJTZLOS,X,X,X,X,O,X,X,O,X,X,X
IJTZSLO,X,X,X,O,O,X,X,O,X,X,X
IJTZSOL,X,X,X,O,O,X,X,O,X,X,X
IJTZOLS,X,X,X,X,O,X,X,O,X,X,X
IJTZOSL,X,X,X,O,O,X,X,O,X,X,X
IJTOLSZ,X,X,X,O,O,X,O,O,O,X,X
IJTOLZS,X,X,X,X,O,X,O,O,X,X,X
IJTOSLZ,X,X,X,O,O,X,X,O,O,X,X
IJTOSZL,X,X,X,O,O,X,X,O,X,X,X
IJTOZLS,X,X,X,X,O,X,X,O,X,X,X
IJTOZSL,X,X,X,O,O,X,X,O,X,X,X
IJLTSZO,X,X,X,O,O,X,O,X,X,X,X
IJLTSOZ,X,X,X,O,O,X,O,X,O,X,X
IJLTZSO,X,X,X,X,O,X,O,X,X,X,X
IJLTZOS,X,X,X,X,O,X,O,X,X,X,X
IJLTOSZ,X,X,X,O,O,X,O,X,O,X,X
IJLTOZS,X,X,X,X,O,X,O,X,X,X,X
IJLSTZO,X,X,X,O,X,X,O,X,X,X,X
IJLSTOZ,X,X,O,O,X,X,O,X,O,X,X
IJLSZTO,X,X,O,O,X,X,O,X,X,X,X
IJLSZOT,X,X,O,O,X,X,O,X,X,X,X
IJLSOTZ,X,X,O,O,X,X,O,X,O,X,O
IJLSOZT,X,X,O,O,X,X,O,X,X,X,X
IJLZTSO,X,X,X,X,O,X,O,X,X,X,X
IJLZTOS,X,X,X,X,O,X,O,X,X,X,X
IJLZSTO,X,X,O,X,X,X,O,X,X,X,X
IJLZSOT,X,X,O,X,X,X,O,X,X,X,X
IJLZOTS,X,X,X,X,X,X,O,X,X,X,X
IJLZOST,X,X,O,X,X,X,O,X,X,X,X
IJLOTSZ,X,X,X,O,O,X,O,X,O,X,O
IJLOTZS,X,X,X,X,O,X,O,X,X,X,O
IJLOSTZ,X,X,O,O,X,X,O,X,O,X,X
IJLOSZT,X,X,O,O,X,X,O,X,X,X,X
IJLOZTS,X,X,X,X,X,X,O,X,X,X,X
IJLOZST,X,X,O,X,X,X,O,X,X,X,X
IJSTLZO,X,X,X,O,O,X,X,X,X,X,X
IJSTLOZ,X,X,O,O,O,X,X,X,O,X,X
IJSTZLO,X,X,O,O,O,X,X,X,X,X,X
IJSTZOL,X,X,X,O,O,X,X,X,X,X,X
IJSTOLZ,X,X,X,O,O,X,X,X,O,X,X
IJSTOZL,X,X,X,O,O,X,X,X,X,X,X
IJSLTZO,X,X,X,O,X,X,O,X,X,X,X
IJSLTOZ,X,X,O,O,X,X,O,X,O,X,X
IJSLZTO,X,X,O,O,X,X,O,X,X,X,X
IJSLZOT,X,X,O,O,X,X,O,X,X,X,X
IJSLOTZ,X,X,O,O,X,X,O,X,O,X,O
IJSLOZT,X,X,O,O,X,X,O,X,X,X,X
IJSZTLO,X,X,O,O,O,X,X,X,X,X,X
IJSZTOL,X,X,X,O,O,X,X,X,X,X,X
IJSZLTO,X,X,O,O,X,X,X,X,X,X,X
IJSZLOT,X,X,O,O,X,X,X,X,X,X,X
IJSZOTL,X,X,X,O,X,X,X,X,X,X,X
IJSZOLT,X,X,O,O,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,O,O,X,X,X,O,X,X
IJSOTZL,X,X,X,O,O,X,X,X,X,X,X
IJSOLTZ,X,X,O,O,X,X,O,X,O,X,O
IJSOLZT,X,X,O,O,X,X,O,X,X,X,X
IJSOZTL,X,X,X,O,X,X,X,X,X,X,X
IJSOZLT,X,X,O,O,X,X,X,X,X,X,X
IJZTLSO,X,X,X,X,O,X,X,X,X,X,X
IJZTLOS,X,X,X,X,O,X,X,X,X,X,X
IJZTSLO,X,X,X,O,O,X,X,X,X,X,X
IJZTSOL,X,X,X,O,O,X,X,X,X,X,X
IJZTOLS,X,X,X,X,O,X,X,X,X,X,X
IJZTOSL,X,X,X,O,O,X,X,X,X,X,X
IJZLTSO,X,X,X,X,O,X,O,X,X,X,X
IJZLTOS,X,X,X,X,O,X,O,X,X,X,X
IJZLSTO,X,X,O,X,X,X,O,X,X,X,X
IJZLSOT,X,X,O,X,X,X,O,X,X,X,X
IJZLOTS,X,X,X,X,X,X,O,X,X,X,X
IJZLOST,X,X,O,X,X,X,O,X,X,X,X
IJZSTLO,X,X,O,O,O,X,X,X,X,X,X
IJZSTOL,X,X,X,O,O,X,X,X,X,X,X
IJZSLTO,X,X,O,O,X,X,X,X,X,X,X
IJZSLOT,X,X,O,O,X,X,X,X,X,X,X
IJZSOTL,X,X,X,O,X,X,X,X,X,X,X
IJZSOLT,X,X,O,O,X,X,X,X,X,X,X
IJZOTLS,X,X,X,X,O,X,X,X,X,X,X
IJZOTSL,X,X,X,O,O,X,X,X,X,X,X
IJZOLTS,X,X,X,X,X,X,O,X,X,X,X
IJZOLST,X,X,O,X,X,X,O,X,X,X,X
IJZOSTL,X,X,X,O,X,X,X,X,X,X,X
IJZOSLT,X,X,O,O,X,X,X,X,X,X,X
IJOTLSZ,X,X,X,O,O,X,O,O,O,X,X
IJOTLZS,X,X,X,X,O,X,O,O,X,X,X
IJOTSLZ,X,X,X,O,O,X,X,O,O,X,X
IJOTSZL,X,X,X,O,O,X,X,O,X,X,X
IJOTZLS,X,X,X,X,O,X,X,O,X,X,X
IJOTZSL,X,X,X,O,O,X,X,O,X,X,X
IJOLTSZ,X,X,X,O,O,X,O,X,O,X,O
IJOLTZS,X,X,X,X,O,X,O,X,X,X,O
IJOLSTZ,X,X,O,O,X,X,O,X,O,X,X
IJOLSZT,X,X,O,O,X,X,O,X,X,X,X
IJOLZTS,X,X,X,X,X,X,O,X,X,X,X
IJOLZST,X,X,O,X,X,X,O,X,X,X,X
IJOSTLZ,X,X,X,O,O,X,X,X,O,X,X
IJOSTZL,X,X,X,O,O,X,X,X,X,X,X
IJOSLTZ,X,X,O,O,X,X,O,X,O,X,O
IJOSLZT,X,X,O,O,X,X,O,X,X,X,X
IJOSZTL,X,X,X,O,X,X,X,X,X,X,X
IJOSZLT,X,X,O,O,X,X,X,X,X,X,X
IJOZTLS,X,X,X,X,O,X,X,X,X,X,X
IJOZTSL,X,X,X,O,O,X,X,X,X,X,X
IJOZLTS,X,X,X,X,X,X,O,X,X,X,X
IJOZLST,X,X,O,X,X,X,O,X,X,X,X
IJOZSTL,X,X,X,O,X,X,X,X,X,X,X
IJOZSLT,X,X,O,O,X,X,X,X,X,X,X
ISTLJZO,X,X,X,O,O,X,X,O,X,X,X
ISTLJOZ,X,X,O,O,O,X,X,O,O,X,X
ISTLZJO,O,X,X,O,O,X,X,X,X,X,X
ISTLZOJ,O,X,X,X,X,X,X,X,O,O,X
ISTLOJZ,O,X,X,X,X,X,X,O,O,X,X
ISTLOZJ,X,X,X,X,X,X,X,X,O,O,X
ISTJLZO,X,X,X,O,O,X,X,O,X,X,X
ISTJLOZ,X,X,O,O,O,X,X,O,O,X,X
ISTJZLO,X,X,O,O,O,X,X,O,X,X,X
ISTJZOL,X,X,X,O,O,X,X,O,X,O,X
ISTJOLZ,X,X,X,O,O,X,X,O,O,X,X
ISTJOZL,X,X,X,O,O,X,X,O,X,O,X
ISTZLJO,O,X,O,O,O,X,X,X,X,X,X
ISTZLOJ,O,X,X,X,X,X,X,X,O,O,X
ISTZJLO,O,X,O,O,O,X,X,X,X,X,X
ISTZJOL,O,X,X,O,O,X,X,X,X,O,X
ISTZOLJ,O,X,X,X,X,X,X,X,O,O,X
ISTZOJL,O,X,X,O,O,X,X,X,X,O,X
ISTOLJZ,O,X,X,X,X,X,X,O,O,X,X
ISTOLZJ,X,X,X,X,X,X,X,X,O,O,X
ISTOJLZ,O,X,X,O,O,X,X,O,O,X,X
ISTOJZL,X,X,X,O,O,X,X,O,X,O,X
ISTOZLJ,X,X,X,X,X,X,X,X,O,O,X
ISTOZJL,X,X,X,O,O,X,X,X,X,O,X
ISLTJZO,X,X,X,O,X,X,O,X,X,X,X
ISLTJOZ,X,X,O,O,X,X,O,X,O,X,X
ISLTZJO,O,X,X,O,X,X,X,X,X,X,X
ISLTZOJ,O,X,X,X,X,X,X,X,O,O,X
ISLTOJZ,O,X,X,X,X,X,X,X,O,X,X
ISLTOZJ,X,X,X,X,X,X,X,X,O,O,X
ISLJTZO,X,X,X,O,X,X,O,X,X,X,X
ISLJTOZ,X,X,O,O,X,X,O,X,O,X,X
ISLJZTO,O,X,O,O,X,X,O,X,X,X,X
ISLJZOT,O,X,O,O,X,X,O,X,X,X,X
ISLJOTZ,O,X,O,O,X,X,O,X,O,X,X
ISLJOZT,O,X,O,O,X,X,O,X,X,X,X
ISLZTJO,O,X,O,O,X,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,X,X,X,X,O,O,X
ISLZJTO,O,X,O,O,X,X,X,X,X,X,X
ISLZJOT,O,X,O,O,X,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X,O,X,X
ISLZOJT,O,X,O,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,X,O,X,X
ISLOTZJ,X,X,X,X,X,X,X,X,O,X,X
ISLOJTZ,O,X,O,X,X,X,X,X,O,X,X
ISLOJZT,O,X,O,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X,O,X,X
ISLOZJT,O,X,X,X,X,X,X,X,X,X,X
ISJTLZO,X,X,X,O,O,X,X,X,X,X,X
ISJTLOZ,X,X,O,O,O,X,X,X,O,X,X
ISJTZLO,X,X,O,O,O,X,X,X,X,X,X
ISJTZOL,X,X,X,O,O,X,X,X,X,O,X
ISJTOLZ,X,X,X,O,O,X,X,X,O,X,X
ISJTOZL,X,X,X,O,O,X,X,X,X,O,X
ISJLTZO,X,X,X,O,X,X,O,X,X,X,X
ISJLTOZ,X,X,O,O,X,X,O,X,O,X,X
ISJLZTO,O,X,O,O,X,X,O,X,X,X,X
ISJLZOT,O,X,O,O,X,X,O,X,X,X,X
ISJLOTZ,O,X,O,O,X,X,O,X,O,X,X
ISJLOZT,O,X,O,O,X,X,O,X,X,X,X
ISJZTLO,O,X,O,O,O,X,X,X,X,X,X
ISJZTOL,O,X,X,O,O,X,X,X,X,O,X
ISJZLTO,O,X,O,O,X,X,X,X,X,X,X
ISJZLOT,O,X,O,O,X,X,X,X,X,X,X
ISJZOTL,O,X,X,O,X,X,X,X,X,X,X
ISJZOLT,O,X,O,O,X,X,X,X,X,X,X
ISJOTLZ,O,X,X,O,O,X,X,X,O,X,X
ISJOTZL,X,X,X,O,O,X,X,X,X,X,X
ISJOLTZ,O,X,O,O,X,X,O,X,O,X,X
ISJOLZT,O,X,O,O,X,X,O,X,X,X,X
ISJOZTL,X,X,X,O,X,X,X,X,X,X,X
ISJOZLT,O,X,O,O,X,X,X,X,X,X,X
ISZTLJO,O,X,O,O,O,X,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,X,X,X,O,O,X
ISZTJLO,O,X,O,O,O,X,X,X,X,X,X
ISZTJOL,O,X,X,O,O,X,X,X,X,O,X
ISZTOLJ,O,X,X,X,X,X,X,X,O,O,X
ISZTOJL,O,X,X,O,O,X,X,X,X,O,X
ISZLTJO,O,X,O,O,O,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X,X,X,O,O,X
ISZLJTO,O,X,O,O,X,X,X,X,X,X,X
ISZLJOT,O,X,O,O,X,X,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X,O,X,X
ISZLOJT,O,X,O,X,X,X,X,X,X,X,X
ISZJTLO,O,X,O,O,O,X,X,X,X,X,X
ISZJTOL,O,X,X,O,O,X,X,X,X,O,X
ISZJLTO,O,X,O,O,X,X,X,X,X,X,X
ISZJLOT,O,X,O,O,X,X,X,X,X,X,X
ISZJOTL,O,X,X,O,X,X,X,X,X,X,X
ISZJOLT,O,X,O,O,X,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X,O,O,X
ISZOTJL,O,X,X,O,O,X,X,X,X,O,X
ISZOLTJ,O,X,X,X,X,X,X,X,O,X,X
ISZOLJT,O,X,O,X,X,X,X,X,X,X,X
ISZOJTL,O,X,X,O,X,X,X,X,X,X,X
ISZOJLT,O,X,O,O,X,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,X,X,X,O,O,X,X
ISOTLZJ,X,X,X,X,X,X,X,X,O,O,X
ISOTJLZ,O,X,X,O,X,X,X,O,O,X,X
ISOTJZL,X,X,X,O,X,X,X,O,X,O,X
ISOTZLJ,X,X,X,X,X,X,X,X,O,O,X
ISOTZJL,X,X,X,O,X,X,X,X,X,O,X
ISOLTJZ,O,X,X,X,X,X,X,X,O,X,X
ISOLTZJ,X,X,X,X,X,X,X,X,O,X,X
ISOLJTZ,O,X,O,X,X,X,X,X,O,X,X
ISOLJZT,O,X,O,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,X,X,O,X,X
ISOLZJT,O,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,X,O,X,X,X,X,O,X,X
ISOJTZL,X,X,X,O,X,X,X,X,X,X,X
ISOJLTZ,O,X,O,O,X,X,X,X,O,X,X
ISOJLZT,O,X,O,O,X,X,X,X,X,X,X
ISOJZTL,O,X,X,O,X,X,X,X,X,X,X
ISOJZLT,O,X,O,O,X,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,X,X,X,O,O,X
ISOZTJL,O,X,X,O,X,X,X,X,X,O,X
ISOZLTJ,O,X,X,X,X,X,X,X,O,X,X
ISOZLJT,O,X,O,X,X,X,X,X,X,X,X
ISOZJTL,O,X,X,O,X,X,X,X,X,X,X
ISOZJLT,O,X,O,O,X,X,X,X,X,X,X
IZTLJSO,X,O,X,X,O,X,X,O,X,X,X
IZTLJOS,X,X,X,X,O,X,X,O,X,X,X
IZTLSJO,X,O,X,X,O,X,X,X,X,X,X
IZTLSOJ,X,O,X,X,X,O,X,X,O,X,X
IZTLOJS,X,X,X,X,X,O,X,O,X,X,X
IZTLOSJ,X,O,X,X,X,O,X,X,O,X,X
IZTJLSO,X,O,X,X,O,X,X,O,X,X,X
IZTJLOS,X,X,X,X,O,X,X,O,X,X,X
IZTJSLO,X,X,X,O,O,X,X,O,X,X,X
IZTJSOL,X,X,X,O,O,X,X,O,X,X,X
IZTJOLS,X,X,X,X,O,X,X,O,X,X,X
IZTJOSL,X,X,X,O,O,X,X,O,X,X,X
IZTSLJO,X,O,X,O,O,X,X,X,X,X,X
IZTSLOJ,X,O,X,X,X,X,X,X,O,X,X
IZTSJLO,X,X,X,O,O,X,X,X,X,X,X
IZTSJOL,X,X,X,O,O,X,X,X,X,X,X
IZTSOLJ,X,X,X,X,X,O,X,X,O,X,X
IZTSOJL,X,X,X,O,O,O,X,X,X,X,X
IZTOLJS,X,X,X,X,X,O,X,O,X,X,X
IZTOLSJ,X,O,X,X,X,O,X,X,O,X,X
IZTOJLS,X,X,X,X,O,O,X,O,X,X,X
IZTOJSL,X,X,X,X,O,O,X,O,X,X,X
IZTOSLJ,X,X,X,X,X,O,X,X,O,X,X
IZTOSJL,X,X,X,X,O,O,X,X,X,X,X
IZLTJSO,X,O,X,X,O,X,O,X,X,X,X
IZLTJOS,X,X,X,X,O,X,O,X,X,X,X
IZLTSJO,X,O,X,X,O,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,O,X,X,O,X,X
IZLTOJS,X,X,X,X,X,O,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,O,X,X,O,X,X
IZLJTSO,X,O,X,X,O,X,O,X,X,X,X
IZLJTOS,X,X,X,X,O,X,O,X,X,X,X
IZLJSTO,O,O,O,X,X,X,O,X,X,X,X
IZLJSOT,O,X,O,X,X,X,O,X,X,X,X
IZLJOTS,X,X,X,X,X,X,O,X,X,X,X
IZLJOST,X,X,O,X,X,X,O,X,X,X,X
IZLSTJO,O,O,O,X,O,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X,O,X,X
IZLSJTO,O,O,O,X,X,X,X,X,X,X,X
IZLSJOT,O,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X,X,O,X,X
IZLSOJT,O,O,O,X,X,X,X,X,X,X,X
IZLOTJS,X,O,X,X,X,O,X,X,X,X,X
IZLOTSJ,X,O,X,X,X,O,X,X,O,X,X
IZLOJTS,X,O,X,X,X,O,X,X,X,X,X
IZLOJST,O,O,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,O,X,X,O,X,X
IZLOSJT,O,O,X,X,X,X,X,X,X,X,X
IZJTLSO,X,O,X,X,O,X,X,X,X,X,X
IZJTLOS,X,X,X,X,O,X,X,X,X,X,X
IZJTSLO,X,X,X,O,O,X,X,X,X,X,X
IZJTSOL,X,X,X,O,O,X,X,X,X,X,X
IZJTOLS,X,X,X,X,O,X,X,X,X,X,X
IZJTOSL,X,X,X,O,O,X,X,X,X,X,X
IZJLTSO,X,O,X,X,O,X,O,X,X,X,X
IZJLTOS,X,X,X,X,O,X,O,X,X,X,X
IZJLSTO,O,O,O,X,X,X,O,X,X,X,X
IZJLSOT,O,X,O,X,X,X,O,X,X,X,X
IZJLOTS,X,X,X,X,X,X,O,X,X,X,X
IZJLOST,X,X,O,X,X,X,O,X,X,X,X
IZJSTLO,O,X,O,O,O,X,X,X,X,X,X
IZJSTOL,O,X,X,O,O,X,X,X,X,X,X
IZJSLTO,O,X,O,O,X,X,X,X,X,X,X
IZJSLOT,O,X,O,O,X,X,X,X,X,X,X
IZJSOTL,O,X,X,O,X,X,X,X,X,X,X
IZJSOLT,O,X,O,O,X,X,X,X,X,X,X
IZJOTLS,X,X,X,X,O,X,X,X,X,X,X
IZJOTSL,X,X,X,O,O,X,X,X,X,X,X
IZJOLTS,X,X,X,X,X,X,O,X,X,X,X
IZJOLST,O,X,O,X,X,X,O,X,X,X,X
IZJOSTL,O,X,X,O,X,X,X,X,X,X,X
IZJOSLT,O,X,O,O,X,X,X,X,X,X,X
IZSTLJO,O,O,O,O,O,X,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,X,O,X,X
IZSTJLO,O,X,O,O,O,X,X,X,X,X,X
IZSTJOL,O,X,X,O,O,X,X,X,X,X,X
IZSTOLJ,O,X,X,X,X,X,X,X,O,X,X
IZSTOJL,O,X,X,O,O,X,X,X,X,X,X
IZSLTJO,O,O,O,O,O,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X,O,X,X
IZSLJTO,O,O,O,O,X,X,X,X,X,X,X
IZSLJOT,O,X,O,O,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X,X,O,X,X
IZSLOJT,O,X,O,X,X,X,X,X,X,X,X
IZSJTLO,O,X,O,O,O,X,X,X,X,X,X
IZSJTOL,O,X,X,O,O,X,X,X,X,X,X
IZSJLTO,O,X,O,O,X,X,X,X,X,X,X
IZSJLOT,O,X,O,O,X,X,X,X,X,X,X
IZSJOTL,O,X,X,O,X,X,X,X,X,X,X
IZSJOLT,O,X,O,O,X,X,X,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,X,X,O,X,X
IZSOTJL,O,X,X,O,O,X,X,X,X,X,X
IZSOLTJ,O,X,X,X,X,X,X,X,O,X,X
IZSOLJT,O,X,O,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X,X,X,X,X
IZSOJLT,O,X,O,O,X,X,X,X,X,X,X
IZOTLJS,X,O,X,X,X,O,X,O,X,X,X
IZOTLSJ,X,O,X,X,X,O,X,X,O,X,X
IZOTJLS,X,O,X,X,O,O,X,O,X,X,X
IZOTJSL,X,X,X,X,O,O,X,O,X,X,X
IZOTSLJ,X,O,X,X,X,O,X,X,O,X,X
IZOTSJL,X,X,X,X,O,O,X,X,X,X,X
IZOLTJS,X,O,X,X,X,O,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,O,X,X,O,X,X
IZOLJTS,X,O,X,X,X,O,X,X,X,X,X
IZOLJST,O,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,O,X,X,O,X,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,O,O,X,X,X,X,X
IZOJTSL,X,X,X,X,O,O,X,X,X,X,X
IZOJLTS,X,O,X,X,X,O,X,X,X,X,X
IZOJLST,O,O,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,O,X,X,X,O,X,X,O,X,X
IZOSTJL,O,X,X,X,O,O,X,X,X,X,X
IZOSLTJ,O,O,X,X,X,O,X,X,O,X,X
