sequence,v115@KhA8FeA8BeB8DeF8CeB8Je/EJvhFalBRhBGjBznBUs?BlrB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBxiBXoBUs?BCsB,v115@KhA8FeA8BeB8DeF8CeB8Jem/IvhFFhBXiBTjB0kBRs?BSxB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBSoBRsB8r?B3sB,v115@KhA8FeA8BeB8DeF8CeB8JeRBJvhF3iBcoBlkB6rBmk?BTsB,v115@KhA8FeA8BeB8DeF8CeB8Jei/IvhFRhBcoBzkBlmBXs?BusB
TZIOJLS,X,X,O,X,X,X
TZIOJSL,O,X,O,X,X,X
TZIOSLJ,O,X,O,X,O,O
TZIOSJL,O,X,O,X,X,O
TZLIJSO,X,X,O,O,O,X
TZLIJOS,X,X,O,O,X,X
TZLISJO,X,X,O,X,O,X
TZLISOJ,X,X,O,X,O,X
TZLIOJS,X,X,O,X,O,X
TZLIOSJ,X,X,O,X,O,X
TZLJISO,X,X,O,O,O,X
TZLJIOS,X,X,O,O,X,X
TZLJSIO,X,O,X,X,O,X
TZLJSOI,X,O,X,X,O,X
TZLJOIS,X,X,O,O,O,X
TZLJOSI,X,O,X,X,O,X
TZLSIJO,X,O,X,X,O,X
TZLSIOJ,X,X,X,X,O,X
TZLSJIO,X,O,X,X,O,X
TZLSJOI,X,O,X,X,O,X
TZLSOIJ,X,X,X,X,O,X
TZLSOJI,X,X,X,X,O,X
TZLOIJS,X,X,O,X,O,X
TZLOISJ,X,X,O,X,O,X
TZLOJIS,X,X,O,X,O,X
TZLOJSI,X,X,X,X,O,X
TZLOSIJ,X,X,X,X,O,X
TZLOSJI,X,X,X,X,O,X
TZJILSO,X,X,O,O,O,X
TZJILOS,X,X,O,O,X,X
TZJISLO,O,O,O,O,X,X
TZJISOL,X,O,O,O,X,X
TZJIOLS,X,X,O,O,X,X
TZJIOSL,X,O,O,O,X,X
TZJLISO,X,X,O,O,O,X
TZJLIOS,X,X,O,O,X,X
TZJLSIO,X,O,X,X,O,X
TZJLSOI,X,O,X,X,O,X
TZJLOIS,X,X,O,O,O,X
TZJLOSI,X,O,X,X,O,X
TZJSILO,O,O,O,X,X,X
TZJSIOL,X,O,O,X,X,X
TZJSLIO,O,O,X,X,O,X
TZJSLOI,X,O,X,X,O,X
TZJSOIL,X,O,O,X,X,X
TZJSOLI,X,O,X,X,X,X
TZJOILS,X,X,O,O,X,X
TZJOISL,X,O,O,O,X,X
TZJOLIS,X,X,O,O,O,X
TZJOLSI,X,O,X,X,O,X
TZJOSIL,X,O,O,X,X,X
TZJOSLI,X,O,X,X,O,X
TZSILJO,O,O,O,X,O,X
TZSILOJ,O,X,O,X,O,O
TZSIJLO,O,O,O,X,X,X
TZSIJOL,X,O,O,X,X,O
TZSIOLJ,O,X,O,X,X,O
TZSIOJL,O,O,O,X,X,O
TZSLIJO,O,O,X,X,O,X
TZSLIOJ,O,X,X,X,O,O
TZSLJIO,O,O,X,X,O,X
TZSLJOI,X,O,X,X,O,X
TZSLOIJ,O,X,X,X,O,O
TZSLOJI,O,X,X,X,O,O
TZSJILO,O,O,O,X,X,X
TZSJIOL,X,O,O,X,X,O
TZSJLIO,O,O,X,X,O,X
TZSJLOI,X,O,X,X,O,X
TZSJOIL,X,O,O,X,X,O
TZSJOLI,X,O,X,X,X,O
TZSOILJ,O,X,O,X,O,O
TZSOIJL,O,O,O,X,X,O
TZSOLIJ,O,X,X,X,O,O
TZSOLJI,O,X,X,X,O,O
TZSOJIL,O,O,O,X,X,O
TZSOJLI,O,O,X,X,O,O
TZOILJS,X,X,O,X,O,X
TZOILSJ,X,X,O,X,O,O
TZOIJLS,X,X,O,X,X,X
TZOIJSL,O,X,O,X,X,X
TZOISLJ,O,X,O,X,O,O
TZOISJL,O,X,O,X,X,O
TZOLIJS,X,X,O,X,O,X
TZOLISJ,X,X,O,X,O,O
TZOLJIS,X,X,O,X,O,X
TZOLJSI,X,X,X,X,O,X
TZOLSIJ,X,X,X,X,O,O
TZOLSJI,X,X,X,X,O,O
TZOJILS,X,X,O,X,X,X
TZOJISL,O,O,O,X,X,X
TZOJLIS,X,X,O,X,O,X
TZOJLSI,X,O,X,X,O,X
TZOJSIL,O,O,O,X,X,X
TZOJSLI,O,O,X,X,O,X
TZOSILJ,O,X,O,X,O,O
TZOSIJL,O,O,O,X,X,O
TZOSLIJ,O,X,X,X,O,O
TZOSLJI,O,X,X,X,O,O
TZOSJIL,O,O,O,X,X,O
TZOSJLI,O,O,X,X,O,O
TOILJSZ,X,X,X,O,X,O
TOILJZS,X,X,X,O,O,X
TOILSJZ,X,X,X,X,X,O
TOILSZJ,X,X,O,X,O,O
TOILZJS,X,X,O,X,O,X
TOILZSJ,X,X,O,X,O,O
TOIJLSZ,X,X,X,O,X,O
TOIJLZS,X,X,X,O,X,X
TOIJSLZ,O,X,X,O,X,O
TOIJSZL,X,X,O,O,X,O
TOIJZLS,X,X,O,O,X,X
TOIJZSL,X,X,O,O,X,X
TOISLJZ,O,X,X,X,X,O
TOISLZJ,X,X,O,X,X,O
TOISJLZ,O,X,X,X,X,O
TOISJZL,X,X,O,X,X,O
TOISZLJ,X,X,O,X,X,O
TOISZJL,X,X,O,X,X,O
TOIZLJS,X,X,O,X,O,X
