sequence,v115@OhA8BeA8FeB8AeD8AeD8Kem/IvhFzgBfnBxiB0kB6t?BFrB,v115@OhA8BeA8FeB8AeD8AeD8KeT/IvhF0hBmiB5oBllBXl?BirB,v115@OhA8BeA8FeB8AeD8AeD8KeyEJvhFzgBfnBmiB5oB0k?BFrB,v115@OhA8BeA8FeB8AeD8AeD8Ke/EJvhFUgBFhBxiBzmB6t?BmqB,v115@OhA8BeA8FeB8AeD8AeD8Ke/EJvhFUgBmiB5oByqBzm?BFrB
TZLOIJS,O,O,X,X,X
TZLOISJ,O,O,O,X,X
TZLOJIS,O,O,X,X,X
TZLOJSI,O,O,X,X,X
TZLOSIJ,O,O,O,X,X
TZLOSJI,O,O,O,X,X
TZJILSO,O,X,X,X,X
TZJILOS,O,O,X,X,X
TZJISLO,O,X,X,X,X
TZJISOL,O,O,X,X,X
TZJIOLS,O,O,X,X,X
TZJIOSL,O,O,X,X,X
TZJLISO,O,X,X,X,X
TZJLIOS,O,O,X,X,X
TZJLSIO,O,X,X,X,X
TZJLSOI,O,X,X,X,X
TZJLOIS,O,O,X,X,X
TZJLOSI,O,X,X,X,X
TZJSILO,O,X,X,X,X
TZJSIOL,O,O,X,X,X
TZJSLIO,O,X,X,X,X
TZJSLOI,O,X,X,X,X
TZJSOIL,O,O,X,X,X
TZJSOLI,O,X,X,X,X
TZJOILS,O,O,X,X,X
TZJOISL,O,O,X,X,X
TZJOLIS,O,O,X,X,X
TZJOLSI,O,X,X,X,X
TZJOSIL,O,O,X,X,X
TZJOSLI,O,X,X,X,X
TZSILJO,O,X,O,X,X
TZSILOJ,O,X,O,X,X
TZSIJLO,O,X,O,X,X
TZSIJOL,O,O,O,X,X
TZSIOLJ,O,X,O,X,X
TZSIOJL,O,O,O,X,X
TZSLIJO,O,X,O,X,X
TZSLIOJ,O,X,O,X,X
TZSLJIO,O,X,O,X,X
TZSLJOI,O,X,O,X,X
TZSLOIJ,O,X,O,X,X
TZSLOJI,O,X,O,X,X
TZSJILO,O,X,O,X,X
TZSJIOL,O,O,O,X,X
TZSJLIO,O,X,O,X,X
TZSJLOI,O,X,O,X,X
TZSJOIL,O,O,O,X,X
TZSJOLI,O,X,O,X,X
TZSOILJ,O,X,O,X,X
TZSOIJL,O,O,O,X,X
TZSOLIJ,O,X,O,X,X
TZSOLJI,O,X,O,X,X
TZSOJIL,O,O,O,X,X
TZSOJLI,O,X,O,X,X
TZOILJS,O,O,X,X,X
TZOILSJ,O,O,O,X,X
TZOIJLS,O,O,X,X,X
TZOIJSL,O,O,X,X,X
TZOISLJ,O,X,O,X,X
TZOISJL,O,O,O,X,X
TZOLIJS,O,O,X,X,X
TZOLISJ,O,O,O,X,X
TZOLJIS,O,O,X,X,X
TZOLJSI,O,O,X,X,X
TZOLSIJ,O,O,O,X,X
TZOLSJI,O,O,O,X,X
TZOJILS,O,O,X,X,X
TZOJISL,O,O,X,X,X
TZOJLIS,O,O,X,X,X
TZOJLSI,O,X,X,X,X
TZOJSIL,O,O,X,X,X
TZOJSLI,O,X,X,X,X
TZOSILJ,O,X,O,X,X
TZOSIJL,O,O,O,X,X
TZOSLIJ,O,X,O,X,X
TZOSLJI,O,X,O,X,X
TZOSJIL,O,O,O,X,X
TZOSJLI,O,X,O,X,X
TOILJSZ,X,O,O,O,O
TOILJZS,X,O,X,O,X
TOILSJZ,O,O,O,O,O
TOILSZJ,O,O,O,O,O
TOILZJS,O,O,X,O,X
TOILZSJ,O,O,O,O,X
TOIJLSZ,X,O,O,O,O
TOIJLZS,X,O,X,O,X
TOIJSLZ,X,X,O,O,O
TOIJSZL,X,O,O,O,O
TOIJZLS,X,O,X,X,X
TOIJZSL,X,O,X,O,X
TOISLJZ,O,O,O,O,O
TOISLZJ,O,O,O,O,O
TOISJLZ,X,X,O,O,O
TOISJZL,O,O,O,O,O
TOISZLJ,O,X,O,O,O
TOISZJL,O,O,O,O,O
TOIZLJS,O,O,X,X,X
TOIZLSJ,O,O,O,X,X
TOIZJLS,O,O,X,X,X
TOIZJSL,O,O,X,O,X
TOIZSLJ,O,X,O,O,X
TOIZSJL,O,O,O,O,X
TOLIJSZ,X,O,O,O,O
TOLIJZS,X,O,X,O,X
TOLISJZ,O,O,O,O,O
TOLISZJ,O,O,O,O,O
TOLIZJS,O,O,X,O,X
TOLIZSJ,O,O,O,O,X
TOLJISZ,X,O,O,O,O
TOLJIZS,X,O,X,O,X
TOLJSIZ,O,O,O,O,O
TOLJSZI,O,O,O,O,O
TOLJZIS,O,O,X,O,X
TOLJZSI,O,O,X,O,X
TOLSIJZ,O,O,O,O,O
TOLSIZJ,O,O,O,O,O
TOLSJIZ,O,O,O,O,O
TOLSJZI,O,O,O,O,O
TOLSZIJ,O,O,O,O,O
TOLSZJI,O,O,O,O,O
TOLZIJS,O,O,X,O,X
TOLZISJ,O,O,O,O,X
TOLZJIS,O,O,X,O,X
TOLZJSI,O,O,X,O,X
TOLZSIJ,O,O,O,O,X
TOLZSJI,O,O,O,O,X
TOJILSZ,X,O,O,O,O
