sequence,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFxhBXjBimBc?tBFqBGsB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFfnBxiBUmBG?oBFqBzsB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhF0hBxiB2rBC?oBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je2FJvhFRhBCjB3mBT?oBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFKmBfnBxiBu?sBctBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je2FJvhFfnBxiBqsBT?oBUmBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFKmBGjBRnBU?nBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFziB+oBRmB3?mBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFOmB8mBCjBF?qBxsBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFihB3mBFqBx?sBusBctB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFzhBWoBUmBF?qBxsBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhFXjBmlBzmBc?tB6sBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeXBJvhFliBzmBRqBC?tBOqBctB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeUCJvhFTjBxlBmlBS?sBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhF0iBmlBzmBS?tBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhFXjBmlBzmBS?tBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTBJvhFFjBSqBctBx?rBOqB/sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je1GJvhFTjBXlBWtBR?rBiqB0sB
ZIJTLSO,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ZIJTLOS,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ZIJTSLO,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ZIJTSOL,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ZIJTOLS,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ZIJTOSL,O,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X
ZIJLTSO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIJLTOS,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZIJLSTO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIJLSOT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIJLOTS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZIJLOST,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZIJSTLO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIJSTOL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIJSLTO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIJSLOT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIJSOTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZIJSOLT,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZIJOTLS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZIJOTSL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZIJOLTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ZIJOLST,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
ZIJOSTL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZIJOSLT,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZISTLJO,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZISTLOJ,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZISTJLO,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZISTJOL,O,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
ZISTOLJ,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZISTOJL,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
ZISLTJO,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZISLTOJ,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZISLJTO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZISLJOT,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZISLOTJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZISLOJT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZISJTLO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZISJTOL,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZISJLTO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZISJLOT,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZISJOTL,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZISJOLT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZISOTLJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZISOTJL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZISOLTJ,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
ZISOLJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZISOJTL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZISOJLT,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZIOTLJS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZIOTLSJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZIOTJLS,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ZIOTJSL,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ZIOTSLJ,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIOTSJL,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ZIOLTJS,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
ZIOLTSJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
ZIOLJTS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X
ZIOLJST,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
ZIOLSTJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZIOLSJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZIOJTLS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZIOJTSL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ZIOJLTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ZIOJLST,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
ZIOJSTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZIOJSLT,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZIOSTLJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIOSTJL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZIOSLTJ,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
ZIOSLJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZIOSJTL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZIOSJLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLTIJSO,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X
ZLTIJOS,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,O,X
ZLTISJO,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X
ZLTISOJ,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLTIOJS,O,X,X,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X
ZLTIOSJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLTJISO,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLTJIOS,O,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZLTJSIO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTJSOI,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
ZLTJOIS,O,X,X,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X
ZLTJOSI,O,X,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
ZLTSIJO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLTSIOJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLTSJIO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLTSJOI,O,O,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
ZLTSOIJ,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLTSOJI,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X
ZLTOIJS,O,X,X,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X
ZLTOISJ,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLTOJIS,O,X,X,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X
ZLTOJSI,O,O,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
ZLTOSIJ,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLTOSJI,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X
ZLITJSO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLITJOS,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,O,X
ZLITSJO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLITSOJ,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLITOJS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X
ZLITOSJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLIJTSO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLIJTOS,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X
ZLIJSTO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLIJSOT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZLIJOTS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ZLIJOST,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ZLISTJO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLISTOJ,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLISJTO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLISJOT,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZLISOTJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZLISOJT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZLIOTJS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X
ZLIOTSJ,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
ZLIOJTS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O,X
ZLIOJST,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
ZLIOSTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZLIOSJT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZLJTISO,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLJTIOS,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLJTSIO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJTSOI,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJTOIS,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X
ZLJTOSI,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZLJITSO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLJITOS,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X
ZLJISTO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLJISOT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZLJIOTS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ZLJIOST,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
ZLJSTIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSTOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSITO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSIOT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSOTI,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLJSOIT,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLJOTIS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZLJOTSI,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZLJOITS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ZLJOIST,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLJOSTI,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ZLJOSIT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLSTIJO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSTIOJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSTJIO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSTJOI,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
ZLSTOIJ,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLSTOJI,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X
ZLSITJO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLSITOJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLSIJTO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLSIJOT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZLSIOTJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZLSIOJT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZLSJTIO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSJTOI,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSJITO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSJIOT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJOTI,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLSJOIT,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLSOTIJ,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOTJI,O,O,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X
ZLSOITJ,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOIJT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOJTI,X,O,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ZLSOJIT,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLOTIJS,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLOTISJ,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTJIS,O,X,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X
ZLOTJSI,O,O,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X
ZLOTSIJ,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTSJI,O,O,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X
ZLOITJS,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X
ZLOITSJ,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
ZLOIJTS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
ZLOIJST,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZLOISTJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
ZLOISJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZLOJTIS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOJTSI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOJITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOJIST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLOJSTI,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ZLOJSIT,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLOSTIJ,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSTJI,O,O,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X
ZLOSITJ,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLOSIJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLOSJTI,X,O,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ZLOSJIT,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJTILSO,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJTILOS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTISLO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJTISOL,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTIOLS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTIOSL,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTLISO,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJTLIOS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTLSIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTLSOI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJTLOIS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTLOSI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJTSILO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJTSIOL,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTSLIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTSLOI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJTSOIL,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTSOLI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJTOILS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTOISL,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTOLIS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTOLSI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJTOSIL,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJTOSLI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJITLSO,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJITLOS,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJITSLO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJITSOL,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJITOLS,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJITOSL,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJILTSO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJILTOS,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJILSTO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJILSOT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJILOTS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJILOST,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJISTLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJISTOL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJISLTO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJISLOT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJISOTL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJISOLT,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJIOTLS,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJIOTSL,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJIOLTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ZJIOLST,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
ZJIOSTL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJIOSLT,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJLTISO,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJLTIOS,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJLTSIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLTSOI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLTOIS,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJLTOSI,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLITSO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZJLITOS,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X
ZJLISTO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZJLISOT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZJLIOTS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ZJLIOST,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
ZJLSTIO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSTOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSITO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSIOT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSOTI,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ZJLSOIT,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJLOTIS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZJLOTSI,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZJLOITS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ZJLOIST,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJLOSTI,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ZJLOSIT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJSTILO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJSTIOL,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJSTLIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJSTLOI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJSTOIL,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJSTOLI,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJSITLO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJSITOL,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJSILTO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJSILOT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJSIOTL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJSIOLT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJSLTIO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLTOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLITO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLIOT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLOTI,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJSLOIT,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJSOTIL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJSOTLI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJSOITL,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJSOILT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJSOLTI,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJSOLIT,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJOTILS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJOTISL,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJOTLIS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X
