sequence,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBcmB6nBTjBdsBXtB,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBUiB9oBTmB3nByxB,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBcmB6oBXnBdtBTsB,v115@KhA8FeD8FeF8CeA8JeT/IvhFigBcmB3iB9oBRsB2xB
TOZSLIJ,O,X,X,O
TOZSLJI,O,X,X,O
TOZSJIL,O,O,X,X
TOZSJLI,O,O,X,O
ITLJSZO,O,X,O,X
ITLJSOZ,O,O,X,X
ITLJZSO,O,X,O,X
ITLJZOS,O,O,O,X
ITLJOSZ,X,O,X,X
ITLJOZS,X,O,O,X
ITLSJZO,O,X,O,X
ITLSJOZ,O,O,X,X
ITLSZJO,O,X,O,O
ITLSZOJ,O,X,O,O
ITLSOJZ,O,O,X,X
ITLSOZJ,O,O,X,O
ITLZJSO,O,X,O,O
ITLZJOS,O,O,O,O
ITLZSJO,O,X,O,O
ITLZSOJ,O,X,O,O
ITLZOJS,O,O,O,O
ITLZOSJ,O,O,O,O
ITLOJSZ,X,O,X,X
ITLOJZS,X,O,O,X
ITLOSJZ,X,O,X,X
ITLOSZJ,X,O,X,O
ITLOZJS,X,O,O,O
ITLOZSJ,X,O,O,O
ITJLSZO,O,X,O,X
ITJLSOZ,O,O,X,X
ITJLZSO,O,X,O,X
ITJLZOS,O,O,O,X
ITJLOSZ,X,O,X,X
ITJLOZS,X,O,O,X
ITJSLZO,O,X,O,X
ITJSLOZ,O,O,X,X
ITJSZLO,O,X,O,O
ITJSZOL,O,X,O,O
ITJSOLZ,O,O,X,X
ITJSOZL,O,O,X,O
ITJZLSO,O,X,O,O
ITJZLOS,O,O,O,O
ITJZSLO,O,X,O,O
ITJZSOL,O,X,O,O
ITJZOLS,O,O,O,O
ITJZOSL,O,O,X,O
ITJOLSZ,X,O,X,X
ITJOLZS,X,O,O,X
ITJOSLZ,X,O,X,X
ITJOSZL,X,O,X,O
ITJOZLS,X,O,O,O
ITJOZSL,X,O,X,O
ITSLJZO,O,X,O,X
ITSLJOZ,O,O,X,X
ITSLZJO,O,X,O,O
ITSLZOJ,O,X,O,O
ITSLOJZ,O,O,X,X
ITSLOZJ,O,O,X,O
ITSJLZO,O,X,O,X
ITSJLOZ,O,O,X,X
ITSJZLO,O,X,O,O
ITSJZOL,O,X,O,O
ITSJOLZ,O,O,X,X
ITSJOZL,O,O,X,O
ITSZLJO,O,X,O,O
ITSZLOJ,O,X,O,O
ITSZJLO,O,X,O,O
ITSZJOL,O,X,O,O
ITSZOLJ,O,X,O,O
ITSZOJL,O,X,O,O
ITSOLJZ,O,O,X,X
ITSOLZJ,O,O,X,O
ITSOJLZ,O,O,X,X
ITSOJZL,O,O,X,O
ITSOZLJ,O,X,X,O
ITSOZJL,O,O,X,O
ITZLJSO,O,X,O,O
ITZLJOS,O,O,O,O
ITZLSJO,O,X,O,O
ITZLSOJ,O,X,O,O
ITZLOJS,O,O,O,O
ITZLOSJ,O,O,O,O
ITZJLSO,O,X,O,O
ITZJLOS,O,O,O,O
ITZJSLO,O,X,O,O
