sequence,v115@QhC8BeG8GeB8Jei/IvhFzgBFiBXjBUlBWxBRvB,v115@QhC8BeG8GeB8JeT/IvhFigBUiBFjB3lBWxBRvB,v115@QhC8BeG8GeB8JeT/IvhFChBxiB0qBeqBlrB3sB,v115@QhC8BeG8GeB8JeT/IvhFOlBFjBCmB/sB0rBRvB,v115@QhC8BeG8GeB8Je2EJvhF8lBzhBXjBFlBSxBRvB,v115@QhC8BeG8GeB8JeRAJvhFFjB0qB/pBurBiqBTsB,v115@QhC8BeG8GeB8Je2EJvhFChBxiB0qBlrB3sBzpB,v115@QhC8BeG8GeB8Jex/IvhF8lBzhBXjB2vBlpBSxB
ISLZTJO,O,O,X,X,X,X,X,X
ISLZTOJ,O,O,X,X,X,X,X,X
ISLZJTO,O,O,X,X,X,X,X,X
ISLZJOT,O,O,X,X,O,X,X,X
ISLZOTJ,O,O,X,X,X,X,X,X
ISLZOJT,O,O,X,X,O,X,X,X
ISLOTJZ,O,O,X,O,X,X,X,X
ISLOTZJ,O,O,X,X,X,X,X,X
ISLOJTZ,O,O,X,O,X,X,X,X
ISLOJZT,X,O,X,O,O,X,X,X
ISLOZTJ,O,O,X,X,X,X,X,X
ISLOZJT,O,O,X,X,O,X,X,X
ISJTLZO,O,O,X,O,X,X,X,X
ISJTLOZ,O,O,X,O,X,X,X,X
ISJTZLO,O,O,X,X,X,X,X,X
ISJTZOL,O,O,X,X,O,X,X,X
ISJTOLZ,O,O,X,O,X,X,X,X
ISJTOZL,X,O,X,X,O,X,X,X
ISJLTZO,O,O,X,O,X,X,X,X
ISJLTOZ,O,O,X,O,X,X,X,X
ISJLZTO,O,O,X,O,X,X,X,X
ISJLZOT,O,O,X,O,O,X,X,X
ISJLOTZ,O,O,X,O,X,X,X,X
ISJLOZT,X,O,X,O,O,X,X,X
ISJZTLO,O,O,X,X,X,X,O,X
ISJZTOL,O,O,X,X,O,X,O,X
ISJZLTO,O,O,X,X,X,X,O,X
ISJZLOT,O,O,X,X,O,X,X,X
ISJZOTL,O,O,X,X,O,X,O,X
ISJZOLT,O,O,X,X,O,X,X,X
ISJOTLZ,O,O,X,O,X,X,X,X
ISJOTZL,X,O,X,X,O,X,X,X
ISJOLTZ,O,O,X,O,X,X,X,X
ISJOLZT,X,O,X,O,O,X,X,X
ISJOZTL,X,O,X,X,O,X,X,O
ISJOZLT,X,O,X,X,O,X,X,X
ISZTLJO,O,O,O,X,X,X,O,X
ISZTLOJ,O,O,O,X,X,X,O,X
ISZTJLO,O,O,O,X,X,X,O,X
ISZTJOL,O,O,O,X,O,X,O,X
ISZTOLJ,O,O,O,X,X,X,O,X
ISZTOJL,O,O,O,X,O,X,O,X
ISZLTJO,O,O,O,X,X,X,O,X
ISZLTOJ,O,O,O,X,X,X,O,X
ISZLJTO,O,O,O,X,X,X,O,X
ISZLJOT,O,O,O,X,O,X,X,X
ISZLOTJ,O,O,O,X,X,X,X,X
ISZLOJT,O,O,O,X,O,X,X,X
ISZJTLO,O,O,O,X,X,X,O,X
ISZJTOL,O,O,O,X,O,X,O,X
ISZJLTO,O,O,O,X,X,X,O,X
ISZJLOT,O,O,O,X,O,X,X,X
ISZJOTL,O,O,O,X,O,X,O,X
ISZJOLT,O,O,O,X,O,X,X,X
ISZOTLJ,O,O,O,X,X,X,O,X
ISZOTJL,O,O,O,X,O,X,O,X
ISZOLTJ,O,O,O,X,X,X,X,X
ISZOLJT,O,O,O,X,O,X,X,X
ISZOJTL,O,O,O,X,O,X,O,X
ISZOJLT,O,O,O,X,O,X,X,X
ISOTLJZ,O,O,X,O,X,X,X,X
ISOTLZJ,O,O,X,X,X,X,X,X
ISOTJLZ,O,O,X,O,X,X,X,X
ISOTJZL,X,O,X,X,O,X,X,X
ISOTZLJ,O,O,X,X,X,X,X,X
ISOTZJL,O,O,X,X,O,X,X,X
ISOLTJZ,O,O,X,O,X,X,X,X
ISOLTZJ,O,O,X,X,X,X,X,X
ISOLJTZ,O,O,X,O,X,X,X,X
ISOLJZT,X,O,X,O,O,X,X,X
ISOLZTJ,O,O,X,X,X,X,X,X
ISOLZJT,O,O,X,X,O,X,X,X
ISOJTLZ,O,O,X,O,X,X,X,X
ISOJTZL,X,O,X,X,O,X,X,X
ISOJLTZ,O,O,X,O,X,X,X,X
ISOJLZT,X,O,X,O,O,X,X,X
ISOJZTL,X,O,X,X,O,X,X,O
ISOJZLT,X,O,X,X,O,X,X,X
ISOZTLJ,O,O,O,X,X,X,X,X
ISOZTJL,O,O,O,X,O,X,X,X
ISOZLTJ,O,O,O,X,X,X,X,X
ISOZLJT,O,O,O,X,O,X,X,X
ISOZJTL,O,O,O,X,O,X,X,X
ISOZJLT,O,O,O,X,O,X,X,X
IZTLJSO,O,X,O,O,X,O,O,X
IZTLJOS,O,X,O,O,X,X,X,X
IZTLSJO,O,O,O,X,X,O,O,X
IZTLSOJ,O,O,O,X,X,O,O,X
IZTLOJS,O,X,O,O,X,O,X,X
IZTLOSJ,O,O,X,X,X,O,X,X
IZTJLSO,O,X,O,O,X,O,O,X
IZTJLOS,O,X,O,O,X,X,X,X
IZTJSLO,O,O,O,X,X,O,O,X
IZTJSOL,O,O,O,X,O,O,O,X
IZTJOLS,O,X,O,O,X,X,X,X
IZTJOSL,O,O,O,X,O,X,X,X
IZTSLJO,O,O,O,X,X,O,O,X
IZTSLOJ,O,O,O,X,X,O,O,X
IZTSJLO,O,O,O,X,X,O,O,X
IZTSJOL,O,O,O,X,O,O,O,X
IZTSOLJ,O,O,O,X,X,O,O,X
IZTSOJL,O,O,O,X,O,O,O,X
IZTOLJS,O,X,O,O,X,O,X,X
IZTOLSJ,O,O,X,X,X,O,X,X
IZTOJLS,O,X,O,O,X,O,X,X
IZTOJSL,O,O,O,X,O,O,X,X
IZTOSLJ,O,O,O,X,X,O,X,X
IZTOSJL,O,O,O,X,O,O,X,X
IZLTJSO,O,X,O,O,X,O,O,X
IZLTJOS,O,X,O,O,X,X,X,X
IZLTSJO,O,O,O,X,X,O,O,X
IZLTSOJ,O,O,O,X,X,O,O,X
IZLTOJS,O,X,O,O,X,O,X,X
IZLTOSJ,O,O,X,X,X,O,X,X
IZLJTSO,O,X,O,O,X,O,O,X
IZLJTOS,O,X,O,O,X,X,X,X
IZLJSTO,O,X,O,O,X,O,O,X
IZLJSOT,O,X,O,O,O,O,X,X
IZLJOTS,O,X,O,O,X,X,X,X
IZLJOST,O,X,O,O,O,X,X,X
IZLSTJO,O,O,O,X,X,O,O,X
IZLSTOJ,O,O,O,X,X,O,O,X
IZLSJTO,O,O,O,X,X,O,O,X
IZLSJOT,O,O,O,X,O,O,X,X
IZLSOTJ,O,O,O,X,X,O,X,X
IZLSOJT,O,O,O,X,O,O,X,X
IZLOTJS,O,X,O,O,X,O,X,X
IZLOTSJ,O,O,X,X,X,O,X,X
IZLOJTS,O,X,O,O,X,O,X,X
IZLOJST,O,X,O,O,O,O,X,X
IZLOSTJ,O,O,O,X,X,O,X,X
IZLOSJT,O,O,O,X,O,O,X,X
IZJTLSO,O,X,O,O,X,O,O,X
IZJTLOS,O,X,O,O,X,X,X,X
IZJTSLO,O,O,O,X,X,O,O,X
IZJTSOL,O,O,O,X,O,O,O,X
IZJTOLS,O,X,O,O,X,X,X,X
IZJTOSL,O,O,O,X,O,X,X,X
IZJLTSO,O,X,O,O,X,O,O,X
IZJLTOS,O,X,O,O,X,X,X,X
IZJLSTO,O,X,O,O,X,O,O,X
IZJLSOT,O,X,O,O,O,O,X,X
IZJLOTS,O,X,O,O,X,X,X,X
IZJLOST,O,X,O,O,O,X,X,X
IZJSTLO,O,O,O,X,X,O,O,X
IZJSTOL,O,O,O,X,O,O,O,X
IZJSLTO,O,O,O,X,X,O,O,X
IZJSLOT,O,O,O,X,O,O,X,X
IZJSOTL,O,O,O,X,O,O,O,X
IZJSOLT,O,O,O,X,O,X,X,X
IZJOTLS,O,X,O,O,X,X,X,X
IZJOTSL,O,O,O,X,O,X,X,X
IZJOLTS,O,X,O,O,X,X,X,X
IZJOLST,O,X,O,O,O,X,X,X
IZJOSTL,O,O,O,X,O,X,O,X
IZJOSLT,O,O,O,X,O,X,X,X
IZSTLJO,O,O,O,X,X,O,O,X
IZSTLOJ,O,O,O,X,X,O,O,X
IZSTJLO,O,O,O,X,X,O,O,X
IZSTJOL,O,O,O,X,O,O,O,X
IZSTOLJ,O,O,O,X,X,O,O,X
IZSTOJL,O,O,O,X,O,O,O,X
IZSLTJO,O,O,O,X,X,O,O,X
IZSLTOJ,O,O,O,X,X,O,O,X
IZSLJTO,O,O,O,X,X,O,O,X
IZSLJOT,O,O,O,X,O,O,X,X
IZSLOTJ,O,O,O,X,X,O,X,X
IZSLOJT,O,O,O,X,O,O,X,X
IZSJTLO,O,O,O,X,X,O,O,X
IZSJTOL,O,O,O,X,O,O,O,X
IZSJLTO,O,O,O,X,X,O,O,X
IZSJLOT,O,O,O,X,O,O,X,X
IZSJOTL,O,O,O,X,O,O,O,X
IZSJOLT,O,O,O,X,O,O,X,X
IZSOTLJ,O,O,O,X,X,O,O,X
IZSOTJL,O,O,O,X,O,O,O,X
IZSOLTJ,O,O,O,X,X,O,X,X
IZSOLJT,O,O,O,X,O,O,X,X
IZSOJTL,O,O,O,X,O,O,O,X
IZSOJLT,O,O,O,X,O,O,X,X
IZOTLJS,O,X,O,O,X,O,X,X
IZOTLSJ,O,O,X,X,X,O,X,X
IZOTJLS,O,X,O,O,X,O,X,X
IZOTJSL,O,O,O,X,O,O,X,X
IZOTSLJ,O,O,O,X,X,O,X,X
IZOTSJL,O,O,O,X,O,O,X,X
IZOLTJS,O,X,O,O,X,O,X,X
IZOLTSJ,O,O,X,X,X,O,X,X
IZOLJTS,O,X,O,O,X,O,X,X
IZOLJST,O,X,O,O,O,O,X,X
IZOLSTJ,O,O,O,X,X,O,X,X
IZOLSJT,O,O,O,X,O,O,X,X
IZOJTLS,O,X,O,O,X,O,X,X
IZOJTSL,O,O,O,X,O,O,X,X
IZOJLTS,O,X,O,O,X,O,X,X
IZOJLST,O,X,O,O,O,O,X,X
IZOJSTL,O,O,O,X,O,O,O,X
IZOJSLT,O,O,O,X,O,O,X,X
IZOSTLJ,O,O,O,X,X,O,O,X
IZOSTJL,O,O,O,X,O,O,O,X
IZOSLTJ,O,O,O,X,X,O,X,X
IZOSLJT,O,O,O,X,O,O,X,X
IZOSJTL,O,O,O,X,O,O,O,X
IZOSJLT,O,O,O,X,O,O,X,X
IOTLJSZ,O,X,X,O,X,X,X,X
IOTLJZS,X,X,X,O,X,X,X,X
IOTLSJZ,O,O,X,O,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X
IOTLZJS,O,X,X,O,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,X,X
IOTJLSZ,O,X,X,O,X,X,X,X
IOTJLZS,X,X,X,O,X,X,X,X
IOTJSLZ,O,O,X,O,X,X,X,X
IOTJSZL,X,O,X,X,O,X,X,X
IOTJZLS,X,X,X,O,X,X,X,X
IOTJZSL,X,O,X,X,O,X,X,X
IOTSLJZ,O,O,X,O,X,X,X,X
IOTSLZJ,O,O,X,X,X,X,X,X
IOTSJLZ,O,O,X,O,X,X,X,X
IOTSJZL,X,O,X,X,O,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,X
IOTSZJL,O,O,X,X,O,X,X,X
IOTZLJS,O,X,O,O,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X,X
IOTZJLS,O,X,O,O,X,X,X,X
IOTZJSL,O,O,O,X,O,X,X,X
IOTZSLJ,O,O,O,X,X,X,X,X
IOTZSJL,O,O,O,X,O,X,X,X
IOLTJSZ,O,X,X,O,X,X,X,X
IOLTJZS,X,X,X,O,X,X,X,X
IOLTSJZ,O,O,X,O,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,X
IOLTZJS,O,X,X,O,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,X,X
IOLJTSZ,O,X,X,O,X,X,X,X
IOLJTZS,X,X,X,O,X,X,X,X
IOLJSTZ,O,X,X,O,X,X,X,X
IOLJSZT,X,X,X,O,O,X,X,X
IOLJZTS,X,X,X,O,X,X,X,X
IOLJZST,X,X,X,O,O,X,X,X
IOLSTJZ,O,O,X,O,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X,X
IOLSJTZ,O,O,X,O,X,X,X,X
IOLSJZT,X,O,X,O,O,X,X,X
IOLSZTJ,O,O,X,X,X,X,X,X
IOLSZJT,O,O,X,X,O,X,X,X
IOLZTJS,O,X,O,O,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X,X
IOLZJTS,O,X,O,O,X,X,X,X
IOLZJST,O,X,O,O,O,X,X,X
IOLZSTJ,O,O,O,X,X,X,X,X
IOLZSJT,O,O,O,X,O,X,X,X
IOJTLSZ,O,X,X,O,X,X,X,X
IOJTLZS,X,X,X,O,X,X,X,X
IOJTSLZ,O,O,X,O,X,X,X,X
IOJTSZL,X,O,X,X,O,X,X,X
IOJTZLS,X,X,X,O,X,X,X,X
IOJTZSL,X,O,X,X,O,X,X,X
IOJLTSZ,O,X,X,O,X,X,X,X
IOJLTZS,X,X,X,O,X,X,X,X
IOJLSTZ,O,X,X,O,X,X,X,X
IOJLSZT,X,X,X,O,O,X,X,X
IOJLZTS,X,X,X,O,X,X,X,X
IOJLZST,X,X,X,O,O,X,X,X
IOJSTLZ,O,O,X,O,X,X,X,X
IOJSTZL,X,O,X,X,O,X,X,X
IOJSLTZ,O,O,X,O,X,X,X,X
IOJSLZT,X,O,X,O,O,X,X,X
IOJSZTL,X,O,X,X,O,X,X,O
IOJSZLT,X,O,X,X,O,X,X,X
IOJZTLS,X,X,O,O,X,X,X,O
IOJZTSL,X,O,O,X,O,X,X,O
IOJZLTS,X,X,O,O,X,X,X,X
IOJZLST,X,X,O,O,O,X,X,X
IOJZSTL,X,O,O,X,O,X,O,O
IOJZSLT,X,O,O,X,O,X,X,X
IOSTLJZ,O,O,X,O,X,X,X,X
IOSTLZJ,O,O,X,X,X,X,X,X
IOSTJLZ,O,O,X,O,X,X,X,X
IOSTJZL,X,O,X,X,O,X,X,X
IOSTZLJ,O,O,X,X,X,X,X,X
IOSTZJL,O,O,X,X,O,X,X,X
IOSLTJZ,O,O,X,O,X,X,X,X
IOSLTZJ,O,O,X,X,X,X,X,X
IOSLJTZ,O,O,X,O,X,X,X,X
IOSLJZT,X,O,X,O,O,X,X,X
IOSLZTJ,O,O,X,X,X,X,X,X
IOSLZJT,O,O,X,X,O,X,X,X
IOSJTLZ,O,O,X,O,X,X,X,X
IOSJTZL,X,O,X,X,O,X,X,X
IOSJLTZ,O,O,X,O,X,X,X,X
IOSJLZT,X,O,X,O,O,X,X,X
IOSJZTL,X,O,X,X,O,X,X,O
IOSJZLT,X,O,X,X,O,X,X,X
IOSZTLJ,O,O,O,X,X,X,X,X
IOSZTJL,O,O,O,X,O,X,X,X
IOSZLTJ,O,O,O,X,X,X,X,X
IOSZLJT,O,O,O,X,O,X,X,X
IOSZJTL,O,O,O,X,O,X,X,X
IOSZJLT,O,O,O,X,O,X,X,X
IOZTLJS,O,X,O,O,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X,X
IOZTJLS,O,X,O,O,X,X,X,X
IOZTJSL,O,O,O,X,O,X,X,X
IOZTSLJ,O,O,O,X,X,X,X,X
IOZTSJL,O,O,O,X,O,X,X,X
IOZLTJS,O,X,O,O,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X,X
IOZLJTS,O,X,O,O,X,X,X,X
IOZLJST,O,X,O,O,O,X,X,X
IOZLSTJ,O,O,O,X,X,X,X,X
IOZLSJT,O,O,O,X,O,X,X,X
IOZJTLS,O,X,O,O,X,X,X,X
IOZJTSL,O,O,O,X,O,X,X,X
IOZJLTS,O,X,O,O,X,X,X,X
IOZJLST,O,X,O,O,O,X,X,X
IOZJSTL,O,O,O,X,O,X,O,X
IOZJSLT,O,O,O,X,O,X,X,X
IOZSTLJ,O,O,O,X,X,X,O,X
IOZSTJL,O,O,O,X,O,X,O,X
IOZSLTJ,O,O,O,X,X,X,X,X
IOZSLJT,O,O,O,X,O,X,X,X
IOZSJTL,O,O,O,X,O,X,O,X
IOZSJLT,O,O,O,X,O,X,X,X
LTIJSZO,O,X,X,O,X,X,X,X
LTIJSOZ,O,X,X,O,X,X,X,X
LTIJZSO,O,X,X,O,X,X,X,X
LTIJZOS,O,X,X,O,X,X,X,X
LTIJOSZ,O,X,X,O,X,X,X,X
LTIJOZS,X,X,X,O,X,X,X,X
LTISJZO,O,O,X,O,X,X,X,X
LTISJOZ,O,O,X,O,X,X,X,X
LTISZJO,O,O,X,X,X,X,X,X
LTISZOJ,O,O,X,X,X,X,X,X
LTISOJZ,O,O,X,O,X,X,X,X
LTISOZJ,O,O,X,X,X,X,X,X
LTIZJSO,O,X,X,O,X,X,X,X
LTIZJOS,O,X,X,O,X,X,X,X
LTIZSJO,O,O,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,X,X,X,X
LTIZOJS,O,X,X,O,X,X,X,X
LTIZOSJ,O,O,X,X,X,X,X,X
LTIOJSZ,O,X,X,O,X,X,X,X
LTIOJZS,X,X,X,O,X,X,X,X
LTIOSJZ,O,O,X,O,X,X,X,X
LTIOSZJ,O,O,X,X,X,X,X,X
LTIOZJS,O,X,X,O,X,X,X,X
LTIOZSJ,O,O,X,X,X,X,X,X
LTJISZO,O,X,X,O,X,X,X,X
LTJISOZ,O,X,X,O,X,X,X,X
LTJIZSO,O,X,X,O,X,X,X,X
LTJIZOS,O,X,X,O,X,X,X,X
LTJIOSZ,O,X,X,O,X,X,X,X
LTJIOZS,X,X,X,O,X,X,X,X
LTJSIZO,O,X,X,O,X,X,X,X
LTJSIOZ,O,X,X,O,X,X,X,X
LTJSZIO,O,X,X,O,X,X,X,X
LTJSZOI,O,X,X,O,X,X,X,X
LTJSOIZ,O,X,X,O,X,X,X,X
LTJSOZI,O,X,X,O,X,X,X,X
LTJZISO,O,X,X,O,X,X,X,X
LTJZIOS,O,X,X,O,X,X,X,X
LTJZSIO,O,X,X,O,X,X,X,X
LTJZSOI,O,X,X,O,X,X,X,X
LTJZOIS,O,X,X,O,X,X,X,X
LTJZOSI,O,X,X,O,X,X,X,X
LTJOISZ,X,X,X,O,X,X,X,X
LTJOIZS,X,X,X,O,X,X,X,X
LTJOSIZ,O,X,X,O,X,X,X,X
LTJOSZI,O,X,X,O,X,X,X,X
LTJOZIS,X,X,X,O,X,X,X,X
LTJOZSI,X,X,X,O,X,X,X,X
LTSIJZO,O,O,X,O,X,X,X,X
LTSIJOZ,O,O,X,O,X,X,X,X
LTSIZJO,O,O,X,X,X,X,X,X
LTSIZOJ,O,O,X,X,X,X,X,X
LTSIOJZ,O,O,X,O,X,X,X,X
LTSIOZJ,O,O,X,X,X,X,X,X
LTSJIZO,O,O,X,O,X,X,X,X
LTSJIOZ,O,O,X,O,X,X,X,X
LTSJZIO,O,O,X,O,X,X,X,X
LTSJZOI,O,O,X,O,X,X,X,X
LTSJOIZ,O,O,X,O,X,X,X,X
LTSJOZI,O,O,X,O,X,X,X,X
LTSZIJO,O,O,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,X,X,X,X
LTSZJIO,O,O,X,X,X,X,X,X
LTSZJOI,O,O,X,X,X,X,X,X
LTSZOIJ,O,O,X,X,X,X,X,X
LTSZOJI,O,O,X,X,X,X,X,X
LTSOIJZ,O,O,X,O,X,X,X,X
LTSOIZJ,O,O,X,X,X,X,X,X
LTSOJIZ,O,O,X,O,X,X,X,X
LTSOJZI,O,O,X,O,X,X,X,X
LTSOZIJ,O,O,X,X,X,X,X,X
LTSOZJI,O,O,X,X,X,X,X,X
LTZIJSO,O,X,X,O,X,O,X,X
LTZIJOS,O,X,X,O,X,X,X,X
LTZISJO,O,O,X,X,X,O,X,X
LTZISOJ,O,O,X,X,X,O,X,X
LTZIOJS,O,X,X,O,X,O,X,X
LTZIOSJ,O,O,X,X,X,O,X,X
LTZJISO,O,X,X,O,X,O,X,X
LTZJIOS,O,X,X,O,X,X,X,X
LTZJSIO,O,X,X,O,X,O,X,X
LTZJSOI,O,X,X,O,X,O,X,X
LTZJOIS,O,X,X,O,X,O,X,X
LTZJOSI,O,X,X,O,X,O,X,X
LTZSIJO,O,O,X,X,X,O,X,X
LTZSIOJ,O,O,X,X,X,O,X,X
LTZSJIO,O,O,X,X,X,O,X,X
LTZSJOI,O,O,X,X,X,O,X,X
LTZSOIJ,O,O,X,X,X,O,X,X
LTZSOJI,O,O,X,X,X,O,X,X
LTZOIJS,O,X,X,O,X,O,X,X
LTZOISJ,O,O,X,X,X,O,X,X
LTZOJIS,O,X,X,O,X,O,X,X
LTZOJSI,O,X,X,O,X,O,X,X
LTZOSIJ,O,O,X,X,X,O,X,X
LTZOSJI,O,O,X,X,X,O,X,X
LTOIJSZ,O,X,X,O,X,X,X,X
LTOIJZS,X,X,X,O,X,X,X,X
LTOISJZ,O,O,X,O,X,X,X,X
LTOISZJ,O,O,X,X,X,X,X,X
LTOIZJS,O,X,X,O,X,X,X,X
LTOIZSJ,O,O,X,X,X,X,X,X
LTOJISZ,X,X,X,O,X,X,X,X
LTOJIZS,X,X,X,O,X,X,X,X
LTOJSIZ,O,X,X,O,X,X,X,X
LTOJSZI,O,X,X,O,X,X,X,X
LTOJZIS,X,X,X,O,X,X,X,X
LTOJZSI,X,X,X,O,X,X,X,X
LTOSIJZ,O,O,X,O,X,X,X,X
LTOSIZJ,O,O,X,X,X,X,X,X
LTOSJIZ,O,O,X,O,X,X,X,X
LTOSJZI,O,O,X,O,X,X,X,X
LTOSZIJ,O,O,X,X,X,X,X,X
LTOSZJI,O,O,X,X,X,X,X,X
LTOZIJS,O,X,X,O,X,X,X,X
LTOZISJ,O,O,X,X,X,X,X,X
LTOZJIS,O,X,X,O,X,X,X,X
LTOZJSI,O,X,X,O,X,X,X,X
LTOZSIJ,O,O,X,X,X,X,X,X
LTOZSJI,O,O,X,X,X,X,X,X
LITJSZO,O,X,X,O,X,X,X,X
LITJSOZ,O,X,X,O,X,X,X,X
LITJZSO,O,X,X,O,X,X,X,X
LITJZOS,O,X,X,O,X,X,X,X
LITJOSZ,O,X,X,O,X,X,X,X
LITJOZS,X,X,X,O,X,X,X,X
LITSJZO,O,O,X,O,X,X,X,X
LITSJOZ,O,O,X,O,X,X,X,X
LITSZJO,O,O,X,X,X,X,X,X
LITSZOJ,O,O,X,X,X,X,X,X
LITSOJZ,O,O,X,O,X,X,X,X
LITSOZJ,O,O,X,X,X,X,X,X
LITZJSO,O,X,X,O,X,X,X,X
LITZJOS,O,X,X,O,X,X,X,X
LITZSJO,O,O,X,X,X,X,X,X
LITZSOJ,O,O,X,X,X,X,X,X
LITZOJS,O,X,X,O,X,X,X,X
LITZOSJ,O,O,X,X,X,X,X,X
LITOJSZ,O,X,X,O,X,X,X,X
LITOJZS,X,X,X,O,X,X,X,X
LITOSJZ,O,O,X,O,X,X,X,X
LITOSZJ,O,O,X,X,X,X,X,X
LITOZJS,O,X,X,O,X,X,X,X
LITOZSJ,O,O,X,X,X,X,X,X
LIJTSZO,O,X,X,O,X,X,X,X
LIJTSOZ,O,X,X,O,X,X,X,X
LIJTZSO,O,X,X,O,X,X,X,X
LIJTZOS,O,X,X,O,X,X,X,X
LIJTOSZ,O,X,X,O,X,X,X,X
LIJTOZS,X,X,X,O,X,X,X,X
LIJSTZO,O,X,X,O,X,X,X,X
LIJSTOZ,O,X,X,O,X,X,X,X
LIJSZTO,O,X,X,O,X,X,X,X
LIJSZOT,O,X,X,O,O,X,X,X
LIJSOTZ,O,X,X,O,X,X,X,X
LIJSOZT,X,X,X,O,O,X,X,X
LIJZTSO,O,X,X,O,X,X,X,X
LIJZTOS,O,X,X,O,X,X,X,X
LIJZSTO,O,X,X,O,X,X,O,X
LIJZSOT,O,X,X,O,O,X,X,X
LIJZOTS,O,X,X,O,X,X,X,X
LIJZOST,O,X,X,O,O,X,X,X
LIJOTSZ,O,X,X,O,X,X,X,X
LIJOTZS,X,X,X,O,X,X,X,X
LIJOSTZ,O,X,X,O,X,X,X,X
LIJOSZT,X,X,X,O,O,X,X,X
LIJOZTS,X,X,X,O,X,X,X,X
LIJOZST,X,X,X,O,O,X,X,X
LISTJZO,O,O,X,O,X,X,X,X
LISTJOZ,O,O,X,O,X,X,X,X
LISTZJO,O,O,X,X,X,X,X,X
LISTZOJ,O,O,X,X,X,X,X,X
LISTOJZ,O,O,X,O,X,X,X,X
LISTOZJ,O,O,X,X,X,X,X,X
LISJTZO,O,O,X,O,X,X,X,X
LISJTOZ,O,O,X,O,X,X,X,X
LISJZTO,O,O,X,O,X,X,X,X
LISJZOT,O,O,X,O,O,X,X,X
LISJOTZ,O,O,X,O,X,X,X,X
LISJOZT,X,O,X,O,O,X,X,X
LISZTJO,O,O,X,X,X,X,X,X
LISZTOJ,O,O,X,X,X,X,X,X
LISZJTO,O,O,X,X,X,X,X,X
LISZJOT,O,O,X,X,O,X,X,X
LISZOTJ,O,O,X,X,X,X,X,X
LISZOJT,O,O,X,X,O,X,X,X
LISOTJZ,O,O,X,O,X,X,X,X
LISOTZJ,O,O,X,X,X,X,X,X
LISOJTZ,O,O,X,O,X,X,X,X
LISOJZT,X,O,X,O,O,X,X,X
LISOZTJ,O,O,X,X,X,X,X,X
LISOZJT,O,O,X,X,O,X,X,X
LIZTJSO,O,X,O,O,X,X,X,X
LIZTJOS,O,X,O,O,X,X,X,X
LIZTSJO,O,O,O,X,X,X,X,X
LIZTSOJ,O,O,X,X,X,X,X,X
LIZTOJS,O,X,O,O,X,X,X,X
LIZTOSJ,O,O,X,X,X,X,X,X
LIZJTSO,O,X,O,O,X,X,X,X
LIZJTOS,O,X,O,O,X,X,X,X
LIZJSTO,O,X,O,O,X,X,O,X
LIZJSOT,O,X,O,O,O,X,X,X
LIZJOTS,O,X,O,O,X,X,X,X
LIZJOST,O,X,O,O,O,X,X,X
LIZSTJO,O,O,O,X,X,X,O,X
LIZSTOJ,O,O,O,X,X,X,O,X
LIZSJTO,O,O,O,X,X,X,O,X
LIZSJOT,O,O,O,X,O,X,X,X
LIZSOTJ,O,O,O,X,X,X,X,X
LIZSOJT,O,O,O,X,O,X,X,X
LIZOTJS,O,X,O,O,X,X,X,X
LIZOTSJ,O,O,X,X,X,X,X,X
LIZOJTS,O,X,O,O,X,X,X,X
LIZOJST,O,X,O,O,O,X,X,X
LIZOSTJ,O,O,O,X,X,X,X,X
LIZOSJT,O,O,O,X,O,X,X,X
LIOTJSZ,O,X,X,O,X,X,X,X
LIOTJZS,X,X,X,O,X,X,X,X
LIOTSJZ,O,O,X,O,X,X,X,X
LIOTSZJ,O,O,X,X,X,X,X,X
LIOTZJS,O,X,X,O,X,X,X,X
LIOTZSJ,O,O,X,X,X,X,X,X
LIOJTSZ,O,X,X,O,X,X,X,X
LIOJTZS,X,X,X,O,X,X,X,X
LIOJSTZ,O,X,X,O,X,X,X,X
LIOJSZT,X,X,X,O,O,X,X,X
LIOJZTS,X,X,X,O,X,X,X,X
LIOJZST,X,X,X,O,O,X,X,X
LIOSTJZ,O,O,X,O,X,X,X,X
LIOSTZJ,O,O,X,X,X,X,X,X
LIOSJTZ,O,O,X,O,X,X,X,X
LIOSJZT,X,O,X,O,O,X,X,X
LIOSZTJ,O,O,X,X,X,X,X,X
LIOSZJT,O,O,X,X,O,X,X,X
LIOZTJS,O,X,O,O,X,X,X,X
LIOZTSJ,O,O,X,X,X,X,X,X
LIOZJTS,O,X,O,O,X,X,X,X
LIOZJST,O,X,O,O,O,X,X,X
LIOZSTJ,O,O,O,X,X,X,X,X
LIOZSJT,O,O,O,X,O,X,X,X
