sequence,v115@EhC8IeA8CeA8DeD8EeC8JeOEJvhF0gBzkBRnBlmByv?BXsB,v115@EhC8IeA8CeA8DeD8EeC8JeOEJvhF0gBzkBfsBlnBim?BxvB,v115@EhC8IeA8CeA8DeD8EeC8Jex/IvhFmhBTkBKqB3nB0r?BFrB,v115@EhC8IeA8CeA8DeD8EeC8JeOEJvhFTgBfqB0mBlnBim?BRwB,v115@EhC8IeA8CeA8DeD8EeC8Jei/IvhFRhB1pBUmB3nB2v?BzrB,v115@EhC8IeA8CeA8DeD8EeC8Jel/IvhFRhB2pB3nB0rBTq?BirB,v115@EhC8IeA8CeA8DeD8EeC8Je0AJvhFmkBRnBTkBlmByv?BXsB,v115@EhC8IeA8CeA8DeD8EeC8Jel/IvhFUhB2pBxrBTqBis?B3rB,v115@EhC8IeA8CeA8DeD8EeC8JeT/IvhFRhBlnBmpBirB/q?B0rB,v115@EhC8IeA8CeA8DeD8EeC8JeKEJvhFzfBfmBRnBVsB2v?B0rB,v115@EhC8IeA8CeA8DeD8EeC8JeKEJvhFRhBFlB3nBTrBmr?BUqB,v115@EhC8IeA8CeA8DeD8EeC8Je0/IvhFVmB2pBxrBisBTq?B3rB
ITZOSLJ,X,O,X,O,X,X,X,X,X,X,X,X
ITZOSJL,X,O,X,O,X,X,X,X,X,X,X,X
ITOLJSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOLJZS,O,O,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOLSZJ,X,O,X,X,X,X,X,X,X,X,X,X
ITOLZJS,O,O,X,X,X,X,X,X,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,X,X,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOJLZS,O,O,X,X,X,X,X,X,X,X,X,O
ITOJSLZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOJSZL,O,O,X,O,X,X,X,X,X,X,X,X
ITOJZLS,O,O,X,X,X,X,X,X,X,X,X,O
ITOJZSL,O,O,X,O,X,X,X,X,X,X,X,X
ITOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSLZJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSJLZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSJZL,O,O,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,X,O,X,O,X,X,X,X,X,X,X,X
ITOSZJL,O,O,X,O,X,X,X,X,X,X,X,X
ITOZLJS,X,O,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X,X,X,X,X,X
ITOZJLS,O,O,X,X,X,X,X,X,X,X,X,X
ITOZJSL,O,O,X,O,X,X,X,X,X,X,X,X
ITOZSLJ,X,O,X,O,X,X,X,X,X,X,X,X
ITOZSJL,X,O,X,O,X,X,X,X,X,X,X,X
ILTJSZO,X,X,X,O,X,X,X,X,X,X,X,O
ILTJSOZ,X,X,X,O,X,X,X,X,X,O,X,X
ILTJZSO,X,X,X,O,X,X,O,X,X,X,X,O
ILTJZOS,X,X,X,X,X,X,O,X,X,X,X,O
ILTJOSZ,X,X,X,X,X,X,X,X,X,O,X,X
ILTJOZS,X,X,X,X,X,X,X,X,X,X,X,O
ILTSJZO,X,X,O,O,X,X,X,X,X,X,X,X
ILTSJOZ,X,X,O,O,X,X,X,X,X,X,X,X
ILTSZJO,X,X,O,O,X,X,X,X,X,X,X,X
ILTSZOJ,X,O,X,O,X,X,X,X,X,X,X,X
ILTSOJZ,X,O,X,O,X,X,X,X,X,X,O,X
ILTSOZJ,X,O,X,O,X,X,X,X,X,X,X,X
ILTZJSO,X,X,X,O,X,X,O,X,X,X,X,X
ILTZJOS,X,X,X,X,X,X,O,X,X,X,X,X
ILTZSJO,X,X,O,O,X,X,X,X,X,X,X,X
ILTZSOJ,X,O,X,O,X,X,X,X,X,X,X,X
ILTZOJS,O,O,X,X,X,X,X,X,X,X,X,X
ILTZOSJ,X,O,X,X,X,X,X,X,X,X,X,X
ILTOJSZ,X,O,X,X,X,X,X,X,X,X,X,X
ILTOJZS,O,O,X,X,X,X,X,X,X,X,X,X
ILTOSJZ,X,O,X,X,X,X,X,X,X,X,O,X
ILTOSZJ,X,O,X,X,X,X,X,X,X,X,X,X
ILTOZJS,O,O,X,X,X,X,X,X,X,X,X,X
ILTOZSJ,X,O,X,X,X,X,X,X,X,X,X,X
ILJTSZO,X,X,X,O,X,X,X,X,X,X,X,X
ILJTSOZ,X,X,X,O,X,X,X,O,X,O,X,X
ILJTZSO,X,X,X,O,X,X,O,X,X,X,X,X
ILJTZOS,X,X,X,X,X,X,O,O,X,X,X,X
ILJTOSZ,X,X,X,X,X,X,X,O,X,O,X,X
ILJTOZS,X,X,X,X,X,X,X,O,X,X,X,X
ILJSTZO,X,X,O,O,X,X,O,X,X,X,X,X
ILJSTOZ,X,X,O,O,X,X,X,O,X,O,X,X
ILJSZTO,X,X,O,X,X,X,O,X,X,X,X,X
ILJSZOT,X,X,O,X,X,X,O,X,X,O,X,X
ILJSOTZ,X,X,O,O,X,X,X,O,X,O,X,X
ILJSOZT,X,X,O,X,X,X,O,O,X,O,X,X
ILJZTSO,X,X,X,X,X,X,O,X,X,X,X,X
ILJZTOS,X,X,X,X,X,X,O,O,X,X,X,X
ILJZSTO,X,X,O,X,X,X,O,X,X,X,X,X
ILJZSOT,X,X,O,X,X,X,O,X,X,O,X,X
ILJZOTS,O,X,X,X,X,X,O,O,X,X,X,X
ILJZOST,O,X,X,X,X,X,O,O,X,O,X,X
ILJOTSZ,X,X,X,X,X,X,X,O,X,O,X,X
ILJOTZS,O,X,X,X,X,X,X,O,X,X,X,X
ILJOSTZ,X,X,X,X,X,X,X,O,X,O,X,X
ILJOSZT,O,X,X,X,X,X,X,O,X,O,X,X
ILJOZTS,O,X,X,X,X,X,O,O,X,X,X,X
ILJOZST,O,X,X,X,X,X,O,O,X,O,X,X
ILSTJZO,X,X,O,O,X,X,O,X,X,X,X,X
ILSTJOZ,X,X,O,O,X,X,X,X,X,X,X,X
ILSTZJO,X,X,O,O,X,X,O,X,X,X,X,X
ILSTZOJ,O,X,X,O,X,X,X,X,X,X,X,X
ILSTOJZ,O,X,X,O,X,X,X,X,X,X,O,X
ILSTOZJ,O,X,X,O,X,X,X,X,X,X,X,X
ILSJTZO,X,X,O,O,X,X,O,X,X,X,X,X
ILSJTOZ,X,X,O,O,X,X,X,X,X,O,X,X
ILSJZTO,X,X,O,X,X,X,O,X,X,X,X,X
ILSJZOT,O,X,O,X,X,X,O,X,X,O,X,X
ILSJOTZ,O,X,O,O,X,X,X,X,X,O,X,X
ILSJOZT,O,X,O,X,X,X,O,X,X,O,X,X
ILSZTJO,X,X,O,X,X,X,O,X,X,X,X,X
ILSZTOJ,O,X,X,X,X,X,X,X,X,X,X,X
ILSZJTO,X,X,O,X,X,X,O,X,X,X,X,X
ILSZJOT,O,X,O,X,X,X,O,X,X,X,X,X
ILSZOTJ,O,X,O,X,X,X,X,X,X,X,X,X
ILSZOJT,O,X,O,X,X,X,O,X,X,X,X,X
ILSOTJZ,O,X,O,O,X,X,X,X,X,X,O,X
ILSOTZJ,O,X,O,O,X,X,X,X,X,X,X,X
ILSOJTZ,O,X,O,O,X,X,X,X,X,X,X,X
ILSOJZT,O,X,O,X,X,X,O,X,X,X,X,X
ILSOZTJ,O,X,O,X,X,X,X,X,X,X,X,X
ILSOZJT,O,X,O,X,X,X,O,X,X,X,X,X
ILZTJSO,X,X,X,X,X,X,O,X,X,X,X,X
ILZTJOS,X,X,X,X,X,X,O,X,X,X,X,X
ILZTSJO,X,X,O,X,X,X,X,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,X,X,X,X,X,X,X
ILZTOJS,O,O,X,X,X,X,X,X,X,X,X,X
ILZTOSJ,X,O,X,X,X,X,X,X,X,X,X,X
ILZJTSO,X,X,X,X,X,X,O,X,X,X,X,X
ILZJTOS,X,X,X,X,X,X,O,X,X,X,X,X
ILZJSTO,X,X,O,X,X,X,O,X,X,X,X,X
ILZJSOT,X,X,O,X,X,X,O,X,X,O,X,X
ILZJOTS,O,X,X,X,X,X,O,X,X,X,X,X
ILZJOST,O,X,X,X,X,X,O,X,X,O,X,X
ILZSTJO,X,X,O,X,X,X,O,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,X,X,X,X,X,X,X
ILZSJTO,X,X,O,X,X,X,O,X,X,X,X,X
ILZSJOT,O,X,O,X,X,X,O,X,X,X,X,X
ILZSOTJ,O,X,O,X,X,X,X,X,X,X,X,X
ILZSOJT,O,X,O,X,X,X,O,X,X,X,X,X
ILZOTJS,O,O,X,X,X,X,X,X,X,X,X,X
ILZOTSJ,X,O,O,X,X,X,X,X,X,X,X,X
ILZOJTS,O,O,X,X,X,X,O,X,X,X,X,X
ILZOJST,O,X,O,X,X,X,O,X,X,X,X,X
ILZOSTJ,O,X,O,X,X,X,X,X,X,X,X,X
ILZOSJT,O,X,O,X,X,X,X,X,X,X,X,X
ILOTJSZ,X,O,X,X,X,X,X,X,X,X,X,X
ILOTJZS,O,O,X,X,X,X,X,X,X,X,X,X
ILOTSJZ,X,O,O,X,X,X,X,X,X,X,O,X
ILOTSZJ,X,O,O,X,X,X,X,X,X,X,X,X
ILOTZJS,O,O,X,X,X,X,X,X,X,X,X,X
ILOTZSJ,X,O,O,X,X,X,X,X,X,X,X,X
ILOJTSZ,X,O,X,X,X,X,X,X,X,O,X,X
ILOJTZS,O,O,X,X,X,X,X,X,X,X,X,X
ILOJSTZ,O,X,O,X,X,X,X,X,X,O,X,X
ILOJSZT,O,X,O,X,X,X,X,X,X,O,X,X
ILOJZTS,O,O,X,X,X,X,O,X,X,X,X,X
ILOJZST,O,X,O,X,X,X,O,X,X,O,X,X
ILOSTJZ,O,X,O,X,X,X,X,X,X,X,O,X
ILOSTZJ,O,X,O,X,X,X,X,X,X,X,X,X
ILOSJTZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOSJZT,O,X,O,X,X,X,X,X,X,X,X,X
ILOSZTJ,O,X,O,X,X,X,X,X,X,X,X,X
ILOSZJT,O,X,O,X,X,X,X,X,X,X,X,X
ILOZTJS,O,O,X,X,X,X,X,X,X,X,X,X
ILOZTSJ,X,O,O,X,X,X,X,X,X,X,X,X
ILOZJTS,O,O,X,X,X,X,O,X,X,X,X,X
ILOZJST,O,X,O,X,X,X,O,X,X,X,X,X
ILOZSTJ,O,X,O,X,X,X,X,X,X,X,X,X
ILOZSJT,O,X,O,X,X,X,X,X,X,X,X,X
IJTLSZO,X,X,X,O,X,X,X,X,O,X,X,O
IJTLSOZ,X,X,X,O,X,X,X,O,O,O,X,X
IJTLZSO,X,X,X,O,X,X,X,X,O,X,X,O
IJTLZOS,X,X,X,X,X,X,X,O,O,X,X,O
IJTLOSZ,X,X,X,X,X,X,X,O,O,O,X,X
IJTLOZS,X,X,X,X,X,X,X,O,O,X,X,O
IJTSLZO,X,X,X,O,X,X,X,X,X,X,X,O
IJTSLOZ,X,X,X,O,X,X,X,O,X,O,X,X
IJTSZLO,X,X,X,O,X,O,X,X,X,X,X,O
IJTSZOL,X,O,X,O,X,O,X,X,X,X,X,X
IJTSOLZ,X,O,X,O,X,X,X,O,X,X,X,X
IJTSOZL,X,O,X,O,X,X,X,O,X,X,X,X
IJTZLSO,X,X,X,O,X,X,X,X,X,X,X,O
IJTZLOS,X,X,X,X,X,X,X,O,X,X,X,O
IJTZSLO,X,X,X,O,X,O,X,X,X,X,X,O
IJTZSOL,X,O,X,O,X,O,X,X,X,X,X,X
IJTZOLS,X,O,X,X,X,X,X,O,X,X,X,O
IJTZOSL,X,O,X,O,X,X,X,O,X,X,X,X
IJTOLSZ,X,O,X,X,X,X,X,O,O,X,X,X
IJTOLZS,X,O,X,X,X,X,X,O,O,X,X,O
IJTOSLZ,X,O,X,O,X,X,X,O,X,X,X,X
IJTOSZL,X,O,X,O,X,X,X,O,X,X,X,X
IJTOZLS,X,O,X,X,X,X,X,O,X,X,X,O
IJTOZSL,X,O,X,O,X,X,X,O,X,X,X,X
IJLTSZO,X,X,X,O,X,X,X,X,X,X,X,X
IJLTSOZ,X,X,X,O,X,X,X,O,X,O,X,X
IJLTZSO,X,X,X,O,X,X,O,X,X,X,X,X
IJLTZOS,X,X,X,X,X,X,O,O,X,X,X,X
IJLTOSZ,X,X,X,X,X,X,X,O,X,O,X,X
IJLTOZS,X,X,X,X,X,X,X,O,X,X,X,X
IJLSTZO,X,X,X,O,X,X,X,X,X,X,X,X
IJLSTOZ,X,X,X,O,X,X,X,O,X,O,X,X
IJLSZTO,X,X,X,X,X,X,O,X,X,X,X,X
IJLSZOT,X,X,X,X,X,X,O,X,X,O,X,X
IJLSOTZ,X,X,X,O,X,X,X,O,X,O,X,X
IJLSOZT,X,X,X,X,X,X,X,O,X,O,X,X
IJLZTSO,X,X,X,X,X,X,O,X,X,X,X,X
IJLZTOS,X,X,X,X,X,X,O,O,X,X,X,X
IJLZSTO,X,X,X,X,X,X,O,X,X,X,X,X
IJLZSOT,X,X,X,X,X,X,O,X,X,O,X,X
IJLZOTS,O,X,X,X,X,X,O,O,X,X,X,X
IJLZOST,O,X,X,X,X,X,O,O,X,O,X,X
IJLOTSZ,X,X,X,X,X,X,X,O,X,O,X,X
IJLOTZS,O,X,X,X,X,X,X,O,X,X,X,X
IJLOSTZ,X,X,X,X,X,X,X,O,X,O,X,X
IJLOSZT,O,X,X,X,X,X,X,O,X,O,X,X
IJLOZTS,O,X,X,X,X,X,O,O,X,X,X,X
IJLOZST,O,X,X,X,X,X,O,O,X,O,X,X
IJSTLZO,X,X,X,O,X,X,X,X,X,X,X,X
IJSTLOZ,X,X,X,O,X,X,X,O,X,O,X,X
IJSTZLO,X,X,X,O,X,O,X,X,X,X,X,X
IJSTZOL,X,X,X,O,X,O,X,X,X,X,X,X
IJSTOLZ,X,X,X,O,X,X,X,O,X,X,X,X
IJSTOZL,X,X,X,O,X,X,X,O,X,X,X,X
IJSLTZO,X,X,X,O,X,X,O,X,X,X,X,X
IJSLTOZ,X,X,X,O,X,X,X,O,X,O,X,X
IJSLZTO,X,X,X,X,X,X,O,X,X,X,X,X
IJSLZOT,O,X,X,X,X,X,O,X,X,O,X,X
IJSLOTZ,O,X,X,O,X,X,X,O,X,O,X,X
IJSLOZT,O,X,X,X,X,X,O,O,X,O,X,X
IJSZTLO,X,X,X,O,X,O,X,X,X,X,X,X
IJSZTOL,X,X,X,O,X,O,X,X,X,X,X,X
IJSZLTO,X,X,X,X,X,O,O,X,X,X,X,X
IJSZLOT,O,X,X,X,X,O,O,X,X,O,X,X
IJSZOTL,O,X,X,O,X,O,X,X,X,X,X,X
IJSZOLT,O,X,X,X,X,O,X,X,X,X,X,X
IJSOTLZ,O,X,X,O,X,X,X,O,X,X,X,X
IJSOTZL,O,X,X,O,X,X,X,O,X,X,X,X
IJSOLTZ,O,X,X,O,X,X,X,O,X,O,X,X
IJSOLZT,O,X,X,X,X,X,X,O,X,O,X,X
IJSOZTL,O,X,X,O,X,X,X,O,X,X,X,X
IJSOZLT,O,X,X,X,X,X,X,O,X,X,X,X
IJZTLSO,X,X,X,O,X,X,X,X,X,X,X,O
IJZTLOS,X,X,X,X,X,X,X,O,X,X,X,O
IJZTSLO,X,X,X,O,X,O,X,X,X,X,X,O
IJZTSOL,X,O,X,O,X,O,X,X,X,X,X,X
IJZTOLS,X,O,X,X,X,X,X,O,X,X,X,O
IJZTOSL,X,O,X,O,X,X,X,O,X,X,X,X
IJZLTSO,X,X,X,X,X,X,O,X,X,X,X,X
IJZLTOS,X,X,X,X,X,X,O,O,X,X,X,X
IJZLSTO,X,X,X,X,X,X,O,X,X,X,X,X
IJZLSOT,X,X,X,X,X,X,O,X,X,O,X,X
IJZLOTS,O,X,X,X,X,X,O,O,X,X,X,X
IJZLOST,O,X,X,X,X,X,O,O,X,O,X,X
IJZSTLO,X,X,X,O,X,O,X,X,X,X,X,X
IJZSTOL,X,X,X,O,X,O,X,X,X,X,X,X
IJZSLTO,X,X,X,X,X,O,X,X,X,X,X,X
IJZSLOT,X,X,X,X,X,O,X,X,X,O,X,X
IJZSOTL,X,X,X,O,X,O,X,X,X,X,X,X
IJZSOLT,X,X,X,X,X,O,X,X,X,X,X,X
IJZOTLS,O,O,X,X,X,X,X,O,X,X,X,X
IJZOTSL,O,O,X,X,X,X,X,O,X,X,X,X
IJZOLTS,O,O,X,X,X,X,X,O,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,O,X,X,X,X
IJZOSTL,O,O,X,X,X,X,X,O,X,X,X,X
IJZOSLT,O,X,X,X,X,X,X,O,X,X,X,X
IJOTLSZ,X,O,X,X,X,X,X,O,O,X,X,X
IJOTLZS,O,O,X,X,X,X,X,O,O,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,O,X,X,X,X
IJOTSZL,O,O,X,O,X,X,X,O,X,X,X,X
IJOTZLS,O,O,X,X,X,X,X,O,X,X,X,X
IJOTZSL,O,O,X,O,X,X,X,O,X,X,X,X
IJOLTSZ,X,O,X,X,X,X,X,O,X,O,X,X
IJOLTZS,O,O,X,X,X,X,X,O,X,X,X,X
IJOLSTZ,O,X,X,X,X,X,X,O,X,O,X,X
IJOLSZT,O,X,X,X,X,X,X,O,X,O,X,X
IJOLZTS,O,O,X,X,X,X,X,O,X,X,X,X
IJOLZST,O,X,X,X,X,X,X,O,X,O,X,X
IJOSTLZ,O,O,X,O,X,X,X,O,X,X,X,X
IJOSTZL,O,O,X,O,X,X,X,O,X,X,X,X
IJOSLTZ,O,X,X,O,X,X,X,O,X,O,X,X
IJOSLZT,O,X,X,X,X,X,X,O,X,O,X,X
IJOSZTL,O,O,X,O,X,X,X,O,X,X,X,X
IJOSZLT,O,X,X,X,X,X,X,O,X,X,X,X
IJOZTLS,O,O,X,X,X,X,X,O,X,X,X,X
IJOZTSL,O,O,X,X,X,X,X,O,X,X,X,X
IJOZLTS,O,O,X,X,X,X,X,O,X,X,X,X
IJOZLST,O,X,X,X,X,X,X,O,X,X,X,X
IJOZSTL,O,O,X,X,X,X,X,O,X,X,X,X
IJOZSLT,O,X,X,X,X,X,X,O,X,X,X,X
ISTLJZO,X,X,X,O,X,X,O,X,X,X,X,X
ISTLJOZ,X,X,X,O,X,X,X,X,X,X,X,X
ISTLZJO,X,X,X,O,O,X,O,X,X,X,X,X
ISTLZOJ,O,O,X,O,O,X,X,X,X,X,X,X
ISTLOJZ,O,O,X,O,X,X,X,X,X,X,X,X
ISTLOZJ,O,O,X,O,X,X,X,X,X,X,X,X
ISTJLZO,X,X,X,O,X,X,X,X,X,X,X,O
ISTJLOZ,X,X,X,O,X,X,X,X,X,X,X,X
ISTJZLO,X,X,X,O,X,X,X,X,X,X,X,O
ISTJZOL,X,O,X,O,X,X,X,X,X,X,X,X
ISTJOLZ,X,O,X,O,X,X,X,X,X,X,X,X
ISTJOZL,X,O,X,O,X,X,X,X,X,X,X,X
ISTZLJO,X,X,X,O,O,X,O,X,X,X,X,X
ISTZLOJ,O,O,X,O,O,X,X,X,X,X,X,X
ISTZJLO,X,X,X,O,O,X,X,X,X,X,X,X
ISTZJOL,X,O,X,O,O,X,X,X,X,X,X,X
ISTZOLJ,X,O,X,O,O,X,X,X,X,X,X,X
ISTZOJL,O,O,X,O,O,X,X,X,X,X,X,X
ISTOLJZ,O,O,X,O,X,X,X,X,X,X,X,X
ISTOLZJ,O,O,X,O,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,X,O,X,X,X,X,X,X,X,X
ISTOJZL,O,O,X,O,X,X,X,X,X,X,X,X
ISTOZLJ,X,O,X,O,X,X,X,X,X,X,X,X
ISTOZJL,O,O,X,O,X,X,X,X,X,X,X,X
ISLTJZO,X,X,O,O,X,X,O,X,X,X,X,X
ISLTJOZ,X,X,O,O,X,X,X,X,X,X,X,X
ISLTZJO,X,X,O,O,X,X,O,X,X,X,X,X
ISLTZOJ,O,X,X,O,X,X,X,X,X,X,X,X
ISLTOJZ,O,X,X,O,X,X,X,X,X,X,O,X
ISLTOZJ,O,X,X,O,X,X,X,X,X,X,X,X
ISLJTZO,X,X,O,O,X,X,O,X,X,X,X,X
ISLJTOZ,X,X,O,O,X,X,X,X,X,O,X,X
ISLJZTO,X,X,O,X,X,X,O,X,X,X,X,X
ISLJZOT,O,X,O,X,X,X,O,X,X,O,X,X
ISLJOTZ,O,X,O,O,X,X,X,X,X,O,X,X
ISLJOZT,O,X,O,X,X,X,O,X,X,O,X,X
ISLZTJO,X,X,O,X,X,X,O,X,X,X,X,X
ISLZTOJ,O,X,X,X,X,X,X,X,X,X,X,X
ISLZJTO,X,X,O,X,X,X,O,X,X,X,X,X
ISLZJOT,O,X,O,X,X,X,O,X,X,X,X,X
ISLZOTJ,O,X,O,X,X,X,X,X,X,X,X,X
ISLZOJT,O,X,O,X,X,X,O,X,X,X,X,X
ISLOTJZ,O,X,O,O,X,X,X,X,X,X,O,X
ISLOTZJ,O,X,O,O,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,O,O,X,X,X,X,X,X,X,X
ISLOJZT,O,X,O,X,X,X,O,X,X,X,X,X
ISLOZTJ,O,X,O,X,X,X,X,X,X,X,X,X
ISLOZJT,O,X,O,X,X,X,O,X,X,X,X,X
ISJTLZO,X,X,X,O,X,X,X,X,X,X,X,X
ISJTLOZ,X,X,X,O,X,X,X,O,X,O,X,X
ISJTZLO,X,X,X,O,X,O,X,X,X,X,X,X
ISJTZOL,X,X,X,O,X,O,X,X,X,X,X,X
ISJTOLZ,X,X,X,O,X,X,X,O,X,X,X,X
ISJTOZL,X,X,X,O,X,X,X,O,X,X,X,X
ISJLTZO,X,X,O,O,X,X,O,X,X,X,X,X
ISJLTOZ,X,X,O,O,X,X,X,O,X,O,X,X
ISJLZTO,X,X,O,X,X,X,O,X,X,X,X,X
ISJLZOT,O,X,O,X,X,X,O,X,X,O,X,X
ISJLOTZ,O,X,O,O,X,X,X,O,X,O,X,X
ISJLOZT,O,X,O,X,X,X,O,O,X,O,X,X
ISJZTLO,X,X,X,O,X,O,X,X,X,X,X,X
ISJZTOL,X,X,X,O,X,O,X,X,X,X,X,X
ISJZLTO,X,X,X,X,X,O,O,X,X,X,X,X
ISJZLOT,O,X,X,X,X,O,O,X,X,O,X,X
ISJZOTL,O,X,X,O,X,O,X,X,X,X,X,X
ISJZOLT,O,X,X,X,X,O,X,X,X,X,X,X
ISJOTLZ,O,X,O,O,X,X,X,O,X,X,X,X
ISJOTZL,O,X,X,O,X,X,X,O,X,X,X,X
ISJOLTZ,O,X,O,O,X,X,X,O,X,O,X,X
ISJOLZT,O,X,O,X,X,X,X,O,X,O,X,X
ISJOZTL,O,X,X,O,X,X,X,O,X,X,X,X
ISJOZLT,O,X,O,X,X,X,X,O,X,X,X,X
ISZTLJO,X,X,X,O,O,X,O,X,X,X,X,X
ISZTLOJ,O,O,X,O,O,X,X,X,X,X,X,X
ISZTJLO,X,X,X,O,O,X,X,X,X,X,X,X
ISZTJOL,X,O,X,O,O,X,X,X,X,X,X,X
ISZTOLJ,X,O,X,O,O,X,X,X,X,X,X,X
ISZTOJL,O,O,X,O,O,X,X,X,X,X,X,X
ISZLTJO,X,X,O,X,O,X,O,X,X,X,X,X
ISZLTOJ,O,X,X,X,O,X,X,X,X,X,X,X
ISZLJTO,X,X,O,X,X,X,O,X,X,X,X,X
ISZLJOT,O,X,O,X,X,X,O,X,X,X,X,X
ISZLOTJ,O,X,O,X,X,X,X,X,X,X,X,X
ISZLOJT,O,X,O,X,X,X,O,X,X,X,X,X
ISZJTLO,X,X,X,O,O,O,X,X,X,X,X,X
ISZJTOL,X,X,X,O,X,O,X,X,X,X,X,X
ISZJLTO,X,X,O,X,X,O,O,X,X,X,X,X
ISZJLOT,O,X,O,X,X,O,O,X,X,X,X,X
ISZJOTL,O,X,X,O,X,O,X,X,X,X,X,X
ISZJOLT,O,X,X,X,X,O,X,X,X,X,X,X
ISZOTLJ,X,O,X,O,O,X,X,X,X,X,X,X
ISZOTJL,O,O,X,O,X,X,X,X,X,X,X,X
ISZOLTJ,O,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,X,O,X,X,X,X,X
ISZOJTL,O,O,X,O,X,X,X,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,O,O,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,O,O,X,X,X,X,X,X,X,X
ISOTJLZ,O,O,O,O,X,X,X,X,X,X,X,X
ISOTJZL,O,O,X,O,X,X,X,X,X,X,X,X
ISOTZLJ,X,O,X,O,X,X,X,X,X,X,X,X
ISOTZJL,O,O,X,O,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,O,O,X,X,X,X,X,X,O,X
ISOLTZJ,O,X,O,O,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,O,O,X,X,X,X,X,X,X,X
ISOLJZT,O,X,O,X,X,X,O,X,X,X,X,X
ISOLZTJ,O,X,O,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,O,X,X,X,O,X,X,X,X,X
ISOJTLZ,O,O,O,O,X,X,X,X,X,X,X,X
ISOJTZL,O,O,X,O,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,O,O,X,X,X,X,X,X,X,X
ISOJLZT,O,X,O,X,X,X,X,X,X,X,X,X
ISOJZTL,O,O,X,O,X,X,X,X,X,X,X,X
ISOJZLT,O,X,O,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,O,X,O,X,X,X,X,X,X,X,X
ISOZTJL,O,O,X,O,X,X,X,X,X,X,X,X
ISOZLTJ,O,X,O,X,X,X,X,X,X,X,X,X
ISOZLJT,O,X,O,X,X,X,O,X,X,X,X,X
ISOZJTL,O,O,X,O,X,X,X,X,X,X,X,X
ISOZJLT,O,X,O,X,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,O,O,X,O,X,X,X,X,X
IZTLJOS,X,X,X,X,X,X,O,X,X,X,X,X
IZTLSJO,X,X,X,O,O,X,X,X,X,X,X,X
IZTLSOJ,X,O,X,O,O,X,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,O,X,X,X,X,X,X,X
IZTJLSO,X,X,X,O,O,X,X,X,X,X,X,O
IZTJLOS,X,X,X,X,X,X,X,X,X,X,X,O
IZTJSLO,X,X,X,O,X,X,X,X,X,X,X,O
IZTJSOL,X,O,X,O,X,X,X,X,X,X,X,X
IZTJOLS,X,O,X,X,X,X,X,X,X,X,X,O
IZTJOSL,X,O,X,O,X,X,X,X,X,X,X,X
IZTSLJO,X,X,X,O,O,X,X,X,X,X,X,X
IZTSLOJ,X,O,X,O,O,X,X,X,X,X,X,X
IZTSJLO,X,X,X,O,O,X,X,X,X,X,X,X
IZTSJOL,X,O,X,O,O,X,X,X,X,X,X,X
IZTSOLJ,X,O,X,O,O,X,X,X,X,X,X,X
IZTSOJL,X,O,X,O,O,X,X,X,X,X,X,X
IZTOLJS,X,O,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,O,X,X,X,X,X,X,X
IZTOJLS,O,O,X,X,X,X,X,X,X,X,X,X
IZTOJSL,O,O,X,O,X,X,X,X,X,X,X,X
IZTOSLJ,X,O,X,O,X,X,X,X,X,X,X,X
IZTOSJL,X,O,X,O,X,X,X,X,X,X,X,X
IZLTJSO,X,X,X,X,O,X,O,X,X,X,X,X
IZLTJOS,X,X,X,X,X,X,O,X,X,X,X,X
IZLTSJO,X,X,O,X,O,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,O,X,X,X,X,X,X,X
