sequence,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBCjBTlB/rB8s?B+tB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgB3iB5oB9rBet?BUsB,v115@9gB8HeB8HeB8HeE8AeA8MeTAJvhFxhBXjByqBurB9t?B0sB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBUiB5oB9rBet?B3sB,v115@9gB8HeB8HeB8HeE8AeA8MeOFJvhF8lBRiBSoB9rB/s?BTtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBGjBTlB/rBCt?BUtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBunBcoBTlB/r?BSyB,v115@9gB8HeB8HeB8HeE8AeA8MeTAJvhF2mBXjB9tBxqB0s?BCsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBUiB9rBxsBXt?BGtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBTlB/rBGoBUt?BCtB,v115@9gB8HeB8HeB8HeE8AeA8MemAJvhF0iBTlBxrBXtBtr?B6tB,v115@9gB8HeB8HeB8HeE8AeA8Me2FJvhFRiBcoB9rBTnB3l?BSyB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBSoBTlB/rBUo?BWyB,v115@9gB8HeB8HeB8HeE8AeA8MeNFJvhF3hB5nB8rBOtBzl?B6tB,v115@9gB8HeB8HeB8HeE8AeA8MemAJvhFdoB5oBTlB3mB0s?BCsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgB9rBxnBUnBXt?BGtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFXjBTlBimB+tB8r?BtsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBRnBctB9rB/s?BGtB
JLTSOZI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,O,X
JLTZISO,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JLTZIOS,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JLTZSIO,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JLTZSOI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JLTZOIS,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JLTZOSI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JLTOISZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JLTOIZS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JLTOSIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
JLTOSZI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,O,X
JLTOZIS,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JLTOZSI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JLITSZO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLITSOZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JLITZSO,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JLITZOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLITOSZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JLITOZS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLISTZO,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLISTOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLISZTO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISOTZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
JLISOZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZTSO,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLIZTOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZSTO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLIZSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZOTS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOTSZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLIOTZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOSTZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
JLIOSZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZTS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIZO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLSTIOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JLSTZIO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLSTZOI,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JLSTOIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
JLSTOZI,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLSITZO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLSITOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JLSIZTO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSIZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIOTZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
JLSIOZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTIO,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLSZTOI,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JLSZITO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZIOT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZOTI,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLSZOIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSOTIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
JLSOTZI,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLSOITZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLSOIZT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSOZTI,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLSOZIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZTISO,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLZTIOS,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JLZTSIO,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JLZTSOI,O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
JLZTOIS,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JLZTOSI,O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
JLZITSO,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLZITOS,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZISTO,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLZISOT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZIOTS,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JLZIOST,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSTIO,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JLZSTOI,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JLZSITO,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLZSIOT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLZSOIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZOTIS,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JLZOTSI,O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
JLZOITS,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JLZOIST,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZOSTI,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLZOSIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOTISZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JLOTIZS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JLOTSIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
JLOTSZI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,O,X
JLOTZIS,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JLOTZSI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JLOITSZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLOITZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOISTZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLOISZT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZST,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
JLOSTZI,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLOSITZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLOSIZT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLOSZIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOZTIS,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JLOZTSI,O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
JLOZITS,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JLOZIST,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JLOZSIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTILOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JSTIZLO,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTIZOL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTIOLZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTIOZL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTLIZO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JSTLZIO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTLZOI,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSTLOIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
JSTLOZI,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JSTZILO,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTZIOL,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JSTZLIO,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTZLOI,O,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSTZOIL,O,X,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
JSTZOLI,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSTOILZ,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSTOIZL,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSTOLIZ,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X
JSTOLZI,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X
JSTOZIL,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSTOZLI,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSITLZO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSITLOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JSITZLO,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSITZOL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSITOLZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSITOZL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSILTZO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSILTOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JSILZTO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JSILOZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIZTOL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JSIZLTO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIZLOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X
JSIZOLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JSIOTLZ,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JSIOTZL,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
JSIOLTZ,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
JSIOLZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JSIOZTL,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
JSIOZLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JSLTIZO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JSLTZIO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLTZOI,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSLTOIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
JSLTOZI,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JSLITZO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLITOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JSLIZTO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
JSLIOZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JSLZITO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JSLZOIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
JSLOTZI,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JSLOITZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JSLOIZT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JSLOZIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZTIOL,O,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JSZTLIO,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZTLOI,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSZTOIL,O,X,O,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X
JSZTOLI,O,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X
JSZITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZITOL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
JSZILTO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZILOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X
JSZIOLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JSZLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZLTOI,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSZLITO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZLIOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JSZLOIT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,O,X,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X
JSZOTLI,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X
JSZOITL,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X
JSZOILT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JSZOLTI,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X
JSZOLIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOTILZ,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSOTIZL,O,X,X,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X
JSOTLIZ,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X
JSOTLZI,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X
JSOTZIL,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X
JSOTZLI,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X
JSOITLZ,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSOITZL,O,X,X,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X
JSOILTZ,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X
JSOILZT,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
JSOIZTL,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
JSOIZLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JSOLTIZ,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X
JSOLTZI,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X
JSOLITZ,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X
JSOLIZT,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
JSOLZTI,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,O,X
JSOLZIT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOZTIL,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X
JSOZTLI,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X
JSOZITL,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
JSOZILT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JSOZLTI,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X
JSOZLIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZTILSO,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZTILOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTISLO,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZTISOL,O,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
JZTIOLS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOSL,O,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
JZTLISO,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZTLIOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLSIO,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZTLSOI,O,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JZTLOIS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,O,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JZTSILO,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZTSIOL,O,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
JZTSLIO,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZTSLOI,O,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JZTSOIL,O,X,O,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X
JZTSOLI,O,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X
JZTOILS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOISL,O,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
JZTOLIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JZTOSIL,O,X,O,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X
JZTOSLI,O,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X
JZITLSO,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZITLOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZITSOL,O,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
JZITOLS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITOSL,O,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
JZILTSO,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZILTOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILSTO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILSOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JZILOST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZISTOL,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
JZISLTO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZISLOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
JZISOLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZIOTLS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOTSL,O,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
JZIOLTS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
JZIOSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZLTISO,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZLTIOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTSIO,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZLTSOI,O,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JZLTOIS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,O,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JZLITSO,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZLITOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLISTO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLISOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JZLIOST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSTOI,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZLSITO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSIOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JZLSOIT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,O,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JZLOITS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLOIST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
