sequence,v115@EhB8IeA8AeA8EeC8AeB8DeC8KeT/IvhFigBUiB5oBF?qBXrBGrB,v115@EhB8IeA8AeA8EeC8AeB8DeC8KeT/IvhF/lBVnB5oBK?rBGmBUqB,v115@EhB8IeA8AeA8EeC8AeB8DeC8Ke/EJvhFVmBUiB5oBK?qBGlBTrB,v115@EhB8IeA8AeA8EeC8AeB8DeC8Ke/EJvhFzgBUiB5oB+?rBlqBaqB
LJTSZIO,X,X,X,O
LJTSZOI,X,X,X,O
LJTSOIZ,X,X,X,O
LJTSOZI,X,X,X,O
LJTZISO,X,O,X,O
LJTZIOS,X,O,X,O
LJTZSIO,X,O,X,O
LJTZSOI,X,O,X,O
LJTZOIS,X,O,X,O
LJTZOSI,X,O,X,O
LJTOISZ,X,X,X,O
LJTOIZS,X,O,X,O
LJTOSIZ,X,X,X,O
LJTOSZI,X,X,X,O
LJTOZIS,X,O,X,O
LJTOZSI,X,O,X,O
LJITSZO,X,X,X,O
LJITSOZ,X,X,X,O
LJITZSO,X,O,X,O
LJITZOS,X,O,X,O
LJITOSZ,X,X,X,O
LJITOZS,X,O,X,O
LJISTZO,X,X,X,O
LJISTOZ,X,X,X,O
LJISZTO,X,X,X,O
LJISZOT,X,X,O,X
LJISOTZ,X,X,O,X
LJISOZT,X,X,O,X
LJIZTSO,X,O,X,O
LJIZTOS,X,O,X,O
LJIZSTO,X,O,X,O
LJIZSOT,X,O,O,X
LJIZOTS,X,O,O,X
LJIZOST,X,O,O,X
LJIOTSZ,X,X,O,X
LJIOTZS,X,O,O,X
LJIOSTZ,X,X,O,X
LJIOSZT,X,X,O,X
LJIOZTS,X,O,O,X
LJIOZST,X,O,O,X
LJSTIZO,X,X,X,O
LJSTIOZ,X,X,X,O
LJSTZIO,X,X,X,O
LJSTZOI,X,X,X,O
LJSTOIZ,X,X,X,O
LJSTOZI,X,X,X,O
LJSITZO,X,X,X,O
LJSITOZ,X,X,X,O
LJSIZTO,X,X,X,O
LJSIZOT,X,X,O,X
LJSIOTZ,X,X,O,X
LJSIOZT,X,X,O,X
LJSZTIO,X,X,X,O
LJSZTOI,X,X,X,O
LJSZITO,X,X,X,O
LJSZIOT,X,X,O,X
LJSZOTI,X,X,O,X
LJSZOIT,X,X,O,X
LJSOTIZ,X,X,O,X
LJSOTZI,X,X,O,X
LJSOITZ,X,X,O,X
LJSOIZT,X,X,O,X
LJSOZTI,X,X,O,X
LJSOZIT,X,X,O,X
LJZTISO,X,O,X,O
LJZTIOS,X,O,X,O
LJZTSIO,X,O,X,O
LJZTSOI,X,O,X,O
LJZTOIS,X,O,X,O
LJZTOSI,X,O,X,O
LJZITSO,X,O,X,O
LJZITOS,X,O,X,O
LJZISTO,X,O,X,O
LJZISOT,X,O,O,X
LJZIOTS,X,O,O,X
LJZIOST,X,O,O,X
LJZSTIO,X,O,X,O
LJZSTOI,X,O,X,O
LJZSITO,X,O,X,O
LJZSIOT,X,O,O,X
LJZSOTI,X,O,O,X
LJZSOIT,X,O,O,X
LJZOTIS,X,O,O,X
LJZOTSI,X,O,O,X
LJZOITS,X,O,O,X
LJZOIST,X,O,O,X
LJZOSTI,X,O,O,X
LJZOSIT,X,O,O,X
LJOTISZ,X,X,O,X
LJOTIZS,X,O,O,X
LJOTSIZ,X,X,O,X
LJOTSZI,X,X,O,X
LJOTZIS,X,O,O,X
LJOTZSI,X,O,O,X
LJOITSZ,X,X,O,X
LJOITZS,X,O,O,X
LJOISTZ,X,X,O,X
LJOISZT,X,X,O,X
LJOIZTS,X,O,O,X
LJOIZST,X,O,O,X
LJOSTIZ,X,X,O,X
LJOSTZI,X,X,O,X
LJOSITZ,X,X,O,X
LJOSIZT,X,X,O,X
LJOSZTI,X,X,O,X
LJOSZIT,X,X,O,X
LJOZTIS,X,O,O,X
LJOZTSI,X,O,O,X
LJOZITS,X,O,O,X
LJOZIST,X,O,O,X
LJOZSTI,X,O,O,X
LJOZSIT,X,O,O,X
LSTIJZO,O,X,X,O
LSTIJOZ,O,X,X,O
LSTIZJO,O,O,X,X
LSTIZOJ,O,O,O,X
LSTIOJZ,O,X,O,O
LSTIOZJ,O,O,O,X
LSTJIZO,O,X,X,O
LSTJIOZ,O,X,X,O
LSTJZIO,O,X,X,O
LSTJZOI,O,X,X,O
LSTJOIZ,O,X,X,O
LSTJOZI,O,X,X,O
LSTZIJO,O,O,X,X
LSTZIOJ,O,O,O,X
LSTZJIO,O,O,X,X
LSTZJOI,O,O,X,X
LSTZOIJ,O,O,O,X
LSTZOJI,O,O,O,X
LSTOIJZ,O,X,O,O
LSTOIZJ,O,O,O,X
LSTOJIZ,O,X,O,O
LSTOJZI,O,X,O,O
LSTOZIJ,O,O,O,X
LSTOZJI,O,O,O,X
LSITJZO,O,X,X,O
LSITJOZ,O,X,X,O
LSITZJO,O,O,X,X
LSITZOJ,O,O,O,X
LSITOJZ,O,X,O,O
LSITOZJ,O,O,O,X
LSIJTZO,X,X,X,O
LSIJTOZ,X,X,X,O
LSIJZTO,X,X,X,O
LSIJZOT,X,X,O,X
LSIJOTZ,X,X,O,X
LSIJOZT,X,X,O,X
LSIZTJO,O,O,X,X
LSIZTOJ,O,O,O,X
LSIZJTO,X,O,X,O
LSIZJOT,X,O,O,X
LSIZOTJ,O,O,O,X
LSIZOJT,X,O,O,X
LSIOTJZ,O,X,O,X
LSIOTZJ,O,O,O,X
LSIOJTZ,X,X,O,X
LSIOJZT,X,X,O,X
LSIOZTJ,O,O,O,X
LSIOZJT,X,O,O,X
LSJTIZO,X,X,X,O
LSJTIOZ,X,X,X,O
LSJTZIO,X,X,X,O
LSJTZOI,X,X,X,O
LSJTOIZ,X,X,X,O
LSJTOZI,X,X,X,O
LSJITZO,X,X,X,O
LSJITOZ,X,X,X,O
LSJIZTO,X,X,X,O
LSJIZOT,X,X,O,X
LSJIOTZ,X,X,O,X
LSJIOZT,X,X,O,X
LSJZTIO,X,X,X,O
LSJZTOI,X,X,X,O
LSJZITO,X,X,X,O
LSJZIOT,X,X,O,X
LSJZOTI,X,X,O,X
LSJZOIT,X,X,O,X
LSJOTIZ,X,X,O,X
LSJOTZI,X,X,O,X
LSJOITZ,X,X,O,X
LSJOIZT,X,X,O,X
LSJOZTI,X,X,O,X
LSJOZIT,X,X,O,X
LSZTIJO,O,O,X,X
LSZTIOJ,O,O,O,X
LSZTJIO,O,O,X,X
LSZTJOI,O,O,X,X
LSZTOIJ,O,O,O,X
LSZTOJI,O,O,O,X
LSZITJO,O,O,X,X
LSZITOJ,O,O,O,X
LSZIJTO,X,O,X,O
LSZIJOT,X,O,O,X
LSZIOTJ,O,O,O,X
LSZIOJT,X,O,O,X
LSZJTIO,X,O,X,O
LSZJTOI,X,O,X,O
LSZJITO,X,O,X,O
LSZJIOT,X,O,O,X
LSZJOTI,X,O,O,X
LSZJOIT,X,O,O,X
LSZOTIJ,O,O,O,X
LSZOTJI,O,O,O,X
LSZOITJ,O,O,O,X
LSZOIJT,X,O,O,X
LSZOJTI,X,O,O,X
LSZOJIT,X,O,O,X
LSOTIJZ,O,X,O,X
LSOTIZJ,O,O,O,X
LSOTJIZ,O,X,O,X
LSOTJZI,O,X,O,X
LSOTZIJ,O,O,O,X
LSOTZJI,O,O,O,X
LSOITJZ,O,X,O,X
LSOITZJ,O,O,O,X
LSOIJTZ,X,X,O,X
LSOIJZT,X,X,O,X
LSOIZTJ,O,O,O,X
LSOIZJT,X,O,O,X
LSOJTIZ,X,X,O,X
LSOJTZI,X,X,O,X
LSOJITZ,X,X,O,X
LSOJIZT,X,X,O,X
LSOJZTI,X,X,O,X
LSOJZIT,X,X,O,X
LSOZTIJ,O,O,O,X
LSOZTJI,O,O,O,X
LSOZITJ,O,O,O,X
LSOZIJT,X,O,O,X
LSOZJTI,X,O,O,X
LSOZJIT,X,O,O,X
LZTIJSO,X,O,X,X
LZTIJOS,O,O,X,X
LZTISJO,O,O,X,X
LZTISOJ,O,O,O,X
LZTIOJS,O,O,O,X
LZTIOSJ,O,O,O,X
LZTJISO,X,O,X,X
LZTJIOS,O,O,X,X
LZTJSIO,X,O,X,X
LZTJSOI,X,O,X,X
LZTJOIS,O,O,X,X
LZTJOSI,X,O,X,X
LZTSIJO,O,O,X,X
LZTSIOJ,O,O,O,X
LZTSJIO,O,O,X,X
LZTSJOI,O,O,X,X
LZTSOIJ,O,O,O,X
LZTSOJI,O,O,O,X
LZTOIJS,O,O,O,X
LZTOISJ,O,O,O,X
LZTOJIS,O,O,O,X
LZTOJSI,X,O,O,X
LZTOSIJ,O,O,O,X
LZTOSJI,O,O,O,X
LZITJSO,X,O,X,X
LZITJOS,O,O,X,X
LZITSJO,O,O,X,X
LZITSOJ,O,O,O,X
LZITOJS,O,O,O,X
LZITOSJ,O,O,O,X
LZIJTSO,X,O,X,O
LZIJTOS,X,O,X,O
LZIJSTO,X,O,X,O
LZIJSOT,X,O,O,X
LZIJOTS,X,O,O,X
LZIJOST,X,O,O,X
LZISTJO,O,O,X,X
LZISTOJ,O,O,O,X
LZISJTO,X,O,X,O
LZISJOT,X,O,O,X
LZISOTJ,O,O,O,X
LZISOJT,X,O,O,X
LZIOTJS,O,O,O,X
LZIOTSJ,O,O,O,X
LZIOJTS,X,O,O,X
LZIOJST,X,O,O,X
LZIOSTJ,O,O,O,X
LZIOSJT,X,O,O,X
LZJTISO,X,O,X,O
LZJTIOS,X,O,X,O
LZJTSIO,X,O,X,O
LZJTSOI,X,O,X,O
LZJTOIS,X,O,X,O
LZJTOSI,X,O,X,O
LZJITSO,X,O,X,O
LZJITOS,X,O,X,O
LZJISTO,X,O,X,O
LZJISOT,X,O,O,X
LZJIOTS,X,O,O,X
LZJIOST,X,O,O,X
LZJSTIO,X,O,X,O
LZJSTOI,X,O,X,O
LZJSITO,X,O,X,O
LZJSIOT,X,O,O,X
LZJSOTI,X,O,O,X
LZJSOIT,X,O,O,X
LZJOTIS,X,O,O,X
LZJOTSI,X,O,O,X
LZJOITS,X,O,O,X
LZJOIST,X,O,O,X
LZJOSTI,X,O,O,X
LZJOSIT,X,O,O,X
LZSTIJO,O,O,X,X
LZSTIOJ,O,O,O,X
LZSTJIO,O,O,X,X
LZSTJOI,O,O,X,X
LZSTOIJ,O,O,O,X
LZSTOJI,O,O,O,X
LZSITJO,O,O,X,X
LZSITOJ,O,O,O,X
LZSIJTO,X,O,X,O
LZSIJOT,X,O,O,X
LZSIOTJ,O,O,O,X
LZSIOJT,X,O,O,X
LZSJTIO,X,O,X,O
LZSJTOI,X,O,X,O
LZSJITO,X,O,X,O
LZSJIOT,X,O,O,X
LZSJOTI,X,O,O,X
LZSJOIT,X,O,O,X
LZSOTIJ,O,O,O,X
LZSOTJI,O,O,O,X
LZSOITJ,O,O,O,X
LZSOIJT,X,O,O,X
LZSOJTI,X,O,O,X
LZSOJIT,X,O,O,X
LZOTIJS,O,O,O,X
LZOTISJ,O,O,O,X
LZOTJIS,O,O,O,X
LZOTJSI,X,O,O,X
LZOTSIJ,O,O,O,X
LZOTSJI,O,O,O,X
LZOITJS,O,O,O,X
LZOITSJ,O,O,O,X
LZOIJTS,X,O,O,X
LZOIJST,X,O,O,X
LZOISTJ,O,O,O,X
LZOISJT,X,O,O,X
LZOJTIS,X,O,O,X
LZOJTSI,X,O,O,X
LZOJITS,X,O,O,X
LZOJIST,X,O,O,X
LZOJSTI,X,O,O,X
LZOJSIT,X,O,O,X
LZOSTIJ,O,O,O,X
LZOSTJI,O,O,O,X
LZOSITJ,O,O,O,X
LZOSIJT,X,O,O,X
LZOSJTI,X,O,O,X
LZOSJIT,X,O,O,X
LOTIJSZ,O,X,O,X
LOTIJZS,O,O,O,X
LOTISJZ,O,X,O,X
LOTISZJ,O,O,O,X
LOTIZJS,O,O,O,X
LOTIZSJ,O,O,O,X
LOTJISZ,O,X,O,X
LOTJIZS,O,O,O,X
LOTJSIZ,O,X,O,X
LOTJSZI,O,X,O,X
LOTJZIS,O,O,O,X
LOTJZSI,X,O,O,X
LOTSIJZ,O,X,O,X
LOTSIZJ,O,O,O,X
LOTSJIZ,O,X,O,X
LOTSJZI,O,X,O,X
LOTSZIJ,O,O,O,X
LOTSZJI,O,O,O,X
LOTZIJS,O,O,O,X
LOTZISJ,O,O,O,X
LOTZJIS,O,O,O,X
LOTZJSI,X,O,O,X
LOTZSIJ,O,O,O,X
LOTZSJI,O,O,O,X
LOITJSZ,O,X,O,X
LOITJZS,O,O,O,X
LOITSJZ,O,X,O,X
LOITSZJ,O,O,O,X
LOITZJS,O,O,O,X
LOITZSJ,O,O,O,X
LOIJTSZ,X,X,O,X
LOIJTZS,X,O,O,X
LOIJSTZ,X,X,O,X
LOIJSZT,X,X,O,X
LOIJZTS,X,O,O,X
LOIJZST,X,O,O,X
LOISTJZ,O,X,O,X
LOISTZJ,O,O,O,X
LOISJTZ,X,X,O,X
LOISJZT,X,X,O,X
LOISZTJ,O,O,O,X
LOISZJT,X,O,O,X
LOIZTJS,O,O,O,X
LOIZTSJ,O,O,O,X
LOIZJTS,X,O,O,X
LOIZJST,X,O,O,X
LOIZSTJ,O,O,O,X
LOIZSJT,X,O,O,X
LOJTISZ,X,X,O,X
LOJTIZS,X,O,O,X
LOJTSIZ,X,X,O,X
LOJTSZI,X,X,O,X
LOJTZIS,X,O,O,X
LOJTZSI,X,O,O,X
LOJITSZ,X,X,O,X
LOJITZS,X,O,O,X
LOJISTZ,X,X,O,X
LOJISZT,X,X,O,X
LOJIZTS,X,O,O,X
LOJIZST,X,O,O,X
LOJSTIZ,X,X,O,X
LOJSTZI,X,X,O,X
LOJSITZ,X,X,O,X
LOJSIZT,X,X,O,X
LOJSZTI,X,X,O,X
LOJSZIT,X,X,O,X
LOJZTIS,X,O,O,X
LOJZTSI,X,O,O,X
LOJZITS,X,O,O,X
LOJZIST,X,O,O,X
LOJZSTI,X,O,O,X
LOJZSIT,X,O,O,X
LOSTIJZ,O,X,O,X
LOSTIZJ,O,O,O,X
LOSTJIZ,O,X,O,X
LOSTJZI,O,X,O,X
LOSTZIJ,O,O,O,X
LOSTZJI,O,O,O,X
LOSITJZ,O,X,O,X
LOSITZJ,O,O,O,X
LOSIJTZ,X,X,O,X
LOSIJZT,X,X,O,X
LOSIZTJ,O,O,O,X
LOSIZJT,X,O,O,X
LOSJTIZ,X,X,O,X
LOSJTZI,X,X,O,X
LOSJITZ,X,X,O,X
LOSJIZT,X,X,O,X
LOSJZTI,X,X,O,X
LOSJZIT,X,X,O,X
LOSZTIJ,O,O,O,X
LOSZTJI,O,O,O,X
LOSZITJ,O,O,O,X
LOSZIJT,X,O,O,X
LOSZJTI,X,O,O,X
LOSZJIT,X,O,O,X
LOZTIJS,O,O,O,X
LOZTISJ,O,O,O,X
LOZTJIS,O,O,O,X
LOZTJSI,X,O,O,X
LOZTSIJ,O,O,O,X
LOZTSJI,O,O,O,X
LOZITJS,O,O,O,X
LOZITSJ,O,O,O,X
LOZIJTS,X,O,O,X
LOZIJST,X,O,O,X
LOZISTJ,O,O,O,X
LOZISJT,X,O,O,X
LOZJTIS,X,O,O,X
LOZJTSI,X,O,O,X
LOZJITS,X,O,O,X
LOZJIST,X,O,O,X
LOZJSTI,X,O,O,X
LOZJSIT,X,O,O,X
LOZSTIJ,O,O,O,X
LOZSTJI,O,O,O,X
LOZSITJ,O,O,O,X
LOZSIJT,X,O,O,X
LOZSJTI,X,O,O,X
LOZSJIT,X,O,O,X
JTILSZO,O,X,X,O
JTILSOZ,O,X,X,O
JTILZSO,X,O,X,O
JTILZOS,O,O,X,O
JTILOSZ,O,X,X,O
JTILOZS,O,O,X,O
JTISLZO,O,X,X,O
JTISLOZ,O,X,X,O
JTISZLO,O,X,X,O
JTISZOL,O,X,X,O
JTISOLZ,O,X,X,O
JTISOZL,O,X,X,O
JTIZLSO,X,O,X,O
JTIZLOS,O,O,X,O
JTIZSLO,O,O,X,O
JTIZSOL,O,O,X,O
JTIZOLS,O,O,X,O
JTIZOSL,O,O,X,O
JTIOLSZ,O,X,X,O
JTIOLZS,O,O,X,O
JTIOSLZ,O,X,X,O
JTIOSZL,O,X,X,O
JTIOZLS,O,O,X,O
JTIOZSL,O,O,X,O
JTLISZO,O,X,X,O
JTLISOZ,O,X,X,O
JTLIZSO,X,O,X,O
JTLIZOS,O,O,X,O
JTLIOSZ,O,X,X,O
JTLIOZS,O,O,X,O
JTLSIZO,O,X,X,O
JTLSIOZ,O,X,X,O
JTLSZIO,O,X,X,O
JTLSZOI,O,X,X,O
JTLSOIZ,O,X,X,O
JTLSOZI,O,X,X,O
JTLZISO,X,O,X,O
JTLZIOS,O,O,X,O
JTLZSIO,X,O,X,O
JTLZSOI,X,O,X,O
JTLZOIS,O,O,X,O
JTLZOSI,X,O,X,O
JTLOISZ,O,X,X,O
JTLOIZS,O,O,X,O
JTLOSIZ,O,X,X,O
JTLOSZI,O,X,X,O
JTLOZIS,O,O,X,O
JTLOZSI,X,O,X,O
JTSILZO,O,X,X,O
JTSILOZ,O,X,X,O
JTSIZLO,O,X,X,O
JTSIZOL,O,X,X,O
JTSIOLZ,O,X,X,O
JTSIOZL,O,X,X,O
JTSLIZO,O,X,X,O
JTSLIOZ,O,X,X,O
JTSLZIO,O,X,X,O
JTSLZOI,O,X,X,O
JTSLOIZ,O,X,X,O
JTSLOZI,O,X,X,O
JTSZILO,O,X,X,O
JTSZIOL,O,X,X,O
JTSZLIO,O,X,X,O
JTSZLOI,O,X,X,O
JTSZOIL,O,X,X,O
JTSZOLI,O,X,X,O
JTSOILZ,O,X,X,O
JTSOIZL,O,X,X,O
JTSOLIZ,O,X,X,O
JTSOLZI,O,X,X,O
JTSOZIL,O,X,X,O
JTSOZLI,O,X,X,O
JTZILSO,X,O,X,O
JTZILOS,O,O,X,O
JTZISLO,O,O,X,O
JTZISOL,O,O,X,O
JTZIOLS,O,O,X,O
JTZIOSL,O,O,X,O
JTZLISO,X,O,X,O
JTZLIOS,O,O,X,O
JTZLSIO,X,O,X,O
JTZLSOI,X,O,X,O
JTZLOIS,O,O,X,O
JTZLOSI,X,O,X,O
JTZSILO,O,O,X,O
JTZSIOL,O,O,X,O
JTZSLIO,O,O,X,O
JTZSLOI,O,O,X,O
JTZSOIL,O,O,X,O
JTZSOLI,O,O,X,O
JTZOILS,O,O,X,O
JTZOISL,O,O,X,O
JTZOLIS,O,O,X,O
JTZOLSI,X,O,X,O
JTZOSIL,O,O,X,O
JTZOSLI,O,O,X,O
JTOILSZ,O,X,X,O
JTOILZS,O,O,X,O
JTOISLZ,O,X,X,O
JTOISZL,O,X,X,O
JTOIZLS,O,O,X,O
JTOIZSL,O,O,X,O
JTOLISZ,O,X,X,O
JTOLIZS,O,O,X,O
JTOLSIZ,O,X,X,O
JTOLSZI,O,X,X,O
JTOLZIS,O,O,X,O
JTOLZSI,X,O,X,O
JTOSILZ,O,X,X,O
JTOSIZL,O,X,X,O
JTOSLIZ,O,X,X,O
JTOSLZI,O,X,X,O
JTOSZIL,O,X,X,O
JTOSZLI,O,X,X,O
JTOZILS,O,O,X,O
JTOZISL,O,O,X,O
JTOZLIS,O,O,X,O
JTOZLSI,X,O,X,O
JTOZSIL,O,O,X,O
JTOZSLI,O,O,X,O
JITLSZO,O,X,X,O
JITLSOZ,O,X,X,O
JITLZSO,X,O,X,O
JITLZOS,O,O,X,O
JITLOSZ,O,X,X,O
JITLOZS,O,O,X,O
JITSLZO,O,X,X,O
JITSLOZ,O,X,X,O
JITSZLO,O,X,X,O
JITSZOL,O,X,X,O
JITSOLZ,O,X,X,O
JITSOZL,O,X,X,O
JITZLSO,X,O,X,O
JITZLOS,O,O,X,O
JITZSLO,O,O,X,O
JITZSOL,O,O,X,O
JITZOLS,O,O,X,O
JITZOSL,O,O,X,O
JITOLSZ,O,X,X,O
JITOLZS,O,O,X,O
JITOSLZ,O,X,X,O
JITOSZL,O,X,X,O
JITOZLS,O,O,X,O
JITOZSL,O,O,X,O
JILTSZO,X,X,X,O
JILTSOZ,X,X,X,O
JILTZSO,X,O,X,O
JILTZOS,X,O,X,O
JILTOSZ,X,X,X,O
JILTOZS,X,O,X,O
JILSTZO,X,X,X,O
JILSTOZ,X,X,X,O
JILSZTO,X,X,X,O
JILSZOT,X,X,O,X
JILSOTZ,X,X,O,X
JILSOZT,X,X,O,X
JILZTSO,X,O,X,O
JILZTOS,X,O,X,O
JILZSTO,X,O,X,O
JILZSOT,X,O,O,X
JILZOTS,X,O,O,X
JILZOST,X,O,O,X
JILOTSZ,X,X,O,X
JILOTZS,X,O,O,X
JILOSTZ,X,X,O,X
JILOSZT,X,X,O,X
JILOZTS,X,O,O,X
JILOZST,X,O,O,X
JISTLZO,O,X,X,O
JISTLOZ,O,X,X,O
JISTZLO,O,X,X,O
JISTZOL,O,X,X,O
JISTOLZ,O,X,X,O
JISTOZL,O,X,X,O
JISLTZO,X,X,X,O
JISLTOZ,X,X,X,O
JISLZTO,X,X,X,O
JISLZOT,X,X,O,X
JISLOTZ,X,X,O,X
JISLOZT,X,X,O,X
JISZTLO,O,X,X,O
JISZTOL,O,X,X,O
JISZLTO,X,X,X,O
JISZLOT,X,X,O,X
JISZOTL,O,X,O,O
JISZOLT,X,X,O,X
JISOTLZ,O,X,O,O
JISOTZL,O,X,O,O
JISOLTZ,X,X,O,X
JISOLZT,X,X,O,X
JISOZTL,O,X,O,O
JISOZLT,X,X,O,X
JIZTLSO,X,O,X,O
JIZTLOS,O,O,X,O
JIZTSLO,O,O,X,O
JIZTSOL,O,O,X,O
JIZTOLS,O,O,X,O
JIZTOSL,O,O,X,O
JIZLTSO,X,O,X,O
JIZLTOS,X,O,X,O
JIZLSTO,X,O,X,O
JIZLSOT,X,O,O,X
JIZLOTS,X,O,O,X
JIZLOST,X,O,O,X
JIZSTLO,O,O,X,O
JIZSTOL,O,O,X,O
JIZSLTO,X,O,X,O
JIZSLOT,X,O,O,X
JIZSOTL,O,O,O,O
JIZSOLT,X,O,O,X
JIZOTLS,O,O,O,O
JIZOTSL,O,O,O,O
JIZOLTS,X,O,O,X
JIZOLST,X,O,O,X
JIZOSTL,O,O,O,O
JIZOSLT,X,O,O,X
JIOTLSZ,O,X,O,O
JIOTLZS,O,O,O,O
JIOTSLZ,O,X,O,O
JIOTSZL,O,X,O,O
JIOTZLS,O,O,O,O
JIOTZSL,O,O,O,O
JIOLTSZ,X,X,O,X
JIOLTZS,X,O,O,X
JIOLSTZ,X,X,O,X
JIOLSZT,X,X,O,X
JIOLZTS,X,O,O,X
JIOLZST,X,O,O,X
JIOSTLZ,O,X,O,O
JIOSTZL,O,X,O,O
JIOSLTZ,X,X,O,X
JIOSLZT,X,X,O,X
JIOSZTL,O,X,O,O
JIOSZLT,X,X,O,X
JIOZTLS,O,O,O,O
JIOZTSL,O,O,O,O
JIOZLTS,X,O,O,X
JIOZLST,X,O,O,X
JIOZSTL,O,O,O,O
JIOZSLT,X,O,O,X
JLTISZO,X,X,X,O
JLTISOZ,X,X,X,O
JLTIZSO,X,O,X,O
JLTIZOS,X,O,X,O
JLTIOSZ,X,X,X,O
JLTIOZS,X,O,X,O
JLTSIZO,X,X,X,O
JLTSIOZ,X,X,X,O
JLTSZIO,X,X,X,O
JLTSZOI,X,X,X,O
JLTSOIZ,X,X,X,O
JLTSOZI,X,X,X,O
JLTZISO,X,O,X,O
JLTZIOS,X,O,X,O
JLTZSIO,X,O,X,O
JLTZSOI,X,O,X,O
JLTZOIS,X,O,X,O
JLTZOSI,X,O,X,O
JLTOISZ,X,X,X,O
JLTOIZS,X,O,X,O
JLTOSIZ,X,X,X,O
JLTOSZI,X,X,X,O
JLTOZIS,X,O,X,O
JLTOZSI,X,O,X,O
JLITSZO,X,X,X,O
JLITSOZ,X,X,X,O
JLITZSO,X,O,X,O
JLITZOS,X,O,X,O
JLITOSZ,X,X,X,O
JLITOZS,X,O,X,O
JLISTZO,X,X,X,O
JLISTOZ,X,X,X,O
JLISZTO,X,X,X,O
JLISZOT,X,X,O,X
JLISOTZ,X,X,O,X
JLISOZT,X,X,O,X
JLIZTSO,X,O,X,O
JLIZTOS,X,O,X,O
JLIZSTO,X,O,X,O
JLIZSOT,X,O,O,X
JLIZOTS,X,O,O,X
JLIZOST,X,O,O,X
JLIOTSZ,X,X,O,X
JLIOTZS,X,O,O,X
JLIOSTZ,X,X,O,X
JLIOSZT,X,X,O,X
JLIOZTS,X,O,O,X
JLIOZST,X,O,O,X
JLSTIZO,X,X,X,O
JLSTIOZ,X,X,X,O
JLSTZIO,X,X,X,O
JLSTZOI,X,X,X,O
JLSTOIZ,X,X,X,O
JLSTOZI,X,X,X,O
JLSITZO,X,X,X,O
JLSITOZ,X,X,X,O
JLSIZTO,X,X,X,O
JLSIZOT,X,X,O,X
JLSIOTZ,X,X,O,X
JLSIOZT,X,X,O,X
JLSZTIO,X,X,X,O
JLSZTOI,X,X,X,O
JLSZITO,X,X,X,O
JLSZIOT,X,X,O,X
JLSZOTI,X,X,O,X
JLSZOIT,X,X,O,X
JLSOTIZ,X,X,O,X
JLSOTZI,X,X,O,X
JLSOITZ,X,X,O,X
JLSOIZT,X,X,O,X
JLSOZTI,X,X,O,X
JLSOZIT,X,X,O,X
JLZTISO,X,O,X,O
JLZTIOS,X,O,X,O
JLZTSIO,X,O,X,O
JLZTSOI,X,O,X,O
JLZTOIS,X,O,X,O
JLZTOSI,X,O,X,O
JLZITSO,X,O,X,O
JLZITOS,X,O,X,O
JLZISTO,X,O,X,O
JLZISOT,X,O,O,X
JLZIOTS,X,O,O,X
JLZIOST,X,O,O,X
JLZSTIO,X,O,X,O
JLZSTOI,X,O,X,O
JLZSITO,X,O,X,O
JLZSIOT,X,O,O,X
JLZSOTI,X,O,O,X
JLZSOIT,X,O,O,X
JLZOTIS,X,O,O,X
JLZOTSI,X,O,O,X
JLZOITS,X,O,O,X
JLZOIST,X,O,O,X
JLZOSTI,X,O,O,X
JLZOSIT,X,O,O,X
JLOTISZ,X,X,O,X
JLOTIZS,X,O,O,X
JLOTSIZ,X,X,O,X
JLOTSZI,X,X,O,X
JLOTZIS,X,O,O,X
JLOTZSI,X,O,O,X
JLOITSZ,X,X,O,X
JLOITZS,X,O,O,X
JLOISTZ,X,X,O,X
JLOISZT,X,X,O,X
JLOIZTS,X,O,O,X
JLOIZST,X,O,O,X
JLOSTIZ,X,X,O,X
JLOSTZI,X,X,O,X
JLOSITZ,X,X,O,X
JLOSIZT,X,X,O,X
JLOSZTI,X,X,O,X
JLOSZIT,X,X,O,X
JLOZTIS,X,O,O,X
JLOZTSI,X,O,O,X
JLOZITS,X,O,O,X
JLOZIST,X,O,O,X
JLOZSTI,X,O,O,X
JLOZSIT,X,O,O,X
JSTILZO,O,X,X,O
JSTILOZ,O,X,X,O
JSTIZLO,O,X,X,O
JSTIZOL,O,X,X,O
JSTIOLZ,O,X,X,O
JSTIOZL,O,X,X,O
JSTLIZO,O,X,X,O
JSTLIOZ,O,X,X,O
JSTLZIO,O,X,X,O
JSTLZOI,O,X,X,O
JSTLOIZ,O,X,X,O
JSTLOZI,O,X,X,O
JSTZILO,O,X,X,O
JSTZIOL,O,X,X,O
JSTZLIO,O,X,X,O
JSTZLOI,O,X,X,O
JSTZOIL,O,X,X,O
JSTZOLI,O,X,X,O
JSTOILZ,O,X,X,O
JSTOIZL,O,X,X,O
JSTOLIZ,O,X,X,O
JSTOLZI,O,X,X,O
JSTOZIL,O,X,X,O
JSTOZLI,O,X,X,O
JSITLZO,O,X,X,O
JSITLOZ,O,X,X,O
JSITZLO,O,X,X,O
JSITZOL,O,X,X,O
JSITOLZ,O,X,X,O
JSITOZL,O,X,X,O
JSILTZO,X,X,X,O
JSILTOZ,X,X,X,O
JSILZTO,X,X,X,O
JSILZOT,X,X,O,X
