sequence,v115@EhC8HeB8HeC8EeD8JeT/IvhF/lBamBUiBWsBlpBxvB,v115@EhC8HeB8HeC8EeD8Je0/IvhF6lBThB/nB2pBlrBRvB,v115@EhC8HeB8HeC8EeD8Jex/IvhFihBTkB0lBGnBVvB3rB,v115@EhC8HeB8HeC8EeD8JeT/IvhFmgBqmB/nB0lBlpBxvB,v115@EhC8HeB8HeC8EeD8Jex/IvhFThB/nBmkBqqB0pBlrB,v115@EhC8HeB8HeC8EeD8Jei/IvhFRhBFlBTnB0pBGrBXrB,v115@EhC8HeB8HeC8EeD8JeKEJvhFGgBThB/nBUlBlrBRvB,v115@EhC8HeB8HeC8EeD8JeOEJvhFlgBUiBzkBXmBCsBRvB,v115@EhC8HeB8HeC8EeD8JeOEJvhFqmB/nBRlBzpBUrBlqB,v115@EhC8HeB8HeC8EeD8JeKEJvhFRhBFlB8qBGnB3rBzpB,v115@EhC8HeB8HeC8EeD8JeKEJvhFGhB/nBRlB0qBlrBzpB
ILJZSTO,O,O,X,X,X,X,O,O,X,O,X
ILJZSOT,O,O,X,X,X,X,O,O,X,O,X
ILJZOTS,X,X,X,X,X,X,X,O,X,X,X
ILJZOST,O,O,X,X,X,X,O,O,X,X,X
ILJOTSZ,X,X,X,X,X,X,X,O,X,X,X
ILJOTZS,X,X,X,X,X,X,X,O,X,X,X
ILJOSTZ,O,O,X,X,X,X,X,O,X,X,X
ILJOSZT,O,O,X,X,X,X,X,O,X,O,X
ILJOZTS,X,X,X,X,X,X,X,O,X,X,X
ILJOZST,O,O,X,X,X,X,X,O,X,X,X
ILSTJZO,O,O,X,O,X,X,O,O,X,X,O
ILSTJOZ,O,O,X,O,O,X,O,O,X,X,X
ILSTZJO,O,O,X,O,O,X,O,O,X,X,O
ILSTZOJ,O,O,X,O,O,X,O,O,X,X,O
ILSTOJZ,O,O,X,O,O,X,O,O,X,X,X
ILSTOZJ,O,O,X,O,O,X,O,O,X,X,X
ILSJTZO,O,O,X,O,X,X,O,O,X,O,X
ILSJTOZ,O,O,X,O,O,X,O,O,X,X,X
ILSJZTO,O,O,X,O,X,X,O,O,X,O,X
ILSJZOT,O,O,X,O,X,X,O,O,X,O,X
ILSJOTZ,O,O,X,X,X,X,X,O,X,X,X
ILSJOZT,O,O,X,X,X,X,X,O,X,O,X
ILSZTJO,O,O,X,O,O,X,O,O,X,X,O
ILSZTOJ,O,O,X,O,O,X,O,O,X,X,O
ILSZJTO,O,O,X,O,O,X,O,O,X,X,X
ILSZJOT,O,O,X,O,O,X,O,O,X,X,X
ILSZOTJ,X,X,X,O,O,X,O,O,X,X,X
ILSZOJT,X,X,X,O,X,X,O,O,X,X,X
ILSOTJZ,O,O,X,O,O,X,O,O,X,X,X
ILSOTZJ,O,O,X,O,O,X,O,O,X,X,X
ILSOJTZ,O,O,X,X,X,X,X,O,X,X,X
ILSOJZT,O,O,X,X,X,X,X,O,X,X,X
ILSOZTJ,X,X,X,O,X,X,O,O,X,X,X
ILSOZJT,X,X,X,O,X,X,O,O,X,X,X
ILZTJSO,X,X,X,X,X,X,O,O,X,O,X
ILZTJOS,X,X,X,X,X,X,X,O,X,X,X
ILZTSJO,X,X,X,O,O,X,O,O,X,X,X
ILZTSOJ,X,X,X,O,O,X,O,O,X,X,X
ILZTOJS,X,X,X,X,X,X,X,O,X,X,X
ILZTOSJ,X,X,X,O,X,X,X,O,X,X,X
ILZJTSO,O,O,X,X,O,X,O,O,X,O,X
ILZJTOS,X,X,X,X,X,X,X,O,X,X,X
ILZJSTO,O,O,X,X,O,X,O,O,X,X,X
ILZJSOT,O,O,X,X,O,X,O,O,X,X,X
ILZJOTS,X,X,X,X,X,X,X,O,X,X,X
ILZJOST,O,O,X,X,O,X,O,O,X,X,X
ILZSTJO,O,O,X,O,O,X,O,O,X,X,O
ILZSTOJ,O,O,X,O,O,X,O,O,X,X,O
ILZSJTO,O,O,X,O,O,X,O,O,X,X,X
ILZSJOT,O,O,X,O,O,X,O,O,X,X,X
ILZSOTJ,X,X,X,O,O,X,O,O,X,X,X
ILZSOJT,X,X,X,O,X,X,O,O,X,X,X
ILZOTJS,X,X,X,X,X,X,X,O,X,X,X
ILZOTSJ,X,X,X,X,X,X,X,O,X,X,X
ILZOJTS,X,X,X,X,X,X,X,O,X,X,X
ILZOJST,X,X,X,X,X,X,O,O,X,X,X
ILZOSTJ,X,X,X,X,O,X,O,O,X,X,X
ILZOSJT,X,X,X,X,X,X,O,O,X,X,X
ILOTJSZ,X,X,X,X,X,X,X,O,X,X,X
ILOTJZS,X,X,X,X,X,X,X,O,X,X,X
ILOTSJZ,X,X,X,X,X,X,X,O,X,X,X
ILOTSZJ,X,X,X,X,X,X,X,O,X,X,X
ILOTZJS,X,X,X,X,X,X,X,O,X,X,X
ILOTZSJ,X,X,X,X,X,X,X,O,X,X,X
ILOJTSZ,X,X,X,X,X,X,X,O,X,X,X
ILOJTZS,X,X,X,X,X,X,X,O,X,X,X
ILOJSTZ,O,O,X,X,X,X,X,O,X,X,X
ILOJSZT,O,O,X,X,X,X,X,O,X,X,X
ILOJZTS,X,X,X,X,X,X,X,O,X,X,X
ILOJZST,O,O,X,X,X,X,X,O,X,X,X
ILOSTJZ,O,O,X,X,O,X,O,O,X,X,X
ILOSTZJ,O,O,X,X,O,X,O,O,X,X,X
ILOSJTZ,O,O,X,X,X,X,X,O,X,X,X
ILOSJZT,O,O,X,X,X,X,X,O,X,X,X
ILOSZTJ,X,X,X,X,X,X,O,O,X,X,X
ILOSZJT,X,X,X,X,X,X,O,O,X,X,X
ILOZTJS,X,X,X,X,X,X,X,O,X,X,X
ILOZTSJ,X,X,X,X,X,X,X,O,X,X,X
ILOZJTS,X,X,X,X,X,X,X,O,X,X,X
ILOZJST,X,X,X,X,X,X,O,O,X,X,X
ILOZSTJ,X,X,X,X,X,X,O,O,X,X,X
ILOZSJT,X,X,X,X,X,X,O,O,X,X,X
IJTLSZO,O,O,X,X,X,X,X,O,X,O,X
IJTLSOZ,O,O,X,X,X,X,X,O,X,X,X
IJTLZSO,O,O,X,X,X,X,X,O,X,X,X
IJTLZOS,O,X,X,X,X,X,X,O,X,X,X
IJTLOSZ,O,X,O,X,X,X,X,O,X,X,X
IJTLOZS,O,X,O,X,X,X,X,O,X,X,X
IJTSLZO,O,O,X,O,X,X,X,O,X,O,X
IJTSLOZ,O,O,O,O,X,X,X,X,X,X,X
IJTSZLO,O,O,O,O,X,X,X,O,X,O,X
IJTSZOL,O,O,O,O,X,X,X,O,X,X,X
IJTSOLZ,O,O,O,O,X,X,X,X,X,X,X
IJTSOZL,O,O,O,O,X,X,X,O,X,X,X
IJTZLSO,O,O,O,X,X,X,X,X,X,X,X
IJTZLOS,O,X,O,X,X,X,X,X,X,X,X
IJTZSLO,O,O,O,O,X,X,X,X,X,X,X
IJTZSOL,O,O,X,O,X,X,X,X,X,X,X
IJTZOLS,O,X,O,X,X,X,X,X,X,X,X
IJTZOSL,O,X,O,O,X,X,X,X,X,X,X
IJTOLSZ,O,X,O,X,X,X,X,O,X,X,X
IJTOLZS,O,X,O,X,X,X,X,O,X,X,X
IJTOSLZ,O,X,O,O,X,X,X,O,X,X,X
IJTOSZL,O,X,O,O,X,X,X,O,X,X,X
IJTOZLS,O,X,O,X,X,X,X,O,X,X,X
IJTOZSL,O,X,O,O,X,X,X,O,X,X,X
IJLTSZO,O,O,X,X,X,X,X,O,X,O,X
IJLTSOZ,O,O,X,X,X,X,X,O,X,X,X
IJLTZSO,O,O,X,X,X,X,X,O,X,X,X
IJLTZOS,O,X,X,X,X,X,X,O,X,X,X
IJLTOSZ,O,X,O,X,X,X,X,O,X,X,X
IJLTOZS,O,X,O,X,X,X,X,O,X,X,X
IJLSTZO,O,O,X,X,X,X,O,O,X,O,X
IJLSTOZ,O,O,O,X,X,X,O,O,X,X,X
IJLSZTO,O,O,X,X,X,X,O,O,X,O,X
IJLSZOT,O,O,X,X,X,X,O,O,X,O,X
IJLSOTZ,O,O,X,X,X,X,X,O,X,X,X
IJLSOZT,O,O,X,X,X,X,X,O,X,O,X
IJLZTSO,O,O,X,X,X,X,O,O,X,O,X
IJLZTOS,O,X,X,X,X,X,X,O,X,X,X
IJLZSTO,O,O,X,X,X,X,O,O,X,O,X
IJLZSOT,O,O,X,X,X,X,O,O,X,O,X
IJLZOTS,X,X,X,X,X,X,X,O,X,X,X
IJLZOST,O,O,X,X,X,X,O,O,X,X,X
IJLOTSZ,X,X,O,X,X,X,X,O,X,X,X
IJLOTZS,X,X,O,X,X,X,X,O,X,X,X
IJLOSTZ,O,O,O,X,X,X,X,O,X,X,X
IJLOSZT,O,O,X,X,X,X,X,O,X,O,X
IJLOZTS,X,X,O,X,X,X,X,O,X,X,X
IJLOZST,O,O,X,X,X,X,X,O,X,X,X
IJSTLZO,O,O,X,O,X,X,O,O,X,O,X
IJSTLOZ,O,O,O,O,X,X,O,X,X,X,X
IJSTZLO,O,O,O,O,X,X,X,O,X,O,X
IJSTZOL,O,O,O,O,X,X,X,O,X,X,X
IJSTOLZ,O,O,O,O,X,X,O,O,X,X,X
IJSTOZL,O,O,O,O,X,X,X,O,X,X,X
IJSLTZO,O,O,X,O,X,X,O,O,X,O,X
IJSLTOZ,O,O,O,O,X,X,O,O,X,X,X
IJSLZTO,O,O,X,O,X,X,O,O,X,O,X
IJSLZOT,O,O,X,O,X,X,O,O,X,O,X
IJSLOTZ,O,O,X,X,X,X,X,O,O,X,X
IJSLOZT,O,O,X,X,X,X,X,O,O,O,X
IJSZTLO,O,O,X,O,X,X,X,O,X,O,X
IJSZTOL,O,O,X,O,X,X,X,O,X,X,X
IJSZLTO,O,O,X,O,X,X,X,O,X,O,X
IJSZLOT,O,O,X,O,X,X,X,X,X,O,X
IJSZOTL,O,O,X,X,X,X,X,O,X,X,X
IJSZOLT,O,O,X,X,X,X,X,O,X,O,X
IJSOTLZ,O,O,X,X,X,X,X,O,O,X,X
IJSOTZL,O,O,X,X,X,X,X,O,X,X,X
IJSOLTZ,O,O,X,X,X,X,X,O,O,X,X
IJSOLZT,O,O,X,X,X,X,X,O,O,O,X
IJSOZTL,O,O,X,X,X,X,X,O,O,X,X
IJSOZLT,O,O,X,X,X,X,X,O,O,O,X
IJZTLSO,O,O,X,X,X,O,X,X,X,X,X
IJZTLOS,O,X,X,X,X,O,X,X,X,X,X
IJZTSLO,O,O,X,O,X,O,X,X,X,X,X
IJZTSOL,O,O,X,O,X,X,X,X,X,X,X
IJZTOLS,O,X,X,X,X,O,X,X,X,X,X
IJZTOSL,O,X,X,O,X,X,X,X,X,X,X
IJZLTSO,O,O,X,X,X,X,X,O,X,O,X
IJZLTOS,O,X,X,X,X,X,X,O,X,X,X
IJZLSTO,O,O,X,X,X,X,X,O,X,O,X
IJZLSOT,O,O,X,X,X,X,X,O,X,O,X
IJZLOTS,X,X,X,X,X,X,X,O,X,X,X
IJZLOST,O,O,X,X,X,X,X,O,X,X,X
IJZSTLO,O,O,X,O,X,X,X,O,X,O,X
IJZSTOL,O,O,X,O,X,X,X,O,X,X,X
IJZSLTO,O,O,X,O,X,X,X,O,X,O,X
IJZSLOT,O,O,X,O,X,X,X,X,X,O,X
IJZSOTL,O,O,X,X,X,X,X,O,X,X,X
IJZSOLT,O,O,X,X,X,X,X,X,X,O,X
IJZOTLS,O,X,X,X,X,X,X,O,X,X,X
IJZOTSL,O,X,X,X,X,X,X,O,X,X,X
IJZOLTS,X,X,X,X,X,X,X,O,X,X,X
IJZOLST,O,O,X,X,X,X,X,O,X,X,X
IJZOSTL,O,O,X,X,X,X,X,O,X,X,X
IJZOSLT,O,O,X,X,X,X,X,O,X,X,X
IJOTLSZ,O,X,O,X,X,X,X,O,X,X,X
IJOTLZS,O,X,O,X,X,X,X,O,X,X,X
IJOTSLZ,O,X,O,X,X,X,X,O,O,X,X
IJOTSZL,O,X,O,X,X,X,X,O,X,X,X
IJOTZLS,O,X,O,X,X,X,X,O,X,X,X
IJOTZSL,O,X,O,X,X,X,X,O,O,X,X
IJOLTSZ,X,X,O,X,X,X,X,O,X,X,X
IJOLTZS,X,X,O,X,X,X,X,O,X,X,X
IJOLSTZ,O,O,O,X,X,X,X,O,O,X,X
IJOLSZT,O,O,X,X,X,X,X,O,O,O,X
IJOLZTS,X,X,O,X,X,X,X,O,X,X,X
IJOLZST,O,O,X,X,X,X,X,O,O,X,X
IJOSTLZ,O,O,X,X,X,X,X,O,O,X,X
IJOSTZL,O,O,X,X,X,X,X,O,X,X,X
IJOSLTZ,O,O,O,X,X,X,X,O,O,X,X
IJOSLZT,O,O,X,X,X,X,X,O,O,O,X
IJOSZTL,O,O,X,X,X,X,X,O,O,X,X
IJOSZLT,O,O,X,X,X,X,X,O,O,O,X
IJOZTLS,O,X,X,X,X,X,X,O,X,X,X
IJOZTSL,O,X,X,X,X,X,X,O,O,X,X
IJOZLTS,X,X,O,X,X,X,X,O,X,X,X
IJOZLST,O,O,X,X,X,X,X,O,O,X,X
IJOZSTL,O,O,X,X,X,X,X,O,O,X,X
IJOZSLT,O,O,X,X,X,X,X,O,O,X,X
ISTLJZO,O,O,X,O,X,X,O,O,X,X,O
ISTLJOZ,O,O,X,O,O,X,O,X,X,X,X
ISTLZJO,O,O,X,O,O,X,O,O,X,X,O
ISTLZOJ,O,O,X,O,O,X,O,O,X,X,O
ISTLOJZ,O,O,X,O,O,X,O,O,X,X,X
ISTLOZJ,O,O,X,O,O,X,O,O,X,X,X
ISTJLZO,O,O,X,O,X,X,O,O,X,X,O
ISTJLOZ,O,O,O,O,X,X,O,X,X,X,X
ISTJZLO,O,O,O,O,X,X,X,O,X,X,O
ISTJZOL,O,O,O,O,X,X,X,O,X,X,X
ISTJOLZ,O,O,O,O,X,X,O,O,X,X,X
ISTJOZL,O,O,O,O,X,X,X,O,X,X,X
ISTZLJO,O,O,O,O,O,X,O,O,X,X,O
ISTZLOJ,O,O,O,O,O,X,O,O,X,X,O
ISTZJLO,O,O,O,O,X,X,X,O,X,X,O
ISTZJOL,O,O,O,O,X,X,X,O,X,X,X
ISTZOLJ,O,O,O,O,O,X,O,O,X,X,X
ISTZOJL,O,O,O,O,X,X,X,O,X,X,X
ISTOLJZ,O,O,O,O,O,X,O,O,X,X,X
ISTOLZJ,O,O,O,O,O,X,O,O,X,X,X
ISTOJLZ,O,O,O,O,X,X,O,O,X,X,X
ISTOJZL,O,O,O,O,X,X,X,O,X,X,X
ISTOZLJ,O,O,O,O,O,X,O,O,X,X,X
ISTOZJL,O,O,O,O,X,X,X,O,X,X,X
ISLTJZO,O,O,X,O,X,X,O,O,X,X,O
ISLTJOZ,O,O,X,O,O,X,O,O,X,X,X
ISLTZJO,O,O,X,O,O,X,O,O,X,X,O
ISLTZOJ,O,O,X,O,O,X,O,O,X,X,O
ISLTOJZ,O,O,X,O,O,X,O,O,X,X,X
ISLTOZJ,O,O,X,O,O,X,O,O,X,X,X
ISLJTZO,O,O,X,O,X,X,O,O,X,O,X
ISLJTOZ,O,O,X,O,O,X,O,O,X,X,X
ISLJZTO,O,O,X,O,X,X,O,O,X,O,X
ISLJZOT,O,O,X,O,X,X,O,O,X,O,X
ISLJOTZ,O,O,X,X,X,X,X,O,O,X,X
ISLJOZT,O,O,X,X,X,X,X,O,O,O,X
ISLZTJO,O,O,X,O,O,X,O,O,X,X,O
ISLZTOJ,O,O,X,O,O,X,O,O,X,X,O
ISLZJTO,O,O,X,O,O,X,O,O,X,X,X
ISLZJOT,O,O,X,O,O,X,O,O,X,X,X
ISLZOTJ,X,X,X,O,O,X,O,O,O,X,X
ISLZOJT,X,X,X,O,X,X,O,O,O,X,X
ISLOTJZ,O,O,X,O,O,X,O,O,O,X,X
ISLOTZJ,O,O,X,O,O,X,O,O,X,X,X
ISLOJTZ,O,O,X,X,X,X,X,O,O,X,X
ISLOJZT,O,O,X,X,X,X,X,O,O,X,X
ISLOZTJ,X,X,X,O,X,X,O,O,O,X,X
ISLOZJT,X,X,X,O,X,X,O,O,O,X,X
ISJTLZO,O,O,X,O,X,X,O,O,X,O,X
ISJTLOZ,O,O,O,O,X,X,O,X,X,X,X
ISJTZLO,O,O,O,O,X,X,X,O,X,O,X
ISJTZOL,O,O,O,O,X,X,X,O,X,X,X
ISJTOLZ,O,O,O,O,X,X,O,O,X,X,X
ISJTOZL,O,O,O,O,X,X,X,O,X,X,X
ISJLTZO,O,O,X,O,X,X,O,O,X,O,X
ISJLTOZ,O,O,O,O,X,X,O,O,X,X,X
ISJLZTO,O,O,X,O,X,X,O,O,X,O,X
ISJLZOT,O,O,X,O,X,X,O,O,X,O,X
ISJLOTZ,O,O,X,X,X,X,X,O,O,X,X
ISJLOZT,O,O,X,X,X,X,X,O,O,O,X
ISJZTLO,O,O,X,O,X,X,X,O,X,O,X
ISJZTOL,O,O,X,O,X,X,X,O,X,X,X
ISJZLTO,O,O,X,O,X,X,X,O,X,O,X
ISJZLOT,O,O,X,O,X,X,X,X,X,O,X
ISJZOTL,O,O,X,X,X,X,X,O,X,X,X
ISJZOLT,O,O,X,X,X,X,X,O,X,O,X
ISJOTLZ,O,O,X,X,X,X,X,O,O,X,X
ISJOTZL,O,O,X,X,X,X,X,O,X,X,X
ISJOLTZ,O,O,X,X,X,X,X,O,O,X,X
ISJOLZT,O,O,X,X,X,X,X,O,O,O,X
ISJOZTL,O,O,X,X,X,X,X,O,O,X,X
ISJOZLT,O,O,X,X,X,X,X,O,O,O,X
ISZTLJO,O,O,X,O,O,X,O,O,X,X,O
ISZTLOJ,O,O,X,O,O,X,O,O,X,X,O
ISZTJLO,O,O,X,O,X,X,X,O,X,X,O
ISZTJOL,O,O,X,O,X,X,X,O,X,X,X
ISZTOLJ,O,O,X,O,O,X,O,O,X,X,X
ISZTOJL,O,O,X,O,X,X,X,O,X,X,X
ISZLTJO,O,O,X,O,O,X,O,O,X,X,O
ISZLTOJ,O,O,X,O,O,X,O,O,X,X,O
ISZLJTO,O,O,X,O,O,X,O,O,X,X,X
ISZLJOT,O,O,X,O,O,X,O,X,X,X,X
ISZLOTJ,X,X,X,O,O,X,O,O,O,X,X
ISZLOJT,X,X,X,O,X,X,O,O,O,X,X
ISZJTLO,O,O,X,O,O,X,X,O,X,X,X
ISZJTOL,O,O,X,O,X,X,X,O,X,X,X
ISZJLTO,O,O,X,O,O,X,X,O,X,X,X
ISZJLOT,O,O,X,O,O,X,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,X,O,X,X,X
ISZJOLT,O,O,X,X,O,X,X,O,X,X,X
ISZOTLJ,X,X,X,O,X,X,X,O,O,X,X
ISZOTJL,X,X,X,O,X,X,X,O,O,X,X
ISZOLTJ,X,X,X,O,X,X,X,O,O,X,X
ISZOLJT,X,X,X,O,X,X,X,O,O,X,X
ISZOJTL,X,X,X,X,X,X,X,O,O,X,X
ISZOJLT,X,X,X,X,X,X,X,O,O,X,X
ISOTLJZ,O,O,X,O,X,X,O,O,O,X,X
ISOTLZJ,O,O,X,O,X,X,O,O,X,X,X
ISOTJLZ,O,O,X,O,X,X,O,O,O,X,X
ISOTJZL,O,O,X,O,X,X,X,O,X,X,X
ISOTZLJ,O,O,X,O,X,X,O,O,X,X,X
ISOTZJL,O,O,X,O,X,X,X,O,X,X,X
ISOLTJZ,O,O,X,O,X,X,O,O,O,X,X
ISOLTZJ,O,O,X,O,X,X,O,O,X,X,X
ISOLJTZ,O,O,X,X,X,X,X,O,O,X,X
ISOLJZT,O,O,X,X,X,X,X,O,O,X,X
ISOLZTJ,X,X,X,O,X,X,O,O,O,X,X
ISOLZJT,X,X,X,O,X,X,O,O,O,X,X
ISOJTLZ,O,O,X,X,X,X,X,O,O,X,X
ISOJTZL,O,O,X,X,X,X,X,O,X,X,X
ISOJLTZ,O,O,X,X,X,X,X,O,O,X,X
ISOJLZT,O,O,X,X,X,X,X,O,O,X,X
ISOJZTL,O,O,X,X,X,X,X,O,O,X,X
ISOJZLT,O,O,X,X,X,X,X,O,O,X,X
ISOZTLJ,X,X,X,O,X,X,X,O,O,X,X
ISOZTJL,X,X,X,O,X,X,X,O,O,X,X
ISOZLTJ,X,X,X,O,X,X,X,O,O,X,X
ISOZLJT,X,X,X,O,X,X,X,O,O,X,X
ISOZJTL,X,X,X,X,X,X,X,O,O,X,X
ISOZJLT,X,X,X,X,X,X,X,O,O,X,X
IZTLJSO,X,X,X,X,X,O,X,X,X,X,X
IZTLJOS,X,X,X,X,X,O,X,X,X,X,X
IZTLSJO,X,X,X,O,X,O,X,X,X,X,X
IZTLSOJ,X,X,X,O,X,O,X,X,X,X,X
IZTLOJS,X,X,X,X,X,O,X,X,X,X,X
IZTLOSJ,X,X,X,O,X,O,X,X,X,X,X
IZTJLSO,O,X,X,X,X,O,X,X,X,X,X
IZTJLOS,O,X,X,X,X,O,X,X,X,X,X
IZTJSLO,O,X,X,O,X,O,X,X,X,X,X
IZTJSOL,O,X,X,O,X,X,X,X,X,X,X
IZTJOLS,O,X,X,X,X,O,X,X,X,X,X
IZTJOSL,O,X,X,O,X,X,X,X,X,X,X
IZTSLJO,O,X,X,O,X,O,X,X,X,X,X
IZTSLOJ,O,X,X,O,X,O,X,X,X,X,X
IZTSJLO,O,X,X,O,X,X,X,X,X,X,X
IZTSJOL,O,X,X,O,X,X,X,X,X,X,X
IZTSOLJ,O,X,X,O,X,X,X,X,X,X,X
IZTSOJL,O,X,X,O,X,X,X,X,X,X,X
IZTOLJS,X,X,X,X,X,O,X,X,X,X,X
IZTOLSJ,X,X,X,O,X,O,X,X,X,X,X
IZTOJLS,O,X,X,X,X,O,X,X,X,X,X
IZTOJSL,O,X,X,O,X,O,X,X,X,X,X
IZTOSLJ,O,X,X,O,X,O,X,X,X,X,X
IZTOSJL,O,X,X,O,X,X,X,X,X,X,X
IZLTJSO,X,X,X,X,X,O,O,O,X,O,X
IZLTJOS,X,X,X,X,X,O,X,O,X,X,X
IZLTSJO,X,X,X,O,O,O,O,O,X,X,X
IZLTSOJ,X,X,X,O,O,O,O,O,X,X,X
IZLTOJS,X,X,X,X,X,O,X,O,X,X,X
IZLTOSJ,X,X,X,O,X,O,X,O,X,X,X
IZLJTSO,O,O,X,X,O,X,O,O,X,O,X
IZLJTOS,X,X,X,X,X,X,X,O,X,X,X
IZLJSTO,O,O,X,X,O,X,O,O,X,X,X
IZLJSOT,O,O,X,X,O,X,O,O,X,X,X
IZLJOTS,X,X,X,X,X,X,X,O,X,X,X
IZLJOST,O,O,X,X,O,X,O,O,X,X,X
IZLSTJO,O,O,X,O,O,X,O,O,X,X,O
IZLSTOJ,O,O,X,O,O,X,O,O,X,X,O
IZLSJTO,O,O,X,O,O,X,O,O,X,X,X
IZLSJOT,O,O,X,O,O,X,O,O,X,X,X
IZLSOTJ,X,X,X,O,O,X,O,O,X,X,X
IZLSOJT,X,X,X,O,X,X,O,O,X,X,X
IZLOTJS,X,X,X,X,X,O,X,O,X,X,X
IZLOTSJ,X,X,X,X,X,O,X,O,X,X,X
IZLOJTS,X,X,X,X,X,O,X,O,X,X,X
IZLOJST,X,X,X,X,X,O,O,O,X,X,X
IZLOSTJ,X,X,X,X,O,O,O,O,X,X,X
IZLOSJT,X,X,X,X,X,O,O,O,X,X,X
IZJTLSO,O,O,X,X,O,O,X,X,X,X,X
IZJTLOS,O,X,X,X,X,O,X,X,X,X,X
IZJTSLO,O,O,X,O,O,O,X,X,X,X,X
IZJTSOL,O,O,X,O,X,X,X,X,X,X,X
IZJTOLS,O,X,X,X,X,O,X,X,X,X,X
IZJTOSL,O,X,X,O,X,X,X,X,X,X,X
IZJLTSO,O,O,X,X,O,X,X,O,X,O,X
IZJLTOS,O,X,X,X,X,X,X,O,X,X,X
IZJLSTO,O,O,X,X,O,X,X,O,X,X,X
IZJLSOT,O,O,X,X,O,X,X,O,X,X,X
IZJLOTS,X,X,X,X,X,X,X,O,X,X,X
IZJLOST,O,O,X,X,O,X,X,O,X,X,X
IZJSTLO,O,O,X,O,O,X,X,O,X,X,X
IZJSTOL,O,O,X,O,X,X,X,O,X,X,X
IZJSLTO,O,O,X,O,O,X,X,O,X,X,X
IZJSLOT,O,O,X,O,O,X,X,X,X,X,X
IZJSOTL,O,O,X,X,X,X,X,O,X,X,X
IZJSOLT,O,O,X,X,O,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,X,O,X,X,X
IZJOTSL,O,X,X,X,X,X,X,O,X,X,X
IZJOLTS,X,X,X,X,X,X,X,O,X,X,X
IZJOLST,O,O,X,X,O,X,X,O,X,X,X
IZJOSTL,O,O,X,X,X,X,X,O,X,X,X
IZJOSLT,O,O,X,X,O,X,X,O,X,X,X
IZSTLJO,O,O,X,O,O,X,O,O,X,X,O
IZSTLOJ,O,O,X,O,O,X,O,O,X,X,O
IZSTJLO,O,O,X,O,X,X,X,O,X,X,O
IZSTJOL,O,O,X,O,X,X,X,O,X,X,X
IZSTOLJ,O,O,X,O,O,X,O,O,X,X,X
IZSTOJL,O,O,X,O,X,X,X,O,X,X,X
IZSLTJO,O,O,X,O,O,X,O,O,X,X,O
IZSLTOJ,O,O,X,O,O,X,O,O,X,X,O
IZSLJTO,O,O,X,O,O,X,O,O,X,X,X
IZSLJOT,O,O,X,O,O,X,O,X,X,X,X
IZSLOTJ,X,X,X,O,O,X,O,O,O,X,X
IZSLOJT,X,X,X,O,X,X,O,O,O,X,X
IZSJTLO,O,O,X,O,O,X,X,O,X,X,X
IZSJTOL,O,O,X,O,X,X,X,O,X,X,X
IZSJLTO,O,O,X,O,O,X,X,O,X,X,X
IZSJLOT,O,O,X,O,O,X,X,X,X,X,X
IZSJOTL,O,O,X,X,X,X,X,O,X,X,X
IZSJOLT,O,O,X,X,O,X,X,O,X,X,X
IZSOTLJ,X,X,X,O,X,X,X,O,O,X,X
IZSOTJL,X,X,X,O,X,X,X,O,O,X,X
IZSOLTJ,X,X,X,O,X,X,X,O,O,X,X
IZSOLJT,X,X,X,O,X,X,X,O,O,X,X
IZSOJTL,X,X,X,X,X,X,X,O,O,X,X
IZSOJLT,X,X,X,X,X,X,X,O,O,X,X
IZOTLJS,X,X,X,X,X,O,X,O,X,X,X
IZOTLSJ,X,X,X,O,X,O,X,O,X,X,X
IZOTJLS,X,X,X,X,X,O,X,O,X,X,X
IZOTJSL,X,X,X,O,X,O,X,O,O,X,X
IZOTSLJ,X,X,X,O,X,O,X,O,O,X,X
IZOTSJL,X,X,X,O,X,X,X,O,O,X,X
IZOLTJS,X,X,X,X,X,O,X,O,X,X,X
IZOLTSJ,X,X,X,X,X,O,X,O,X,X,X
IZOLJTS,X,X,X,X,X,O,X,O,X,X,X
IZOLJST,X,X,X,X,X,O,X,O,O,X,X
IZOLSTJ,X,X,X,X,X,O,X,O,O,X,X
IZOLSJT,X,X,X,X,X,O,X,O,O,X,X
IZOJTLS,X,X,X,X,X,O,X,O,X,X,X
IZOJTSL,X,X,X,X,X,O,X,O,O,X,X
IZOJLTS,X,X,X,X,X,O,X,O,X,X,X
IZOJLST,X,X,X,X,X,O,X,O,O,X,X
IZOJSTL,X,X,X,X,X,O,X,O,O,X,X
IZOJSLT,X,X,X,X,X,O,X,O,O,X,X
IZOSTLJ,X,X,X,O,X,O,X,O,O,X,X
IZOSTJL,X,X,X,O,X,X,X,O,O,X,X
IZOSLTJ,X,X,X,O,X,O,X,O,O,X,X
IZOSLJT,X,X,X,O,X,O,X,O,O,X,X
IZOSJTL,X,X,X,X,X,O,X,O,O,X,X
IZOSJLT,X,X,X,X,X,O,X,O,O,X,X
IOTLJSZ,O,X,O,X,X,X,X,O,X,X,X
IOTLJZS,O,X,O,X,X,X,X,O,X,X,X
IOTLSJZ,O,X,O,O,X,X,X,O,X,X,X
IOTLSZJ,O,X,O,O,X,X,X,O,X,X,X
