sequence,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hB5oB3lBz?nBinBWxB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhF3iB5oBilB8?sBGlBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhFziB5oBilB8?rBGlB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhFTiBeoB5oB3?lBUsB6rB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rB+?sB6tBFtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeaFJvhFulB1mB5oBz?nB8rB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hBxiB3lBz?rBCtBGtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeUAJvhFxmB6tB3lBF?oBGsBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhFTlBlmBUoBX?sB6tBGsB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rBV?tB+sB6tB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF1mBSoBTlB8?rBGtB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8Ke3AJvhFxmB6tBUlBF?oBGsBzrB
ITZOLJS,X,O,X,X,X,O,X,X,X,O,X,X
ITZOLSJ,X,O,O,X,X,X,X,X,X,O,X,X
ITZOJLS,X,O,X,X,X,O,X,X,X,O,X,X
ITZOJSL,X,O,X,X,X,X,X,X,X,O,X,X
ITZOSLJ,X,O,O,X,X,X,X,X,X,O,X,X
ITZOSJL,X,O,O,X,X,X,X,X,X,O,X,X
ITOLJSZ,X,X,X,X,X,O,X,X,X,X,O,X
ITOLJZS,X,O,X,X,X,O,X,X,X,X,O,X
ITOLSJZ,X,X,X,X,X,O,X,X,X,X,X,X
ITOLSZJ,X,O,X,X,X,X,X,X,O,X,X,X
ITOLZJS,X,O,X,X,X,O,O,X,X,O,X,X
ITOLZSJ,X,O,X,X,X,X,O,X,X,O,X,X
ITOJLSZ,X,X,X,X,X,O,X,X,X,X,O,X
ITOJLZS,X,O,X,X,X,O,X,X,X,X,O,X
ITOJSLZ,O,X,X,X,X,O,X,X,X,X,O,X
ITOJSZL,O,X,X,X,X,X,X,X,O,X,X,X
ITOJZLS,X,O,X,X,X,O,X,X,X,O,O,X
ITOJZSL,O,O,X,X,X,X,X,X,X,O,X,X
ITOSLJZ,O,X,X,X,X,O,X,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,X,X,X,O,X,X,X
ITOSJLZ,O,X,X,X,X,O,X,X,X,X,O,X
ITOSJZL,O,X,X,X,X,X,X,X,O,X,X,X
ITOSZLJ,O,O,X,X,X,X,X,X,O,O,X,X
ITOSZJL,O,O,X,X,X,X,X,X,O,O,X,X
ITOZLJS,X,O,X,X,X,O,O,X,X,O,X,X
ITOZLSJ,X,O,X,X,X,X,O,X,X,O,X,X
ITOZJLS,X,O,X,X,X,O,O,X,X,O,O,X
ITOZJSL,X,O,X,X,X,X,O,X,X,O,X,X
ITOZSLJ,X,O,X,X,X,X,O,X,O,O,X,X
ITOZSJL,X,O,X,X,X,X,O,X,O,O,X,X
ILTJSZO,X,X,X,X,X,X,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,X,O,X,X,X,X,X,X
ILTJZSO,X,O,O,X,X,X,X,X,X,X,X,X
ILTJZOS,X,X,X,X,X,O,X,X,X,X,X,X
ILTJOSZ,X,X,X,X,X,O,X,X,X,X,X,X
ILTJOZS,X,O,X,X,X,O,X,X,X,X,X,X
ILTSJZO,X,X,X,X,X,X,X,X,X,X,X,O
ILTSJOZ,X,X,X,X,X,O,X,X,X,X,X,O
ILTSZJO,X,O,O,X,X,X,X,X,X,X,X,O
ILTSZOJ,X,O,O,X,X,X,X,X,X,X,X,O
ILTSOJZ,X,X,X,X,X,O,X,X,X,X,X,O
ILTSOZJ,X,O,O,X,X,X,X,X,X,X,X,O
ILTZJSO,X,O,O,X,X,X,X,O,X,X,X,X
ILTZJOS,X,X,X,X,X,O,X,O,X,X,X,X
ILTZSJO,X,O,O,X,X,X,X,O,X,X,X,X
ILTZSOJ,X,O,O,X,X,X,X,O,X,X,X,X
ILTZOJS,X,O,X,X,X,O,X,O,X,X,X,X
ILTZOSJ,X,O,O,X,X,X,X,O,X,X,X,X
ILTOJSZ,X,X,X,X,X,O,X,X,X,X,X,X
ILTOJZS,X,O,X,X,X,O,X,X,X,X,X,X
ILTOSJZ,X,X,X,X,X,O,X,X,X,X,X,X
ILTOSZJ,X,O,X,X,X,X,X,X,X,X,X,X
ILTOZJS,X,O,X,X,X,O,O,X,X,X,X,X
ILTOZSJ,X,O,O,X,X,X,O,X,X,X,X,X
ILJTSZO,X,X,X,X,X,X,X,X,X,X,X,O
ILJTSOZ,X,X,X,X,X,O,X,X,X,X,X,O
ILJTZSO,X,O,O,X,X,X,X,O,X,X,X,X
ILJTZOS,X,X,X,X,X,O,X,O,X,X,X,X
ILJTOSZ,X,X,X,X,X,O,X,X,X,X,X,X
ILJTOZS,X,O,X,X,X,O,X,X,X,X,X,X
ILJSTZO,O,X,X,O,X,X,X,X,X,X,X,O
ILJSTOZ,O,X,X,X,X,O,X,X,X,X,X,O
ILJSZTO,O,X,O,O,X,X,X,O,X,X,X,O
ILJSZOT,O,X,O,O,X,X,X,O,X,X,X,O
ILJSOTZ,O,X,X,X,X,O,X,X,X,X,X,O
ILJSOZT,O,X,O,X,X,X,X,X,X,X,X,O
ILJZTSO,X,O,O,X,X,X,X,O,X,X,X,X
ILJZTOS,X,X,X,X,X,O,X,O,X,X,X,X
ILJZSTO,O,O,O,O,X,X,X,O,X,X,X,O
ILJZSOT,O,X,O,O,O,X,X,O,X,X,X,O
ILJZOTS,X,O,X,X,O,O,X,O,X,X,X,X
ILJZOST,O,O,X,O,O,X,X,O,X,X,X,X
ILJOTSZ,X,X,X,X,X,O,X,X,X,X,X,X
ILJOTZS,X,O,X,X,O,O,X,X,X,X,X,X
ILJOSTZ,O,X,X,X,X,O,X,X,X,X,X,O
ILJOSZT,O,X,X,X,O,X,X,X,X,X,X,O
ILJOZTS,X,O,X,X,O,O,X,O,X,X,X,X
ILJOZST,O,O,X,X,O,X,X,O,X,X,X,X
ILSTJZO,O,X,X,O,X,X,X,X,X,X,X,O
ILSTJOZ,O,X,X,X,X,O,X,X,X,X,X,O
ILSTZJO,O,O,O,O,X,X,X,X,X,X,X,O
ILSTZOJ,O,O,O,X,X,X,X,X,X,X,X,O
ILSTOJZ,O,X,X,X,X,O,O,X,X,X,X,O
ILSTOZJ,O,O,O,X,X,X,O,X,X,X,X,O
ILSJTZO,O,X,X,O,X,X,X,X,X,X,X,O
ILSJTOZ,O,X,X,X,X,O,X,X,X,X,X,O
ILSJZTO,O,X,O,O,X,X,X,X,X,X,X,O
ILSJZOT,O,X,O,O,X,X,X,X,X,X,X,O
ILSJOTZ,O,X,X,X,X,O,X,X,X,X,X,O
ILSJOZT,O,X,O,X,X,X,X,X,X,X,X,O
ILSZTJO,O,O,O,O,X,X,X,O,X,X,X,O
ILSZTOJ,O,O,O,X,X,X,X,O,X,X,X,O
ILSZJTO,O,O,O,O,X,X,X,O,X,X,X,O
ILSZJOT,O,X,O,O,X,X,X,O,X,X,X,O
ILSZOTJ,O,O,O,X,X,X,X,O,X,X,X,O
ILSZOJT,X,O,O,X,X,X,X,O,X,X,X,O
ILSOTJZ,O,X,X,X,X,O,O,X,X,X,X,O
ILSOTZJ,O,O,O,X,X,X,O,X,X,X,X,O
ILSOJTZ,O,X,X,X,X,O,O,X,X,X,X,O
ILSOJZT,O,X,O,X,X,X,O,X,X,X,X,O
ILSOZTJ,O,O,O,X,X,X,O,X,X,X,X,O
ILSOZJT,X,O,O,X,X,X,O,X,X,X,X,O
ILZTJSO,X,O,O,X,X,X,X,O,X,X,X,X
ILZTJOS,X,X,X,X,X,O,X,O,X,X,X,X
ILZTSJO,X,O,O,X,X,X,X,O,X,X,X,X
ILZTSOJ,X,O,O,X,X,X,X,O,X,X,X,X
ILZTOJS,X,O,X,X,X,O,X,O,X,X,X,X
ILZTOSJ,X,O,O,X,X,X,X,O,X,X,X,X
ILZJTSO,X,O,O,X,X,X,X,O,X,X,X,X
ILZJTOS,X,X,X,X,X,O,X,O,X,X,X,X
ILZJSTO,X,O,O,O,X,X,X,O,X,X,X,X
ILZJSOT,X,X,O,O,X,X,X,O,X,X,X,X
ILZJOTS,X,O,X,X,X,O,X,O,X,X,X,X
ILZJOST,X,O,X,O,X,X,X,O,X,X,X,X
ILZSTJO,X,O,O,O,X,X,X,O,X,X,X,O
ILZSTOJ,X,O,O,X,X,X,X,O,X,X,X,O
ILZSJTO,X,O,O,O,X,X,X,O,X,X,X,O
ILZSJOT,X,X,O,O,X,X,X,O,X,X,X,O
ILZSOTJ,X,O,O,X,X,X,X,O,X,X,X,O
ILZSOJT,X,O,O,X,X,X,X,O,X,X,X,O
ILZOTJS,X,O,X,X,X,O,X,O,X,X,X,X
ILZOTSJ,X,O,O,X,X,X,X,O,X,X,X,X
ILZOJTS,X,O,X,X,X,O,X,O,X,X,X,X
ILZOJST,X,O,X,X,X,X,X,O,X,X,X,X
ILZOSTJ,X,O,O,X,X,X,X,O,X,X,X,X
ILZOSJT,X,O,O,X,X,X,X,O,X,X,X,X
ILOTJSZ,X,X,X,X,X,O,X,X,X,X,X,X
ILOTJZS,X,O,X,X,O,O,X,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,O,X,X,X,X,X,X
ILOTSZJ,X,O,X,X,X,X,X,X,X,X,X,X
ILOTZJS,X,O,X,X,X,O,O,X,X,X,X,X
ILOTZSJ,X,O,O,X,X,X,O,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,O,X,X,X,X,X,X
ILOJTZS,X,O,X,X,O,O,X,X,X,X,X,X
ILOJSTZ,O,X,X,X,X,O,X,X,X,X,X,X
ILOJSZT,O,X,X,X,O,X,X,X,X,X,X,X
ILOJZTS,X,O,X,X,O,O,X,X,X,X,X,X
ILOJZST,O,O,X,X,O,X,X,X,X,X,X,X
ILOSTJZ,O,X,X,X,X,O,O,X,X,X,X,O
ILOSTZJ,O,O,O,X,X,X,O,X,X,X,X,O
ILOSJTZ,O,X,X,X,X,O,O,X,X,X,X,O
ILOSJZT,O,X,O,X,O,X,O,X,X,X,X,O
ILOSZTJ,O,O,O,X,X,X,O,X,X,X,X,O
ILOSZJT,X,O,O,X,X,X,O,X,X,X,X,O
ILOZTJS,X,O,X,X,X,O,O,O,X,X,X,X
ILOZTSJ,X,O,O,X,X,X,O,O,X,X,X,X
ILOZJTS,X,O,X,X,O,O,O,O,X,X,X,X
ILOZJST,X,O,X,X,O,X,O,O,X,X,X,X
ILOZSTJ,X,O,O,X,X,X,O,O,X,X,X,X
ILOZSJT,X,O,O,X,X,X,O,O,X,X,X,X
IJTLSZO,X,X,X,X,X,X,X,X,X,X,X,O
IJTLSOZ,X,X,X,X,X,O,X,X,X,X,X,O
IJTLZSO,X,X,X,X,X,X,X,O,X,X,X,X
IJTLZOS,X,X,X,X,X,O,X,O,X,X,X,X
IJTLOSZ,X,X,X,X,X,O,X,X,X,X,O,X
IJTLOZS,X,X,X,X,X,O,X,X,X,X,O,X
IJTSLZO,O,X,X,O,X,X,X,X,X,X,X,O
IJTSLOZ,O,X,X,X,X,O,X,X,X,X,X,O
IJTSZLO,O,X,X,O,X,X,X,X,X,X,X,X
IJTSZOL,O,X,X,O,X,X,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,O,X,X,X,X,X,X
IJTSOZL,O,X,X,O,X,X,X,X,X,X,X,X
IJTZLSO,X,X,X,X,X,X,X,O,X,X,X,X
IJTZLOS,X,X,X,X,X,O,X,O,X,X,X,X
IJTZSLO,O,X,X,O,X,X,X,X,X,X,X,X
IJTZSOL,O,X,X,O,X,X,X,X,X,X,X,X
IJTZOLS,X,X,X,X,X,O,X,X,X,X,X,X
IJTZOSL,O,X,X,O,X,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,X,X,O,X,X,X,X,O,X
IJTOLZS,X,X,X,X,X,O,X,X,X,X,O,X
IJTOSLZ,O,X,X,X,X,O,X,X,X,X,O,X
IJTOSZL,O,X,X,X,X,X,X,X,X,X,X,X
IJTOZLS,X,X,X,X,X,O,X,X,X,X,O,X
IJTOZSL,O,X,X,X,X,X,X,X,X,X,X,X
IJLTSZO,X,X,X,X,X,X,X,X,X,X,X,O
IJLTSOZ,X,X,X,X,X,O,X,X,X,X,X,O
IJLTZSO,X,O,O,X,X,X,X,O,X,X,X,X
IJLTZOS,X,X,X,X,X,O,X,O,X,X,X,X
IJLTOSZ,X,X,X,X,X,O,X,X,X,X,O,X
IJLTOZS,X,O,X,X,X,O,X,X,X,X,O,X
IJLSTZO,O,X,X,O,X,X,X,X,X,X,X,O
IJLSTOZ,O,X,X,X,X,O,X,X,X,X,X,O
IJLSZTO,O,X,O,O,X,X,X,O,X,X,X,O
IJLSZOT,O,X,O,O,X,X,X,O,X,X,X,O
IJLSOTZ,O,X,X,X,X,O,X,X,X,X,X,O
IJLSOZT,O,X,O,X,X,X,X,X,X,X,X,O
IJLZTSO,X,O,O,X,X,X,X,O,X,X,X,X
IJLZTOS,X,X,X,X,X,O,X,O,X,X,X,X
IJLZSTO,O,O,O,O,X,X,X,O,X,X,X,O
IJLZSOT,O,X,O,O,O,X,X,O,X,X,X,O
IJLZOTS,X,O,X,X,O,O,X,O,X,X,X,X
IJLZOST,O,O,X,O,O,X,X,O,X,X,X,X
IJLOTSZ,X,X,X,X,X,O,X,X,X,X,O,X
IJLOTZS,X,O,X,X,O,O,X,X,X,X,O,X
IJLOSTZ,O,X,X,X,X,O,X,X,X,X,O,O
IJLOSZT,O,X,X,X,O,X,X,X,X,X,X,O
IJLOZTS,X,O,X,X,O,O,X,O,X,X,O,X
IJLOZST,O,O,X,X,O,X,X,O,X,X,X,X
IJSTLZO,O,X,X,O,X,X,X,X,X,X,X,O
IJSTLOZ,O,X,X,X,X,O,X,X,X,X,X,O
IJSTZLO,O,X,X,O,X,X,X,X,X,X,X,X
IJSTZOL,O,X,X,O,X,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,O,X,X,X,X,X,X
IJSTOZL,O,X,X,O,X,X,X,X,X,X,X,X
IJSLTZO,O,X,X,O,X,X,X,X,X,X,X,O
IJSLTOZ,O,X,X,X,X,O,X,X,X,X,X,O
IJSLZTO,O,X,O,O,X,X,X,O,X,X,X,O
IJSLZOT,O,X,O,O,X,X,X,O,X,X,X,O
IJSLOTZ,O,X,X,X,X,O,X,X,X,X,X,O
IJSLOZT,O,X,O,X,X,X,X,X,X,X,X,O
IJSZTLO,O,X,O,O,X,X,X,X,X,X,X,X
IJSZTOL,O,X,O,O,X,X,X,X,X,X,X,X
IJSZLTO,O,X,O,O,X,X,X,O,X,X,X,O
IJSZLOT,O,X,O,O,X,X,X,O,X,X,X,O
IJSZOTL,O,X,O,O,X,X,X,X,X,X,X,X
IJSZOLT,O,X,O,O,X,X,X,X,X,X,X,X
IJSOTLZ,O,X,X,X,X,O,X,X,X,X,X,X
IJSOTZL,O,X,X,O,X,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,O,X,X,X,X,X,O
IJSOLZT,O,X,O,X,X,X,X,X,X,X,X,O
IJSOZTL,O,X,O,O,X,X,X,X,X,X,X,X
IJSOZLT,O,X,O,O,X,X,X,X,X,X,X,X
IJZTLSO,X,X,O,X,X,X,X,O,X,X,X,X
IJZTLOS,X,X,X,X,X,O,X,O,X,X,X,X
IJZTSLO,O,X,O,O,X,X,X,X,X,X,X,X
IJZTSOL,O,X,O,O,X,X,X,X,X,X,X,X
IJZTOLS,X,X,X,X,X,O,X,X,X,X,X,X
IJZTOSL,O,X,X,O,X,X,X,X,X,X,X,X
IJZLTSO,X,O,O,X,X,X,X,O,X,X,X,X
IJZLTOS,X,X,X,X,X,O,X,O,X,X,X,X
IJZLSTO,O,O,O,O,X,X,X,O,X,X,X,O
IJZLSOT,O,X,O,O,O,X,X,O,X,X,X,O
IJZLOTS,X,O,X,X,O,O,X,O,X,X,X,X
IJZLOST,O,O,X,O,O,X,X,O,X,X,X,X
IJZSTLO,O,O,O,O,X,X,X,X,X,X,X,X
IJZSTOL,O,X,O,O,X,X,X,X,X,X,X,X
IJZSLTO,O,O,O,O,X,X,X,O,X,X,X,O
IJZSLOT,O,X,O,O,O,X,X,O,X,X,X,O
IJZSOTL,O,X,O,O,O,X,X,X,X,X,X,X
IJZSOLT,O,X,O,O,O,X,X,X,X,X,X,X
IJZOTLS,X,O,X,X,O,O,X,X,X,X,X,X
IJZOTSL,O,O,X,O,O,X,X,X,X,X,X,X
IJZOLTS,X,O,X,X,O,O,X,O,X,X,X,X
IJZOLST,O,O,X,O,O,X,X,O,X,X,X,X
IJZOSTL,O,O,X,O,O,X,X,X,X,X,X,X
IJZOSLT,O,O,X,O,O,X,X,X,X,X,X,X
IJOTLSZ,X,X,X,X,X,O,X,X,X,X,O,X
IJOTLZS,X,O,X,X,O,O,X,X,X,X,O,X
IJOTSLZ,O,X,X,X,X,O,X,X,X,X,O,X
IJOTSZL,O,X,X,X,X,X,X,X,X,X,X,X
IJOTZLS,X,O,X,X,O,O,X,X,X,X,O,X
IJOTZSL,O,O,X,X,O,X,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,X,O,X,X,X,X,O,X
IJOLTZS,X,O,X,X,O,O,X,X,X,X,O,X
IJOLSTZ,O,X,X,X,X,O,X,X,X,X,O,O
IJOLSZT,O,X,X,X,O,X,X,X,X,X,X,O
IJOLZTS,X,O,X,X,O,O,X,O,X,X,O,X
IJOLZST,O,O,X,X,O,X,X,O,X,X,X,X
IJOSTLZ,O,X,X,X,X,O,X,X,X,X,O,X
IJOSTZL,O,X,X,O,X,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,O,X,X,X,X,O,O
IJOSLZT,O,X,X,X,O,X,X,X,X,X,X,O
IJOSZTL,O,X,X,O,O,X,X,X,X,X,X,X
IJOSZLT,O,X,X,O,O,X,X,X,X,X,X,X
IJOZTLS,X,O,X,X,O,O,X,X,X,X,O,X
IJOZTSL,O,O,X,O,O,X,X,X,X,X,X,X
IJOZLTS,X,O,X,X,O,O,X,O,X,X,O,X
IJOZLST,O,O,X,O,O,X,X,O,X,X,X,X
IJOZSTL,O,O,X,O,O,X,X,X,X,X,X,X
IJOZSLT,O,O,X,O,O,X,X,X,X,X,X,X
ISTLJZO,O,X,X,O,X,X,X,X,X,X,X,O
ISTLJOZ,O,X,X,X,X,O,X,X,X,X,X,O
ISTLZJO,O,X,O,O,X,X,X,X,X,X,X,O
ISTLZOJ,O,X,O,X,X,X,X,X,X,X,X,O
ISTLOJZ,O,X,X,X,X,O,O,X,X,X,X,O
ISTLOZJ,O,X,O,X,X,X,O,X,X,X,X,O
ISTJLZO,O,X,X,O,X,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,O,X,X,X,X,X,X
ISTJZLO,O,X,X,O,X,X,X,X,X,X,X,X
ISTJZOL,O,X,X,O,X,X,X,X,X,X,X,X
ISTJOLZ,O,X,X,X,X,O,X,X,X,X,X,X
ISTJOZL,O,X,X,O,X,X,X,X,X,X,X,X
ISTZLJO,O,X,O,O,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,O,X,X,X,X,X,X,X,X,X
ISTZJLO,O,X,O,O,X,X,X,X,X,X,X,X
ISTZJOL,O,X,O,O,X,X,X,X,X,X,X,X
ISTZOLJ,O,X,O,X,X,X,X,X,O,X,X,X
ISTZOJL,O,X,O,O,X,X,X,X,O,X,X,X
ISTOLJZ,O,X,X,X,X,O,O,X,X,X,X,X
ISTOLZJ,O,X,O,X,X,X,O,X,O,X,X,X
ISTOJLZ,O,X,X,X,X,O,X,X,X,X,X,X
ISTOJZL,O,X,X,O,X,X,X,X,O,X,X,X
ISTOZLJ,O,X,O,X,X,X,O,X,O,X,X,X
ISTOZJL,O,X,O,O,X,X,O,X,O,X,X,X
ISLTJZO,O,X,X,O,X,X,X,X,X,X,X,O
ISLTJOZ,O,X,X,X,X,O,X,X,X,X,X,O
ISLTZJO,O,O,O,O,X,X,X,X,X,X,X,O
ISLTZOJ,O,O,O,X,X,X,X,X,X,X,X,O
ISLTOJZ,O,X,X,X,X,O,O,X,X,X,X,O
ISLTOZJ,O,O,O,X,X,X,O,X,X,X,X,O
ISLJTZO,O,X,X,O,X,X,X,X,X,X,X,O
ISLJTOZ,O,X,X,X,X,O,X,X,X,X,X,O
ISLJZTO,O,X,O,O,X,X,X,X,X,X,X,O
ISLJZOT,O,X,O,O,X,X,X,X,X,X,X,O
ISLJOTZ,O,X,X,X,X,O,X,X,X,X,X,O
ISLJOZT,O,X,O,X,X,X,X,X,X,X,X,O
ISLZTJO,O,O,O,O,X,X,X,O,X,X,X,O
ISLZTOJ,O,O,O,X,X,X,X,O,X,X,X,O
ISLZJTO,O,O,O,O,X,X,X,O,X,X,X,O
ISLZJOT,O,X,O,O,X,X,X,O,X,X,X,O
ISLZOTJ,O,O,O,X,X,X,X,O,X,X,X,O
ISLZOJT,X,O,O,X,X,X,X,O,X,X,X,O
ISLOTJZ,O,X,X,X,X,O,O,X,X,X,X,O
ISLOTZJ,O,O,O,X,X,X,O,X,X,X,X,O
ISLOJTZ,O,X,X,X,X,O,O,X,X,X,X,O
ISLOJZT,O,X,O,X,X,X,O,X,X,X,X,O
ISLOZTJ,O,O,O,X,X,X,O,X,X,X,X,O
ISLOZJT,X,O,O,X,X,X,O,X,X,X,X,O
ISJTLZO,O,X,X,O,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,O,X,X,X,X,X,X
ISJTZLO,O,X,X,O,X,X,X,X,X,X,X,X
ISJTZOL,O,X,X,O,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,X,O,X,X,X,X,X,X
ISJTOZL,O,X,X,O,X,X,X,X,X,X,X,X
ISJLTZO,O,X,X,O,X,X,X,X,X,X,X,O
ISJLTOZ,O,X,X,X,X,O,X,X,X,X,X,O
ISJLZTO,O,X,O,O,X,X,X,X,X,X,X,O
ISJLZOT,O,X,O,O,X,X,X,X,X,X,X,O
ISJLOTZ,O,X,X,X,X,O,X,X,X,X,X,O
ISJLOZT,O,X,O,X,X,X,X,X,X,X,X,O
ISJZTLO,O,X,O,O,X,X,X,X,X,X,X,X
ISJZTOL,O,X,O,O,X,X,X,X,X,X,X,X
ISJZLTO,O,X,O,O,X,X,X,X,X,X,X,X
ISJZLOT,O,X,O,O,X,X,X,X,X,X,X,X
ISJZOTL,O,X,O,O,X,X,X,X,X,X,X,X
ISJZOLT,O,X,O,O,X,X,X,X,X,X,X,X
ISJOTLZ,O,X,X,X,X,O,X,X,X,X,X,X
ISJOTZL,O,X,X,O,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,O,X,X,X,X,X,X
ISJOLZT,O,X,O,X,X,X,X,X,X,X,X,X
ISJOZTL,O,X,O,O,X,X,X,X,X,X,X,X
ISJOZLT,O,X,O,O,X,X,X,X,X,X,X,X
ISZTLJO,O,O,O,O,X,X,X,X,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X,X,X,X,X,X
ISZTJLO,O,O,O,O,X,X,X,X,X,X,X,X
ISZTJOL,O,X,O,O,X,X,X,X,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X,X,O,O,X,X
ISZTOJL,O,X,O,O,X,X,X,X,O,O,X,X
ISZLTJO,O,O,O,O,X,X,X,O,X,X,X,O
ISZLTOJ,O,O,O,X,X,X,X,O,X,X,X,O
ISZLJTO,O,O,O,O,X,X,X,O,X,X,X,O
ISZLJOT,O,X,O,O,X,X,X,O,X,X,X,O
ISZLOTJ,O,O,O,X,X,X,X,O,X,X,X,O
ISZLOJT,X,O,O,X,X,X,X,O,X,X,X,O
ISZJTLO,O,O,O,O,X,X,X,X,X,X,X,X
ISZJTOL,O,X,O,O,X,X,X,X,X,X,X,X
ISZJLTO,O,O,O,O,X,X,X,X,X,X,X,X
ISZJLOT,O,X,O,O,O,X,X,X,X,X,X,X
ISZJOTL,O,X,O,O,O,X,X,X,X,X,X,X
ISZJOLT,O,X,O,O,O,X,X,X,X,X,X,X
ISZOTLJ,O,O,O,X,X,X,X,X,O,O,X,X
ISZOTJL,O,O,O,O,O,X,X,X,O,O,X,X
ISZOLTJ,O,O,O,X,X,X,X,X,O,O,X,X
ISZOLJT,X,O,O,X,O,X,X,X,X,X,X,X
ISZOJTL,O,O,O,O,O,X,X,X,O,O,X,X
ISZOJLT,O,O,O,O,O,X,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,X,O,O,X,X,X,X,X
ISOTLZJ,O,O,O,X,X,X,O,X,O,X,X,X
ISOTJLZ,O,X,X,X,X,O,X,X,X,X,X,X
ISOTJZL,O,X,X,O,X,X,X,X,O,X,X,X
ISOTZLJ,O,O,O,X,X,X,O,X,O,O,X,X
ISOTZJL,O,O,O,O,O,X,O,X,O,O,X,X
ISOLTJZ,O,X,X,X,X,O,O,X,X,X,X,O
ISOLTZJ,O,O,O,X,X,X,O,X,O,X,X,O
ISOLJTZ,O,X,X,X,X,O,O,X,X,X,X,O
ISOLJZT,O,X,O,X,X,X,O,X,X,X,X,O
ISOLZTJ,O,O,O,X,X,X,O,X,O,O,X,O
ISOLZJT,X,O,O,X,O,X,O,X,X,X,X,O
ISOJTLZ,O,X,X,X,X,O,X,X,X,X,X,X
ISOJTZL,O,X,X,O,X,X,X,X,O,X,X,X
ISOJLTZ,O,X,X,X,X,O,X,X,X,X,X,X
ISOJLZT,O,X,O,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,O,O,O,X,X,X,O,O,X,X
ISOJZLT,O,X,O,O,O,X,X,X,X,X,X,X
ISOZTLJ,O,O,O,X,X,X,O,X,O,O,X,X
ISOZTJL,O,O,O,O,O,X,O,X,O,O,X,X
ISOZLTJ,O,O,O,X,X,X,O,X,O,O,X,X
ISOZLJT,X,O,O,X,O,X,O,X,X,X,X,X
ISOZJTL,O,O,O,O,O,X,O,X,O,O,X,X
ISOZJLT,O,O,O,O,O,X,X,X,X,X,X,X
IZTLJSO,X,O,O,X,X,X,X,O,X,X,X,X
IZTLJOS,X,X,X,X,X,O,X,O,X,X,X,X
IZTLSJO,X,O,O,X,X,X,X,O,X,X,X,X
IZTLSOJ,X,O,O,X,X,X,X,O,X,X,X,X
IZTLOJS,X,O,X,X,X,O,X,O,X,X,X,X
IZTLOSJ,X,O,O,X,X,X,X,O,X,X,X,X
IZTJLSO,X,X,O,X,X,X,X,X,X,X,X,X
IZTJLOS,X,X,X,X,X,O,X,X,X,X,X,X
IZTJSLO,X,X,O,O,X,X,X,X,X,X,X,X
IZTJSOL,X,X,O,O,X,X,X,X,X,X,X,X
IZTJOLS,X,X,X,X,X,O,X,X,X,X,X,X
IZTJOSL,X,X,X,O,X,X,X,X,X,X,X,X
IZTSLJO,X,O,O,O,X,X,X,X,X,X,X,X
IZTSLOJ,X,O,O,X,X,X,X,X,X,X,X,X
IZTSJLO,X,O,O,O,X,X,X,X,X,X,X,X
IZTSJOL,X,X,O,O,X,X,X,X,X,X,X,X
IZTSOLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZTSOJL,X,X,O,O,X,X,X,X,X,O,X,X
IZTOLJS,X,O,X,X,X,O,X,X,X,O,X,X
IZTOLSJ,X,O,O,X,X,X,X,X,X,O,X,X
IZTOJLS,X,O,X,X,X,O,X,X,X,O,X,X
IZTOJSL,X,O,X,X,X,X,X,X,X,O,X,X
