sequence,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFzfBChBXiB8?nBerBFqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFqkBTgBOmBX?iB8nB1vB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBFhBXiB8?nBTlByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8Jei/IvhF3gBRiBcpBO?rBlnBTqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFGgBFiB8nBz?kBXmByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeTAJvhFRiBOpBXmBl?nB0kByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFVmBynBzkBf?rBGnBUqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBXiB8nBK?qBzlBFrB
ISLTJZO,X,O,O,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,X,X
ISLTZJO,X,O,O,X,X,X,X,X
ISLTZOJ,X,O,O,X,X,X,X,X
ISLTOJZ,X,O,O,X,X,X,O,X
ISLTOZJ,X,O,O,X,X,X,O,X
ISLJTZO,X,X,O,X,X,X,X,X
ISLJTOZ,X,X,X,X,X,X,X,X
ISLJZTO,X,X,O,X,X,X,X,O
ISLJZOT,X,X,O,X,X,X,X,O
ISLJOTZ,X,X,X,X,X,X,X,X
ISLJOZT,X,X,X,X,X,X,X,O
ISLZTJO,X,O,O,X,X,X,X,O
ISLZTOJ,X,O,O,X,O,X,X,O
ISLZJTO,X,O,O,X,X,X,X,O
ISLZJOT,X,X,O,X,X,X,X,O
ISLZOTJ,X,O,O,X,O,X,X,O
ISLZOJT,X,X,O,X,O,X,X,O
ISLOTJZ,X,X,O,X,X,X,O,X
ISLOTZJ,X,X,O,X,X,X,O,X
ISLOJTZ,X,X,O,X,X,X,X,X
ISLOJZT,X,X,O,X,O,X,X,O
ISLOZTJ,X,X,O,X,O,X,X,O
ISLOZJT,X,X,O,X,O,X,X,O
ISJTLZO,O,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,O,X,X
ISJTZLO,O,X,X,X,X,X,X,X
ISJTZOL,O,X,X,X,X,O,X,X
ISJTOLZ,O,X,X,X,X,O,X,X
ISJTOZL,O,X,X,X,X,O,X,X
ISJLTZO,O,X,O,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X
ISJLZTO,O,X,O,X,X,X,X,O
ISJLZOT,O,X,O,X,X,X,X,O
ISJLOTZ,X,X,X,X,X,X,X,X
ISJLOZT,X,X,X,X,X,X,X,O
ISJZTLO,O,X,O,X,X,X,X,O
ISJZTOL,O,X,O,X,O,X,X,X
ISJZLTO,O,X,O,X,X,X,X,O
ISJZLOT,O,X,O,X,X,X,X,O
ISJZOTL,O,X,O,X,O,X,X,X
ISJZOLT,O,X,O,X,O,X,X,O
ISJOTLZ,X,X,X,X,X,O,X,X
ISJOTZL,X,X,X,X,O,O,X,X
ISJOLTZ,X,X,X,X,X,X,X,X
ISJOLZT,X,X,X,X,O,X,X,X
ISJOZTL,X,X,X,X,O,X,X,X
ISJOZLT,X,X,X,X,O,X,X,X
ISZTLJO,O,O,O,X,X,X,X,O
ISZTLOJ,X,O,O,X,O,X,X,O
ISZTJLO,O,O,O,X,X,X,X,O
ISZTJOL,O,O,O,X,O,X,X,X
ISZTOLJ,X,O,O,X,O,X,X,X
ISZTOJL,O,O,O,X,O,X,X,X
ISZLTJO,O,O,O,X,X,X,X,O
ISZLTOJ,X,O,O,X,O,X,X,O
ISZLJTO,O,O,O,X,X,X,X,O
ISZLJOT,O,X,O,X,X,X,X,O
ISZLOTJ,X,O,O,X,O,X,X,O
ISZLOJT,O,X,O,X,O,X,X,O
ISZJTLO,O,O,O,X,X,X,X,O
ISZJTOL,O,O,O,X,O,X,X,X
ISZJLTO,O,O,O,X,X,X,X,O
ISZJLOT,O,X,O,X,X,X,X,O
ISZJOTL,O,X,O,X,O,X,X,X
ISZJOLT,O,X,O,X,O,X,X,O
ISZOTLJ,X,O,O,X,O,X,X,X
ISZOTJL,X,O,O,X,O,X,X,X
ISZOLTJ,X,O,O,X,O,X,X,O
ISZOLJT,O,X,O,X,O,X,X,O
ISZOJTL,O,X,O,X,O,X,X,X
ISZOJLT,O,X,O,X,O,X,X,O
ISOTLJZ,X,X,X,X,X,O,O,X
ISOTLZJ,X,X,X,X,X,X,O,X
ISOTJLZ,X,X,X,X,X,O,X,X
ISOTJZL,X,X,X,X,O,O,X,X
ISOTZLJ,X,X,X,X,O,X,X,X
ISOTZJL,X,X,X,X,O,O,X,X
ISOLTJZ,X,X,X,X,X,X,O,X
ISOLTZJ,X,X,X,X,X,X,O,X
ISOLJTZ,X,X,X,X,X,X,X,X
ISOLJZT,X,X,X,X,O,X,X,X
ISOLZTJ,X,X,X,X,O,X,X,X
ISOLZJT,X,X,X,X,O,X,X,X
ISOJTLZ,X,X,X,X,X,O,X,X
ISOJTZL,X,X,X,X,O,O,X,X
ISOJLTZ,X,X,X,X,X,X,X,X
ISOJLZT,X,X,X,X,O,X,X,X
ISOJZTL,X,X,X,X,O,X,X,X
ISOJZLT,X,X,X,X,O,X,X,X
ISOZTLJ,X,X,X,X,O,X,X,X
ISOZTJL,X,X,X,X,O,X,X,X
ISOZLTJ,X,X,X,X,O,X,X,X
ISOZLJT,X,X,X,X,O,X,X,X
ISOZJTL,X,X,X,X,O,X,X,X
ISOZJLT,X,X,X,X,O,X,X,X
IZTLJSO,O,O,O,O,X,X,X,O
IZTLJOS,O,O,O,O,X,X,X,O
IZTLSJO,X,O,O,O,X,X,X,O
IZTLSOJ,X,O,O,O,O,X,X,O
IZTLOJS,O,O,O,O,X,X,O,O
IZTLOSJ,X,O,O,O,O,X,O,O
IZTJLSO,O,O,O,O,X,X,X,O
IZTJLOS,O,O,O,O,X,X,X,O
IZTJSLO,O,O,O,O,X,X,X,O
IZTJSOL,O,O,O,O,O,X,X,X
IZTJOLS,O,O,X,O,X,X,X,X
IZTJOSL,O,O,X,O,O,X,X,X
IZTSLJO,O,O,O,O,X,X,X,O
IZTSLOJ,X,O,O,O,O,X,X,O
IZTSJLO,O,O,O,O,X,X,X,O
IZTSJOL,O,O,O,O,O,X,X,X
IZTSOLJ,X,O,O,O,O,X,X,X
IZTSOJL,O,O,O,O,O,X,X,X
IZTOLJS,O,O,X,O,X,X,O,X
IZTOLSJ,X,O,X,O,O,X,O,X
IZTOJLS,O,O,X,O,X,X,X,X
IZTOJSL,O,O,X,O,O,X,X,X
IZTOSLJ,X,O,X,O,O,X,X,X
IZTOSJL,O,O,X,O,O,X,X,X
IZLTJSO,O,O,O,O,X,X,X,O
IZLTJOS,O,O,O,O,X,X,X,O
IZLTSJO,X,O,O,O,X,X,X,O
IZLTSOJ,X,O,O,O,O,X,X,O
IZLTOJS,O,O,O,O,X,X,O,O
IZLTOSJ,X,O,O,O,O,X,O,O
IZLJTSO,O,O,O,O,X,X,X,O
IZLJTOS,O,O,O,O,X,X,X,O
IZLJSTO,O,O,O,O,X,X,X,O
IZLJSOT,O,X,O,O,X,X,X,O
IZLJOTS,O,X,O,X,X,X,X,O
IZLJOST,O,X,O,O,X,X,X,O
IZLSTJO,O,O,O,X,X,X,X,O
IZLSTOJ,X,O,O,X,O,X,X,O
IZLSJTO,O,O,O,X,X,X,X,O
IZLSJOT,O,X,O,X,X,X,X,O
IZLSOTJ,X,O,O,X,O,X,X,O
IZLSOJT,O,X,O,X,O,X,X,O
IZLOTJS,X,O,O,O,X,X,O,O
IZLOTSJ,X,O,O,O,O,X,O,O
IZLOJTS,X,X,O,O,X,X,X,O
IZLOJST,X,X,O,O,X,X,X,O
IZLOSTJ,X,O,O,O,O,X,X,O
IZLOSJT,X,X,O,X,O,X,X,O
IZJTLSO,O,O,O,O,X,X,X,O
IZJTLOS,O,O,O,O,X,X,X,O
IZJTSLO,O,O,O,O,X,X,X,O
IZJTSOL,O,O,O,O,O,X,X,X
IZJTOLS,O,O,X,O,X,X,X,X
IZJTOSL,O,O,X,O,O,X,X,X
IZJLTSO,O,O,O,O,X,X,X,O
IZJLTOS,O,O,O,O,X,X,X,O
IZJLSTO,O,O,O,O,X,X,X,O
IZJLSOT,O,X,O,O,X,X,X,O
IZJLOTS,O,X,O,O,X,X,X,O
IZJLOST,O,X,O,O,X,X,X,O
IZJSTLO,O,O,O,O,X,X,X,O
IZJSTOL,O,O,O,O,O,X,X,X
IZJSLTO,O,O,O,O,X,X,X,O
IZJSLOT,O,X,O,O,X,X,X,O
IZJSOTL,O,X,O,O,O,X,X,X
IZJSOLT,O,X,O,O,O,X,X,O
IZJOTLS,O,X,X,O,X,X,X,X
IZJOTSL,O,X,X,O,O,X,X,X
IZJOLTS,O,X,O,O,X,X,X,O
IZJOLST,O,X,O,O,X,X,X,O
IZJOSTL,O,X,O,O,O,X,X,X
IZJOSLT,O,X,O,O,O,X,X,O
IZSTLJO,O,O,O,X,X,X,X,O
IZSTLOJ,X,O,O,X,O,X,X,O
IZSTJLO,O,O,O,X,X,X,X,O
IZSTJOL,O,O,O,X,O,X,X,X
IZSTOLJ,X,O,O,X,O,X,X,X
IZSTOJL,O,O,O,X,O,X,X,X
IZSLTJO,O,O,O,X,X,X,X,O
IZSLTOJ,X,O,O,X,O,X,X,O
IZSLJTO,O,O,O,X,X,X,X,O
IZSLJOT,O,X,O,X,X,X,X,O
IZSLOTJ,X,O,O,X,O,X,X,O
IZSLOJT,O,X,O,X,O,X,X,O
IZSJTLO,O,O,O,X,X,X,X,O
IZSJTOL,O,O,O,X,O,X,X,X
IZSJLTO,O,O,O,X,X,X,X,O
IZSJLOT,O,X,O,X,X,X,X,O
IZSJOTL,O,X,O,X,O,X,X,X
IZSJOLT,O,X,O,X,O,X,X,O
IZSOTLJ,X,O,O,X,O,X,X,X
IZSOTJL,X,O,O,X,O,X,X,X
IZSOLTJ,X,O,O,X,O,X,X,O
IZSOLJT,O,X,O,X,O,X,X,O
IZSOJTL,O,X,O,X,O,X,X,X
IZSOJLT,O,X,O,X,O,X,X,O
IZOTLJS,O,O,X,O,X,X,O,X
IZOTLSJ,X,O,X,O,O,X,O,X
IZOTJLS,O,O,X,O,X,X,X,X
IZOTJSL,O,O,X,O,O,X,X,X
IZOTSLJ,X,O,X,O,O,X,X,X
IZOTSJL,O,O,X,O,O,X,X,X
IZOLTJS,X,O,O,O,X,X,O,O
IZOLTSJ,X,O,O,O,O,X,O,O
IZOLJTS,X,X,O,O,X,X,X,O
IZOLJST,X,X,O,O,X,X,X,O
IZOLSTJ,X,O,O,O,O,X,X,O
IZOLSJT,X,X,O,X,O,X,X,O
IZOJTLS,O,X,X,O,X,X,X,X
IZOJTSL,O,X,X,O,O,X,X,X
IZOJLTS,O,X,O,O,X,X,X,O
IZOJLST,O,X,O,O,X,X,X,O
IZOJSTL,O,X,O,O,O,X,X,X
IZOJSLT,O,X,O,O,O,X,X,O
IZOSTLJ,X,O,O,O,O,X,X,X
IZOSTJL,X,O,O,O,O,X,X,X
IZOSLTJ,X,O,O,O,O,X,X,O
IZOSLJT,O,X,O,X,O,X,X,O
IZOSJTL,O,X,O,X,O,X,X,X
IZOSJLT,O,X,O,X,O,X,X,O
IOTLJSZ,O,O,X,X,X,X,O,X
IOTLJZS,O,O,X,X,X,X,O,X
IOTLSJZ,X,O,X,X,X,X,O,X
IOTLSZJ,X,O,X,O,X,X,O,X
IOTLZJS,O,O,X,O,X,X,O,X
IOTLZSJ,X,O,X,O,X,X,O,X
IOTJLSZ,O,O,X,O,X,X,O,X
IOTJLZS,O,O,X,O,X,X,O,X
IOTJSLZ,O,X,X,O,X,X,X,X
IOTJSZL,O,X,X,O,X,X,X,X
IOTJZLS,O,O,X,O,X,X,X,X
IOTJZSL,O,O,X,O,X,X,X,X
IOTSLJZ,X,X,X,X,X,X,O,X
IOTSLZJ,X,X,X,O,X,X,O,X
IOTSJLZ,O,X,X,X,X,X,X,X
IOTSJZL,O,X,X,O,O,X,X,X
IOTSZLJ,X,X,X,O,O,X,X,X
IOTSZJL,O,X,X,O,O,X,X,X
IOTZLJS,O,O,X,O,X,X,O,X
IOTZLSJ,X,O,X,O,O,X,O,X
IOTZJLS,O,O,X,O,X,X,X,X
IOTZJSL,O,O,X,O,O,X,X,X
IOTZSLJ,X,O,X,O,O,X,X,X
IOTZSJL,O,O,X,O,O,X,X,X
IOLTJSZ,X,O,O,X,X,X,O,X
IOLTJZS,X,O,O,X,X,X,O,O
IOLTSJZ,X,O,O,X,X,X,O,X
IOLTSZJ,X,O,O,X,X,X,O,X
IOLTZJS,X,O,O,X,X,X,O,O
IOLTZSJ,X,O,O,X,X,X,O,O
IOLJTSZ,X,X,O,X,X,X,O,X
IOLJTZS,X,X,O,X,X,X,O,O
IOLJSTZ,X,X,O,X,X,X,X,X
IOLJSZT,X,X,O,X,X,X,X,O
IOLJZTS,X,X,O,X,X,X,X,O
IOLJZST,X,X,O,X,X,X,X,O
IOLSTJZ,X,X,O,X,X,X,O,X
IOLSTZJ,X,X,O,X,X,X,O,X
IOLSJTZ,X,X,O,X,X,X,X,X
IOLSJZT,X,X,O,X,O,X,X,O
IOLSZTJ,X,X,O,X,O,X,X,O
IOLSZJT,X,X,O,X,O,X,X,O
IOLZTJS,X,O,O,X,X,X,O,O
IOLZTSJ,X,O,O,X,O,X,O,O
IOLZJTS,X,X,O,X,X,X,X,O
IOLZJST,X,X,O,X,X,X,X,O
IOLZSTJ,X,O,O,X,O,X,X,O
IOLZSJT,X,X,O,X,O,X,X,O
IOJTLSZ,O,X,X,O,X,X,O,X
IOJTLZS,O,X,X,O,X,X,O,X
IOJTSLZ,O,X,X,O,X,X,X,X
IOJTSZL,O,X,X,O,X,X,X,X
IOJTZLS,O,X,X,O,X,X,X,X
IOJTZSL,O,X,X,O,X,X,X,X
IOJLTSZ,O,X,X,X,X,X,O,X
IOJLTZS,O,X,O,X,X,X,O,O
IOJLSTZ,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,O,X,X,X,O
IOJLZTS,O,X,O,O,X,X,X,O
IOJLZST,O,X,O,O,X,X,X,O
IOJSTLZ,X,X,X,O,X,X,X,X
IOJSTZL,X,X,X,O,O,X,X,X
IOJSLTZ,X,X,X,X,X,X,X,X
IOJSLZT,X,X,X,O,O,X,X,X
IOJSZTL,X,X,X,O,O,X,X,X
IOJSZLT,X,X,X,O,O,X,X,X
IOJZTLS,O,X,X,O,X,X,X,X
IOJZTSL,O,X,X,O,O,X,X,X
IOJZLTS,O,X,O,O,X,X,X,O
IOJZLST,O,X,O,O,X,X,X,O
IOJZSTL,O,X,O,O,O,X,X,X
IOJZSLT,O,X,O,O,O,X,X,O
IOSTLJZ,X,X,X,X,X,X,O,X
IOSTLZJ,X,X,X,O,X,X,O,X
IOSTJLZ,X,X,X,X,X,X,X,X
IOSTJZL,X,X,X,O,O,X,X,X
IOSTZLJ,X,X,X,O,O,X,X,X
IOSTZJL,X,X,X,O,O,X,X,X
IOSLTJZ,X,X,X,X,X,X,O,X
IOSLTZJ,X,X,X,X,X,X,O,X
IOSLJTZ,X,X,X,X,X,X,X,X
IOSLJZT,X,X,X,X,O,X,X,X
IOSLZTJ,X,X,X,X,O,X,X,X
IOSLZJT,X,X,X,X,O,X,X,X
IOSJTLZ,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,X,O,X,X,X
IOSJLTZ,X,X,X,X,X,X,X,X
IOSJLZT,X,X,X,X,O,X,X,X
IOSJZTL,X,X,X,X,O,X,X,X
IOSJZLT,X,X,X,X,O,X,X,X
IOSZTLJ,X,X,X,O,O,X,X,X
IOSZTJL,X,X,X,O,O,X,X,X
IOSZLTJ,X,X,X,O,O,X,X,X
IOSZLJT,X,X,X,X,O,X,X,X
IOSZJTL,X,X,X,X,O,X,X,X
IOSZJLT,X,X,X,X,O,X,X,X
IOZTLJS,O,O,X,O,X,X,O,X
IOZTLSJ,X,O,X,O,O,X,O,X
IOZTJLS,O,O,X,O,X,X,X,X
IOZTJSL,O,O,X,O,O,X,X,X
IOZTSLJ,X,O,X,O,O,X,X,X
IOZTSJL,O,O,X,O,O,X,X,X
IOZLTJS,X,O,O,O,X,X,O,O
IOZLTSJ,X,O,O,O,O,X,O,O
IOZLJTS,X,X,O,O,X,X,X,O
IOZLJST,X,X,O,O,X,X,X,O
IOZLSTJ,X,O,O,O,O,X,X,O
IOZLSJT,X,X,O,X,O,X,X,O
IOZJTLS,O,X,X,O,X,X,X,X
IOZJTSL,O,X,X,O,O,X,X,X
IOZJLTS,O,X,O,O,X,X,X,O
IOZJLST,O,X,O,O,X,X,X,O
IOZJSTL,O,X,O,O,O,X,X,X
IOZJSLT,O,X,O,O,O,X,X,O
IOZSTLJ,X,O,O,O,O,X,X,X
IOZSTJL,X,O,O,O,O,X,X,X
IOZSLTJ,X,O,O,O,O,X,X,O
IOZSLJT,O,X,O,X,O,X,X,O
IOZSJTL,O,X,O,X,O,X,X,X
IOZSJLT,O,X,O,X,O,X,X,O
LTIJSZO,O,O,O,O,X,X,X,X
LTIJSOZ,O,O,X,X,X,O,X,X
LTIJZSO,O,O,O,O,X,X,X,O
LTIJZOS,O,O,O,O,X,X,X,O
LTIJOSZ,O,O,O,O,X,X,O,X
LTIJOZS,O,O,O,O,X,X,O,O
LTISJZO,X,O,O,X,X,X,X,X
LTISJOZ,X,O,X,X,X,O,X,X
LTISZJO,X,O,O,X,X,X,X,X
LTISZOJ,X,O,O,X,X,X,X,X
LTISOJZ,X,O,O,X,X,O,O,X
LTISOZJ,X,O,O,X,X,X,O,X
LTIZJSO,O,O,O,O,X,X,X,O
LTIZJOS,O,O,O,O,X,X,X,O
LTIZSJO,X,O,O,O,X,X,X,O
LTIZSOJ,X,O,O,O,X,X,X,O
LTIZOJS,O,O,O,O,X,X,O,O
LTIZOSJ,X,O,O,O,X,X,O,O
LTIOJSZ,O,O,O,X,X,X,O,X
LTIOJZS,O,O,O,X,X,X,O,O
LTIOSJZ,X,O,O,X,X,X,O,X
LTIOSZJ,X,O,O,O,X,X,O,X
LTIOZJS,O,O,O,O,X,X,O,O
LTIOZSJ,X,O,O,O,X,X,O,O
LTJISZO,O,O,O,O,X,X,X,X
LTJISOZ,O,O,X,X,X,O,X,X
LTJIZSO,O,O,O,O,X,X,X,O
LTJIZOS,O,O,O,O,X,X,X,O
LTJIOSZ,O,O,O,O,X,X,O,X
LTJIOZS,O,O,O,O,X,X,O,O
LTJSIZO,O,O,O,O,X,X,X,X
LTJSIOZ,O,O,X,X,X,O,X,X
LTJSZIO,O,O,O,O,X,X,X,X
LTJSZOI,O,O,O,O,X,X,X,X
LTJSOIZ,O,O,X,X,X,O,X,X
LTJSOZI,O,O,X,X,X,O,X,X
LTJZISO,O,O,O,O,X,X,X,O
LTJZIOS,O,O,O,O,X,X,X,O
LTJZSIO,O,O,O,O,X,X,X,O
LTJZSOI,O,O,O,O,X,X,X,O
LTJZOIS,O,O,O,O,X,X,X,O
LTJZOSI,O,O,O,O,X,X,X,O
LTJOISZ,O,O,O,O,X,X,O,X
LTJOIZS,O,O,O,O,X,X,O,O
LTJOSIZ,O,O,O,O,X,X,X,X
LTJOSZI,O,O,O,O,X,X,X,X
LTJOZIS,O,O,O,O,X,X,X,O
LTJOZSI,O,O,O,O,X,X,X,O
LTSIJZO,X,O,O,X,X,X,X,X
LTSIJOZ,X,O,X,X,X,O,X,X
LTSIZJO,X,O,O,X,X,X,X,X
LTSIZOJ,X,O,O,X,X,X,X,X
LTSIOJZ,X,O,O,X,X,O,O,X
LTSIOZJ,X,O,O,X,X,X,O,X
LTSJIZO,X,O,O,X,X,X,X,X
LTSJIOZ,X,O,X,X,X,O,X,X
LTSJZIO,X,O,O,X,X,X,X,X
LTSJZOI,X,O,O,X,X,X,X,X
LTSJOIZ,X,O,X,X,X,O,X,X
LTSJOZI,X,O,X,X,X,O,X,X
LTSZIJO,X,O,O,X,X,X,X,X
LTSZIOJ,X,O,O,X,X,X,X,X
LTSZJIO,X,O,O,X,X,X,X,X
LTSZJOI,X,O,O,X,X,X,X,X
LTSZOIJ,X,O,O,X,X,X,X,X
LTSZOJI,X,O,O,X,X,X,X,X
LTSOIJZ,X,O,O,X,X,O,O,X
LTSOIZJ,X,O,O,X,X,X,O,X
LTSOJIZ,X,O,O,X,X,O,X,X
LTSOJZI,X,O,O,X,X,O,X,X
LTSOZIJ,X,O,O,X,X,X,X,X
LTSOZJI,X,O,O,X,X,X,X,X
LTZIJSO,O,O,O,O,X,X,X,O
LTZIJOS,O,O,O,O,X,X,X,O
LTZISJO,X,O,O,O,X,X,X,O
LTZISOJ,X,O,O,O,X,X,X,O
LTZIOJS,O,O,O,O,X,X,O,O
LTZIOSJ,X,O,O,O,X,X,O,O
LTZJISO,O,O,O,O,X,X,X,O
LTZJIOS,O,O,O,O,X,X,X,O
LTZJSIO,O,O,O,O,X,X,X,O
LTZJSOI,O,O,O,O,X,X,X,O
LTZJOIS,O,O,O,O,X,X,X,O
LTZJOSI,O,O,O,O,X,X,X,O
LTZSIJO,X,O,O,O,X,X,X,O
LTZSIOJ,X,O,O,O,X,X,X,O
LTZSJIO,X,O,O,O,X,X,X,O
LTZSJOI,X,O,O,O,X,X,X,O
LTZSOIJ,X,O,O,O,X,X,X,O
LTZSOJI,X,O,O,O,X,X,X,O
LTZOIJS,O,O,O,O,X,X,O,O
LTZOISJ,X,O,O,O,X,X,O,O
LTZOJIS,O,O,O,O,X,X,X,O
LTZOJSI,O,O,O,O,X,X,X,O
LTZOSIJ,X,O,O,O,X,X,X,O
LTZOSJI,X,O,O,O,X,X,X,O
LTOIJSZ,O,O,O,X,X,X,O,X
LTOIJZS,O,O,O,X,X,X,O,O
LTOISJZ,X,O,O,X,X,X,O,X
LTOISZJ,X,O,O,O,X,X,O,X
LTOIZJS,O,O,O,O,X,X,O,O
LTOIZSJ,X,O,O,O,X,X,O,O
LTOJISZ,O,O,O,O,X,X,O,X
LTOJIZS,O,O,O,O,X,X,O,O
LTOJSIZ,O,O,O,O,X,X,X,X
LTOJSZI,O,O,O,O,X,X,X,X
LTOJZIS,O,O,O,O,X,X,X,O
LTOJZSI,O,O,O,O,X,X,X,O
LTOSIJZ,X,O,O,X,X,X,O,X
LTOSIZJ,X,O,O,O,X,X,O,X
LTOSJIZ,X,O,O,X,X,X,X,X
LTOSJZI,X,O,O,X,X,X,X,X
LTOSZIJ,X,O,O,O,X,X,X,X
LTOSZJI,X,O,O,O,X,X,X,X
LTOZIJS,O,O,O,O,X,X,O,O
LTOZISJ,X,O,O,O,X,X,O,O
LTOZJIS,O,O,O,O,X,X,X,O
LTOZJSI,O,O,O,O,X,X,X,O
LTOZSIJ,X,O,O,O,X,X,X,O
LTOZSJI,X,O,O,O,X,X,X,O
LITJSZO,O,O,O,X,X,X,X,X
LITJSOZ,O,O,X,X,X,X,X,X
LITJZSO,O,O,O,X,X,X,X,O
LITJZOS,O,O,O,X,X,X,X,O
LITJOSZ,O,O,O,X,X,X,O,X
LITJOZS,O,O,O,X,X,X,O,O
LITSJZO,X,O,O,X,X,X,X,X
LITSJOZ,X,O,X,X,X,X,X,X
LITSZJO,X,O,O,X,X,X,X,X
LITSZOJ,X,O,O,X,X,X,X,X
LITSOJZ,X,O,O,X,X,X,O,X
LITSOZJ,X,O,O,X,X,X,O,X
LITZJSO,O,O,O,X,X,X,X,O
LITZJOS,O,O,O,X,X,X,X,O
LITZSJO,X,O,O,X,X,X,X,O
LITZSOJ,X,O,O,X,X,X,X,O
LITZOJS,O,O,O,X,X,X,O,O
LITZOSJ,X,O,O,X,X,X,O,O
LITOJSZ,O,O,O,X,X,X,O,X
LITOJZS,O,O,O,X,X,X,O,O
LITOSJZ,X,O,O,X,X,X,O,X
LITOSZJ,X,O,O,X,X,X,O,X
LITOZJS,O,O,O,X,X,X,O,O
LITOZSJ,X,O,O,X,X,X,O,O
LIJTSZO,O,O,O,X,X,X,X,X
LIJTSOZ,O,O,X,X,X,X,X,X
LIJTZSO,O,O,O,X,X,X,X,O
LIJTZOS,O,O,O,X,X,X,X,O
LIJTOSZ,O,O,O,X,X,X,O,X
LIJTOZS,O,O,O,X,X,X,O,O
LIJSTZO,O,X,O,X,X,X,X,X
LIJSTOZ,O,X,X,X,X,X,X,X
LIJSZTO,O,X,O,X,X,X,X,O
LIJSZOT,O,X,O,X,X,X,X,O
LIJSOTZ,X,X,X,X,X,X,X,X
LIJSOZT,X,X,X,X,X,X,X,O
LIJZTSO,O,O,O,X,X,X,X,O
LIJZTOS,O,O,O,X,X,X,X,O
LIJZSTO,O,O,O,X,X,X,X,O
LIJZSOT,O,X,O,X,X,X,X,O
LIJZOTS,O,X,O,X,X,X,X,O
LIJZOST,O,X,O,X,X,X,X,O
LIJOTSZ,O,X,O,X,X,X,O,X
LIJOTZS,O,X,O,X,X,X,O,O
LIJOSTZ,X,X,O,X,X,X,X,X
LIJOSZT,X,X,O,X,X,X,X,O
LIJOZTS,O,X,O,X,X,X,X,O
LIJOZST,O,X,O,X,X,X,X,O
LISTJZO,X,O,O,X,X,X,X,X
LISTJOZ,X,O,X,X,X,X,X,X
LISTZJO,X,O,O,X,X,X,X,X
LISTZOJ,X,O,O,X,X,X,X,X
LISTOJZ,X,O,O,X,X,X,O,X
LISTOZJ,X,O,O,X,X,X,O,X
LISJTZO,X,X,O,X,X,X,X,X
LISJTOZ,X,X,X,X,X,X,X,X
LISJZTO,X,X,O,X,X,X,X,O
LISJZOT,X,X,O,X,X,X,X,O
LISJOTZ,X,X,X,X,X,X,X,X
LISJOZT,X,X,X,X,X,X,X,O
LISZTJO,X,O,O,X,X,X,X,O
LISZTOJ,X,O,O,X,O,X,X,O
LISZJTO,X,O,O,X,X,X,X,O
LISZJOT,X,X,O,X,X,X,X,O
LISZOTJ,X,O,O,X,O,X,X,O
LISZOJT,X,X,O,X,O,X,X,O
LISOTJZ,X,X,O,X,X,X,O,X
LISOTZJ,X,X,O,X,X,X,O,X
LISOJTZ,X,X,O,X,X,X,X,X
LISOJZT,X,X,O,X,O,X,X,O
LISOZTJ,X,X,O,X,O,X,X,O
LISOZJT,X,X,O,X,O,X,X,O
LIZTJSO,O,O,O,X,X,X,X,O
LIZTJOS,O,O,O,X,X,X,X,O
LIZTSJO,X,O,O,X,X,X,X,O
LIZTSOJ,X,O,O,X,O,X,X,O
LIZTOJS,O,O,O,X,X,X,O,O
LIZTOSJ,X,O,O,X,O,X,O,O
LIZJTSO,O,O,O,X,X,X,X,O
LIZJTOS,O,O,O,X,X,X,X,O
LIZJSTO,O,O,O,X,X,X,X,O
LIZJSOT,O,X,O,X,X,X,X,O
LIZJOTS,O,X,O,X,X,X,X,O
LIZJOST,O,X,O,X,X,X,X,O
LIZSTJO,O,O,O,X,X,X,X,O
LIZSTOJ,X,O,O,X,O,X,X,O
LIZSJTO,O,O,O,X,X,X,X,O
LIZSJOT,O,X,O,X,X,X,X,O
LIZSOTJ,X,O,O,X,O,X,X,O
LIZSOJT,O,X,O,X,O,X,X,O
LIZOTJS,X,O,O,X,X,X,O,O
LIZOTSJ,X,O,O,X,O,X,O,O
LIZOJTS,X,X,O,X,X,X,X,O
LIZOJST,X,X,O,X,X,X,X,O
LIZOSTJ,X,O,O,X,O,X,X,O
LIZOSJT,X,X,O,X,O,X,X,O
LIOTJSZ,X,O,O,X,X,X,O,X
LIOTJZS,X,O,O,X,X,X,O,O
LIOTSJZ,X,O,O,X,X,X,O,X
LIOTSZJ,X,O,O,X,X,X,O,X
LIOTZJS,X,O,O,X,X,X,O,O
LIOTZSJ,X,O,O,X,X,X,O,O
LIOJTSZ,X,X,O,X,X,X,O,X
LIOJTZS,X,X,O,X,X,X,O,O
