sequence,v115@QhA8HeE8AeF8JeUBJvhFFiBXjBTkB6qBmpBxwB,v115@QhA8HeE8AeF8Je1FJvhF0hBxiBTkB3nBmkBCrB,v115@QhA8HeE8AeF8Je3AJvhFqmBxiBTkB8qBlsBmpB,v115@QhA8HeE8AeF8JeOEJvhFXgBzhBFjBSsBRqB8qB,v115@QhA8HeE8AeF8JeOEJvhFxhBXjBzkBVrBUnB6qB,v115@QhA8HeE8AeF8JexCJvhFTkB0lBlmB3nBmkBCrB,v115@QhA8HeE8AeF8Jex/IvhFqmB/nBFjBTkB2qB8qB,v115@QhA8HeE8AeF8JeT/IvhFXjBmlBUnBCnBxpBlqB,v115@QhA8HeE8AeF8JeFCJvhFXjBxkB8qBWxBTpBiqB,v115@QhA8HeE8AeF8JeUBJvhFFjBxkBTnBikB3mBGqB
ILOSTZJ,O,O,X,X,X,O,X,X,X,X
ILOSJTZ,O,O,X,O,X,X,O,X,X,X
ILOSJZT,O,O,X,O,X,X,O,O,X,X
ILOSZTJ,O,O,X,X,X,O,X,X,X,X
ILOSZJT,O,O,X,X,X,X,X,O,X,X
ILOZTJS,O,X,O,O,X,X,X,X,X,X
ILOZTSJ,O,O,O,X,X,X,X,X,X,X
ILOZJTS,O,X,X,O,X,X,X,X,X,X
ILOZJST,O,X,X,O,X,X,X,O,X,X
ILOZSTJ,O,O,O,X,X,O,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,O,X,X
IJTLSZO,O,X,X,O,X,X,X,X,X,X
IJTLSOZ,O,X,X,O,X,X,X,X,X,X
IJTLZSO,O,X,O,O,X,X,X,X,X,X
IJTLZOS,O,X,O,O,X,X,X,X,X,X
IJTLOSZ,O,X,X,O,X,X,X,X,X,X
IJTLOZS,O,X,O,O,X,X,X,X,X,O
IJTSLZO,O,X,X,O,X,X,X,X,X,X
IJTSLOZ,O,X,X,O,X,X,O,X,X,X
IJTSZLO,O,X,X,X,X,X,X,X,O,X
IJTSZOL,X,X,X,X,X,X,X,O,O,X
IJTSOLZ,O,X,X,X,X,X,O,X,X,X
IJTSOZL,X,X,X,X,X,X,X,O,X,O
IJTZLSO,O,X,O,O,X,X,X,X,O,X
IJTZLOS,O,X,O,O,X,X,X,X,X,X
IJTZSLO,O,X,X,X,X,X,X,X,O,X
IJTZSOL,X,X,X,X,X,X,X,O,O,X
IJTZOLS,X,X,O,X,X,X,X,X,X,O
IJTZOSL,X,X,X,X,X,X,X,O,O,O
IJTOLSZ,O,X,X,O,X,X,X,X,X,X
IJTOLZS,O,X,O,O,X,X,X,X,X,O
IJTOSLZ,O,X,X,X,X,X,O,X,X,X
IJTOSZL,X,X,X,X,X,X,X,O,X,O
IJTOZLS,X,X,O,X,X,X,X,X,X,O
IJTOZSL,X,X,X,X,X,X,X,O,X,O
IJLTSZO,O,X,X,O,X,X,X,X,X,X
IJLTSOZ,O,X,X,O,X,X,X,X,X,X
IJLTZSO,O,X,X,O,X,X,X,X,X,X
IJLTZOS,O,X,X,O,X,X,X,X,X,X
IJLTOSZ,O,X,X,O,X,X,X,X,X,X
IJLTOZS,O,X,X,O,X,X,X,X,X,O
IJLSTZO,O,X,X,O,X,X,X,X,X,X
IJLSTOZ,O,X,X,O,X,X,O,X,X,X
IJLSZTO,O,X,X,O,X,X,X,X,X,X
IJLSZOT,O,X,X,O,X,X,X,O,X,X
IJLSOTZ,O,X,X,O,X,X,O,X,X,X
IJLSOZT,O,X,X,O,X,X,O,O,X,X
IJLZTSO,O,X,X,O,X,X,X,X,X,X
IJLZTOS,O,X,X,O,X,X,X,X,X,X
IJLZSTO,O,X,X,O,X,X,X,X,X,X
IJLZSOT,O,X,X,O,X,X,X,O,X,X
IJLZOTS,O,X,X,O,X,X,X,X,X,O
IJLZOST,O,X,X,O,X,X,X,O,X,X
IJLOTSZ,O,X,X,O,X,X,X,X,X,X
IJLOTZS,O,X,X,O,X,X,X,X,X,O
IJLOSTZ,O,X,X,O,X,X,O,X,X,X
IJLOSZT,O,X,X,O,X,X,O,O,X,X
IJLOZTS,O,X,X,O,X,X,X,X,X,O
IJLOZST,O,X,X,O,X,X,X,O,X,X
IJSTLZO,O,X,X,O,X,X,X,X,X,X
IJSTLOZ,O,X,X,O,X,X,O,X,X,X
IJSTZLO,O,X,X,X,X,X,X,X,O,X
IJSTZOL,X,X,X,X,X,O,X,O,O,X
IJSTOLZ,O,X,X,X,X,X,O,X,X,X
IJSTOZL,X,X,X,X,X,O,X,O,X,O
IJSLTZO,O,O,X,O,X,X,X,X,X,X
IJSLTOZ,O,O,X,O,X,X,O,X,X,X
IJSLZTO,O,O,X,O,X,X,X,X,X,X
IJSLZOT,O,O,X,O,X,X,X,O,X,X
IJSLOTZ,O,O,X,O,X,X,O,X,X,X
IJSLOZT,O,O,X,O,X,X,O,O,X,X
IJSZTLO,O,X,X,X,X,X,X,X,O,X
IJSZTOL,X,X,X,X,X,O,X,O,O,X
IJSZLTO,O,X,X,X,X,X,X,X,O,X
IJSZLOT,O,X,X,X,X,X,X,O,X,X
IJSZOTL,X,X,X,X,O,O,X,O,O,O
IJSZOLT,X,X,X,X,X,X,X,O,X,X
IJSOTLZ,O,X,X,X,X,X,O,X,X,X
IJSOTZL,X,X,X,X,O,O,X,O,X,O
IJSOLTZ,O,O,X,X,X,X,O,X,X,X
IJSOLZT,O,O,X,X,X,X,O,O,X,X
IJSOZTL,X,X,X,X,O,O,X,O,X,O
IJSOZLT,X,X,X,X,X,X,X,O,X,X
IJZTLSO,O,X,X,O,X,X,X,X,O,X
IJZTLOS,O,X,X,O,X,X,X,X,X,X
IJZTSLO,O,X,X,X,X,X,X,X,O,X
IJZTSOL,X,X,X,X,X,X,X,O,O,X
IJZTOLS,X,X,X,X,X,X,X,X,X,O
IJZTOSL,X,X,X,X,X,X,X,O,O,O
IJZLTSO,O,X,X,O,X,X,X,X,O,X
IJZLTOS,O,X,X,O,X,X,X,X,X,X
IJZLSTO,O,X,X,O,X,X,X,X,O,X
IJZLSOT,O,X,X,O,X,X,X,O,X,X
IJZLOTS,O,X,X,O,X,X,X,X,X,O
IJZLOST,O,X,X,O,X,X,X,O,X,X
IJZSTLO,O,X,X,X,X,X,X,X,O,X
IJZSTOL,X,X,X,X,X,O,X,O,O,X
IJZSLTO,O,X,X,X,X,X,X,X,O,X
IJZSLOT,O,X,X,X,X,X,X,O,X,X
IJZSOTL,X,X,X,X,O,O,X,O,O,O
IJZSOLT,X,X,X,X,X,X,X,O,X,X
IJZOTLS,X,X,X,X,O,X,X,X,X,O
IJZOTSL,X,X,X,X,O,X,X,O,O,O
IJZOLTS,X,X,X,X,X,X,X,X,X,O
IJZOLST,X,X,X,X,X,X,X,O,X,X
IJZOSTL,X,X,X,X,O,O,X,O,O,O
IJZOSLT,X,X,X,X,X,X,X,O,X,X
IJOTLSZ,O,X,X,O,X,X,X,X,X,X
IJOTLZS,O,X,O,O,X,X,X,X,X,O
IJOTSLZ,O,X,X,X,X,X,O,X,X,X
IJOTSZL,X,X,X,X,O,X,X,O,X,O
IJOTZLS,X,X,O,X,O,X,X,X,X,O
IJOTZSL,X,X,X,X,O,X,X,O,X,O
IJOLTSZ,O,X,X,O,X,X,X,X,X,X
IJOLTZS,O,X,X,O,X,X,X,X,X,O
IJOLSTZ,O,X,X,O,X,X,O,X,X,X
IJOLSZT,O,X,X,O,X,X,O,O,X,X
IJOLZTS,O,X,X,O,X,X,X,X,X,O
IJOLZST,O,X,X,O,X,X,X,O,X,X
IJOSTLZ,O,X,X,X,X,X,O,X,X,X
IJOSTZL,X,X,X,X,O,O,X,O,X,O
IJOSLTZ,O,O,X,X,X,X,O,X,X,X
IJOSLZT,O,O,X,X,X,X,O,O,X,X
IJOSZTL,X,X,X,X,O,O,X,O,X,O
IJOSZLT,X,X,X,X,X,X,X,O,X,X
IJOZTLS,X,X,X,X,O,X,X,X,X,O
IJOZTSL,X,X,X,X,O,X,X,O,X,O
IJOZLTS,X,X,X,X,X,X,X,X,X,O
IJOZLST,X,X,X,X,X,X,X,O,X,X
IJOZSTL,X,X,X,X,O,O,X,O,X,O
IJOZSLT,X,X,X,X,X,X,X,O,X,X
ISTLJZO,O,O,X,O,X,X,X,X,X,X
ISTLJOZ,O,O,X,O,X,X,O,X,X,X
ISTLZJO,O,O,O,X,X,X,X,X,X,X
ISTLZOJ,O,O,O,X,X,O,X,X,X,X
ISTLOJZ,O,O,X,O,X,X,O,X,X,X
ISTLOZJ,O,O,O,X,X,O,X,X,X,X
ISTJLZO,O,X,X,O,X,X,X,X,X,X
ISTJLOZ,O,X,X,O,X,X,O,X,X,X
ISTJZLO,O,X,X,X,X,X,X,X,O,X
ISTJZOL,X,X,X,X,X,O,X,O,O,X
ISTJOLZ,O,X,X,X,X,X,O,X,X,X
ISTJOZL,X,X,X,X,X,O,X,O,X,X
ISTZLJO,O,X,O,X,X,X,X,X,X,X
ISTZLOJ,O,X,O,X,O,O,X,X,X,X
ISTZJLO,O,X,X,X,X,X,X,X,X,X
ISTZJOL,X,X,X,X,O,O,X,O,X,X
ISTZOLJ,O,X,O,X,O,O,X,X,X,X
ISTZOJL,X,X,X,X,O,O,X,O,X,X
ISTOLJZ,O,O,X,X,X,X,O,X,X,X
ISTOLZJ,O,O,O,X,X,O,X,X,X,X
ISTOJLZ,O,X,X,X,X,X,O,X,X,X
ISTOJZL,X,X,X,X,O,O,X,O,X,X
ISTOZLJ,O,X,O,X,O,O,X,X,X,X
ISTOZJL,X,X,X,X,O,O,X,O,X,X
ISLTJZO,O,O,X,O,X,X,X,X,X,X
ISLTJOZ,O,O,X,O,X,X,O,X,X,X
ISLTZJO,O,O,X,X,X,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,O,X,X,X,X
ISLTOJZ,O,O,X,O,X,X,O,X,X,X
ISLTOZJ,O,O,X,X,X,O,X,X,X,X
ISLJTZO,O,O,X,O,X,X,X,X,X,X
ISLJTOZ,O,O,X,O,X,X,O,X,X,X
ISLJZTO,O,O,X,O,X,X,X,X,X,X
ISLJZOT,O,O,X,O,X,X,X,O,X,X
ISLJOTZ,O,O,X,O,X,X,O,X,X,X
ISLJOZT,O,O,X,O,X,X,O,O,X,X
ISLZTJO,O,O,X,X,X,X,X,X,X,X
ISLZTOJ,O,O,X,X,O,O,X,X,X,X
ISLZJTO,O,O,X,X,X,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X,X,O,X,X
ISLZOTJ,O,O,X,X,X,O,X,X,X,X
ISLZOJT,O,O,X,X,X,X,X,O,X,X
ISLOTJZ,O,O,X,O,X,X,O,X,X,X
ISLOTZJ,O,O,X,X,X,O,X,X,X,X
ISLOJTZ,O,O,X,O,X,X,O,X,X,X
ISLOJZT,O,O,X,O,X,X,O,O,X,X
ISLOZTJ,O,O,X,X,X,O,X,X,X,X
ISLOZJT,O,O,X,X,X,X,X,O,X,X
ISJTLZO,O,X,X,O,X,X,X,X,X,X
ISJTLOZ,O,X,X,O,X,X,O,X,X,X
ISJTZLO,O,X,X,X,X,X,X,X,O,X
ISJTZOL,X,X,X,X,X,O,X,O,O,X
ISJTOLZ,O,X,X,X,X,X,O,X,X,X
ISJTOZL,X,X,X,X,X,O,X,O,X,X
ISJLTZO,O,O,X,O,X,X,X,X,X,X
ISJLTOZ,O,O,X,O,X,X,O,X,X,X
ISJLZTO,O,O,X,O,X,X,X,X,X,X
ISJLZOT,O,O,X,O,X,X,X,O,X,X
ISJLOTZ,O,O,X,O,X,X,O,X,X,X
ISJLOZT,O,O,X,O,X,X,O,O,X,X
ISJZTLO,O,X,X,X,X,X,X,X,O,X
ISJZTOL,X,X,X,X,O,O,X,O,O,X
ISJZLTO,O,X,X,X,X,X,X,X,O,X
ISJZLOT,O,X,X,X,X,X,X,O,X,X
ISJZOTL,X,X,X,X,O,O,X,O,O,X
ISJZOLT,X,X,X,X,X,X,X,O,X,X
ISJOTLZ,O,X,X,X,X,X,O,X,X,X
ISJOTZL,X,X,X,X,O,O,X,O,X,X
ISJOLTZ,O,O,X,X,X,X,O,X,X,X
ISJOLZT,O,O,X,X,X,X,O,O,X,X
ISJOZTL,X,X,X,X,O,O,X,O,X,X
ISJOZLT,X,X,X,X,X,X,X,O,X,X
ISZTLJO,O,X,X,X,X,X,X,X,X,X
ISZTLOJ,O,X,X,X,O,O,X,X,X,X
ISZTJLO,O,X,X,X,X,X,X,X,O,X
ISZTJOL,X,X,X,X,O,O,X,O,O,X
ISZTOLJ,O,X,X,X,O,O,X,X,X,X
ISZTOJL,X,X,X,X,O,O,X,O,X,X
ISZLTJO,O,O,X,X,X,X,X,X,X,X
ISZLTOJ,O,O,X,X,O,O,X,X,X,X
ISZLJTO,O,O,X,X,X,X,X,X,O,X
ISZLJOT,O,O,X,X,X,X,X,O,X,X
ISZLOTJ,O,O,X,X,X,O,X,X,X,X
ISZLOJT,O,O,X,X,X,X,X,O,X,X
ISZJTLO,O,X,X,X,X,X,X,X,O,X
ISZJTOL,X,X,X,X,O,O,X,O,O,X
ISZJLTO,O,X,X,X,X,X,X,X,O,X
ISZJLOT,O,X,X,X,X,X,X,O,X,X
ISZJOTL,X,X,X,X,O,O,X,O,O,X
ISZJOLT,X,X,X,X,X,X,X,O,X,X
ISZOTLJ,O,X,X,X,O,O,X,X,X,X
ISZOTJL,X,X,X,X,O,O,X,O,X,X
ISZOLTJ,O,O,X,X,X,O,X,X,X,X
ISZOLJT,O,O,X,X,X,X,X,O,X,X
ISZOJTL,X,X,X,X,O,O,X,O,O,X
ISZOJLT,X,X,X,X,X,X,X,O,X,X
ISOTLJZ,O,O,X,X,X,X,O,X,X,X
ISOTLZJ,O,O,O,X,X,O,X,X,X,X
ISOTJLZ,O,X,X,X,X,X,O,X,X,X
ISOTJZL,X,X,X,X,O,O,X,O,X,X
ISOTZLJ,O,X,O,X,O,O,X,X,X,X
ISOTZJL,X,X,X,X,O,O,X,O,X,X
ISOLTJZ,O,O,X,X,X,X,O,X,X,X
ISOLTZJ,O,O,X,X,X,O,X,X,X,X
ISOLJTZ,O,O,X,X,X,X,O,X,X,X
ISOLJZT,O,O,X,X,X,X,O,O,X,X
ISOLZTJ,O,O,X,X,X,O,X,X,X,X
ISOLZJT,O,O,X,X,X,X,X,O,X,X
ISOJTLZ,O,X,X,X,X,X,O,X,X,X
ISOJTZL,X,X,X,X,O,O,X,O,X,X
ISOJLTZ,O,O,X,X,X,X,O,X,X,X
ISOJLZT,O,O,X,X,X,X,O,O,X,X
ISOJZTL,X,X,X,X,O,O,X,O,X,X
ISOJZLT,X,X,X,X,X,X,X,O,X,X
ISOZTLJ,O,X,X,X,O,O,X,X,X,X
ISOZTJL,X,X,X,X,O,O,X,O,X,X
ISOZLTJ,O,O,X,X,X,O,X,X,X,X
ISOZLJT,O,O,X,X,X,X,X,O,X,X
ISOZJTL,X,X,X,X,O,O,X,O,X,X
ISOZJLT,X,X,X,X,X,X,X,O,X,X
IZTLJSO,O,X,O,O,X,X,X,X,X,X
IZTLJOS,O,X,O,O,X,X,X,X,X,X
IZTLSJO,O,X,O,X,X,X,X,X,X,X
IZTLSOJ,O,X,O,X,O,X,X,X,X,X
IZTLOJS,O,X,O,O,O,X,X,X,X,X
IZTLOSJ,O,X,O,X,O,X,X,X,X,X
IZTJLSO,O,X,O,O,X,X,X,X,O,X
IZTJLOS,O,X,O,O,X,X,X,X,X,X
IZTJSLO,O,X,X,X,X,X,X,X,O,X
IZTJSOL,X,X,X,X,O,X,X,O,O,X
IZTJOLS,X,X,O,X,O,X,X,X,X,X
IZTJOSL,X,X,X,X,O,X,X,O,O,X
IZTSLJO,O,X,O,X,X,X,X,X,X,X
IZTSLOJ,O,X,O,X,O,O,X,X,X,X
IZTSJLO,O,X,X,X,X,X,X,X,O,X
IZTSJOL,X,X,X,X,O,O,X,O,O,X
IZTSOLJ,O,X,O,X,O,O,X,X,X,X
IZTSOJL,X,X,X,X,O,O,X,O,X,X
IZTOLJS,O,X,O,X,O,X,X,X,X,X
IZTOLSJ,O,X,O,X,O,X,X,X,X,X
IZTOJLS,X,X,O,X,O,X,X,X,X,X
IZTOJSL,X,X,X,X,O,X,X,O,X,X
IZTOSLJ,O,X,O,X,O,O,X,X,X,X
IZTOSJL,X,X,X,X,O,O,X,O,X,X
IZLTJSO,O,X,O,O,X,X,X,X,X,X
IZLTJOS,O,X,O,O,X,X,X,X,X,X
IZLTSJO,O,X,O,X,X,X,X,X,X,X
IZLTSOJ,O,X,O,X,O,X,X,X,X,X
IZLTOJS,O,X,O,O,O,X,X,X,X,X
IZLTOSJ,O,X,O,X,O,X,X,X,X,X
IZLJTSO,O,X,X,O,X,X,X,X,O,X
IZLJTOS,O,X,X,O,X,X,X,X,X,X
IZLJSTO,O,X,X,O,X,X,X,X,O,X
IZLJSOT,O,X,X,O,X,X,X,O,X,X
IZLJOTS,O,X,X,O,X,X,X,X,X,X
IZLJOST,O,X,X,O,X,X,X,O,X,X
IZLSTJO,O,X,O,X,X,X,X,X,X,X
IZLSTOJ,O,X,O,X,O,O,X,X,X,X
IZLSJTO,O,X,X,X,X,X,X,X,O,X
IZLSJOT,O,X,X,X,X,X,X,O,X,X
IZLSOTJ,O,X,O,X,X,O,X,X,X,X
IZLSOJT,O,X,X,X,X,X,X,O,X,X
IZLOTJS,O,X,O,O,X,X,X,X,X,X
IZLOTSJ,O,X,O,X,X,X,X,X,X,X
IZLOJTS,O,X,X,O,X,X,X,X,X,X
IZLOJST,O,X,X,O,X,X,X,O,X,X
IZLOSTJ,O,X,O,X,X,O,X,X,X,X
IZLOSJT,O,X,X,X,X,X,X,O,X,X
IZJTLSO,O,X,X,O,X,X,X,X,O,X
IZJTLOS,O,X,X,O,X,X,X,X,X,X
IZJTSLO,O,X,X,X,X,X,X,X,O,X
IZJTSOL,X,X,X,X,O,X,X,O,O,X
IZJTOLS,X,X,X,X,O,X,X,X,X,X
IZJTOSL,X,X,X,X,O,X,X,O,O,X
IZJLTSO,O,X,X,O,X,X,X,X,O,X
IZJLTOS,O,X,X,O,X,X,X,X,X,X
IZJLSTO,O,X,X,O,X,X,X,X,O,X
IZJLSOT,O,X,X,O,X,X,X,O,X,X
IZJLOTS,O,X,X,O,X,X,X,X,X,X
IZJLOST,O,X,X,O,X,X,X,O,X,X
IZJSTLO,O,X,X,X,X,X,X,X,O,X
IZJSTOL,X,X,X,X,O,O,X,O,O,X
IZJSLTO,O,X,X,X,X,X,X,X,O,X
IZJSLOT,O,X,X,X,X,X,X,O,X,X
IZJSOTL,X,X,X,X,O,O,X,O,O,X
IZJSOLT,X,X,X,X,X,X,X,O,X,X
IZJOTLS,X,X,X,X,O,X,X,X,X,X
IZJOTSL,X,X,X,X,O,X,X,O,O,X
IZJOLTS,X,X,X,X,X,X,X,X,X,X
IZJOLST,X,X,X,X,X,X,X,O,X,X
IZJOSTL,X,X,X,X,O,O,X,O,O,X
IZJOSLT,X,X,X,X,X,X,X,O,X,X
IZSTLJO,O,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,O,O,X,X,X,X
IZSTJLO,O,X,X,X,X,X,X,X,O,X
IZSTJOL,X,X,X,X,O,O,X,O,O,X
IZSTOLJ,O,X,X,X,O,O,X,X,X,X
IZSTOJL,X,X,X,X,O,O,X,O,X,X
IZSLTJO,O,O,O,X,X,X,X,X,X,X
IZSLTOJ,O,O,O,X,O,O,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,O,X
IZSLJOT,O,O,X,X,X,X,X,O,X,X
IZSLOTJ,O,O,O,X,X,O,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,O,X,X
IZSJTLO,O,X,X,X,X,X,X,X,O,X
IZSJTOL,X,X,X,X,O,O,X,O,O,X
IZSJLTO,O,X,X,X,X,X,X,X,O,X
IZSJLOT,O,X,X,X,X,X,X,O,X,X
IZSJOTL,X,X,X,X,O,O,X,O,O,X
IZSJOLT,X,X,X,X,X,X,X,O,X,X
IZSOTLJ,O,X,X,X,O,O,X,X,X,X
IZSOTJL,X,X,X,X,O,O,X,O,X,X
IZSOLTJ,O,O,O,X,X,O,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,O,X,X
IZSOJTL,X,X,X,X,O,O,X,O,O,X
IZSOJLT,X,X,X,X,X,X,X,O,X,X
IZOTLJS,O,X,O,X,O,X,X,X,X,X
IZOTLSJ,O,X,O,X,O,X,X,X,X,X
IZOTJLS,X,X,O,X,O,X,X,X,X,X
IZOTJSL,X,X,X,X,O,X,X,O,X,X
IZOTSLJ,O,X,O,X,O,O,X,X,X,X
IZOTSJL,X,X,X,X,O,O,X,O,X,X
IZOLTJS,O,X,O,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,X,X,X,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,X,O,X,X
IZOLSTJ,O,X,O,X,X,O,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,O,X,X
IZOJTLS,X,X,X,X,O,X,X,X,X,X
IZOJTSL,X,X,X,X,O,X,X,O,O,X
IZOJLTS,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,X,X,X,X,X,O,X,X
IZOJSTL,X,X,X,X,O,O,X,O,O,X
IZOJSLT,X,X,X,X,X,X,X,O,X,X
IZOSTLJ,O,X,X,X,O,O,X,X,X,X
IZOSTJL,X,X,X,X,O,O,X,O,X,X
IZOSLTJ,O,O,O,X,X,O,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X,O,X,X
IZOSJTL,X,X,X,X,O,O,X,O,O,X
IZOSJLT,X,X,X,X,X,X,X,O,X,X
IOTLJSZ,O,X,X,O,X,X,X,X,X,X
IOTLJZS,O,X,O,O,X,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,X,X,X,X
IOTLSZJ,O,X,O,X,X,X,X,X,X,X
IOTLZJS,O,X,O,O,X,X,X,X,X,X
IOTLZSJ,O,X,O,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,O,X,X,X,X,X,X
IOTJLZS,O,X,O,O,X,X,X,X,X,O
IOTJSLZ,O,X,X,X,X,X,O,X,X,X
IOTJSZL,X,X,X,X,O,X,X,O,X,O
IOTJZLS,X,X,O,X,O,X,X,X,X,O
IOTJZSL,X,X,X,X,O,X,X,O,X,O
IOTSLJZ,O,O,X,X,X,X,O,X,X,X
IOTSLZJ,O,O,O,X,X,O,X,X,X,X
IOTSJLZ,O,X,X,X,X,X,O,X,X,X
IOTSJZL,X,X,X,X,O,O,X,O,X,X
IOTSZLJ,O,X,O,X,O,O,X,X,X,X
IOTSZJL,X,X,X,X,O,O,X,O,X,X
IOTZLJS,O,X,O,X,O,X,X,X,X,X
IOTZLSJ,O,X,O,X,O,X,X,X,X,X
IOTZJLS,X,X,O,X,O,X,X,X,X,X
IOTZJSL,X,X,X,X,O,X,X,O,X,X
IOTZSLJ,O,X,O,X,O,O,X,X,X,X
IOTZSJL,X,X,X,X,O,O,X,O,X,X
IOLTJSZ,O,X,X,O,X,X,X,X,X,X
IOLTJZS,O,X,O,O,X,X,X,X,X,X
IOLTSJZ,O,O,X,O,X,X,X,X,X,X
IOLTSZJ,O,O,O,X,X,X,X,X,X,X
IOLTZJS,O,X,O,O,X,X,X,X,X,X
IOLTZSJ,O,O,O,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,O,X,X,X,X,X,X
IOLJTZS,O,X,X,O,X,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,X,O,X,X,X
IOLJSZT,O,X,X,O,X,X,O,O,X,X
IOLJZTS,O,X,X,O,X,X,X,X,X,X
IOLJZST,O,X,X,O,X,X,X,O,X,X
IOLSTJZ,O,O,X,O,X,X,O,X,X,X
IOLSTZJ,O,O,X,X,X,O,X,X,X,X
IOLSJTZ,O,O,X,O,X,X,O,X,X,X
IOLSJZT,O,O,X,O,X,X,O,O,X,X
IOLSZTJ,O,O,X,X,X,O,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X,O,X,X
IOLZTJS,O,X,O,O,X,X,X,X,X,X
IOLZTSJ,O,O,O,X,X,X,X,X,X,X
IOLZJTS,O,X,X,O,X,X,X,X,X,X
IOLZJST,O,X,X,O,X,X,X,O,X,X
IOLZSTJ,O,O,O,X,X,O,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X,O,X,X
IOJTLSZ,O,X,X,O,X,X,X,X,X,X
IOJTLZS,O,X,O,O,X,X,X,X,X,O
IOJTSLZ,O,X,X,X,X,X,O,X,X,X
IOJTSZL,X,X,X,X,O,X,X,O,X,O
IOJTZLS,X,X,O,X,O,X,X,X,X,O
IOJTZSL,X,X,X,X,O,X,X,O,X,O
IOJLTSZ,O,X,X,O,X,X,X,X,X,X
IOJLTZS,O,X,X,O,X,X,X,X,X,O
IOJLSTZ,O,X,X,O,X,X,O,X,X,X
IOJLSZT,O,X,X,O,X,X,O,O,X,X
IOJLZTS,O,X,X,O,X,X,X,X,X,O
IOJLZST,O,X,X,O,X,X,X,O,X,X
IOJSTLZ,O,X,X,X,X,X,O,X,X,X
IOJSTZL,X,X,X,X,O,O,X,O,X,O
IOJSLTZ,O,O,X,X,X,X,O,X,X,X
IOJSLZT,O,O,X,X,X,X,O,O,X,X
IOJSZTL,X,X,X,X,O,O,X,O,X,O
IOJSZLT,X,X,X,X,X,X,X,O,X,X
IOJZTLS,X,X,X,X,O,X,X,X,X,O
IOJZTSL,X,X,X,X,O,X,X,O,X,O
IOJZLTS,X,X,X,X,X,X,X,X,X,O
IOJZLST,X,X,X,X,X,X,X,O,X,X
IOJZSTL,X,X,X,X,O,O,X,O,X,O
IOJZSLT,X,X,X,X,X,X,X,O,X,X
IOSTLJZ,O,O,X,X,X,X,O,X,X,X
IOSTLZJ,O,O,O,X,X,O,X,X,X,X
IOSTJLZ,O,X,X,X,X,X,O,X,X,X
IOSTJZL,X,X,X,X,O,O,X,O,X,X
IOSTZLJ,O,X,O,X,O,O,X,X,X,X
IOSTZJL,X,X,X,X,O,O,X,O,X,X
IOSLTJZ,O,O,X,X,X,X,O,X,X,X
IOSLTZJ,O,O,X,X,X,O,X,X,X,X
IOSLJTZ,O,O,X,X,X,X,O,X,X,X
IOSLJZT,O,O,X,X,X,X,O,O,X,X
IOSLZTJ,O,O,X,X,X,O,X,X,X,X
IOSLZJT,O,O,X,X,X,X,X,O,X,X
IOSJTLZ,O,X,X,X,X,X,O,X,X,X
IOSJTZL,X,X,X,X,O,O,X,O,X,X
IOSJLTZ,O,O,X,X,X,X,O,X,X,X
IOSJLZT,O,O,X,X,X,X,O,O,X,X
IOSJZTL,X,X,X,X,O,O,X,O,X,X
IOSJZLT,X,X,X,X,X,X,X,O,X,X
IOSZTLJ,O,X,X,X,O,O,X,X,X,X
IOSZTJL,X,X,X,X,O,O,X,O,X,X
IOSZLTJ,O,O,X,X,X,O,X,X,X,X
IOSZLJT,O,O,X,X,X,X,X,O,X,X
IOSZJTL,X,X,X,X,O,O,X,O,X,X
IOSZJLT,X,X,X,X,X,X,X,O,X,X
IOZTLJS,O,X,O,X,O,X,X,X,X,X
IOZTLSJ,O,X,O,X,O,X,X,X,X,X
IOZTJLS,X,X,O,X,O,X,X,X,X,X
IOZTJSL,X,X,X,X,O,X,X,O,X,X
IOZTSLJ,O,X,O,X,O,O,X,X,X,X
IOZTSJL,X,X,X,X,O,O,X,O,X,X
IOZLTJS,O,X,O,X,X,X,X,X,X,X
IOZLTSJ,O,X,O,X,X,X,X,X,X,X
IOZLJTS,O,X,X,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,X,X,X,O,X,X
IOZLSTJ,O,X,O,X,X,O,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,O,X,X
IOZJTLS,X,X,X,X,O,X,X,X,X,X
