sequence,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFylBcnBTjBXrBFt?BurB,v115@HhB8HeD8FeC8CeB8AeA8Jem/IvhFzgBFiBXjBctBxr?BSwB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFylBFjBTnBctBXr?BurB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFlhB+oB/rBTnBat?B0qB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFGiBTjByrBFtB/r?B0qB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFSnBTjBmlB8rBFt?BXrB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFmlBSsBToB8rBXr?BFtB,v115@HhB8HeD8FeC8CeB8AeA8Jem/IvhFUiBToBxrBqqB/r?BFtB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhF0iB6oB3mBmsBlq?BTrB
IJSLOTZ,X,X,X,O,X,X,X,X,X
IJSLOZT,X,X,O,O,X,X,O,X,X
IJSZTLO,O,O,X,X,X,X,X,X,X
IJSZTOL,O,O,X,X,X,X,X,X,X
IJSZLTO,O,O,X,X,X,X,X,X,O
IJSZLOT,X,O,O,X,X,X,X,X,X
IJSZOTL,X,O,O,O,X,X,X,X,X
IJSZOLT,X,O,O,O,X,X,X,X,X
IJSOTLZ,X,X,X,O,X,X,X,X,X
IJSOTZL,X,O,X,O,X,X,X,X,X
IJSOLTZ,X,X,X,O,X,X,X,O,X
IJSOLZT,X,X,O,O,X,X,O,O,X
IJSOZTL,X,O,O,O,X,X,X,X,X
IJSOZLT,X,O,O,O,X,X,X,X,X
IJZTLSO,X,O,X,X,X,X,X,X,X
IJZTLOS,X,O,X,X,X,O,X,X,X
IJZTSLO,O,O,X,X,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X,X,X,X
IJZTOLS,X,O,X,X,X,O,X,X,X
IJZTOSL,O,O,O,X,X,X,X,X,X
IJZLTSO,X,O,X,X,X,X,X,X,X
IJZLTOS,X,O,X,X,X,X,X,X,X
IJZLSTO,X,O,X,X,X,X,X,X,O
IJZLSOT,X,O,O,X,X,X,X,X,X
IJZLOTS,X,O,X,X,X,X,O,X,X
IJZLOST,X,O,X,X,X,X,O,X,X
IJZSTLO,O,O,X,X,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X,X,O
IJZSLOT,X,O,O,X,X,X,X,X,X
IJZSOTL,X,O,O,O,X,X,X,X,X
IJZSOLT,X,O,O,O,X,X,X,X,X
IJZOTLS,X,O,X,X,X,X,X,X,X
IJZOTSL,X,O,O,X,X,X,X,X,X
IJZOLTS,X,O,X,X,X,X,O,X,X
IJZOLST,X,O,X,X,X,X,O,O,X
IJZOSTL,X,O,O,O,X,X,X,X,X
IJZOSLT,X,O,O,O,X,X,X,O,X
IJOTLSZ,X,X,X,X,X,O,X,O,X
IJOTLZS,X,O,X,X,X,O,O,X,X
IJOTSLZ,X,X,X,O,X,O,X,X,X
IJOTSZL,X,O,X,O,X,X,X,X,X
IJOTZLS,X,O,X,X,X,O,X,X,X
IJOTZSL,X,O,X,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,X,X,X,O,X
IJOLTZS,X,O,X,X,X,X,O,X,X
IJOLSTZ,X,X,X,O,X,X,X,O,X
IJOLSZT,X,X,X,O,X,X,O,O,X
IJOLZTS,X,O,X,X,X,X,O,X,X
IJOLZST,X,O,X,X,X,X,O,O,X
IJOSTLZ,X,X,X,O,X,X,X,X,X
IJOSTZL,X,O,X,O,X,X,X,X,X
IJOSLTZ,X,X,X,O,X,X,X,O,X
IJOSLZT,X,X,O,O,X,X,O,O,X
IJOSZTL,X,O,O,O,X,X,X,X,X
IJOSZLT,X,O,O,O,X,X,X,O,X
IJOZTLS,X,O,X,X,X,X,X,X,X
IJOZTSL,X,O,O,X,X,X,X,X,X
IJOZLTS,X,O,X,X,X,X,O,X,X
IJOZLST,X,O,X,X,X,X,O,O,X
IJOZSTL,X,O,O,O,X,X,X,X,X
IJOZSLT,X,O,O,O,X,X,X,O,X
ISTLJZO,O,X,X,X,O,X,X,X,X
ISTLJOZ,O,X,X,X,O,O,X,X,X
ISTLZJO,O,X,X,X,O,X,X,X,X
ISTLZOJ,O,X,O,X,O,X,X,X,X
ISTLOJZ,O,X,X,O,O,O,X,X,X
ISTLOZJ,O,X,O,X,O,X,X,X,X
ISTJLZO,O,X,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,O,X,X,X
ISTJZLO,O,O,X,X,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X,X,X
ISTJOLZ,O,X,X,O,X,O,X,X,X
ISTJOZL,O,O,X,O,X,X,X,X,X
ISTZLJO,O,O,X,X,X,X,X,X,X
ISTZLOJ,O,O,O,X,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X,X,X
ISTZOLJ,O,O,O,X,X,X,X,X,X
ISTZOJL,O,O,O,O,X,X,X,X,X
ISTOLJZ,O,X,X,O,O,O,X,X,X
ISTOLZJ,O,X,O,X,O,X,X,X,X
ISTOJLZ,O,X,X,O,X,O,X,X,X
ISTOJZL,O,O,X,O,X,X,X,X,X
ISTOZLJ,O,O,O,X,X,X,X,X,X
ISTOZJL,O,O,O,O,X,X,X,X,X
ISLTJZO,O,X,X,X,O,X,X,X,X
ISLTJOZ,O,X,X,X,O,X,X,X,X
ISLTZJO,O,X,X,X,O,X,X,X,X
ISLTZOJ,O,X,O,X,O,X,X,X,X
ISLTOJZ,O,X,X,O,O,X,X,X,X
ISLTOZJ,O,X,O,X,O,X,X,X,X
ISLJTZO,O,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,X
ISLJZTO,O,X,X,X,X,X,X,X,X
ISLJZOT,X,X,O,X,X,X,X,X,X
ISLJOTZ,X,X,X,O,X,X,X,X,X
ISLJOZT,X,X,O,O,X,X,O,X,X
ISLZTJO,O,X,X,X,X,X,X,X,X
ISLZTOJ,O,X,O,X,X,X,X,X,X
ISLZJTO,O,X,X,X,X,X,X,X,X
ISLZJOT,X,X,O,X,X,X,X,X,X
ISLZOTJ,O,X,O,X,X,X,X,X,X
ISLZOJT,X,X,O,X,X,X,X,X,X
ISLOTJZ,O,X,X,O,X,X,X,X,X
ISLOTZJ,O,X,O,X,X,X,X,X,X
ISLOJTZ,X,X,X,O,X,X,X,X,X
ISLOJZT,X,X,O,O,X,X,O,X,X
ISLOZTJ,O,X,O,X,X,X,X,X,X
ISLOZJT,X,X,O,X,X,X,X,X,X
ISJTLZO,O,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,O,X,X,X
ISJTZLO,O,O,X,X,X,X,X,X,X
ISJTZOL,O,O,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,O,X,O,X,X,X
ISJTOZL,O,O,X,O,X,X,X,X,X
ISJLTZO,O,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X,X
ISJLZTO,O,X,X,X,X,X,X,X,X
ISJLZOT,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,X,X,O,X,X,X,X,X
ISJLOZT,X,X,O,O,X,X,O,X,X
ISJZTLO,O,O,X,X,X,X,X,X,X
ISJZTOL,O,O,X,X,X,X,X,X,X
ISJZLTO,O,O,X,X,X,X,X,X,X
ISJZLOT,X,O,O,X,X,X,X,X,X
ISJZOTL,X,O,O,O,X,X,X,X,X
ISJZOLT,X,O,O,O,X,X,X,X,X
ISJOTLZ,X,X,X,O,X,X,X,X,X
ISJOTZL,X,O,X,O,X,X,X,X,X
ISJOLTZ,X,X,X,O,X,X,X,O,X
ISJOLZT,X,X,O,O,X,X,O,O,X
ISJOZTL,X,O,O,O,X,X,X,X,X
ISJOZLT,X,O,O,O,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X,X,X
ISZTOJL,O,O,O,O,X,X,X,X,X
ISZLTJO,O,O,X,X,X,X,X,X,X
ISZLTOJ,O,O,O,X,X,X,X,X,X
ISZLJTO,O,O,X,X,X,X,X,X,X
ISZLJOT,X,O,O,X,X,X,X,X,X
ISZLOTJ,O,O,O,X,X,X,X,X,X
ISZLOJT,X,O,O,X,X,X,X,X,X
ISZJTLO,O,O,X,X,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X,X,X
ISZJLTO,O,O,X,X,X,X,X,X,X
ISZJLOT,X,O,O,X,X,X,X,X,X
ISZJOTL,X,O,O,O,X,X,X,X,X
ISZJOLT,X,O,O,O,X,X,X,X,X
ISZOTLJ,O,O,O,X,X,X,X,O,X
ISZOTJL,O,O,O,O,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,X,O,X
ISZOLJT,X,O,O,X,X,X,X,O,X
ISZOJTL,X,O,O,O,X,X,X,X,X
ISZOJLT,X,O,O,O,X,X,X,O,X
ISOTLJZ,O,X,X,O,X,X,X,O,X
ISOTLZJ,O,X,O,X,X,X,X,O,X
ISOTJLZ,O,X,X,O,X,X,X,X,X
ISOTJZL,O,O,X,O,X,X,X,X,X
ISOTZLJ,O,O,O,X,X,X,X,O,X
ISOTZJL,O,O,O,O,X,X,X,X,X
ISOLTJZ,O,X,X,O,X,X,X,O,X
ISOLTZJ,O,X,O,X,X,X,X,O,X
ISOLJTZ,X,X,X,O,X,X,X,O,X
ISOLJZT,X,X,O,O,X,X,O,O,X
ISOLZTJ,O,X,O,X,X,X,X,O,X
ISOLZJT,X,X,O,X,X,X,X,O,X
ISOJTLZ,X,X,X,O,X,X,X,X,X
ISOJTZL,X,O,X,O,X,X,X,X,X
ISOJLTZ,X,X,X,O,X,X,X,O,X
ISOJLZT,X,X,O,O,X,X,O,O,X
ISOJZTL,X,O,O,O,X,X,X,X,X
ISOJZLT,X,O,O,O,X,X,X,O,X
ISOZTLJ,O,O,O,X,X,X,X,O,X
ISOZTJL,O,O,O,O,X,X,X,X,X
ISOZLTJ,O,O,O,X,X,X,X,O,X
ISOZLJT,X,O,O,X,X,X,X,O,X
ISOZJTL,X,O,O,O,X,X,X,X,X
ISOZJLT,X,O,O,O,X,X,X,O,X
IZTLJSO,X,O,X,X,O,X,X,X,X
IZTLJOS,X,O,X,X,O,O,X,X,X
IZTLSJO,O,O,X,X,O,X,X,X,X
IZTLSOJ,O,O,O,X,O,X,X,X,X
IZTLOJS,X,O,X,X,O,O,X,X,X
IZTLOSJ,O,O,O,X,O,X,X,X,X
IZTJLSO,X,O,X,X,X,X,X,X,X
IZTJLOS,X,O,X,X,X,O,X,X,X
IZTJSLO,O,O,X,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,X,X
IZTJOLS,X,O,X,X,X,O,X,X,X
IZTJOSL,O,O,O,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X,X
IZTSOLJ,O,O,O,X,X,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X,X
IZTOLJS,X,O,X,X,O,O,X,X,X
IZTOLSJ,O,O,O,X,O,X,X,X,X
IZTOJLS,X,O,X,X,X,O,X,X,X
IZTOJSL,O,O,O,X,X,X,X,X,X
IZTOSLJ,O,O,O,X,X,X,X,O,X
IZTOSJL,O,O,O,X,X,X,X,X,X
IZLTJSO,X,O,X,X,O,X,X,X,X
IZLTJOS,X,O,X,X,O,X,X,X,X
IZLTSJO,O,O,X,X,O,X,X,X,X
IZLTSOJ,O,O,O,X,O,X,X,X,X
IZLTOJS,X,O,X,X,O,X,X,X,X
IZLTOSJ,O,O,O,X,O,X,X,X,X
IZLJTSO,X,O,X,X,X,X,X,X,X
IZLJTOS,X,O,X,X,X,X,X,X,X
IZLJSTO,X,O,X,X,X,X,X,X,X
IZLJSOT,X,O,O,X,X,X,X,X,X
IZLJOTS,X,O,X,X,X,X,O,X,X
IZLJOST,X,O,X,X,X,X,O,X,X
IZLSTJO,O,O,X,X,X,X,X,X,X
IZLSTOJ,O,O,O,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X
IZLSJOT,X,O,O,X,X,X,X,X,X
IZLSOTJ,O,O,O,X,X,X,X,X,X
IZLSOJT,X,O,O,X,X,X,X,X,X
IZLOTJS,X,O,X,X,X,X,X,X,X
IZLOTSJ,X,O,O,X,X,X,X,X,X
IZLOJTS,X,O,X,X,X,X,O,X,X
IZLOJST,X,O,X,X,X,X,O,X,X
IZLOSTJ,X,O,O,X,X,X,X,O,X
IZLOSJT,X,O,O,X,X,X,X,O,X
IZJTLSO,X,O,X,X,X,X,X,X,X
IZJTLOS,X,O,X,X,X,O,X,X,X
IZJTSLO,O,O,X,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X,X,X
IZJTOLS,X,O,X,X,X,O,X,X,X
IZJTOSL,O,O,O,X,X,X,X,X,X
IZJLTSO,X,O,X,X,X,X,X,X,X
IZJLTOS,X,O,X,X,X,X,X,X,X
IZJLSTO,X,O,X,X,X,X,X,X,X
IZJLSOT,X,O,O,X,X,X,X,X,X
IZJLOTS,X,O,X,X,X,X,O,X,X
IZJLOST,X,O,X,X,X,X,O,X,X
IZJSTLO,O,O,X,X,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,X,X,X
IZJSLTO,O,O,X,X,X,X,X,X,X
IZJSLOT,X,O,O,X,X,X,X,X,X
IZJSOTL,X,O,O,O,X,X,X,X,X
IZJSOLT,X,O,O,O,X,X,X,X,X
IZJOTLS,X,O,X,X,X,X,X,X,X
IZJOTSL,X,O,O,X,X,X,X,X,X
IZJOLTS,X,O,X,X,X,X,O,X,X
IZJOLST,X,O,X,X,X,X,O,O,X
IZJOSTL,X,O,O,O,X,X,X,X,X
IZJOSLT,X,O,O,O,X,X,X,O,X
IZSTLJO,O,O,X,X,X,X,X,X,X
IZSTLOJ,O,O,O,X,X,X,X,X,X
IZSTJLO,O,O,X,X,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,X,X,X
IZSTOJL,O,O,O,O,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,X
IZSLTOJ,O,O,O,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X
IZSLJOT,X,O,O,X,X,X,X,X,X
IZSLOTJ,O,O,O,X,X,X,X,X,X
IZSLOJT,X,O,O,X,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,X,X,X
IZSJLOT,X,O,O,X,X,X,X,X,X
IZSJOTL,X,O,O,O,X,X,X,X,X
IZSJOLT,X,O,O,O,X,X,X,X,X
IZSOTLJ,O,O,O,X,X,X,X,O,X
IZSOTJL,O,O,O,O,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X,O,X
IZSOLJT,X,O,O,X,X,X,X,O,X
IZSOJTL,X,O,O,O,X,X,X,X,X
IZSOJLT,X,O,O,O,X,X,X,O,X
IZOTLJS,X,O,X,X,X,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,X,X
IZOTJLS,X,O,X,X,X,X,X,X,X
IZOTJSL,O,O,O,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,X,X,X,O,X
IZOTSJL,O,O,O,X,X,X,X,X,X
IZOLTJS,X,O,X,X,X,X,X,X,X
IZOLTSJ,X,O,O,X,X,X,X,X,X
IZOLJTS,X,O,X,X,X,X,O,X,X
IZOLJST,X,O,X,X,X,X,O,O,X
IZOLSTJ,X,O,O,X,X,X,X,O,X
IZOLSJT,X,O,O,X,X,X,X,O,X
IZOJTLS,X,O,X,X,X,X,X,X,X
IZOJTSL,X,O,O,X,X,X,X,X,X
IZOJLTS,X,O,X,X,X,X,O,X,X
IZOJLST,X,O,X,X,X,X,O,O,X
IZOJSTL,X,O,O,O,X,X,X,X,X
IZOJSLT,X,O,O,O,X,X,X,O,X
IZOSTLJ,O,O,O,X,X,X,X,O,X
IZOSTJL,O,O,O,O,X,X,X,X,X
IZOSLTJ,O,O,O,X,X,X,X,O,X
IZOSLJT,X,O,O,X,X,X,X,O,X
IZOSJTL,X,O,O,O,X,X,X,X,X
IZOSJLT,X,O,O,O,X,X,X,O,X
IOTLJSZ,O,X,X,X,O,O,X,O,X
IOTLJZS,X,O,X,X,O,O,O,X,X
IOTLSJZ,O,X,X,X,O,O,X,O,X
IOTLSZJ,O,X,X,X,O,X,X,O,X
IOTLZJS,X,O,X,X,O,O,X,X,X
IOTLZSJ,O,O,X,X,O,X,X,X,X
IOTJLSZ,O,X,X,X,O,O,X,O,X
IOTJLZS,X,O,X,X,O,O,O,X,X
IOTJSLZ,O,X,X,O,X,O,X,X,X
IOTJSZL,O,O,X,O,X,X,X,X,X
IOTJZLS,X,O,X,X,X,O,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,O,O,O,X,O,X
IOTSLZJ,O,X,O,X,O,X,X,O,X
IOTSJLZ,O,X,X,O,X,O,X,X,X
IOTSJZL,O,O,X,O,X,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,X,O,X
IOTSZJL,O,O,O,O,X,X,X,X,X
IOTZLJS,X,O,X,X,O,O,X,X,X
IOTZLSJ,O,O,O,X,O,X,X,X,X
IOTZJLS,X,O,X,X,X,O,X,X,X
IOTZJSL,O,O,O,X,X,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,X,O,X
IOTZSJL,O,O,O,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,O,X,X,O,X
IOLTJZS,X,O,X,X,O,X,O,X,X
IOLTSJZ,O,X,X,X,O,X,X,O,X
IOLTSZJ,O,X,X,X,O,X,X,O,X
IOLTZJS,X,O,X,X,O,X,X,X,X
IOLTZSJ,O,O,X,X,O,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,X
IOLJTZS,X,O,X,X,X,X,O,X,X
IOLJSTZ,X,X,X,O,X,X,X,O,X
IOLJSZT,X,X,X,O,X,X,O,O,X
IOLJZTS,X,O,X,X,X,X,O,X,X
IOLJZST,X,O,X,X,X,X,O,O,X
IOLSTJZ,O,X,X,O,X,X,X,O,X
IOLSTZJ,O,X,O,X,X,X,X,O,X
IOLSJTZ,X,X,X,O,X,X,X,O,X
IOLSJZT,X,X,O,O,X,X,O,O,X
IOLSZTJ,O,X,O,X,X,X,X,O,X
IOLSZJT,X,X,O,X,X,X,X,O,X
IOLZTJS,X,O,X,X,X,X,X,X,X
IOLZTSJ,X,O,O,X,X,X,X,X,X
IOLZJTS,X,O,X,X,X,X,O,X,X
IOLZJST,X,O,X,X,X,X,O,O,X
IOLZSTJ,X,O,O,X,X,X,X,O,X
IOLZSJT,X,O,O,X,X,X,X,O,X
IOJTLSZ,X,X,X,X,X,O,X,O,X
IOJTLZS,X,O,X,X,X,O,O,X,X
IOJTSLZ,X,X,X,O,X,O,X,X,X
IOJTSZL,X,O,X,O,X,X,X,X,X
IOJTZLS,X,O,X,X,X,O,X,X,X
IOJTZSL,X,O,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,O,X
IOJLTZS,X,O,X,X,X,X,O,X,X
IOJLSTZ,X,X,X,O,X,X,X,O,X
IOJLSZT,X,X,X,O,X,X,O,O,X
IOJLZTS,X,O,X,X,X,X,O,X,X
IOJLZST,X,O,X,X,X,X,O,O,X
IOJSTLZ,X,X,X,O,X,X,X,X,X
IOJSTZL,X,O,X,O,X,X,X,X,X
IOJSLTZ,X,X,X,O,X,X,X,O,X
IOJSLZT,X,X,O,O,X,X,O,O,X
IOJSZTL,X,O,O,O,X,X,X,X,X
IOJSZLT,X,O,O,O,X,X,X,O,X
IOJZTLS,X,O,X,X,X,X,X,X,X
IOJZTSL,X,O,O,X,X,X,X,X,X
IOJZLTS,X,O,X,X,X,X,O,X,X
IOJZLST,X,O,X,X,X,X,O,O,X
IOJZSTL,X,O,O,O,X,X,X,X,X
IOJZSLT,X,O,O,O,X,X,X,O,X
IOSTLJZ,O,X,X,O,X,X,X,O,X
IOSTLZJ,O,X,O,X,X,X,X,O,X
IOSTJLZ,O,X,X,O,X,X,X,X,X
IOSTJZL,O,O,X,O,X,X,X,X,X
IOSTZLJ,O,O,O,X,X,X,X,O,X
IOSTZJL,O,O,O,O,X,X,X,X,X
IOSLTJZ,O,X,X,O,X,X,X,O,X
IOSLTZJ,O,X,O,X,X,X,X,O,X
IOSLJTZ,X,X,X,O,X,X,X,O,X
IOSLJZT,X,X,O,O,X,X,O,O,X
IOSLZTJ,O,X,O,X,X,X,X,O,X
IOSLZJT,X,X,O,X,X,X,X,O,X
IOSJTLZ,X,X,X,O,X,X,X,X,X
IOSJTZL,X,O,X,O,X,X,X,X,X
IOSJLTZ,X,X,X,O,X,X,X,O,X
IOSJLZT,X,X,O,O,X,X,O,O,X
IOSJZTL,X,O,O,O,X,X,X,X,X
IOSJZLT,X,O,O,O,X,X,X,O,X
IOSZTLJ,O,O,O,X,X,X,X,O,X
IOSZTJL,O,O,O,O,X,X,X,X,X
IOSZLTJ,O,O,O,X,X,X,X,O,X
IOSZLJT,X,O,O,X,X,X,X,O,X
IOSZJTL,X,O,O,O,X,X,X,X,X
IOSZJLT,X,O,O,O,X,X,X,O,X
IOZTLJS,X,O,X,X,X,X,X,X,X
IOZTLSJ,O,O,O,X,X,X,X,X,X
IOZTJLS,X,O,X,X,X,X,X,X,X
IOZTJSL,O,O,O,X,X,X,X,X,X
IOZTSLJ,O,O,O,X,X,X,X,O,X
IOZTSJL,O,O,O,X,X,X,X,X,X
IOZLTJS,X,O,X,X,X,X,X,X,X
IOZLTSJ,X,O,O,X,X,X,X,X,X
IOZLJTS,X,O,X,X,X,X,O,X,X
IOZLJST,X,O,X,X,X,X,O,O,X
IOZLSTJ,X,O,O,X,X,X,X,O,X
IOZLSJT,X,O,O,X,X,X,X,O,X
IOZJTLS,X,O,X,X,X,X,X,X,X
IOZJTSL,X,O,O,X,X,X,X,X,X
IOZJLTS,X,O,X,X,X,X,O,X,X
IOZJLST,X,O,X,X,X,X,O,O,X
IOZJSTL,X,O,O,O,X,X,X,X,X
IOZJSLT,X,O,O,O,X,X,X,O,X
IOZSTLJ,O,O,O,X,X,X,X,O,X
IOZSTJL,O,O,O,O,X,X,X,X,X
IOZSLTJ,O,O,O,X,X,X,X,O,X
IOZSLJT,X,O,O,X,X,X,X,O,X
IOZSJTL,X,O,O,O,X,X,X,X,X
IOZSJLT,X,O,O,O,X,X,X,O,X
LTIJSZO,O,X,X,X,O,X,X,X,X
LTIJSOZ,O,X,X,X,O,O,X,X,X
LTIJZSO,X,X,X,X,O,X,X,X,X
LTIJZOS,X,X,X,X,O,O,X,X,X
LTIJOSZ,O,X,X,X,O,O,X,X,X
LTIJOZS,X,X,X,X,O,O,O,X,X
LTISJZO,O,X,X,X,O,X,X,X,X
LTISJOZ,O,X,X,X,O,O,X,X,X
LTISZJO,O,X,X,X,O,X,X,X,X
LTISZOJ,O,X,O,X,O,X,X,X,X
LTISOJZ,O,X,X,X,O,O,X,X,X
LTISOZJ,O,X,O,X,O,X,X,X,X
LTIZJSO,X,X,X,X,O,X,X,X,X
LTIZJOS,X,X,X,X,O,O,X,X,X
LTIZSJO,O,X,X,X,O,X,X,X,X
LTIZSOJ,O,X,O,X,O,X,X,X,X
LTIZOJS,X,X,X,X,O,O,X,X,X
LTIZOSJ,O,X,X,X,O,X,X,X,X
LTIOJSZ,O,X,X,X,O,O,X,X,X
LTIOJZS,X,X,X,X,O,O,O,X,X
LTIOSJZ,O,X,X,X,O,O,X,X,X
LTIOSZJ,O,X,X,X,O,X,X,X,X
LTIOZJS,X,X,X,X,O,O,X,X,X
LTIOZSJ,O,X,X,X,O,X,X,X,X
LTJISZO,O,X,X,X,O,X,X,X,X
LTJISOZ,O,X,X,X,O,O,X,X,X
LTJIZSO,X,X,X,X,O,X,X,X,X
LTJIZOS,X,X,X,X,O,O,X,X,X
LTJIOSZ,O,X,X,X,O,O,X,X,X
LTJIOZS,X,X,X,X,O,O,O,X,X
LTJSIZO,O,X,X,X,O,X,X,X,O
LTJSIOZ,O,X,X,X,O,O,X,X,O
LTJSZIO,O,X,X,X,O,X,X,X,O
LTJSZOI,O,X,X,X,O,X,X,X,O
LTJSOIZ,O,X,X,X,O,O,X,X,O
LTJSOZI,O,X,X,X,O,O,X,X,O
LTJZISO,X,X,X,X,O,X,X,X,X
LTJZIOS,X,X,X,X,O,O,X,X,X
LTJZSIO,X,X,X,X,O,X,X,X,O
LTJZSOI,X,X,X,X,O,X,X,X,O
LTJZOIS,X,X,X,X,O,O,X,X,X
LTJZOSI,X,X,X,X,O,O,X,X,X
LTJOISZ,O,X,X,X,O,O,X,X,X
LTJOIZS,X,X,X,X,O,O,O,X,X
LTJOSIZ,O,X,X,X,O,O,X,X,X
LTJOSZI,O,X,X,X,O,O,X,X,X
LTJOZIS,X,X,X,X,O,O,O,X,X
LTJOZSI,X,X,X,X,O,O,O,X,X
LTSIJZO,O,X,X,X,O,X,X,X,X
LTSIJOZ,O,X,X,X,O,O,X,X,X
LTSIZJO,O,X,X,X,O,X,X,X,X
LTSIZOJ,O,X,O,X,O,X,X,X,X
LTSIOJZ,O,X,X,X,O,O,X,X,X
LTSIOZJ,O,X,O,X,O,X,X,X,X
LTSJIZO,O,X,X,X,O,X,X,X,X
LTSJIOZ,O,X,X,X,O,O,X,X,X
LTSJZIO,O,X,X,X,O,X,X,X,X
LTSJZOI,O,X,X,X,O,X,X,X,X
LTSJOIZ,O,X,X,X,O,O,X,X,X
LTSJOZI,O,X,X,X,O,O,X,X,X
LTSZIJO,O,X,X,X,O,X,X,X,X
LTSZIOJ,O,X,O,X,O,X,X,X,X
LTSZJIO,O,X,X,X,O,X,X,X,X
LTSZJOI,O,X,X,X,O,X,X,X,X
LTSZOIJ,O,X,O,X,O,X,X,X,X
LTSZOJI,O,X,O,X,O,X,X,X,X
LTSOIJZ,O,X,X,X,O,O,X,X,X
LTSOIZJ,O,X,O,X,O,X,X,X,X
LTSOJIZ,O,X,X,X,O,O,X,X,X
LTSOJZI,O,X,X,X,O,O,X,X,X
LTSOZIJ,O,X,O,X,O,X,X,X,X
LTSOZJI,O,X,O,X,O,X,X,X,X
LTZIJSO,X,X,X,X,O,X,X,X,X
LTZIJOS,X,X,X,X,O,O,X,X,X
LTZISJO,O,X,X,X,O,X,X,X,X
LTZISOJ,O,X,O,X,O,X,X,X,X
LTZIOJS,X,X,X,X,O,O,X,X,X
LTZIOSJ,O,X,X,X,O,X,X,X,X
LTZJISO,X,X,X,X,O,X,X,X,X
LTZJIOS,X,X,X,X,O,O,X,X,X
LTZJSIO,X,X,X,X,O,X,X,X,X
LTZJSOI,X,X,X,X,O,X,X,X,X
LTZJOIS,X,X,X,X,O,O,X,X,X
LTZJOSI,X,X,X,X,O,O,X,X,X
LTZSIJO,O,X,X,X,O,X,X,X,X
LTZSIOJ,O,X,O,X,O,X,X,X,X
LTZSJIO,O,X,X,X,O,X,X,X,X
LTZSJOI,O,X,X,X,O,X,X,X,X
LTZSOIJ,O,X,O,X,O,X,X,X,X
LTZSOJI,O,X,O,X,O,X,X,X,X
LTZOIJS,X,X,X,X,O,O,X,X,X
LTZOISJ,O,X,X,X,O,X,X,X,X
LTZOJIS,X,X,X,X,O,O,X,X,X
