sequence,v115@PhA8BeB8EeA8AeE8AeA8AeB8JeOEJvhFXgB8lBzhB5?nB6oBlrB,v115@PhA8BeB8EeA8AeE8AeA8AeB8JeOEJvhFXgBlhB5nB6?oBzlB8rB
TZLOJSI,O,O
TZLOSIJ,O,O
TZLOSJI,O,O
TZJILSO,O,O
TZJILOS,O,O
TZJISLO,O,O
TZJISOL,O,O
TZJIOLS,O,O
TZJIOSL,O,O
TZJLISO,O,O
TZJLIOS,O,O
TZJLSIO,O,O
TZJLSOI,O,O
TZJLOIS,O,O
TZJLOSI,O,O
TZJSILO,O,O
TZJSIOL,O,O
TZJSLIO,O,O
TZJSLOI,O,O
TZJSOIL,O,O
TZJSOLI,O,O
TZJOILS,O,O
TZJOISL,O,O
TZJOLIS,O,O
TZJOLSI,O,O
TZJOSIL,O,O
TZJOSLI,O,O
TZSILJO,O,O
TZSILOJ,O,O
TZSIJLO,O,O
TZSIJOL,O,O
TZSIOLJ,O,O
TZSIOJL,O,O
TZSLIJO,O,O
TZSLIOJ,O,O
TZSLJIO,O,O
TZSLJOI,O,O
TZSLOIJ,O,O
TZSLOJI,O,O
TZSJILO,O,O
TZSJIOL,O,O
TZSJLIO,O,O
TZSJLOI,O,O
TZSJOIL,O,O
TZSJOLI,O,O
TZSOILJ,O,O
TZSOIJL,O,O
TZSOLIJ,O,O
TZSOLJI,O,O
TZSOJIL,O,O
TZSOJLI,O,O
TZOILJS,O,O
TZOILSJ,O,O
TZOIJLS,O,O
TZOIJSL,O,O
TZOISLJ,O,O
TZOISJL,O,O
TZOLIJS,O,O
TZOLISJ,O,O
TZOLJIS,O,O
TZOLJSI,O,O
TZOLSIJ,O,O
TZOLSJI,O,O
TZOJILS,O,O
TZOJISL,O,O
TZOJLIS,O,O
TZOJLSI,O,O
TZOJSIL,O,O
TZOJSLI,O,O
TZOSILJ,O,O
TZOSIJL,O,O
TZOSLIJ,O,O
TZOSLJI,O,O
TZOSJIL,O,O
TZOSJLI,O,O
TOILJSZ,O,O
TOILJZS,O,O
TOILSJZ,O,O
TOILSZJ,O,O
TOILZJS,O,O
TOILZSJ,O,O
TOIJLSZ,O,O
TOIJLZS,O,O
TOIJSLZ,O,O
TOIJSZL,O,O
TOIJZLS,O,O
TOIJZSL,O,O
TOISLJZ,O,O
TOISLZJ,O,O
TOISJLZ,O,O
TOISJZL,O,O
TOISZLJ,O,O
TOISZJL,O,O
TOIZLJS,O,O
TOIZLSJ,O,O
TOIZJLS,O,O
TOIZJSL,O,O
TOIZSLJ,O,O
TOIZSJL,O,O
TOLIJSZ,O,O
TOLIJZS,O,O
TOLISJZ,O,O
TOLISZJ,O,O
TOLIZJS,O,O
TOLIZSJ,O,O
TOLJISZ,O,O
TOLJIZS,O,O
TOLJSIZ,O,O
TOLJSZI,O,O
TOLJZIS,O,O
TOLJZSI,O,O
TOLSIJZ,O,O
TOLSIZJ,O,O
TOLSJIZ,O,O
TOLSJZI,O,O
TOLSZIJ,O,O
TOLSZJI,O,O
TOLZIJS,O,O
TOLZISJ,O,O
TOLZJIS,O,O
TOLZJSI,O,O
TOLZSIJ,O,O
TOLZSJI,O,O
TOJILSZ,O,O
TOJILZS,O,O
TOJISLZ,O,O
TOJISZL,O,O
TOJIZLS,O,O
TOJIZSL,O,O
TOJLISZ,O,O
TOJLIZS,O,O
TOJLSIZ,O,O
TOJLSZI,O,O
TOJLZIS,O,O
TOJLZSI,O,O
TOJSILZ,O,O
TOJSIZL,O,O
TOJSLIZ,O,O
TOJSLZI,O,O
TOJSZIL,O,O
TOJSZLI,O,O
TOJZILS,O,O
TOJZISL,O,O
TOJZLIS,O,O
TOJZLSI,O,O
TOJZSIL,O,O
TOJZSLI,O,O
TOSILJZ,O,O
TOSILZJ,O,O
TOSIJLZ,O,O
TOSIJZL,O,O
TOSIZLJ,O,O
TOSIZJL,O,O
TOSLIJZ,O,O
TOSLIZJ,O,O
TOSLJIZ,O,O
TOSLJZI,O,O
TOSLZIJ,O,O
TOSLZJI,O,O
TOSJILZ,O,O
TOSJIZL,O,O
TOSJLIZ,O,O
TOSJLZI,O,O
TOSJZIL,O,O
TOSJZLI,O,O
TOSZILJ,O,O
TOSZIJL,O,O
TOSZLIJ,O,O
TOSZLJI,O,O
TOSZJIL,O,O
TOSZJLI,O,O
TOZILJS,O,O
TOZILSJ,O,O
TOZIJLS,O,O
TOZIJSL,O,O
TOZISLJ,O,O
TOZISJL,O,O
TOZLIJS,O,O
TOZLISJ,O,O
TOZLJIS,O,O
TOZLJSI,O,O
TOZLSIJ,O,O
TOZLSJI,O,O
TOZJILS,O,O
TOZJISL,O,O
TOZJLIS,O,O
TOZJLSI,O,O
TOZJSIL,O,O
TOZJSLI,O,O
TOZSILJ,O,O
TOZSIJL,O,O
TOZSLIJ,O,O
TOZSLJI,O,O
TOZSJIL,O,O
TOZSJLI,O,O
ITLJSZO,O,O
ITLJSOZ,O,O
ITLJZSO,O,O
ITLJZOS,O,O
ITLJOSZ,O,O
ITLJOZS,O,O
ITLSJZO,O,O
ITLSJOZ,O,O
ITLSZJO,O,O
ITLSZOJ,O,O
ITLSOJZ,O,O
ITLSOZJ,O,O
ITLZJSO,O,O
ITLZJOS,O,O
ITLZSJO,O,O
ITLZSOJ,O,O
ITLZOJS,O,O
ITLZOSJ,O,O
ITLOJSZ,O,O
ITLOJZS,O,O
ITLOSJZ,O,O
ITLOSZJ,O,O
ITLOZJS,O,O
ITLOZSJ,O,O
ITJLSZO,O,O
ITJLSOZ,O,O
ITJLZSO,O,O
ITJLZOS,O,O
ITJLOSZ,O,O
ITJLOZS,O,O
ITJSLZO,O,O
ITJSLOZ,O,O
ITJSZLO,O,O
ITJSZOL,O,O
ITJSOLZ,O,O
ITJSOZL,O,O
ITJZLSO,O,O
ITJZLOS,O,O
ITJZSLO,O,O
ITJZSOL,O,O
ITJZOLS,O,O
ITJZOSL,O,O
ITJOLSZ,O,O
ITJOLZS,O,O
ITJOSLZ,O,O
ITJOSZL,O,O
ITJOZLS,O,O
ITJOZSL,O,O
ITSLJZO,O,O
ITSLJOZ,O,O
ITSLZJO,O,O
ITSLZOJ,O,O
ITSLOJZ,O,O
ITSLOZJ,O,O
ITSJLZO,O,O
ITSJLOZ,O,O
ITSJZLO,O,O
ITSJZOL,O,O
ITSJOLZ,O,O
ITSJOZL,O,O
ITSZLJO,O,O
ITSZLOJ,O,O
ITSZJLO,O,O
ITSZJOL,O,O
ITSZOLJ,O,O
ITSZOJL,O,O
ITSOLJZ,O,O
ITSOLZJ,O,O
ITSOJLZ,O,O
ITSOJZL,O,O
ITSOZLJ,O,O
ITSOZJL,O,O
ITZLJSO,O,O
ITZLJOS,O,O
ITZLSJO,O,O
ITZLSOJ,O,O
ITZLOJS,O,O
ITZLOSJ,O,O
ITZJLSO,O,O
ITZJLOS,O,O
ITZJSLO,O,O
ITZJSOL,O,O
