sequence,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBRhBGjB8sB3rBFsB,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBGhBcoBXnBlnBxwB,v115@KhB8GeC8DeE8DeB8JeRBJvhF3iBcoBlkB+rBikBTsB,v115@KhB8GeC8DeE8DeB8JeGBJvhFTjBlkB0nBikBXnBxwB,v115@KhB8GeC8DeE8DeB8Jei/IvhFRhBTjB3kB+rBlsBcsB,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBRhBcoBFsBusB3rB,v115@KhB8GeC8DeE8DeB8JeGBJvhFTjBikBXnBlkB0nBxwB,v115@KhB8GeC8DeE8DeB8Jem/IvhFxiBTkBXoBUsBCsBFrB,v115@KhB8GeC8DeE8DeB8Jei/IvhFTjB3kBFnBGmB0nBxwB
IJSZLOT,O,O,X,X,X,X,O,X,X
IJSZOTL,X,X,O,O,X,X,X,X,X
IJSZOLT,O,O,X,X,X,X,O,X,X
IJSOTLZ,X,X,X,X,O,X,O,X,O
IJSOTZL,X,X,O,O,O,X,X,X,X
IJSOLTZ,O,O,X,X,O,X,O,X,O
IJSOLZT,O,O,X,X,X,X,O,X,X
IJSOZTL,X,X,O,O,X,X,X,X,X
IJSOZLT,X,O,O,X,X,X,O,X,X
IJZTLSO,X,O,O,X,X,X,X,X,X
IJZTLOS,O,O,X,O,X,X,X,X,X
IJZTSLO,X,O,O,X,X,X,X,X,X
IJZTSOL,X,X,O,O,X,X,X,X,X
IJZTOLS,X,X,O,O,X,X,X,X,X
IJZTOSL,X,X,O,O,X,X,X,X,X
IJZLTSO,X,O,O,X,X,X,X,X,X
IJZLTOS,O,O,X,O,X,X,X,X,X
IJZLSTO,O,O,O,X,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,O,X,X
IJZLOTS,O,O,X,O,X,X,X,X,X
IJZLOST,O,O,X,X,X,X,O,X,X
IJZSTLO,O,O,O,X,X,X,X,X,X
IJZSTOL,X,X,O,O,X,X,X,X,X
IJZSLTO,O,O,O,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,O,X,X
IJZSOTL,X,X,O,O,X,X,X,X,X
IJZSOLT,O,O,X,X,X,X,O,X,X
IJZOTLS,X,X,O,O,X,X,X,X,X
IJZOTSL,X,X,O,O,X,X,X,X,X
IJZOLTS,O,O,O,O,X,X,X,X,X
IJZOLST,O,O,O,X,X,X,O,X,X
IJZOSTL,X,X,O,O,X,X,X,X,X
IJZOSLT,X,O,O,X,X,X,O,X,X
IJOTLSZ,X,X,X,X,X,X,O,X,X
IJOTLZS,X,X,O,O,X,X,X,X,X
IJOTSLZ,X,X,X,X,O,X,O,X,O
IJOTSZL,X,X,O,O,O,X,X,X,X
IJOTZLS,X,X,O,O,X,X,X,X,X
IJOTZSL,X,X,O,O,X,X,X,X,X
IJOLTSZ,O,O,X,X,X,X,O,X,X
IJOLTZS,O,O,O,O,X,X,X,X,X
IJOLSTZ,O,O,X,X,X,X,O,X,X
IJOLSZT,O,O,X,X,X,X,O,X,X
IJOLZTS,O,O,O,O,X,X,X,X,X
IJOLZST,O,O,O,X,X,X,O,X,X
IJOSTLZ,X,X,X,X,O,X,O,X,O
IJOSTZL,X,X,O,O,O,X,X,X,X
IJOSLTZ,X,O,X,X,O,X,O,X,O
IJOSLZT,X,O,X,X,X,X,O,X,X
IJOSZTL,X,X,O,O,X,X,X,X,X
IJOSZLT,X,O,O,X,X,X,O,X,X
IJOZTLS,X,X,O,O,X,X,X,X,X
IJOZTSL,X,X,O,O,X,X,X,X,X
IJOZLTS,X,O,O,O,X,X,X,X,X
IJOZLST,X,O,O,X,X,X,O,X,X
IJOZSTL,X,X,O,O,X,X,X,X,X
IJOZSLT,X,O,O,X,X,X,O,X,X
ISTLJZO,X,O,X,X,O,X,X,X,X
ISTLJOZ,O,O,X,X,O,X,O,X,O
ISTLZJO,O,O,X,X,X,O,X,X,X
ISTLZOJ,O,O,X,X,X,O,X,X,O
ISTLOJZ,O,O,X,X,O,X,O,X,O
ISTLOZJ,O,O,X,X,X,O,X,X,O
ISTJLZO,X,O,X,X,O,X,X,X,X
ISTJLOZ,O,O,X,X,O,X,O,X,O
ISTJZLO,X,O,O,X,O,X,X,X,X
ISTJZOL,X,X,O,O,O,X,X,X,X
ISTJOLZ,X,X,X,X,O,X,O,X,O
ISTJOZL,X,X,O,O,O,X,X,X,X
ISTZLJO,O,O,X,X,X,O,X,X,X
ISTZLOJ,O,O,X,X,X,O,X,X,O
ISTZJLO,O,O,O,X,X,X,X,X,X
ISTZJOL,X,X,O,O,X,X,X,X,X
ISTZOLJ,X,X,X,X,X,X,X,X,O
ISTZOJL,X,X,X,O,X,X,X,X,X
ISTOLJZ,X,X,X,X,O,X,O,X,O
ISTOLZJ,X,X,X,X,X,X,X,X,O
ISTOJLZ,X,X,X,X,O,X,O,X,O
ISTOJZL,X,X,X,O,O,X,X,X,X
ISTOZLJ,X,X,X,X,X,X,X,X,O
ISTOZJL,X,X,X,O,X,X,X,X,X
ISLTJZO,X,O,X,X,O,X,X,X,X
ISLTJOZ,O,O,X,X,O,X,O,X,O
ISLTZJO,O,O,X,X,X,O,X,X,X
ISLTZOJ,O,O,X,X,X,O,X,X,O
ISLTOJZ,O,O,X,X,O,X,O,X,O
ISLTOZJ,O,O,X,X,X,O,X,X,O
ISLJTZO,X,O,X,X,O,X,X,X,X
ISLJTOZ,O,O,X,X,O,X,O,X,O
ISLJZTO,O,O,X,X,X,X,X,X,X
ISLJZOT,O,O,X,X,X,X,O,X,X
ISLJOTZ,O,O,X,X,O,X,O,X,O
ISLJOZT,O,O,X,X,X,X,O,X,X
ISLZTJO,O,O,X,X,X,X,X,X,X
ISLZTOJ,O,O,X,X,X,X,X,X,O
ISLZJTO,O,O,X,X,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X,O,X,X
ISLZOTJ,O,O,X,X,X,X,X,X,O
ISLZOJT,O,O,X,X,X,X,O,X,X
ISLOTJZ,O,O,X,X,O,X,O,X,O
ISLOTZJ,O,O,X,X,X,O,X,X,O
ISLOJTZ,O,O,X,X,O,X,O,X,O
ISLOJZT,O,O,X,X,X,X,O,X,X
ISLOZTJ,O,O,X,X,X,X,X,X,O
ISLOZJT,O,O,X,X,X,X,O,X,X
ISJTLZO,X,O,X,X,O,X,X,X,X
ISJTLOZ,O,O,X,X,O,X,O,X,O
ISJTZLO,X,O,O,X,O,X,X,X,X
ISJTZOL,X,X,O,O,O,X,X,X,X
ISJTOLZ,X,X,X,X,O,X,O,X,O
ISJTOZL,X,X,O,O,O,X,X,X,X
ISJLTZO,X,O,X,X,O,X,X,X,X
ISJLTOZ,O,O,X,X,O,X,O,X,O
ISJLZTO,O,O,X,X,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,O,X,X
ISJLOTZ,O,O,X,X,O,X,O,X,O
ISJLOZT,O,O,X,X,X,X,O,X,X
ISJZTLO,O,O,O,X,X,X,X,X,X
ISJZTOL,X,X,O,O,X,X,X,X,X
ISJZLTO,O,O,O,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,O,X,X
ISJZOTL,X,X,O,O,X,X,X,X,X
ISJZOLT,O,O,X,X,X,X,O,X,X
ISJOTLZ,X,X,X,X,O,X,O,X,O
ISJOTZL,X,X,O,O,O,X,X,X,X
ISJOLTZ,O,O,X,X,O,X,O,X,O
ISJOLZT,O,O,X,X,X,X,O,X,X
ISJOZTL,X,X,O,O,X,X,X,X,X
ISJOZLT,X,O,O,X,X,X,O,X,X
ISZTLJO,O,O,X,X,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,X,X,O
ISZTJLO,O,O,O,X,X,X,X,X,X
ISZTJOL,X,X,O,O,X,X,X,X,X
ISZTOLJ,X,X,X,X,X,X,X,O,O
ISZTOJL,X,X,X,O,X,X,X,O,X
ISZLTJO,O,O,X,X,X,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,X,X,O
ISZLJTO,O,O,X,X,X,X,X,X,X
ISZLJOT,O,O,X,X,X,X,O,X,X
ISZLOTJ,O,O,X,X,X,X,X,O,O
ISZLOJT,O,O,X,X,X,X,O,O,X
ISZJTLO,O,O,O,X,X,X,X,X,X
ISZJTOL,X,X,O,O,X,X,X,X,X
ISZJLTO,O,O,O,X,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,O,X,X
ISZJOTL,X,X,O,O,X,X,X,O,X
ISZJOLT,O,O,X,X,X,X,O,O,X
ISZOTLJ,X,X,X,X,X,X,X,O,O
ISZOTJL,X,X,X,O,X,X,X,O,X
ISZOLTJ,O,O,X,X,X,X,X,O,O
ISZOLJT,O,O,X,X,X,X,O,O,X
ISZOJTL,X,X,X,O,X,X,X,O,X
ISZOJLT,O,O,X,X,X,X,O,O,X
ISOTLJZ,X,X,X,X,O,X,O,X,O
ISOTLZJ,X,X,X,X,X,X,X,X,O
ISOTJLZ,X,X,X,X,O,X,O,X,O
ISOTJZL,X,X,X,O,O,X,X,X,X
ISOTZLJ,X,X,X,X,X,X,X,X,O
ISOTZJL,X,X,X,O,X,X,X,X,X
ISOLTJZ,O,O,X,X,O,X,O,X,O
ISOLTZJ,O,O,X,X,X,X,X,X,O
ISOLJTZ,O,O,X,X,O,X,O,X,O
ISOLJZT,O,O,X,X,X,X,O,X,X
ISOLZTJ,O,O,X,X,X,X,X,X,O
ISOLZJT,O,O,X,X,X,X,O,X,X
ISOJTLZ,X,X,X,X,O,X,O,X,O
ISOJTZL,X,X,X,O,O,X,X,X,X
ISOJLTZ,O,O,X,X,O,X,O,X,O
ISOJLZT,O,O,X,X,X,X,O,X,X
ISOJZTL,X,X,X,O,X,X,X,O,X
ISOJZLT,X,O,X,X,X,X,O,O,X
ISOZTLJ,X,X,X,X,X,X,X,O,O
ISOZTJL,X,X,X,O,X,X,X,O,X
ISOZLTJ,O,O,X,X,X,X,X,O,O
ISOZLJT,O,O,X,X,X,X,O,O,X
ISOZJTL,X,X,X,O,X,X,X,O,X
ISOZJLT,O,O,X,X,X,X,O,O,X
IZTLJSO,X,O,O,X,X,O,X,X,X
IZTLJOS,O,O,X,O,X,O,X,X,X
IZTLSJO,X,O,X,X,X,O,X,X,X
IZTLSOJ,X,O,X,X,X,O,X,X,X
IZTLOJS,O,O,X,O,X,O,X,X,X
IZTLOSJ,X,O,X,X,X,O,X,X,X
IZTJLSO,X,O,O,X,X,O,X,X,X
IZTJLOS,O,O,X,O,X,O,X,X,X
IZTJSLO,X,O,O,X,X,X,X,X,X
IZTJSOL,X,X,O,O,X,X,X,X,X
IZTJOLS,X,X,O,O,X,X,X,X,X
IZTJOSL,X,X,O,O,X,X,X,X,X
IZTSLJO,X,O,X,X,X,O,X,X,X
IZTSLOJ,X,O,X,X,X,O,X,X,O
IZTSJLO,X,O,O,X,X,X,X,X,X
IZTSJOL,X,X,O,O,X,X,X,X,X
IZTSOLJ,X,X,X,X,X,X,X,X,O
IZTSOJL,X,X,X,O,X,X,X,X,X
IZTOLJS,X,X,X,O,X,O,X,X,X
IZTOLSJ,X,X,X,X,X,O,X,X,X
IZTOJLS,X,X,O,O,X,X,X,X,X
IZTOJSL,X,X,O,O,X,X,X,X,X
IZTOSLJ,X,X,X,X,X,X,X,X,O
IZTOSJL,X,X,X,O,X,X,X,X,X
IZLTJSO,X,O,O,X,X,O,X,X,X
IZLTJOS,O,O,X,O,X,O,X,X,X
IZLTSJO,X,O,X,X,X,O,X,X,X
IZLTSOJ,X,O,X,X,X,O,X,X,X
IZLTOJS,O,O,X,O,X,O,X,X,X
IZLTOSJ,X,O,X,X,X,O,X,X,X
IZLJTSO,X,O,O,X,X,X,X,X,X
IZLJTOS,O,O,X,O,X,X,X,X,X
IZLJSTO,O,O,O,X,X,X,X,X,X
IZLJSOT,O,O,X,X,X,X,O,X,X
IZLJOTS,O,O,X,O,X,X,X,X,X
IZLJOST,O,O,X,X,X,X,O,X,X
IZLSTJO,O,O,X,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,O,X,X
IZLSOTJ,O,O,X,X,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,O,X,X
IZLOTJS,O,O,X,O,X,O,X,X,X
IZLOTSJ,X,O,X,X,X,O,X,X,X
IZLOJTS,O,O,X,O,X,X,X,X,X
IZLOJST,O,O,X,X,X,X,O,X,X
IZLOSTJ,O,O,X,X,X,X,X,X,X
IZLOSJT,O,O,X,X,X,X,O,X,X
IZJTLSO,X,O,O,X,X,X,X,X,X
IZJTLOS,O,O,X,O,X,X,X,X,X
IZJTSLO,X,O,O,X,X,X,X,X,X
IZJTSOL,X,X,O,O,X,X,X,X,X
IZJTOLS,X,X,O,O,X,X,X,X,X
IZJTOSL,X,X,O,O,X,X,X,X,X
IZJLTSO,X,O,O,X,X,X,X,X,X
IZJLTOS,O,O,X,O,X,X,X,X,X
IZJLSTO,O,O,O,X,X,X,X,X,X
IZJLSOT,O,O,X,X,X,X,O,X,X
IZJLOTS,O,O,X,O,X,X,X,X,X
IZJLOST,O,O,X,X,X,X,O,X,X
IZJSTLO,O,O,O,X,X,X,X,X,X
IZJSTOL,X,X,O,O,X,X,X,X,X
IZJSLTO,O,O,O,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,O,X,X
IZJSOTL,X,X,O,O,X,X,X,X,X
IZJSOLT,O,O,X,X,X,X,O,X,X
IZJOTLS,X,X,O,O,X,X,X,X,X
IZJOTSL,X,X,O,O,X,X,X,X,X
IZJOLTS,O,O,O,O,X,X,X,X,X
IZJOLST,O,O,O,X,X,X,O,X,X
IZJOSTL,X,X,O,O,X,X,X,X,X
IZJOSLT,X,O,O,X,X,X,O,X,X
IZSTLJO,O,O,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,X,O
IZSTJLO,O,O,O,X,X,X,X,X,X
IZSTJOL,X,X,O,O,X,X,X,X,X
IZSTOLJ,X,X,X,X,X,X,X,O,O
IZSTOJL,X,X,X,O,X,X,X,O,X
IZSLTJO,O,O,X,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X,O
IZSLJTO,O,O,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,O,X,X
IZSLOTJ,O,O,X,X,X,X,X,O,O
IZSLOJT,O,O,X,X,X,X,O,O,X
IZSJTLO,O,O,O,X,X,X,X,X,X
IZSJTOL,X,X,O,O,X,X,X,X,X
IZSJLTO,O,O,O,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,O,X,X
IZSJOTL,X,X,O,O,X,X,X,O,X
IZSJOLT,O,O,X,X,X,X,O,O,X
IZSOTLJ,X,X,X,X,X,X,X,O,O
IZSOTJL,X,X,X,O,X,X,X,O,X
IZSOLTJ,O,O,X,X,X,X,X,O,O
IZSOLJT,O,O,X,X,X,X,O,O,X
IZSOJTL,X,X,X,O,X,X,X,O,X
IZSOJLT,O,O,X,X,X,X,O,O,X
IZOTLJS,X,X,X,O,X,X,X,X,X
IZOTLSJ,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,O,O,X,X,X,X,X
IZOTJSL,X,X,O,O,X,X,X,X,X
IZOTSLJ,X,X,X,X,X,X,X,X,O
IZOTSJL,X,X,X,O,X,X,X,X,X
IZOLTJS,O,O,X,O,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,X,X,X
IZOLJTS,O,O,X,O,X,X,X,X,X
IZOLJST,O,O,X,X,X,X,O,X,X
IZOLSTJ,X,O,X,X,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,O,X,X
IZOJTLS,X,X,O,O,X,X,X,X,X
IZOJTSL,X,X,O,O,X,X,X,X,X
IZOJLTS,O,O,O,O,X,X,X,X,X
IZOJLST,O,O,O,X,X,X,O,X,X
IZOJSTL,X,X,O,O,X,X,X,O,X
IZOJSLT,X,O,O,X,X,X,O,O,X
IZOSTLJ,X,X,X,X,X,X,X,O,O
IZOSTJL,X,X,X,O,X,X,X,O,X
IZOSLTJ,X,O,X,X,X,X,X,O,O
IZOSLJT,X,O,X,X,X,X,O,O,X
IZOSJTL,X,X,X,O,X,X,X,O,X
IZOSJLT,X,O,X,X,X,X,O,O,X
IOTLJSZ,X,X,X,X,X,X,O,X,X
IOTLJZS,X,X,X,O,X,O,X,X,X
IOTLSJZ,X,X,X,X,X,X,O,X,O
IOTLSZJ,X,X,X,X,X,O,X,X,O
IOTLZJS,X,X,X,O,X,O,X,X,X
IOTLZSJ,X,X,X,X,X,O,X,X,X
IOTJLSZ,X,X,X,X,X,X,O,X,X
IOTJLZS,X,X,O,O,X,X,X,X,X
IOTJSLZ,X,X,X,X,O,X,O,X,O
IOTJSZL,X,X,O,O,O,X,X,X,X
IOTJZLS,X,X,O,O,X,X,X,X,X
IOTJZSL,X,X,O,O,X,X,X,X,X
IOTSLJZ,X,X,X,X,O,X,O,X,O
IOTSLZJ,X,X,X,X,X,X,X,X,O
IOTSJLZ,X,X,X,X,O,X,O,X,O
IOTSJZL,X,X,X,O,O,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,X,X,O
IOTSZJL,X,X,X,O,X,X,X,X,X
IOTZLJS,X,X,X,O,X,O,X,X,X
IOTZLSJ,X,X,X,X,X,O,X,X,X
IOTZJLS,X,X,O,O,X,X,X,X,X
IOTZJSL,X,X,O,O,X,X,X,X,X
IOTZSLJ,X,X,X,X,X,X,X,X,O
IOTZSJL,X,X,X,O,X,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,O,X,X
IOLTJZS,O,O,X,O,X,O,X,X,X
IOLTSJZ,O,O,X,X,X,X,O,X,O
IOLTSZJ,O,O,X,X,X,O,X,X,O
IOLTZJS,O,O,X,O,X,O,X,X,X
IOLTZSJ,X,O,X,X,X,O,X,X,X
IOLJTSZ,O,O,X,X,X,X,O,X,X
IOLJTZS,O,O,X,O,X,O,X,X,X
IOLJSTZ,O,O,X,X,X,X,O,X,X
IOLJSZT,O,O,X,X,X,X,O,X,X
IOLJZTS,O,O,X,O,X,X,X,X,X
IOLJZST,O,O,X,X,X,X,O,X,X
IOLSTJZ,O,O,X,X,X,X,O,X,O
IOLSTZJ,O,O,X,X,X,O,X,X,O
IOLSJTZ,O,O,X,X,X,X,O,X,O
IOLSJZT,O,O,X,X,X,X,O,X,X
IOLSZTJ,O,O,X,X,X,X,X,X,O
IOLSZJT,O,O,X,X,X,X,O,X,X
IOLZTJS,O,O,X,O,X,O,X,X,X
IOLZTSJ,X,O,X,X,X,O,X,X,X
IOLZJTS,O,O,X,O,X,X,X,X,X
IOLZJST,O,O,X,X,X,X,O,X,X
IOLZSTJ,O,O,X,X,X,X,X,X,X
IOLZSJT,O,O,X,X,X,X,O,X,X
IOJTLSZ,X,X,X,X,X,X,O,X,X
IOJTLZS,X,X,O,O,X,X,X,X,X
IOJTSLZ,X,X,X,X,O,X,O,X,O
IOJTSZL,X,X,O,O,O,X,X,X,X
IOJTZLS,X,X,O,O,X,X,X,X,X
IOJTZSL,X,X,O,O,X,X,X,X,X
IOJLTSZ,O,O,X,X,X,X,O,X,X
IOJLTZS,O,O,O,O,X,X,X,X,X
IOJLSTZ,O,O,X,X,X,X,O,X,X
IOJLSZT,O,O,X,X,X,X,O,X,X
IOJLZTS,O,O,O,O,X,X,X,X,X
IOJLZST,O,O,O,X,X,X,O,X,X
IOJSTLZ,X,X,X,X,O,X,O,X,O
IOJSTZL,X,X,O,O,O,X,X,X,X
IOJSLTZ,X,O,X,X,O,X,O,X,O
IOJSLZT,X,O,X,X,X,X,O,X,X
IOJSZTL,X,X,O,O,X,X,X,O,X
IOJSZLT,X,O,O,X,X,X,O,O,X
IOJZTLS,X,X,O,O,X,X,X,X,X
IOJZTSL,X,X,O,O,X,X,X,X,X
IOJZLTS,X,O,O,O,X,X,X,X,X
IOJZLST,X,O,O,X,X,X,O,X,X
IOJZSTL,X,X,O,O,X,X,X,O,X
IOJZSLT,X,O,O,X,X,X,O,O,X
IOSTLJZ,X,X,X,X,O,X,O,X,O
IOSTLZJ,X,X,X,X,X,X,X,X,O
IOSTJLZ,X,X,X,X,O,X,O,X,O
IOSTJZL,X,X,X,O,O,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,O
IOSTZJL,X,X,X,O,X,X,X,X,X
IOSLTJZ,O,O,X,X,O,X,O,X,O
IOSLTZJ,O,O,X,X,X,X,X,X,O
IOSLJTZ,O,O,X,X,O,X,O,X,O
IOSLJZT,O,O,X,X,X,X,O,X,X
IOSLZTJ,O,O,X,X,X,X,X,X,O
IOSLZJT,O,O,X,X,X,X,O,X,X
IOSJTLZ,X,X,X,X,O,X,O,X,O
IOSJTZL,X,X,X,O,O,X,X,X,X
IOSJLTZ,O,O,X,X,O,X,O,X,O
IOSJLZT,O,O,X,X,X,X,O,X,X
IOSJZTL,X,X,X,O,X,X,X,O,X
IOSJZLT,X,O,X,X,X,X,O,O,X
IOSZTLJ,X,X,X,X,X,X,X,O,O
IOSZTJL,X,X,X,O,X,X,X,O,X
IOSZLTJ,O,O,X,X,X,X,X,O,O
IOSZLJT,O,O,X,X,X,X,O,O,X
IOSZJTL,X,X,X,O,X,X,X,O,X
IOSZJLT,O,O,X,X,X,X,O,O,X
IOZTLJS,X,X,X,O,X,X,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,O,O,X,X,X,X,X
IOZTJSL,X,X,O,O,X,X,X,X,X
IOZTSLJ,X,X,X,X,X,X,X,X,O
IOZTSJL,X,X,X,O,X,X,X,X,X
IOZLTJS,O,O,X,O,X,X,X,X,X
IOZLTSJ,X,O,X,X,X,X,X,X,X
IOZLJTS,O,O,X,O,X,X,X,X,X
IOZLJST,O,O,X,X,X,X,O,X,X
IOZLSTJ,X,O,X,X,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,O,X,X
IOZJTLS,X,X,O,O,X,X,X,X,X
IOZJTSL,X,X,O,O,X,X,X,X,X
IOZJLTS,O,O,O,O,X,X,X,X,X
IOZJLST,O,O,O,X,X,X,O,X,X
IOZJSTL,X,X,O,O,X,X,X,O,X
IOZJSLT,X,O,O,X,X,X,O,O,X
IOZSTLJ,X,X,X,X,X,X,X,O,O
IOZSTJL,X,X,X,O,X,X,X,O,X
IOZSLTJ,X,O,X,X,X,X,X,O,O
IOZSLJT,X,O,X,X,X,X,O,O,X
IOZSJTL,X,X,X,O,X,X,X,O,X
IOZSJLT,X,O,X,X,X,X,O,O,X
LTIJSZO,X,O,X,X,X,X,X,X,X
LTIJSOZ,X,O,X,X,X,X,O,X,X
LTIJZSO,X,O,O,X,X,O,X,X,X
LTIJZOS,X,O,X,O,X,O,X,X,X
LTIJOSZ,O,O,X,X,X,X,O,X,X
LTIJOZS,O,O,O,O,X,O,X,X,X
LTISJZO,X,O,X,X,X,X,X,X,X
LTISJOZ,O,O,X,X,X,X,O,X,X
LTISZJO,O,O,X,X,X,O,X,X,X
LTISZOJ,O,O,X,X,X,O,X,X,X
LTISOJZ,O,O,X,X,X,X,O,X,X
LTISOZJ,O,O,X,X,X,O,X,X,X
LTIZJSO,X,O,O,X,X,O,X,X,X
LTIZJOS,O,O,X,O,X,O,X,X,X
LTIZSJO,X,O,X,X,X,O,X,X,X
LTIZSOJ,X,O,X,X,X,O,X,X,X
LTIZOJS,O,O,X,O,X,O,X,X,X
LTIZOSJ,X,O,X,X,X,O,X,X,X
LTIOJSZ,O,O,X,X,X,X,O,X,X
LTIOJZS,O,O,X,O,X,O,X,X,X
LTIOSJZ,O,O,X,X,X,X,O,X,X
LTIOSZJ,O,O,X,X,X,O,X,X,X
LTIOZJS,O,O,X,O,X,O,X,X,X
LTIOZSJ,X,O,X,X,X,O,X,X,X
LTJISZO,X,O,X,X,X,X,X,X,X
LTJISOZ,X,O,X,X,X,X,O,X,X
LTJIZSO,X,O,O,X,X,O,X,X,X
LTJIZOS,X,O,X,O,X,O,X,X,X
LTJIOSZ,O,O,X,X,X,X,O,X,X
LTJIOZS,O,O,O,O,X,O,X,X,X
LTJSIZO,X,X,X,X,O,X,X,X,X
LTJSIOZ,O,X,X,X,O,X,X,X,X
LTJSZIO,X,X,X,X,O,X,X,X,X
LTJSZOI,X,X,X,X,O,X,X,X,X
LTJSOIZ,O,X,X,X,O,X,X,X,X
LTJSOZI,X,X,X,X,O,X,X,X,X
LTJZISO,X,O,O,X,X,O,X,X,X
LTJZIOS,O,O,X,X,X,O,X,X,X
LTJZSIO,O,X,O,X,X,O,X,X,X
LTJZSOI,O,X,O,X,X,O,X,X,X
LTJZOIS,O,O,O,O,X,O,X,X,X
LTJZOSI,O,X,O,O,X,O,X,X,X
LTJOISZ,O,O,X,X,X,X,O,X,X
LTJOIZS,O,O,O,O,X,O,X,X,X
LTJOSIZ,O,X,X,X,O,X,X,X,X
LTJOSZI,X,X,X,X,O,X,X,X,X
LTJOZIS,O,O,O,O,X,O,X,X,X
LTJOZSI,O,X,O,O,X,O,X,X,X
LTSIJZO,X,X,X,X,O,X,X,X,X
LTSIJOZ,O,X,X,X,O,X,X,X,X
LTSIZJO,O,X,X,X,X,O,X,X,X
LTSIZOJ,O,X,X,X,X,O,X,X,X
LTSIOJZ,O,X,X,X,O,X,X,X,X
LTSIOZJ,O,X,X,X,X,O,X,X,X
LTSJIZO,X,X,X,X,O,X,X,X,X
LTSJIOZ,O,X,X,X,O,X,X,X,X
LTSJZIO,X,X,X,X,O,X,X,X,X
LTSJZOI,X,X,X,X,O,X,X,X,X
LTSJOIZ,O,X,X,X,O,X,X,X,X
LTSJOZI,X,X,X,X,O,X,X,X,X
LTSZIJO,O,X,X,X,X,O,X,X,X
LTSZIOJ,O,X,X,X,X,O,X,X,X
LTSZJIO,O,X,X,X,O,O,X,X,X
LTSZJOI,O,X,X,X,O,O,X,X,X
LTSZOIJ,O,X,X,X,X,O,X,X,X
LTSZOJI,O,X,X,X,O,O,X,X,X
LTSOIJZ,O,X,X,X,O,X,X,X,X
LTSOIZJ,O,X,X,X,X,O,X,X,X
LTSOJIZ,O,X,X,X,O,X,X,X,X
LTSOJZI,X,X,X,X,O,X,X,X,X
LTSOZIJ,O,X,X,X,X,O,X,X,X
LTSOZJI,O,X,X,X,O,O,X,X,X
LTZIJSO,X,O,O,X,X,O,X,X,X
LTZIJOS,O,O,X,X,X,O,X,X,X
LTZISJO,X,O,X,X,X,O,X,X,X
LTZISOJ,X,O,X,X,X,O,X,X,X
LTZIOJS,O,O,X,X,X,O,X,X,X
LTZIOSJ,X,O,X,X,X,O,X,X,X
LTZJISO,X,O,O,X,X,O,X,X,X
LTZJIOS,O,O,X,X,X,O,X,X,X
LTZJSIO,O,X,O,X,X,O,X,X,X
LTZJSOI,O,X,O,X,X,O,X,X,X
LTZJOIS,O,O,O,O,X,O,X,X,X
LTZJOSI,O,X,O,O,X,O,X,X,X
LTZSIJO,O,X,X,X,X,O,X,X,X
LTZSIOJ,O,X,X,X,X,O,X,X,X
LTZSJIO,O,X,X,X,X,O,X,X,X
LTZSJOI,O,X,X,X,X,O,X,X,X
LTZSOIJ,O,X,X,X,X,O,X,X,X
LTZSOJI,O,X,X,X,X,O,X,X,X
LTZOIJS,O,O,X,X,X,O,X,X,X
LTZOISJ,X,O,X,X,X,O,X,X,X
LTZOJIS,O,O,O,O,X,O,X,X,X
LTZOJSI,O,X,O,O,X,O,X,X,X
LTZOSIJ,O,X,X,X,X,O,X,X,X
LTZOSJI,O,X,X,X,X,O,X,X,X
LTOIJSZ,O,O,X,X,X,X,O,X,X
LTOIJZS,O,O,X,O,X,O,X,X,X
LTOISJZ,O,O,X,X,X,X,O,X,X
LTOISZJ,O,O,X,X,X,O,X,X,X
