sequence,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFlgBRiB2qB0?nBXrByxB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFUiBxlBmqB3?sBatBlqB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFUiBxlBlqB3?sBatBmqB,v115@GhA8IeC8CeB8BeD8BeA8CeA8Jei/IvhFUhBRiBFlBz?qB3sBmsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFXhB2qBRnBl?nByxB0qB,v115@GhA8IeC8CeB8BeD8BeA8CeA8Jex/IvhFVmBUiBmkBz?qB3sBatB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeFBJvhFXiB8nBxkBm?kBzqByxB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFUhBRiBlnBm?qByxB/qB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhF0gB2qBRnBl?nByxBXrB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFxgBXiB8nBl?qByxBmqB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFxgB/qBarB8?sBFsBmsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeUCJvhFaoBxkBXmBm?kB1xBzqB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFilBRnBXmBm?nB1xB0qB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFUhBZoB6sBm?qB/qBFsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFigBRiBFmB0?qB3sBmsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8Jex/IvhFVmBynBmkBf?tBzqBUsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFynBxlBftBm?qBlqBUsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JexEJvhFXmBlnBmkBa?tBzqBUsB
JZILTSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTOS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILSTO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILSOT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZILOTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILOST,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JZISTLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOTLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOLST,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JZIOSTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTISO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTIOS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZLTSIO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTSOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOIS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZLTOSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLITOS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLISTO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLISOT,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZLIOTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLIOST,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JZLSTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLSOTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOTIS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X
JZLOTSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JZLOITS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOIST,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JZLOSTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSTILO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZSTIOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZSTLIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZSTLOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZSTOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZSTOLI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZSITLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSLTOI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSLITO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSLIOT,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZSLOTI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSLOIT,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZSOTIL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZSOTLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZSOITL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOILT,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSOLIT,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZOTILS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JZOTISL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JZOTLSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JZOTSIL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZOTSLI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZOITLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZOITSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOILTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOILST,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JZOISTL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOLTIS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X
JZOLTSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JZOLITS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLIST,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JZOLSTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSTIL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZOSTLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZOSITL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSILT,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOSLTI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOSLIT,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JOTILSZ,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,O,X
JOTILZS,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JOTISLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTISZL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOTIZSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTLISZ,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,O,X
JOTLIZS,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
JOTLSIZ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOTLSZI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JOTLZIS,O,X,X,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X
JOTLZSI,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JOTSILZ,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTSIZL,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTSLZI,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTSZIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOTZISL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZLIS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOTZLSI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOTZSIL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSLI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X
JOITLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOITSLZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOITSZL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITZLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOITZSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILTSZ,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,O,X
JOILTZS,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
JOILSTZ,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X
JOILSZT,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JOILZTS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOILZST,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JOISTLZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOISTZL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOISLTZ,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JOISLZT,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JOISZTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOIZTLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOIZTSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOIZLST,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JOIZSTL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSLT,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLTISZ,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,O,X
JOLTIZS,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
JOLTSIZ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLTSZI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLTZIS,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X
JOLTZSI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JOLITSZ,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,O,X
JOLITZS,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
JOLISTZ,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X
JOLISZT,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JOLIZTS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOLIZST,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JOLSTIZ,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLSTZI,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLSITZ,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JOLSIZT,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JOLSZTI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLZTIS,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X
JOLZTSI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JOLZITS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOLZIST,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JOLZSTI,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOLZSIT,O,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JOSTILZ,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOSTIZL,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOSTLZI,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOSTZIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOSITZL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSILTZ,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JOSILZT,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JOSIZTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZLT,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSLTIZ,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOSLTZI,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JOSLITZ,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JOSLIZT,X,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,O,X
JOSLZTI,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOSLZIT,X,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JOSZTIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOSZTLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOSZITL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSZILT,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSZLTI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOSZLIT,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JOZTILS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JOZTISL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTLIS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JOZTLSI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JOZTSIL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOZTSLI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOZITLS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOZITSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZILTS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZILST,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JOZISTL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZISLT,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOZLTIS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X
JOZLTSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JOZLITS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZLIST,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JOZLSTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLSIT,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZSTIL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOZSTLI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOZSITL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZSILT,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOZSLTI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOZSLIT,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
STILJZO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
STILJOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STILZJO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
STILZOJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STILOJZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
STILOZJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STIJLZO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
STIJLOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STIJZLO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
STIJZOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJOLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STIJOZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZLJO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
STIZLOJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STIZJLO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
STIZJOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZOLJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STIZOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOLJZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
STIOLZJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STIOJLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STIOJZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOZLJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STIOZJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIJZO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
STLIJOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STLIZJO,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O
STLIZOJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
STLIOJZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
STLIOZJ,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
STLJIZO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STLJIOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJZIO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STLJZOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJOIZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJOZI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZIJO,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
STLZIOJ,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
STLZJIO,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
STLZJOI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STLZOIJ,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
STLZOJI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STLOIJZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STLOIZJ,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
STLOJIZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLOJZI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLOZIJ,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
STLOZJI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STJILZO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
STJILOZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STJIZLO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
STJIZOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJIOLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STJIOZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLIZO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STJLIOZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLZIO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STJLZOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLOIZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLOZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZILO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STJZIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZLIO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STJZLOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZOIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZOLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJOILZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STJOIZL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STJOLIZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STJOLZI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STJOZIL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STJOZLI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STZILJO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
STZILOJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
STZIJLO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
STZIJOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STZIOLJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
STZIOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STZLIJO,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
STZLIOJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
STZLJIO,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
STZLJOI,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
STZLOIJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
STZLOJI,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
STZJILO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
STZJIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STZJLIO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
STZJLOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STZJOIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
