sequence,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeeFJvhFRhBCjB8rBT?oB3qBFrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JelAJvhF3hBCjB8rBT?oBRqB2vB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JecGJvhFenBCjBXlBT?oBllBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je/FJvhFxiBKrBFnBT?oBGmBUqB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeaHJvhFGjBXlBTmBU?oBllBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je/FJvhFRhBziB+oBU?qBirBlrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeCCJvhFmlBxnBllBT?oBUqB3rB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeiAJvhFcmBxiBXnBT?oBFqBWwB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeiBJvhFXlBzmBFoB0?lBGoBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JezBJvhFSoBXlB2rBl?lBUoBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JexAJvhFziB+oBVqBi?rB8rB3qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JexCJvhFmlBXnBToBF?qB6rB0qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeGDJvhFVqBRmBUoBi?mB3rBTqB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeaHJvhFWoBxlB/rBT?oBFqB0qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je0AJvhFfoB6oBzmBR?qB2vBlrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je0BJvhFWoBllBXlBy?rBToBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JefIJvhF6oBVqBRmBO?rB8rBTqB
JIOSLTZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
JIOSLZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X
JIOSZTL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOSZLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JIOZTLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOZTSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOZLTS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOZLST,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JIOZSTL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JIOZSLT,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JLTISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLTISOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
JLTIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLTIZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLTIOSZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
JLTIOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLTSIZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLTSIOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLTSZIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLTSZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLTSOIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLTSOZI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLTZISO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLTZIOS,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLTZSIO,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JLTZSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JLTZOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JLTZOSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JLTOISZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
JLTOIZS,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JLTOSIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLTOSZI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLTOZIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JLTOZSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JLITSZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLITSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
JLITZSO,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
JLITZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
JLITOSZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
JLITOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLISTZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISTOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLISZTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISZOT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLISOTZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLISOZT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIZTSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZTOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIZSTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLIZSOT,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JLIZOTS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIZOST,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JLIOTSZ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLIOTZS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLIOSTZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOSZT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JLIOZTS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZST,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JLSTIZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLSTIOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLSTZIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLSTZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLSTOIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLSTOZI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLSITZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSITOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSIZTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIZOT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSIOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSIOZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSZTIO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZTOI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZITO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZIOT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZOTI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLSZOIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLSOTIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLSOTZI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLSOITZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSOIZT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSOZTI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLSOZIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLZTISO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JLZTIOS,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JLZTSIO,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JLZTSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JLZTOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JLZTOSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JLZITSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZITOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZISTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZISOT,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JLZIOTS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZIOST,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JLZSTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSTOI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSIOT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JLZSOIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLZOTIS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JLZOTSI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JLZOITS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZOIST,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JLZOSTI,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JLZOSIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLOTISZ,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X
JLOTIZS,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JLOTSIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOTSZI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOTZIS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOTZSI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JLOITSZ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOITZS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOISTZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOISZT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOIZTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZST,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLOSTIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOSTZI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOSITZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOSIZT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOSZTI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLOSZIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLOZTIS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOZTSI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JLOZITS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZIST,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLOZSTI,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JLOZSIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSTILZO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
JSTILOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JSTIZLO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSTIZOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTIOLZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSTIOZL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTLIZO,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O
JSTLIOZ,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
JSTLZIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTLZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTLOIZ,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JSTLOZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JSTZILO,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSTZIOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTZLIO,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSTZLOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTZOIL,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JSTZOLI,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSTOILZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSTOIZL,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSTOLIZ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
JSTOLZI,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X
JSTOZIL,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSTOZLI,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSITLZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSITLOZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSITZLO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
JSITZOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSITOLZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSITOZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILTOZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSILZTO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILZOT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSILOTZ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSILOZT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSIZTLO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSIZTOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIZLOT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSIZOTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSIOTLZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIOTZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSIOLZT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSIOZTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTIZO,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O
JSLTIOZ,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
JSLTZIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLTZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLTOIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSLTOZI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSLITZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLITOZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLIZTO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLIZOT,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLIOTZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSLIOZT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSLZTIO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLZTOI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLZIOT,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLZOTI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSLZOIT,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSLOTIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSLOTZI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSLOITZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSLOIZT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSLOZTI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSLOZIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSZTILO,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
JSZTIOL,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZTLIO,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
JSZTLOI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZTOIL,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSZTOLI,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZITLO,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
JSZITOL,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZILTO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZILOT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSZIOTL,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSZLTIO,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JSZLTOI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZLIOT,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSZLOTI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSZLOIT,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSZOTIL,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSZOTLI,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZOITL,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JSZOILT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSZOLIT,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSOTILZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOTIZL,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSOTLIZ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
JSOTLZI,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X
JSOTZIL,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSOTZLI,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSOITLZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JSOITZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSOILTZ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSOILZT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSOIZTL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOIZLT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOLTIZ,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JSOLTZI,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JSOLITZ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSOLIZT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSOLZTI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSOLZIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSOZTIL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOZTLI,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOZITL,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOZILT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSOZLIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZTILSO,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JZTILOS,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JZTISLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTISOL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZTIOLS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOSL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZTLISO,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X
JZTLIOS,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JZTLSIO,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JZTLSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZTLOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTLOSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZTSILO,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTSIOL,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZTSLIO,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTSLOI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTSOLI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOISL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTOLIS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTOLSI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZTOSIL,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTOSLI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JZITLOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
JZITSLO,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JZITSOL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JZITOLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZITOSL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JZILTSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILTOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZILSTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZILSOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZILOTS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZILOST,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZISTLO,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZISTOL,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZISLTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZISOTL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZIOTLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZIOSTL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZLTISO,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X
JZLTIOS,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JZLTSIO,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JZLTSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZLTOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLTOSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZLITSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLITOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLISTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLISOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZLIOTS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZLSTIO,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLSTOI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
