sequence,v115@vhH+CJzfBvtBUmBKpB0sBFqBRwB,v115@vhH+DJ0fBvsBUmBKpBTtBFqBRwB,v115@vhHU4IPoBzhB2pBSyBFsBUrBxuB,v115@vhHU4I0iBPnB2pBTtBSxBFrBxuB,v115@vhH32IzgBskBStBlrB0qB2uBxxB,v115@vhHU4I+nBzhBvtBKpBFrBUqBRxB,v115@vhHO6IzfBvtBUmBKpB0sBFqBRwB,v115@vhHT1IPoB0fB2pBSyBFsBUrBxuB,v115@vhHT5I5oBsnBskByxB3rBlqB2uB,v115@vhHM/I5oBmnB6rBFlB0sB3qBTpB,v115@vhHMAJslBTfB+tB3sBlrBipBRvB,v115@vhHsBJGjBvtBTnBKpBFrBUqBRxB,v115@vhHzBJslBalB+tBMpB3sBlrBRvB,v115@vhHzBJKmBUgB+tBMpBlsBXqBRwB,v115@vhHz1IslBalB+tBMpB3sBlrBRvB,v115@vhHWIJ0fBvsBUmBKpBTtBFqBRwB,v115@vhH03IzhBKmB+tBMpBlsBXqBRwB,v115@vhHi1IMfBxnB0mBFlBGtB3qBTpB,v115@vhHMIJUiBXmBmkBSyBFsBTpBxvB,v115@vhHUBJZkB6tBXnBFlBzsBUrBWvB,v115@vhHUBJKkBToBXnBFlBWyBUrBxuB,v115@vhH6+IUjB+sB3lBMpBTtBlrBRvB,v115@vhHO6IzfBvtBUnBKpBFrBUqBRxB,v115@vhHm6I0fBvsBUmBKpBTtBFqBRwB,v115@vhHPDJ2kBStBFnBUmB0qBTpBRxB,v115@vhH5IJ0hB3nBllBOpByxBTrBUqB,v115@vhHi1IMfBxnBXmBFlBGtBUsBTpB,v115@vhHT1IPnB0fBKpBGtBFrBUqBRxB,v115@vhH5IJ0gBatB3mBlkBTsB0qB2uB,v115@vhH03IzhBslB+tB3sBlrBipBRvB,v115@vhH03IsmBXhB+tBlsBiqBTpBRwB,v115@vhH03IihB+tB3mBMqBlsBTpBRwB,v115@vhHXDJsmB+tB0lBTkBlsByuBRwB,v115@vhHM+I5oBlnB0mBXlBOpByxBzqB,v115@vhHT5IMoBXmBspBOpBSyBFsBxvB,v115@vhH+GJzgB0fBvtBKpB0sBFqBRwB,v115@vhHPIJzhB0fB2pBSyBFsBUrBxuB,v115@vhH0CJPnB0fB2pBTtBSxBFrBxuB,v115@vhH5IJsnBzgBskByxB3rBlqB2uB,v115@vhH5IJsnBslBXgByxBlrB2vBTpB,v115@vhHXDJzgBskBStBlrB0qB2uBxxB,v115@vhH+HJzhB0fBvtBKpBFrBUqBRxB,v115@vhHM/IynBMtBXmBFlBGsBTpBxvB,v115@vhHMDJslBTfB+tB3sBlrBipBRvB,v115@vhH+DJsiBvsBUmBKpBTtBFqBRwB,v115@vhHT6IskB+tB3mBMqBKpBlsBRwB,v115@vhHUAJvkBCoB0mBTtBlqB2uBxwB,v115@vhHMBJ5lB6tBFnBmkB3sBTrB0pB,v115@vhHMBJMlB6tBFnBTkB3sBGrBRvB,v115@vhHT1IvjB0iB0hBFgBZkBuqBqpB,v115@vhHPDJZkBMtBFnBUmBupBSxBTqB,v115@vhHe+IshBvtBTnBKpBFrBUqBRxB,v115@vhHWDJskBZkB6tBFnB3lBzsB0rB,v115@vhHT6IMoBXmBspBOpBSyBFsBxvB,v115@vhH6DJsnBvkB0mBTtBlqB2uBxwB,v115@vhH5+IulBMkB3nBlmBspBTtByvB,v115@vhHM+IMoBXmBmkBSyBFsBTpBxvB,v115@vhHZ6IynBUhBMtBFlBGsB3qBTpB,v115@vhH5DJzcBKtB+sBsrBFmBUlBvpB,v115@vhH5DJzcBinBFmBUlBvpBUtBWxB,v115@vhH6DJliB0hB0gBOkBvtBzkBxuB,v115@vhHPHJ0fBusBUmBKpBTtBFqBRwB,v115@vhHMDJTiBKmB+tBMpBlsBXqBRwB,v115@vhHG4IshBvtBTnBKpBFrBUqBRxB,v115@vhH5IJ3fBatBUnBllB0rB2vBTpB,v115@vhHz8I5oBlnB0mBXlBOpByxBUrB,v115@vhH++IUiBToBFmBUlBvpBCsBxxB,v115@vhH5+IeoBUiBFmBUlBvpBSyBzrB,v115@vhH5+IKoBUiBFmBUlBvpBWyBzrB,v115@vhH5+IsnBanBFmBUlBvpBTtBWxB,v115@vhHZ6I3hBWlBMtBlnBUsBiqBTpB,v115@vhHs/IZkBGoBUnBllByxBXrBzpB,v115@vhHs/IZkBMtBusBasBllBXrBzpB
LOZJIST,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,O,O,O
LOZJSTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,O,X,O,X,X,O,O,O
LOZJSIT,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,O,O,O
LOZSTIJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O
LOZSTJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O
LOZSITJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O
LOZSIJT,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,O,O,O
LOZSJTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,O,X,O,X,X,O,O,O
LOZSJIT,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,O,O,O
JTILSZO,O,X,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTILSOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JTILZSO,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JTILZOS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JTILOSZ,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JTILOZS,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JTISLZO,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTISLOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JTISZLO,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTISZOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTISOLZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JTISOZL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JTIZLSO,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JTIZLOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JTIZSLO,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTIZSOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTIZOLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JTIZOSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JTIOLSZ,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JTIOLZS,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JTIOSLZ,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JTIOSZL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JTIOZLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JTIOZSL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JTLISZO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JTLISOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JTLIZSO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTLIZOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JTLIOSZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JTLIOZS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JTLSIZO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JTLSIOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JTLSZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JTLSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JTLSOIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JTLSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JTLZISO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTLZIOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JTLZSIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTLZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTLZOIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JTLZOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JTLOISZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JTLOIZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JTLOSIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JTLOSZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JTLOZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JTLOZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JTSILZO,O,X,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTSILOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JTSIZLO,O,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTSIZOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTSIOLZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JTSIOZL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JTSLIZO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JTSLIOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JTSLZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JTSLZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JTSLOIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JTSLOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JTSZILO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTSZIOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTSZLIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JTSZLOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JTSZOIL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTSZOLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTSOILZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
