sequence,v115@HhA8IeB8HeF8AeC8Je0/IvhFlgB3hBOsBTtBCtBxvB,v115@HhA8IeB8HeF8AeC8Jex/IvhFXhBVnBUlBToBCoBmrB,v115@HhA8IeB8HeF8AeC8Jex/IvhFemBUiBFlBfsBTtBCtB,v115@HhA8IeB8HeF8AeC8Jel/IvhFzgB0iB6oB2qBRsBfsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFxgB6oB3lB1rBznBOsB,v115@HhA8IeB8HeF8AeC8Jex/IvhFUlBFmBXnBToBCoBmrB,v115@HhA8IeB8HeF8AeC8Jel/IvhFclBemBxiBSsBToBfsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFTjB3lBCnBmlBxsBFsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFlgByqBfsBxsBGsBTtB,v115@HhA8IeB8HeF8AeC8Jel/IvhF3hBTlBxnBUmBGoBisB
ILOJSZT,O,X,X,O,X,X,X,O,X,X
ILOJZTS,O,X,X,O,X,X,O,X,X,X
ILOJZST,O,X,X,O,X,X,O,O,X,X
ILOSTJZ,X,X,X,X,O,X,X,X,X,O
ILOSTZJ,X,X,X,X,O,X,X,O,X,O
ILOSJTZ,X,X,X,X,X,X,X,X,X,O
ILOSJZT,X,X,X,X,X,X,X,O,X,X
ILOSZTJ,X,X,X,X,O,O,X,O,X,O
ILOSZJT,X,X,X,X,X,X,X,O,X,X
ILOZTJS,O,X,X,X,X,X,O,X,X,X
ILOZTSJ,X,X,X,X,O,O,X,O,X,O
ILOZJTS,O,O,X,X,X,X,O,X,X,X
ILOZJST,O,O,X,X,X,X,O,O,X,X
ILOZSTJ,X,X,X,X,O,O,X,O,X,O
ILOZSJT,X,X,X,X,X,X,X,O,X,X
IJTLSZO,O,X,O,O,X,X,X,X,X,X
IJTLSOZ,O,X,O,O,X,X,X,X,X,X
IJTLZSO,O,X,X,O,X,X,X,X,X,X
IJTLZOS,O,X,X,O,X,X,X,X,X,X
IJTLOSZ,O,X,O,O,X,X,X,X,X,X
IJTLOZS,O,X,X,O,X,X,X,X,X,X
IJTSLZO,O,X,O,O,X,X,X,X,X,X
IJTSLOZ,O,X,O,O,X,X,X,X,X,X
IJTSZLO,O,O,O,X,X,X,X,X,X,X
IJTSZOL,O,O,O,X,X,X,X,X,X,X
IJTSOLZ,O,X,O,O,X,X,X,X,X,X
IJTSOZL,O,O,O,X,X,X,X,X,X,X
IJTZLSO,O,O,X,O,X,X,X,X,X,X
IJTZLOS,O,O,X,O,X,X,X,X,X,X
IJTZSLO,O,O,O,X,X,X,X,X,X,X
IJTZSOL,O,O,O,X,X,X,X,X,X,X
IJTZOLS,O,O,X,O,X,X,X,X,X,X
IJTZOSL,O,O,O,X,X,X,X,X,X,X
IJTOLSZ,O,X,O,O,X,X,X,X,X,X
IJTOLZS,O,X,X,O,X,X,X,X,X,X
IJTOSLZ,O,X,O,O,X,X,X,X,X,X
IJTOSZL,O,O,O,X,X,X,X,X,X,X
IJTOZLS,O,O,X,O,X,X,X,X,X,X
IJTOZSL,O,O,O,X,X,X,X,X,X,X
IJLTSZO,O,X,X,O,X,X,X,X,X,X
IJLTSOZ,O,X,X,O,X,X,X,X,X,X
IJLTZSO,O,X,X,O,X,X,X,X,X,X
IJLTZOS,O,X,X,O,X,X,X,X,X,X
IJLTOSZ,O,X,X,O,X,X,X,X,X,X
IJLTOZS,O,X,X,O,X,X,X,X,X,X
IJLSTZO,O,X,X,O,X,X,X,X,X,X
IJLSTOZ,O,X,X,O,X,X,X,X,X,X
IJLSZTO,O,X,X,O,X,X,X,X,X,X
IJLSZOT,O,X,X,O,X,X,X,O,X,X
IJLSOTZ,O,X,X,O,X,X,X,X,X,X
IJLSOZT,O,X,X,O,X,X,X,O,X,X
IJLZTSO,O,X,X,O,X,X,X,X,X,X
IJLZTOS,O,X,X,O,X,X,O,X,X,X
IJLZSTO,O,X,X,O,X,X,X,X,X,X
IJLZSOT,O,X,X,O,X,X,X,O,X,X
IJLZOTS,O,X,X,O,X,X,O,X,X,X
IJLZOST,O,X,X,O,X,X,O,O,X,X
IJLOTSZ,O,X,X,O,X,X,X,X,X,X
IJLOTZS,O,X,X,O,X,X,X,X,X,X
IJLOSTZ,O,X,X,O,X,X,X,X,X,X
IJLOSZT,O,X,X,O,X,X,X,O,X,X
IJLOZTS,O,X,X,O,X,X,O,X,X,X
IJLOZST,O,X,X,O,X,X,O,O,X,X
IJSTLZO,O,X,O,O,X,X,X,X,X,X
IJSTLOZ,O,X,O,O,X,X,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X,X,X,X
IJSTZOL,O,O,O,X,X,X,X,X,X,X
IJSTOLZ,O,X,O,O,X,X,X,X,X,X
IJSTOZL,O,O,O,X,X,X,X,X,X,X
IJSLTZO,O,X,X,O,X,X,X,X,X,X
IJSLTOZ,O,X,X,O,X,X,X,X,X,X
IJSLZTO,O,X,X,O,X,X,X,X,X,X
IJSLZOT,O,X,X,O,X,X,X,O,X,X
IJSLOTZ,O,X,X,O,X,X,X,X,X,X
IJSLOZT,O,X,X,O,X,X,X,O,X,X
IJSZTLO,O,O,O,X,X,X,X,X,X,X
IJSZTOL,O,O,O,X,X,O,X,X,X,X
IJSZLTO,O,O,X,X,X,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,X,O,X,X
IJSZOTL,O,O,O,X,X,O,X,X,X,X
IJSZOLT,O,O,X,X,X,X,X,O,X,X
IJSOTLZ,O,X,O,O,X,X,X,X,X,X
IJSOTZL,O,O,O,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,O,X,X,X,X,X,X
IJSOLZT,O,X,X,O,X,X,X,O,X,X
IJSOZTL,O,O,O,X,X,O,X,X,X,X
IJSOZLT,O,O,X,X,X,X,X,O,X,X
IJZTLSO,O,O,X,O,X,X,X,X,X,X
IJZTLOS,O,O,X,O,X,X,O,X,X,X
IJZTSLO,O,O,X,X,X,X,X,X,X,X
IJZTSOL,O,O,X,X,X,O,X,X,X,X
IJZTOLS,O,O,X,O,X,X,O,X,X,X
IJZTOSL,O,O,X,X,X,O,X,X,X,X
IJZLTSO,O,O,X,O,X,X,X,X,X,X
IJZLTOS,O,O,X,O,X,X,O,X,X,X
IJZLSTO,O,O,X,O,X,X,X,X,X,X
IJZLSOT,O,O,X,O,X,X,X,O,X,X
IJZLOTS,O,O,X,O,X,X,O,X,X,X
IJZLOST,O,O,X,O,X,X,O,O,X,X
IJZSTLO,O,O,X,X,X,X,X,X,X,X
IJZSTOL,O,O,X,X,X,O,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,X,O,X,X
IJZSOTL,O,O,X,X,X,O,X,X,X,X
IJZSOLT,O,O,X,X,X,X,X,O,X,X
IJZOTLS,O,O,X,O,X,X,O,X,X,X
IJZOTSL,O,O,X,X,X,O,X,X,X,X
IJZOLTS,O,O,X,O,X,X,O,X,X,X
IJZOLST,O,O,X,O,X,X,O,O,X,X
IJZOSTL,O,O,X,X,X,O,X,X,X,X
IJZOSLT,O,O,X,X,X,X,X,O,X,X
IJOTLSZ,O,X,O,O,X,X,X,X,X,X
IJOTLZS,O,X,X,O,X,X,X,X,X,X
IJOTSLZ,O,X,O,O,X,X,X,X,X,X
IJOTSZL,O,O,O,X,X,X,X,X,X,X
IJOTZLS,O,O,X,O,X,X,X,X,X,X
IJOTZSL,O,O,O,X,X,X,X,X,X,X
IJOLTSZ,O,X,X,O,X,X,X,X,X,X
IJOLTZS,O,X,X,O,X,X,X,X,X,X
IJOLSTZ,O,X,X,O,X,X,X,X,X,X
IJOLSZT,O,X,X,O,X,X,X,O,X,X
IJOLZTS,O,X,X,O,X,X,O,X,X,X
IJOLZST,O,X,X,O,X,X,O,O,X,X
IJOSTLZ,O,X,O,O,X,X,X,X,X,X
IJOSTZL,O,O,O,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,O,X,X,X,X,X,X
IJOSLZT,O,X,X,O,X,X,X,O,X,X
IJOSZTL,O,O,O,X,X,O,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X,O,X,X
IJOZTLS,O,O,X,O,X,X,O,X,X,X
IJOZTSL,O,O,X,X,X,O,X,X,X,X
IJOZLTS,O,O,X,O,X,X,O,X,X,X
IJOZLST,O,O,X,O,X,X,O,O,X,X
IJOZSTL,O,O,X,X,X,O,X,X,X,X
IJOZSLT,O,O,X,X,X,X,X,O,X,X
ISTLJZO,O,X,O,O,X,X,X,X,O,X
ISTLJOZ,O,X,O,O,X,X,X,X,X,X
ISTLZJO,O,X,X,X,X,X,X,X,O,X
ISTLZOJ,X,X,X,X,O,X,X,O,O,X
ISTLOJZ,X,X,O,X,O,X,X,X,X,X
ISTLOZJ,X,X,X,X,O,X,X,O,O,X
ISTJLZO,O,X,O,O,X,X,X,X,X,X
ISTJLOZ,O,X,O,O,X,X,X,X,X,X
ISTJZLO,O,X,O,X,X,X,X,X,X,X
ISTJZOL,O,X,O,X,O,X,X,X,X,X
ISTJOLZ,O,X,O,O,O,X,X,X,X,X
ISTJOZL,O,X,O,X,O,X,X,X,X,X
ISTZLJO,O,X,X,X,X,X,X,X,O,X
ISTZLOJ,X,X,X,X,O,O,X,O,O,X
ISTZJLO,O,X,O,X,X,X,X,X,X,X
ISTZJOL,O,X,O,X,O,O,X,X,X,X
ISTZOLJ,X,X,X,X,O,O,X,O,X,X
ISTZOJL,O,X,O,X,O,O,X,X,X,X
ISTOLJZ,X,X,O,X,O,X,X,X,X,X
ISTOLZJ,X,X,X,X,O,X,X,O,X,X
ISTOJLZ,O,X,O,X,O,X,X,X,X,X
ISTOJZL,O,X,O,X,O,X,X,X,X,X
ISTOZLJ,X,X,X,X,O,O,X,O,X,X
ISTOZJL,O,X,O,X,O,O,X,X,X,X
ISLTJZO,O,X,X,O,X,X,X,X,O,X
ISLTJOZ,O,X,X,O,X,X,X,X,X,X
ISLTZJO,O,X,X,X,X,X,X,X,O,X
ISLTZOJ,X,X,X,X,O,X,X,O,O,X
ISLTOJZ,X,X,X,X,O,X,X,X,X,X
ISLTOZJ,X,X,X,X,O,X,X,O,O,X
ISLJTZO,O,X,X,O,X,X,X,X,O,X
ISLJTOZ,O,X,X,O,X,X,X,X,X,X
ISLJZTO,O,X,X,O,X,X,X,X,O,X
ISLJZOT,O,X,X,O,X,X,X,O,X,X
ISLJOTZ,O,X,X,O,X,X,X,X,X,X
ISLJOZT,O,X,X,O,X,X,X,O,X,X
ISLZTJO,O,X,X,X,X,X,X,X,O,X
ISLZTOJ,X,X,X,X,O,O,X,O,O,X
ISLZJTO,O,X,X,X,X,X,X,X,O,X
ISLZJOT,O,X,X,X,X,X,X,O,X,X
ISLZOTJ,X,X,X,X,O,O,X,O,O,X
ISLZOJT,X,X,X,X,X,X,X,O,X,X
ISLOTJZ,X,X,X,X,O,X,X,X,X,X
ISLOTZJ,X,X,X,X,O,X,X,O,O,X
ISLOJTZ,X,X,X,X,X,X,X,X,X,X
ISLOJZT,X,X,X,X,X,X,X,O,X,X
ISLOZTJ,X,X,X,X,O,O,X,O,O,X
ISLOZJT,X,X,X,X,X,X,X,O,X,X
ISJTLZO,O,X,O,O,X,X,X,X,X,X
ISJTLOZ,O,X,O,O,X,X,X,X,X,X
ISJTZLO,O,X,O,X,X,X,X,X,X,X
ISJTZOL,O,X,O,X,O,X,X,X,X,X
ISJTOLZ,O,X,O,O,O,X,X,X,X,X
ISJTOZL,O,X,O,X,O,X,X,X,X,X
ISJLTZO,O,X,X,O,X,X,X,X,O,X
ISJLTOZ,O,X,X,O,X,X,X,X,X,X
ISJLZTO,O,X,X,O,X,X,X,X,O,X
ISJLZOT,O,X,X,O,X,X,X,O,X,X
ISJLOTZ,O,X,X,O,X,X,X,X,X,X
ISJLOZT,O,X,X,O,X,X,X,O,X,X
ISJZTLO,O,X,O,X,X,X,X,X,X,X
ISJZTOL,O,X,O,X,O,O,X,X,X,X
ISJZLTO,O,X,X,X,X,X,X,X,O,X
ISJZLOT,O,X,X,X,X,X,X,O,X,X
ISJZOTL,O,X,O,X,X,O,X,X,X,X
ISJZOLT,O,X,X,X,X,X,X,O,X,X
ISJOTLZ,O,X,O,O,X,X,X,X,X,X
ISJOTZL,O,X,O,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,O,X,X,X,X,X,X
ISJOLZT,O,X,X,O,X,X,X,O,X,X
ISJOZTL,O,X,O,X,X,O,X,X,X,X
ISJOZLT,O,X,X,X,X,X,X,O,X,X
ISZTLJO,O,X,X,X,X,X,X,X,O,X
ISZTLOJ,X,X,X,X,O,O,X,O,O,X
ISZTJLO,O,X,X,X,X,X,X,X,X,X
ISZTJOL,O,X,X,X,O,O,X,X,X,X
ISZTOLJ,X,X,X,X,O,O,X,O,X,X
ISZTOJL,O,X,X,X,O,O,X,X,X,X
ISZLTJO,O,X,X,X,X,X,X,X,O,X
ISZLTOJ,X,X,X,X,O,O,X,O,O,X
ISZLJTO,O,X,X,X,X,X,X,X,O,X
ISZLJOT,O,X,X,X,X,X,X,O,X,X
ISZLOTJ,X,X,X,X,O,O,X,O,O,X
ISZLOJT,X,X,X,X,X,X,X,O,X,X
ISZJTLO,O,O,O,X,X,X,X,X,X,X
ISZJTOL,O,O,O,X,O,O,X,X,X,X
ISZJLTO,O,O,X,X,X,X,X,X,O,X
ISZJLOT,O,O,X,X,X,X,X,O,X,X
ISZJOTL,O,O,O,X,X,O,X,X,X,X
ISZJOLT,O,O,X,X,X,X,X,O,X,X
ISZOTLJ,X,X,X,X,O,O,X,O,X,X
ISZOTJL,O,X,X,X,O,O,X,X,X,X
ISZOLTJ,X,X,X,X,O,O,X,O,O,X
ISZOLJT,X,X,X,X,X,X,X,O,X,X
ISZOJTL,O,O,O,X,X,O,X,X,X,X
ISZOJLT,O,O,X,X,X,X,X,O,X,X
ISOTLJZ,X,X,O,X,O,X,X,X,X,X
ISOTLZJ,X,X,X,X,O,X,X,O,X,X
ISOTJLZ,O,X,O,X,O,X,X,X,X,X
ISOTJZL,O,X,O,X,O,X,X,X,X,X
ISOTZLJ,X,X,X,X,O,O,X,O,X,X
ISOTZJL,O,X,O,X,O,O,X,X,X,X
ISOLTJZ,X,X,X,X,O,X,X,X,X,X
ISOLTZJ,X,X,X,X,O,X,X,O,O,X
ISOLJTZ,X,X,X,X,X,X,X,X,X,X
ISOLJZT,X,X,X,X,X,X,X,O,X,X
ISOLZTJ,X,X,X,X,O,O,X,O,O,X
ISOLZJT,X,X,X,X,X,X,X,O,X,X
ISOJTLZ,O,X,O,X,X,X,X,X,X,X
ISOJTZL,O,X,O,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,O,X,X
ISOJZTL,O,X,O,X,X,O,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X,O,X,X
ISOZTLJ,X,X,X,X,O,O,X,O,X,X
ISOZTJL,O,X,X,X,O,O,X,X,X,X
ISOZLTJ,X,X,X,X,O,O,X,O,O,X
ISOZLJT,X,X,X,X,X,X,X,O,X,X
ISOZJTL,O,O,O,X,X,O,X,X,X,X
ISOZJLT,O,O,X,X,X,X,X,O,X,X
IZTLJSO,O,X,X,O,X,X,X,X,X,X
IZTLJOS,O,X,X,O,X,X,O,X,X,X
IZTLSJO,O,X,X,X,X,X,X,X,O,X
IZTLSOJ,X,X,X,X,X,O,X,O,O,X
IZTLOJS,O,X,X,X,X,X,O,X,X,X
IZTLOSJ,X,X,X,X,X,O,X,O,X,X
IZTJLSO,O,O,X,O,X,X,X,X,X,X
IZTJLOS,O,O,X,O,X,X,O,X,X,X
IZTJSLO,O,O,O,X,X,X,X,X,X,X
IZTJSOL,O,O,O,X,X,O,X,X,X,X
IZTJOLS,O,O,X,O,X,X,O,X,X,X
IZTJOSL,O,O,O,X,X,O,X,X,X,X
IZTSLJO,O,X,X,X,X,X,X,X,X,X
IZTSLOJ,X,X,X,X,O,O,X,O,X,X
IZTSJLO,O,X,O,X,X,X,X,X,X,X
IZTSJOL,O,X,O,X,O,O,X,X,X,X
IZTSOLJ,X,X,X,X,O,O,X,O,X,X
IZTSOJL,O,X,O,X,O,O,X,X,X,X
IZTOLJS,O,X,X,X,X,X,O,X,X,X
IZTOLSJ,X,X,X,X,O,O,X,O,X,X
IZTOJLS,O,O,X,X,X,X,O,X,X,X
IZTOJSL,O,O,O,X,X,O,X,X,X,X
IZTOSLJ,X,X,X,X,O,O,X,O,X,X
IZTOSJL,O,X,O,X,O,O,X,X,X,X
IZLTJSO,O,X,X,O,X,X,X,X,X,X
IZLTJOS,O,X,X,O,X,X,O,X,X,X
IZLTSJO,O,X,X,X,X,X,X,X,O,X
IZLTSOJ,X,X,X,X,X,O,X,O,O,X
IZLTOJS,O,X,X,X,X,X,O,X,X,X
IZLTOSJ,X,X,X,X,X,O,X,O,X,X
IZLJTSO,O,O,X,O,X,X,X,X,X,X
IZLJTOS,O,O,X,O,X,X,O,X,X,X
IZLJSTO,O,O,X,O,X,X,X,X,X,X
IZLJSOT,O,O,X,O,X,X,X,O,X,X
IZLJOTS,O,O,X,O,X,X,O,X,X,X
IZLJOST,O,O,X,O,X,X,O,O,X,X
IZLSTJO,O,X,X,X,X,X,X,X,O,X
IZLSTOJ,X,X,X,X,O,O,X,O,O,X
IZLSJTO,O,X,X,X,X,X,X,X,O,X
IZLSJOT,O,X,X,X,X,X,X,O,X,X
IZLSOTJ,X,X,X,X,O,O,X,O,O,X
IZLSOJT,X,X,X,X,X,X,X,O,X,X
IZLOTJS,O,X,X,X,X,X,O,X,X,X
IZLOTSJ,X,X,X,X,O,O,X,O,X,X
IZLOJTS,O,O,X,X,X,X,O,X,X,X
IZLOJST,O,O,X,X,X,X,O,O,X,X
IZLOSTJ,X,X,X,X,O,O,X,O,X,X
IZLOSJT,X,X,X,X,X,X,X,O,X,X
IZJTLSO,O,O,X,O,X,X,X,X,X,X
IZJTLOS,O,O,X,O,X,X,O,X,X,X
IZJTSLO,O,O,X,X,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,O,X,X,X,X
IZJTOLS,O,O,X,O,X,X,O,X,X,X
IZJTOSL,O,O,X,X,X,O,X,X,X,X
IZJLTSO,O,O,X,O,X,X,X,X,X,X
IZJLTOS,O,O,X,O,X,X,O,X,X,X
IZJLSTO,O,O,X,O,X,X,X,X,X,X
IZJLSOT,O,O,X,O,X,X,X,O,X,X
IZJLOTS,O,O,X,O,X,X,O,X,X,X
IZJLOST,O,O,X,O,X,X,O,O,X,X
IZJSTLO,O,O,X,X,X,X,X,X,X,X
IZJSTOL,O,O,X,X,O,O,X,X,X,X
IZJSLTO,O,O,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X,O,X,X
IZJSOTL,O,O,X,X,X,O,X,X,X,X
IZJSOLT,O,O,X,X,X,X,X,O,X,X
IZJOTLS,O,O,X,O,X,X,O,X,X,X
IZJOTSL,O,O,X,X,X,O,X,X,X,X
IZJOLTS,O,O,X,O,X,X,O,X,X,X
IZJOLST,O,O,X,O,X,X,O,O,X,X
IZJOSTL,O,O,X,X,X,O,X,X,X,X
IZJOSLT,O,O,X,X,X,X,X,O,X,X
IZSTLJO,O,X,X,X,X,X,X,X,O,X
IZSTLOJ,X,X,X,X,O,O,X,O,O,X
IZSTJLO,O,X,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,X,O,O,X,X,X,X
IZSTOLJ,X,X,X,X,O,O,X,O,X,X
IZSTOJL,O,X,X,X,O,O,X,X,X,X
IZSLTJO,O,X,X,X,X,X,X,X,O,X
IZSLTOJ,X,X,X,X,O,O,X,O,O,X
IZSLJTO,O,X,X,X,X,X,X,X,O,X
IZSLJOT,O,X,X,X,X,X,X,O,X,X
IZSLOTJ,X,X,X,X,O,O,X,O,O,X
IZSLOJT,X,X,X,X,X,X,X,O,X,X
IZSJTLO,O,O,X,X,X,X,X,X,X,X
IZSJTOL,O,O,X,X,O,O,X,X,X,X
IZSJLTO,O,O,X,X,X,X,X,X,O,X
IZSJLOT,O,O,X,X,X,X,X,O,X,X
IZSJOTL,O,O,X,X,X,O,X,X,X,X
IZSJOLT,O,O,X,X,X,X,X,O,X,X
IZSOTLJ,X,X,X,X,O,O,X,O,X,X
IZSOTJL,O,X,X,X,O,O,X,X,X,X
IZSOLTJ,X,X,X,X,O,O,X,O,O,X
IZSOLJT,X,X,X,X,X,X,X,O,X,X
IZSOJTL,O,O,X,X,X,O,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X,O,X,X
IZOTLJS,O,X,X,X,X,X,O,X,X,X
IZOTLSJ,X,X,X,X,O,O,X,O,X,X
IZOTJLS,O,O,X,X,X,X,O,X,X,X
IZOTJSL,O,O,O,X,X,O,X,X,X,X
IZOTSLJ,X,X,X,X,O,O,X,O,X,X
IZOTSJL,O,X,O,X,O,O,X,X,X,X
IZOLTJS,O,X,X,X,X,X,O,X,X,X
IZOLTSJ,X,X,X,X,O,O,X,O,X,X
IZOLJTS,O,O,X,X,X,X,O,X,X,X
IZOLJST,O,O,X,X,X,X,O,O,X,X
IZOLSTJ,X,X,X,X,O,O,X,O,X,X
IZOLSJT,X,X,X,X,X,X,X,O,X,X
IZOJTLS,O,O,X,X,X,X,O,X,X,X
IZOJTSL,O,O,X,X,X,O,X,X,X,X
IZOJLTS,O,O,X,X,X,X,O,X,X,X
IZOJLST,O,O,X,X,X,X,O,O,X,X
IZOJSTL,O,O,X,X,X,O,X,X,X,X
IZOJSLT,O,O,X,X,X,X,X,O,X,X
IZOSTLJ,X,X,X,X,O,O,X,O,X,X
IZOSTJL,O,X,X,X,O,O,X,X,X,X
IZOSLTJ,X,X,X,X,O,O,X,O,X,X
IZOSLJT,X,X,X,X,X,X,X,O,X,X
IZOSJTL,O,O,X,X,X,O,X,X,X,X
IZOSJLT,O,O,X,X,X,X,X,O,X,X
IOTLJSZ,O,X,O,O,X,X,X,X,X,O
IOTLJZS,O,X,X,O,X,X,X,X,X,X
IOTLSJZ,X,X,O,X,O,X,X,X,X,O
IOTLSZJ,X,X,X,X,O,X,X,O,X,O
IOTLZJS,O,X,X,X,X,X,O,X,X,X
IOTLZSJ,X,X,X,X,O,X,X,O,X,O
IOTJLSZ,O,X,O,O,X,X,X,X,X,X
IOTJLZS,O,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,X,O,O,X,X,X,X,X,X
IOTJSZL,O,X,O,X,X,X,X,X,X,X
IOTJZLS,O,X,X,O,X,X,X,X,X,X
IOTJZSL,O,X,O,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,X,O,X,X,X,X,X
IOTSLZJ,X,X,X,X,O,X,X,O,X,X
IOTSJLZ,O,X,O,X,O,X,X,X,X,X
IOTSJZL,O,X,O,X,O,X,X,X,X,X
IOTSZLJ,X,X,X,X,O,O,X,O,X,X
IOTSZJL,O,X,O,X,O,O,X,X,X,X
IOTZLJS,O,X,X,X,X,X,O,X,X,X
IOTZLSJ,X,X,X,X,O,O,X,O,X,X
IOTZJLS,O,O,X,X,X,X,O,X,X,X
IOTZJSL,O,O,O,X,X,O,X,X,X,X
IOTZSLJ,X,X,X,X,O,O,X,O,X,X
IOTZSJL,O,X,O,X,O,O,X,X,X,X
IOLTJSZ,O,X,O,O,X,X,X,X,X,O
IOLTJZS,O,X,X,O,X,X,X,X,X,X
IOLTSJZ,X,X,O,X,O,X,X,X,X,O
IOLTSZJ,X,X,X,X,O,X,X,O,X,O
IOLTZJS,O,X,X,X,X,X,O,X,X,X
IOLTZSJ,X,X,X,X,O,X,X,O,X,O
IOLJTSZ,O,X,X,O,X,X,X,X,X,O
IOLJTZS,O,X,X,O,X,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,X,X,X,X,O
IOLJSZT,O,X,X,O,X,X,X,O,X,X
IOLJZTS,O,X,X,O,X,X,O,X,X,X
IOLJZST,O,X,X,O,X,X,O,O,X,X
IOLSTJZ,X,X,X,X,O,X,X,X,X,O
IOLSTZJ,X,X,X,X,O,X,X,O,X,O
IOLSJTZ,X,X,X,X,X,X,X,X,X,O
IOLSJZT,X,X,X,X,X,X,X,O,X,X
IOLSZTJ,X,X,X,X,O,O,X,O,X,O
IOLSZJT,X,X,X,X,X,X,X,O,X,X
IOLZTJS,O,X,X,X,X,X,O,X,X,X
IOLZTSJ,X,X,X,X,O,O,X,O,X,O
IOLZJTS,O,O,X,X,X,X,O,X,X,X
IOLZJST,O,O,X,X,X,X,O,O,X,X
IOLZSTJ,X,X,X,X,O,O,X,O,X,O
IOLZSJT,X,X,X,X,X,X,X,O,X,X
IOJTLSZ,O,X,O,O,X,X,X,X,X,X
IOJTLZS,O,X,X,O,X,X,X,X,X,X
IOJTSLZ,O,X,O,O,X,X,X,X,X,X
IOJTSZL,O,O,O,X,X,X,X,X,X,X
IOJTZLS,O,O,X,O,X,X,X,X,X,X
IOJTZSL,O,O,O,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,O,X,X,X,X,X,X
IOJLTZS,O,X,X,O,X,X,X,X,X,X
IOJLSTZ,O,X,X,O,X,X,X,X,X,X
IOJLSZT,O,X,X,O,X,X,X,O,X,X
IOJLZTS,O,X,X,O,X,X,O,X,X,X
IOJLZST,O,X,X,O,X,X,O,O,X,X
IOJSTLZ,O,X,O,O,X,X,X,X,X,X
IOJSTZL,O,O,O,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,O,X,X,X,X,X,X
IOJSLZT,O,X,X,O,X,X,X,O,X,X
IOJSZTL,O,O,O,X,X,O,X,X,X,X
IOJSZLT,O,O,X,X,X,X,X,O,X,X
IOJZTLS,O,O,X,O,X,X,O,X,X,X
IOJZTSL,O,O,X,X,X,O,X,X,X,X
IOJZLTS,O,O,X,O,X,X,O,X,X,X
IOJZLST,O,O,X,O,X,X,O,O,X,X
IOJZSTL,O,O,X,X,X,O,X,X,X,X
IOJZSLT,O,O,X,X,X,X,X,O,X,X
IOSTLJZ,X,X,O,X,O,X,X,X,X,X
IOSTLZJ,X,X,X,X,O,X,X,O,X,X
IOSTJLZ,O,X,O,X,O,X,X,X,X,X
IOSTJZL,O,X,O,X,O,X,X,X,X,X
IOSTZLJ,X,X,X,X,O,O,X,O,X,X
IOSTZJL,O,X,O,X,O,O,X,X,X,X
IOSLTJZ,X,X,X,X,O,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,X,X,O,X,X
IOSLJTZ,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,X,X,X,X,X,X,O,X,X
IOSLZTJ,X,X,X,X,O,O,X,O,X,X
IOSLZJT,X,X,X,X,X,X,X,O,X,X
IOSJTLZ,O,X,O,X,X,X,X,X,X,X
IOSJTZL,O,X,O,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,O,X,X
IOSJZTL,O,X,O,X,X,O,X,X,X,X
IOSJZLT,O,X,X,X,X,X,X,O,X,X
IOSZTLJ,X,X,X,X,O,O,X,O,X,X
IOSZTJL,O,X,X,X,O,O,X,X,X,X
IOSZLTJ,X,X,X,X,O,O,X,O,X,X
IOSZLJT,X,X,X,X,X,X,X,O,X,X
IOSZJTL,O,O,O,X,X,O,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X,O,X,X
IOZTLJS,O,X,X,X,X,X,O,X,X,X
IOZTLSJ,X,X,X,X,O,O,X,O,X,X
IOZTJLS,O,O,X,X,X,X,O,X,X,X
IOZTJSL,O,O,O,X,X,O,X,X,X,X
IOZTSLJ,X,X,X,X,O,O,X,O,X,X
IOZTSJL,O,X,O,X,O,O,X,X,X,X
IOZLTJS,O,X,X,X,X,X,O,X,X,X
IOZLTSJ,X,X,X,X,O,O,X,O,X,X
