sequence,v115@vhETJJ2vBRrBSxBTtB,v115@vhETJJiqBGsBTtBRwB,v115@vhHT5IfnBTjBKpBUqBFrBGtBRxB,v115@vhHT1ITfB8lB+tBipBlrB3sBRvB,v115@vhHT1IOkBfoBzkBUrBFsBSyBxuB,v115@vhHT5I8kB6oBznB2uBlqB3rBxxB,v115@vhHc/I5oBFlB6rBTnBetBTpB3qB,v115@vhH/DJZkBqpBTlBOrBlnBUsBTtB,v115@vhHzAJfnBziBKpBUqBFrBGtBRxB,v115@vhHz/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBziBKpBFqBGsBTtBRwB,v115@vhHz/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJziBKpBUmB/sBFqBTtBRwB,v115@vhHz/IihBcqB3mB+tBTpBlsBRwB,v115@vhHz4IfnBziBKpBUqBFrBGtBRxB,v115@vhHz1IzfB8lB+tBipBlrB3sBRvB,v115@vhH2/IKpBfqBllBcrBTnBToBxxB,v115@vhH2/IKpBfqBllBcrBxnBTsBTtB,v115@vhHSDJTkBTlB/rBFnB8sB+tBxuB,v115@vhHSDJxkB/rBFnB8sB+tBTpBTqB,v115@vhHT6IegBKpBUmB/sBFqBTtBRwB,v115@vhHqCJTeBcqB3mB+tBTpBlsBRwB,v115@vhHT1I0fBfnB2pBFrBSxBTtBxuB,v115@vhHT5I8lBXjBStBTpB2vBlrBxxB,v115@vhHT5IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT1I/kB0mBCoB2uBlqBTtBxwB,v115@vhHzAJfnBTjBKpBUqBFrBGtBRxB,v115@vhHT/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBTjBKpBFqBGsBTtBRwB,v115@vhHT/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJTjBKpBUmB/sBFqBTtBRwB,v115@vhHT/IihBcqB3mB+tBTpBlsBRwB,v115@vhHT/IfnB0iBKqBTpBFrBGtBRxB,v115@vhHXAJ8lBTjB+sBipBlrBTtBRvB,v115@vhHT/IGiBKqBUnB/tBTpBFrBRxB,v115@vhHiAJTjBcpB3lB+sBlrBTtBRvB,v115@vhHOEJzhBfoBzkBUrBFsBSyBxuB,v115@vhH8EJzgB6oBznB2uBlqB3rBxxB,v115@vhHOEJfnB0iBzkBFrBSxBTtBxuB,v115@vhHXAJ8lB6oBznBTpB2vBlrBxxB,v115@vhH26ITfBKqBUnB/tBTpBFrBRxB,v115@vhHS+ITjBcpB3lB+sBlrBTtBRvB,v115@vhHT1I0fBfmBKpBFqBGsBTtBRwB,v115@vhHT5I8mBXjB+tBTpBiqBlsBRwB,v115@vhH0/IfmBziBKpBFqBGsBTtBRwB,v115@vhHz/I8mBXjB+tBTpBiqBlsBRwB,v115@vhHT+IWoBKpBUmB/sBFqBTtBRwB,v115@vhHT6IykBcqB3mB+tBTpBlsBRwB,v115@vhHcBJ5lBTkBeqBFnB6tBTrB3sB,v115@vhH/BJZnBOpBllBqsBToBUqBTrB,v115@vhHG5I/jBxkB0mBlnBTpBiqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBGsBTtB,v115@vhHfDJ2kBUmBFnBStBTpBTqBRxB,v115@vhH8/ISoB2pBllB3mBTsBTtBRvB,v115@vhHT6IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT+I/kB0mBCoB2uBlqBTtBxwB,v115@vhHO6IzfBKpBUmB/sBFqBTtBRwB,v115@vhH6+IziBcqB3mB+tBTpBlsBRwB,v115@vhHG5I/jBxkB0mBlnBipBzqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBzrBGtB,v115@vhHz8I5jB/pBUlBFmBTnBKtBWxB,v115@vhHZ/IzbB+pBTlBlmB3nBctByvB,v115@vhHT5IfjB5oBikBUmBFnBGqBzsB,v115@vhHT1I8fBZkBllB3mBGoBzpBisB,v115@vhHcFJThBTkBesBqsB/tBFrBxuB,v115@vhHTBJ/nBcpBeqBqqBToBlrBxxB,v115@vhHcFJThBTkBmnBFrBXsBSyBxuB,v115@vhHTBJ/nBClBToB2uB0qBlrBxxB,v115@vhH8/IZkBllBasBGoBzpBXrBzsB,v115@vhHfDJ5oBikBuqBFnBzpB0rBzsB,v115@vhHWDJ/pBRlBFnB6tBTqB0rBzsB,v115@vhHy/IOpBllBRnBctBzpBXrBTsB
JZLTSOI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O
JZLTOIS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O
JZLTOSI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,O
JZLITSO,X,X,O,X,X,X,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X
JZLITOS,X,X,O,X,X,X,O,O,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,O,X,O
JZLISTO,X,X,O,X,X,X,O,O,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X,O,O,O,O,X,O,O,X,O,O,X,X,O,X,X,O,O,X,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X
JZLISOT,X,X,O,X,X,X,O,O,O,X,O,O,X,O,O,X,X,O,O,O,X,X,X,O,O,O,O,X,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,X,O,O,X,O,O,O,X,O,X,X,O,O,X,O,X,O,O,O,O,O,X,O,X,O,O,O,O,O
JZLIOTS,O,X,O,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O,O,O,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,O,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,O,O,X,X,X,X,O,O,X,O
JZLIOST,O,X,O,X,X,X,O,O,O,X,O,O,X,O,O,X,X,O,O,O,X,X,X,O,O,O,O,X,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,X,O,O,X,O,O,O,X,O,X,X,O,O,X,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O
JZLSTIO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZLSTOI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
JZLSITO,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZLSIOT,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,O,X,O,X,X,O,O,X,O,X,O,O,O,O,O,X,X,X,X,O,O,O,O
JZLSOTI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O,O,O
JZLSOIT,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,X,X,O,O,O,O
JZLOTIS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O
JZLOTSI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O,O
JZLOITS,O,O,O,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,O,O,X,X,X,X,O,O,X,O
JZLOIST,O,O,O,X,X,X,O,O,X,X,O,O,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X,O,O,O,X,O,X,X,O,O,X,O,O,O,O,O,O,O,X,X,X,X,O,O,O,O
JZLOSTI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,O,O
JZLOSIT,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,O,O
JZSTILO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSTIOL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZSTLIO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSTLOI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZSTOIL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JZSTOLI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JZSITLO,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSITOL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZSILTO,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZSILOT,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,O,O,X,O
JZSIOTL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O
JZSIOLT,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,O,O,O
JZSLTIO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZSLTOI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
JZSLITO,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZSLIOT,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,O,O,O,O
JZSLOTI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O,O,O
JZSLOIT,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,O
JZSOTIL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O
JZSOTLI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O
JZSOITL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O
JZSOILT,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,O
JZSOLTI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,O,O
JZSOLIT,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,O
JZOTILS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O
JZOTISL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O
JZOTLIS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O
JZOTLSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O
JZOTSIL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O
JZOTSLI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O
JZOITLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O
JZOITSL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O
JZOILTS,O,O,O,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O
JZOILST,O,O,O,X,X,X,O,O,X,X,O,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,O,O,X,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O
JZOISTL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O
JZOISLT,X,X,O,X,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,O,O,X,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O
JZOLTIS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O
JZOLTSI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,O
JZOLITS,O,O,O,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O
JZOLIST,O,O,O,X,X,X,O,O,X,X,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X,O,O,O,X,O,O,X,O,X,X,O,O,O,O,X,O,X,X,X,X,X,O,O,O,O
JZOLSTI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,O,O
JZOLSIT,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,O,O,O
JZOSTIL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O
JZOSTLI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,O
JZOSITL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O
JZOSILT,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O,O,O,O
JZOSLTI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,O,O
JZOSLIT,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O,O,O,O
JOTILSZ,O,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JOTILZS,O,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JOTISLZ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JOTISZL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
JOTIZLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
JOTIZSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
JOTLISZ,O,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X
JOTLIZS,O,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
