sequence,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBGjBinB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeOEJvhFNlBRhB3iBcoBqp?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFUgBRhBGjBinBzp?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhB3iBcoB9pBOq?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBSoB2sB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhBcnBTjB9pBOq?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBOsBXoB0p?BCtB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBWoBKsBXo?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNFJvhFRhBGjBTkBinB3s?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFRhBunBcoBXlBKs?BzpB,v115@LhB8GeC8CeB8BeC8BeB8JeUAJvhFRhBTjBmpBisB/p?B9sB
TJOLIZS,X,O,O,O,O,X,X,O,X,X,O
TJOLSIZ,X,O,X,O,X,O,X,X,X,X,O
TJOLSZI,X,O,X,O,X,O,X,X,X,X,O
TJOLZIS,X,O,O,O,O,X,X,O,X,X,O
TJOLZSI,X,O,X,O,O,O,X,O,X,X,O
TJOSILZ,X,X,X,O,X,O,X,X,O,X,X
TJOSIZL,X,X,O,O,X,O,O,X,X,X,X
TJOSLIZ,X,X,X,O,X,O,X,X,O,X,X
TJOSLZI,X,X,X,O,X,O,X,X,O,X,X
TJOSZIL,X,X,O,O,X,O,O,X,X,X,X
TJOSZLI,X,X,X,O,X,O,O,X,O,X,X
TJOZILS,O,O,O,O,O,X,O,O,X,X,X
TJOZISL,O,O,O,O,O,X,O,X,X,X,X
TJOZLIS,O,O,O,O,O,X,O,O,X,X,X
TJOZLSI,X,O,X,O,O,O,O,O,X,X,X
TJOZSIL,O,O,O,O,O,O,O,X,X,X,X
TJOZSLI,X,O,X,O,O,O,O,O,X,X,X
TSILJZO,O,O,O,X,X,X,X,O,O,O,X
TSILJOZ,O,O,O,X,X,X,X,X,O,X,X
TSILZJO,O,O,O,O,X,O,X,O,O,O,X
TSILZOJ,O,O,O,O,X,O,X,O,O,O,X
TSILOJZ,O,O,O,X,X,X,X,X,O,X,X
TSILOZJ,O,O,O,O,X,O,X,X,O,O,X
TSIJLZO,O,X,O,X,O,O,O,X,O,O,X
TSIJLOZ,O,X,O,X,X,O,X,X,O,X,X
TSIJZLO,O,X,O,X,O,O,O,X,X,X,X
TSIJZOL,O,X,O,X,O,O,O,X,X,X,X
TSIJOLZ,X,X,O,X,X,O,X,X,O,X,X
TSIJOZL,O,X,O,X,X,O,O,X,X,X,X
