sequence,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFmg?BtmB6nBTjB0lBXtB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFTg?BemBtmBXjBStB0sB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFyl?BumB9nBTjB0lBXtB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFyl?BumB3iB9oB0lBzsB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8JeRAJvhFtm?BXjBupBzlBctB6sB
JTZSLIO,O,X,O,O,X
JTZSLOI,O,X,O,X,O
JTZSOIL,O,X,O,X,O
JTZSOLI,O,X,O,X,O
JTZOILS,O,O,X,X,O
JTZOISL,O,X,X,X,O
JTZOLIS,O,O,X,X,O
JTZOLSI,O,O,X,X,O
JTZOSIL,O,X,X,X,O
JTZOSLI,O,X,X,X,O
JTOILSZ,X,O,O,O,X
JTOILZS,X,O,X,O,O
JTOISLZ,X,O,O,O,X
JTOISZL,X,X,O,O,O
JTOIZLS,X,O,X,O,O
JTOIZSL,X,X,X,O,O
JTOLISZ,X,O,O,O,X
JTOLIZS,X,O,X,O,O
JTOLSIZ,X,O,O,O,X
JTOLSZI,X,O,O,O,X
JTOLZIS,X,O,X,O,O
JTOLZSI,X,O,X,O,O
JTOSILZ,X,O,O,O,X
JTOSIZL,X,X,O,O,O
JTOSLIZ,X,O,O,O,X
JTOSLZI,X,O,O,O,X
JTOSZIL,X,X,O,O,O
JTOSZLI,X,X,O,O,O
JTOZILS,X,O,X,O,O
JTOZISL,X,X,X,O,O
JTOZLIS,X,O,X,O,O
JTOZLSI,X,O,X,O,O
JTOZSIL,X,X,X,O,O
JTOZSLI,X,X,X,O,O
JITLSZO,O,O,O,O,X
JITLSOZ,O,O,O,O,X
JITLZSO,O,O,O,O,X
JITLZOS,O,O,X,X,X
JITLOSZ,X,O,O,O,X
JITLOZS,X,O,X,O,X
JITSLZO,O,O,O,O,X
JITSLOZ,O,O,O,O,X
JITSZLO,O,X,O,O,X
JITSZOL,O,X,O,X,X
JITSOLZ,O,O,O,O,X
JITSOZL,O,X,O,X,X
JITZLSO,O,O,O,O,X
JITZLOS,O,O,X,X,X
JITZSLO,O,X,O,O,X
JITZSOL,O,X,O,X,O
JITZOLS,O,O,X,X,O
JITZOSL,O,X,X,X,O
JITOLSZ,X,O,O,O,X
JITOLZS,X,O,X,O,O
JITOSLZ,X,O,O,O,X
JITOSZL,X,X,O,O,O
JITOZLS,X,O,X,O,O
JITOZSL,X,X,X,O,O
JILTSZO,X,O,O,O,X
JILTSOZ,X,O,O,O,X
JILTZSO,X,O,O,O,X
JILTZOS,X,O,X,X,X
JILTOSZ,X,O,O,O,X
JILTOZS,X,O,X,O,X
JILSTZO,X,O,O,O,X
JILSTOZ,X,O,O,O,X
JILSZTO,X,O,O,X,X
JILSZOT,X,O,X,X,X
JILSOTZ,X,O,O,O,X
JILSOZT,X,O,X,X,X
JILZTSO,X,O,O,O,X
JILZTOS,X,O,X,X,X
JILZSTO,X,O,O,X,X
JILZSOT,X,O,X,X,X
JILZOTS,X,O,X,O,X
JILZOST,X,O,X,X,X
JILOTSZ,X,O,O,O,X
JILOTZS,X,O,X,O,X
JILOSTZ,X,O,O,O,X
JILOSZT,X,O,X,X,X
JILOZTS,X,O,X,O,X
JILOZST,X,O,X,X,X
JISTLZO,O,O,O,O,X
JISTLOZ,O,O,O,O,X
JISTZLO,O,X,O,O,X
JISTZOL,O,X,O,X,X
JISTOLZ,O,O,O,O,X
JISTOZL,O,X,O,X,X
JISLTZO,O,O,O,O,X
JISLTOZ,O,O,O,O,X
JISLZTO,O,O,O,X,X
JISLZOT,O,O,X,X,X
JISLOTZ,O,O,O,O,X
JISLOZT,O,O,X,X,X
JISZTLO,O,X,O,X,X
JISZTOL,O,X,O,X,X
JISZLTO,O,X,O,X,X
JISZLOT,O,X,X,X,X
JISZOTL,O,X,X,X,X
JISZOLT,O,X,X,X,X
JISOTLZ,O,O,O,O,X
JISOTZL,O,X,O,O,X
JISOLTZ,O,O,O,O,X
JISOLZT,O,O,X,X,X
JISOZTL,O,X,X,X,X
JISOZLT,O,X,X,X,X
JIZTLSO,O,O,O,O,X
JIZTLOS,O,O,X,X,X
JIZTSLO,O,X,O,O,X
JIZTSOL,O,X,O,X,O
JIZTOLS,O,O,X,X,O
JIZTOSL,O,X,X,X,O
JIZLTSO,O,O,O,O,X
JIZLTOS,O,O,X,X,X
JIZLSTO,O,O,O,X,X
JIZLSOT,O,O,X,X,X
JIZLOTS,X,O,X,O,X
JIZLOST,X,O,X,X,X
JIZSTLO,O,X,O,X,X
JIZSTOL,O,X,O,X,O
JIZSLTO,O,X,O,X,X
JIZSLOT,O,X,X,X,X
JIZSOTL,O,X,X,X,O
JIZSOLT,O,X,X,X,O
JIZOTLS,O,O,X,O,O
JIZOTSL,O,X,X,O,O
JIZOLTS,X,O,X,O,O
JIZOLST,X,O,X,X,O
JIZOSTL,O,X,X,X,O
JIZOSLT,O,X,X,X,O
JIOTLSZ,X,O,O,O,X
JIOTLZS,X,O,X,O,O
JIOTSLZ,X,O,O,O,X
JIOTSZL,X,X,O,O,O
JIOTZLS,X,O,X,O,O
JIOTZSL,X,X,X,O,O
JIOLTSZ,X,O,O,O,X
JIOLTZS,X,O,X,O,O
JIOLSTZ,X,O,O,O,X
JIOLSZT,X,O,X,X,X
JIOLZTS,X,O,X,O,O
JIOLZST,X,O,X,X,O
JIOSTLZ,X,O,O,O,X
JIOSTZL,X,X,O,O,O
JIOSLTZ,X,O,O,O,X
JIOSLZT,X,O,X,X,X
JIOSZTL,X,X,X,X,O
JIOSZLT,X,X,X,X,O
JIOZTLS,X,O,X,O,O
JIOZTSL,X,X,X,O,O
JIOZLTS,X,O,X,O,O
JIOZLST,X,O,X,X,O
JIOZSTL,X,X,X,X,O
JIOZSLT,X,X,X,X,O
JLTISZO,X,O,O,O,X
JLTISOZ,X,O,O,O,X
JLTIZSO,X,O,O,O,X
JLTIZOS,X,O,X,X,X
JLTIOSZ,X,O,O,O,X
JLTIOZS,X,O,X,O,X
JLTSIZO,X,O,O,O,X
JLTSIOZ,X,O,O,O,X
JLTSZIO,X,O,O,O,X
JLTSZOI,X,O,O,X,X
JLTSOIZ,X,O,O,O,X
JLTSOZI,X,O,O,X,X
JLTZISO,X,O,O,O,X
JLTZIOS,X,O,X,X,X
JLTZSIO,X,O,O,O,X
JLTZSOI,X,O,O,X,O
JLTZOIS,X,O,X,X,O
JLTZOSI,X,O,X,X,O
JLTOISZ,X,O,O,O,X
JLTOIZS,X,O,X,O,O
JLTOSIZ,X,O,O,O,X
JLTOSZI,X,O,O,O,X
JLTOZIS,X,O,X,O,O
JLTOZSI,X,O,X,O,O
JLITSZO,X,O,O,O,X
JLITSOZ,X,O,O,O,X
JLITZSO,X,O,O,O,X
JLITZOS,X,O,X,X,X
JLITOSZ,X,O,O,O,X
JLITOZS,X,O,X,O,X
JLISTZO,X,O,O,O,X
JLISTOZ,X,O,O,O,X
JLISZTO,X,O,O,X,X
JLISZOT,X,O,X,X,X
JLISOTZ,X,O,O,O,X
JLISOZT,X,O,X,X,X
JLIZTSO,X,O,O,O,X
JLIZTOS,X,O,X,X,X
JLIZSTO,X,O,O,X,X
JLIZSOT,X,O,X,X,X
JLIZOTS,X,O,X,O,X
JLIZOST,X,O,X,X,X
JLIOTSZ,X,O,O,O,X
JLIOTZS,X,O,X,O,X
JLIOSTZ,X,O,O,O,X
JLIOSZT,X,O,X,X,X
JLIOZTS,X,O,X,O,X
JLIOZST,X,O,X,X,X
JLSTIZO,X,O,O,O,X
JLSTIOZ,X,O,O,O,X
JLSTZIO,X,O,O,O,X
JLSTZOI,X,O,O,X,X
JLSTOIZ,X,O,O,O,X
JLSTOZI,X,O,O,X,X
JLSITZO,X,O,O,O,X
JLSITOZ,X,O,O,O,X
JLSIZTO,X,O,O,X,X
JLSIZOT,X,O,X,X,X
JLSIOTZ,X,O,O,O,X
JLSIOZT,X,O,X,X,X
JLSZTIO,X,O,O,X,X
JLSZTOI,X,O,O,X,X
JLSZITO,X,O,O,X,X
JLSZIOT,X,O,X,X,X
JLSZOTI,X,O,X,X,X
JLSZOIT,X,O,X,X,X
JLSOTIZ,X,O,O,O,X
JLSOTZI,X,O,O,O,X
JLSOITZ,X,O,O,O,X
JLSOIZT,X,O,X,X,X
JLSOZTI,X,O,X,X,X
JLSOZIT,X,O,X,X,X
JLZTISO,X,O,O,O,X
JLZTIOS,X,O,X,X,X
JLZTSIO,X,O,O,O,X
JLZTSOI,X,O,O,X,O
JLZTOIS,X,O,X,X,O
JLZTOSI,X,O,X,X,O
JLZITSO,X,O,O,O,X
JLZITOS,X,O,X,X,X
JLZISTO,X,O,O,X,X
JLZISOT,X,O,X,X,X
JLZIOTS,X,O,X,O,X
JLZIOST,X,O,X,X,X
JLZSTIO,X,O,O,X,X
JLZSTOI,X,O,O,X,O
JLZSITO,X,O,O,X,X
JLZSIOT,X,O,X,X,X
JLZSOTI,X,O,X,X,O
JLZSOIT,X,O,X,X,O
JLZOTIS,X,O,X,O,O
JLZOTSI,X,O,X,O,O
JLZOITS,X,O,X,O,O
JLZOIST,X,O,X,X,O
JLZOSTI,X,O,X,X,O
JLZOSIT,X,O,X,X,O
JLOTISZ,X,O,O,O,X
JLOTIZS,X,O,X,O,O
JLOTSIZ,X,O,O,O,X
JLOTSZI,X,O,O,O,X
JLOTZIS,X,O,X,O,O
JLOTZSI,X,O,X,O,O
JLOITSZ,X,O,O,O,X
JLOITZS,X,O,X,O,O
JLOISTZ,X,O,O,O,X
JLOISZT,X,O,X,X,X
JLOIZTS,X,O,X,O,O
JLOIZST,X,O,X,X,O
JLOSTIZ,X,O,O,O,X
JLOSTZI,X,O,O,O,X
JLOSITZ,X,O,O,O,X
JLOSIZT,X,O,X,X,X
JLOSZTI,X,O,X,X,X
JLOSZIT,X,O,X,X,X
JLOZTIS,X,O,X,O,O
JLOZTSI,X,O,X,O,O
JLOZITS,X,O,X,O,O
JLOZIST,X,O,X,X,O
JLOZSTI,X,O,X,X,O
JLOZSIT,X,O,X,X,O
JSTILZO,O,O,O,O,X
JSTILOZ,O,O,O,O,X
JSTIZLO,O,X,O,O,X
JSTIZOL,O,X,O,X,X
JSTIOLZ,O,O,O,O,X
JSTIOZL,O,X,O,X,X
JSTLIZO,O,O,O,O,X
JSTLIOZ,O,O,O,O,X
JSTLZIO,O,O,O,O,X
JSTLZOI,O,O,O,X,X
JSTLOIZ,O,O,O,O,X
JSTLOZI,O,O,O,X,X
JSTZILO,O,X,O,O,X
JSTZIOL,O,X,O,X,O
JSTZLIO,O,X,O,O,X
JSTZLOI,O,X,O,X,O
JSTZOIL,O,X,O,X,O
JSTZOLI,O,X,O,X,O
JSTOILZ,O,O,O,O,X
JSTOIZL,O,X,O,X,O
JSTOLIZ,O,O,O,O,X
JSTOLZI,O,O,O,X,X
JSTOZIL,O,X,O,X,O
JSTOZLI,O,X,O,X,O
JSITLZO,O,O,O,O,X
JSITLOZ,O,O,O,O,X
JSITZLO,O,X,O,O,X
JSITZOL,O,X,O,X,X
JSITOLZ,O,O,O,O,X
JSITOZL,O,X,O,X,X
JSILTZO,O,O,O,O,X
JSILTOZ,O,O,O,O,X
JSILZTO,O,O,O,X,X
JSILZOT,O,O,X,X,X
JSILOTZ,O,O,O,O,X
JSILOZT,O,O,X,X,X
JSIZTLO,O,X,O,X,X
JSIZTOL,O,X,O,X,X
JSIZLTO,O,X,O,X,X
JSIZLOT,O,X,X,X,X
JSIZOTL,O,X,X,X,X
JSIZOLT,O,X,X,X,X
JSIOTLZ,O,O,O,O,X
JSIOTZL,O,X,O,O,X
JSIOLTZ,O,O,O,O,X
JSIOLZT,O,O,X,X,X
JSIOZTL,O,X,X,X,X
JSIOZLT,O,X,X,X,X
JSLTIZO,O,O,O,O,X
JSLTIOZ,O,O,O,O,X
JSLTZIO,O,O,O,O,X
JSLTZOI,O,O,O,X,X
JSLTOIZ,O,O,O,O,X
JSLTOZI,O,O,O,X,X
JSLITZO,O,O,O,O,X
JSLITOZ,O,O,O,O,X
JSLIZTO,O,O,O,X,X
JSLIZOT,O,O,X,X,X
JSLIOTZ,O,O,O,O,X
JSLIOZT,O,O,X,X,X
JSLZTIO,O,O,O,X,X
JSLZTOI,O,O,O,X,X
JSLZITO,O,O,O,X,X
JSLZIOT,O,O,X,X,X
JSLZOTI,O,O,X,X,X
JSLZOIT,O,O,X,X,X
JSLOTIZ,O,O,O,O,X
JSLOTZI,O,O,O,O,X
JSLOITZ,O,O,O,O,X
JSLOIZT,O,O,X,X,X
JSLOZTI,O,O,X,X,X
JSLOZIT,O,O,X,X,X
JSZTILO,O,X,O,X,X
JSZTIOL,O,X,O,X,O
JSZTLIO,O,X,O,X,X
JSZTLOI,O,X,O,X,O
JSZTOIL,O,X,O,X,O
JSZTOLI,O,X,O,X,O
JSZITLO,O,X,O,X,X
JSZITOL,O,X,O,X,O
JSZILTO,O,X,O,X,X
JSZILOT,O,X,X,X,X
JSZIOTL,O,X,X,X,O
JSZIOLT,O,X,X,X,O
JSZLTIO,O,X,O,X,X
JSZLTOI,O,X,O,X,O
JSZLITO,O,X,O,X,X
JSZLIOT,O,X,X,X,X
JSZLOTI,O,X,X,X,O
JSZLOIT,O,X,X,X,O
JSZOTIL,O,X,X,X,O
JSZOTLI,O,X,X,X,O
JSZOITL,O,X,X,X,O
JSZOILT,O,X,X,X,O
JSZOLTI,O,X,X,X,O
JSZOLIT,O,X,X,X,O
JSOTILZ,O,O,O,O,X
JSOTIZL,O,X,O,O,O
JSOTLIZ,O,O,O,O,X
JSOTLZI,O,O,O,O,X
JSOTZIL,O,X,O,O,O
JSOTZLI,O,X,O,O,O
JSOITLZ,O,O,O,O,X
JSOITZL,O,X,O,O,O
JSOILTZ,O,O,O,O,X
JSOILZT,O,O,X,X,X
JSOIZTL,O,X,X,X,O
JSOIZLT,O,X,X,X,O
JSOLTIZ,O,O,O,O,X
JSOLTZI,O,O,O,O,X
JSOLITZ,O,O,O,O,X
JSOLIZT,O,O,X,X,X
JSOLZTI,O,O,X,X,X
JSOLZIT,O,O,X,X,X
JSOZTIL,O,X,X,X,O
JSOZTLI,O,X,X,X,O
JSOZITL,O,X,X,X,O
JSOZILT,O,X,X,X,O
JSOZLTI,O,X,X,X,O
JSOZLIT,O,X,X,X,O
JZTILSO,O,O,O,O,X
JZTILOS,O,O,X,X,X
JZTISLO,O,X,O,O,X
JZTISOL,O,X,O,X,O
JZTIOLS,O,O,X,X,O
JZTIOSL,O,X,X,X,O
JZTLISO,O,O,O,O,X
JZTLIOS,O,O,X,X,X
JZTLSIO,O,O,O,O,X
JZTLSOI,O,O,O,X,O
JZTLOIS,O,O,X,X,O
JZTLOSI,O,O,X,X,O
JZTSILO,O,X,O,O,X
JZTSIOL,O,X,O,X,O
JZTSLIO,O,X,O,O,X
JZTSLOI,O,X,O,X,O
JZTSOIL,O,X,O,X,O
JZTSOLI,O,X,O,X,O
JZTOILS,O,O,X,X,O
JZTOISL,O,X,X,X,O
JZTOLIS,O,O,X,X,O
JZTOLSI,O,O,X,X,O
JZTOSIL,O,X,X,X,O
JZTOSLI,O,X,X,X,O
JZITLSO,O,O,O,O,X
JZITLOS,O,O,X,X,X
JZITSLO,O,X,O,O,X
JZITSOL,O,X,O,X,O
JZITOLS,O,O,X,X,O
JZITOSL,O,X,X,X,O
JZILTSO,O,O,O,O,X
JZILTOS,O,O,X,X,X
JZILSTO,O,O,O,X,X
JZILSOT,O,O,X,X,X
JZILOTS,X,O,X,O,X
JZILOST,X,O,X,X,X
JZISTLO,O,X,O,X,X
JZISTOL,O,X,O,X,O
JZISLTO,O,X,O,X,X
JZISLOT,O,X,X,X,X
JZISOTL,O,X,X,X,O
JZISOLT,O,X,X,X,O
JZIOTLS,O,O,X,O,O
JZIOTSL,O,X,X,O,O
JZIOLTS,X,O,X,O,O
JZIOLST,X,O,X,X,O
JZIOSTL,O,X,X,X,O
JZIOSLT,O,X,X,X,O
JZLTISO,O,O,O,O,X
JZLTIOS,O,O,X,X,X
JZLTSIO,O,O,O,O,X
JZLTSOI,O,O,O,X,O
JZLTOIS,O,O,X,X,O
JZLTOSI,O,O,X,X,O
JZLITSO,O,O,O,O,X
JZLITOS,O,O,X,X,X
JZLISTO,O,O,O,X,X
JZLISOT,O,O,X,X,X
JZLIOTS,X,O,X,O,X
JZLIOST,X,O,X,X,X
JZLSTIO,O,O,O,X,X
JZLSTOI,O,O,O,X,O
JZLSITO,O,O,O,X,X
JZLSIOT,O,O,X,X,X
JZLSOTI,O,O,X,X,O
JZLSOIT,O,O,X,X,O
JZLOTIS,X,O,X,O,O
JZLOTSI,X,O,X,O,O
JZLOITS,X,O,X,O,O
JZLOIST,X,O,X,X,O
JZLOSTI,X,O,X,X,O
JZLOSIT,X,O,X,X,O
JZSTILO,O,X,O,X,X
JZSTIOL,O,X,O,X,O
JZSTLIO,O,X,O,X,X
JZSTLOI,O,X,O,X,O
JZSTOIL,O,X,O,X,O
JZSTOLI,O,X,O,X,O
JZSITLO,O,X,O,X,X
JZSITOL,O,X,O,X,O
JZSILTO,O,X,O,X,X
JZSILOT,O,X,X,X,X
JZSIOTL,O,X,X,X,O
JZSIOLT,O,X,X,X,O
JZSLTIO,O,X,O,X,X
JZSLTOI,O,X,O,X,O
JZSLITO,O,X,O,X,X
JZSLIOT,O,X,X,X,X
JZSLOTI,O,X,X,X,O
JZSLOIT,O,X,X,X,O
JZSOTIL,O,X,X,X,O
JZSOTLI,O,X,X,X,O
JZSOITL,O,X,X,X,O
JZSOILT,O,X,X,X,O
JZSOLTI,O,X,X,X,O
JZSOLIT,O,X,X,X,O
JZOTILS,O,O,X,O,O
JZOTISL,O,X,X,O,O
JZOTLIS,O,O,X,O,O
JZOTLSI,O,O,X,O,O
JZOTSIL,O,X,X,O,O
JZOTSLI,O,X,X,O,O
JZOITLS,O,O,X,O,O
JZOITSL,O,X,X,O,O
JZOILTS,X,O,X,O,O
JZOILST,X,O,X,X,O
JZOISTL,O,X,X,X,O
JZOISLT,O,X,X,X,O
JZOLTIS,X,O,X,O,O
JZOLTSI,X,O,X,O,O
JZOLITS,X,O,X,O,O
JZOLIST,X,O,X,X,O
JZOLSTI,X,O,X,X,O
JZOLSIT,X,O,X,X,O
JZOSTIL,O,X,X,X,O
JZOSTLI,O,X,X,X,O
JZOSITL,O,X,X,X,O
JZOSILT,O,X,X,X,O
JZOSLTI,O,X,X,X,O
JZOSLIT,O,X,X,X,O
JOTILSZ,X,O,O,O,X
JOTILZS,X,O,X,O,O
JOTISLZ,X,O,O,O,X
JOTISZL,X,X,O,O,O
JOTIZLS,X,O,X,O,O
JOTIZSL,X,X,X,O,O
JOTLISZ,X,O,O,O,X
JOTLIZS,X,O,X,O,O
JOTLSIZ,X,O,O,O,X
JOTLSZI,X,O,O,O,X
JOTLZIS,X,O,X,O,O
JOTLZSI,X,O,X,O,O
JOTSILZ,X,O,O,O,X
JOTSIZL,X,X,O,O,O
JOTSLIZ,X,O,O,O,X
JOTSLZI,X,O,O,O,X
JOTSZIL,X,X,O,O,O
JOTSZLI,X,X,O,O,O
JOTZILS,X,O,X,O,O
JOTZISL,X,X,X,O,O
JOTZLIS,X,O,X,O,O
JOTZLSI,X,O,X,O,O
JOTZSIL,X,X,X,O,O
JOTZSLI,X,X,X,O,O
JOITLSZ,X,O,O,O,X
JOITLZS,X,O,X,O,O
JOITSLZ,X,O,O,O,X
JOITSZL,X,X,O,O,O
JOITZLS,X,O,X,O,O
JOITZSL,X,X,X,O,O
JOILTSZ,X,O,O,O,X
JOILTZS,X,O,X,O,O
JOILSTZ,X,O,O,O,X
JOILSZT,X,O,X,X,X
JOILZTS,X,O,X,O,O
JOILZST,X,O,X,X,O
JOISTLZ,X,O,O,O,X
JOISTZL,X,X,O,O,O
JOISLTZ,X,O,O,O,X
JOISLZT,X,O,X,X,X
JOISZTL,X,X,X,X,O
JOISZLT,X,X,X,X,O
JOIZTLS,X,O,X,O,O
JOIZTSL,X,X,X,O,O
JOIZLTS,X,O,X,O,O
JOIZLST,X,O,X,X,O
JOIZSTL,X,X,X,X,O
JOIZSLT,X,X,X,X,O
JOLTISZ,X,O,O,O,X
JOLTIZS,X,O,X,O,O
JOLTSIZ,X,O,O,O,X
JOLTSZI,X,O,O,O,X
JOLTZIS,X,O,X,O,O
JOLTZSI,X,O,X,O,O
JOLITSZ,X,O,O,O,X
JOLITZS,X,O,X,O,O
JOLISTZ,X,O,O,O,X
JOLISZT,X,O,X,X,X
JOLIZTS,X,O,X,O,O
JOLIZST,X,O,X,X,O
JOLSTIZ,X,O,O,O,X
JOLSTZI,X,O,O,O,X
JOLSITZ,X,O,O,O,X
JOLSIZT,X,O,X,X,X
JOLSZTI,X,O,X,X,X
JOLSZIT,X,O,X,X,X
JOLZTIS,X,O,X,O,O
JOLZTSI,X,O,X,O,O
JOLZITS,X,O,X,O,O
JOLZIST,X,O,X,X,O
JOLZSTI,X,O,X,X,O
JOLZSIT,X,O,X,X,O
JOSTILZ,X,O,O,O,X
JOSTIZL,X,X,O,O,O
JOSTLIZ,X,O,O,O,X
JOSTLZI,X,O,O,O,X
JOSTZIL,X,X,O,O,O
JOSTZLI,X,X,O,O,O
JOSITLZ,X,O,O,O,X
JOSITZL,X,X,O,O,O
JOSILTZ,X,O,O,O,X
JOSILZT,X,O,X,X,X
JOSIZTL,X,X,X,X,O
JOSIZLT,X,X,X,X,O
JOSLTIZ,X,O,O,O,X
JOSLTZI,X,O,O,O,X
JOSLITZ,X,O,O,O,X
JOSLIZT,X,O,X,X,X
JOSLZTI,X,O,X,X,X
JOSLZIT,X,O,X,X,X
JOSZTIL,X,X,X,X,O
JOSZTLI,X,X,X,X,O
JOSZITL,X,X,X,X,O
JOSZILT,X,X,X,X,O
JOSZLTI,X,X,X,X,O
JOSZLIT,X,X,X,X,O
JOZTILS,X,O,X,O,O
JOZTISL,X,X,X,O,O
JOZTLIS,X,O,X,O,O
JOZTLSI,X,O,X,O,O
JOZTSIL,X,X,X,O,O
JOZTSLI,X,X,X,O,O
JOZITLS,X,O,X,O,O
JOZITSL,X,X,X,O,O
JOZILTS,X,O,X,O,O
JOZILST,X,O,X,X,O
JOZISTL,X,X,X,X,O
JOZISLT,X,X,X,X,O
JOZLTIS,X,O,X,O,O
JOZLTSI,X,O,X,O,O
JOZLITS,X,O,X,O,O
JOZLIST,X,O,X,X,O
JOZLSTI,X,O,X,X,O
JOZLSIT,X,O,X,X,O
JOZSTIL,X,X,X,X,O
JOZSTLI,X,X,X,X,O
JOZSITL,X,X,X,X,O
JOZSILT,X,X,X,X,O
JOZSLTI,X,X,X,X,O
JOZSLIT,X,X,X,X,O
STILJZO,O,O,O,O,X
STILJOZ,O,O,O,O,X
STILZJO,O,O,O,O,X
STILZOJ,O,X,O,X,X
STILOJZ,O,O,O,O,X
STILOZJ,O,X,O,X,X
STIJLZO,O,O,O,O,X
STIJLOZ,O,O,O,O,X
STIJZLO,O,X,O,O,X
STIJZOL,O,X,O,X,X
STIJOLZ,O,O,O,O,X
STIJOZL,O,X,O,X,X
STIZLJO,O,X,O,O,X
STIZLOJ,O,X,O,X,X
STIZJLO,O,X,O,O,X
STIZJOL,O,X,O,X,X
STIZOLJ,O,X,O,X,X
STIZOJL,O,X,O,X,X
STIOLJZ,O,X,O,O,X
STIOLZJ,O,X,O,X,X
STIOJLZ,O,X,O,O,X
STIOJZL,O,X,O,X,X
STIOZLJ,O,X,O,X,X
STIOZJL,O,X,O,X,X
STLIJZO,O,O,O,O,X
STLIJOZ,O,O,O,O,X
STLIZJO,O,O,O,O,X
STLIZOJ,O,X,O,X,X
STLIOJZ,O,O,O,O,X
STLIOZJ,O,X,O,X,X
STLJIZO,O,O,O,O,X
STLJIOZ,O,O,O,O,X
STLJZIO,O,O,O,O,X
STLJZOI,O,O,O,X,X
STLJOIZ,O,O,O,O,X
STLJOZI,O,O,O,X,X
STLZIJO,O,O,O,O,X
STLZIOJ,O,X,O,X,X
STLZJIO,O,O,O,O,X
STLZJOI,O,O,O,X,X
STLZOIJ,O,X,O,X,X
STLZOJI,O,X,O,X,X
STLOIJZ,O,O,O,O,X
STLOIZJ,O,X,O,X,X
STLOJIZ,O,O,O,O,X
STLOJZI,O,O,O,X,X
STLOZIJ,O,X,O,X,X
STLOZJI,O,X,O,X,X
STJILZO,O,O,O,O,X
STJILOZ,O,O,O,O,X
STJIZLO,O,X,O,O,X
STJIZOL,O,X,O,X,X
STJIOLZ,O,O,O,O,X
STJIOZL,O,X,O,X,X
STJLIZO,O,O,O,O,X
STJLIOZ,O,O,O,O,X
STJLZIO,O,O,O,O,X
STJLZOI,O,O,O,X,X
STJLOIZ,O,O,O,O,X
STJLOZI,O,O,O,X,X
STJZILO,O,X,O,O,X
STJZIOL,O,X,O,X,O
STJZLIO,O,X,O,O,X
STJZLOI,O,X,O,X,O
STJZOIL,O,X,O,X,O
STJZOLI,O,X,O,X,O
STJOILZ,O,O,O,O,X
STJOIZL,O,X,O,X,O
STJOLIZ,O,O,O,O,X
STJOLZI,O,O,O,X,X
STJOZIL,O,X,O,X,O
STJOZLI,O,X,O,X,O
STZILJO,O,X,O,O,X
STZILOJ,O,X,O,X,X
STZIJLO,O,X,O,O,X
STZIJOL,O,X,O,X,O
STZIOLJ,O,X,O,X,X
STZIOJL,O,X,O,X,O
STZLIJO,O,X,O,O,X
STZLIOJ,O,X,O,X,X
STZLJIO,O,X,O,O,X
STZLJOI,O,X,O,X,O
STZLOIJ,O,X,O,X,X
STZLOJI,O,X,O,X,O
STZJILO,O,X,O,O,X
STZJIOL,O,X,O,X,O
STZJLIO,O,X,O,O,X
STZJLOI,O,X,O,X,O
STZJOIL,O,X,O,X,O
STZJOLI,O,X,O,X,O
STZOILJ,O,X,O,X,X
STZOIJL,O,X,O,X,O
STZOLIJ,O,X,O,X,X
STZOLJI,O,X,O,X,O
STZOJIL,O,X,O,X,O
STZOJLI,O,X,O,X,O
STOILJZ,O,X,O,O,X
STOILZJ,O,X,O,X,X
STOIJLZ,O,X,O,O,X
STOIJZL,O,X,O,X,X
STOIZLJ,O,X,O,X,X
STOIZJL,O,X,O,X,X
STOLIJZ,O,X,O,O,X
STOLIZJ,O,X,O,X,X
STOLJIZ,O,X,O,O,X
STOLJZI,O,X,O,X,X
STOLZIJ,O,X,O,X,X
STOLZJI,O,X,O,X,X
STOJILZ,O,X,O,O,X
STOJIZL,O,X,O,X,O
STOJLIZ,O,X,O,O,X
STOJLZI,O,X,O,X,X
STOJZIL,O,X,O,X,O
STOJZLI,O,X,O,X,O
STOZILJ,O,X,O,X,X
STOZIJL,O,X,O,X,O
STOZLIJ,O,X,O,X,X
STOZLJI,O,X,O,X,O
STOZJIL,O,X,O,X,O
STOZJLI,O,X,O,X,O
SITLJZO,O,O,O,O,X
SITLJOZ,O,O,O,O,X
SITLZJO,O,O,O,O,X
SITLZOJ,O,X,O,X,X
SITLOJZ,O,O,O,O,X
SITLOZJ,O,X,O,X,X
SITJLZO,O,O,O,O,X
SITJLOZ,O,O,O,O,X
SITJZLO,O,X,O,O,X
SITJZOL,O,X,O,X,X
SITJOLZ,O,O,O,O,X
SITJOZL,O,X,O,X,X
SITZLJO,O,X,O,O,X
SITZLOJ,O,X,O,X,X
SITZJLO,O,X,O,O,X
SITZJOL,O,X,O,X,X
SITZOLJ,O,X,O,X,X
SITZOJL,O,X,O,X,X
SITOLJZ,O,X,O,O,X
SITOLZJ,O,X,O,X,X
SITOJLZ,O,X,O,O,X
