sequence,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBxhBXjBurBct?BTsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBxhBTjBurBcs?BXtB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxiBToBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxiBToB0s?BXsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBTjBxsBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulBRiB9oB0mBzs?BXsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBXiBTjBWtB0m?BRxB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxnBToBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxnBToB0s?BXsB
IJSLOTZ,X,X,O,X,O,X,O,X,X
IJSLOZT,X,X,X,X,X,X,O,X,X
IJSZTLO,X,X,X,X,X,X,O,X,X
IJSZTOL,X,X,X,X,X,X,O,X,X
IJSZLTO,X,X,X,X,X,X,O,X,X
IJSZLOT,X,X,X,X,X,X,O,X,X
IJSZOTL,X,X,X,X,X,X,O,X,X
IJSZOLT,X,X,X,X,X,X,O,X,X
IJSOTLZ,X,X,O,X,O,X,O,X,X
IJSOTZL,X,X,O,X,O,X,O,X,X
IJSOLTZ,X,X,O,X,O,X,O,X,X
IJSOLZT,X,X,X,X,X,X,O,X,X
IJSOZTL,X,X,X,X,X,X,O,X,X
IJSOZLT,X,X,X,X,X,X,O,X,X
IJZTLSO,O,O,X,X,O,X,O,X,O
IJZTLOS,O,O,X,O,O,X,O,X,O
IJZTSLO,O,O,X,X,O,X,O,X,O
IJZTSOL,O,O,X,X,O,X,O,X,X
IJZTOLS,O,O,X,O,O,X,O,X,O
IJZTOSL,O,O,X,O,O,X,O,X,X
IJZLTSO,O,O,X,X,O,X,O,X,O
IJZLTOS,O,O,X,O,O,X,O,X,O
IJZLSTO,O,O,X,X,X,X,O,X,X
IJZLSOT,X,O,X,X,X,X,O,X,X
IJZLOTS,X,X,X,O,O,O,O,X,X
IJZLOST,X,X,X,X,X,X,O,X,X
IJZSTLO,O,O,X,X,X,X,O,X,X
IJZSTOL,O,O,X,X,X,X,O,X,X
IJZSLTO,O,O,X,X,X,X,O,X,X
IJZSLOT,X,O,X,X,X,X,O,X,X
IJZSOTL,X,O,X,X,X,X,O,X,X
IJZSOLT,X,O,X,X,X,X,O,X,X
IJZOTLS,X,X,X,O,O,O,O,X,X
IJZOTSL,X,X,X,O,O,O,O,X,X
IJZOLTS,X,X,X,O,O,O,O,X,X
IJZOLST,X,X,X,X,X,X,O,X,X
IJZOSTL,X,X,X,X,X,X,O,X,X
IJZOSLT,X,X,X,X,X,X,O,X,X
IJOTLSZ,O,X,O,O,O,O,O,X,X
IJOTLZS,O,X,O,O,O,O,O,X,X
IJOTSLZ,O,X,O,O,O,O,O,X,X
IJOTSZL,O,X,O,X,O,X,O,X,X
IJOTZLS,O,X,O,O,O,O,O,X,X
IJOTZSL,O,X,X,O,O,O,O,X,X
IJOLTSZ,O,X,O,O,O,O,O,X,X
IJOLTZS,O,X,O,O,O,O,O,X,X
IJOLSTZ,X,X,O,X,O,X,O,X,X
IJOLSZT,X,X,X,X,X,X,O,X,X
IJOLZTS,O,X,X,O,O,O,O,X,X
IJOLZST,O,X,X,X,X,X,O,X,X
IJOSTLZ,X,X,O,X,O,X,O,X,X
IJOSTZL,X,X,O,X,O,X,O,X,X
IJOSLTZ,X,X,O,X,O,X,O,X,X
IJOSLZT,X,X,X,X,X,X,O,X,X
IJOSZTL,X,X,X,X,X,X,O,X,X
IJOSZLT,X,X,X,X,X,X,O,X,X
IJOZTLS,O,X,X,O,O,O,O,X,X
IJOZTSL,O,X,X,O,O,O,O,X,X
IJOZLTS,O,X,X,O,O,O,O,X,X
IJOZLST,O,X,X,X,X,X,O,X,X
IJOZSTL,O,X,X,X,X,X,O,X,X
IJOZSLT,O,X,X,X,X,X,O,X,X
ISTLJZO,X,X,X,X,O,X,O,O,X
ISTLJOZ,X,O,O,X,O,X,O,O,X
ISTLZJO,X,O,X,X,X,X,X,O,X
ISTLZOJ,X,O,X,X,X,X,X,X,X
ISTLOJZ,X,O,O,X,O,X,X,O,X
ISTLOZJ,X,O,O,X,X,X,X,X,X
ISTJLZO,X,X,X,X,O,X,O,O,X
ISTJLOZ,X,O,O,X,O,X,O,O,X
ISTJZLO,X,X,X,X,O,X,O,O,X
ISTJZOL,X,X,X,X,O,X,O,X,X
ISTJOLZ,X,O,O,X,O,X,O,O,X
ISTJOZL,X,X,O,X,O,X,O,X,X
ISTZLJO,X,O,X,X,X,X,X,O,X
ISTZLOJ,X,O,X,X,X,X,X,X,X
ISTZJLO,X,O,X,X,X,X,X,O,X
ISTZJOL,X,O,X,X,X,X,X,X,X
ISTZOLJ,X,O,X,X,X,X,X,X,X
ISTZOJL,X,O,X,X,X,X,X,X,X
ISTOLJZ,X,O,O,X,O,X,X,O,X
ISTOLZJ,X,O,O,X,X,X,X,X,X
ISTOJLZ,X,O,O,X,O,X,X,O,X
ISTOJZL,X,X,O,X,O,X,X,X,X
ISTOZLJ,X,O,O,X,X,X,X,X,X
ISTOZJL,X,O,O,X,X,X,X,X,X
ISLTJZO,X,X,X,X,O,X,O,O,X
ISLTJOZ,X,O,O,X,O,X,O,O,X
ISLTZJO,X,O,X,X,X,X,X,O,X
ISLTZOJ,X,O,X,X,X,X,X,X,X
ISLTOJZ,X,O,O,X,O,X,X,O,X
ISLTOZJ,X,O,O,X,X,X,X,X,X
ISLJTZO,X,X,X,X,O,X,O,O,X
ISLJTOZ,X,X,O,X,O,X,O,O,X
ISLJZTO,X,X,X,X,X,X,O,X,X
ISLJZOT,X,X,X,X,X,X,O,X,X
ISLJOTZ,X,X,O,X,O,X,O,X,X
ISLJOZT,X,X,X,X,X,X,O,X,X
ISLZTJO,X,O,X,X,X,X,X,O,X
ISLZTOJ,X,O,X,X,X,X,X,X,X
ISLZJTO,X,O,X,X,X,X,X,X,X
ISLZJOT,X,O,X,X,X,X,X,X,X
ISLZOTJ,X,O,X,X,X,X,X,X,X
ISLZOJT,X,O,X,X,X,X,X,X,X
ISLOTJZ,X,O,O,X,O,X,X,O,X
ISLOTZJ,X,O,O,X,X,X,X,X,X
ISLOJTZ,X,X,O,X,O,X,X,X,X
ISLOJZT,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,O,O,X,X,X,X,X,X
ISLOZJT,X,O,X,X,X,X,X,X,X
ISJTLZO,X,X,X,X,O,X,O,O,X
ISJTLOZ,X,X,O,X,O,X,O,O,X
ISJTZLO,X,X,X,X,O,X,O,O,X
ISJTZOL,X,X,X,X,O,X,O,X,X
ISJTOLZ,X,X,O,X,O,X,O,O,X
ISJTOZL,X,X,O,X,O,X,O,X,X
ISJLTZO,X,X,X,X,O,X,O,O,X
ISJLTOZ,X,X,O,X,O,X,O,O,X
ISJLZTO,X,X,X,X,X,X,O,X,X
ISJLZOT,X,X,X,X,X,X,O,X,X
ISJLOTZ,X,X,O,X,O,X,O,X,X
ISJLOZT,X,X,X,X,X,X,O,X,X
ISJZTLO,X,X,X,X,X,X,O,X,X
ISJZTOL,X,X,X,X,X,X,O,X,X
ISJZLTO,X,X,X,X,X,X,O,X,X
ISJZLOT,X,X,X,X,X,X,O,X,X
ISJZOTL,X,X,X,X,X,X,O,X,X
ISJZOLT,X,X,X,X,X,X,O,X,X
ISJOTLZ,X,X,O,X,O,X,O,X,X
ISJOTZL,X,X,O,X,O,X,O,X,X
ISJOLTZ,X,X,O,X,O,X,O,X,X
ISJOLZT,X,X,X,X,X,X,O,X,X
ISJOZTL,X,X,X,X,X,X,O,X,X
ISJOZLT,X,X,X,X,X,X,O,X,X
ISZTLJO,X,O,X,X,X,X,X,O,X
ISZTLOJ,X,O,X,X,X,X,X,X,X
ISZTJLO,X,O,X,X,X,X,X,O,X
ISZTJOL,X,O,X,X,X,X,X,X,X
ISZTOLJ,X,O,X,X,X,X,X,X,X
ISZTOJL,X,O,X,X,X,X,X,X,X
ISZLTJO,X,O,X,X,X,X,X,O,X
ISZLTOJ,X,O,X,X,X,X,X,X,X
ISZLJTO,X,O,X,X,X,X,X,X,X
ISZLJOT,X,O,X,X,X,X,X,X,X
ISZLOTJ,X,O,X,X,X,X,X,X,X
ISZLOJT,X,O,X,X,X,X,X,X,X
ISZJTLO,X,O,X,X,X,X,X,X,X
ISZJTOL,X,O,X,X,X,X,X,X,X
ISZJLTO,X,O,X,X,X,X,X,X,X
ISZJLOT,X,O,X,X,X,X,X,X,X
ISZJOTL,X,O,X,X,X,X,X,X,X
ISZJOLT,X,O,X,X,X,X,X,X,X
ISZOTLJ,X,O,X,X,X,X,X,X,X
ISZOTJL,X,O,X,X,X,X,X,X,X
ISZOLTJ,X,O,X,X,X,X,X,X,X
ISZOLJT,X,O,X,X,X,X,X,X,X
ISZOJTL,X,O,X,X,X,X,X,X,X
ISZOJLT,X,O,X,X,X,X,X,X,X
ISOTLJZ,X,O,O,X,O,X,X,O,X
ISOTLZJ,X,O,O,X,X,X,X,X,X
ISOTJLZ,X,O,O,X,O,X,X,O,X
ISOTJZL,X,X,O,X,O,X,X,X,X
ISOTZLJ,X,O,O,X,X,X,X,X,X
ISOTZJL,X,O,O,X,X,X,X,X,X
ISOLTJZ,X,O,O,X,O,X,X,O,X
ISOLTZJ,X,O,O,X,X,X,X,X,X
ISOLJTZ,X,X,O,X,O,X,X,X,X
ISOLJZT,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,O,X,X,X,X,X,X
ISOLZJT,X,O,X,X,X,X,X,X,X
ISOJTLZ,X,X,O,X,O,X,X,X,X
ISOJTZL,X,X,O,X,O,X,X,X,X
ISOJLTZ,X,X,O,X,O,X,X,X,X
ISOJLZT,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,X,X,X,X,X,X
ISOJZLT,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,O,O,X,X,X,X,X,X
ISOZTJL,X,O,O,X,X,X,X,X,X
ISOZLTJ,X,O,O,X,X,X,X,X,X
ISOZLJT,X,O,X,X,X,X,X,X,X
ISOZJTL,X,O,X,X,X,X,X,X,X
ISOZJLT,X,O,X,X,X,X,X,X,X
IZTLJSO,O,O,X,X,O,X,O,X,O
IZTLJOS,O,O,X,O,O,X,O,X,O
IZTLSJO,O,O,X,X,X,X,X,X,O
IZTLSOJ,O,O,X,X,X,X,X,X,X
IZTLOJS,O,X,X,O,O,X,X,X,O
IZTLOSJ,O,O,X,O,X,X,X,X,X
IZTJLSO,O,O,X,X,O,X,O,X,O
IZTJLOS,O,O,X,O,O,X,O,X,O
IZTJSLO,O,O,X,X,O,X,O,X,O
IZTJSOL,O,O,X,X,O,X,O,X,X
IZTJOLS,O,O,X,O,O,X,O,X,O
IZTJOSL,O,O,X,O,O,X,O,X,X
IZTSLJO,O,O,X,X,X,X,X,X,O
IZTSLOJ,O,O,X,X,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X,O
IZTSJOL,O,O,X,X,X,X,X,X,X
IZTSOLJ,O,O,X,X,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X,X,X
IZTOLJS,O,X,X,O,O,X,X,X,O
IZTOLSJ,O,O,X,O,X,X,X,X,X
IZTOJLS,O,X,X,O,O,X,X,X,O
IZTOJSL,O,X,X,O,O,X,X,X,X
IZTOSLJ,O,O,X,O,X,X,X,X,X
IZTOSJL,O,O,X,O,X,X,X,X,X
IZLTJSO,O,O,X,X,O,X,O,X,O
IZLTJOS,O,O,X,O,O,X,O,X,O
IZLTSJO,O,O,X,X,X,X,X,X,O
IZLTSOJ,O,O,X,X,X,X,X,X,X
IZLTOJS,O,X,X,O,O,X,X,X,O
IZLTOSJ,O,O,X,O,X,X,X,X,X
IZLJTSO,O,O,X,X,O,X,O,X,O
IZLJTOS,O,O,X,O,O,X,O,X,O
IZLJSTO,O,O,X,X,X,X,O,X,X
IZLJSOT,X,O,X,X,X,X,O,X,X
IZLJOTS,X,X,X,O,O,O,O,X,X
IZLJOST,X,X,X,X,X,X,O,X,X
IZLSTJO,O,O,X,X,X,X,X,X,O
IZLSTOJ,O,O,X,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X
IZLSJOT,X,O,X,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X,X,X
IZLOTJS,O,X,X,O,O,O,X,X,O
IZLOTSJ,O,X,X,O,X,O,X,X,X
IZLOJTS,O,X,X,O,O,O,X,X,X
IZLOJST,O,X,X,X,X,X,X,X,X
IZLOSTJ,O,X,X,O,X,X,X,X,X
IZLOSJT,O,X,X,X,X,X,X,X,X
IZJTLSO,O,O,X,X,O,X,O,X,O
IZJTLOS,O,O,X,O,O,X,O,X,O
IZJTSLO,O,O,X,X,O,X,O,X,O
IZJTSOL,O,O,X,X,O,X,O,X,X
IZJTOLS,O,O,X,O,O,X,O,X,O
IZJTOSL,O,O,X,O,O,X,O,X,X
IZJLTSO,O,O,X,X,O,X,O,X,O
IZJLTOS,O,O,X,O,O,X,O,X,O
IZJLSTO,O,O,X,X,X,X,O,X,X
IZJLSOT,X,O,X,X,X,X,O,X,X
IZJLOTS,X,X,X,O,O,O,O,X,X
IZJLOST,X,X,X,X,X,X,O,X,X
IZJSTLO,O,O,X,X,X,X,O,X,X
IZJSTOL,O,O,X,X,X,X,O,X,X
IZJSLTO,O,O,X,X,X,X,O,X,X
IZJSLOT,X,O,X,X,X,X,O,X,X
IZJSOTL,X,O,X,X,X,X,O,X,X
IZJSOLT,X,O,X,X,X,X,O,X,X
IZJOTLS,X,X,X,O,O,O,O,X,X
IZJOTSL,X,X,X,O,O,O,O,X,X
IZJOLTS,X,X,X,O,O,O,O,X,X
IZJOLST,X,X,X,X,X,X,O,X,X
IZJOSTL,X,X,X,X,X,X,O,X,X
IZJOSLT,X,X,X,X,X,X,O,X,X
IZSTLJO,O,O,X,X,X,X,X,X,O
IZSTLOJ,O,O,X,X,X,X,X,X,X
IZSTJLO,O,O,X,X,X,X,X,X,O
IZSTJOL,O,O,X,X,X,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,X,X
IZSTOJL,O,O,X,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,O
IZSLTOJ,O,O,X,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X
IZSLJOT,X,O,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,X,X,X
IZSJLOT,X,O,X,X,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,X,X,X
IZSJOLT,X,O,X,X,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,X,X
IZSOTJL,O,O,X,X,X,X,X,X,X
IZSOLTJ,O,O,X,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X,X
IZSOJTL,O,O,X,X,X,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X,X,X
IZOTLJS,O,X,X,O,O,O,X,X,O
IZOTLSJ,O,X,X,O,X,O,X,X,X
IZOTJLS,O,X,X,O,O,O,X,X,O
IZOTJSL,O,X,X,O,O,O,X,X,X
IZOTSLJ,O,X,X,O,X,O,X,X,X
IZOTSJL,O,X,X,O,X,O,X,X,X
IZOLTJS,O,X,X,O,O,O,X,X,O
IZOLTSJ,O,X,X,O,X,O,X,X,X
IZOLJTS,O,X,X,O,O,O,X,X,X
IZOLJST,O,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,O,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X
IZOJTLS,O,X,X,O,O,O,X,X,X
IZOJTSL,O,X,X,O,O,O,X,X,X
IZOJLTS,O,X,X,O,O,O,X,X,X
IZOJLST,O,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,X,O,X,X,X,X,X
IZOSTJL,O,X,X,O,X,X,X,X,X
IZOSLTJ,O,X,X,O,X,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,X,X,X,X
IZOSJLT,O,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,O,O,O,O,O,X,X
IOTLJZS,O,X,O,O,O,O,O,X,X
IOTLSJZ,X,X,O,O,O,O,X,X,X
IOTLSZJ,O,X,O,X,X,X,X,X,X
IOTLZJS,O,X,O,O,O,O,X,X,X
IOTLZSJ,O,X,X,O,X,O,X,X,X
IOTJLSZ,O,X,O,O,O,O,O,X,X
IOTJLZS,O,X,O,O,O,O,O,X,X
IOTJSLZ,O,X,O,O,O,O,O,X,X
IOTJSZL,O,X,O,X,O,X,O,X,X
IOTJZLS,O,X,O,O,O,O,O,X,X
IOTJZSL,O,X,X,O,O,O,O,X,X
IOTSLJZ,X,X,O,O,O,O,X,X,X
IOTSLZJ,O,X,O,X,X,X,X,X,X
IOTSJLZ,X,X,O,O,O,O,X,X,X
IOTSJZL,X,X,O,X,O,X,X,X,X
IOTSZLJ,O,X,O,X,X,X,X,X,X
IOTSZJL,O,X,O,X,X,X,X,X,X
IOTZLJS,O,X,O,O,O,O,X,X,X
IOTZLSJ,O,X,X,O,X,O,X,X,X
IOTZJLS,O,X,O,O,O,O,X,X,X
IOTZJSL,O,X,X,O,O,O,X,X,X
IOTZSLJ,O,X,X,O,X,O,X,X,X
IOTZSJL,O,X,X,O,X,O,X,X,X
IOLTJSZ,O,X,O,O,O,O,O,X,X
IOLTJZS,O,X,O,O,O,O,O,X,X
IOLTSJZ,X,X,O,O,O,O,X,X,X
IOLTSZJ,O,X,O,X,X,X,X,X,X
IOLTZJS,O,X,O,O,O,O,X,X,X
IOLTZSJ,O,X,X,O,X,O,X,X,X
IOLJTSZ,O,X,O,O,O,O,O,X,X
IOLJTZS,O,X,O,O,O,O,O,X,X
IOLJSTZ,X,X,O,X,O,X,O,X,X
IOLJSZT,X,X,X,X,X,X,O,X,X
IOLJZTS,O,X,X,O,O,O,O,X,X
IOLJZST,O,X,X,X,X,X,O,X,X
IOLSTJZ,X,X,O,O,O,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,X,X,X
IOLSJTZ,X,X,O,X,O,X,X,X,X
IOLSJZT,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,O,O,X,X,X,X,X
IOLSZJT,X,X,X,X,X,X,X,X,X
IOLZTJS,O,X,O,O,O,O,X,X,X
IOLZTSJ,O,X,X,O,X,O,X,X,X
IOLZJTS,O,X,X,O,O,O,X,X,X
IOLZJST,O,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,O,O,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,O,O,O,O,O,X,X
IOJTLZS,O,X,O,O,O,O,O,X,X
IOJTSLZ,O,X,O,O,O,O,O,X,X
IOJTSZL,O,X,O,X,O,X,O,X,X
IOJTZLS,O,X,O,O,O,O,O,X,X
IOJTZSL,O,X,X,O,O,O,O,X,X
IOJLTSZ,O,X,O,O,O,O,O,X,X
IOJLTZS,O,X,O,O,O,O,O,X,X
IOJLSTZ,X,X,O,X,O,X,O,X,X
IOJLSZT,X,X,X,X,X,X,O,X,X
IOJLZTS,O,X,X,O,O,O,O,X,X
IOJLZST,O,X,X,X,X,X,O,X,X
IOJSTLZ,X,X,O,X,O,X,O,X,X
IOJSTZL,X,X,O,X,O,X,O,X,X
IOJSLTZ,X,X,O,X,O,X,O,X,X
IOJSLZT,X,X,X,X,X,X,O,X,X
IOJSZTL,X,X,X,X,X,X,O,X,X
IOJSZLT,X,X,X,X,X,X,O,X,X
IOJZTLS,O,X,X,O,O,O,O,X,X
IOJZTSL,O,X,X,O,O,O,O,X,X
IOJZLTS,O,X,X,O,O,O,O,X,X
IOJZLST,O,X,X,X,X,X,O,X,X
IOJZSTL,O,X,X,X,X,X,O,X,X
IOJZSLT,O,X,X,X,X,X,O,X,X
IOSTLJZ,X,X,O,O,O,X,X,X,X
IOSTLZJ,X,X,O,X,X,X,X,X,X
IOSTJLZ,X,X,O,O,O,X,X,X,X
IOSTJZL,X,X,O,X,O,X,X,X,X
IOSTZLJ,X,X,O,X,X,X,X,X,X
IOSTZJL,X,X,O,X,X,X,X,X,X
IOSLTJZ,X,X,O,O,O,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X,X,X
IOSLJTZ,X,X,O,X,O,X,X,X,X
IOSLJZT,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,O,O,X,X,X,X,X
IOSLZJT,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,O,X,O,X,X,X,X
IOSJTZL,X,X,O,X,O,X,X,X,X
IOSJLTZ,X,X,O,X,O,X,X,X,X
IOSJLZT,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X
IOSJZLT,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,X,O,O,X,X,X,X,X
IOSZTJL,X,X,O,O,X,X,X,X,X
IOSZLTJ,X,X,O,O,X,X,X,X,X
IOSZLJT,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X
IOSZJLT,X,X,X,X,X,X,X,X,X
IOZTLJS,O,X,O,O,O,O,X,X,X
IOZTLSJ,O,X,X,O,X,O,X,X,X
IOZTJLS,O,X,O,O,O,O,X,X,X
IOZTJSL,O,X,X,O,O,O,X,X,X
IOZTSLJ,O,X,X,O,X,O,X,X,X
IOZTSJL,O,X,X,O,X,O,X,X,X
IOZLTJS,O,X,O,O,O,O,X,X,X
IOZLTSJ,O,X,X,O,X,O,X,X,X
IOZLJTS,O,X,X,O,O,O,X,X,X
IOZLJST,O,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,O,O,X,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,X,X
IOZJTLS,O,X,X,O,O,O,X,X,X
IOZJTSL,O,X,X,O,O,O,X,X,X
IOZJLTS,O,X,X,O,O,O,X,X,X
IOZJLST,O,X,X,X,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X,X,X,X
IOZJSLT,O,X,X,X,X,X,X,X,X
IOZSTLJ,O,X,O,O,X,X,X,X,X
IOZSTJL,O,X,O,O,X,X,X,X,X
IOZSLTJ,O,X,O,O,X,X,X,X,X
IOZSLJT,O,X,X,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,X,X,X
IOZSJLT,O,X,X,X,X,X,X,X,X
LTIJSZO,O,O,X,X,O,X,O,O,X
LTIJSOZ,O,O,O,X,O,O,O,O,X
LTIJZSO,O,O,X,X,O,X,O,X,O
LTIJZOS,O,O,X,O,O,O,O,X,O
LTIJOSZ,O,X,O,O,O,O,O,X,X
LTIJOZS,O,O,O,O,O,O,O,X,X
LTISJZO,O,O,X,X,O,X,O,O,X
LTISJOZ,O,O,O,X,O,O,O,O,X
LTISZJO,O,O,X,X,X,X,X,O,X
LTISZOJ,O,O,X,X,X,X,X,X,X
LTISOJZ,X,O,O,X,O,X,X,O,X
LTISOZJ,O,O,O,X,X,X,X,X,X
LTIZJSO,O,O,X,X,O,X,O,X,O
LTIZJOS,O,O,X,O,O,O,O,X,O
LTIZSJO,O,O,X,X,X,X,X,X,O
LTIZSOJ,O,O,X,X,X,X,X,X,X
LTIZOJS,O,X,X,O,O,X,X,X,O
LTIZOSJ,O,O,X,O,X,X,X,X,X
LTIOJSZ,O,X,O,O,O,O,O,X,X
LTIOJZS,O,O,O,O,O,O,O,X,X
LTIOSJZ,X,O,O,O,O,O,X,X,X
LTIOSZJ,O,O,O,X,X,X,X,X,X
LTIOZJS,O,X,O,O,O,O,X,X,X
LTIOZSJ,O,O,X,O,X,O,X,X,X
LTJISZO,O,O,X,X,O,X,O,O,X
LTJISOZ,O,O,O,X,O,O,O,O,X
LTJIZSO,O,O,X,X,O,X,O,X,O
LTJIZOS,O,O,X,O,O,O,O,X,O
LTJIOSZ,O,X,O,O,O,O,O,X,X
LTJIOZS,O,O,O,O,O,O,O,X,X
LTJSIZO,O,O,X,X,O,X,O,O,X
LTJSIOZ,O,O,O,X,O,O,O,O,X
LTJSZIO,O,O,X,X,X,X,X,O,O
LTJSZOI,O,O,O,O,X,X,O,X,X
LTJSOIZ,O,O,O,O,X,O,O,O,X
LTJSOZI,O,O,O,O,X,O,O,X,X
LTJZISO,O,O,X,X,O,X,O,X,O
LTJZIOS,O,O,X,O,O,O,O,X,O
LTJZSIO,O,O,X,X,X,X,X,O,O
LTJZSOI,O,O,O,O,X,X,O,X,X
LTJZOIS,O,O,O,O,X,O,O,X,O
LTJZOSI,O,O,O,O,X,O,O,X,X
LTJOISZ,O,X,O,O,O,O,O,X,X
LTJOIZS,O,O,O,O,O,O,O,X,X
LTJOSIZ,O,X,O,O,X,O,O,O,X
LTJOSZI,O,X,O,O,X,O,O,X,X
LTJOZIS,O,O,O,O,X,O,O,X,O
LTJOZSI,O,O,O,O,X,O,O,X,X
LTSIJZO,O,O,X,X,O,X,O,O,X
LTSIJOZ,O,O,O,X,O,O,O,O,X
LTSIZJO,O,O,X,X,X,X,X,O,X
LTSIZOJ,O,O,X,X,X,X,X,X,X
LTSIOJZ,X,O,O,X,O,X,X,O,X
LTSIOZJ,O,O,O,X,X,X,X,X,X
LTSJIZO,O,O,X,X,O,X,O,O,X
LTSJIOZ,O,O,O,X,O,O,O,O,X
LTSJZIO,O,O,X,X,X,X,X,O,O
LTSJZOI,O,O,O,O,X,X,O,X,X
LTSJOIZ,O,O,O,O,X,O,O,O,X
LTSJOZI,O,O,O,O,X,O,O,X,X
LTSZIJO,O,O,X,X,X,X,X,O,O
LTSZIOJ,O,O,X,X,X,X,X,X,X
LTSZJIO,O,O,X,X,X,X,X,O,O
LTSZJOI,O,O,O,O,X,X,X,X,X
LTSZOIJ,O,O,O,O,X,X,X,X,X
LTSZOJI,O,O,O,O,X,X,X,X,X
LTSOIJZ,X,O,O,O,X,O,X,O,X
LTSOIZJ,O,O,O,X,X,X,X,X,X
LTSOJIZ,O,O,O,O,X,O,X,O,X
LTSOJZI,O,O,O,O,X,O,X,X,X
LTSOZIJ,O,O,O,O,X,O,X,X,X
LTSOZJI,O,O,O,O,X,O,X,X,X
LTZIJSO,O,O,X,X,O,X,O,X,O
LTZIJOS,O,O,X,O,O,O,O,X,O
LTZISJO,O,O,X,X,X,X,X,X,O
LTZISOJ,O,O,X,X,X,X,X,X,X
LTZIOJS,O,X,X,O,O,X,X,X,O
LTZIOSJ,O,O,X,O,X,X,X,X,X
LTZJISO,O,O,X,X,O,X,O,X,O
LTZJIOS,O,O,X,O,O,O,O,X,O
LTZJSIO,O,O,X,X,X,X,X,O,O
LTZJSOI,O,O,O,O,X,X,O,X,X
LTZJOIS,O,O,O,O,X,O,O,X,O
LTZJOSI,O,O,O,O,X,O,O,X,X
LTZSIJO,O,O,X,X,X,X,X,O,O
LTZSIOJ,O,O,X,X,X,X,X,X,X
LTZSJIO,O,O,X,X,X,X,X,O,O
LTZSJOI,O,O,O,O,X,X,X,X,X
LTZSOIJ,O,O,O,O,X,X,X,X,X
LTZSOJI,O,O,O,O,X,X,X,X,X
LTZOIJS,O,X,O,O,X,O,X,X,O
LTZOISJ,O,O,X,O,X,O,X,X,X
LTZOJIS,O,O,O,O,X,O,X,X,O
LTZOJSI,O,O,O,O,X,O,X,X,X
