sequence,v115@EhB8IeA8HeB8AeE8BeB8KeOEJvhFXgBThBNnB5oBSq?B0rB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBThBNnB5oB3k?B0rB,v115@EhB8IeA8HeB8AeE8BeB8KeKEJvhFzfBGhBNnB5oB3l?B0rB,v115@EhB8IeA8HeB8AeE8BeB8KeOEJvhFXgBNmBUiB5oBSq?BzrB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBNmBUiB5oB3k?BzrB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBNnB5oB3kBTm?B0rB,v115@EhB8IeA8HeB8AeE8BeB8Kem/IvhFSmBNnB5oBTkB3l?B0rB
IZTSJLO,O,O,O,O,O,O,X
IZTSJOL,O,O,O,X,O,O,X
IZTSOLJ,O,O,O,X,X,O,O
IZTSOJL,O,O,O,X,X,O,O
IZTOLJS,O,O,O,O,X,X,O
IZTOLSJ,O,X,O,O,X,X,O
IZTOJLS,O,O,O,O,X,X,O
IZTOJSL,O,O,O,X,O,O,O
IZTOSLJ,O,O,O,X,X,O,O
IZTOSJL,O,O,O,X,X,O,O
IZLTJSO,O,O,O,O,O,X,X
IZLTJOS,O,O,O,O,X,X,O
IZLTSJO,O,O,O,O,X,X,X
IZLTSOJ,O,O,O,O,X,X,O
IZLTOJS,O,O,O,O,X,X,O
IZLTOSJ,O,X,O,O,X,X,O
IZLJTSO,O,O,O,O,X,X,X
IZLJTOS,O,O,O,O,X,X,X
IZLJSTO,O,O,O,O,X,X,X
IZLJSOT,O,O,O,O,X,X,X
IZLJOTS,O,X,O,O,X,X,X
IZLJOST,O,X,X,O,X,X,X
IZLSTJO,O,O,O,O,X,X,X
IZLSTOJ,O,O,O,O,X,X,X
IZLSJTO,O,O,O,O,X,X,X
IZLSJOT,O,O,O,O,X,X,X
IZLSOTJ,O,O,O,O,X,X,X
IZLSOJT,O,O,O,O,X,X,X
IZLOTJS,O,X,O,O,X,X,O
IZLOTSJ,O,X,O,O,X,X,O
IZLOJTS,O,X,O,O,X,X,O
IZLOJST,O,X,X,O,X,X,X
IZLOSTJ,O,X,O,O,X,X,X
IZLOSJT,O,X,O,O,X,X,X
IZJTLSO,O,O,O,O,O,X,X
IZJTLOS,O,O,O,O,X,X,O
IZJTSLO,O,O,O,O,O,O,X
IZJTSOL,O,O,O,X,O,O,X
IZJTOLS,O,O,O,O,X,X,O
IZJTOSL,O,O,O,X,O,O,O
IZJLTSO,O,O,O,O,X,X,X
IZJLTOS,O,O,O,O,X,X,X
IZJLSTO,O,O,O,O,X,X,X
IZJLSOT,O,O,O,O,X,X,X
IZJLOTS,O,X,O,O,X,X,X
IZJLOST,O,X,X,O,X,X,X
IZJSTLO,O,O,O,O,O,O,X
IZJSTOL,O,O,O,X,O,O,X
IZJSLTO,O,O,O,X,O,O,X
IZJSLOT,O,O,O,X,O,X,X
IZJSOTL,X,O,X,X,O,X,X
IZJSOLT,X,O,X,X,O,X,X
IZJOTLS,O,O,X,O,O,X,O
IZJOTSL,O,O,X,O,O,X,O
IZJOLTS,O,X,X,O,X,X,O
IZJOLST,O,X,X,O,X,X,X
IZJOSTL,X,O,X,O,O,X,O
IZJOSLT,X,O,X,X,O,X,X
IZSTLJO,O,O,O,O,X,O,X
IZSTLOJ,O,O,O,O,X,O,O
IZSTJLO,O,O,O,O,O,O,X
IZSTJOL,O,O,O,X,O,O,X
IZSTOLJ,O,O,O,X,X,O,O
IZSTOJL,O,O,O,X,X,O,O
IZSLTJO,O,O,O,X,X,O,X
IZSLTOJ,O,O,O,X,X,O,X
IZSLJTO,O,O,O,X,O,O,X
IZSLJOT,O,O,O,X,O,X,X
IZSLOTJ,O,O,O,X,X,X,X
IZSLOJT,O,O,O,X,O,X,X
IZSJTLO,O,O,O,O,O,O,X
IZSJTOL,O,O,O,X,O,O,X
IZSJLTO,O,O,O,X,O,O,X
IZSJLOT,O,O,O,X,O,X,X
IZSJOTL,X,O,X,X,O,X,X
IZSJOLT,X,O,X,X,O,X,X
IZSOTLJ,X,O,O,X,X,X,O
IZSOTJL,X,O,O,X,X,X,O
IZSOLTJ,X,O,O,X,X,X,X
IZSOLJT,X,O,O,X,O,X,X
IZSOJTL,X,O,X,X,O,X,O
IZSOJLT,X,O,X,X,O,X,X
IZOTLJS,O,O,O,O,O,X,O
IZOTLSJ,O,X,O,O,X,X,O
IZOTJLS,O,O,O,O,O,X,O
IZOTJSL,O,O,O,O,O,X,O
IZOTSLJ,O,O,O,O,X,X,O
IZOTSJL,O,O,O,O,O,X,O
IZOLTJS,O,X,O,O,O,X,O
IZOLTSJ,O,X,O,O,X,X,O
IZOLJTS,O,X,O,O,X,X,O
IZOLJST,O,X,X,O,X,X,X
IZOLSTJ,O,X,O,O,X,X,X
IZOLSJT,O,X,O,O,X,X,X
IZOJTLS,O,O,X,O,O,X,O
IZOJTSL,O,O,X,O,O,X,O
IZOJLTS,O,X,X,O,X,X,O
IZOJLST,O,X,X,O,X,X,X
IZOJSTL,X,O,X,O,O,X,O
IZOJSLT,X,O,X,X,O,X,X
IZOSTLJ,X,O,O,O,X,X,O
IZOSTJL,X,O,O,O,O,X,O
IZOSLTJ,X,O,O,X,X,X,X
IZOSLJT,X,O,O,X,O,X,X
IZOSJTL,X,O,X,O,O,X,O
IZOSJLT,X,O,X,X,O,X,X
IOTLJSZ,O,X,O,O,O,O,X
IOTLJZS,O,X,X,O,O,X,X
IOTLSJZ,O,X,O,O,X,O,X
IOTLSZJ,O,X,O,O,X,O,X
IOTLZJS,O,X,X,O,O,X,X
IOTLZSJ,O,X,O,O,X,X,X
IOTJLSZ,O,X,X,O,O,O,X
IOTJLZS,O,X,X,O,O,X,X
IOTJSLZ,X,O,X,O,O,O,X
IOTJSZL,X,O,X,O,O,O,X
IOTJZLS,X,O,X,O,O,X,O
IOTJZSL,X,O,X,O,O,O,O
IOTSLJZ,X,O,O,O,O,O,X
IOTSLZJ,X,X,O,O,X,O,X
IOTSJLZ,X,O,O,O,O,O,X
IOTSJZL,X,O,X,O,O,O,X
IOTSZLJ,X,X,X,O,X,O,X
IOTSZJL,X,X,X,O,O,O,X
IOTZLJS,X,X,X,O,O,X,O
IOTZLSJ,X,X,X,O,X,X,O
IOTZJLS,X,X,X,O,O,X,O
IOTZJSL,X,X,X,O,O,O,O
IOTZSLJ,X,X,X,O,X,O,O
IOTZSJL,X,X,X,O,O,O,O
IOLTJSZ,O,X,O,O,O,X,X
IOLTJZS,O,X,X,O,O,X,X
IOLTSJZ,O,X,O,O,X,X,X
IOLTSZJ,O,X,O,O,X,X,X
IOLTZJS,O,X,O,O,O,X,X
IOLTZSJ,O,X,O,O,X,X,X
IOLJTSZ,O,X,O,O,O,X,X
IOLJTZS,O,X,X,O,O,X,X
IOLJSTZ,O,X,O,O,O,X,X
IOLJSZT,O,X,O,O,O,X,X
IOLJZTS,O,X,O,O,X,X,O
IOLJZST,O,X,X,O,X,X,X
IOLSTJZ,O,X,O,O,O,X,X
IOLSTZJ,O,X,O,O,X,X,X
IOLSJTZ,O,X,O,O,O,X,X
IOLSJZT,O,X,O,O,O,X,X
IOLSZTJ,O,X,O,O,X,X,X
IOLSZJT,O,X,O,O,O,X,X
IOLZTJS,O,X,O,O,O,X,O
IOLZTSJ,O,X,O,O,X,X,O
IOLZJTS,O,X,O,O,X,X,O
IOLZJST,O,X,X,O,X,X,X
IOLZSTJ,O,X,O,O,X,X,X
IOLZSJT,O,X,O,O,X,X,X
IOJTLSZ,O,X,X,O,O,O,X
IOJTLZS,O,X,X,O,O,X,X
IOJTSLZ,X,O,X,O,O,O,X
IOJTSZL,X,O,X,O,O,O,X
IOJTZLS,X,O,X,O,O,X,O
IOJTZSL,X,O,X,O,O,O,O
IOJLTSZ,O,X,X,O,O,X,X
IOJLTZS,O,X,X,O,O,X,X
IOJLSTZ,O,X,X,O,O,X,X
IOJLSZT,O,X,X,O,O,X,X
IOJLZTS,O,X,X,O,X,X,O
IOJLZST,O,X,X,O,X,X,X
IOJSTLZ,X,O,X,O,O,O,X
IOJSTZL,X,O,X,O,O,O,X
IOJSLTZ,X,O,X,O,O,O,X
IOJSLZT,X,O,X,O,O,X,X
IOJSZTL,X,O,X,O,O,X,O
IOJSZLT,X,O,X,X,O,X,X
IOJZTLS,O,O,X,O,O,X,O
IOJZTSL,O,O,X,O,O,X,O
IOJZLTS,O,X,X,O,X,X,O
IOJZLST,O,X,X,O,X,X,X
IOJZSTL,X,O,X,O,O,X,O
IOJZSLT,X,O,X,X,O,X,X
IOSTLJZ,X,O,O,O,O,O,X
IOSTLZJ,X,X,O,O,X,O,X
IOSTJLZ,X,O,O,O,O,O,X
IOSTJZL,X,O,X,O,O,O,X
IOSTZLJ,X,X,X,O,X,O,X
IOSTZJL,X,X,X,O,O,O,X
IOSLTJZ,X,O,O,O,O,O,X
IOSLTZJ,X,X,O,O,X,O,X
IOSLJTZ,X,O,O,O,O,O,X
IOSLJZT,X,O,O,O,O,X,X
IOSLZTJ,X,O,O,O,X,X,X
IOSLZJT,X,O,O,O,O,X,X
IOSJTLZ,X,O,X,O,O,O,X
IOSJTZL,X,O,X,O,O,O,X
IOSJLTZ,X,O,X,O,O,O,X
IOSJLZT,X,O,X,O,O,X,X
IOSJZTL,X,O,X,O,O,X,O
IOSJZLT,X,O,X,X,O,X,X
IOSZTLJ,X,O,O,O,X,X,O
IOSZTJL,X,O,O,O,O,X,O
IOSZLTJ,X,O,O,X,X,X,X
IOSZLJT,X,O,O,X,O,X,X
IOSZJTL,X,O,X,O,O,X,O
IOSZJLT,X,O,X,X,O,X,X
IOZTLJS,O,O,O,O,O,X,O
IOZTLSJ,O,X,O,O,X,X,O
IOZTJLS,O,O,O,O,O,X,O
IOZTJSL,O,O,O,O,O,X,O
IOZTSLJ,O,O,O,O,X,X,O
IOZTSJL,O,O,O,O,O,X,O
IOZLTJS,O,X,O,O,O,X,O
IOZLTSJ,O,X,O,O,X,X,O
IOZLJTS,O,X,O,O,X,X,O
IOZLJST,O,X,X,O,X,X,X
IOZLSTJ,O,X,O,O,X,X,X
IOZLSJT,O,X,O,O,X,X,X
IOZJTLS,O,O,X,O,O,X,O
IOZJTSL,O,O,X,O,O,X,O
IOZJLTS,O,X,X,O,X,X,O
IOZJLST,O,X,X,O,X,X,X
IOZJSTL,X,O,X,O,O,X,O
IOZJSLT,X,O,X,X,O,X,X
IOZSTLJ,X,O,O,O,X,X,O
IOZSTJL,X,O,O,O,O,X,O
IOZSLTJ,X,O,O,X,X,X,X
IOZSLJT,X,O,O,X,O,X,X
IOZSJTL,X,O,X,O,O,X,O
IOZSJLT,X,O,X,X,O,X,X
LTIJSZO,O,O,O,O,O,O,X
LTIJSOZ,O,O,O,O,O,O,X
LTIJZSO,O,O,X,O,O,X,X
LTIJZOS,O,O,X,O,X,X,X
LTIJOSZ,O,X,O,O,X,O,X
LTIJOZS,O,X,X,O,X,X,X
LTISJZO,O,O,O,O,X,O,X
LTISJOZ,O,O,O,O,X,O,X
LTISZJO,O,O,O,O,X,O,X
LTISZOJ,O,X,O,O,X,O,X
LTISOJZ,O,O,O,O,X,O,X
LTISOZJ,O,X,O,O,X,O,X
LTIZJSO,O,X,O,O,O,X,X
LTIZJOS,O,X,O,O,X,X,X
LTIZSJO,O,X,O,O,X,X,X
LTIZSOJ,O,X,O,O,X,X,X
LTIZOJS,O,X,O,O,X,X,X
LTIZOSJ,O,X,O,O,X,X,X
LTIOJSZ,O,X,O,O,X,O,X
LTIOJZS,O,X,X,O,X,X,X
LTIOSJZ,O,X,O,O,X,O,X
LTIOSZJ,O,X,O,O,X,O,X
LTIOZJS,O,X,O,O,X,X,X
LTIOZSJ,O,X,O,O,X,X,X
LTJISZO,O,O,O,O,O,O,X
LTJISOZ,O,O,O,O,O,O,X
LTJIZSO,O,O,X,O,O,X,X
LTJIZOS,O,O,X,O,X,X,X
LTJIOSZ,O,X,O,O,X,O,X
LTJIOZS,O,X,X,O,X,X,X
LTJSIZO,O,O,O,O,O,O,X
LTJSIOZ,O,O,O,O,O,O,X
LTJSZIO,O,O,O,O,O,O,X
LTJSZOI,O,O,O,O,O,O,X
LTJSOIZ,O,O,O,O,O,O,X
LTJSOZI,O,O,O,O,O,O,X
LTJZISO,O,O,X,O,O,X,X
LTJZIOS,O,O,X,O,X,X,X
LTJZSIO,O,O,X,O,O,X,X
LTJZSOI,O,O,X,O,O,X,X
LTJZOIS,O,O,X,O,X,X,X
LTJZOSI,O,O,X,O,X,X,X
LTJOISZ,O,X,O,O,X,O,X
LTJOIZS,O,X,X,O,X,X,X
LTJOSIZ,O,X,O,O,X,O,X
LTJOSZI,O,X,O,O,X,O,X
LTJOZIS,O,X,X,O,X,X,X
LTJOZSI,O,X,X,O,X,X,X
LTSIJZO,O,O,O,O,X,O,X
LTSIJOZ,O,O,O,O,X,O,X
LTSIZJO,O,O,O,O,X,O,X
LTSIZOJ,O,X,O,O,X,O,X
LTSIOJZ,O,O,O,O,X,O,X
LTSIOZJ,O,X,O,O,X,O,X
LTSJIZO,O,O,O,O,X,O,X
LTSJIOZ,O,O,O,O,X,O,X
LTSJZIO,O,O,O,O,X,O,X
LTSJZOI,O,O,O,O,X,O,X
LTSJOIZ,O,O,O,O,X,O,X
LTSJOZI,O,O,O,O,X,O,X
LTSZIJO,O,O,O,O,X,O,X
LTSZIOJ,O,X,O,O,X,O,X
LTSZJIO,O,O,O,O,X,O,X
LTSZJOI,O,O,O,O,X,O,X
LTSZOIJ,O,X,O,O,X,O,X
LTSZOJI,O,X,O,O,X,O,X
LTSOIJZ,O,O,O,O,X,O,X
LTSOIZJ,O,X,O,O,X,O,X
LTSOJIZ,O,O,O,O,X,O,X
LTSOJZI,O,O,O,O,X,O,X
LTSOZIJ,O,X,O,O,X,O,X
LTSOZJI,O,X,O,O,X,O,X
LTZIJSO,O,X,O,O,O,X,X
LTZIJOS,O,X,O,O,X,X,X
LTZISJO,O,X,O,O,X,X,X
LTZISOJ,O,X,O,O,X,X,X
LTZIOJS,O,X,O,O,X,X,X
LTZIOSJ,O,X,O,O,X,X,X
LTZJISO,O,X,O,O,O,X,X
LTZJIOS,O,X,O,O,X,X,X
LTZJSIO,O,X,O,O,O,X,X
LTZJSOI,O,X,O,O,O,X,X
LTZJOIS,O,X,O,O,X,X,X
LTZJOSI,O,X,O,O,X,X,X
LTZSIJO,O,X,O,O,X,X,X
LTZSIOJ,O,X,O,O,X,X,X
LTZSJIO,O,X,O,O,X,X,X
LTZSJOI,O,X,O,O,X,X,X
LTZSOIJ,O,X,O,O,X,X,X
LTZSOJI,O,X,O,O,X,X,X
LTZOIJS,O,X,O,O,X,X,X
LTZOISJ,O,X,O,O,X,X,X
LTZOJIS,O,X,O,O,X,X,X
LTZOJSI,O,X,O,O,X,X,X
LTZOSIJ,O,X,O,O,X,X,X
LTZOSJI,O,X,O,O,X,X,X
LTOIJSZ,O,X,O,O,X,O,X
LTOIJZS,O,X,X,O,X,X,X
LTOISJZ,O,X,O,O,X,O,X
LTOISZJ,O,X,O,O,X,O,X
LTOIZJS,O,X,O,O,X,X,X
LTOIZSJ,O,X,O,O,X,X,X
LTOJISZ,O,X,O,O,X,O,X
LTOJIZS,O,X,X,O,X,X,X
LTOJSIZ,O,X,O,O,X,O,X
LTOJSZI,O,X,O,O,X,O,X
LTOJZIS,O,X,X,O,X,X,X
LTOJZSI,O,X,X,O,X,X,X
LTOSIJZ,O,X,O,O,X,O,X
LTOSIZJ,O,X,O,O,X,O,X
LTOSJIZ,O,X,O,O,X,O,X
LTOSJZI,O,X,O,O,X,O,X
LTOSZIJ,O,X,O,O,X,O,X
LTOSZJI,O,X,O,O,X,O,X
LTOZIJS,O,X,O,O,X,X,X
LTOZISJ,O,X,O,O,X,X,X
LTOZJIS,O,X,O,O,X,X,X
LTOZJSI,O,X,O,O,X,X,X
LTOZSIJ,O,X,O,O,X,X,X
LTOZSJI,O,X,O,O,X,X,X
LITJSZO,O,O,O,O,O,O,X
LITJSOZ,O,O,O,O,O,O,X
LITJZSO,O,O,X,O,O,X,X
LITJZOS,O,O,X,O,X,X,X
LITJOSZ,O,X,O,O,X,O,X
LITJOZS,O,X,X,O,X,X,X
LITSJZO,O,O,O,O,X,O,X
LITSJOZ,O,O,O,O,X,O,X
LITSZJO,O,O,O,O,X,O,X
LITSZOJ,O,X,O,O,X,O,X
LITSOJZ,O,O,O,O,X,O,X
LITSOZJ,O,X,O,O,X,O,X
LITZJSO,O,X,O,O,O,X,X
LITZJOS,O,X,O,O,X,X,X
LITZSJO,O,X,O,O,X,X,X
LITZSOJ,O,X,O,O,X,X,X
LITZOJS,O,X,O,O,X,X,X
LITZOSJ,O,X,O,O,X,X,X
LITOJSZ,O,X,O,O,X,O,X
LITOJZS,O,X,X,O,X,X,X
LITOSJZ,O,X,O,O,X,O,X
LITOSZJ,O,X,O,O,X,O,X
LITOZJS,O,X,O,O,X,X,X
LITOZSJ,O,X,O,O,X,X,X
LIJTSZO,O,O,O,O,O,O,X
LIJTSOZ,O,O,O,O,O,O,X
LIJTZSO,O,O,X,O,O,X,X
LIJTZOS,O,O,X,O,X,X,X
LIJTOSZ,O,X,O,O,X,O,X
LIJTOZS,O,X,X,O,X,X,X
LIJSTZO,O,O,O,O,O,O,X
LIJSTOZ,O,O,O,O,O,O,X
LIJSZTO,O,O,O,O,O,O,X
LIJSZOT,O,O,O,O,O,X,X
LIJSOTZ,O,O,O,O,O,O,X
LIJSOZT,O,O,O,O,O,X,X
LIJZTSO,O,O,O,O,X,X,X
LIJZTOS,O,O,O,O,X,X,X
LIJZSTO,O,O,O,O,X,X,X
LIJZSOT,O,O,O,O,X,X,X
LIJZOTS,O,X,O,O,X,X,X
LIJZOST,O,X,X,O,X,X,X
LIJOTSZ,O,X,O,O,O,X,X
LIJOTZS,O,X,X,O,O,X,X
LIJOSTZ,O,X,O,O,O,X,X
LIJOSZT,O,X,O,O,O,X,X
LIJOZTS,O,X,O,O,X,X,X
LIJOZST,O,X,X,O,X,X,X
LISTJZO,O,O,O,O,O,O,X
LISTJOZ,O,O,O,O,O,O,X
LISTZJO,O,O,O,O,X,O,X
LISTZOJ,O,O,O,O,X,O,X
LISTOJZ,O,O,O,O,O,O,X
LISTOZJ,O,X,O,O,X,O,X
LISJTZO,O,O,O,O,O,O,X
LISJTOZ,O,O,O,O,O,O,X
LISJZTO,O,O,O,O,O,O,X
LISJZOT,O,O,O,O,O,X,X
LISJOTZ,O,O,O,O,O,O,X
LISJOZT,O,O,O,O,O,X,X
LISZTJO,O,O,O,O,X,O,X
LISZTOJ,O,O,O,O,X,O,X
LISZJTO,O,O,O,O,O,O,X
LISZJOT,O,O,O,O,O,X,X
LISZOTJ,O,O,O,O,X,X,X
LISZOJT,O,O,O,O,O,X,X
LISOTJZ,O,O,O,O,O,O,X
LISOTZJ,O,X,O,O,X,O,X
LISOJTZ,O,O,O,O,O,O,X
LISOJZT,O,O,O,O,O,X,X
LISOZTJ,O,O,O,O,X,X,X
LISOZJT,O,O,O,O,O,X,X
LIZTJSO,O,O,O,O,O,X,X
LIZTJOS,O,O,O,O,X,X,O
LIZTSJO,O,O,O,O,X,X,X
LIZTSOJ,O,O,O,O,X,X,O
LIZTOJS,O,O,O,O,X,X,O
LIZTOSJ,O,X,O,O,X,X,O
LIZJTSO,O,O,O,O,X,X,X
LIZJTOS,O,O,O,O,X,X,X
LIZJSTO,O,O,O,O,X,X,X
LIZJSOT,O,O,O,O,X,X,X
LIZJOTS,O,X,O,O,X,X,X
LIZJOST,O,X,X,O,X,X,X
LIZSTJO,O,O,O,O,X,X,X
LIZSTOJ,O,O,O,O,X,X,X
LIZSJTO,O,O,O,O,X,X,X
LIZSJOT,O,O,O,O,X,X,X
LIZSOTJ,O,O,O,O,X,X,X
LIZSOJT,O,O,O,O,X,X,X
LIZOTJS,O,X,O,O,X,X,O
LIZOTSJ,O,X,O,O,X,X,O
LIZOJTS,O,X,O,O,X,X,O
LIZOJST,O,X,X,O,X,X,X
LIZOSTJ,O,X,O,O,X,X,X
LIZOSJT,O,X,O,O,X,X,X
LIOTJSZ,O,X,O,O,O,X,X
LIOTJZS,O,X,X,O,O,X,X
LIOTSJZ,O,X,O,O,X,X,X
LIOTSZJ,O,X,O,O,X,X,X
LIOTZJS,O,X,O,O,O,X,X
LIOTZSJ,O,X,O,O,X,X,X
LIOJTSZ,O,X,O,O,O,X,X
LIOJTZS,O,X,X,O,O,X,X
LIOJSTZ,O,X,O,O,O,X,X
LIOJSZT,O,X,O,O,O,X,X
LIOJZTS,O,X,O,O,X,X,O
LIOJZST,O,X,X,O,X,X,X
LIOSTJZ,O,X,O,O,O,X,X
LIOSTZJ,O,X,O,O,X,X,X
LIOSJTZ,O,X,O,O,O,X,X
LIOSJZT,O,X,O,O,O,X,X
LIOSZTJ,O,X,O,O,X,X,X
LIOSZJT,O,X,O,O,O,X,X
LIOZTJS,O,X,O,O,O,X,O
LIOZTSJ,O,X,O,O,X,X,O
LIOZJTS,O,X,O,O,X,X,O
LIOZJST,O,X,X,O,X,X,X
LIOZSTJ,O,X,O,O,X,X,X
LIOZSJT,O,X,O,O,X,X,X
LJTISZO,O,O,O,O,O,O,X
LJTISOZ,O,O,O,O,O,O,X
LJTIZSO,O,O,X,O,O,X,X
LJTIZOS,O,O,X,O,X,X,X
LJTIOSZ,O,X,O,O,X,O,X
LJTIOZS,O,X,X,O,X,X,X
LJTSIZO,O,O,O,O,O,O,X
LJTSIOZ,O,O,O,O,O,O,X
LJTSZIO,O,O,O,O,O,O,X
LJTSZOI,O,O,O,O,O,O,X
LJTSOIZ,O,O,O,O,O,O,X
LJTSOZI,O,O,O,O,O,O,X
LJTZISO,O,O,X,O,O,X,X
LJTZIOS,O,O,X,O,X,X,X
LJTZSIO,O,O,X,O,O,X,X
LJTZSOI,O,O,X,O,O,X,X
LJTZOIS,O,O,X,O,X,X,X
LJTZOSI,O,O,X,O,X,X,X
LJTOISZ,O,X,O,O,X,O,X
LJTOIZS,O,X,X,O,X,X,X
LJTOSIZ,O,X,O,O,X,O,X
LJTOSZI,O,X,O,O,X,O,X
LJTOZIS,O,X,X,O,X,X,X
LJTOZSI,O,X,X,O,X,X,X
LJITSZO,O,O,O,O,O,O,X
LJITSOZ,O,O,O,O,O,O,X
LJITZSO,O,O,X,O,O,X,X
LJITZOS,O,O,X,O,X,X,X
LJITOSZ,O,X,O,O,X,O,X
LJITOZS,O,X,X,O,X,X,X
LJISTZO,O,O,O,O,O,O,X
LJISTOZ,O,O,O,O,O,O,X
LJISZTO,O,O,O,O,O,O,X
LJISZOT,O,O,O,O,O,X,X
LJISOTZ,O,O,O,O,O,O,X
LJISOZT,O,O,O,O,O,X,X
LJIZTSO,O,O,O,O,X,X,X
LJIZTOS,O,O,O,O,X,X,X
LJIZSTO,O,O,O,O,X,X,X
LJIZSOT,O,O,O,O,X,X,X
LJIZOTS,O,X,O,O,X,X,X
LJIZOST,O,X,X,O,X,X,X
LJIOTSZ,O,X,O,O,O,X,X
LJIOTZS,O,X,X,O,O,X,X
LJIOSTZ,O,X,O,O,O,X,X
LJIOSZT,O,X,O,O,O,X,X
LJIOZTS,O,X,O,O,X,X,X
LJIOZST,O,X,X,O,X,X,X
LJSTIZO,O,O,O,O,O,O,X
LJSTIOZ,O,O,O,O,O,O,X
LJSTZIO,O,O,O,O,O,O,X
LJSTZOI,O,O,O,O,O,O,X
LJSTOIZ,O,O,O,O,O,O,X
LJSTOZI,O,O,O,O,O,O,X
LJSITZO,O,O,O,O,O,O,X
LJSITOZ,O,O,O,O,O,O,X
LJSIZTO,O,O,O,O,O,O,X
LJSIZOT,O,O,O,O,O,X,X
LJSIOTZ,O,O,O,O,O,O,X
LJSIOZT,O,O,O,O,O,X,X
LJSZTIO,O,O,O,O,O,O,X
LJSZTOI,O,O,O,O,O,O,X
LJSZITO,O,O,O,O,O,O,X
LJSZIOT,O,O,O,O,O,X,X
LJSZOTI,O,O,O,O,O,X,X
LJSZOIT,O,O,O,O,O,X,X
LJSOTIZ,O,O,O,O,O,O,X
LJSOTZI,O,O,O,O,O,O,X
LJSOITZ,O,O,O,O,O,O,X
LJSOIZT,O,O,O,O,O,X,X
LJSOZTI,O,O,O,O,O,X,X
LJSOZIT,O,O,O,O,O,X,X
LJZTISO,O,O,O,O,X,X,X
LJZTIOS,O,O,O,O,X,X,X
LJZTSIO,O,O,O,O,X,X,X
LJZTSOI,O,O,O,O,X,X,X
LJZTOIS,O,O,O,O,X,X,X
LJZTOSI,O,O,O,O,X,X,X
LJZITSO,O,O,O,O,X,X,X
LJZITOS,O,O,O,O,X,X,X
LJZISTO,O,O,O,O,X,X,X
LJZISOT,O,O,O,O,X,X,X
LJZIOTS,O,X,O,O,X,X,X
LJZIOST,O,X,X,O,X,X,X
LJZSTIO,O,O,O,O,X,X,X
LJZSTOI,O,O,O,O,X,X,X
LJZSITO,O,O,O,O,X,X,X
LJZSIOT,O,O,O,O,X,X,X
LJZSOTI,O,O,O,O,X,X,X
LJZSOIT,O,O,O,O,X,X,X
LJZOTIS,O,X,O,O,X,X,X
LJZOTSI,O,X,O,O,X,X,X
LJZOITS,O,X,O,O,X,X,X
LJZOIST,O,X,X,O,X,X,X
LJZOSTI,O,X,X,O,X,X,X
LJZOSIT,O,X,X,O,X,X,X
LJOTISZ,O,X,O,O,O,X,X
LJOTIZS,O,X,X,O,O,X,X
LJOTSIZ,O,X,O,O,O,X,X
LJOTSZI,O,X,O,O,O,X,X
LJOTZIS,O,X,X,O,O,X,X
LJOTZSI,O,X,X,O,O,X,X
LJOITSZ,O,X,O,O,O,X,X
LJOITZS,O,X,X,O,O,X,X
LJOISTZ,O,X,O,O,O,X,X
LJOISZT,O,X,O,O,O,X,X
LJOIZTS,O,X,O,O,X,X,X
LJOIZST,O,X,X,O,X,X,X
LJOSTIZ,O,X,O,O,O,X,X
LJOSTZI,O,X,O,O,O,X,X
LJOSITZ,O,X,O,O,O,X,X
LJOSIZT,O,X,O,O,O,X,X
LJOSZTI,O,X,O,O,O,X,X
LJOSZIT,O,X,O,O,O,X,X
LJOZTIS,O,X,O,O,X,X,X
LJOZTSI,O,X,O,O,X,X,X
LJOZITS,O,X,O,O,X,X,X
LJOZIST,O,X,X,O,X,X,X
LJOZSTI,O,X,X,O,X,X,X
LJOZSIT,O,X,X,O,X,X,X
LSTIJZO,O,O,O,O,O,O,X
LSTIJOZ,O,O,O,O,O,O,X
LSTIZJO,O,O,O,O,X,O,X
LSTIZOJ,O,O,O,O,X,O,X
LSTIOJZ,O,O,O,O,O,O,X
LSTIOZJ,O,X,O,O,X,O,X
LSTJIZO,O,O,O,O,O,O,X
LSTJIOZ,O,O,O,O,O,O,X
LSTJZIO,O,O,O,O,O,O,X
LSTJZOI,O,O,O,O,O,O,X
LSTJOIZ,O,O,O,O,O,O,X
LSTJOZI,O,O,O,O,O,O,X
LSTZIJO,O,O,O,O,X,O,X
LSTZIOJ,O,O,O,O,X,O,X
LSTZJIO,O,O,O,O,X,O,X
LSTZJOI,O,O,O,O,X,O,X
LSTZOIJ,O,O,O,O,X,O,X
LSTZOJI,O,O,O,O,X,O,X
LSTOIJZ,O,O,O,O,O,O,X
LSTOIZJ,O,X,O,O,X,O,X
LSTOJIZ,O,O,O,O,O,O,X
LSTOJZI,O,O,O,O,O,O,X
LSTOZIJ,O,X,O,O,X,O,X
LSTOZJI,O,X,O,O,X,O,X
LSITJZO,O,O,O,O,O,O,X
LSITJOZ,O,O,O,O,O,O,X
LSITZJO,O,O,O,O,X,O,X
LSITZOJ,O,O,O,O,X,O,X
LSITOJZ,O,O,O,O,O,O,X
LSITOZJ,O,X,O,O,X,O,X
