sequence,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB9nBTjBG?lBUqBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFUgBRhB9nB6?oBetBTqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB3iB9oBG?lBUqBzsB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFUgBRhBGjB6?sBNtBTqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je2EJvhFRhB9nBTjBS?qBXtBUqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeT/IvhF/lBRhBGjB6?sBNtBUqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeRBJvhF9nBTjB0kB6?qBXtBmpB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeyEJvhFRhB9nBTjB+?qB0kBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB9nBGlBT?oBUqBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFalBRhB9oB+?qB0nBzsB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeT/IvhFRhB3iBGqBC?tBNqBctB
ILJTOZS,X,X,X,O,X,X,X,X,X,X,O
ILJSTZO,X,X,X,O,O,X,O,O,X,O,O
ILJSTOZ,O,X,X,O,O,X,O,O,X,O,O
ILJSZTO,X,X,X,O,O,X,O,O,X,O,O
ILJSZOT,X,X,X,X,X,X,X,X,X,O,O
ILJSOTZ,X,X,X,X,O,X,X,O,X,O,X
ILJSOZT,X,X,X,X,X,X,X,X,X,O,X
ILJZTSO,X,X,X,X,O,X,O,O,X,O,O
ILJZTOS,X,X,X,X,X,X,X,X,X,X,O
ILJZSTO,X,X,X,X,O,X,O,O,X,O,O
ILJZSOT,X,X,X,X,X,X,X,X,X,O,O
ILJZOTS,X,X,X,X,X,X,X,X,X,X,O
ILJZOST,X,X,X,X,X,X,X,X,X,X,O
ILJOTSZ,X,X,O,O,O,X,X,O,X,X,O
ILJOTZS,X,X,X,O,X,X,X,X,X,X,O
ILJOSTZ,X,X,X,O,O,X,X,O,X,X,X
ILJOSZT,X,X,X,O,X,X,X,X,X,X,X
ILJOZTS,X,X,X,X,X,X,X,X,X,X,O
ILJOZST,X,X,X,X,X,X,X,X,X,X,O
ILSTJZO,X,O,O,O,O,X,O,O,X,X,X
ILSTJOZ,O,O,X,O,O,X,O,O,X,X,X
ILSTZJO,O,O,O,O,O,X,O,X,X,X,X
ILSTZOJ,O,X,O,O,O,X,O,X,X,X,X
ILSTOJZ,O,X,X,O,O,X,O,O,X,X,X
ILSTOZJ,O,X,O,O,O,X,O,X,X,X,X
ILSJTZO,X,X,X,O,O,X,O,O,X,X,O
ILSJTOZ,O,X,X,O,O,X,O,O,X,X,O
ILSJZTO,X,X,X,O,O,X,O,O,X,X,O
ILSJZOT,X,X,X,X,X,X,X,X,X,X,O
ILSJOTZ,X,X,X,X,O,X,X,O,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X,X,X,X
ILSZTJO,O,O,X,O,O,X,O,X,X,X,X
ILSZTOJ,O,X,X,O,O,X,O,X,X,X,X
ILSZJTO,O,X,X,O,O,X,O,X,X,X,X
ILSZJOT,O,X,X,X,X,X,X,X,X,X,X
ILSZOTJ,O,X,X,O,X,X,O,X,X,X,X
ILSZOJT,X,X,X,X,X,X,X,X,X,X,X
ILSOTJZ,O,X,O,O,O,X,O,O,X,X,X
ILSOTZJ,O,X,O,O,O,X,O,X,X,X,X
ILSOJTZ,X,X,X,O,O,X,X,O,X,X,X
ILSOJZT,X,X,X,O,X,X,X,X,X,X,X
ILSOZTJ,X,X,X,O,X,X,O,X,X,X,X
ILSOZJT,X,X,X,O,X,X,X,X,X,X,X
ILZTJSO,O,X,O,O,O,O,O,X,O,O,X
ILZTJOS,O,X,O,O,X,O,X,X,O,X,X
ILZTSJO,O,X,O,O,O,O,O,X,X,X,X
ILZTSOJ,O,X,O,O,O,O,O,X,X,X,X
ILZTOJS,X,X,O,O,X,O,X,X,O,X,X
ILZTOSJ,O,X,O,O,X,O,O,X,X,X,X
ILZJTSO,O,X,O,X,O,X,O,X,O,O,O
ILZJTOS,O,X,O,X,X,X,X,X,O,X,O
ILZJSTO,O,X,O,X,O,X,O,X,O,O,O
ILZJSOT,O,X,O,X,X,X,X,X,X,O,O
ILZJOTS,O,X,O,X,X,X,X,X,O,X,O
ILZJOST,O,X,O,X,X,X,X,X,X,X,O
ILZSTJO,O,X,O,O,O,O,O,X,X,X,X
ILZSTOJ,O,X,O,O,O,O,O,X,X,X,X
ILZSJTO,O,X,X,O,O,O,O,X,X,X,X
ILZSJOT,O,X,X,X,X,O,X,X,X,X,X
ILZSOTJ,O,X,O,O,X,O,O,X,X,X,X
ILZSOJT,X,X,X,X,X,O,X,X,X,X,X
ILZOTJS,X,X,O,O,X,O,X,X,X,X,X
ILZOTSJ,O,X,O,O,X,O,O,X,X,X,X
ILZOJTS,X,X,O,X,X,X,X,X,X,X,X
ILZOJST,X,X,O,X,X,X,X,X,X,X,X
ILZOSTJ,O,X,O,O,X,O,O,X,X,X,X
ILZOSJT,X,X,X,O,X,O,X,X,X,X,X
ILOTJSZ,X,O,O,O,O,X,X,X,X,X,X
ILOTJZS,X,O,X,O,X,O,X,X,X,X,X
ILOTSJZ,O,O,O,O,O,X,O,X,X,X,X
ILOTSZJ,O,O,O,O,O,X,O,X,X,X,X
ILOTZJS,X,X,O,O,X,O,X,X,X,X,X
ILOTZSJ,X,X,O,O,X,O,O,X,X,X,X
ILOJTSZ,X,X,O,O,O,X,X,X,X,X,O
ILOJTZS,X,X,X,O,X,X,X,X,X,X,O
ILOJSTZ,X,X,X,O,O,X,X,X,X,X,X
ILOJSZT,X,X,X,O,X,X,X,X,X,X,X
ILOJZTS,X,X,X,X,X,X,X,X,X,X,O
ILOJZST,X,X,X,X,X,X,X,X,X,X,O
ILOSTJZ,O,O,O,O,O,X,O,X,X,X,X
ILOSTZJ,O,O,O,O,O,X,O,X,X,X,X
ILOSJTZ,X,X,X,O,O,X,X,X,X,X,X
ILOSJZT,X,X,X,O,X,X,X,X,X,X,X
ILOSZTJ,X,O,X,O,X,X,O,X,X,X,X
ILOSZJT,X,X,X,O,X,X,X,X,X,X,X
ILOZTJS,X,X,O,O,X,O,X,X,X,X,X
ILOZTSJ,X,X,O,O,X,O,O,X,X,X,X
ILOZJTS,X,X,O,X,X,X,X,X,X,X,X
ILOZJST,X,X,O,X,X,X,X,X,X,X,X
ILOZSTJ,X,X,O,O,X,O,O,X,X,X,X
ILOZSJT,X,X,X,O,X,O,X,X,X,X,X
IJTLSZO,X,O,O,O,O,X,O,O,X,O,O
IJTLSOZ,O,O,X,X,O,X,O,O,X,O,O
IJTLZSO,X,O,X,X,O,X,O,O,X,O,O
IJTLZOS,X,O,X,X,X,X,X,X,X,X,O
IJTLOSZ,X,O,X,O,O,X,X,O,X,X,O
IJTLOZS,X,O,X,X,X,X,X,X,X,X,O
IJTSLZO,X,O,O,O,O,X,O,O,X,O,X
IJTSLOZ,O,O,X,X,O,X,O,O,X,O,X
IJTSZLO,O,O,O,O,X,X,X,O,X,O,X
IJTSZOL,O,O,O,O,X,X,X,O,X,O,X
IJTSOLZ,O,O,X,O,O,X,O,O,X,O,X
IJTSOZL,O,O,X,O,X,X,X,O,X,O,X
IJTZLSO,O,O,O,X,X,X,X,O,O,O,X
IJTZLOS,O,O,O,X,X,X,X,X,O,X,X
IJTZSLO,O,O,O,O,X,X,X,O,O,O,X
IJTZSOL,O,O,O,O,X,X,X,O,O,O,X
IJTZOLS,O,O,O,X,X,X,X,X,O,X,X
IJTZOSL,O,O,O,O,X,X,X,X,O,O,X
IJTOLSZ,X,O,X,O,X,X,X,O,X,X,X
IJTOLZS,X,O,X,X,X,X,X,X,X,X,X
IJTOSLZ,X,O,X,O,X,X,X,O,X,O,X
IJTOSZL,X,O,X,O,X,X,X,O,X,O,X
IJTOZLS,X,O,X,X,X,X,X,X,O,X,X
IJTOZSL,X,O,X,O,X,X,X,X,O,O,X
IJLTSZO,X,O,O,O,O,X,O,O,X,O,O
IJLTSOZ,O,O,X,O,O,X,O,O,X,O,O
IJLTZSO,X,O,X,O,O,X,O,O,X,O,O
IJLTZOS,X,O,X,O,X,X,X,X,X,X,O
IJLTOSZ,X,O,X,O,O,X,X,O,X,X,O
IJLTOZS,X,O,X,O,X,X,X,X,X,X,O
IJLSTZO,X,O,X,O,O,X,O,O,X,O,O
IJLSTOZ,O,O,X,O,O,X,O,O,X,O,O
IJLSZTO,X,O,X,O,O,X,O,O,X,O,O
IJLSZOT,X,X,X,X,X,X,X,X,X,O,O
IJLSOTZ,X,O,X,X,O,X,X,O,X,O,X
IJLSOZT,X,O,X,X,X,X,X,X,X,O,X
IJLZTSO,X,X,X,X,O,X,O,O,X,O,O
IJLZTOS,X,X,X,X,X,X,X,X,X,X,O
IJLZSTO,X,X,X,X,O,X,O,O,X,O,O
IJLZSOT,X,X,X,X,X,X,X,X,X,O,O
IJLZOTS,X,X,X,X,X,X,X,X,X,X,O
IJLZOST,X,X,X,X,X,X,X,X,X,X,O
IJLOTSZ,X,O,O,O,O,X,X,O,X,X,O
IJLOTZS,X,O,X,O,X,X,X,X,X,X,O
IJLOSTZ,X,O,X,O,O,X,X,O,X,X,X
IJLOSZT,X,O,X,O,X,X,X,X,X,X,X
IJLOZTS,X,X,X,X,X,X,X,X,X,X,O
IJLOZST,X,X,X,X,X,X,X,X,X,X,O
IJSTLZO,X,O,X,O,O,X,O,O,X,O,X
IJSTLOZ,O,O,X,X,O,X,O,O,X,O,X
IJSTZLO,O,O,X,O,X,X,X,O,X,O,X
IJSTZOL,O,O,X,O,X,X,X,O,X,O,X
IJSTOLZ,O,O,X,X,O,X,O,O,X,O,X
IJSTOZL,O,O,X,O,X,X,X,O,X,O,X
IJSLTZO,X,O,X,O,O,X,O,O,X,O,O
IJSLTOZ,O,O,X,O,O,X,O,O,X,O,O
IJSLZTO,X,O,X,O,O,X,O,O,X,O,O
IJSLZOT,X,X,X,X,X,X,X,X,X,O,O
IJSLOTZ,X,O,X,X,O,X,X,O,X,O,X
IJSLOZT,X,O,X,X,X,X,X,X,X,O,X
IJSZTLO,O,O,X,O,X,X,X,O,X,O,X
IJSZTOL,O,O,X,O,X,X,X,O,X,O,X
IJSZLTO,O,O,X,O,X,X,X,O,X,O,X
IJSZLOT,O,X,X,X,X,X,X,X,X,O,X
IJSZOTL,O,X,X,X,X,X,X,X,X,O,X
IJSZOLT,O,X,X,X,X,X,X,X,X,O,X
IJSOTLZ,X,O,X,X,O,X,X,O,X,O,X
IJSOTZL,X,O,X,X,X,X,X,O,X,O,X
IJSOLTZ,X,O,X,X,O,X,X,O,X,O,X
IJSOLZT,X,O,X,X,X,X,X,X,X,O,X
IJSOZTL,X,O,X,X,X,X,X,X,X,O,X
IJSOZLT,X,O,X,X,X,X,X,X,X,O,X
IJZTLSO,O,X,O,X,X,X,X,O,O,O,X
IJZTLOS,O,X,O,X,X,X,X,X,O,X,X
IJZTSLO,O,X,O,X,X,X,X,O,O,O,X
IJZTSOL,O,X,O,X,X,X,X,O,O,O,X
IJZTOLS,O,X,O,X,X,X,X,X,O,X,X
IJZTOSL,O,X,O,X,X,X,X,X,O,O,X
IJZLTSO,O,X,O,X,X,X,X,O,O,O,O
IJZLTOS,O,X,O,X,X,X,X,X,O,X,O
IJZLSTO,O,X,O,X,X,X,X,O,O,O,O
IJZLSOT,O,X,O,X,X,X,X,X,X,O,O
IJZLOTS,O,X,O,X,X,X,X,X,O,X,O
IJZLOST,O,X,O,X,X,X,X,X,X,X,O
IJZSTLO,O,X,O,X,X,X,X,O,O,O,X
IJZSTOL,O,X,O,X,X,X,X,O,O,O,X
IJZSLTO,O,X,O,X,X,X,X,O,O,O,X
IJZSLOT,O,X,O,X,X,X,X,X,X,O,X
IJZSOTL,O,X,O,X,X,X,X,X,X,O,X
IJZSOLT,O,X,O,X,X,X,X,X,X,O,X
IJZOTLS,O,X,O,X,X,X,X,X,O,X,X
IJZOTSL,O,X,O,X,X,X,X,X,O,O,X
IJZOLTS,O,X,O,X,X,X,X,X,O,X,X
IJZOLST,O,X,O,X,X,X,X,X,X,X,X
IJZOSTL,O,X,O,X,X,X,X,X,X,O,X
IJZOSLT,O,X,O,X,X,X,X,X,X,O,X
IJOTLSZ,X,O,O,O,X,X,X,O,X,X,X
IJOTLZS,X,O,X,X,X,X,X,X,X,X,X
IJOTSLZ,X,O,O,O,X,X,X,O,X,O,X
IJOTSZL,X,O,O,O,X,X,X,O,X,O,X
IJOTZLS,X,O,O,X,X,X,X,X,X,X,X
IJOTZSL,X,O,O,O,X,X,X,X,X,O,X
IJOLTSZ,X,O,O,O,X,X,X,O,X,X,O
IJOLTZS,X,O,X,O,X,X,X,X,X,X,O
IJOLSTZ,X,O,X,O,X,X,X,O,X,X,X
IJOLSZT,X,O,X,O,X,X,X,X,X,X,X
IJOLZTS,X,X,X,X,X,X,X,X,X,X,O
IJOLZST,X,X,X,X,X,X,X,X,X,X,O
IJOSTLZ,X,O,X,O,X,X,X,O,X,O,X
IJOSTZL,X,O,X,O,X,X,X,O,X,O,X
IJOSLTZ,X,O,X,O,X,X,X,O,X,O,X
IJOSLZT,X,O,X,O,X,X,X,X,X,O,X
IJOSZTL,X,O,X,O,X,X,X,X,X,O,X
IJOSZLT,X,O,X,O,X,X,X,X,X,O,X
IJOZTLS,X,X,O,X,X,X,X,X,X,X,X
IJOZTSL,X,X,O,X,X,X,X,X,X,O,X
IJOZLTS,X,X,O,X,X,X,X,X,X,X,X
IJOZLST,X,X,O,X,X,X,X,X,X,X,X
IJOZSTL,X,X,O,X,X,X,X,X,X,O,X
IJOZSLT,X,X,O,X,X,X,X,X,X,O,X
ISTLJZO,X,O,O,O,O,X,O,O,X,X,X
ISTLJOZ,O,O,X,O,O,X,O,O,X,X,X
ISTLZJO,O,O,O,O,O,X,O,X,X,X,X
ISTLZOJ,O,X,O,O,O,X,O,X,X,X,X
ISTLOJZ,O,X,X,O,O,X,O,O,X,X,X
ISTLOZJ,O,X,O,O,O,X,O,X,X,X,X
ISTJLZO,X,O,O,O,O,X,O,O,X,O,X
ISTJLOZ,O,O,X,X,O,X,O,O,X,O,X
ISTJZLO,O,O,O,O,X,X,X,O,X,O,X
ISTJZOL,O,O,O,O,X,X,X,O,X,O,X
ISTJOLZ,O,O,X,O,O,X,O,O,X,O,X
ISTJOZL,O,O,X,O,X,X,X,O,X,O,X
ISTZLJO,O,O,O,O,O,X,O,X,X,X,X
ISTZLOJ,O,X,O,O,O,X,O,X,X,X,X
ISTZJLO,O,O,O,O,X,X,X,O,O,O,X
ISTZJOL,O,O,O,O,X,X,X,O,O,O,X
ISTZOLJ,O,X,O,X,O,X,O,X,X,X,X
ISTZOJL,O,O,O,O,X,X,X,O,O,X,X
ISTOLJZ,O,O,X,O,O,X,O,O,X,X,X
ISTOLZJ,O,O,O,O,O,X,O,X,X,X,X
ISTOJLZ,O,O,X,O,O,X,O,O,X,X,X
ISTOJZL,O,O,X,O,X,X,X,O,X,X,X
ISTOZLJ,O,O,O,O,O,X,O,X,X,X,X
ISTOZJL,O,O,O,O,X,X,X,O,O,X,X
ISLTJZO,X,O,O,O,O,X,O,O,X,X,X
ISLTJOZ,O,O,X,O,O,X,O,O,X,X,X
ISLTZJO,O,O,O,O,O,X,O,X,X,X,X
ISLTZOJ,O,X,O,O,O,X,O,X,X,X,X
ISLTOJZ,O,X,X,O,O,X,O,O,X,X,X
ISLTOZJ,O,X,O,O,O,X,O,X,X,X,X
ISLJTZO,X,X,X,O,O,X,O,O,X,X,O
ISLJTOZ,O,X,X,O,O,X,O,O,X,X,O
ISLJZTO,X,X,X,O,O,X,O,O,X,X,O
ISLJZOT,X,X,X,X,X,X,X,X,X,X,O
ISLJOTZ,X,X,X,X,O,X,X,O,X,X,X
ISLJOZT,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,O,O,X,O,O,X,O,X,X,X,X
ISLZTOJ,O,X,X,O,O,X,O,X,X,X,X
ISLZJTO,O,X,X,O,O,X,O,X,X,X,X
ISLZJOT,O,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,O,X,X,O,X,X,O,X,X,X,X
ISLZOJT,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,O,O,O,X,O,O,X,X,X
ISLOTZJ,O,X,O,O,O,X,O,X,X,X,X
ISLOJTZ,X,X,X,O,O,X,X,O,X,X,X
ISLOJZT,X,X,X,O,X,X,X,X,X,X,X
ISLOZTJ,X,X,X,O,X,X,O,X,X,X,X
ISLOZJT,X,X,X,O,X,X,X,X,X,X,X
ISJTLZO,X,O,X,O,O,X,O,O,X,O,X
ISJTLOZ,O,O,X,X,O,X,O,O,X,O,X
ISJTZLO,O,O,X,O,X,X,X,O,X,O,X
ISJTZOL,O,O,X,O,X,X,X,O,X,O,X
ISJTOLZ,O,O,X,X,O,X,O,O,X,O,X
ISJTOZL,O,O,X,O,X,X,X,O,X,O,X
ISJLTZO,X,O,X,O,O,X,O,O,X,O,O
ISJLTOZ,O,O,X,O,O,X,O,O,X,O,O
ISJLZTO,X,O,X,O,O,X,O,O,X,O,O
ISJLZOT,X,X,X,X,X,X,X,X,X,O,O
ISJLOTZ,X,O,X,X,O,X,X,O,X,O,X
ISJLOZT,X,O,X,X,X,X,X,X,X,O,X
ISJZTLO,O,O,X,O,X,X,X,O,X,O,X
ISJZTOL,O,O,X,O,X,X,X,O,X,O,X
ISJZLTO,O,O,X,O,X,X,X,O,X,O,X
ISJZLOT,O,X,X,X,X,X,X,X,X,O,X
ISJZOTL,O,X,X,X,X,X,X,X,X,O,X
ISJZOLT,O,X,X,X,X,X,X,X,X,O,X
ISJOTLZ,X,O,X,X,O,X,X,O,X,O,X
ISJOTZL,X,O,X,X,X,X,X,O,X,O,X
ISJOLTZ,X,O,X,X,O,X,X,O,X,O,X
ISJOLZT,X,O,X,X,X,X,X,X,X,O,X
ISJOZTL,X,O,X,X,X,X,X,X,X,O,X
ISJOZLT,X,O,X,X,X,X,X,X,X,O,X
ISZTLJO,O,O,O,O,O,X,O,X,X,X,X
ISZTLOJ,O,X,O,O,O,X,O,X,X,X,X
ISZTJLO,O,O,O,O,X,X,X,O,O,O,X
ISZTJOL,O,O,O,O,X,X,X,O,O,O,X
ISZTOLJ,O,X,O,X,O,X,O,X,X,X,X
ISZTOJL,O,O,O,O,X,X,X,O,O,X,X
ISZLTJO,O,O,O,O,O,X,O,X,X,X,X
ISZLTOJ,O,X,O,O,O,X,O,X,X,X,X
ISZLJTO,O,X,X,O,O,X,O,X,X,X,X
ISZLJOT,O,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,O,X,O,O,X,X,O,X,X,X,X
ISZLOJT,O,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,O,O,X,X,X,O,O,O,X
ISZJTOL,O,O,O,O,X,X,X,O,O,O,X
ISZJLTO,O,O,O,O,X,X,X,O,O,O,X
ISZJLOT,O,X,O,X,X,X,X,X,X,O,X
ISZJOTL,O,X,O,X,X,X,X,X,X,O,X
ISZJOLT,O,X,O,X,X,X,X,X,X,O,X
ISZOTLJ,O,X,O,X,X,X,O,X,X,X,X
ISZOTJL,O,O,O,O,X,X,X,X,X,X,X
ISZOLTJ,O,X,O,O,X,X,O,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,O,X,X,X,X,X,X,X,X
ISZOJLT,O,X,O,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,O,O,O,X,O,O,X,X,X
ISOTLZJ,O,O,O,O,O,X,O,X,X,X,X
ISOTJLZ,O,O,O,O,O,X,O,O,X,X,X
ISOTJZL,O,O,O,O,X,X,X,O,X,X,X
ISOTZLJ,O,O,O,O,O,X,O,X,X,X,X
ISOTZJL,O,O,O,O,X,X,X,O,X,X,X
ISOLTJZ,O,O,O,O,O,X,O,O,X,X,X
ISOLTZJ,O,O,O,O,O,X,O,X,X,X,X
ISOLJTZ,X,X,X,O,O,X,X,O,X,X,X
ISOLJZT,X,X,X,O,X,X,X,X,X,X,X
ISOLZTJ,X,O,X,O,X,X,O,X,X,X,X
ISOLZJT,X,X,X,O,X,X,X,X,X,X,X
ISOJTLZ,X,O,X,O,O,X,X,O,X,X,X
ISOJTZL,X,O,X,O,X,X,X,O,X,X,X
ISOJLTZ,X,O,X,O,O,X,X,O,X,X,X
ISOJLZT,X,O,X,O,X,X,X,X,X,X,X
ISOJZTL,X,O,X,O,X,X,X,X,X,X,X
ISOJZLT,X,O,X,O,X,X,X,X,X,X,X
ISOZTLJ,O,O,O,O,X,X,O,X,X,X,X
ISOZTJL,O,O,O,O,X,X,X,X,X,X,X
ISOZLTJ,O,O,O,O,X,X,O,X,X,X,X
ISOZLJT,O,X,X,O,X,X,X,X,X,X,X
ISOZJTL,O,O,O,O,X,X,X,X,X,X,X
ISOZJLT,O,O,O,O,X,X,X,X,X,X,X
IZTLJSO,O,X,O,X,O,O,O,X,O,O,X
IZTLJOS,O,X,O,X,X,O,X,X,O,X,X
IZTLSJO,O,X,O,X,O,O,O,X,X,X,X
IZTLSOJ,O,X,O,X,O,O,O,X,X,X,X
IZTLOJS,X,X,O,X,X,O,X,X,O,X,X
IZTLOSJ,O,X,O,X,X,O,O,X,X,X,X
IZTJLSO,O,O,O,X,X,X,X,O,O,O,X
IZTJLOS,O,O,O,X,X,X,X,X,O,X,X
IZTJSLO,O,O,O,O,X,O,X,O,O,O,X
IZTJSOL,O,O,O,O,X,O,X,O,O,O,X
IZTJOLS,O,O,O,X,X,X,X,X,O,X,X
IZTJOSL,O,O,O,O,X,O,X,X,O,O,X
IZTSLJO,O,O,O,O,O,O,O,X,X,X,X
IZTSLOJ,O,X,O,X,O,O,O,X,X,X,X
IZTSJLO,O,O,O,O,X,O,X,O,O,O,X
IZTSJOL,O,O,O,O,X,O,X,O,O,O,X
IZTSOLJ,O,X,O,X,O,O,O,X,X,X,X
IZTSOJL,O,O,O,O,X,O,X,O,O,X,X
IZTOLJS,X,X,O,X,X,O,X,X,O,X,X
IZTOLSJ,O,X,O,X,X,O,X,X,X,X,X
IZTOJLS,O,O,O,X,X,X,X,X,O,X,X
IZTOJSL,O,O,O,O,X,O,X,X,O,O,X
IZTOSLJ,O,O,O,O,X,O,X,X,X,X,X
IZTOSJL,O,O,O,O,X,O,X,X,O,X,X
IZLTJSO,O,X,O,O,O,O,O,X,O,O,X
IZLTJOS,O,X,O,O,X,O,X,X,O,X,X
IZLTSJO,O,X,O,O,O,O,O,X,X,X,X
IZLTSOJ,O,X,O,O,O,O,O,X,X,X,X
IZLTOJS,X,X,O,O,X,O,X,X,O,X,X
IZLTOSJ,O,X,O,O,X,O,O,X,X,X,X
IZLJTSO,O,X,O,X,O,X,O,X,O,O,O
IZLJTOS,O,X,O,X,X,X,X,X,O,X,O
IZLJSTO,O,X,O,X,O,X,O,X,O,O,O
IZLJSOT,O,X,O,X,X,X,X,X,X,O,O
IZLJOTS,O,X,O,X,X,X,X,X,O,X,O
IZLJOST,O,X,O,X,X,X,X,X,X,X,O
IZLSTJO,O,X,O,O,O,O,O,X,X,X,X
IZLSTOJ,O,X,O,O,O,O,O,X,X,X,X
IZLSJTO,O,X,X,O,O,O,O,X,X,X,X
IZLSJOT,O,X,X,X,X,O,X,X,X,X,X
IZLSOTJ,O,X,O,O,X,O,O,X,X,X,X
IZLSOJT,O,X,X,X,X,O,X,X,X,X,X
IZLOTJS,X,X,O,O,X,O,X,X,O,X,X
IZLOTSJ,O,X,O,O,X,O,O,X,X,X,X
IZLOJTS,X,X,O,X,X,X,X,X,O,X,X
IZLOJST,X,X,O,X,X,X,X,X,X,X,X
IZLOSTJ,O,X,O,O,X,O,O,X,X,X,X
IZLOSJT,X,X,X,O,X,O,X,X,X,X,X
IZJTLSO,O,X,O,X,X,X,X,O,O,O,X
IZJTLOS,O,X,O,X,X,X,X,X,O,X,X
IZJTSLO,O,X,O,X,X,X,X,O,O,O,X
IZJTSOL,O,X,O,X,X,X,X,O,O,O,X
IZJTOLS,O,X,O,X,X,X,X,X,O,X,X
IZJTOSL,O,X,O,X,X,X,X,X,O,O,X
IZJLTSO,O,X,O,X,X,X,X,O,O,O,O
IZJLTOS,O,X,O,X,X,X,X,X,O,X,O
IZJLSTO,O,X,O,X,X,X,X,O,O,O,O
IZJLSOT,O,X,O,X,X,X,X,X,X,O,O
IZJLOTS,O,X,O,X,X,X,X,X,O,X,O
IZJLOST,O,X,O,X,X,X,X,X,X,X,O
IZJSTLO,O,X,O,X,X,X,X,O,O,O,X
IZJSTOL,O,X,O,X,X,X,X,O,O,O,X
IZJSLTO,O,X,O,X,X,X,X,O,O,O,X
IZJSLOT,O,X,O,X,X,X,X,X,X,O,X
IZJSOTL,O,X,O,X,X,X,X,X,X,O,X
IZJSOLT,O,X,O,X,X,X,X,X,X,O,X
IZJOTLS,O,X,O,X,X,X,X,X,O,X,X
IZJOTSL,O,X,O,X,X,X,X,X,O,O,X
IZJOLTS,O,X,O,X,X,X,X,X,O,X,X
IZJOLST,O,X,O,X,X,X,X,X,X,X,X
IZJOSTL,O,X,O,X,X,X,X,X,X,O,X
IZJOSLT,O,X,O,X,X,X,X,X,X,O,X
IZSTLJO,O,O,O,O,O,O,O,X,X,X,X
IZSTLOJ,O,X,O,O,O,O,O,X,X,X,X
IZSTJLO,O,O,O,O,X,O,X,O,O,O,X
IZSTJOL,O,O,O,O,X,O,X,O,O,O,X
IZSTOLJ,O,X,O,X,O,O,O,X,X,X,X
IZSTOJL,O,O,O,O,X,O,X,O,O,X,X
IZSLTJO,O,O,O,O,O,O,O,X,X,X,X
IZSLTOJ,O,X,O,O,O,O,O,X,X,X,X
IZSLJTO,O,X,X,O,O,O,O,X,X,X,X
IZSLJOT,O,X,X,X,X,O,X,X,X,X,X
IZSLOTJ,O,X,O,O,X,O,O,X,X,X,X
IZSLOJT,O,X,X,X,X,O,X,X,X,X,X
IZSJTLO,O,O,O,O,X,O,X,O,O,O,X
IZSJTOL,O,O,O,O,X,O,X,O,O,O,X
IZSJLTO,O,X,O,O,X,O,X,O,O,O,X
IZSJLOT,O,X,O,X,X,O,X,X,X,O,X
IZSJOTL,O,X,O,X,X,O,X,X,X,O,X
IZSJOLT,O,X,O,X,X,O,X,X,X,O,X
IZSOTLJ,O,X,O,X,X,O,O,X,X,X,X
IZSOTJL,O,O,O,O,X,O,X,X,X,X,X
IZSOLTJ,O,X,O,O,X,O,O,X,X,X,X
IZSOLJT,O,X,X,X,X,O,X,X,X,X,X
IZSOJTL,O,X,O,X,X,O,X,X,X,X,X
IZSOJLT,O,X,O,X,X,O,X,X,X,X,X
IZOTLJS,X,X,O,X,X,O,X,X,O,X,X
IZOTLSJ,O,X,O,X,X,O,X,X,X,X,X
IZOTJLS,O,O,O,X,X,X,X,X,O,X,X
IZOTJSL,O,O,O,O,X,O,X,X,O,O,X
IZOTSLJ,O,O,O,O,X,O,X,X,X,X,X
IZOTSJL,O,O,O,O,X,O,X,X,O,X,X
IZOLTJS,X,X,O,O,X,O,X,X,O,X,X
IZOLTSJ,O,X,O,O,X,O,X,X,X,X,X
IZOLJTS,X,X,O,X,X,X,X,X,O,X,X
IZOLJST,X,X,O,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,O,O,X,O,X,X,X,X,X
IZOLSJT,X,X,X,O,X,O,X,X,X,X,X
IZOJTLS,O,X,O,X,X,X,X,X,O,X,X
IZOJTSL,O,X,O,X,X,X,X,X,O,O,X
IZOJLTS,O,X,O,X,X,X,X,X,O,X,X
