sequence,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFXhBliBzkBU?nBGlByvB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFUgBFhBfqBG?nBinBzqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFzfBFhBfrBG?nBinBUqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFqkBTgBliBU?nB3qBOrB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeUBJvhFRiBOpBKqBf?rBTsBlpB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFVmBanBunBz?kBfrBUqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8Jex/IvhFXhBliBUnBm?pBzqBipB,v115@GhA8HeB8EeA8BeB8AeA8CeE8Je3CJvhFOpBxlBlkBU?nBiqBzqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeRCJvhF3kBFmBTnB0?qBOpBiqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeUBJvhFRiB1pBfrBT?nBOpBKqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8Je2EJvhFVmBRiBTnBf?rBipBUqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeUCJvhFOpBxlBlkB3?nBiqBzqB
ITZOLJS,O,X,X,X,X,O,X,X,X,X,X,X
ITZOLSJ,O,X,X,O,X,X,X,X,O,X,X,X
ITZOJLS,O,X,X,X,X,O,X,X,X,X,X,X
ITZOJSL,O,X,O,X,X,X,X,X,O,X,X,X
ITZOSLJ,O,X,O,O,X,X,X,X,O,X,X,X
ITZOSJL,O,X,O,X,X,X,X,X,O,X,X,X
ITOLJSZ,X,O,X,X,X,O,X,X,X,X,O,X
ITOLJZS,X,X,X,X,X,O,X,X,X,X,O,X
ITOLSJZ,X,O,X,X,X,O,X,X,X,O,O,X
ITOLSZJ,O,O,X,X,X,X,X,X,X,O,X,X
ITOLZJS,O,X,X,X,X,O,X,X,X,X,O,X
ITOLZSJ,O,X,X,X,X,X,X,X,O,X,X,X
ITOJLSZ,X,O,X,X,X,O,X,X,X,X,O,X
ITOJLZS,X,X,X,X,X,O,X,X,X,X,O,X
ITOJSLZ,X,O,X,X,X,O,O,X,X,O,X,X
ITOJSZL,X,O,X,X,X,X,O,X,X,O,X,X
ITOJZLS,X,X,X,X,X,O,X,X,X,X,X,X
ITOJZSL,X,O,X,X,X,X,X,X,O,X,X,X
ITOSLJZ,X,O,X,X,X,O,O,X,X,O,O,X
ITOSLZJ,X,O,X,X,X,X,O,X,X,O,X,X
ITOSJLZ,X,O,X,X,X,O,O,X,X,O,X,X
ITOSJZL,X,O,X,X,X,X,O,X,X,O,X,X
ITOSZLJ,X,O,X,X,X,X,O,X,O,O,X,X
ITOSZJL,X,O,X,X,X,X,O,X,O,O,X,X
ITOZLJS,O,X,X,X,X,O,X,X,X,X,O,X
ITOZLSJ,O,X,X,X,X,X,X,X,O,X,X,X
ITOZJLS,O,X,X,X,X,O,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X,X,O,X,X,X
ITOZSLJ,O,O,X,X,X,X,X,X,O,O,X,X
ITOZSJL,O,O,X,X,X,X,X,X,O,O,X,X
ILTJSZO,X,X,X,X,X,X,X,O,X,X,X,X
ILTJSOZ,X,X,X,X,X,O,X,O,X,X,X,X
ILTJZSO,X,X,X,X,X,X,X,X,X,X,X,O
ILTJZOS,X,X,X,X,X,O,X,X,X,X,X,O
ILTJOSZ,X,X,X,X,X,O,X,X,X,X,O,X
ILTJOZS,X,X,X,X,X,O,X,X,X,X,O,X
ILTSJZO,X,X,X,X,X,X,X,O,X,X,X,X
ILTSJOZ,X,X,X,X,X,O,X,O,X,X,X,X
ILTSZJO,O,X,X,O,X,X,X,X,X,X,X,X
ILTSZOJ,O,X,X,O,X,X,X,X,X,X,X,X
ILTSOJZ,X,X,X,X,X,O,X,X,X,X,X,X
ILTSOZJ,O,X,X,O,X,X,X,X,X,X,X,X
ILTZJSO,O,X,X,O,X,X,X,X,X,X,X,O
ILTZJOS,O,X,X,X,X,O,X,X,X,X,X,O
ILTZSJO,O,X,X,O,X,X,X,X,X,X,X,X
ILTZSOJ,O,X,X,O,X,X,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,O,X,X,X,X,X,X
ILTZOSJ,O,X,X,O,X,X,X,X,X,X,X,X
ILTOJSZ,X,X,X,X,X,O,X,X,X,X,O,X
ILTOJZS,X,X,X,X,X,O,X,X,X,X,O,X
ILTOSJZ,X,X,X,X,X,O,X,X,X,X,O,X
ILTOSZJ,O,X,X,X,X,X,X,X,X,X,X,X
ILTOZJS,O,X,X,X,X,O,X,X,X,X,O,X
ILTOZSJ,O,X,X,X,X,X,X,X,X,X,X,X
ILJTSZO,X,O,O,X,X,X,X,O,X,X,X,X
ILJTSOZ,X,X,X,X,X,O,X,O,X,X,X,X
ILJTZSO,X,X,X,X,X,X,X,X,X,X,X,O
ILJTZOS,X,X,X,X,X,O,X,X,X,X,X,O
ILJTOSZ,X,O,X,X,X,O,X,X,X,X,O,X
ILJTOZS,X,X,X,X,X,O,X,X,X,X,O,X
ILJSTZO,X,O,O,X,X,X,X,O,X,X,X,X
ILJSTOZ,X,X,X,X,X,O,X,O,X,X,X,X
ILJSZTO,O,O,O,O,X,X,X,O,X,X,X,O
ILJSZOT,O,X,O,O,O,X,X,O,X,X,X,O
ILJSOTZ,X,O,X,X,O,O,X,O,X,X,X,X
ILJSOZT,O,O,X,O,O,X,X,O,X,X,X,X
ILJZTSO,O,X,X,O,X,X,X,X,X,X,X,O
ILJZTOS,O,X,X,X,X,O,X,X,X,X,X,O
ILJZSTO,O,X,O,O,X,X,X,O,X,X,X,O
ILJZSOT,O,X,O,O,X,X,X,O,X,X,X,O
ILJZOTS,O,X,X,X,X,O,X,X,X,X,X,O
ILJZOST,O,X,O,X,X,X,X,X,X,X,X,O
ILJOTSZ,X,O,X,X,O,O,X,X,X,X,O,X
ILJOTZS,X,X,X,X,X,O,X,X,X,X,O,X
ILJOSTZ,X,O,X,X,O,O,X,O,X,X,O,X
ILJOSZT,O,O,X,X,O,X,X,O,X,X,X,X
ILJOZTS,O,X,X,X,X,O,X,X,X,X,O,O
ILJOZST,O,X,X,X,O,X,X,X,X,X,X,O
ILSTJZO,X,X,O,X,X,X,X,O,X,X,X,X
ILSTJOZ,X,X,X,X,X,O,X,O,X,X,X,X
ILSTZJO,O,X,O,O,X,X,X,X,X,X,X,X
ILSTZOJ,O,X,O,O,X,X,X,X,X,X,X,X
ILSTOJZ,X,X,X,X,X,O,X,X,X,X,X,X
ILSTOZJ,O,X,X,O,X,X,X,X,X,X,X,X
ILSJTZO,X,O,O,X,X,X,X,O,X,X,X,X
ILSJTOZ,X,X,X,X,X,O,X,O,X,X,X,X
ILSJZTO,O,O,O,O,X,X,X,O,X,X,X,O
ILSJZOT,O,X,O,O,O,X,X,O,X,X,X,O
ILSJOTZ,X,O,X,X,O,O,X,O,X,X,X,X
ILSJOZT,O,O,X,O,O,X,X,O,X,X,X,X
ILSZTJO,O,O,O,O,X,X,X,X,X,X,X,X
ILSZTOJ,O,X,O,O,X,X,X,X,X,X,X,X
ILSZJTO,O,O,O,O,X,X,X,O,X,X,X,O
ILSZJOT,O,X,O,O,O,X,X,O,X,X,X,O
ILSZOTJ,O,X,O,O,O,X,X,X,X,X,X,X
ILSZOJT,O,X,O,O,O,X,X,X,X,X,X,X
ILSOTJZ,X,O,X,X,O,O,X,X,X,X,X,X
ILSOTZJ,O,O,X,O,O,X,X,X,X,X,X,X
ILSOJTZ,X,O,X,X,O,O,X,O,X,X,X,X
ILSOJZT,O,O,X,O,O,X,X,O,X,X,X,X
ILSOZTJ,O,O,X,O,O,X,X,X,X,X,X,X
ILSOZJT,O,O,X,O,O,X,X,X,X,X,X,X
ILZTJSO,O,X,X,O,X,X,X,X,X,X,X,O
ILZTJOS,O,X,X,X,X,O,X,X,X,X,X,O
ILZTSJO,O,X,X,O,X,X,X,X,X,X,X,X
ILZTSOJ,O,X,X,O,X,X,X,X,X,X,X,X
ILZTOJS,O,X,X,X,X,O,X,X,X,X,X,X
ILZTOSJ,O,X,X,O,X,X,X,X,X,X,X,X
ILZJTSO,O,X,X,O,X,X,X,X,X,X,X,O
ILZJTOS,O,X,X,X,X,O,X,X,X,X,X,O
ILZJSTO,O,X,O,O,X,X,X,O,X,X,X,O
ILZJSOT,O,X,O,O,X,X,X,O,X,X,X,O
ILZJOTS,O,X,X,X,X,O,X,X,X,X,X,O
ILZJOST,O,X,O,X,X,X,X,X,X,X,X,O
ILZSTJO,O,X,O,O,X,X,X,X,X,X,X,X
ILZSTOJ,O,X,O,O,X,X,X,X,X,X,X,X
ILZSJTO,O,X,O,O,X,X,X,O,X,X,X,O
ILZSJOT,O,X,O,O,X,X,X,O,X,X,X,O
ILZSOTJ,O,X,O,O,X,X,X,X,X,X,X,X
ILZSOJT,O,X,O,O,X,X,X,X,X,X,X,X
ILZOTJS,O,X,X,X,X,O,X,X,X,X,X,X
ILZOTSJ,O,X,X,O,X,X,X,X,X,X,X,X
ILZOJTS,O,X,X,X,X,O,X,X,X,X,X,O
ILZOJST,O,X,O,X,X,X,X,X,X,X,X,O
ILZOSTJ,O,X,O,O,X,X,X,X,X,X,X,X
ILZOSJT,O,X,O,O,X,X,X,X,X,X,X,X
ILOTJSZ,X,O,X,X,O,O,X,X,X,X,O,X
ILOTJZS,X,X,X,X,X,O,X,X,X,X,O,X
ILOTSJZ,X,O,X,X,O,O,X,X,X,X,O,X
ILOTSZJ,O,O,X,X,O,X,X,X,X,X,X,X
ILOTZJS,O,X,X,X,X,O,X,X,X,X,O,X
ILOTZSJ,O,X,X,X,X,X,X,X,X,X,X,X
ILOJTSZ,X,O,X,X,O,O,X,X,X,X,O,X
ILOJTZS,X,X,X,X,X,O,X,X,X,X,O,X
ILOJSTZ,X,O,X,X,O,O,X,O,X,X,O,X
ILOJSZT,O,O,X,X,O,X,X,O,X,X,X,X
ILOJZTS,O,X,X,X,X,O,X,X,X,X,O,O
ILOJZST,O,X,X,X,O,X,X,X,X,X,X,O
ILOSTJZ,X,O,X,X,O,O,X,X,X,X,O,X
ILOSTZJ,O,O,X,O,O,X,X,X,X,X,X,X
ILOSJTZ,X,O,X,X,O,O,X,O,X,X,O,X
ILOSJZT,O,O,X,O,O,X,X,O,X,X,X,X
ILOSZTJ,O,O,X,O,O,X,X,X,X,X,X,X
ILOSZJT,O,O,X,O,O,X,X,X,X,X,X,X
ILOZTJS,O,X,X,X,X,O,X,X,X,X,O,X
ILOZTSJ,O,X,X,O,X,X,X,X,X,X,X,X
ILOZJTS,O,X,X,X,X,O,X,X,X,X,O,O
ILOZJST,O,X,X,X,O,X,X,X,X,X,X,O
ILOZSTJ,O,X,X,O,O,X,X,X,X,X,X,X
ILOZSJT,O,X,X,O,O,X,X,X,X,X,X,X
IJTLSZO,X,O,O,X,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,X,O,X,X,X,X,X,X
IJTLZSO,X,X,X,X,X,X,X,X,X,X,X,X
IJTLZOS,X,X,X,X,X,O,X,X,X,X,X,X
IJTLOSZ,X,O,X,X,X,O,X,X,X,X,X,X
IJTLOZS,X,X,X,X,X,O,X,X,X,X,X,X
IJTSLZO,X,O,O,X,X,X,X,O,X,X,X,X
IJTSLOZ,X,X,X,X,X,O,X,O,X,X,X,X
IJTSZLO,X,O,O,X,X,X,X,O,X,X,X,X
IJTSZOL,X,O,O,X,X,X,X,O,X,X,X,X
IJTSOLZ,X,O,X,X,X,O,X,O,X,X,X,X
IJTSOZL,X,O,O,X,X,X,X,O,X,X,X,X
IJTZLSO,X,X,X,X,X,X,X,X,X,X,X,O
IJTZLOS,X,X,X,X,X,O,X,X,X,X,X,O
IJTZSLO,X,O,O,X,X,X,X,X,X,X,X,O
IJTZSOL,X,O,O,X,X,X,X,X,X,X,X,O
IJTZOLS,X,X,X,X,X,O,X,X,X,X,X,O
IJTZOSL,X,O,O,X,X,X,X,X,X,X,X,O
IJTOLSZ,X,O,X,X,X,O,X,X,X,X,X,X
IJTOLZS,X,X,X,X,X,O,X,X,X,X,X,X
IJTOSLZ,X,O,X,X,X,O,O,X,X,X,X,X
IJTOSZL,X,O,O,X,X,X,O,X,X,X,X,X
IJTOZLS,X,X,X,X,X,O,X,X,X,X,X,X
IJTOZSL,X,O,X,X,X,X,X,X,X,X,X,X
IJLTSZO,X,O,O,X,X,X,X,O,X,X,X,X
IJLTSOZ,X,X,X,X,X,O,X,O,X,X,X,X
IJLTZSO,X,X,X,X,X,X,X,X,X,X,X,O
IJLTZOS,X,X,X,X,X,O,X,X,X,X,X,O
IJLTOSZ,X,O,X,X,X,O,X,X,X,X,X,X
IJLTOZS,X,X,X,X,X,O,X,X,X,X,X,X
IJLSTZO,X,O,O,X,X,X,X,O,X,X,X,X
IJLSTOZ,X,X,X,X,X,O,X,O,X,X,X,X
IJLSZTO,O,O,O,O,X,X,X,O,X,X,X,O
IJLSZOT,O,X,O,O,O,X,X,O,X,X,X,O
IJLSOTZ,X,O,X,X,O,O,X,O,X,X,X,X
IJLSOZT,O,O,X,O,O,X,X,O,X,X,X,X
IJLZTSO,O,X,X,O,X,X,X,X,X,X,X,O
IJLZTOS,O,X,X,X,X,O,X,X,X,X,X,O
IJLZSTO,O,X,O,O,X,X,X,O,X,X,X,O
IJLZSOT,O,X,O,O,X,X,X,O,X,X,X,O
IJLZOTS,O,X,X,X,X,O,X,X,X,X,X,O
IJLZOST,O,X,O,X,X,X,X,X,X,X,X,O
IJLOTSZ,X,O,X,X,O,O,X,X,X,X,X,X
IJLOTZS,X,X,X,X,X,O,X,X,X,X,X,X
IJLOSTZ,X,O,X,X,O,O,X,O,X,X,X,X
IJLOSZT,O,O,X,X,O,X,X,O,X,X,X,X
IJLOZTS,O,X,X,X,X,O,X,X,X,X,X,O
IJLOZST,O,X,X,X,O,X,X,X,X,X,X,O
IJSTLZO,X,O,O,X,X,X,X,O,X,X,X,X
IJSTLOZ,X,X,X,X,X,O,X,O,X,X,X,X
IJSTZLO,X,O,O,X,X,X,X,O,X,X,X,X
IJSTZOL,X,O,O,X,X,X,X,O,X,X,X,X
IJSTOLZ,X,O,X,X,X,O,X,O,X,X,X,X
IJSTOZL,X,O,O,X,X,X,X,O,X,X,X,X
IJSLTZO,X,O,O,X,X,X,X,O,X,X,X,X
IJSLTOZ,X,X,X,X,X,O,X,O,X,X,X,X
IJSLZTO,X,O,O,O,X,X,X,O,X,X,X,X
IJSLZOT,X,X,O,O,X,X,X,O,X,X,X,X
IJSLOTZ,X,O,X,X,X,O,X,O,X,X,X,X
IJSLOZT,X,O,X,O,X,X,X,O,X,X,X,X
IJSZTLO,X,O,O,O,X,X,X,O,X,X,X,O
IJSZTOL,X,O,O,X,X,X,X,O,X,X,X,O
IJSZLTO,X,O,O,O,X,X,X,O,X,X,X,O
IJSZLOT,X,X,O,O,X,X,X,O,X,X,X,O
IJSZOTL,X,O,O,X,X,X,X,O,X,X,X,O
IJSZOLT,X,O,O,X,X,X,X,O,X,X,X,O
IJSOTLZ,X,O,X,X,X,O,X,O,X,X,X,X
IJSOTZL,X,O,O,X,X,X,X,O,X,X,X,X
IJSOLTZ,X,O,X,X,X,O,X,O,X,X,X,X
IJSOLZT,X,O,X,X,X,X,X,O,X,X,X,X
IJSOZTL,X,O,O,X,X,X,X,O,X,X,X,X
IJSOZLT,X,O,O,X,X,X,X,O,X,X,X,X
IJZTLSO,O,X,X,O,X,X,X,X,X,X,X,O
IJZTLOS,O,X,X,X,X,O,X,X,X,X,X,O
IJZTSLO,O,O,O,O,X,X,X,X,X,X,X,O
IJZTSOL,O,O,O,X,X,X,X,X,X,X,X,O
IJZTOLS,O,X,X,X,X,O,O,X,X,X,X,O
IJZTOSL,O,O,O,X,X,X,O,X,X,X,X,O
IJZLTSO,O,X,X,O,X,X,X,X,X,X,X,O
IJZLTOS,O,X,X,X,X,O,X,X,X,X,X,O
IJZLSTO,O,X,O,O,X,X,X,X,X,X,X,O
IJZLSOT,O,X,O,O,X,X,X,X,X,X,X,O
IJZLOTS,O,X,X,X,X,O,X,X,X,X,X,O
IJZLOST,O,X,O,X,X,X,X,X,X,X,X,O
IJZSTLO,O,O,O,O,X,X,X,O,X,X,X,O
IJZSTOL,O,O,O,X,X,X,X,O,X,X,X,O
IJZSLTO,O,O,O,O,X,X,X,O,X,X,X,O
IJZSLOT,O,X,O,O,X,X,X,O,X,X,X,O
IJZSOTL,O,O,O,X,X,X,X,O,X,X,X,O
IJZSOLT,X,O,O,X,X,X,X,O,X,X,X,O
IJZOTLS,O,X,X,X,X,O,O,X,X,X,X,O
IJZOTSL,O,O,O,X,X,X,O,X,X,X,X,O
IJZOLTS,O,X,X,X,X,O,O,X,X,X,X,O
IJZOLST,O,X,O,X,X,X,O,X,X,X,X,O
IJZOSTL,O,O,O,X,X,X,O,X,X,X,X,O
IJZOSLT,X,O,O,X,X,X,O,X,X,X,X,O
IJOTLSZ,X,O,X,X,O,O,X,X,X,X,X,X
IJOTLZS,X,X,X,X,X,O,X,X,X,X,X,X
IJOTSLZ,X,O,X,X,X,O,O,X,X,X,X,X
IJOTSZL,X,O,O,X,X,X,O,X,X,X,X,X
IJOTZLS,X,X,X,X,X,O,X,X,X,X,X,X
IJOTZSL,X,O,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,X,O,X,X,O,O,X,X,X,X,X,X
IJOLTZS,X,X,X,X,X,O,X,X,X,X,X,X
IJOLSTZ,X,O,X,X,O,O,X,X,X,X,X,X
IJOLSZT,O,O,X,X,O,X,X,X,X,X,X,X
IJOLZTS,O,X,X,X,X,O,X,X,X,X,X,X
IJOLZST,O,X,X,X,O,X,X,X,X,X,X,X
IJOSTLZ,X,O,X,X,X,O,O,O,X,X,X,X
IJOSTZL,X,O,O,X,X,X,O,O,X,X,X,X
IJOSLTZ,X,O,X,X,O,O,O,O,X,X,X,X
IJOSLZT,X,O,X,X,O,X,O,O,X,X,X,X
IJOSZTL,X,O,O,X,X,X,O,O,X,X,X,X
IJOSZLT,X,O,O,X,X,X,O,O,X,X,X,X
IJOZTLS,O,X,X,X,X,O,O,X,X,X,X,O
IJOZTSL,O,O,O,X,X,X,O,X,X,X,X,O
IJOZLTS,O,X,X,X,X,O,O,X,X,X,X,O
IJOZLST,O,X,O,X,O,X,O,X,X,X,X,O
IJOZSTL,O,O,O,X,X,X,O,X,X,X,X,O
IJOZSLT,X,O,O,X,X,X,O,X,X,X,X,O
ISTLJZO,X,X,O,X,X,X,X,X,X,X,X,X
ISTLJOZ,X,X,X,X,X,O,X,X,X,X,X,X
ISTLZJO,X,X,O,O,X,X,X,X,X,X,X,X
ISTLZOJ,X,X,O,O,X,X,X,X,X,X,X,X
ISTLOJZ,X,X,X,X,X,O,X,X,X,X,X,X
ISTLOZJ,X,X,X,O,X,X,X,X,X,X,X,X
ISTJLZO,X,O,O,X,X,X,X,O,X,X,X,X
ISTJLOZ,X,X,X,X,X,O,X,O,X,X,X,X
ISTJZLO,X,O,O,X,X,X,X,O,X,X,X,X
ISTJZOL,X,O,O,X,X,X,X,O,X,X,X,X
ISTJOLZ,X,O,X,X,X,O,X,O,X,X,X,X
ISTJOZL,X,O,O,X,X,X,X,O,X,X,X,X
ISTZLJO,X,O,O,O,X,X,X,X,X,X,X,X
ISTZLOJ,X,X,O,O,X,X,X,X,X,X,X,X
ISTZJLO,X,O,O,O,X,X,X,X,X,X,X,X
ISTZJOL,X,O,O,X,X,X,X,X,X,X,X,X
ISTZOLJ,X,X,O,O,X,X,X,X,X,O,X,X
ISTZOJL,X,O,O,X,X,X,X,X,X,O,X,X
ISTOLJZ,X,O,X,X,X,O,X,X,X,O,X,X
ISTOLZJ,X,O,X,X,X,X,X,X,X,O,X,X
ISTOJLZ,X,O,X,X,X,O,X,X,X,O,X,X
ISTOJZL,X,O,O,X,X,X,X,X,X,O,X,X
ISTOZLJ,X,O,O,X,X,X,X,X,X,O,X,X
ISTOZJL,X,O,O,X,X,X,X,X,X,O,X,X
ISLTJZO,X,X,O,X,X,X,X,O,X,X,X,X
ISLTJOZ,X,X,X,X,X,O,X,O,X,X,X,X
ISLTZJO,O,X,O,O,X,X,X,X,X,X,X,X
ISLTZOJ,O,X,O,O,X,X,X,X,X,X,X,X
ISLTOJZ,X,X,X,X,X,O,X,X,X,X,X,X
ISLTOZJ,O,X,X,O,X,X,X,X,X,X,X,X
ISLJTZO,X,O,O,X,X,X,X,O,X,X,X,X
ISLJTOZ,X,X,X,X,X,O,X,O,X,X,X,X
ISLJZTO,O,O,O,O,X,X,X,O,X,X,X,X
ISLJZOT,O,X,O,O,O,X,X,O,X,X,X,X
ISLJOTZ,X,O,X,X,O,O,X,O,X,X,X,X
ISLJOZT,O,O,X,O,O,X,X,O,X,X,X,X
ISLZTJO,O,O,O,O,X,X,X,X,X,X,X,X
ISLZTOJ,O,X,O,O,X,X,X,X,X,X,X,X
ISLZJTO,O,O,O,O,X,X,X,O,X,X,X,X
ISLZJOT,O,X,O,O,O,X,X,O,X,X,X,X
ISLZOTJ,O,X,O,O,O,X,X,X,X,X,X,X
ISLZOJT,O,X,O,O,O,X,X,X,X,X,X,X
ISLOTJZ,X,O,X,X,O,O,X,X,X,X,X,X
ISLOTZJ,O,O,X,O,O,X,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,O,O,X,O,X,X,X,X
ISLOJZT,O,O,X,O,O,X,X,O,X,X,X,X
ISLOZTJ,O,O,X,O,O,X,X,X,X,X,X,X
ISLOZJT,O,O,X,O,O,X,X,X,X,X,X,X
ISJTLZO,X,O,O,X,X,X,X,O,X,X,X,X
ISJTLOZ,X,X,X,X,X,O,X,O,X,X,X,X
ISJTZLO,X,O,O,X,X,X,X,O,X,X,X,X
ISJTZOL,X,O,O,X,X,X,X,O,X,X,X,X
ISJTOLZ,X,O,X,X,X,O,X,O,X,X,X,X
ISJTOZL,X,O,O,X,X,X,X,O,X,X,X,X
ISJLTZO,X,O,O,X,X,X,X,O,X,X,X,X
ISJLTOZ,X,X,X,X,X,O,X,O,X,X,X,X
ISJLZTO,X,O,O,O,X,X,X,O,X,X,X,X
ISJLZOT,X,X,O,O,X,X,X,O,X,X,X,X
ISJLOTZ,X,O,X,X,X,O,X,O,X,X,X,X
ISJLOZT,X,O,X,O,X,X,X,O,X,X,X,X
ISJZTLO,X,O,O,O,X,X,X,O,X,X,X,O
ISJZTOL,X,O,O,X,X,X,X,O,X,X,X,O
ISJZLTO,X,O,O,O,X,X,X,O,X,X,X,O
ISJZLOT,X,X,O,O,X,X,X,O,X,X,X,O
ISJZOTL,X,O,O,X,X,X,X,O,X,X,X,O
ISJZOLT,X,O,O,X,X,X,X,O,X,X,X,O
ISJOTLZ,X,O,X,X,X,O,X,O,X,X,X,X
ISJOTZL,X,O,O,X,X,X,X,O,X,X,X,X
ISJOLTZ,X,O,X,X,X,O,X,O,X,X,X,X
ISJOLZT,X,O,X,X,X,X,X,O,X,X,X,X
ISJOZTL,X,O,O,X,X,X,X,O,X,X,X,X
ISJOZLT,X,O,O,X,X,X,X,O,X,X,X,X
ISZTLJO,O,O,O,O,X,X,X,X,X,X,X,X
ISZTLOJ,O,X,O,O,X,X,X,X,X,X,X,X
ISZTJLO,O,O,O,O,X,X,X,X,X,X,X,X
ISZTJOL,O,O,O,X,X,X,X,X,X,X,X,X
ISZTOLJ,O,X,O,O,X,X,X,X,O,O,X,X
ISZTOJL,O,O,O,X,X,X,X,X,O,O,X,X
ISZLTJO,O,O,O,O,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,O,O,X,X,X,X,X,X,X,X
ISZLJTO,O,O,O,O,X,X,X,X,X,X,X,X
ISZLJOT,O,X,O,O,O,X,X,X,X,X,X,X
ISZLOTJ,O,X,O,O,O,X,X,X,X,X,X,X
ISZLOJT,O,X,O,O,O,X,X,X,X,X,X,X
ISZJTLO,O,O,O,O,X,X,X,O,X,X,X,O
ISZJTOL,O,O,O,X,X,X,X,O,X,X,X,O
ISZJLTO,O,O,O,O,X,X,X,O,X,X,X,O
ISZJLOT,O,X,O,O,X,X,X,O,X,X,X,O
ISZJOTL,O,O,O,X,X,X,X,O,X,X,X,O
ISZJOLT,X,O,O,X,X,X,X,O,X,X,X,O
ISZOTLJ,O,O,O,O,O,X,X,X,O,O,X,X
ISZOTJL,O,O,O,X,X,X,X,X,O,O,X,X
ISZOLTJ,O,O,O,O,O,X,X,X,O,O,X,X
ISZOLJT,O,O,O,O,O,X,X,X,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X,X,O,O,X,X
ISZOJLT,X,O,O,X,O,X,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,O,O,X,X,X,O,X,X
ISOTLZJ,X,O,X,X,O,X,X,X,X,O,X,X
ISOTJLZ,X,O,X,X,X,O,X,X,X,O,X,X
ISOTJZL,X,O,O,X,X,X,X,X,X,O,X,X
ISOTZLJ,X,O,O,X,O,X,X,X,O,O,X,X
ISOTZJL,X,O,O,X,X,X,X,X,O,O,X,X
ISOLTJZ,X,O,X,X,O,O,X,X,X,O,X,X
ISOLTZJ,O,O,X,O,O,X,X,X,X,O,X,X
ISOLJTZ,X,O,X,X,O,O,X,X,X,X,X,X
ISOLJZT,O,O,X,O,O,X,X,X,X,X,X,X
ISOLZTJ,O,O,X,O,O,X,X,X,O,O,X,X
ISOLZJT,O,O,X,O,O,X,X,X,X,X,X,X
ISOJTLZ,X,O,X,X,X,O,X,O,X,O,X,X
ISOJTZL,X,O,O,X,X,X,X,O,X,O,X,X
ISOJLTZ,X,O,X,X,O,O,X,O,X,X,X,X
ISOJLZT,X,O,X,X,O,X,X,O,X,X,X,X
ISOJZTL,X,O,O,X,X,X,X,O,O,O,X,X
ISOJZLT,X,O,O,X,O,X,X,O,X,X,X,X
ISOZTLJ,O,O,O,O,O,X,X,X,O,O,X,X
ISOZTJL,O,O,O,X,X,X,X,X,O,O,X,X
ISOZLTJ,O,O,O,O,O,X,X,X,O,O,X,X
ISOZLJT,O,O,O,O,O,X,X,X,X,X,X,X
ISOZJTL,O,O,O,X,X,X,X,X,O,O,X,X
ISOZJLT,X,O,O,X,O,X,X,X,X,X,X,X
IZTLJSO,O,X,X,O,X,X,X,X,X,X,X,X
IZTLJOS,O,X,X,X,X,O,X,X,X,X,X,X
IZTLSJO,O,X,X,O,X,X,X,X,X,X,X,X
IZTLSOJ,O,X,X,O,X,X,X,X,X,X,X,X
IZTLOJS,O,X,X,X,X,O,X,X,X,X,X,X
IZTLOSJ,O,X,X,O,X,X,X,X,X,X,X,X
IZTJLSO,O,X,X,O,X,X,X,X,X,X,X,O
IZTJLOS,O,X,X,X,X,O,X,X,X,X,X,O
IZTJSLO,O,X,O,O,X,X,X,X,X,X,X,O
IZTJSOL,O,X,O,X,X,X,X,X,X,X,X,O
IZTJOLS,O,X,X,X,X,O,O,X,X,X,X,O
IZTJOSL,O,X,O,X,X,X,O,X,X,X,X,O
IZTSLJO,O,X,O,O,X,X,X,X,X,X,X,X
IZTSLOJ,O,X,O,O,X,X,X,X,X,X,X,X
IZTSJLO,O,X,O,O,X,X,X,X,X,X,X,X
IZTSJOL,O,X,O,X,X,X,X,X,X,X,X,X
IZTSOLJ,O,X,O,O,X,X,X,X,O,X,X,X
IZTSOJL,O,X,O,X,X,X,X,X,O,X,X,X
IZTOLJS,O,X,X,X,X,O,X,X,X,X,X,X
IZTOLSJ,O,X,X,O,X,X,X,X,O,X,X,X
IZTOJLS,O,X,X,X,X,O,O,X,X,X,X,X
IZTOJSL,O,X,O,X,X,X,O,X,O,X,X,X
IZTOSLJ,O,X,O,O,X,X,O,X,O,X,X,X
