sequence,v115@HhA8IeB8FeD8CeE8Jel/IvhFRhB+nBTjB3mB0qBiqB,v115@HhA8IeB8FeD8CeE8Jel/IvhF6nBTjBmmBxqBcqBXrB,v115@HhA8IeB8FeD8CeE8Jel/IvhF3gBGiBTjBUnBxqByvB,v115@HhA8IeB8FeD8CeE8Jex/IvhFTjBUlBFmBXnBGnByvB,v115@HhA8IeB8FeD8CeE8Jex/IvhF8lBTjBaqBFnBGnBXrB
TZSOJIL,O,X,O,O,X
TZSOJLI,O,X,X,O,O
TZOILJS,X,O,O,X,X
TZOILSJ,X,X,O,O,X
TZOIJLS,X,O,O,X,X
TZOIJSL,O,X,O,O,X
TZOISLJ,X,X,O,O,X
TZOISJL,X,X,O,O,X
TZOLIJS,X,O,O,X,X
TZOLISJ,X,X,O,O,X
TZOLJIS,X,O,O,X,X
TZOLJSI,O,X,X,X,X
TZOLSIJ,X,X,X,O,O
TZOLSJI,X,X,X,O,O
TZOJILS,X,O,O,X,X
TZOJISL,O,X,O,O,X
TZOJLIS,X,O,O,X,X
TZOJLSI,O,X,X,X,X
TZOJSIL,O,X,O,O,X
TZOJSLI,O,X,X,O,X
TZOSILJ,X,X,O,O,O
TZOSIJL,O,X,O,O,X
TZOSLIJ,X,X,X,O,O
TZOSLJI,X,X,X,O,O
TZOSJIL,O,X,O,O,X
TZOSJLI,O,X,X,O,O
TOILJSZ,X,O,X,X,X
TOILJZS,X,O,X,X,X
TOILSJZ,X,O,X,X,X
TOILSZJ,X,X,O,X,O
TOILZJS,X,O,O,X,X
TOILZSJ,X,X,O,X,X
TOIJLSZ,X,O,X,X,X
TOIJLZS,X,O,X,X,X
TOIJSLZ,O,O,X,X,X
TOIJSZL,O,X,O,X,X
TOIJZLS,X,O,O,X,X
TOIJZSL,O,X,O,X,X
TOISLJZ,X,O,X,X,X
TOISLZJ,X,X,O,X,O
TOISJLZ,X,O,X,X,X
TOISJZL,X,X,O,X,X
TOISZLJ,X,X,O,O,O
TOISZJL,X,X,O,O,X
TOIZLJS,X,O,O,X,X
TOIZLSJ,X,X,O,O,X
TOIZJLS,X,O,O,X,X
TOIZJSL,O,X,O,O,X
TOIZSLJ,X,X,O,O,X
TOIZSJL,X,X,O,O,X
TOLIJSZ,X,O,X,X,X
TOLIJZS,X,O,X,X,X
TOLISJZ,X,O,X,X,X
TOLISZJ,X,X,O,X,O
TOLIZJS,X,O,O,X,X
TOLIZSJ,X,X,O,X,X
TOLJISZ,X,O,X,X,X
TOLJIZS,X,O,X,X,X
TOLJSIZ,O,O,X,X,X
TOLJSZI,O,X,X,X,O
TOLJZIS,X,O,X,X,X
TOLJZSI,O,X,X,X,X
TOLSIJZ,X,O,X,X,X
TOLSIZJ,X,X,X,X,O
TOLSJIZ,X,O,X,X,X
TOLSJZI,X,X,X,X,O
TOLSZIJ,X,X,X,X,O
TOLSZJI,X,X,X,X,O
TOLZIJS,X,O,O,X,X
TOLZISJ,X,X,O,X,X
TOLZJIS,X,O,O,X,X
TOLZJSI,O,X,X,X,X
TOLZSIJ,X,X,X,X,O
TOLZSJI,X,X,X,X,O
TOJILSZ,X,O,X,X,X
TOJILZS,X,O,X,X,X
TOJISLZ,O,O,X,X,X
TOJISZL,O,X,O,X,X
TOJIZLS,X,O,O,X,X
TOJIZSL,O,X,O,X,X
TOJLISZ,X,O,X,X,X
TOJLIZS,X,O,X,X,X
TOJLSIZ,O,O,X,X,X
TOJLSZI,O,X,X,X,O
TOJLZIS,X,O,X,X,X
TOJLZSI,O,X,X,X,X
TOJSILZ,O,O,X,X,X
TOJSIZL,O,X,X,X,X
TOJSLIZ,O,O,X,X,X
TOJSLZI,O,X,X,X,O
TOJSZIL,O,X,X,X,X
TOJSZLI,O,X,X,X,O
TOJZILS,X,O,O,X,X
TOJZISL,O,X,O,X,X
TOJZLIS,X,O,O,X,X
TOJZLSI,O,X,X,X,X
TOJZSIL,O,X,O,X,X
TOJZSLI,O,X,X,X,X
TOSILJZ,X,O,X,X,X
TOSILZJ,X,X,O,X,O
TOSIJLZ,O,O,X,X,X
TOSIJZL,O,X,O,X,X
TOSIZLJ,X,X,O,O,O
TOSIZJL,X,X,O,O,X
TOSLIJZ,X,O,X,X,X
TOSLIZJ,X,X,X,X,O
TOSLJIZ,X,O,X,X,X
TOSLJZI,X,X,X,X,O
TOSLZIJ,X,X,X,O,O
TOSLZJI,X,X,X,O,O
TOSJILZ,O,O,X,X,X
TOSJIZL,O,X,X,X,X
TOSJLIZ,O,O,X,X,X
TOSJLZI,O,X,X,X,O
TOSJZIL,O,X,X,O,X
TOSJZLI,O,X,X,O,O
TOSZILJ,X,X,O,O,O
TOSZIJL,O,X,O,O,X
TOSZLIJ,X,X,X,O,O
TOSZLJI,X,X,X,O,O
TOSZJIL,O,X,O,O,X
TOSZJLI,O,X,X,O,O
TOZILJS,X,O,O,X,X
TOZILSJ,X,X,O,O,X
TOZIJLS,X,O,O,X,X
TOZIJSL,O,X,O,O,X
TOZISLJ,X,X,O,O,X
TOZISJL,X,X,O,O,X
TOZLIJS,X,O,O,X,X
