sequence,v115@QhA8FeE8CeF8Jex/IvhF/mBUiBFjBTkB2qBSvB,v115@QhA8FeE8CeF8Jei/IvhF3gBUiBFjBTmBxpBWvB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjBTkBeqBSrB8qB,v115@QhA8FeE8CeF8JeKEJvhFRgBUiBFjBTmBXqBGqB,v115@QhA8FeE8CeF8JeKEJvhFUhBFiBXjBxqBupBTqB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjB2pBSrB8qBzpB,v115@QhA8FeE8CeF8JeT/IvhFXjB2qBRmBCnB0pBlqB,v115@QhA8FeE8CeF8JeT/IvhFRhBFjBmlBCnB/qB0pB
TSLZOIJ,O,X,X,O,X,X,X,X
TSLZOJI,O,X,O,O,X,X,X,O
TSLOIJZ,X,X,O,O,O,X,X,X
TSLOIZJ,O,X,X,O,O,X,X,X
TSLOJIZ,O,X,O,O,X,O,X,X
TSLOJZI,O,X,O,O,X,O,X,X
TSLOZIJ,O,X,X,O,X,X,X,X
TSLOZJI,O,X,O,O,X,X,X,X
TSJILZO,O,X,X,X,O,O,X,X
TSJILOZ,X,X,O,X,O,O,X,X
TSJIZLO,O,X,X,X,O,X,X,X
TSJIZOL,O,X,X,X,X,X,O,X
TSJIOLZ,O,X,O,X,X,X,X,X
TSJIOZL,O,X,X,X,X,X,X,X
TSJLIZO,O,X,X,X,O,O,X,X
TSJLIOZ,X,X,O,X,O,O,X,X
TSJLZIO,O,X,X,X,X,O,X,X
TSJLZOI,O,X,O,X,X,O,X,O
TSJLOIZ,O,X,O,O,X,O,X,X
TSJLOZI,O,X,O,O,X,O,X,X
TSJZILO,O,X,X,X,X,X,X,X
TSJZIOL,O,X,X,X,X,X,O,X
TSJZLIO,O,X,X,X,X,O,X,X
TSJZLOI,O,X,O,X,X,O,X,O
TSJZOIL,O,X,X,X,X,X,O,X
TSJZOLI,O,X,O,X,X,X,X,O
TSJOILZ,O,X,O,X,X,X,X,X
TSJOIZL,O,X,X,X,X,X,X,X
TSJOLIZ,O,X,O,O,X,O,X,X
TSJOLZI,O,X,O,O,X,O,X,X
TSJOZIL,O,X,X,X,X,X,X,X
TSJOZLI,O,X,O,O,X,X,X,X
TSZILJO,X,O,X,X,O,X,X,X
TSZILOJ,X,O,X,X,O,X,X,X
TSZIJLO,O,O,X,X,O,X,X,X
TSZIJOL,O,X,X,X,X,X,O,X
TSZIOLJ,O,O,X,X,O,X,X,X
TSZIOJL,O,X,X,X,X,X,O,X
TSZLIJO,X,X,X,X,O,X,X,X
TSZLIOJ,X,X,X,X,O,X,X,X
TSZLJIO,O,X,X,X,X,O,X,X
TSZLJOI,O,X,O,X,X,O,X,O
TSZLOIJ,O,X,X,O,X,X,X,X
TSZLOJI,O,X,O,O,X,X,X,O
TSZJILO,O,X,X,X,X,X,X,X
TSZJIOL,O,X,X,X,X,X,O,X
TSZJLIO,O,X,X,X,X,O,X,X
TSZJLOI,O,X,O,X,X,O,X,O
TSZJOIL,O,X,X,X,X,X,O,X
TSZJOLI,O,X,O,X,X,X,X,O
TSZOILJ,O,O,X,O,X,X,X,X
TSZOIJL,O,O,X,X,X,X,O,X
TSZOLIJ,O,O,X,O,X,X,X,X
TSZOLJI,O,O,O,O,X,X,X,O
