sequence,v115@9gD8FeA8IeB8HeB8EeC8JefIJvhF6oBRlBUnBlmBTq?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JeGDJvhFaqBRmBUoBlmBzq?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFxiBToBmqBCsBUq?BFsB,v115@9gD8FeA8IeB8HeB8EeC8Je0BJvhFxiBFlBSsBToB3q?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhFTjBFlB0mBWtB3q?BywB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF8nB+oBFlB3qBzr?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeVGJvhFUlBOsBToB3mBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JezCJvhF+oBRlBiqBFsB8r?BXrB,v115@9gD8FeA8IeB8HeB8EeC8JeKGJvhFWnBxiBToB0qBXs?BFqB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBToBxqBXsBUq?BFrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFVnBUlBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBUlBToBxrB3q?B1wB,v115@9gD8FeA8IeB8HeB8EeC8JeUFJvhFFmBXnBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeRFJvhFFnBXoBGoBTqB0r?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeeGJvhFUiBFlBfsBToBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeVHJvhFUjBRlBXmBStB2v?BzrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhF6oBUlB1rBznBOs?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF6oB1qBznB3rBUq?BmrB,v115@9gD8FeA8IeB8HeB8EeC8JeWIJvhFUlBRmBlmBToByv?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeTBJvhF6oBUlBmnBxrB1v?BXsB,v115@9gD8FeA8IeB8HeB8EeC8Je0CJvhF6oBFlB3qBRsBmr?BTrB
TLJISOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJSIOZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJSZIO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJZIOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJZSIO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIJOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIZOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
