sequence,v115@PhB8FeE8AeB8CeC8JeT/IvhF/lBWnBxiBlpB0rBarB,v115@PhB8FeE8AeB8CeC8Je0/IvhFlgBzhBCjB/pBxqB2wB,v115@PhB8FeE8AeB8CeC8Jel/IvhFWnBxiB/pBTlB0rBarB,v115@PhB8FeE8AeB8CeC8JeKEJvhFFhBxiBTlBcrBupBXsB,v115@PhB8FeE8AeB8CeC8JeT/IvhFigBxiBWrBlpBcrBXsB,v115@PhB8FeE8AeB8CeC8JeT/IvhF2lBxiBCnBfrBlpB0rB,v115@PhB8FeE8AeB8CeC8JexCJvhFTkB2qBCnBfrBlpB0rB,v115@PhB8FeE8AeB8CeC8Je3AJvhFCjBTkBxqBcrBesBlpB,v115@PhB8FeE8AeB8CeC8JeOEJvhFXgBxiBUmBCqBFsBTrB
IJSZLOT,X,O,O,X,X,X,X,X,X
IJSZOTL,O,O,O,X,X,X,X,X,X
IJSZOLT,X,O,O,X,X,X,X,X,X
IJSOTLZ,X,O,X,X,X,X,X,X,X
IJSOTZL,X,O,O,X,X,X,X,X,X
IJSOLTZ,X,O,X,X,X,X,O,X,X
IJSOLZT,X,O,X,X,X,X,O,X,X
IJSOZTL,X,O,O,X,X,X,X,O,X
IJSOZLT,X,O,O,X,X,X,X,O,X
IJZTLSO,O,X,X,X,O,X,X,X,X
IJZTLOS,O,X,X,X,O,X,X,X,X
IJZTSLO,O,X,X,X,O,X,X,X,X
IJZTSOL,O,X,O,X,O,X,X,X,X
IJZTOLS,O,X,X,O,O,X,X,X,X
IJZTOSL,O,X,O,X,O,X,X,X,X
IJZLTSO,O,X,X,X,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X,X,X
IJZLSTO,O,X,X,X,X,X,X,X,X
IJZLSOT,X,X,O,X,X,X,X,X,X
IJZLOTS,X,X,X,O,X,X,X,X,X
IJZLOST,X,X,O,O,X,X,O,X,X
IJZSTLO,O,X,X,X,X,X,X,X,X
IJZSTOL,O,X,O,X,X,X,X,X,X
IJZSLTO,O,X,X,X,X,X,X,X,X
IJZSLOT,X,X,O,X,X,X,X,X,X
IJZSOTL,O,X,O,X,X,X,X,X,X
IJZSOLT,X,X,O,X,X,X,X,X,X
IJZOTLS,O,X,X,O,X,X,X,X,X
IJZOTSL,O,X,O,X,X,X,X,X,X
IJZOLTS,X,X,X,O,X,X,X,X,X
IJZOLST,X,X,O,O,X,X,O,X,X
IJZOSTL,O,X,O,X,X,X,X,X,X
IJZOSLT,X,X,O,X,X,X,X,X,X
IJOTLSZ,X,O,X,X,O,X,O,X,X
IJOTLZS,O,X,X,X,O,X,X,O,X
IJOTSLZ,X,O,X,X,O,X,X,X,X
IJOTSZL,O,O,X,X,O,X,X,X,X
IJOTZLS,O,X,X,X,O,X,X,O,X
IJOTZSL,O,X,X,X,O,X,X,O,X
IJOLTSZ,X,O,X,X,X,X,O,X,X
IJOLTZS,X,X,X,X,X,X,X,O,X
IJOLSTZ,X,O,X,X,X,X,O,X,X
IJOLSZT,X,O,X,X,X,X,O,O,X
IJOLZTS,X,X,X,O,X,X,X,O,X
IJOLZST,X,X,X,O,X,X,O,O,X
IJOSTLZ,X,O,X,X,X,X,X,X,X
IJOSTZL,X,O,O,X,X,X,X,X,X
IJOSLTZ,X,O,X,X,X,X,O,X,X
IJOSLZT,X,O,X,X,X,X,O,O,X
IJOSZTL,X,O,O,X,X,X,X,O,X
IJOSZLT,X,O,O,X,X,X,X,O,X
IJOZTLS,O,X,X,O,X,X,X,O,X
IJOZTSL,O,X,O,X,X,X,X,O,X
IJOZLTS,X,X,X,O,X,X,X,O,X
IJOZLST,X,X,O,O,X,X,O,O,X
IJOZSTL,O,X,O,X,X,X,X,O,X
IJOZSLT,X,X,O,X,X,X,X,O,X
ISTLJZO,X,O,X,X,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,O,X,X,X
ISTLZJO,O,O,X,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,O,X,X,X
ISTLOZJ,O,O,O,X,X,X,X,X,X
ISTJLZO,X,O,X,X,O,X,X,X,X
ISTJLOZ,X,O,X,X,O,O,X,X,X
ISTJZLO,O,O,X,X,O,X,X,X,X
ISTJZOL,O,O,O,X,O,X,X,X,X
ISTJOLZ,X,O,X,X,O,O,X,X,X
ISTJOZL,O,O,O,X,O,X,X,X,X
ISTZLJO,O,O,X,X,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X,X
ISTZJOL,O,O,O,X,X,X,X,X,X
ISTZOLJ,O,O,O,X,X,X,X,X,X
ISTZOJL,O,O,O,X,X,X,X,X,X
ISTOLJZ,X,O,X,X,X,O,X,X,X
ISTOLZJ,O,O,O,X,X,X,X,X,X
ISTOJLZ,X,O,X,X,O,O,X,X,X
ISTOJZL,O,O,O,X,O,X,X,X,X
ISTOZLJ,O,O,O,X,X,X,X,X,X
ISTOZJL,O,O,O,X,X,X,X,O,X
ISLTJZO,X,O,X,X,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,O,X,X,X
ISLTZJO,O,O,X,X,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,O,X,X,X
ISLTOZJ,O,O,O,X,X,X,X,X,X
ISLJTZO,X,O,X,X,X,X,X,X,X
ISLJTOZ,X,O,X,X,X,X,X,X,X
ISLJZTO,X,O,X,X,X,X,X,X,X
ISLJZOT,X,O,O,X,X,X,X,X,X
ISLJOTZ,X,O,X,X,X,X,O,X,X
ISLJOZT,X,O,X,X,X,X,O,X,X
ISLZTJO,O,O,X,X,X,X,X,X,X
ISLZTOJ,O,O,X,X,X,X,X,X,X
ISLZJTO,O,O,X,X,X,X,X,X,X
ISLZJOT,X,O,O,X,X,X,X,X,X
ISLZOTJ,X,O,O,O,X,X,X,X,X
ISLZOJT,X,O,O,O,X,X,X,X,X
ISLOTJZ,X,O,X,X,X,X,X,X,X
ISLOTZJ,X,O,O,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,X,X,O,X,X
ISLOJZT,X,O,X,X,X,X,O,O,X
ISLOZTJ,X,O,O,O,X,X,X,X,X
ISLOZJT,X,O,O,O,X,X,X,O,X
ISJTLZO,X,O,X,X,O,X,X,X,X
ISJTLOZ,X,O,X,X,O,X,X,X,X
ISJTZLO,O,O,X,X,O,X,X,X,X
ISJTZOL,O,O,O,X,O,X,X,X,X
ISJTOLZ,X,O,X,X,O,X,X,X,X
ISJTOZL,O,O,O,X,O,X,X,X,X
ISJLTZO,X,O,X,X,X,X,X,X,X
ISJLTOZ,X,O,X,X,X,X,X,X,X
ISJLZTO,X,O,X,X,X,X,X,X,X
ISJLZOT,X,O,O,X,X,X,X,X,X
ISJLOTZ,X,O,X,X,X,X,O,X,X
ISJLOZT,X,O,X,X,X,X,O,X,X
ISJZTLO,O,O,X,X,X,X,X,X,X
ISJZTOL,O,O,O,X,X,X,X,X,X
ISJZLTO,O,O,X,X,X,X,X,X,X
ISJZLOT,X,O,O,X,X,X,X,X,X
ISJZOTL,O,O,O,X,X,X,X,X,X
ISJZOLT,X,O,O,X,X,X,X,X,X
ISJOTLZ,X,O,X,X,X,X,X,X,X
ISJOTZL,X,O,O,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,X,X,O,X,X
ISJOLZT,X,O,X,X,X,X,O,X,X
ISJOZTL,X,O,O,X,X,X,X,O,X
ISJOZLT,X,O,O,X,X,X,X,O,X
ISZTLJO,O,O,X,X,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X,X,X
ISZTJOL,O,O,O,X,X,X,X,X,X
ISZTOLJ,O,O,O,O,X,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,X,X
ISZLTJO,O,O,X,X,X,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,X,X,X
ISZLJTO,O,O,X,X,X,X,X,X,X
ISZLJOT,X,O,O,X,X,X,X,X,X
ISZLOTJ,X,O,O,O,X,X,X,X,X
ISZLOJT,X,O,O,O,X,X,X,X,X
ISZJTLO,O,O,X,X,X,X,X,X,X
ISZJTOL,O,O,O,X,X,X,X,X,X
ISZJLTO,O,O,X,X,X,X,X,X,X
ISZJLOT,X,O,O,X,X,X,X,X,X
ISZJOTL,O,O,O,X,X,X,X,X,X
ISZJOLT,X,O,O,X,X,X,X,X,X
ISZOTLJ,O,O,O,O,X,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X,O,X
ISZOLTJ,X,O,O,O,X,X,X,X,X
ISZOLJT,X,O,O,O,X,X,X,O,X
ISZOJTL,O,O,O,X,X,X,X,O,X
ISZOJLT,X,O,O,X,X,X,X,O,X
ISOTLJZ,X,O,X,X,X,X,X,X,X
ISOTLZJ,O,O,O,X,X,X,X,X,X
ISOTJLZ,X,O,X,X,X,X,X,X,X
ISOTJZL,O,O,O,X,X,X,X,X,X
ISOTZLJ,O,O,O,X,X,X,X,X,X
ISOTZJL,O,O,O,X,X,X,X,O,X
ISOLTJZ,X,O,X,X,X,X,X,X,X
ISOLTZJ,X,O,O,X,X,X,X,X,X
ISOLJTZ,X,O,X,X,X,X,O,X,X
ISOLJZT,X,O,X,X,X,X,O,O,X
ISOLZTJ,X,O,O,O,X,X,X,X,X
ISOLZJT,X,O,O,O,X,X,X,O,X
ISOJTLZ,X,O,X,X,X,X,X,X,X
ISOJTZL,X,O,O,X,X,X,X,X,X
ISOJLTZ,X,O,X,X,X,X,O,X,X
ISOJLZT,X,O,X,X,X,X,O,O,X
ISOJZTL,X,O,O,X,X,X,X,O,X
ISOJZLT,X,O,O,X,X,X,X,O,X
ISOZTLJ,O,O,O,O,X,X,X,X,X
ISOZTJL,O,O,O,X,X,X,X,O,X
ISOZLTJ,X,O,O,O,X,X,X,X,X
ISOZLJT,X,O,O,O,X,X,X,O,X
ISOZJTL,O,O,O,X,X,X,X,O,X
ISOZJLT,X,O,O,X,X,X,X,O,X
IZTLJSO,O,X,X,X,X,X,X,X,X
IZTLJOS,O,X,X,X,X,O,X,X,X
IZTLSJO,O,O,X,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X,X,X
IZTLOJS,O,X,X,O,X,O,X,X,X
IZTLOSJ,O,O,X,O,X,X,X,X,X
IZTJLSO,O,X,X,X,O,X,X,X,X
IZTJLOS,O,X,X,X,O,O,X,X,X
IZTJSLO,O,X,X,X,O,X,X,X,X
IZTJSOL,O,X,O,X,O,X,X,X,X
IZTJOLS,O,X,X,O,O,O,X,X,X
IZTJOSL,O,X,O,X,O,X,X,X,X
IZTSLJO,O,O,X,X,X,X,X,X,X
IZTSLOJ,O,O,X,X,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X,X
IZTSJOL,O,O,O,X,X,X,X,X,X
IZTSOLJ,O,O,O,O,X,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X,X
IZTOLJS,O,X,X,O,X,O,X,X,X
IZTOLSJ,O,O,X,O,X,X,X,X,X
IZTOJLS,O,X,X,O,O,O,X,X,X
IZTOJSL,O,X,O,X,O,X,X,X,X
IZTOSLJ,O,O,O,O,X,X,X,X,X
IZTOSJL,O,O,O,X,X,X,X,X,X
IZLTJSO,O,X,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,O,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X,X
IZLTSOJ,O,O,X,X,X,X,X,X,X
IZLTOJS,O,X,X,O,X,O,X,X,X
IZLTOSJ,O,O,X,O,X,X,X,X,X
IZLJTSO,O,X,X,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,X,X
IZLJSTO,O,X,X,X,X,X,X,X,X
IZLJSOT,X,X,O,X,X,X,X,X,X
IZLJOTS,X,X,X,O,X,X,X,X,X
IZLJOST,X,X,O,O,X,X,O,X,X
IZLSTJO,O,O,X,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X
IZLSJOT,X,O,O,X,X,X,X,X,X
IZLSOTJ,X,O,O,O,X,X,X,X,X
IZLSOJT,X,O,O,O,X,X,X,X,X
IZLOTJS,X,X,X,O,X,X,X,X,X
IZLOTSJ,X,O,X,O,X,X,X,X,X
IZLOJTS,X,X,X,O,X,X,X,O,X
IZLOJST,X,X,O,O,X,X,O,O,X
IZLOSTJ,X,O,O,O,X,X,X,X,X
IZLOSJT,X,O,O,O,X,X,X,X,X
IZJTLSO,O,X,X,X,O,X,X,X,X
IZJTLOS,O,X,X,X,O,X,X,X,X
IZJTSLO,O,X,X,X,O,X,X,X,X
IZJTSOL,O,X,O,X,O,X,X,X,X
IZJTOLS,O,X,X,O,O,X,X,X,X
IZJTOSL,O,X,O,X,O,X,X,X,X
IZJLTSO,O,X,X,X,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,X
IZJLSTO,O,X,X,X,X,X,X,X,X
IZJLSOT,X,X,O,X,X,X,X,X,X
IZJLOTS,X,X,X,O,X,X,X,X,X
IZJLOST,X,X,O,O,X,X,O,X,X
IZJSTLO,O,X,X,X,X,X,X,X,X
IZJSTOL,O,X,O,X,X,X,X,X,X
IZJSLTO,O,X,X,X,X,X,X,X,X
IZJSLOT,X,X,O,X,X,X,X,X,X
IZJSOTL,O,X,O,X,X,X,X,X,X
IZJSOLT,X,X,O,X,X,X,X,X,X
IZJOTLS,O,X,X,O,X,X,X,X,X
IZJOTSL,O,X,O,X,X,X,X,X,X
IZJOLTS,X,X,X,O,X,X,X,X,X
IZJOLST,X,X,O,O,X,X,O,X,X
IZJOSTL,O,X,O,X,X,X,X,X,X
IZJOSLT,X,X,O,X,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,X,X
IZSTJLO,O,O,X,X,X,X,X,X,X
IZSTJOL,O,O,O,X,X,X,X,X,X
IZSTOLJ,O,O,O,O,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X
IZSLJOT,X,O,O,X,X,X,X,X,X
IZSLOTJ,X,O,O,O,X,X,X,X,X
IZSLOJT,X,O,O,O,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,X,X
IZSJTOL,O,O,O,X,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,X,X,X
IZSJLOT,X,O,O,X,X,X,X,X,X
IZSJOTL,O,O,O,X,X,X,X,X,X
IZSJOLT,X,O,O,X,X,X,X,X,X
IZSOTLJ,O,O,O,O,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,O,X
IZSOLTJ,X,O,O,O,X,X,X,X,X
IZSOLJT,X,O,O,O,X,X,X,O,X
IZSOJTL,O,O,O,X,X,X,X,O,X
IZSOJLT,X,O,O,X,X,X,X,O,X
IZOTLJS,O,X,X,O,X,X,X,X,X
IZOTLSJ,O,O,X,O,X,X,X,X,X
IZOTJLS,O,X,X,O,X,X,X,O,X
IZOTJSL,O,X,O,X,X,X,X,O,X
IZOTSLJ,O,O,O,O,X,X,X,X,X
IZOTSJL,O,O,O,X,X,X,X,O,X
IZOLTJS,X,X,X,O,X,X,X,X,X
IZOLTSJ,X,O,X,O,X,X,X,X,X
IZOLJTS,X,X,X,O,X,X,X,O,X
IZOLJST,X,X,O,O,X,X,O,O,X
IZOLSTJ,X,O,O,O,X,X,X,X,X
IZOLSJT,X,O,O,O,X,X,X,O,X
IZOJTLS,O,X,X,O,X,X,X,O,X
IZOJTSL,O,X,O,X,X,X,X,O,X
IZOJLTS,X,X,X,O,X,X,X,O,X
IZOJLST,X,X,O,O,X,X,O,O,X
IZOJSTL,O,X,O,X,X,X,X,O,X
IZOJSLT,X,X,O,X,X,X,X,O,X
IZOSTLJ,O,O,O,O,X,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X,O,X
IZOSLTJ,X,O,O,O,X,X,X,X,X
IZOSLJT,X,O,O,O,X,X,X,O,X
IZOSJTL,O,O,O,X,X,X,X,O,X
IZOSJLT,X,O,O,X,X,X,X,O,X
IOTLJSZ,X,O,X,X,O,O,O,X,X
IOTLJZS,O,X,X,X,O,O,X,O,X
IOTLSJZ,X,O,X,X,X,O,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X,X
IOTLZJS,O,X,X,O,X,O,X,X,X
IOTLZSJ,O,O,X,O,X,X,X,X,X
IOTJLSZ,X,O,X,X,O,O,O,X,X
IOTJLZS,O,X,X,X,O,O,X,O,X
IOTJSLZ,X,O,X,X,O,O,X,X,X
IOTJSZL,O,O,X,X,O,X,X,X,X
IOTJZLS,O,X,X,X,O,O,X,O,X
IOTJZSL,O,X,X,X,O,X,X,O,X
IOTSLJZ,X,O,X,X,X,O,X,X,X
IOTSLZJ,O,O,O,X,X,X,X,X,X
IOTSJLZ,X,O,X,X,O,O,X,X,X
IOTSJZL,O,O,O,X,O,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,X,X,X
IOTSZJL,O,O,O,X,X,X,X,O,X
IOTZLJS,O,X,X,O,X,O,X,X,X
IOTZLSJ,O,O,X,O,X,X,X,X,X
IOTZJLS,O,X,X,O,O,O,X,O,X
IOTZJSL,O,X,O,X,O,X,X,O,X
IOTZSLJ,O,O,O,O,X,X,X,X,X
IOTZSJL,O,O,O,X,X,X,X,O,X
IOLTJSZ,X,O,X,X,X,O,O,X,X
IOLTJZS,X,X,X,X,X,O,X,O,X
IOLTSJZ,X,O,X,X,X,O,X,X,X
IOLTSZJ,X,O,X,X,X,X,X,X,X
IOLTZJS,X,X,X,O,X,O,X,X,X
IOLTZSJ,X,O,X,O,X,X,X,X,X
IOLJTSZ,X,O,X,X,X,X,O,X,X
IOLJTZS,X,X,X,X,X,X,X,O,X
IOLJSTZ,X,O,X,X,X,X,O,X,X
IOLJSZT,X,O,X,X,X,X,O,O,X
IOLJZTS,X,X,X,O,X,X,X,O,X
IOLJZST,X,X,X,O,X,X,O,O,X
IOLSTJZ,X,O,X,X,X,X,X,X,X
IOLSTZJ,X,O,O,X,X,X,X,X,X
IOLSJTZ,X,O,X,X,X,X,O,X,X
IOLSJZT,X,O,X,X,X,X,O,O,X
IOLSZTJ,X,O,O,O,X,X,X,X,X
IOLSZJT,X,O,O,O,X,X,X,O,X
IOLZTJS,X,X,X,O,X,X,X,X,X
IOLZTSJ,X,O,X,O,X,X,X,X,X
IOLZJTS,X,X,X,O,X,X,X,O,X
IOLZJST,X,X,O,O,X,X,O,O,X
IOLZSTJ,X,O,O,O,X,X,X,X,X
IOLZSJT,X,O,O,O,X,X,X,O,X
IOJTLSZ,X,O,X,X,O,X,O,X,X
IOJTLZS,O,X,X,X,O,X,X,O,X
IOJTSLZ,X,O,X,X,O,X,X,X,X
IOJTSZL,O,O,X,X,O,X,X,X,X
IOJTZLS,O,X,X,X,O,X,X,O,X
IOJTZSL,O,X,X,X,O,X,X,O,X
IOJLTSZ,X,O,X,X,X,X,O,X,X
IOJLTZS,X,X,X,X,X,X,X,O,X
IOJLSTZ,X,O,X,X,X,X,O,X,X
IOJLSZT,X,O,X,X,X,X,O,O,X
IOJLZTS,X,X,X,O,X,X,X,O,X
IOJLZST,X,X,X,O,X,X,O,O,X
IOJSTLZ,X,O,X,X,X,X,X,X,X
IOJSTZL,X,O,O,X,X,X,X,X,X
IOJSLTZ,X,O,X,X,X,X,O,X,X
IOJSLZT,X,O,X,X,X,X,O,O,X
IOJSZTL,X,O,O,X,X,X,X,O,X
IOJSZLT,X,O,O,X,X,X,X,O,X
IOJZTLS,O,X,X,O,X,X,X,O,X
IOJZTSL,O,X,O,X,X,X,X,O,X
IOJZLTS,X,X,X,O,X,X,X,O,X
IOJZLST,X,X,O,O,X,X,O,O,X
IOJZSTL,O,X,O,X,X,X,X,O,X
IOJZSLT,X,X,O,X,X,X,X,O,X
IOSTLJZ,X,O,X,X,X,X,X,X,X
IOSTLZJ,O,O,O,X,X,X,X,X,X
IOSTJLZ,X,O,X,X,X,X,X,X,X
IOSTJZL,O,O,O,X,X,X,X,X,X
IOSTZLJ,O,O,O,X,X,X,X,X,X
IOSTZJL,O,O,O,X,X,X,X,O,X
IOSLTJZ,X,O,X,X,X,X,X,X,X
IOSLTZJ,X,O,O,X,X,X,X,X,X
IOSLJTZ,X,O,X,X,X,X,O,X,X
IOSLJZT,X,O,X,X,X,X,O,O,X
IOSLZTJ,X,O,O,O,X,X,X,X,X
IOSLZJT,X,O,O,O,X,X,X,O,X
IOSJTLZ,X,O,X,X,X,X,X,X,X
IOSJTZL,X,O,O,X,X,X,X,X,X
IOSJLTZ,X,O,X,X,X,X,O,X,X
IOSJLZT,X,O,X,X,X,X,O,O,X
IOSJZTL,X,O,O,X,X,X,X,O,X
IOSJZLT,X,O,O,X,X,X,X,O,X
IOSZTLJ,O,O,O,O,X,X,X,X,X
IOSZTJL,O,O,O,X,X,X,X,O,X
IOSZLTJ,X,O,O,O,X,X,X,X,X
IOSZLJT,X,O,O,O,X,X,X,O,X
IOSZJTL,O,O,O,X,X,X,X,O,X
IOSZJLT,X,O,O,X,X,X,X,O,X
IOZTLJS,O,X,X,O,X,X,X,X,X
IOZTLSJ,O,O,X,O,X,X,X,X,X
IOZTJLS,O,X,X,O,X,X,X,O,X
IOZTJSL,O,X,O,X,X,X,X,O,X
IOZTSLJ,O,O,O,O,X,X,X,X,X
IOZTSJL,O,O,O,X,X,X,X,O,X
IOZLTJS,X,X,X,O,X,X,X,X,X
IOZLTSJ,X,O,X,O,X,X,X,X,X
IOZLJTS,X,X,X,O,X,X,X,O,X
IOZLJST,X,X,O,O,X,X,O,O,X
IOZLSTJ,X,O,O,O,X,X,X,X,X
IOZLSJT,X,O,O,O,X,X,X,O,X
IOZJTLS,O,X,X,O,X,X,X,O,X
IOZJTSL,O,X,O,X,X,X,X,O,X
IOZJLTS,X,X,X,O,X,X,X,O,X
IOZJLST,X,X,O,O,X,X,O,O,X
IOZJSTL,O,X,O,X,X,X,X,O,X
IOZJSLT,X,X,O,X,X,X,X,O,X
IOZSTLJ,O,O,O,O,X,X,X,X,X
IOZSTJL,O,O,O,X,X,X,X,O,X
IOZSLTJ,X,O,O,O,X,X,X,X,X
IOZSLJT,X,O,O,O,X,X,X,O,X
IOZSJTL,O,O,O,X,X,X,X,O,X
IOZSJLT,X,O,O,X,X,X,X,O,X
LTIJSZO,X,O,X,X,O,X,X,X,X
LTIJSOZ,X,O,X,X,O,O,X,X,X
LTIJZSO,O,X,X,X,O,X,X,X,X
LTIJZOS,O,X,X,X,O,O,X,X,X
LTIJOSZ,X,O,X,X,O,O,O,X,X
LTIJOZS,O,X,X,X,O,O,X,X,X
LTISJZO,X,O,X,X,X,X,X,X,X
LTISJOZ,X,O,X,X,X,O,X,X,X
LTISZJO,O,O,X,X,X,X,X,X,X
LTISZOJ,O,O,X,X,X,X,X,X,X
LTISOJZ,X,O,X,X,X,O,X,X,X
LTISOZJ,O,O,X,X,X,X,X,X,X
LTIZJSO,O,X,X,X,X,X,X,X,X
LTIZJOS,O,X,X,X,X,O,X,X,X
LTIZSJO,O,O,X,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,X,X,X,X,X
LTIZOJS,O,X,X,O,X,O,X,X,X
LTIZOSJ,O,O,X,O,X,X,X,X,X
LTIOJSZ,X,O,X,X,O,O,O,X,X
LTIOJZS,O,X,X,X,O,O,X,O,X
LTIOSJZ,X,O,X,X,X,O,X,X,X
LTIOSZJ,O,O,X,X,X,X,X,X,X
LTIOZJS,O,X,X,O,X,O,X,X,X
LTIOZSJ,O,O,X,O,X,X,X,X,X
LTJISZO,X,X,X,X,O,X,X,X,X
LTJISOZ,X,X,X,X,O,O,X,X,X
LTJIZSO,O,X,X,X,O,X,X,X,X
LTJIZOS,O,X,X,X,O,O,X,X,X
LTJIOSZ,X,X,X,X,O,O,O,X,X
LTJIOZS,O,X,X,X,O,O,X,X,X
LTJSIZO,X,X,X,X,O,X,X,X,X
LTJSIOZ,X,X,X,X,O,O,X,X,X
LTJSZIO,X,X,X,X,O,X,X,X,O
LTJSZOI,X,X,X,X,O,X,X,X,O
LTJSOIZ,X,X,X,X,O,O,X,X,X
LTJSOZI,X,X,X,X,O,O,X,X,X
LTJZISO,O,X,X,X,O,X,X,X,O
LTJZIOS,O,X,X,X,O,O,X,X,O
LTJZSIO,O,X,X,X,O,X,X,X,O
LTJZSOI,O,X,X,X,O,X,X,X,O
LTJZOIS,O,X,X,X,O,O,X,X,O
LTJZOSI,O,X,X,X,O,O,X,X,O
LTJOISZ,X,X,X,X,O,O,O,X,X
LTJOIZS,O,X,X,X,O,O,X,X,X
LTJOSIZ,X,X,X,X,O,O,O,X,X
LTJOSZI,X,X,X,X,O,O,O,X,X
LTJOZIS,O,X,X,X,O,O,X,X,X
LTJOZSI,O,X,X,X,O,O,X,X,X
LTSIJZO,X,O,X,X,X,X,X,X,X
LTSIJOZ,X,O,X,X,X,O,X,X,X
LTSIZJO,O,O,X,X,X,X,X,X,X
LTSIZOJ,O,O,X,X,X,X,X,X,X
LTSIOJZ,X,O,X,X,X,O,X,X,X
LTSIOZJ,O,O,X,X,X,X,X,X,X
LTSJIZO,X,X,X,X,X,X,X,X,X
LTSJIOZ,X,X,X,X,X,O,X,X,X
LTSJZIO,X,X,X,X,O,X,X,X,O
LTSJZOI,X,X,X,X,O,X,X,X,O
LTSJOIZ,X,X,X,X,X,O,X,X,X
LTSJOZI,X,X,X,X,O,O,X,X,X
LTSZIJO,O,O,X,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,X,X,X,X,X
LTSZJIO,O,O,X,X,X,X,X,X,O
LTSZJOI,O,O,X,X,X,X,X,X,O
LTSZOIJ,O,O,X,X,X,X,X,X,X
LTSZOJI,O,O,X,X,X,X,X,X,X
LTSOIJZ,X,O,X,X,X,O,X,X,X
LTSOIZJ,O,O,X,X,X,X,X,X,X
LTSOJIZ,X,X,X,X,X,O,X,X,X
LTSOJZI,X,X,X,X,O,O,X,X,X
LTSOZIJ,O,O,X,X,X,X,X,X,X
LTSOZJI,O,O,X,X,X,X,X,X,X
LTZIJSO,O,X,X,X,X,X,X,X,X
LTZIJOS,O,X,X,X,X,O,X,X,X
LTZISJO,O,X,X,X,X,X,X,X,X
LTZISOJ,O,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,O,X,O,X,X,X
LTZIOSJ,O,X,X,O,X,X,X,X,X
LTZJISO,O,X,X,X,O,X,X,X,O
LTZJIOS,O,X,X,X,O,O,X,X,O
LTZJSIO,O,X,X,X,O,X,X,X,O
LTZJSOI,O,X,X,X,O,X,X,X,O
LTZJOIS,O,X,X,X,O,O,X,X,O
LTZJOSI,O,X,X,X,O,O,X,X,O
LTZSIJO,O,X,X,X,X,X,X,X,X
LTZSIOJ,O,X,X,X,X,X,X,X,X
LTZSJIO,O,X,X,X,X,X,X,X,O
LTZSJOI,O,X,X,X,X,X,X,X,O
LTZSOIJ,O,X,X,X,X,X,X,X,X
LTZSOJI,O,X,X,X,X,X,X,X,X
LTZOIJS,O,X,X,O,X,O,X,X,X
LTZOISJ,O,X,X,O,X,X,X,X,X
LTZOJIS,O,X,X,O,O,O,X,X,X
LTZOJSI,O,X,X,O,O,O,X,X,X
LTZOSIJ,O,X,X,O,X,X,X,X,X
LTZOSJI,O,X,X,O,X,X,X,X,X
LTOIJSZ,X,O,X,X,O,O,O,X,X
LTOIJZS,O,X,X,X,O,O,X,O,X
LTOISJZ,X,O,X,X,X,O,X,X,X
LTOISZJ,O,O,X,X,X,X,X,X,X
