sequence,v115@NhA8IeA8BeD8AeF8JeOEJvhF8kBRhBCjB9qBTrBXtB,v115@NhA8IeA8BeD8AeF8Jei/IvhFRhBunBcoB3kB9qBTrB,v115@NhA8IeA8BeD8AeF8JeNEJvhFUgBRhBCjBTmBXoBGqB,v115@NhA8IeA8BeD8AeF8JeNEJvhFRgBumBqnBTjBXlB8qB
ITSLJOZ,X,X,O,O
ITSLZJO,O,O,O,X
ITSLZOJ,O,O,O,X
ITSLOJZ,O,O,O,O
ITSLOZJ,O,O,O,X
ITSJLZO,O,O,O,X
ITSJLOZ,X,X,O,O
ITSJZLO,O,O,O,X
ITSJZOL,O,O,O,X
ITSJOLZ,X,X,O,X
ITSJOZL,X,X,O,X
ITSZLJO,O,O,O,X
ITSZLOJ,O,O,O,X
ITSZJLO,O,O,O,X
ITSZJOL,O,O,X,X
ITSZOLJ,O,O,O,X
ITSZOJL,O,O,O,X
ITSOLJZ,O,O,O,O
ITSOLZJ,O,O,O,X
ITSOJLZ,O,O,O,X
ITSOJZL,O,O,O,X
ITSOZLJ,O,O,O,X
ITSOZJL,O,O,O,X
ITZLJSO,O,O,X,O
ITZLJOS,X,X,X,O
ITZLSJO,O,O,O,O
ITZLSOJ,O,O,O,O
ITZLOJS,X,X,X,O
ITZLOSJ,X,X,X,O
ITZJLSO,O,O,X,O
ITZJLOS,X,X,X,O
ITZJSLO,O,O,O,O
ITZJSOL,O,O,X,O
ITZJOLS,O,O,X,O
ITZJOSL,O,O,X,X
ITZSLJO,O,O,O,O
ITZSLOJ,O,O,O,O
ITZSJLO,O,O,O,O
ITZSJOL,O,O,X,O
ITZSOLJ,O,O,O,O
ITZSOJL,O,O,O,O
ITZOLJS,O,O,X,O
