sequence,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBxhB8nB1qBzr?BirB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFlgB3hBziBUlBxr?BywB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBKnBziBxqBFr?B0rB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhF8mBziBikB1qBXs?BOrB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhFXhBziBikBmqBFs?B8rB
TSZLOIJ,O,X,X,O,X
TSZLOJI,O,X,X,O,X
TSZJILO,O,X,X,X,X
TSZJIOL,O,X,X,X,X
TSZJLIO,O,X,X,O,X
TSZJLOI,O,X,X,O,X
TSZJOIL,O,X,X,X,X
TSZJOLI,O,X,X,O,X
TSZOILJ,O,X,X,O,X
TSZOIJL,O,X,X,X,X
TSZOLIJ,O,X,X,O,X
TSZOLJI,O,X,X,O,X
TSZOJIL,O,X,X,X,X
TSZOJLI,O,X,X,O,X
TSOILJZ,X,X,O,O,X
TSOILZJ,X,X,X,O,X
TSOIJLZ,X,X,O,X,X
TSOIJZL,O,X,X,X,X
TSOIZLJ,O,X,X,O,X
TSOIZJL,O,X,X,X,X
TSOLIJZ,X,X,O,O,O
TSOLIZJ,X,X,X,O,X
TSOLJIZ,X,X,O,O,O
TSOLJZI,O,X,X,O,O
TSOLZIJ,O,X,X,O,X
TSOLZJI,O,X,X,O,X
TSOJILZ,X,X,O,X,X
TSOJIZL,O,X,X,X,X
TSOJLIZ,X,X,O,O,O
TSOJLZI,O,X,X,O,O
TSOJZIL,O,X,X,X,X
TSOJZLI,O,X,X,O,X
TSOZILJ,O,X,X,O,X
TSOZIJL,O,X,X,X,X
TSOZLIJ,O,X,X,O,X
TSOZLJI,O,X,X,O,X
TSOZJIL,O,X,X,X,X
TSOZJLI,O,X,X,O,X
TZILJSO,O,O,X,X,X
TZILJOS,X,O,X,X,X
TZILSJO,O,O,X,X,X
TZILSOJ,X,O,X,X,X
TZILOJS,X,O,X,X,X
TZILOSJ,X,O,X,X,X
TZIJLSO,O,O,X,X,X
TZIJLOS,X,O,X,X,X
TZIJSLO,O,O,X,X,X
TZIJSOL,O,O,X,X,X
TZIJOLS,O,O,X,X,X
TZIJOSL,O,O,X,X,X
TZISLJO,O,O,X,X,X
TZISLOJ,X,O,X,X,X
TZISJLO,O,O,X,X,X
TZISJOL,O,O,X,X,X
TZISOLJ,O,O,X,X,X
TZISOJL,O,O,X,X,X
TZIOLJS,O,O,X,X,X
TZIOLSJ,O,O,X,X,X
TZIOJLS,O,O,X,X,X
TZIOJSL,O,O,X,X,X
TZIOSLJ,O,O,X,X,X
TZIOSJL,O,O,X,X,X
TZLIJSO,O,O,X,X,O
TZLIJOS,X,O,X,X,O
TZLISJO,O,O,X,O,X
TZLISOJ,X,O,X,O,X
TZLIOJS,X,O,X,X,O
TZLIOSJ,X,O,X,O,X
TZLJISO,O,O,X,X,O
TZLJIOS,X,O,X,X,O
TZLJSIO,O,X,X,X,O
TZLJSOI,O,X,X,X,O
TZLJOIS,O,O,X,X,O
TZLJOSI,O,X,X,X,O
TZLSIJO,O,X,X,O,X
TZLSIOJ,X,X,X,O,X
TZLSJIO,O,X,X,O,X
TZLSJOI,O,X,X,O,X
TZLSOIJ,O,X,X,O,X
TZLSOJI,O,X,X,O,X
TZLOIJS,O,O,X,X,O
TZLOISJ,O,O,X,O,X
TZLOJIS,O,O,X,X,O
TZLOJSI,O,X,X,X,O
TZLOSIJ,O,X,X,O,X
TZLOSJI,O,X,X,O,X
TZJILSO,O,O,X,X,X
TZJILOS,X,O,X,X,X
TZJISLO,O,O,X,X,X
TZJISOL,O,O,X,X,X
TZJIOLS,O,O,X,X,X
TZJIOSL,O,O,X,X,X
TZJLISO,O,O,X,X,O
TZJLIOS,X,O,X,X,O
TZJLSIO,O,X,X,X,O
TZJLSOI,O,X,X,X,O
TZJLOIS,O,O,X,X,O
TZJLOSI,O,X,X,X,O
TZJSILO,O,O,X,X,X
TZJSIOL,O,O,X,X,X
TZJSLIO,O,X,X,X,X
TZJSLOI,O,X,X,X,X
TZJSOIL,O,O,X,X,X
TZJSOLI,O,X,X,X,X
TZJOILS,O,O,X,X,X
TZJOISL,O,O,X,X,X
TZJOLIS,O,O,X,X,O
TZJOLSI,O,X,X,X,O
TZJOSIL,O,O,X,X,X
TZJOSLI,O,X,X,X,X
TZSILJO,O,O,X,O,X
TZSILOJ,X,O,X,O,X
TZSIJLO,O,O,X,X,X
TZSIJOL,O,O,X,X,X
TZSIOLJ,O,O,X,O,X
TZSIOJL,O,O,X,X,X
TZSLIJO,O,X,X,O,X
TZSLIOJ,X,X,X,O,X
TZSLJIO,O,X,X,O,X
TZSLJOI,O,X,X,O,X
TZSLOIJ,O,X,X,O,X
TZSLOJI,O,X,X,O,X
TZSJILO,O,O,X,X,X
TZSJIOL,O,O,X,X,X
TZSJLIO,O,X,X,O,X
TZSJLOI,O,X,X,O,X
TZSJOIL,O,O,X,X,X
TZSJOLI,O,X,X,O,X
TZSOILJ,O,O,X,O,X
TZSOIJL,O,O,X,X,X
TZSOLIJ,O,X,X,O,X
TZSOLJI,O,X,X,O,X
TZSOJIL,O,O,X,X,X
TZSOJLI,O,X,X,O,X
TZOILJS,O,O,X,X,X
TZOILSJ,O,O,X,X,X
TZOIJLS,O,O,X,X,X
TZOIJSL,O,O,X,X,X
TZOISLJ,O,O,X,X,X
TZOISJL,O,O,X,X,X
TZOLIJS,O,O,X,X,O
TZOLISJ,O,O,X,O,X
TZOLJIS,O,O,X,X,O
TZOLJSI,O,X,X,X,O
TZOLSIJ,O,X,X,O,X
TZOLSJI,O,X,X,O,X
TZOJILS,O,O,X,X,X
TZOJISL,O,O,X,X,X
TZOJLIS,O,O,X,X,O
TZOJLSI,O,X,X,X,O
TZOJSIL,O,O,X,X,X
TZOJSLI,O,X,X,X,X
TZOSILJ,O,O,X,O,X
TZOSIJL,O,O,X,X,X
TZOSLIJ,O,X,X,O,X
TZOSLJI,O,X,X,O,X
TZOSJIL,O,O,X,X,X
TZOSJLI,O,X,X,O,X
TOILJSZ,X,X,O,O,O
TOILJZS,X,X,O,X,O
TOILSJZ,X,X,O,O,O
TOILSZJ,X,X,X,O,X
