sequence,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFRhBGjB3mBznB0q?BiqB,v115@HhA8IeB8DeA8BeC8CeE8Jex/IvhFmhBCjBTmBXoB0q?BFqB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhF3gBzhBunBcoBxq?ByvB,v115@HhA8IeB8DeA8BeC8CeE8Jex/IvhF8mBqnBTjBFlB3q?BOrB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFymBGjBznBxqBcq?BXrB,v115@HhA8IeB8DeA8BeC8CeE8Je0/IvhFqnBTjBRmBllB3m?B2vB,v115@HhA8IeB8DeA8BeC8CeE8Je0/IvhFSoBRmBllB3mBzn?B2vB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFxhBTjBKqBGmB0n?BfrB,v115@HhA8IeB8DeA8BeC8CeE8JeUBJvhFFlBxnBCnBXoBzq?BmpB
IJSLZOT,X,O,X,X,X,O,O,X,X
IJSLOTZ,X,O,X,X,X,X,X,X,X
IJSLOZT,X,O,X,X,X,O,X,X,X
IJSZTLO,O,O,O,X,X,X,X,X,X
IJSZTOL,O,X,O,X,X,X,X,X,X
IJSZLTO,O,O,O,X,X,X,O,X,X
IJSZLOT,X,O,O,X,X,O,O,X,X
IJSZOTL,O,O,O,X,X,X,X,X,X
IJSZOLT,X,O,O,X,X,O,X,X,X
IJSOTLZ,O,O,X,X,X,X,X,X,X
IJSOTZL,O,X,O,X,X,X,X,X,X
IJSOLTZ,X,O,X,X,X,X,X,X,X
IJSOLZT,X,O,X,X,X,O,X,X,X
IJSOZTL,O,O,O,X,X,X,X,X,X
IJSOZLT,X,O,O,X,X,O,X,X,X
IJZTLSO,X,X,O,X,X,X,O,X,X
IJZTLOS,X,X,O,X,X,O,O,X,X
IJZTSLO,O,O,O,X,X,X,X,X,X
IJZTSOL,O,X,O,X,X,X,X,X,X
IJZTOLS,X,X,O,X,X,O,X,X,X
IJZTOSL,X,X,O,X,X,X,X,X,X
IJZLTSO,X,X,O,X,X,X,O,X,X
IJZLTOS,X,X,O,X,X,O,O,O,X
IJZLSTO,X,O,O,X,X,X,O,X,X
IJZLSOT,X,O,O,X,X,O,O,X,X
IJZLOTS,X,X,O,X,X,O,O,O,X
IJZLOST,X,X,O,X,X,O,O,X,X
IJZSTLO,O,O,O,X,X,X,X,X,X
IJZSTOL,O,X,O,X,X,X,X,X,X
IJZSLTO,O,O,O,X,X,X,O,X,X
IJZSLOT,X,O,O,X,X,O,O,X,X
IJZSOTL,O,O,O,X,X,X,X,X,X
IJZSOLT,X,O,O,X,X,O,X,X,X
IJZOTLS,X,X,O,X,X,O,X,X,X
IJZOTSL,X,O,O,X,X,X,X,X,X
IJZOLTS,X,X,O,X,X,O,O,O,X
IJZOLST,X,O,O,X,X,O,O,X,X
IJZOSTL,X,O,O,X,X,X,X,X,X
IJZOSLT,X,O,O,X,X,O,X,X,X
IJOTLSZ,X,X,X,O,O,X,X,X,X
IJOTLZS,X,X,X,X,O,O,X,X,X
IJOTSLZ,X,O,X,O,O,X,X,X,X
IJOTSZL,X,X,O,X,O,X,X,X,X
IJOTZLS,X,X,O,X,O,O,X,X,O
IJOTZSL,X,X,O,X,O,X,X,X,O
IJOLTSZ,X,X,X,O,O,X,X,X,X
IJOLTZS,X,X,X,X,O,O,X,X,X
IJOLSTZ,X,O,X,X,O,X,X,X,X
IJOLSZT,X,O,X,X,O,O,X,X,X
IJOLZTS,X,X,X,X,O,O,O,X,X
IJOLZST,X,X,X,X,O,O,O,X,X
IJOSTLZ,X,O,X,X,O,X,X,X,X
IJOSTZL,X,X,O,X,O,X,X,X,X
IJOSLTZ,X,O,X,X,O,X,X,X,X
IJOSLZT,X,O,X,X,O,O,X,X,X
IJOSZTL,X,O,O,X,O,X,X,X,X
IJOSZLT,X,O,O,X,O,O,X,X,X
IJOZTLS,X,X,O,X,O,O,X,X,O
IJOZTSL,X,O,O,X,O,X,X,X,O
IJOZLTS,X,X,O,X,O,O,O,X,X
IJOZLST,X,O,O,X,O,O,O,X,X
IJOZSTL,X,O,O,X,O,X,X,X,X
IJOZSLT,X,O,O,X,O,O,X,X,X
ISTLJZO,O,O,X,O,X,X,X,X,X
ISTLJOZ,O,O,X,O,X,X,X,X,X
ISTLZJO,X,O,O,O,X,X,X,X,X
ISTLZOJ,X,O,O,O,X,X,X,X,X
ISTLOJZ,O,O,X,O,O,X,X,X,X
ISTLOZJ,X,X,O,O,O,X,X,X,X
ISTJLZO,O,O,X,O,X,X,X,X,X
ISTJLOZ,O,O,X,O,X,X,X,X,X
ISTJZLO,O,X,O,O,X,X,X,X,X
ISTJZOL,O,X,O,X,X,X,X,X,X
ISTJOLZ,O,X,X,O,X,X,X,X,X
ISTJOZL,O,X,O,X,X,X,X,X,X
ISTZLJO,O,O,O,O,X,X,X,X,X
ISTZLOJ,O,O,O,O,X,X,X,X,X
ISTZJLO,O,O,O,O,X,X,X,X,X
ISTZJOL,O,X,O,X,X,X,X,X,X
ISTZOLJ,O,O,O,O,X,X,X,X,X
ISTZOJL,O,O,O,X,X,X,X,X,X
ISTOLJZ,O,O,X,O,O,X,X,X,X
ISTOLZJ,X,X,O,O,O,X,X,X,X
ISTOJLZ,O,O,X,O,O,X,X,X,X
ISTOJZL,O,X,O,X,O,X,X,X,X
ISTOZLJ,O,X,O,O,O,X,X,X,X
ISTOZJL,O,X,O,X,O,X,X,X,X
ISLTJZO,O,O,X,O,X,X,X,X,X
ISLTJOZ,O,O,X,O,X,X,X,X,X
ISLTZJO,X,O,O,O,X,X,X,X,X
ISLTZOJ,X,O,O,O,X,X,X,X,X
ISLTOJZ,O,O,X,O,O,X,X,X,X
ISLTOZJ,X,X,O,O,O,X,X,X,X
ISLJTZO,O,O,X,X,X,X,X,X,X
ISLJTOZ,O,O,X,X,X,X,X,X,X
ISLJZTO,O,O,X,X,X,X,O,X,X
ISLJZOT,X,O,X,X,X,O,O,X,X
ISLJOTZ,X,O,X,X,X,X,X,X,X
ISLJOZT,X,O,X,X,X,O,X,X,X
ISLZTJO,O,O,O,O,X,X,O,X,X
ISLZTOJ,O,O,O,O,X,X,O,X,X
ISLZJTO,O,O,O,X,X,X,O,X,X
ISLZJOT,X,O,O,X,X,X,O,X,X
ISLZOTJ,O,O,O,O,X,O,O,X,X
ISLZOJT,O,O,O,X,X,O,O,X,X
ISLOTJZ,O,O,X,O,O,X,X,X,X
ISLOTZJ,X,X,O,O,O,X,X,X,X
ISLOJTZ,O,O,X,X,O,X,X,X,X
ISLOJZT,O,O,X,X,O,O,X,X,X
ISLOZTJ,O,O,O,O,O,O,X,X,X
ISLOZJT,O,O,O,X,O,O,X,X,X
ISJTLZO,O,O,X,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,X,X,X
ISJTZLO,O,X,O,X,X,X,X,X,X
ISJTZOL,O,X,O,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,X,X,X,X,X
ISJTOZL,O,X,O,X,X,X,X,X,X
ISJLTZO,O,O,X,X,X,X,X,X,X
ISJLTOZ,O,O,X,X,X,X,X,X,X
ISJLZTO,O,O,X,X,X,X,O,X,X
ISJLZOT,X,O,X,X,X,O,O,X,X
ISJLOTZ,X,O,X,X,X,X,X,X,X
ISJLOZT,X,O,X,X,X,O,X,X,X
ISJZTLO,O,O,O,X,X,X,X,X,X
ISJZTOL,O,X,O,X,X,X,X,X,X
ISJZLTO,O,O,O,X,X,X,O,X,X
ISJZLOT,X,O,O,X,X,O,O,X,X
ISJZOTL,O,O,O,X,X,X,X,X,X
ISJZOLT,O,O,O,X,X,O,X,X,X
ISJOTLZ,O,O,X,X,X,X,X,X,X
ISJOTZL,O,X,O,X,X,X,X,X,X
ISJOLTZ,O,O,X,X,X,X,X,X,X
ISJOLZT,O,O,X,X,X,O,X,X,X
ISJOZTL,O,O,O,X,X,X,X,X,X
ISJOZLT,O,O,O,X,X,O,X,X,X
ISZTLJO,O,O,O,O,X,X,X,X,X
ISZTLOJ,O,O,O,O,X,X,X,X,X
ISZTJLO,O,O,O,O,X,X,X,X,X
ISZTJOL,O,X,O,X,X,X,X,X,X
ISZTOLJ,O,O,O,O,X,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,X,X
ISZLTJO,O,O,O,O,X,X,O,X,X
ISZLTOJ,O,O,O,O,X,X,O,X,X
ISZLJTO,O,O,O,X,X,X,O,X,X
ISZLJOT,X,O,O,X,X,X,O,X,X
ISZLOTJ,O,O,O,O,X,O,O,X,X
ISZLOJT,O,O,O,X,X,O,O,X,X
ISZJTLO,O,O,O,X,X,X,X,X,X
ISZJTOL,O,X,O,X,X,X,X,X,X
ISZJLTO,O,O,O,X,X,X,X,X,X
ISZJLOT,X,O,O,X,X,X,X,X,X
ISZJOTL,O,O,O,X,X,X,X,X,X
ISZJOLT,O,O,O,X,X,X,X,X,X
ISZOTLJ,O,O,O,X,X,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,O,X,X,X
ISZOLJT,O,O,O,X,X,O,X,X,X
ISZOJTL,O,O,O,X,X,X,X,X,X
ISZOJLT,O,O,O,X,X,X,X,X,X
ISOTLJZ,O,O,X,O,O,X,X,X,X
ISOTLZJ,X,X,O,O,O,X,X,X,X
ISOTJLZ,O,O,X,O,O,X,X,X,X
ISOTJZL,O,X,O,X,O,X,X,X,X
ISOTZLJ,O,X,O,O,O,X,X,X,O
ISOTZJL,O,X,O,X,O,X,X,X,O
ISOLTJZ,O,O,X,O,O,X,X,X,X
ISOLTZJ,X,X,O,O,O,X,X,X,X
ISOLJTZ,O,O,X,X,O,X,X,X,X
ISOLJZT,O,O,X,X,O,O,X,X,X
ISOLZTJ,O,O,O,O,O,O,X,X,X
ISOLZJT,O,O,O,X,O,O,X,X,X
ISOJTLZ,O,O,X,X,O,X,X,X,X
ISOJTZL,O,X,O,X,O,X,X,X,X
ISOJLTZ,O,O,X,X,O,X,X,X,X
ISOJLZT,O,O,X,X,O,O,X,X,X
ISOJZTL,O,O,O,X,O,X,X,X,X
ISOJZLT,O,O,O,X,O,O,X,X,X
ISOZTLJ,O,O,O,X,O,X,X,X,O
ISOZTJL,O,O,O,X,O,X,X,X,O
ISOZLTJ,O,O,O,X,O,O,X,X,X
ISOZLJT,O,O,O,X,O,O,X,X,X
ISOZJTL,O,O,O,X,O,X,X,X,X
ISOZJLT,O,O,O,X,O,X,X,X,X
IZTLJSO,X,X,O,X,X,X,O,X,X
IZTLJOS,X,X,O,X,X,X,O,O,X
IZTLSJO,X,X,O,O,X,X,O,X,X
IZTLSOJ,X,X,O,O,X,X,O,X,X
IZTLOJS,X,X,O,X,O,O,O,O,X
IZTLOSJ,X,X,O,O,O,O,O,X,X
IZTJLSO,X,X,O,X,X,X,X,X,X
IZTJLOS,X,X,O,X,X,X,X,X,X
IZTJSLO,O,O,O,X,X,X,X,X,X
IZTJSOL,O,X,O,X,X,X,X,X,X
IZTJOLS,X,X,O,X,X,X,X,X,X
IZTJOSL,X,X,O,X,X,X,X,X,X
IZTSLJO,O,O,O,O,X,X,X,X,X
IZTSLOJ,O,O,O,O,X,X,X,X,X
IZTSJLO,O,O,O,O,X,X,X,X,X
IZTSJOL,O,X,O,X,X,X,X,X,X
IZTSOLJ,O,O,O,O,X,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X,X
IZTOLJS,X,X,O,X,O,O,X,O,X
IZTOLSJ,X,X,O,O,O,O,X,X,X
IZTOJLS,X,X,O,X,O,X,X,X,X
IZTOJSL,O,O,O,X,O,X,X,X,X
IZTOSLJ,O,O,O,O,O,X,X,X,X
IZTOSJL,O,O,O,X,O,X,X,X,X
IZLTJSO,X,X,O,X,X,X,O,X,X
IZLTJOS,X,X,O,X,X,X,O,O,X
IZLTSJO,X,X,O,O,X,X,O,X,X
IZLTSOJ,X,X,O,O,X,X,O,X,X
IZLTOJS,X,X,O,X,O,O,O,O,X
IZLTOSJ,X,X,O,O,O,O,O,X,X
IZLJTSO,X,X,O,X,X,X,O,X,X
IZLJTOS,X,X,O,X,X,O,O,O,X
IZLJSTO,X,O,O,X,X,X,O,X,X
IZLJSOT,X,O,O,X,X,O,O,X,X
IZLJOTS,X,X,O,X,X,O,O,O,X
IZLJOST,X,X,O,X,X,O,O,X,X
IZLSTJO,X,O,O,O,X,X,O,X,X
IZLSTOJ,X,O,O,O,X,X,O,X,X
IZLSJTO,X,O,O,X,X,X,O,X,X
IZLSJOT,X,O,O,X,X,X,O,X,X
IZLSOTJ,X,O,O,O,X,O,O,X,X
IZLSOJT,X,O,O,X,X,O,O,X,X
IZLOTJS,X,X,O,X,O,O,O,O,X
IZLOTSJ,X,X,O,O,O,O,O,X,X
IZLOJTS,X,X,O,X,O,O,O,O,X
IZLOJST,X,O,O,X,O,O,O,X,X
IZLOSTJ,X,O,O,O,O,O,O,X,X
IZLOSJT,X,O,O,X,O,O,O,X,X
IZJTLSO,X,X,O,X,X,X,O,X,X
IZJTLOS,X,X,O,X,X,O,O,X,X
IZJTSLO,O,O,O,X,X,X,X,X,X
IZJTSOL,O,X,O,X,X,X,X,X,X
IZJTOLS,X,X,O,X,X,O,X,X,X
IZJTOSL,X,X,O,X,X,X,X,X,X
IZJLTSO,X,X,O,X,X,X,O,X,X
IZJLTOS,X,X,O,X,X,O,O,O,X
IZJLSTO,X,O,O,X,X,X,O,X,X
IZJLSOT,X,O,O,X,X,O,O,X,X
IZJLOTS,X,X,O,X,X,O,O,O,X
IZJLOST,X,X,O,X,X,O,O,X,X
IZJSTLO,O,O,O,X,X,X,X,X,X
IZJSTOL,O,X,O,X,X,X,X,X,X
IZJSLTO,O,O,O,X,X,X,O,X,X
IZJSLOT,X,O,O,X,X,O,O,X,X
IZJSOTL,O,O,O,X,X,X,X,X,X
IZJSOLT,X,O,O,X,X,O,X,X,X
IZJOTLS,X,X,O,X,X,O,X,X,X
IZJOTSL,X,O,O,X,X,X,X,X,X
IZJOLTS,X,X,O,X,X,O,O,O,X
IZJOLST,X,O,O,X,X,O,O,X,X
IZJOSTL,X,O,O,X,X,X,X,X,X
IZJOSLT,X,O,O,X,X,O,X,X,X
IZSTLJO,O,O,O,O,X,X,X,X,X
IZSTLOJ,O,O,O,O,X,X,X,X,X
IZSTJLO,O,O,O,O,X,X,X,X,X
IZSTJOL,O,X,O,X,X,X,X,X,X
IZSTOLJ,O,O,O,O,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X,X
IZSLTJO,O,O,O,O,X,X,O,X,X
IZSLTOJ,O,O,O,O,X,X,O,X,X
IZSLJTO,O,O,O,X,X,X,O,X,X
IZSLJOT,X,O,O,X,X,X,O,X,X
IZSLOTJ,O,O,O,O,X,O,O,X,X
IZSLOJT,O,O,O,X,X,O,O,X,X
IZSJTLO,O,O,O,X,X,X,X,X,X
IZSJTOL,O,X,O,X,X,X,X,X,X
IZSJLTO,O,O,O,X,X,X,X,X,X
IZSJLOT,X,O,O,X,X,X,X,X,X
IZSJOTL,O,O,O,X,X,X,X,X,X
IZSJOLT,O,O,O,X,X,X,X,X,X
IZSOTLJ,O,O,O,X,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,O,X,X,X
IZSOLJT,O,O,O,X,X,O,X,X,X
IZSOJTL,O,O,O,X,X,X,X,X,X
IZSOJLT,O,O,O,X,X,X,X,X,X
IZOTLJS,X,X,O,X,O,O,X,O,O
IZOTLSJ,X,X,O,O,O,O,X,X,O
IZOTJLS,X,X,O,X,O,X,X,X,O
IZOTJSL,O,O,O,X,O,X,X,X,O
IZOTSLJ,O,O,O,O,O,X,X,X,O
IZOTSJL,O,O,O,X,O,X,X,X,O
IZOLTJS,X,X,O,X,O,O,O,O,O
IZOLTSJ,X,X,O,O,O,O,O,X,O
IZOLJTS,X,X,O,X,O,O,O,O,X
IZOLJST,X,O,O,X,O,O,O,X,X
IZOLSTJ,X,O,O,X,O,O,O,X,X
IZOLSJT,X,O,O,X,O,O,O,X,X
IZOJTLS,X,X,O,X,O,O,X,X,O
IZOJTSL,O,O,O,X,O,X,X,X,O
IZOJLTS,X,X,O,X,O,O,X,O,X
IZOJLST,X,O,O,X,O,O,X,X,X
IZOJSTL,O,O,O,X,O,X,X,X,X
IZOJSLT,O,O,O,X,O,O,X,X,X
IZOSTLJ,O,O,O,X,O,X,X,X,O
IZOSTJL,O,O,O,X,O,X,X,X,O
IZOSLTJ,O,O,O,X,O,O,X,X,X
IZOSLJT,O,O,O,X,O,O,X,X,X
IZOSJTL,O,O,O,X,O,X,X,X,X
IZOSJLT,O,O,O,X,O,X,X,X,X
IOTLJSZ,X,X,X,O,O,X,X,X,X
IOTLJZS,X,X,X,X,O,O,X,X,X
IOTLSJZ,X,X,X,O,O,X,X,X,X
IOTLSZJ,X,X,O,O,O,X,X,X,X
IOTLZJS,X,X,O,X,O,O,X,X,O
IOTLZSJ,X,X,O,O,O,O,X,X,O
IOTJLSZ,X,X,X,O,O,X,X,X,X
IOTJLZS,X,X,X,X,O,O,X,X,X
IOTJSLZ,O,O,X,O,O,X,X,X,X
IOTJSZL,O,X,O,X,O,X,X,X,X
IOTJZLS,X,X,O,X,O,O,X,X,O
IOTJZSL,O,X,O,X,O,X,X,X,O
IOTSLJZ,O,O,X,O,O,X,X,X,X
IOTSLZJ,X,X,O,O,O,X,X,X,X
IOTSJLZ,O,O,X,O,O,X,X,X,X
IOTSJZL,O,X,O,X,O,X,X,X,X
IOTSZLJ,O,X,O,O,O,X,X,X,O
IOTSZJL,O,X,O,X,O,X,X,X,O
IOTZLJS,X,X,O,X,O,O,X,X,O
IOTZLSJ,X,X,O,O,O,O,X,X,O
IOTZJLS,X,X,O,X,O,X,X,X,O
IOTZJSL,O,X,O,X,O,X,X,X,O
IOTZSLJ,O,X,O,O,O,X,X,X,O
IOTZSJL,O,X,O,X,O,X,X,X,O
IOLTJSZ,X,X,X,O,O,X,X,X,X
IOLTJZS,X,X,X,X,O,O,X,X,X
IOLTSJZ,X,X,X,O,O,X,X,X,X
IOLTSZJ,X,X,O,O,O,X,X,X,X
IOLTZJS,X,X,O,X,O,O,X,X,O
IOLTZSJ,X,X,O,O,O,O,X,X,O
IOLJTSZ,X,X,X,O,O,X,X,X,X
IOLJTZS,X,X,X,X,O,O,X,X,X
IOLJSTZ,X,O,X,X,O,X,X,X,X
IOLJSZT,X,O,X,X,O,O,X,X,X
IOLJZTS,X,X,X,X,O,O,O,X,X
IOLJZST,X,X,X,X,O,O,O,X,X
IOLSTJZ,X,O,X,O,O,X,X,X,X
IOLSTZJ,X,X,O,O,O,X,X,X,X
IOLSJTZ,X,O,X,X,O,X,X,X,X
IOLSJZT,X,O,X,X,O,O,X,X,X
IOLSZTJ,X,X,O,O,O,O,X,X,X
IOLSZJT,X,O,O,X,O,O,X,X,X
IOLZTJS,X,X,O,X,O,O,O,X,O
IOLZTSJ,X,X,O,O,O,O,O,X,O
IOLZJTS,X,X,O,X,O,O,O,X,X
IOLZJST,X,X,O,X,O,O,O,X,X
IOLZSTJ,X,X,O,O,O,O,O,X,X
IOLZSJT,X,X,O,X,O,O,O,X,X
IOJTLSZ,X,X,X,O,O,X,X,X,X
IOJTLZS,X,X,X,X,O,O,X,X,X
IOJTSLZ,O,O,X,O,O,X,X,X,X
IOJTSZL,O,X,O,X,O,X,X,X,X
IOJTZLS,X,X,O,X,O,O,X,X,O
IOJTZSL,O,X,O,X,O,X,X,X,O
IOJLTSZ,X,X,X,O,O,X,X,X,X
IOJLTZS,X,X,X,X,O,O,X,X,X
IOJLSTZ,X,O,X,X,O,X,X,X,X
IOJLSZT,X,O,X,X,O,O,X,X,X
IOJLZTS,X,X,X,X,O,O,O,X,X
IOJLZST,X,X,X,X,O,O,O,X,X
IOJSTLZ,O,O,X,X,O,X,X,X,X
IOJSTZL,O,X,O,X,O,X,X,X,X
IOJSLTZ,O,O,X,X,O,X,X,X,X
IOJSLZT,O,O,X,X,O,O,X,X,X
IOJSZTL,O,O,O,X,O,X,X,X,X
IOJSZLT,O,O,O,X,O,O,X,X,X
IOJZTLS,X,X,O,X,O,O,X,X,O
IOJZTSL,O,O,O,X,O,X,X,X,O
IOJZLTS,X,X,O,X,O,O,O,X,X
IOJZLST,X,O,O,X,O,O,O,X,X
IOJZSTL,O,O,O,X,O,X,X,X,X
IOJZSLT,O,O,O,X,O,O,X,X,X
IOSTLJZ,O,O,X,O,O,X,X,X,X
IOSTLZJ,X,X,O,O,O,X,X,X,X
IOSTJLZ,O,O,X,O,O,X,X,X,X
IOSTJZL,O,X,O,X,O,X,X,X,X
IOSTZLJ,O,X,O,O,O,X,X,X,O
IOSTZJL,O,X,O,X,O,X,X,X,O
IOSLTJZ,O,O,X,O,O,X,X,X,X
IOSLTZJ,X,X,O,O,O,X,X,X,X
IOSLJTZ,O,O,X,X,O,X,X,X,X
IOSLJZT,O,O,X,X,O,O,X,X,X
IOSLZTJ,O,O,O,O,O,O,X,X,X
IOSLZJT,O,O,O,X,O,O,X,X,X
IOSJTLZ,O,O,X,X,O,X,X,X,X
IOSJTZL,O,X,O,X,O,X,X,X,X
IOSJLTZ,O,O,X,X,O,X,X,X,X
IOSJLZT,O,O,X,X,O,O,X,X,X
IOSJZTL,O,O,O,X,O,X,X,X,X
IOSJZLT,O,O,O,X,O,O,X,X,X
IOSZTLJ,O,O,O,X,O,X,X,X,O
IOSZTJL,O,O,O,X,O,X,X,X,O
IOSZLTJ,O,O,O,X,O,O,X,X,X
IOSZLJT,O,O,O,X,O,O,X,X,X
IOSZJTL,O,O,O,X,O,X,X,X,X
IOSZJLT,O,O,O,X,O,X,X,X,X
IOZTLJS,X,X,O,X,O,O,X,X,O
IOZTLSJ,X,X,O,O,O,O,X,X,O
IOZTJLS,X,X,O,X,O,X,X,X,O
IOZTJSL,O,O,O,X,O,X,X,X,O
IOZTSLJ,O,O,O,O,O,X,X,X,O
IOZTSJL,O,O,O,X,O,X,X,X,O
IOZLTJS,X,X,O,X,O,O,O,X,O
IOZLTSJ,X,X,O,O,O,O,O,X,O
IOZLJTS,X,X,O,X,O,O,O,X,X
IOZLJST,X,O,O,X,O,O,O,X,X
IOZLSTJ,X,O,O,X,O,O,O,X,X
IOZLSJT,X,O,O,X,O,O,O,X,X
IOZJTLS,X,X,O,X,O,O,X,X,O
IOZJTSL,O,O,O,X,O,X,X,X,O
IOZJLTS,X,X,O,X,O,O,X,X,X
IOZJLST,X,O,O,X,O,O,X,X,X
IOZJSTL,O,O,O,X,O,X,X,X,X
IOZJSLT,O,O,O,X,O,O,X,X,X
IOZSTLJ,O,O,O,X,O,X,X,X,O
IOZSTJL,O,O,O,X,O,X,X,X,O
IOZSLTJ,O,O,O,X,O,O,X,X,X
IOZSLJT,O,O,O,X,O,O,X,X,X
IOZSJTL,O,O,O,X,O,X,X,X,X
IOZSJLT,O,O,O,X,O,X,X,X,X
LTIJSZO,X,X,X,O,X,X,X,X,X
LTIJSOZ,X,X,X,O,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,O,X,X
LTIJZOS,X,X,X,X,X,O,O,O,X
LTIJOSZ,X,X,X,O,O,X,X,X,X
LTIJOZS,X,X,X,X,O,O,X,X,X
LTISJZO,X,X,X,O,X,X,X,X,X
LTISJOZ,X,X,X,O,X,X,X,X,X
LTISZJO,X,X,O,O,X,X,X,X,X
LTISZOJ,X,X,O,O,X,X,X,X,X
LTISOJZ,X,X,X,O,O,X,X,X,X
LTISOZJ,X,X,O,O,O,X,X,X,X
LTIZJSO,X,X,O,X,X,X,O,X,X
LTIZJOS,X,X,O,X,X,X,O,O,X
LTIZSJO,X,X,O,O,X,X,O,X,X
LTIZSOJ,X,X,O,O,X,X,O,X,X
LTIZOJS,X,X,O,X,O,O,O,O,X
LTIZOSJ,X,X,O,O,O,O,O,X,X
LTIOJSZ,X,X,X,O,O,X,X,X,X
LTIOJZS,X,X,X,X,O,O,X,X,X
LTIOSJZ,X,X,X,O,O,X,X,X,X
LTIOSZJ,X,X,O,O,O,X,X,X,X
LTIOZJS,X,X,O,X,O,O,X,X,X
LTIOZSJ,X,X,O,O,O,O,X,X,X
LTJISZO,X,X,X,O,X,X,X,X,X
LTJISOZ,X,X,X,O,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,O,X,X
LTJIZOS,X,X,X,X,X,O,O,O,X
LTJIOSZ,X,X,X,O,O,X,X,X,X
LTJIOZS,X,X,X,X,O,O,X,X,X
LTJSIZO,O,X,X,O,X,X,X,X,X
LTJSIOZ,O,X,X,O,X,X,X,X,X
LTJSZIO,O,X,X,O,X,X,X,X,X
LTJSZOI,X,X,X,O,X,X,X,O,X
LTJSOIZ,X,X,X,O,X,X,X,X,X
LTJSOZI,X,X,X,O,X,X,X,X,X
LTJZISO,X,X,X,X,X,X,O,X,X
LTJZIOS,X,X,X,X,X,O,O,O,X
LTJZSIO,O,X,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X,X,O,X
LTJZOIS,X,X,X,X,X,O,X,O,X
LTJZOSI,X,X,X,X,X,X,X,O,X
LTJOISZ,X,X,X,O,O,X,X,X,X
LTJOIZS,X,X,X,X,O,O,X,X,X
LTJOSIZ,X,X,X,O,O,X,X,X,X
LTJOSZI,X,X,X,O,X,X,X,X,X
LTJOZIS,X,X,X,X,O,O,X,O,X
LTJOZSI,X,X,X,X,X,X,X,O,X
LTSIJZO,O,X,X,O,X,X,X,X,X
LTSIJOZ,O,X,X,O,X,X,X,X,X
LTSIZJO,X,X,X,O,X,X,X,X,X
LTSIZOJ,X,X,X,O,X,X,X,X,X
LTSIOJZ,O,X,X,O,O,X,X,X,X
LTSIOZJ,X,X,X,O,O,X,X,X,X
LTSJIZO,O,X,X,O,X,X,X,X,X
LTSJIOZ,O,X,X,O,X,X,X,X,X
LTSJZIO,O,X,X,O,X,X,X,X,X
LTSJZOI,X,X,X,O,X,X,X,O,X
LTSJOIZ,X,X,X,O,X,X,X,X,X
LTSJOZI,X,X,X,O,X,X,X,X,X
LTSZIJO,O,X,X,O,X,X,X,X,X
LTSZIOJ,O,X,X,O,X,X,X,X,X
LTSZJIO,O,X,X,O,X,X,X,X,X
LTSZJOI,X,X,X,O,X,X,X,O,X
LTSZOIJ,O,X,X,O,X,X,X,X,X
LTSZOJI,O,X,X,O,X,X,X,O,X
LTSOIJZ,O,X,X,O,O,X,X,X,X
LTSOIZJ,X,X,X,O,O,X,X,X,X
LTSOJIZ,O,X,X,O,O,X,X,X,X
LTSOJZI,O,X,X,O,X,X,X,X,X
LTSOZIJ,O,X,X,O,X,X,X,X,X
LTSOZJI,O,X,X,O,X,X,X,X,X
LTZIJSO,X,X,O,X,X,X,O,X,X
LTZIJOS,X,X,O,X,X,X,O,O,X
LTZISJO,X,X,O,O,X,X,O,X,X
LTZISOJ,X,X,O,O,X,X,O,X,X
LTZIOJS,X,X,O,X,O,O,O,O,X
LTZIOSJ,X,X,O,O,O,O,O,X,X
LTZJISO,X,X,O,X,X,X,O,X,X
LTZJIOS,X,X,O,X,X,O,O,O,X
LTZJSIO,O,X,X,X,X,X,X,X,X
LTZJSOI,X,X,X,X,X,X,X,O,X
LTZJOIS,X,X,O,X,X,O,X,O,X
LTZJOSI,X,X,X,X,X,X,X,O,X
LTZSIJO,O,X,X,O,X,X,X,X,X
LTZSIOJ,O,X,X,O,X,X,X,X,X
LTZSJIO,O,X,X,O,X,X,X,X,X
LTZSJOI,X,X,X,O,X,X,X,O,X
LTZSOIJ,O,X,X,O,X,X,X,X,X
LTZSOJI,O,X,X,O,X,X,X,O,X
LTZOIJS,X,X,O,X,O,O,X,O,X
LTZOISJ,X,X,O,O,O,O,X,X,X
