sequence,v115@9gB8HeB8HeA8HeC8DeD8JeiAJvhFRiBcoBTnBFqBXr?BGrB,v115@9gB8HeB8HeA8HeC8DeD8JecGJvhFenBqnBTjBXlBll?BxvB,v115@9gB8HeB8HeA8HeC8DeD8JeCCJvhFTjBXlB2rB0nBll?BxvB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFRhBqnBTjB8rB3q?BFrB,v115@9gB8HeB8HeA8HeC8DeD8JelAJvhF3hBqnBTjB8rBRq?B2vB,v115@9gB8HeB8HeA8HeC8DeD8JeiAJvhFGiBTjBfrBUqBRs?BlrB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFTjBRmB1sBCnB3q?BUrB,v115@9gB8HeB8HeA8HeC8DeD8JeRCJvhFcoBXlB6rBTnBml?B1vB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFRmBFoBzmBCoB3q?BUrB
IJSLZOT,X,O,O,O,X,X,X,X,X
IJSLOTZ,X,O,X,X,X,X,X,X,X
IJSLOZT,X,O,O,O,X,X,X,X,X
IJSZTLO,X,O,O,O,X,O,X,X,O
IJSZTOL,X,X,O,X,X,O,X,X,O
IJSZLTO,X,O,O,O,X,O,X,X,X
IJSZLOT,X,O,O,O,X,O,X,X,X
IJSZOTL,X,X,O,X,X,O,X,X,X
IJSZOLT,X,O,O,O,X,O,X,X,X
IJSOTLZ,X,X,X,X,X,X,O,X,O
IJSOTZL,X,X,X,X,X,X,O,X,O
IJSOLTZ,X,O,X,X,X,X,X,X,X
IJSOLZT,X,O,O,O,X,X,X,X,X
IJSOZTL,X,X,O,X,X,O,X,X,X
IJSOZLT,X,O,O,O,X,O,X,X,X
IJZTLSO,X,O,O,X,O,X,X,X,X
IJZTLOS,X,O,O,O,O,O,X,X,X
IJZTSLO,X,O,O,X,O,O,X,X,X
IJZTSOL,X,X,O,X,X,O,X,X,X
IJZTOLS,X,X,O,X,O,O,X,X,X
IJZTOSL,X,X,O,X,X,O,X,X,X
IJZLTSO,X,O,O,X,O,X,X,X,X
IJZLTOS,X,O,O,O,O,O,X,X,X
IJZLSTO,X,O,O,O,O,O,X,X,X
IJZLSOT,X,O,O,O,O,O,X,X,X
IJZLOTS,X,O,O,O,O,O,X,X,X
IJZLOST,X,O,O,O,O,O,X,X,X
IJZSTLO,X,O,O,O,O,O,X,X,X
IJZSTOL,X,X,O,X,X,O,X,X,X
IJZSLTO,X,O,O,O,O,O,X,X,X
IJZSLOT,X,O,O,O,O,O,X,X,X
IJZSOTL,X,X,O,X,X,O,X,X,X
IJZSOLT,X,O,O,O,X,O,X,X,X
IJZOTLS,X,X,O,X,O,O,X,X,X
IJZOTSL,X,X,O,X,X,O,X,X,X
IJZOLTS,X,O,O,O,O,O,X,X,X
IJZOLST,X,O,O,O,O,O,X,X,X
IJZOSTL,X,X,O,X,X,O,X,X,X
IJZOSLT,X,O,O,O,X,O,X,X,X
IJOTLSZ,X,X,X,X,X,X,O,X,X
IJOTLZS,X,X,X,X,O,X,O,X,X
IJOTSLZ,X,X,X,X,X,X,O,X,X
IJOTSZL,X,X,X,X,X,X,O,X,X
IJOTZLS,X,X,X,X,O,O,O,X,X
IJOTZSL,X,X,X,X,X,O,O,X,X
IJOLTSZ,X,O,X,X,X,X,X,X,X
IJOLTZS,X,O,X,X,O,X,X,X,X
IJOLSTZ,X,O,X,X,X,X,X,X,X
IJOLSZT,X,O,O,O,X,X,X,X,X
IJOLZTS,X,O,O,O,O,O,X,X,X
IJOLZST,X,O,O,O,O,O,X,X,X
IJOSTLZ,X,X,X,X,X,X,O,X,X
IJOSTZL,X,X,X,X,X,X,O,X,X
IJOSLTZ,X,O,X,X,X,X,X,X,X
IJOSLZT,X,O,O,O,X,X,X,X,X
IJOSZTL,X,X,O,X,X,O,X,X,X
IJOSZLT,X,O,O,O,X,O,X,X,X
IJOZTLS,X,X,O,X,O,O,X,X,X
IJOZTSL,X,X,O,X,X,O,X,X,X
IJOZLTS,X,O,O,O,O,O,X,X,X
IJOZLST,X,O,O,O,O,O,X,X,X
IJOZSTL,X,X,O,X,X,O,X,X,X
IJOZSLT,X,O,O,O,X,O,X,X,X
ISTLJZO,X,O,X,X,X,X,X,X,O
ISTLJOZ,X,O,X,X,X,X,O,X,O
ISTLZJO,O,X,X,X,O,X,X,X,X
ISTLZOJ,O,X,X,X,O,X,X,O,X
ISTLOJZ,X,O,X,X,X,X,O,X,X
ISTLOZJ,O,X,X,X,O,X,X,O,X
ISTJLZO,X,O,O,X,X,X,X,X,O
ISTJLOZ,X,O,X,X,X,X,O,X,O
ISTJZLO,X,O,O,X,X,X,X,X,O
ISTJZOL,X,X,O,X,X,X,O,X,O
ISTJOLZ,X,X,X,X,X,X,O,X,O
ISTJOZL,X,X,X,X,X,X,O,X,O
ISTZLJO,O,X,X,X,O,X,X,X,X
ISTZLOJ,O,X,X,X,O,X,X,O,X
ISTZJLO,O,O,O,X,O,X,X,X,O
ISTZJOL,X,X,O,X,X,X,O,X,O
ISTZOLJ,O,X,X,X,O,X,X,O,X
ISTZOJL,O,X,O,X,X,X,O,X,X
ISTOLJZ,X,O,X,X,X,X,O,X,X
ISTOLZJ,O,X,X,X,O,X,X,O,X
ISTOJLZ,X,X,X,X,X,X,O,X,O
ISTOJZL,X,X,X,X,X,X,O,X,O
ISTOZLJ,O,X,X,X,O,X,X,O,X
ISTOZJL,O,X,O,X,X,X,O,X,X
ISLTJZO,X,O,X,X,X,X,X,X,O
ISLTJOZ,X,O,X,X,X,X,X,X,O
ISLTZJO,X,X,X,X,O,X,X,X,X
ISLTZOJ,X,X,X,X,O,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X,X,X
ISLTOZJ,X,X,X,X,O,X,X,X,X
ISLJTZO,X,O,O,X,X,X,X,X,O
ISLJTOZ,X,O,X,X,X,X,X,X,O
ISLJZTO,X,O,O,O,X,X,X,X,X
ISLJZOT,X,O,O,O,X,X,X,X,X
ISLJOTZ,X,O,X,X,X,X,X,X,X
ISLJOZT,X,O,O,O,X,X,X,X,X
ISLZTJO,X,X,X,X,O,X,X,X,X
ISLZTOJ,X,X,X,X,O,X,X,X,X
ISLZJTO,X,O,O,O,O,X,X,X,X
ISLZJOT,X,O,O,O,O,X,X,X,X
ISLZOTJ,X,X,X,X,O,X,X,O,X
ISLZOJT,X,O,O,O,O,X,X,O,X
ISLOTJZ,X,O,X,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,O,X,X,X,X
ISLOJTZ,X,O,X,X,X,X,X,X,X
ISLOJZT,X,O,X,O,X,X,X,X,X
ISLOZTJ,X,X,X,X,O,X,X,O,X
ISLOZJT,X,O,O,O,O,X,X,O,X
ISJTLZO,X,O,O,X,X,X,X,X,O
ISJTLOZ,X,O,X,X,X,X,O,X,O
ISJTZLO,X,O,O,X,X,X,X,X,O
ISJTZOL,X,X,O,X,X,X,O,X,O
ISJTOLZ,X,X,X,X,X,X,O,X,O
ISJTOZL,X,X,X,X,X,X,O,X,O
ISJLTZO,X,O,O,X,X,X,X,X,O
ISJLTOZ,X,O,X,X,X,X,X,X,O
ISJLZTO,X,O,O,O,X,X,X,X,X
ISJLZOT,X,O,O,O,X,X,X,X,X
ISJLOTZ,X,O,X,X,X,X,X,X,X
ISJLOZT,X,O,O,O,X,X,X,X,X
ISJZTLO,X,O,O,O,X,O,X,X,O
ISJZTOL,X,X,O,X,X,O,X,X,O
ISJZLTO,X,O,O,O,X,O,X,X,X
ISJZLOT,X,O,O,O,X,O,X,X,X
ISJZOTL,X,X,O,X,X,O,X,X,X
ISJZOLT,X,O,O,O,X,O,X,X,X
ISJOTLZ,X,X,X,X,X,X,O,X,O
ISJOTZL,X,X,X,X,X,X,O,X,O
ISJOLTZ,X,O,X,X,X,X,X,X,X
ISJOLZT,X,O,O,O,X,X,X,X,X
ISJOZTL,X,X,O,X,X,O,X,X,X
ISJOZLT,X,O,O,O,X,O,X,X,X
ISZTLJO,O,X,X,X,O,O,X,X,X
ISZTLOJ,O,X,X,X,O,O,X,O,X
ISZTJLO,O,O,O,X,O,O,X,X,O
ISZTJOL,X,X,O,X,X,O,X,X,O
ISZTOLJ,O,X,X,X,O,O,X,O,X
ISZTOJL,O,X,O,X,X,O,X,X,X
ISZLTJO,O,X,X,X,O,O,X,X,X
ISZLTOJ,O,X,X,X,O,O,X,X,X
ISZLJTO,X,O,O,O,O,O,X,X,X
ISZLJOT,X,O,O,O,O,O,X,X,X
ISZLOTJ,X,X,X,X,O,O,X,O,X
ISZLOJT,X,O,O,O,O,O,X,O,X
ISZJTLO,O,O,O,O,O,O,X,X,O
ISZJTOL,X,X,O,X,X,O,X,X,O
ISZJLTO,X,O,O,O,O,O,X,X,X
ISZJLOT,X,O,O,O,O,O,X,X,X
ISZJOTL,X,X,O,X,X,O,X,X,X
ISZJOLT,X,O,O,O,X,O,X,X,X
ISZOTLJ,O,X,X,X,O,O,X,O,X
ISZOTJL,O,X,O,X,X,O,X,X,X
ISZOLTJ,O,X,X,X,O,O,X,O,X
ISZOLJT,X,O,O,O,O,O,X,O,X
ISZOJTL,O,X,O,X,X,O,X,X,X
ISZOJLT,X,O,O,O,X,O,X,O,X
ISOTLJZ,X,O,X,X,X,X,O,X,X
ISOTLZJ,O,X,X,X,O,X,X,O,X
ISOTJLZ,X,X,X,X,X,X,O,X,O
ISOTJZL,X,X,X,X,X,X,O,X,O
ISOTZLJ,O,X,X,X,O,X,X,O,X
ISOTZJL,O,X,O,X,X,X,O,X,X
ISOLTJZ,X,O,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,O,X,X,X,X
ISOLJTZ,X,O,X,X,X,X,X,X,X
ISOLJZT,X,O,X,O,X,X,X,X,X
ISOLZTJ,X,X,X,X,O,X,X,O,X
ISOLZJT,X,O,O,O,O,X,X,O,X
ISOJTLZ,X,X,X,X,X,X,O,X,O
ISOJTZL,X,X,X,X,X,X,O,X,O
ISOJLTZ,X,O,X,X,X,X,X,X,X
ISOJLZT,X,O,O,O,X,X,X,X,X
ISOJZTL,X,X,O,X,X,O,X,X,X
ISOJZLT,X,O,O,O,X,O,X,X,X
ISOZTLJ,O,X,X,X,O,O,X,O,X
ISOZTJL,O,X,O,X,X,O,X,X,X
ISOZLTJ,O,X,X,X,O,O,X,O,X
ISOZLJT,X,O,O,O,O,O,X,O,X
ISOZJTL,O,X,O,X,X,O,X,X,X
ISOZJLT,X,O,O,O,X,O,X,O,X
IZTLJSO,O,X,O,X,O,X,X,X,X
IZTLJOS,O,X,O,X,O,O,X,X,X
IZTLSJO,O,X,X,X,O,X,X,X,X
IZTLSOJ,O,X,X,X,O,X,X,X,X
IZTLOJS,O,X,O,X,O,O,X,X,X
IZTLOSJ,O,X,X,X,O,X,X,X,X
IZTJLSO,O,O,O,X,O,X,X,X,X
IZTJLOS,O,O,O,X,O,O,X,X,X
IZTJSLO,O,O,O,X,O,O,X,X,X
IZTJSOL,X,X,O,X,X,O,X,X,X
IZTJOLS,X,X,O,X,O,O,X,X,X
IZTJOSL,X,X,O,X,X,O,X,X,X
IZTSLJO,O,X,X,X,O,O,X,X,X
IZTSLOJ,O,X,X,X,O,O,X,X,X
IZTSJLO,O,O,O,X,O,O,X,X,X
IZTSJOL,X,X,O,X,X,O,X,X,X
IZTSOLJ,O,X,X,X,O,O,X,X,X
IZTSOJL,O,X,O,X,X,O,X,X,X
IZTOLJS,O,X,O,X,O,O,X,X,X
IZTOLSJ,O,X,X,X,O,X,X,O,X
IZTOJLS,O,X,O,X,O,O,X,X,X
IZTOJSL,O,X,O,X,X,O,X,X,X
IZTOSLJ,O,X,X,X,O,O,X,O,X
IZTOSJL,O,X,O,X,X,O,X,X,X
IZLTJSO,O,X,O,X,O,X,X,X,X
IZLTJOS,O,X,O,X,O,O,X,X,X
IZLTSJO,O,X,X,X,O,X,X,X,X
IZLTSOJ,O,X,X,X,O,X,X,X,X
IZLTOJS,O,X,O,X,O,O,X,X,X
IZLTOSJ,O,X,X,X,O,X,X,X,X
IZLJTSO,X,O,O,X,O,X,X,X,X
IZLJTOS,X,O,O,O,O,O,X,X,X
IZLJSTO,X,O,O,O,O,O,X,X,X
IZLJSOT,X,O,O,O,O,O,X,X,X
IZLJOTS,X,O,O,O,O,O,X,X,X
IZLJOST,X,O,O,O,O,O,X,X,X
IZLSTJO,O,X,X,X,O,O,X,X,X
IZLSTOJ,O,X,X,X,O,O,X,X,X
IZLSJTO,X,O,O,O,O,O,X,X,X
IZLSJOT,X,O,O,O,O,O,X,X,X
IZLSOTJ,X,X,X,X,O,O,X,O,X
IZLSOJT,X,O,O,O,O,O,X,O,X
IZLOTJS,O,X,O,X,O,O,X,X,X
IZLOTSJ,O,X,X,X,O,X,X,O,X
IZLOJTS,X,O,O,O,O,O,X,X,X
IZLOJST,X,O,O,O,O,O,X,O,X
IZLOSTJ,O,X,X,X,O,O,X,O,X
IZLOSJT,X,O,O,O,O,O,X,O,X
IZJTLSO,O,O,O,X,O,X,X,X,X
IZJTLOS,O,O,O,O,O,O,X,X,X
IZJTSLO,O,O,O,X,O,O,X,X,X
IZJTSOL,X,X,O,X,X,O,X,X,X
IZJTOLS,X,X,O,X,O,O,X,X,X
IZJTOSL,X,X,O,X,X,O,X,X,X
IZJLTSO,X,O,O,X,O,X,X,X,X
IZJLTOS,X,O,O,O,O,O,X,X,X
IZJLSTO,X,O,O,O,O,O,X,X,X
IZJLSOT,X,O,O,O,O,O,X,X,X
IZJLOTS,X,O,O,O,O,O,X,X,X
IZJLOST,X,O,O,O,O,O,X,X,X
IZJSTLO,O,O,O,O,O,O,X,X,X
IZJSTOL,X,X,O,X,X,O,X,X,X
IZJSLTO,X,O,O,O,O,O,X,X,X
IZJSLOT,X,O,O,O,O,O,X,X,X
IZJSOTL,X,X,O,X,X,O,X,X,X
IZJSOLT,X,O,O,O,X,O,X,X,X
IZJOTLS,O,X,O,X,O,O,X,X,X
IZJOTSL,O,X,O,X,X,O,X,X,X
IZJOLTS,X,O,O,O,O,O,X,X,X
IZJOLST,X,O,O,O,O,O,X,O,X
IZJOSTL,O,X,O,X,X,O,X,X,X
IZJOSLT,X,O,O,O,X,O,X,O,X
IZSTLJO,O,X,X,X,O,O,X,X,X
IZSTLOJ,O,X,X,X,O,O,X,O,X
IZSTJLO,O,O,O,X,O,O,X,X,X
IZSTJOL,X,X,O,X,X,O,X,X,X
IZSTOLJ,O,X,X,X,O,O,X,O,X
IZSTOJL,O,X,O,X,X,O,X,X,X
IZSLTJO,O,X,X,X,O,O,X,X,X
IZSLTOJ,O,X,X,X,O,O,X,X,X
IZSLJTO,X,O,O,O,O,O,X,X,X
IZSLJOT,X,O,O,O,O,O,X,X,X
IZSLOTJ,X,X,X,X,O,O,X,O,X
IZSLOJT,X,O,O,O,O,O,X,O,X
IZSJTLO,O,O,O,O,O,O,X,X,X
IZSJTOL,X,X,O,X,X,O,X,X,X
IZSJLTO,X,O,O,O,O,O,X,X,X
IZSJLOT,X,O,O,O,O,O,X,X,X
IZSJOTL,X,X,O,X,X,O,X,X,X
IZSJOLT,X,O,O,O,X,O,X,X,X
IZSOTLJ,O,X,X,X,O,O,X,O,X
IZSOTJL,O,X,O,X,X,O,X,X,X
IZSOLTJ,O,X,X,X,O,O,X,O,X
IZSOLJT,X,O,O,O,O,O,X,O,X
IZSOJTL,O,X,O,X,X,O,X,X,X
IZSOJLT,X,O,O,O,X,O,X,O,X
IZOTLJS,O,X,O,X,O,O,X,X,X
IZOTLSJ,O,X,X,X,O,X,X,O,X
IZOTJLS,O,X,O,X,O,O,X,X,X
IZOTJSL,O,X,O,X,X,O,X,X,X
IZOTSLJ,O,X,X,X,O,O,X,O,X
IZOTSJL,O,X,O,X,X,O,X,X,X
IZOLTJS,O,X,O,X,O,O,X,X,X
IZOLTSJ,O,X,X,X,O,X,X,O,X
IZOLJTS,X,O,O,O,O,O,X,X,X
IZOLJST,X,O,O,O,O,O,X,O,X
IZOLSTJ,O,X,X,X,O,O,X,O,X
IZOLSJT,X,O,O,O,O,O,X,O,X
IZOJTLS,O,X,O,X,O,O,X,X,X
IZOJTSL,O,X,O,X,X,O,X,X,X
IZOJLTS,X,O,O,O,O,O,X,X,X
IZOJLST,X,O,O,O,O,O,X,O,X
IZOJSTL,O,X,O,X,X,O,X,X,X
IZOJSLT,X,O,O,O,X,O,X,O,X
IZOSTLJ,O,X,X,X,O,O,X,O,X
IZOSTJL,O,X,O,X,X,O,X,X,X
IZOSLTJ,O,X,X,X,O,O,X,O,X
IZOSLJT,X,O,O,O,O,O,X,O,X
IZOSJTL,O,X,O,X,X,O,X,X,X
IZOSJLT,X,O,O,O,X,O,X,O,X
IOTLJSZ,X,O,X,X,X,X,O,X,X
IOTLJZS,X,O,X,X,O,X,O,X,X
IOTLSJZ,X,O,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,X,O,X,X,X,X
IOTLZJS,O,X,X,X,O,X,X,X,X
IOTLZSJ,O,X,X,X,O,X,X,X,X
IOTJLSZ,X,X,X,X,X,X,O,X,X
IOTJLZS,X,X,X,X,O,X,O,X,X
IOTJSLZ,X,X,X,X,X,X,O,X,X
IOTJSZL,X,X,X,X,X,X,O,X,X
IOTJZLS,X,X,X,X,O,O,O,X,X
IOTJZSL,X,X,X,X,X,O,O,X,X
IOTSLJZ,X,O,X,X,X,X,O,X,X
IOTSLZJ,O,X,X,X,O,X,X,X,X
IOTSJLZ,X,X,X,X,X,X,O,X,X
IOTSJZL,X,X,X,X,X,X,O,X,X
IOTSZLJ,O,X,X,X,O,X,X,X,X
IOTSZJL,O,X,O,X,X,X,O,X,X
IOTZLJS,O,X,O,X,O,O,X,X,X
IOTZLSJ,O,X,X,X,O,X,X,X,X
IOTZJLS,O,X,O,X,O,O,O,X,X
IOTZJSL,O,X,O,X,X,O,O,X,X
IOTZSLJ,O,X,X,X,O,O,X,X,X
IOTZSJL,O,X,O,X,X,O,X,X,X
IOLTJSZ,X,O,X,X,X,X,X,X,X
IOLTJZS,X,O,X,X,O,X,X,X,X
IOLTSJZ,X,O,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,O,X,X,X,X
IOLTZJS,X,X,X,X,O,X,X,X,X
IOLTZSJ,X,X,X,X,O,X,X,X,X
IOLJTSZ,X,O,X,X,X,X,X,X,X
IOLJTZS,X,O,X,X,O,X,X,X,X
IOLJSTZ,X,O,X,X,X,X,X,X,X
IOLJSZT,X,O,X,O,X,X,X,X,X
IOLJZTS,X,O,X,O,O,O,X,X,X
IOLJZST,X,O,X,O,O,O,X,X,X
IOLSTJZ,X,O,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,O,X,X,X,X
IOLSJTZ,X,O,X,X,X,X,X,X,X
IOLSJZT,X,O,X,O,X,X,X,X,X
IOLSZTJ,X,X,X,X,O,X,X,O,X
IOLSZJT,X,O,O,O,O,X,X,O,X
IOLZTJS,X,X,O,X,O,O,X,X,X
IOLZTSJ,X,X,X,X,O,X,X,O,X
IOLZJTS,X,O,O,O,O,O,X,X,X
IOLZJST,X,O,O,O,O,O,X,O,X
IOLZSTJ,X,X,X,X,O,O,X,O,X
IOLZSJT,X,O,O,O,O,O,X,O,X
IOJTLSZ,X,X,X,X,X,X,O,X,X
IOJTLZS,X,X,X,X,O,X,O,X,X
IOJTSLZ,X,X,X,X,X,X,O,X,X
IOJTSZL,X,X,X,X,X,X,O,X,X
IOJTZLS,X,X,X,X,O,O,O,X,X
IOJTZSL,X,X,X,X,X,O,O,X,X
IOJLTSZ,X,O,X,X,X,X,X,X,X
IOJLTZS,X,O,X,X,O,X,X,X,X
IOJLSTZ,X,O,X,X,X,X,X,X,X
IOJLSZT,X,O,O,O,X,X,X,X,X
IOJLZTS,X,O,O,O,O,O,X,X,X
IOJLZST,X,O,O,O,O,O,X,X,X
IOJSTLZ,X,X,X,X,X,X,O,X,X
IOJSTZL,X,X,X,X,X,X,O,X,X
IOJSLTZ,X,O,X,X,X,X,X,X,X
IOJSLZT,X,O,O,O,X,X,X,X,X
IOJSZTL,X,X,O,X,X,O,X,X,X
IOJSZLT,X,O,O,O,X,O,X,X,X
IOJZTLS,X,X,O,X,O,O,X,X,X
IOJZTSL,X,X,O,X,X,O,X,X,X
IOJZLTS,X,O,O,O,O,O,X,X,X
IOJZLST,X,O,O,O,O,O,X,X,X
IOJZSTL,X,X,O,X,X,O,X,X,X
IOJZSLT,X,O,O,O,X,O,X,X,X
IOSTLJZ,X,O,X,X,X,X,O,X,X
IOSTLZJ,O,X,X,X,O,X,X,O,X
IOSTJLZ,X,X,X,X,X,X,O,X,X
IOSTJZL,X,X,X,X,X,X,O,X,X
IOSTZLJ,O,X,X,X,O,X,X,O,X
IOSTZJL,O,X,O,X,X,X,O,X,X
IOSLTJZ,X,O,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,X,X,X,X
IOSLJTZ,X,O,X,X,X,X,X,X,X
IOSLJZT,X,O,X,O,X,X,X,X,X
IOSLZTJ,X,X,X,X,O,X,X,O,X
IOSLZJT,X,O,O,O,O,X,X,O,X
IOSJTLZ,X,X,X,X,X,X,O,X,X
IOSJTZL,X,X,X,X,X,X,O,X,X
IOSJLTZ,X,O,X,X,X,X,X,X,X
IOSJLZT,X,O,O,O,X,X,X,X,X
IOSJZTL,X,X,O,X,X,O,X,X,X
IOSJZLT,X,O,O,O,X,O,X,X,X
IOSZTLJ,O,X,X,X,O,O,X,O,X
IOSZTJL,O,X,O,X,X,O,X,X,X
IOSZLTJ,O,X,X,X,O,O,X,O,X
IOSZLJT,X,O,O,O,O,O,X,O,X
IOSZJTL,O,X,O,X,X,O,X,X,X
IOSZJLT,X,O,O,O,X,O,X,O,X
IOZTLJS,O,X,O,X,O,O,X,X,X
IOZTLSJ,O,X,X,X,O,X,X,O,X
IOZTJLS,O,X,O,X,O,O,X,X,X
IOZTJSL,O,X,O,X,X,O,X,X,X
IOZTSLJ,O,X,X,X,O,O,X,O,X
IOZTSJL,O,X,O,X,X,O,X,X,X
IOZLTJS,O,X,O,X,O,O,X,X,X
IOZLTSJ,O,X,X,X,O,X,X,O,X
IOZLJTS,X,O,O,O,O,O,X,X,X
IOZLJST,X,O,O,O,O,O,X,O,X
IOZLSTJ,O,X,X,X,O,O,X,O,X
IOZLSJT,X,O,O,O,O,O,X,O,X
IOZJTLS,O,X,O,X,O,O,X,X,X
IOZJTSL,O,X,O,X,X,O,X,X,X
IOZJLTS,X,O,O,O,O,O,X,X,X
IOZJLST,X,O,O,O,O,O,X,O,X
IOZJSTL,O,X,O,X,X,O,X,X,X
IOZJSLT,X,O,O,O,X,O,X,O,X
IOZSTLJ,O,X,X,X,O,O,X,O,X
IOZSTJL,O,X,O,X,X,O,X,X,X
IOZSLTJ,O,X,X,X,O,O,X,O,X
IOZSLJT,X,O,O,O,O,O,X,O,X
IOZSJTL,O,X,O,X,X,O,X,X,X
IOZSJLT,X,O,O,O,X,O,X,O,X
LTIJSZO,X,O,X,X,X,X,X,X,X
LTIJSOZ,X,O,X,X,X,X,X,X,X
LTIJZSO,X,O,X,X,O,X,X,X,X
LTIJZOS,X,O,X,X,O,X,X,X,X
LTIJOSZ,X,O,X,X,X,X,O,X,X
LTIJOZS,X,O,X,X,O,X,O,X,X
LTISJZO,X,O,X,X,X,X,X,X,X
LTISJOZ,X,O,X,X,X,X,X,X,X
LTISZJO,O,X,X,X,O,X,X,X,X
LTISZOJ,O,X,X,X,O,X,X,X,X
LTISOJZ,X,O,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,O,X,X,X,X
LTIZJSO,O,X,X,X,O,X,X,X,X
LTIZJOS,O,X,X,X,O,X,X,X,X
LTIZSJO,O,X,X,X,O,X,X,X,X
LTIZSOJ,O,X,X,X,O,X,X,X,X
LTIZOJS,O,X,X,X,O,X,X,X,X
LTIZOSJ,O,X,X,X,O,X,X,X,X
LTIOJSZ,X,O,X,X,X,X,O,X,X
LTIOJZS,X,O,X,X,O,X,O,X,X
LTIOSJZ,X,O,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,O,X,X,X,X
LTIOZJS,O,X,X,X,O,X,X,X,X
LTIOZSJ,O,X,X,X,O,X,X,X,X
LTJISZO,X,O,X,X,X,X,X,X,X
LTJISOZ,X,O,X,X,X,X,X,X,X
LTJIZSO,X,O,X,X,X,X,X,X,X
LTJIZOS,X,O,X,X,X,X,X,X,X
LTJIOSZ,X,O,X,X,X,X,O,X,X
LTJIOZS,X,O,X,X,X,X,O,X,X
LTJSIZO,X,X,X,X,X,X,X,X,O
LTJSIOZ,X,X,X,X,X,X,O,X,O
LTJSZIO,O,X,X,O,X,X,X,X,X
LTJSZOI,O,O,X,O,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,X,O,X,X
LTJSOZI,O,O,X,O,X,X,X,X,X
LTJZISO,O,O,X,X,X,X,X,X,X
LTJZIOS,O,O,X,O,X,X,X,X,X
LTJZSIO,O,X,X,O,X,X,X,X,X
LTJZSOI,O,O,X,O,X,X,X,X,X
LTJZOIS,O,O,X,O,X,X,X,X,X
LTJZOSI,X,O,X,O,X,X,X,X,X
LTJOISZ,X,O,X,X,X,X,O,X,X
LTJOIZS,X,O,X,X,X,X,O,X,X
LTJOSIZ,X,X,X,X,X,X,O,X,X
LTJOSZI,X,O,X,O,X,X,X,X,X
LTJOZIS,O,O,X,O,X,X,X,X,X
LTJOZSI,X,O,X,O,X,X,X,X,X
LTSIJZO,X,O,X,X,X,X,X,X,O
LTSIJOZ,X,O,X,X,X,X,O,X,O
LTSIZJO,O,X,X,X,X,X,X,X,X
LTSIZOJ,O,X,X,X,X,X,X,X,X
LTSIOJZ,X,O,X,X,X,X,O,X,X
LTSIOZJ,O,X,X,X,X,X,X,X,X
LTSJIZO,X,X,X,X,X,X,X,X,O
LTSJIOZ,X,X,X,X,X,X,O,X,O
LTSJZIO,O,X,X,O,X,X,X,X,X
LTSJZOI,O,O,X,O,X,X,X,X,X
LTSJOIZ,X,X,X,X,X,X,O,X,X
LTSJOZI,O,O,X,O,X,X,X,X,X
LTSZIJO,O,X,X,X,X,X,X,X,X
LTSZIOJ,O,X,X,X,X,X,X,X,X
LTSZJIO,O,X,X,O,X,X,X,X,X
LTSZJOI,O,X,X,O,X,X,X,X,X
LTSZOIJ,O,X,X,X,X,X,X,O,X
LTSZOJI,O,X,X,O,X,X,X,O,X
LTSOIJZ,X,O,X,X,X,X,O,X,X
LTSOIZJ,O,X,X,X,X,X,X,X,X
LTSOJIZ,X,X,X,X,X,X,O,X,X
LTSOJZI,O,O,X,O,X,X,X,X,X
LTSOZIJ,O,X,X,X,X,X,X,O,X
LTSOZJI,O,X,X,O,X,X,X,O,X
LTZIJSO,O,X,X,X,O,X,X,X,X
LTZIJOS,O,X,X,X,O,X,X,X,X
LTZISJO,O,X,X,X,O,X,X,X,X
LTZISOJ,O,X,X,X,O,X,X,X,X
LTZIOJS,O,X,X,X,O,X,X,X,X
LTZIOSJ,O,X,X,X,O,X,X,X,X
LTZJISO,O,X,X,X,X,X,X,X,X
LTZJIOS,O,X,X,O,X,X,X,X,X
LTZJSIO,O,X,X,O,X,X,X,X,X
LTZJSOI,O,X,X,O,X,X,X,X,X
LTZJOIS,O,X,X,O,X,X,X,X,X
LTZJOSI,X,X,X,O,X,X,X,X,X
LTZSIJO,O,X,X,X,O,X,X,X,X
LTZSIOJ,O,X,X,X,O,X,X,X,X
LTZSJIO,O,X,X,O,X,X,X,X,X
LTZSJOI,O,X,X,O,O,X,X,X,X
LTZSOIJ,O,X,X,X,O,X,X,O,X
LTZSOJI,O,X,X,O,O,X,X,O,X
LTZOIJS,O,X,X,X,O,X,X,X,X
LTZOISJ,O,X,X,X,O,X,X,O,X
