sequence,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhF8mBziB5oBe?rBCmBXsB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhFXiB8nB5oBe?rBCmBzrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeKFJvhFzgBmiB5oBc?sBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KemAJvhFxiBTlBcsB6?tBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeXBJvhFziB5oB2qBC?sBdsB0qB
TSIOZLJ,O,O,X,X,X
TSIOZJL,O,O,X,X,X
TSLIJZO,O,X,X,X,X
TSLIJOZ,O,X,X,X,X
TSLIZJO,O,X,O,X,X
TSLIZOJ,O,X,O,X,X
TSLIOJZ,O,X,X,X,X
TSLIOZJ,O,X,O,X,X
TSLJIZO,O,X,X,X,X
TSLJIOZ,O,X,X,X,X
TSLJZIO,O,X,X,X,X
TSLJZOI,O,X,X,X,X
TSLJOIZ,O,X,X,X,X
TSLJOZI,O,X,X,X,X
TSLZIJO,O,X,O,X,X
TSLZIOJ,O,X,O,O,X
TSLZJIO,O,X,O,X,X
TSLZJOI,O,X,X,X,X
TSLZOIJ,O,X,O,O,X
TSLZOJI,O,X,X,O,X
TSLOIJZ,O,X,X,X,X
TSLOIZJ,O,X,O,X,X
TSLOJIZ,O,X,X,X,X
TSLOJZI,O,X,X,O,X
TSLOZIJ,O,X,O,O,X
TSLOZJI,O,X,X,O,X
TSJILZO,O,X,X,X,X
TSJILOZ,O,X,X,X,X
TSJIZLO,O,O,X,X,X
TSJIZOL,O,O,X,X,X
TSJIOLZ,O,X,X,X,X
TSJIOZL,O,O,X,X,X
TSJLIZO,O,X,X,X,X
TSJLIOZ,O,X,X,X,X
TSJLZIO,O,X,X,X,X
TSJLZOI,O,X,X,X,X
TSJLOIZ,O,X,X,X,X
TSJLOZI,O,X,X,X,X
TSJZILO,O,O,X,X,X
TSJZIOL,O,O,X,X,X
TSJZLIO,O,O,X,X,X
TSJZLOI,O,X,X,X,X
TSJZOIL,O,O,X,X,X
TSJZOLI,O,O,X,X,X
TSJOILZ,O,X,X,X,X
TSJOIZL,O,O,X,X,X
TSJOLIZ,O,X,X,X,X
TSJOLZI,O,X,X,X,X
TSJOZIL,O,O,X,X,X
TSJOZLI,O,O,X,X,X
TSZILJO,O,O,O,X,X
TSZILOJ,O,X,O,X,X
TSZIJLO,O,O,O,X,X
TSZIJOL,O,O,X,X,X
TSZIOLJ,O,O,X,X,X
TSZIOJL,O,O,X,X,X
TSZLIJO,O,O,O,X,X
TSZLIOJ,O,X,O,O,X
TSZLJIO,O,O,O,X,X
TSZLJOI,O,X,X,X,X
TSZLOIJ,O,X,O,O,X
TSZLOJI,O,X,X,O,X
TSZJILO,O,O,O,X,X
TSZJIOL,O,O,X,X,X
TSZJLIO,O,O,O,X,X
TSZJLOI,O,X,X,X,X
TSZJOIL,O,O,X,X,X
TSZJOLI,O,O,X,X,X
TSZOILJ,O,O,X,X,X
TSZOIJL,O,O,X,X,X
TSZOLIJ,O,O,X,O,X
TSZOLJI,O,O,X,O,X
TSZOJIL,O,O,X,X,X
TSZOJLI,O,O,X,O,X
TSOILJZ,O,X,X,X,X
TSOILZJ,O,X,X,X,X
TSOIJLZ,O,X,X,X,X
TSOIJZL,O,O,X,X,X
TSOIZLJ,O,O,X,X,X
