sequence,v115@EhA8HeB8HeD8EeE8Je0/IvhFZmBumBTjBNpBXqB6qB,v115@EhA8HeB8HeD8EeE8Je0/IvhF3hBTjBNpBWrBilBRvB,v115@EhA8HeB8HeD8EeE8JeZEJvhFukBihBTjBcrBXqB9qB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBSrB3pBmqBUqB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBSrBUqBmqB3pB,v115@EhA8HeB8HeD8EeE8JeZEJvhFdmBumBTjBCqBfqB0qB,v115@EhA8HeB8HeD8EeE8JedFJvhFRhBTjBCmB0pBXrBOpB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBcrBGqBiqB3pB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBuqBcrB3pBaqB,v115@EhA8HeB8HeD8EeE8JeRAJvhFumBTjB/qBarB0pBNpB,v115@EhA8HeB8HeD8EeE8Jei/IvhFZmBumBTjBcpBXqB9qB
ILJZSOT,X,X,X,X,X,X,X,X,X,X,O
ILJZOTS,X,X,X,X,O,O,X,X,X,X,X
ILJZOST,X,X,X,X,X,X,X,X,X,X,O
ILJOTSZ,O,O,X,X,X,O,X,X,X,X,X
ILJOTZS,X,O,X,X,X,O,X,X,X,X,X
ILJOSTZ,O,O,X,O,X,O,X,X,X,X,X
ILJOSZT,X,X,X,X,X,X,X,X,X,O,O
ILJOZTS,X,X,X,X,O,O,X,X,X,X,X
ILJOZST,X,X,X,X,X,X,X,X,X,X,O
ILSTJZO,O,O,X,O,X,O,X,X,X,X,X
ILSTJOZ,O,O,X,O,X,O,X,X,X,X,X
ILSTZJO,O,O,X,O,X,X,O,X,X,X,X
ILSTZOJ,O,O,X,O,X,X,O,X,X,X,X
ILSTOJZ,O,O,X,O,X,O,X,X,X,X,X
ILSTOZJ,O,O,X,O,X,X,O,X,X,X,X
ILSJTZO,O,O,X,O,X,O,X,X,X,X,X
ILSJTOZ,O,O,X,O,X,O,X,X,X,X,X
ILSJZTO,X,X,O,X,X,X,O,X,X,O,O
ILSJZOT,X,X,O,X,X,X,O,X,X,O,O
ILSJOTZ,O,O,X,O,X,O,X,X,X,X,X
ILSJOZT,X,X,O,X,X,X,O,X,X,O,O
ILSZTJO,X,X,X,O,O,X,O,X,X,X,X
ILSZTOJ,X,X,X,O,O,X,O,X,X,X,X
ILSZJTO,X,X,O,X,X,X,O,X,X,O,O
ILSZJOT,X,X,O,X,X,X,O,X,X,O,O
ILSZOTJ,X,X,X,O,O,X,O,X,X,X,X
ILSZOJT,X,X,O,X,X,X,O,X,X,O,O
ILSOTJZ,O,O,X,O,X,O,X,X,X,X,X
ILSOTZJ,O,O,X,O,X,X,O,X,X,X,X
ILSOJTZ,O,O,X,O,X,O,X,X,X,X,X
ILSOJZT,X,X,O,X,X,X,O,X,X,O,O
ILSOZTJ,X,X,X,O,O,X,O,X,X,X,X
ILSOZJT,X,X,O,X,X,X,O,X,X,O,O
ILZTJSO,X,X,X,X,O,O,X,X,X,X,X
ILZTJOS,X,X,X,X,O,O,X,X,X,X,X
ILZTSJO,X,X,X,X,O,X,X,X,X,X,X
ILZTSOJ,X,X,X,X,O,X,X,X,X,X,X
ILZTOJS,X,X,X,X,O,O,X,X,X,X,X
ILZTOSJ,X,X,X,X,O,X,X,X,X,X,X
ILZJTSO,X,X,X,X,O,O,X,O,X,X,X
ILZJTOS,X,X,X,X,O,O,X,O,X,X,X
ILZJSTO,X,X,X,X,X,X,X,X,O,X,O
ILZJSOT,X,X,X,X,X,X,X,X,O,X,O
ILZJOTS,X,X,X,X,O,O,X,O,X,X,X
ILZJOST,X,X,X,X,X,X,X,X,O,X,O
ILZSTJO,X,X,X,O,O,X,O,X,X,X,X
ILZSTOJ,X,X,X,O,O,X,O,X,X,X,X
ILZSJTO,X,X,O,X,X,X,O,X,X,X,O
ILZSJOT,X,X,O,X,X,X,O,X,X,X,O
ILZSOTJ,X,X,X,O,O,X,O,X,X,X,X
ILZSOJT,X,X,O,X,X,X,O,X,X,X,O
ILZOTJS,X,X,X,X,O,O,X,X,X,X,X
ILZOTSJ,X,X,X,X,O,X,X,X,X,X,X
ILZOJTS,X,X,X,X,O,O,X,O,X,X,X
ILZOJST,X,X,X,X,X,X,X,X,O,X,O
ILZOSTJ,X,X,X,O,O,X,O,X,X,X,X
ILZOSJT,X,X,O,X,X,X,O,X,X,X,O
ILOTJSZ,O,O,X,X,X,O,X,X,X,X,X
ILOTJZS,X,O,X,X,X,O,X,X,X,X,X
ILOTSJZ,O,O,X,O,X,O,X,X,X,X,X
ILOTSZJ,O,O,X,O,X,X,X,X,X,X,X
ILOTZJS,X,O,X,X,O,O,X,X,X,X,X
ILOTZSJ,X,O,X,X,O,X,X,X,X,X,X
ILOJTSZ,O,O,X,X,X,O,X,X,X,X,X
ILOJTZS,X,O,X,X,X,O,X,X,X,X,X
ILOJSTZ,O,O,X,O,X,O,X,X,X,X,X
ILOJSZT,X,X,X,X,X,X,X,X,X,O,O
ILOJZTS,X,X,X,X,O,O,X,X,X,X,X
ILOJZST,X,X,X,X,X,X,X,X,X,X,O
ILOSTJZ,O,O,X,O,X,O,X,X,X,X,X
ILOSTZJ,O,O,X,O,X,X,O,X,X,X,X
ILOSJTZ,O,O,X,O,X,O,X,X,X,X,X
ILOSJZT,X,X,O,X,X,X,O,X,X,O,O
ILOSZTJ,X,X,X,O,O,X,O,X,X,X,X
ILOSZJT,X,X,O,X,X,X,O,X,X,O,O
ILOZTJS,X,X,X,X,O,O,X,X,X,X,X
ILOZTSJ,X,X,X,X,O,X,X,X,X,X,X
ILOZJTS,X,X,X,X,O,O,X,O,X,X,X
ILOZJST,X,X,X,X,X,X,X,X,O,X,O
ILOZSTJ,X,X,X,O,O,X,O,X,X,X,X
ILOZSJT,X,X,O,X,X,X,O,X,X,X,O
IJTLSZO,O,O,X,X,X,O,X,X,X,X,X
IJTLSOZ,O,O,X,X,X,O,X,X,X,X,X
IJTLZSO,X,O,X,X,X,O,X,X,X,X,X
IJTLZOS,X,O,X,X,X,O,X,X,X,X,X
IJTLOSZ,O,O,X,X,X,O,X,X,X,X,X
IJTLOZS,X,O,X,X,X,O,X,X,X,X,X
IJTSLZO,O,O,X,X,X,X,X,X,X,X,X
IJTSLOZ,O,O,X,X,X,X,X,X,X,X,X
IJTSZLO,O,O,X,X,X,X,X,X,X,X,O
IJTSZOL,O,O,X,X,X,X,X,X,X,X,O
IJTSOLZ,O,O,X,X,X,X,X,X,X,X,X
IJTSOZL,O,O,X,X,X,X,X,X,X,X,O
IJTZLSO,X,O,X,X,X,X,X,O,X,X,X
IJTZLOS,X,O,X,X,X,X,X,O,X,X,X
IJTZSLO,O,O,X,X,X,X,X,O,X,X,O
IJTZSOL,O,O,X,X,X,X,X,O,X,X,O
IJTZOLS,X,O,X,X,X,X,X,O,X,X,X
IJTZOSL,O,O,X,X,X,X,X,O,X,X,O
IJTOLSZ,O,O,X,X,X,O,X,X,X,X,X
IJTOLZS,X,O,X,X,X,O,X,X,X,X,X
IJTOSLZ,O,O,X,X,X,X,X,X,X,X,X
IJTOSZL,O,O,X,X,X,X,X,X,X,X,O
IJTOZLS,X,O,X,X,X,X,X,O,X,X,X
IJTOZSL,O,O,X,X,X,X,X,O,X,X,O
IJLTSZO,O,O,X,X,X,O,X,X,X,X,X
IJLTSOZ,O,O,X,X,X,O,X,X,X,X,X
IJLTZSO,X,O,X,X,X,O,X,X,X,X,X
IJLTZOS,X,O,X,X,X,O,X,X,X,X,X
IJLTOSZ,O,O,X,X,X,O,X,X,X,X,X
IJLTOZS,X,O,X,X,X,O,X,X,X,X,X
IJLSTZO,O,O,X,O,X,O,X,X,X,X,X
IJLSTOZ,O,O,X,O,X,O,X,X,X,X,X
IJLSZTO,X,X,X,X,X,X,X,X,X,O,O
IJLSZOT,X,X,X,X,X,X,X,X,X,O,O
IJLSOTZ,O,O,X,O,X,O,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X,O,O
IJLZTSO,X,X,X,X,O,O,X,X,X,X,X
IJLZTOS,X,X,X,X,O,O,X,X,X,X,X
IJLZSTO,X,X,X,X,X,X,X,X,X,X,O
IJLZSOT,X,X,X,X,X,X,X,X,X,X,O
IJLZOTS,X,X,X,X,O,O,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,X,X,X,X,O
IJLOTSZ,O,O,X,X,X,O,X,X,X,X,X
IJLOTZS,X,O,X,X,X,O,X,X,X,X,X
IJLOSTZ,O,O,X,O,X,O,X,X,X,X,X
IJLOSZT,X,X,X,X,X,X,X,X,X,O,O
IJLOZTS,X,X,X,X,O,O,X,X,X,X,X
IJLOZST,X,X,X,X,X,X,X,X,X,X,O
IJSTLZO,O,O,X,X,X,X,X,X,X,X,X
IJSTLOZ,O,O,X,X,X,X,X,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X,X,X,X,O
IJSTZOL,O,O,O,X,X,X,X,X,X,X,O
IJSTOLZ,O,O,X,X,X,X,X,X,X,X,X
IJSTOZL,O,O,O,X,X,X,X,X,X,X,O
IJSLTZO,O,O,X,X,X,O,X,X,X,X,X
IJSLTOZ,O,O,X,X,X,O,X,X,X,X,X
IJSLZTO,X,X,O,X,X,X,O,X,X,O,O
IJSLZOT,X,X,O,X,X,X,O,X,X,O,O
IJSLOTZ,O,O,X,X,X,O,X,X,X,X,X
IJSLOZT,X,X,O,X,X,X,O,X,X,O,O
IJSZTLO,O,O,O,X,X,X,X,X,X,X,O
IJSZTOL,O,O,O,X,X,X,X,X,X,X,O
IJSZLTO,X,X,O,X,X,X,O,X,X,O,O
IJSZLOT,X,X,O,X,X,X,O,X,X,O,O
IJSZOTL,O,O,O,X,X,X,X,X,X,X,O
IJSZOLT,X,X,O,X,X,X,O,X,X,O,O
IJSOTLZ,O,O,X,X,X,X,X,X,X,X,X
IJSOTZL,O,O,O,X,X,X,X,X,X,X,O
IJSOLTZ,O,O,X,X,X,O,X,X,X,X,X
IJSOLZT,X,X,O,X,X,X,O,X,X,O,O
IJSOZTL,O,O,O,X,X,X,X,X,X,X,O
IJSOZLT,X,X,O,X,X,X,O,X,X,O,O
IJZTLSO,X,O,X,X,X,X,X,O,X,X,X
IJZTLOS,X,O,X,X,X,X,X,O,X,X,X
IJZTSLO,O,O,X,X,X,X,X,O,O,X,O
IJZTSOL,O,O,X,X,X,X,X,O,O,X,O
IJZTOLS,X,O,X,X,X,X,X,O,X,X,X
IJZTOSL,O,O,X,X,X,X,X,O,O,X,O
IJZLTSO,X,X,X,X,X,O,X,O,X,X,X
IJZLTOS,X,X,X,X,X,O,X,O,X,X,X
IJZLSTO,X,X,X,X,X,X,X,X,O,X,O
IJZLSOT,X,X,X,X,X,X,X,X,O,X,O
IJZLOTS,X,X,X,X,X,O,X,O,X,X,X
IJZLOST,X,X,X,X,X,X,X,X,O,X,O
IJZSTLO,O,O,O,X,X,X,X,O,O,X,O
IJZSTOL,O,O,O,X,X,X,X,O,O,X,O
IJZSLTO,X,X,O,X,X,X,O,X,O,O,O
IJZSLOT,X,X,O,X,X,X,O,X,O,O,O
IJZSOTL,O,O,O,X,X,X,X,O,O,X,O
IJZSOLT,X,X,O,X,X,X,O,X,O,O,O
IJZOTLS,X,O,X,X,X,X,X,O,X,X,X
IJZOTSL,O,O,X,X,X,X,X,O,O,X,O
IJZOLTS,X,X,X,X,X,O,X,O,X,X,X
IJZOLST,X,X,X,X,X,X,X,X,O,X,O
IJZOSTL,O,O,O,X,X,X,X,O,O,X,O
IJZOSLT,X,X,O,X,X,X,O,X,O,O,O
IJOTLSZ,O,O,X,X,X,O,X,X,X,X,X
IJOTLZS,X,O,X,X,X,O,X,X,X,X,X
IJOTSLZ,O,O,X,X,X,X,X,X,X,X,X
IJOTSZL,O,O,X,X,X,X,X,X,X,X,O
IJOTZLS,X,O,X,X,X,X,X,O,X,X,X
IJOTZSL,O,O,X,X,X,X,X,O,X,X,O
IJOLTSZ,O,O,X,X,X,O,X,X,X,X,X
IJOLTZS,X,O,X,X,X,O,X,X,X,X,X
IJOLSTZ,O,O,X,O,X,O,X,X,X,X,X
IJOLSZT,X,X,X,X,X,X,X,X,X,O,O
IJOLZTS,X,X,X,X,O,O,X,X,X,X,X
IJOLZST,X,X,X,X,X,X,X,X,X,X,O
IJOSTLZ,O,O,X,X,X,X,X,X,X,X,X
IJOSTZL,O,O,O,X,X,X,X,X,X,X,O
IJOSLTZ,O,O,X,X,X,O,X,X,X,X,X
IJOSLZT,X,X,O,X,X,X,O,X,X,O,O
IJOSZTL,O,O,O,X,X,X,X,X,X,X,O
IJOSZLT,X,X,O,X,X,X,O,X,X,O,O
IJOZTLS,X,O,X,X,X,X,X,O,X,X,X
IJOZTSL,O,O,X,X,X,X,X,O,O,X,O
IJOZLTS,X,X,X,X,X,O,X,O,X,X,X
IJOZLST,X,X,X,X,X,X,X,X,O,X,O
IJOZSTL,O,O,O,X,X,X,X,O,O,X,O
IJOZSLT,X,X,O,X,X,X,O,X,O,O,O
ISTLJZO,O,O,X,O,X,X,X,X,X,X,X
ISTLJOZ,O,O,X,O,X,X,X,X,X,X,X
ISTLZJO,O,O,X,O,X,X,O,X,X,X,X
ISTLZOJ,O,O,X,O,X,X,O,X,X,X,X
ISTLOJZ,O,O,X,O,X,X,X,X,X,X,X
ISTLOZJ,O,O,X,O,X,X,O,X,X,X,X
ISTJLZO,O,O,X,X,X,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,X,X,X,X,X,X
ISTJZLO,O,O,O,X,X,X,X,X,X,X,O
ISTJZOL,O,O,O,X,X,X,X,X,X,X,O
ISTJOLZ,O,O,X,X,X,X,X,X,X,X,X
ISTJOZL,O,O,O,X,X,X,X,X,X,X,O
ISTZLJO,O,O,X,X,X,X,O,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,O,X,X,X,X
ISTZJLO,O,O,O,X,X,X,X,X,O,X,O
ISTZJOL,O,O,O,X,X,X,X,X,O,X,O
ISTZOLJ,O,O,X,X,X,X,O,X,X,X,X
ISTZOJL,O,O,O,X,X,X,X,X,O,X,O
ISTOLJZ,O,O,X,O,X,X,X,X,X,X,X
ISTOLZJ,O,O,X,O,X,X,O,X,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,X,X,X,X
ISTOJZL,O,O,O,X,X,X,X,X,X,X,O
ISTOZLJ,O,O,X,X,X,X,O,X,X,X,X
ISTOZJL,O,O,O,X,X,X,X,X,O,X,O
ISLTJZO,O,O,X,O,X,O,X,X,X,X,X
ISLTJOZ,O,O,X,O,X,O,X,X,X,X,X
ISLTZJO,O,O,X,O,X,X,O,X,X,X,X
ISLTZOJ,O,O,X,O,X,X,O,X,X,X,X
ISLTOJZ,O,O,X,O,X,O,X,X,X,X,X
ISLTOZJ,O,O,X,O,X,X,O,X,X,X,X
ISLJTZO,O,O,X,O,X,O,X,X,X,X,X
ISLJTOZ,O,O,X,O,X,O,X,X,X,X,X
ISLJZTO,X,X,O,X,X,X,O,X,X,O,O
ISLJZOT,X,X,O,X,X,X,O,X,X,O,O
ISLJOTZ,O,O,X,O,X,O,X,X,X,X,X
ISLJOZT,X,X,O,X,X,X,O,X,X,O,O
ISLZTJO,X,X,X,O,O,X,O,X,X,X,X
ISLZTOJ,X,X,X,O,O,X,O,X,X,X,X
ISLZJTO,X,X,O,X,X,X,O,X,X,O,O
ISLZJOT,X,X,O,X,X,X,O,X,X,O,O
ISLZOTJ,X,X,X,O,O,X,O,X,X,X,X
ISLZOJT,X,X,O,X,X,X,O,X,X,O,O
ISLOTJZ,O,O,X,O,X,O,X,X,X,X,X
ISLOTZJ,O,O,X,O,X,X,O,X,X,X,X
ISLOJTZ,O,O,X,O,X,O,X,X,X,X,X
ISLOJZT,X,X,O,X,X,X,O,X,X,O,O
ISLOZTJ,X,X,X,O,O,X,O,X,X,X,X
ISLOZJT,X,X,O,X,X,X,O,X,X,O,O
ISJTLZO,O,O,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,X,X,X,X,X
ISJTZLO,O,O,O,X,X,X,X,X,X,X,O
ISJTZOL,O,O,O,X,X,X,X,X,X,X,O
ISJTOLZ,O,O,X,X,X,X,X,X,X,X,X
ISJTOZL,O,O,O,X,X,X,X,X,X,X,O
ISJLTZO,O,O,X,X,X,O,X,X,X,X,X
ISJLTOZ,O,O,X,X,X,O,X,X,X,X,X
ISJLZTO,X,X,O,X,X,X,O,X,X,O,O
ISJLZOT,X,X,O,X,X,X,O,X,X,O,O
ISJLOTZ,O,O,X,X,X,O,X,X,X,X,X
ISJLOZT,X,X,O,X,X,X,O,X,X,O,O
ISJZTLO,O,O,O,X,X,X,X,X,X,X,O
ISJZTOL,O,O,O,X,X,X,X,X,X,X,O
ISJZLTO,X,X,O,X,X,X,O,X,X,O,O
ISJZLOT,X,X,O,X,X,X,O,X,X,O,O
ISJZOTL,O,O,O,X,X,X,X,X,X,X,O
ISJZOLT,X,X,O,X,X,X,O,X,X,O,O
ISJOTLZ,O,O,X,X,X,X,X,X,X,X,X
ISJOTZL,O,O,O,X,X,X,X,X,X,X,O
ISJOLTZ,O,O,X,X,X,O,X,X,X,X,X
ISJOLZT,X,X,O,X,X,X,O,X,X,O,O
ISJOZTL,O,O,O,X,X,X,X,X,X,X,O
ISJOZLT,X,X,O,X,X,X,O,X,X,O,O
ISZTLJO,O,O,X,X,X,X,O,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,O,X,X,X,X
ISZTJLO,O,O,O,X,X,X,X,X,O,X,O
ISZTJOL,O,O,O,X,X,X,X,X,O,X,O
ISZTOLJ,O,O,X,X,X,X,O,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,X,O,X,O
ISZLTJO,X,X,X,X,X,X,O,X,X,X,X
ISZLTOJ,X,X,X,X,X,X,O,X,X,X,X
ISZLJTO,X,X,O,X,X,X,O,X,X,O,O
ISZLJOT,X,X,O,X,X,X,O,X,X,O,O
ISZLOTJ,X,X,X,X,X,X,O,X,X,X,X
ISZLOJT,X,X,O,X,X,X,O,X,X,O,O
ISZJTLO,O,O,O,X,X,X,X,O,O,X,O
ISZJTOL,O,O,O,X,X,X,X,O,O,X,O
ISZJLTO,X,X,O,X,X,X,O,X,O,O,O
ISZJLOT,X,X,O,X,X,X,O,X,O,O,O
ISZJOTL,O,O,O,X,X,X,X,O,O,X,O
ISZJOLT,X,X,O,X,X,X,O,X,O,O,O
ISZOTLJ,O,O,X,X,X,X,O,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X,X,O,X,O
ISZOLTJ,X,X,X,X,X,X,O,X,X,X,X
ISZOLJT,X,X,O,X,X,X,O,X,X,O,O
ISZOJTL,O,O,O,X,X,X,X,O,O,X,O
ISZOJLT,X,X,O,X,X,X,O,X,O,O,O
ISOTLJZ,O,O,X,O,X,X,X,X,X,X,X
ISOTLZJ,O,O,X,O,X,X,O,X,X,X,X
ISOTJLZ,O,O,X,X,X,X,X,X,X,X,X
ISOTJZL,O,O,O,X,X,X,X,X,X,X,O
ISOTZLJ,O,O,X,X,X,X,O,X,X,X,X
ISOTZJL,O,O,O,X,X,X,X,X,O,X,O
ISOLTJZ,O,O,X,O,X,O,X,X,X,X,X
ISOLTZJ,O,O,X,O,X,X,O,X,X,X,X
ISOLJTZ,O,O,X,O,X,O,X,X,X,X,X
ISOLJZT,X,X,O,X,X,X,O,X,X,O,O
ISOLZTJ,X,X,X,O,O,X,O,X,X,X,X
ISOLZJT,X,X,O,X,X,X,O,X,X,O,O
ISOJTLZ,O,O,X,X,X,X,X,X,X,X,X
ISOJTZL,O,O,O,X,X,X,X,X,X,X,O
ISOJLTZ,O,O,X,X,X,O,X,X,X,X,X
ISOJLZT,X,X,O,X,X,X,O,X,X,O,O
ISOJZTL,O,O,O,X,X,X,X,X,X,X,O
ISOJZLT,X,X,O,X,X,X,O,X,X,O,O
ISOZTLJ,O,O,X,X,X,X,O,X,X,X,X
ISOZTJL,O,O,O,X,X,X,X,X,O,X,O
ISOZLTJ,X,X,X,X,X,X,O,X,X,X,X
ISOZLJT,X,X,O,X,X,X,O,X,X,O,O
ISOZJTL,O,O,O,X,X,X,X,O,O,X,O
ISOZJLT,X,X,O,X,X,X,O,X,O,O,O
IZTLJSO,X,O,X,X,O,X,X,X,X,X,X
IZTLJOS,X,O,X,X,O,X,X,X,X,X,X
IZTLSJO,X,O,X,X,O,X,X,X,X,X,X
IZTLSOJ,X,O,X,X,O,X,X,X,X,X,X
IZTLOJS,X,O,X,X,O,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,O,X,X,X,X,X,X
IZTJLSO,X,O,X,X,X,X,X,O,X,X,X
IZTJLOS,X,O,X,X,X,X,X,O,X,X,X
IZTJSLO,O,O,X,X,X,X,X,O,O,X,O
IZTJSOL,O,O,X,X,X,X,X,O,O,X,O
IZTJOLS,X,O,X,X,X,X,X,O,X,X,X
IZTJOSL,O,O,X,X,X,X,X,O,O,X,O
IZTSLJO,O,O,X,X,X,X,O,X,X,X,X
IZTSLOJ,O,O,X,X,X,X,O,X,X,X,X
IZTSJLO,O,O,O,X,X,X,X,X,X,X,O
IZTSJOL,O,O,O,X,X,X,X,X,X,X,O
IZTSOLJ,O,O,X,X,X,X,O,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X,X,X,O
IZTOLJS,X,O,X,X,O,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,O,X,X,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X,O,X,X,X
IZTOJSL,O,O,X,X,X,X,X,O,O,X,O
IZTOSLJ,O,O,X,X,X,X,O,X,X,X,X
IZTOSJL,O,O,O,X,X,X,X,X,X,X,O
IZLTJSO,X,X,X,X,O,O,X,X,X,X,X
IZLTJOS,X,X,X,X,O,O,X,X,X,X,X
IZLTSJO,X,X,X,X,O,X,X,X,X,X,X
IZLTSOJ,X,X,X,X,O,X,X,X,X,X,X
IZLTOJS,X,X,X,X,O,O,X,X,X,X,X
IZLTOSJ,X,X,X,X,O,X,X,X,X,X,X
IZLJTSO,X,X,X,X,O,O,X,O,X,X,X
IZLJTOS,X,X,X,X,O,O,X,O,X,X,X
IZLJSTO,X,X,X,X,X,X,X,X,O,X,O
IZLJSOT,X,X,X,X,X,X,X,X,O,X,O
IZLJOTS,X,X,X,X,O,O,X,O,X,X,X
IZLJOST,X,X,X,X,X,X,X,X,O,X,O
IZLSTJO,X,X,X,O,O,X,O,X,X,X,X
IZLSTOJ,X,X,X,O,O,X,O,X,X,X,X
IZLSJTO,X,X,O,X,X,X,O,X,X,X,O
IZLSJOT,X,X,O,X,X,X,O,X,X,X,O
IZLSOTJ,X,X,X,O,O,X,O,X,X,X,X
IZLSOJT,X,X,O,X,X,X,O,X,X,X,O
IZLOTJS,X,X,X,X,O,O,X,X,X,X,X
IZLOTSJ,X,X,X,X,O,X,X,X,X,X,X
IZLOJTS,X,X,X,X,O,O,X,O,X,X,X
IZLOJST,X,X,X,X,X,X,X,X,O,X,O
IZLOSTJ,X,X,X,O,O,X,O,X,X,X,X
IZLOSJT,X,X,O,X,X,X,O,X,X,X,O
IZJTLSO,X,O,X,X,X,X,X,O,X,X,X
IZJTLOS,X,O,X,X,X,X,X,O,X,X,X
IZJTSLO,O,O,X,X,X,X,X,O,O,X,O
IZJTSOL,O,O,X,X,X,X,X,O,O,X,O
IZJTOLS,X,O,X,X,X,X,X,O,X,X,X
IZJTOSL,O,O,X,X,X,X,X,O,O,X,O
IZJLTSO,X,X,X,X,X,O,X,O,X,X,X
IZJLTOS,X,X,X,X,X,O,X,O,X,X,X
IZJLSTO,X,X,X,X,X,X,X,X,O,X,O
IZJLSOT,X,X,X,X,X,X,X,X,O,X,O
IZJLOTS,X,X,X,X,X,O,X,O,X,X,X
IZJLOST,X,X,X,X,X,X,X,X,O,X,O
IZJSTLO,O,O,O,X,X,X,X,O,O,X,O
IZJSTOL,O,O,O,X,X,X,X,O,O,X,O
IZJSLTO,X,X,O,X,X,X,O,X,O,O,O
IZJSLOT,X,X,O,X,X,X,O,X,O,O,O
IZJSOTL,O,O,O,X,X,X,X,O,O,X,O
IZJSOLT,X,X,O,X,X,X,O,X,O,O,O
IZJOTLS,X,O,X,X,X,X,X,O,X,X,X
IZJOTSL,O,O,X,X,X,X,X,O,O,X,O
IZJOLTS,X,X,X,X,X,O,X,O,X,X,X
IZJOLST,X,X,X,X,X,X,X,X,O,X,O
IZJOSTL,O,O,O,X,X,X,X,O,O,X,O
IZJOSLT,X,X,O,X,X,X,O,X,O,O,O
IZSTLJO,O,O,X,X,X,X,O,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,O,X,X,X,X
IZSTJLO,O,O,O,X,X,X,X,X,O,X,O
IZSTJOL,O,O,O,X,X,X,X,X,O,X,O
IZSTOLJ,O,O,X,X,X,X,O,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X,O,X,O
IZSLTJO,X,X,X,X,X,X,O,X,X,X,X
IZSLTOJ,X,X,X,X,X,X,O,X,X,X,X
IZSLJTO,X,X,O,X,X,X,O,X,X,O,O
IZSLJOT,X,X,O,X,X,X,O,X,X,O,O
IZSLOTJ,X,X,X,X,X,X,O,X,X,X,X
IZSLOJT,X,X,O,X,X,X,O,X,X,O,O
IZSJTLO,O,O,O,X,X,X,X,O,O,X,O
IZSJTOL,O,O,O,X,X,X,X,O,O,X,O
IZSJLTO,X,X,O,X,X,X,O,X,O,O,O
IZSJLOT,X,X,O,X,X,X,O,X,O,O,O
IZSJOTL,O,O,O,X,X,X,X,O,O,X,O
IZSJOLT,X,X,O,X,X,X,O,X,O,O,O
IZSOTLJ,O,O,X,X,X,X,O,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,X,O,X,O
IZSOLTJ,X,X,X,X,X,X,O,X,X,X,X
IZSOLJT,X,X,O,X,X,X,O,X,X,O,O
IZSOJTL,O,O,O,X,X,X,X,O,O,X,O
IZSOJLT,X,X,O,X,X,X,O,X,O,O,O
IZOTLJS,X,O,X,X,O,X,X,X,X,X,X
IZOTLSJ,X,O,X,X,O,X,X,X,X,X,X
IZOTJLS,X,O,X,X,X,X,X,O,X,X,X
IZOTJSL,O,O,X,X,X,X,X,O,O,X,O
IZOTSLJ,O,O,X,X,X,X,O,X,X,X,X
IZOTSJL,O,O,O,X,X,X,X,X,X,X,O
IZOLTJS,X,X,X,X,O,O,X,X,X,X,X
IZOLTSJ,X,X,X,X,O,X,X,X,X,X,X
IZOLJTS,X,X,X,X,O,O,X,O,X,X,X
IZOLJST,X,X,X,X,X,X,X,X,O,X,O
IZOLSTJ,X,X,X,O,O,X,O,X,X,X,X
IZOLSJT,X,X,O,X,X,X,O,X,X,X,O
IZOJTLS,X,O,X,X,X,X,X,O,X,X,X
IZOJTSL,O,O,X,X,X,X,X,O,O,X,O
IZOJLTS,X,X,X,X,X,O,X,O,X,X,X
IZOJLST,X,X,X,X,X,X,X,X,O,X,O
IZOJSTL,O,O,O,X,X,X,X,O,O,X,O
IZOJSLT,X,X,O,X,X,X,O,X,O,O,O
IZOSTLJ,O,O,X,X,X,X,O,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X,X,O,X,O
IZOSLTJ,X,X,X,X,X,X,O,X,X,X,X
IZOSLJT,X,X,O,X,X,X,O,X,X,O,O
IZOSJTL,O,O,O,X,X,X,X,O,O,X,O
IZOSJLT,X,X,O,X,X,X,O,X,O,O,O
IOTLJSZ,O,O,X,X,X,O,X,X,X,X,X
IOTLJZS,X,O,X,X,X,O,X,X,X,X,X
IOTLSJZ,O,O,X,O,X,O,X,X,X,X,X
IOTLSZJ,O,O,X,O,X,X,X,X,X,X,X
IOTLZJS,X,O,X,X,O,O,X,X,X,X,X
