sequence,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jei/IvhF5lBGiB?TjB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeKEJvhFzfB5lB?XjBctBFsBGsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jex/IvhFXjBTkB?6qBctBGsBFsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeOEJvhF8kB5lB?SsBToBFsBXtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je2EJvhF5lBSsB?ToB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je5FJvhFTjBlkB?WtBikBfsB0sB
TSJZLOI,O,X,X,X,X,X
TSJZOIL,O,X,X,X,X,X
TSJZOLI,O,X,X,X,X,X
TSJOILZ,O,X,X,X,X,O
TSJOIZL,O,X,X,X,X,O
TSJOLIZ,O,X,X,X,X,X
TSJOLZI,O,X,X,X,X,X
TSJOZIL,O,X,X,X,X,X
TSJOZLI,O,X,X,X,X,X
TSZILJO,O,O,X,X,X,X
TSZILOJ,O,O,X,X,X,X
TSZIJLO,O,O,X,X,X,X
TSZIJOL,O,X,X,X,X,X
TSZIOLJ,O,O,X,X,X,X
TSZIOJL,O,X,X,X,X,X
TSZLIJO,O,O,X,X,X,X
TSZLIOJ,O,O,X,X,X,X
TSZLJIO,O,O,X,X,X,X
TSZLJOI,O,O,X,X,X,X
TSZLOIJ,O,O,X,X,X,X
TSZLOJI,O,O,X,X,X,X
TSZJILO,O,O,X,X,X,X
TSZJIOL,O,X,X,X,X,X
TSZJLIO,O,O,X,X,X,X
TSZJLOI,O,O,X,X,X,X
TSZJOIL,O,X,X,X,X,X
TSZJOLI,O,X,X,X,X,X
TSZOILJ,O,O,X,X,X,X
TSZOIJL,O,X,X,X,X,X
TSZOLIJ,O,O,X,X,X,X
TSZOLJI,O,O,X,X,X,X
TSZOJIL,O,X,X,X,X,X
TSZOJLI,O,X,X,X,X,X
TSOILJZ,O,X,X,X,X,X
TSOILZJ,O,X,X,X,X,X
TSOIJLZ,O,X,X,X,X,X
TSOIJZL,O,X,X,X,X,X
TSOIZLJ,O,X,X,X,X,X
TSOIZJL,O,X,X,X,X,X
TSOLIJZ,O,X,X,X,X,X
TSOLIZJ,O,X,X,X,X,X
TSOLJIZ,O,X,X,X,X,X
TSOLJZI,O,X,X,X,X,X
TSOLZIJ,O,X,X,X,X,X
TSOLZJI,O,X,X,X,X,X
TSOJILZ,O,X,X,X,X,X
TSOJIZL,O,X,X,X,X,X
TSOJLIZ,O,X,X,X,X,X
TSOJLZI,O,X,X,X,X,X
TSOJZIL,O,X,X,X,X,X
TSOJZLI,O,X,X,X,X,X
TSOZILJ,O,X,X,X,X,X
TSOZIJL,O,X,X,X,X,X
TSOZLIJ,O,X,X,X,X,X
TSOZLJI,O,X,X,X,X,X
