sequence,v115@ChC8HeB8GeB8CeA8DeD8KeT/IvhF/lBUhBeoB5oBlp?ByvB,v115@ChC8HeB8GeB8CeA8DeD8Kel/IvhFUhBeoB5oB/pBTl?ByvB,v115@ChC8HeB8GeB8CeA8DeD8KeKEJvhFzfBUhBeoB5oBfr?BVvB,v115@ChC8HeB8GeB8CeA8DeD8Kei/IvhFUhBTjB3kB1qBGt?BRvB,v115@ChC8HeB8GeB8CeA8DeD8KeT/IvhFxlB6tBXoB0pBlq?BmqB,v115@ChC8HeB8GeB8CeA8DeD8Kex/IvhFVmBTjB/pBUlByv?BGtB,v115@ChC8HeB8GeB8CeA8DeD8Kem/IvhFUhBTkB1qBXoB6t?BRvB,v115@ChC8HeB8GeB8CeA8DeD8KeUBJvhFxkBXoB6tBlpBzq?BmpB,v115@ChC8HeB8GeB8CeA8DeD8KeKEJvhFflBVmBTjB0lBGt?BRvB,v115@ChC8HeB8GeB8CeA8DeD8KelAJvhFTjBikBXmB0kBGt?BRvB,v115@ChC8HeB8GeB8CeA8DeD8Kex/IvhFTjB/pBUlBFmBGt?ByvB,v115@ChC8HeB8GeB8CeA8DeD8Kei/IvhFeoB5oBFlBXmB0p?BzqB,v115@ChC8HeB8GeB8CeA8DeD8Kex/IvhFVmBmkB6tBXoB0p?BzqB
ITJOLSZ,O,X,O,O,X,O,O,X,O,O,X,X,X
ITJOLZS,O,X,O,O,X,O,O,X,O,X,X,X,X
ITJOSLZ,O,X,O,O,X,O,O,X,O,O,X,X,X
ITJOSZL,O,X,O,O,X,O,O,X,X,O,O,X,X
ITJOZLS,O,X,X,O,X,O,O,X,O,X,X,X,X
ITJOZSL,O,X,X,O,X,O,O,X,X,X,X,X,X
ITSLJZO,X,X,O,O,X,O,X,X,O,O,X,X,X
ITSLJOZ,X,X,O,O,X,O,X,X,O,O,X,X,X
ITSLZJO,X,X,O,O,X,O,X,X,O,O,X,X,X
ITSLZOJ,X,X,O,O,O,O,O,X,X,X,X,X,X
ITSLOJZ,X,X,O,O,X,O,O,X,O,O,X,X,X
ITSLOZJ,X,X,O,O,X,X,O,X,X,X,X,X,X
ITSJLZO,O,X,O,O,X,O,X,X,O,O,X,X,X
ITSJLOZ,O,X,O,O,X,O,X,X,O,O,X,X,X
ITSJZLO,O,X,O,O,X,O,X,X,X,O,O,X,X
ITSJZOL,O,X,O,O,X,O,O,X,X,O,O,X,X
ITSJOLZ,O,X,O,O,X,O,O,X,O,O,X,X,X
ITSJOZL,O,X,O,O,X,O,O,X,X,O,O,X,X
ITSZLJO,X,X,O,O,X,O,X,X,X,O,O,X,X
ITSZLOJ,X,X,O,O,O,X,O,X,X,X,X,X,X
ITSZJLO,O,X,O,O,X,O,X,X,X,O,O,X,X
ITSZJOL,O,X,O,O,X,O,O,X,X,O,O,X,X
ITSZOLJ,X,X,X,O,O,X,O,X,X,X,X,X,X
ITSZOJL,O,X,X,O,X,O,O,X,X,X,O,X,X
ITSOLJZ,X,X,X,O,X,X,O,X,X,O,X,X,X
ITSOLZJ,X,X,X,O,X,X,O,O,X,X,X,X,X
ITSOJLZ,O,X,X,O,X,O,O,X,X,O,X,X,X
ITSOJZL,O,X,X,O,X,O,O,O,X,O,X,X,X
ITSOZLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
ITSOZJL,O,X,X,O,X,X,O,O,X,X,X,X,X
ITZLJSO,X,X,X,O,X,X,X,X,O,X,X,X,O
ITZLJOS,X,X,X,O,O,X,X,X,O,X,X,X,O
ITZLSJO,X,X,X,O,X,X,X,X,O,X,X,X,X
ITZLSOJ,X,X,X,O,O,X,O,X,X,X,X,X,X
ITZLOJS,X,X,X,X,O,X,O,X,X,X,X,X,X
ITZLOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
ITZJLSO,X,X,X,O,X,X,X,X,O,X,X,X,O
ITZJLOS,X,X,X,O,O,X,X,X,O,X,X,X,O
ITZJSLO,X,X,X,O,X,X,X,X,X,X,X,X,O
ITZJSOL,X,X,X,O,X,X,O,X,X,X,X,X,X
ITZJOLS,X,X,X,O,O,O,O,X,O,X,X,X,O
ITZJOSL,X,X,X,O,X,O,O,X,X,X,X,X,X
ITZSLJO,X,X,X,O,X,X,X,X,X,X,X,X,X
ITZSLOJ,X,X,X,O,O,X,O,X,X,X,X,X,X
ITZSJLO,X,X,X,O,X,X,X,X,X,X,X,X,X
ITZSJOL,X,X,X,O,X,X,O,X,X,X,X,X,X
ITZSOLJ,X,X,X,O,O,X,O,X,X,X,X,X,X
ITZSOJL,X,X,X,O,X,X,O,X,X,X,X,X,X
ITZOLJS,X,X,X,X,O,X,O,X,X,X,X,X,X
ITZOLSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
ITZOJLS,X,X,X,O,O,X,O,X,X,X,X,X,X
ITZOJSL,X,X,X,O,X,X,O,X,X,X,X,X,X
ITZOSLJ,X,X,X,O,O,X,O,X,X,X,X,X,X
ITZOSJL,X,X,X,O,X,X,O,X,X,X,X,X,X
ITOLJSZ,O,X,X,X,X,X,O,X,O,X,X,X,X
ITOLJZS,O,X,X,X,X,X,O,X,O,X,X,X,X
ITOLSJZ,O,X,X,X,X,X,O,X,O,X,X,X,X
ITOLSZJ,O,X,X,X,X,X,O,O,X,X,X,X,X
ITOLZJS,X,X,X,X,O,X,O,X,X,X,X,X,O
ITOLZSJ,X,X,X,X,O,X,O,O,X,X,X,X,X
ITOJLSZ,O,X,X,O,X,O,O,X,O,X,X,X,X
ITOJLZS,O,X,X,O,X,O,O,X,O,X,X,X,X
ITOJSLZ,O,X,X,O,X,O,O,X,O,X,X,X,X
ITOJSZL,O,X,X,O,X,O,O,O,X,X,X,X,X
ITOJZLS,O,X,X,O,X,O,O,X,O,X,X,X,X
ITOJZSL,O,X,X,O,X,O,O,O,X,X,X,X,X
ITOSLJZ,X,X,X,O,X,X,O,X,X,X,X,X,X
ITOSLZJ,X,X,X,O,X,X,O,O,X,X,X,X,X
ITOSJLZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ITOSJZL,O,X,X,O,X,X,O,O,X,X,X,X,X
ITOSZLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
ITOSZJL,O,X,X,O,X,X,O,O,X,X,X,X,X
ITOZLJS,X,X,X,X,O,X,O,X,X,X,X,X,O
ITOZLSJ,X,X,X,X,O,X,O,O,X,X,X,X,X
ITOZJLS,X,X,X,O,O,X,O,X,X,X,X,X,O
ITOZJSL,X,X,X,O,X,X,O,O,X,X,X,X,O
ITOZSLJ,X,X,X,O,O,X,O,O,X,X,X,X,X
ITOZSJL,X,X,X,O,X,X,O,O,X,X,X,X,X
ILTJSZO,O,X,O,O,X,O,X,X,O,O,X,X,X
ILTJSOZ,O,X,O,O,X,O,X,X,O,O,X,X,X
ILTJZSO,O,X,O,O,X,X,X,X,O,X,X,X,X
ILTJZOS,O,X,O,O,O,O,X,X,O,X,X,X,X
ILTJOSZ,O,X,O,O,X,O,X,X,O,O,X,X,X
ILTJOZS,O,X,O,O,X,O,X,X,O,X,X,X,X
ILTSJZO,O,X,O,O,X,O,X,X,O,O,X,X,X
ILTSJOZ,O,X,O,O,X,O,X,X,O,O,X,X,X
ILTSZJO,O,X,O,O,X,O,X,X,O,O,X,X,X
ILTSZOJ,O,X,O,O,O,O,O,X,X,X,X,X,X
ILTSOJZ,O,X,O,O,X,O,O,X,O,O,X,X,X
ILTSOZJ,O,X,O,O,X,X,O,X,X,X,X,X,X
ILTZJSO,X,X,X,O,X,X,X,X,O,X,X,X,O
ILTZJOS,X,X,X,O,O,O,X,X,O,X,X,X,O
ILTZSJO,X,X,X,O,X,X,X,X,O,X,X,X,X
ILTZSOJ,X,X,X,O,O,X,O,X,X,X,X,X,X
ILTZOJS,X,X,X,X,O,X,O,X,X,X,X,X,X
ILTZOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
ILTOJSZ,O,X,O,X,X,O,O,X,O,X,X,X,X
ILTOJZS,O,X,O,X,X,O,O,X,O,X,X,X,X
ILTOSJZ,O,X,O,X,X,X,O,X,O,X,X,X,X
ILTOSZJ,O,X,O,X,X,X,O,X,X,X,X,X,X
ILTOZJS,X,X,X,X,O,X,O,X,X,X,X,X,O
ILTOZSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
ILJTSZO,O,O,O,O,X,O,X,X,O,O,X,X,X
ILJTSOZ,O,O,O,O,X,O,X,X,O,O,X,X,X
ILJTZSO,O,O,O,O,X,X,X,X,O,X,X,X,X
ILJTZOS,O,O,O,O,O,O,X,X,O,X,X,X,X
ILJTOSZ,O,O,O,O,X,O,X,X,O,O,X,X,X
ILJTOZS,O,O,O,O,X,O,X,X,O,X,X,X,X
ILJSTZO,O,O,O,X,X,O,X,X,O,O,X,X,X
ILJSTOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
ILJSZTO,O,O,X,X,X,X,X,X,O,O,X,X,X
ILJSZOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILJSOTZ,O,O,O,X,X,O,X,X,O,O,X,X,X
ILJSOZT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILJZTSO,O,O,O,O,X,X,X,X,O,X,X,X,X
ILJZTOS,O,O,O,O,X,X,X,X,O,X,X,X,X
ILJZSTO,O,O,X,X,X,X,X,X,O,O,X,X,X
ILJZSOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILJZOTS,X,O,O,O,O,X,X,X,O,X,X,X,X
ILJZOST,O,O,X,X,O,X,X,X,O,O,X,X,X
ILJOTSZ,O,O,O,O,X,O,X,X,O,O,X,X,X
ILJOTZS,O,O,O,O,X,O,X,X,O,X,X,X,X
ILJOSTZ,O,O,O,X,X,O,X,X,O,O,X,X,X
ILJOSZT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILJOZTS,X,O,O,O,X,X,X,X,O,X,X,X,X
ILJOZST,O,O,X,X,X,X,X,X,O,O,X,X,X
ILSTJZO,O,O,X,X,X,O,X,X,O,O,X,X,X
ILSTJOZ,O,O,X,X,X,O,X,X,O,O,X,X,X
ILSTZJO,O,O,X,X,X,O,X,X,O,O,X,X,X
ILSTZOJ,O,X,X,X,O,O,O,X,X,X,X,X,X
ILSTOJZ,O,X,X,X,X,O,O,X,O,O,X,X,X
ILSTOZJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ILSJTZO,O,O,X,X,X,O,X,X,O,O,X,X,X
ILSJTOZ,O,O,X,X,X,O,X,X,O,O,X,X,X
ILSJZTO,O,O,X,X,X,X,X,X,O,O,X,X,X
ILSJZOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILSJOTZ,O,O,X,X,X,O,X,X,O,O,X,X,X
ILSJOZT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILSZTJO,O,O,X,X,X,X,X,X,O,O,X,X,X
ILSZTOJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X,X,O,O,X,X,X
ILSZJOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILSZOTJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ILSZOJT,X,X,X,X,O,X,X,X,X,X,X,X,X
ILSOTJZ,X,O,X,X,X,X,O,X,O,O,X,X,X
ILSOTZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILSOJTZ,X,O,X,X,X,X,X,X,O,O,X,X,X
ILSOJZT,X,O,X,X,X,X,X,X,O,O,X,X,X
ILSOZTJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSOZJT,X,O,X,X,X,X,X,X,X,X,X,X,X
ILZTJSO,X,X,X,O,X,X,X,X,O,X,X,X,O
ILZTJOS,X,X,X,O,O,X,X,X,O,X,X,X,O
ILZTSJO,X,X,X,O,X,X,X,X,O,X,X,X,X
ILZTSOJ,X,X,X,O,O,X,O,X,X,X,X,X,X
ILZTOJS,X,X,X,X,O,X,O,X,X,X,X,X,X
ILZTOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
ILZJTSO,O,O,X,O,X,X,X,X,O,X,X,X,O
ILZJTOS,X,O,X,O,X,X,X,X,O,X,X,X,O
ILZJSTO,O,O,X,X,X,X,X,X,O,O,X,X,X
ILZJSOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILZJOTS,X,O,X,O,O,X,X,X,O,X,X,X,X
ILZJOST,O,O,X,X,O,X,X,X,O,O,X,X,X
ILZSTJO,O,O,X,X,X,X,X,X,O,O,X,X,X
ILZSTOJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X,O,O,X,X,X
ILZSJOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILZSOTJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ILZSOJT,X,X,X,X,O,X,X,X,X,X,X,X,X
ILZOTJS,X,X,X,X,O,X,X,X,X,X,X,X,O
ILZOTSJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ILZOJTS,X,O,X,X,O,X,X,X,X,X,X,X,X
ILZOJST,X,O,X,X,O,X,X,X,X,X,X,X,X
ILZOSTJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILZOSJT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOTJSZ,X,X,O,X,X,X,O,X,O,X,X,X,X
ILOTJZS,X,X,O,X,X,X,O,X,O,X,X,X,X
ILOTSJZ,X,X,O,X,X,X,O,X,O,X,X,X,X
ILOTSZJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOTZJS,X,X,X,X,O,X,O,X,X,X,X,X,O
ILOTZSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
ILOJTSZ,X,O,O,X,X,X,X,X,O,O,X,X,X
ILOJTZS,X,O,O,X,X,X,X,X,O,X,X,X,X
ILOJSTZ,X,O,O,X,X,X,X,X,O,O,X,X,X
ILOJSZT,X,O,X,X,X,X,X,X,O,O,X,X,X
ILOJZTS,X,O,O,X,X,X,X,X,O,X,X,X,X
ILOJZST,X,O,X,X,X,X,X,X,O,O,X,X,X
ILOSTJZ,X,O,X,X,X,X,O,X,O,O,X,X,X
ILOSTZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILOSJTZ,X,O,X,X,X,X,X,X,O,O,X,X,X
ILOSJZT,X,O,X,X,X,X,X,X,O,O,X,X,X
ILOSZTJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOSZJT,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOZTJS,X,X,X,X,O,X,X,X,X,X,X,X,O
ILOZTSJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ILOZJTS,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOZJST,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOZSTJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOZSJT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJTLSZO,O,O,O,O,X,O,X,X,O,O,X,X,X
IJTLSOZ,O,O,O,O,X,O,X,X,O,O,X,X,X
IJTLZSO,O,O,O,O,X,X,X,X,O,X,X,X,X
IJTLZOS,O,O,O,O,O,O,X,X,O,X,X,X,X
IJTLOSZ,O,O,O,O,X,O,X,X,O,O,X,X,X
IJTLOZS,O,O,O,O,X,O,X,X,O,X,X,X,X
IJTSLZO,O,O,O,O,X,O,X,X,O,O,X,X,X
IJTSLOZ,O,O,O,O,X,O,X,X,O,O,X,X,X
IJTSZLO,O,O,O,O,X,O,X,X,X,O,O,O,X
IJTSZOL,O,O,O,O,X,O,O,X,X,O,O,O,X
IJTSOLZ,O,O,O,O,X,O,O,X,O,O,X,X,X
IJTSOZL,O,O,O,O,X,O,O,X,X,O,O,X,X
IJTZLSO,O,O,O,O,X,X,X,X,O,X,X,O,X
IJTZLOS,O,O,O,O,O,X,X,X,O,X,X,O,X
IJTZSLO,O,O,O,O,X,X,X,X,X,X,X,O,X
IJTZSOL,O,O,O,O,X,X,O,X,X,X,X,O,X
IJTZOLS,O,X,X,O,O,O,O,X,O,X,X,O,X
IJTZOSL,O,X,X,O,X,O,O,X,X,X,X,O,X
IJTOLSZ,O,X,O,O,X,O,O,X,O,O,X,X,X
IJTOLZS,O,X,O,O,X,O,O,X,O,X,X,X,X
IJTOSLZ,O,X,O,O,X,O,O,X,O,O,X,X,X
IJTOSZL,O,X,O,O,X,O,O,X,X,O,O,X,X
IJTOZLS,O,X,X,O,X,O,O,X,O,X,X,X,X
IJTOZSL,O,X,X,O,X,O,O,X,X,X,X,X,X
IJLTSZO,O,O,O,O,X,O,X,X,O,O,X,X,X
IJLTSOZ,O,O,O,O,X,O,X,X,O,O,X,X,X
IJLTZSO,O,O,O,O,X,X,X,X,O,X,X,X,X
IJLTZOS,O,O,O,O,O,O,X,X,O,X,X,X,X
IJLTOSZ,O,O,O,O,X,O,X,X,O,O,X,X,X
IJLTOZS,O,O,O,O,X,O,X,X,O,X,X,X,X
IJLSTZO,O,O,O,X,X,O,X,X,O,O,X,X,X
IJLSTOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
IJLSZTO,O,O,X,X,X,X,X,X,O,O,X,O,X
IJLSZOT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJLSOTZ,O,O,O,X,X,O,X,X,O,O,X,X,X
IJLSOZT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJLZTSO,O,O,O,O,X,X,X,X,O,X,X,O,X
IJLZTOS,O,O,O,O,X,X,X,X,O,X,X,O,X
IJLZSTO,O,O,X,X,X,X,X,X,O,O,X,O,X
IJLZSOT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJLZOTS,X,O,O,O,O,X,X,X,O,X,X,O,X
IJLZOST,O,O,X,X,O,X,X,X,O,O,X,X,X
IJLOTSZ,O,O,O,O,X,O,X,X,O,O,X,X,X
IJLOTZS,O,O,O,O,X,O,X,X,O,X,X,X,X
IJLOSTZ,O,O,O,X,X,O,X,X,O,O,X,X,X
IJLOSZT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJLOZTS,X,O,O,O,X,X,X,X,O,X,X,X,X
IJLOZST,O,O,X,X,X,X,X,X,O,O,X,X,X
IJSTLZO,O,O,O,O,X,O,X,X,O,O,X,X,X
IJSTLOZ,O,O,O,O,X,O,X,X,O,O,X,X,X
IJSTZLO,O,O,O,O,X,O,X,X,X,O,O,O,X
IJSTZOL,O,O,O,O,X,O,O,X,X,O,O,O,X
IJSTOLZ,O,O,O,O,X,O,O,X,O,O,X,X,X
IJSTOZL,O,O,O,O,X,O,O,X,X,O,O,X,X
IJSLTZO,O,O,O,X,X,O,X,X,O,O,X,X,X
IJSLTOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
IJSLZTO,O,O,X,X,X,X,X,X,O,O,X,O,X
IJSLZOT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJSLOTZ,O,O,O,X,X,O,X,X,O,O,X,X,X
IJSLOZT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJSZTLO,X,O,X,O,X,O,X,X,X,O,O,O,X
IJSZTOL,X,O,X,O,X,O,O,X,X,O,O,O,X
IJSZLTO,O,O,X,X,X,X,X,X,X,O,X,O,X
IJSZLOT,O,O,X,X,X,X,X,X,X,O,X,X,X
IJSZOTL,X,O,X,O,X,O,X,X,X,O,O,O,X
IJSZOLT,X,O,X,X,X,X,X,X,X,O,X,X,X
IJSOTLZ,X,O,X,O,X,O,O,X,O,O,X,X,X
IJSOTZL,X,O,X,O,X,O,O,X,X,O,O,X,X
IJSOLTZ,X,O,X,X,X,O,X,X,O,O,X,X,X
IJSOLZT,X,O,X,X,X,X,X,X,O,O,X,X,X
IJSOZTL,X,O,X,O,X,O,X,X,X,O,O,O,X
IJSOZLT,X,O,X,X,X,X,X,X,X,O,X,X,X
IJZTLSO,O,O,O,O,X,X,X,X,O,X,X,O,X
IJZTLOS,O,O,O,O,X,X,X,X,O,X,X,O,X
IJZTSLO,O,O,O,O,X,X,X,X,X,X,X,O,X
IJZTSOL,O,O,O,O,X,X,O,X,X,X,X,O,X
IJZTOLS,O,X,X,O,X,X,O,X,O,X,X,O,X
IJZTOSL,O,X,X,O,X,X,O,X,X,X,X,O,X
IJZLTSO,O,O,O,O,X,X,X,X,O,X,X,O,X
IJZLTOS,O,O,O,O,X,X,X,X,O,X,X,O,X
IJZLSTO,O,O,X,X,X,X,X,X,O,O,X,O,X
IJZLSOT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJZLOTS,X,O,O,O,O,X,X,X,O,X,X,O,X
IJZLOST,O,O,X,X,O,X,X,X,O,O,X,X,X
IJZSTLO,X,O,X,O,X,X,X,X,X,O,X,O,X
IJZSTOL,X,O,X,O,X,X,O,X,X,O,X,O,X
IJZSLTO,O,O,X,X,X,X,X,X,X,O,X,O,X
IJZSLOT,O,O,X,X,X,X,X,X,X,O,X,X,X
IJZSOTL,X,O,X,O,X,X,X,X,X,O,X,O,X
IJZSOLT,X,O,X,X,X,X,X,X,X,O,X,X,X
IJZOTLS,X,X,X,O,X,X,X,X,O,X,X,O,X
IJZOTSL,X,X,X,O,X,X,X,X,X,X,X,O,X
IJZOLTS,X,O,X,O,O,X,X,X,O,X,X,O,X
IJZOLST,O,O,X,X,O,X,X,X,O,O,X,X,X
IJZOSTL,X,O,X,O,X,X,X,X,X,O,X,O,X
IJZOSLT,X,O,X,X,X,X,X,X,X,O,X,X,X
IJOTLSZ,O,X,O,O,X,O,O,X,O,O,X,X,X
IJOTLZS,O,X,O,O,X,O,O,X,O,X,X,X,X
IJOTSLZ,O,X,O,O,X,O,O,X,O,O,X,X,X
IJOTSZL,O,X,O,O,X,O,O,X,X,O,O,X,X
IJOTZLS,O,X,X,O,X,O,O,X,O,X,X,X,X
IJOTZSL,O,X,X,O,X,O,O,X,X,X,X,X,X
IJOLTSZ,O,O,O,O,X,O,X,X,O,O,X,X,X
IJOLTZS,O,O,O,O,X,O,X,X,O,X,X,X,X
IJOLSTZ,O,O,O,X,X,O,X,X,O,O,X,X,X
IJOLSZT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJOLZTS,X,O,O,O,X,X,X,X,O,X,X,X,X
IJOLZST,O,O,X,X,X,X,X,X,O,O,X,X,X
IJOSTLZ,X,O,X,O,X,O,O,X,O,O,X,X,X
IJOSTZL,X,O,X,O,X,O,O,X,X,O,O,X,X
IJOSLTZ,X,O,X,X,X,O,X,X,O,O,X,X,X
IJOSLZT,X,O,X,X,X,X,X,X,O,O,X,X,X
IJOSZTL,X,O,X,O,X,O,X,X,X,O,O,O,X
IJOSZLT,X,O,X,X,X,X,X,X,X,O,X,X,X
IJOZTLS,X,X,X,O,X,X,X,X,O,X,X,O,X
IJOZTSL,X,X,X,O,X,X,X,X,X,X,X,O,X
IJOZLTS,X,O,X,O,X,X,X,X,O,X,X,O,X
IJOZLST,O,O,X,X,X,X,X,X,O,O,X,X,X
IJOZSTL,X,O,X,O,X,X,X,X,X,O,X,O,X
IJOZSLT,X,O,X,X,X,X,X,X,X,O,X,X,X
ISTLJZO,X,O,X,O,X,O,X,X,O,O,X,X,X
ISTLJOZ,X,O,X,O,X,O,X,X,O,O,X,X,X
ISTLZJO,X,O,X,O,X,O,X,X,O,O,X,X,X
ISTLZOJ,X,X,X,O,O,O,O,X,X,X,X,X,X
ISTLOJZ,X,X,X,O,X,O,O,X,O,O,X,X,X
ISTLOZJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISTJLZO,X,O,X,O,X,O,X,X,O,O,X,X,X
ISTJLOZ,X,O,X,O,X,O,X,X,O,O,X,X,X
ISTJZLO,X,O,X,O,X,O,X,X,X,O,O,X,X
ISTJZOL,X,O,X,O,X,O,O,X,X,O,O,X,X
ISTJOLZ,X,O,X,O,X,O,O,X,O,O,X,X,X
ISTJOZL,X,O,X,O,X,O,O,X,X,O,O,X,X
ISTZLJO,X,X,X,O,X,O,X,X,X,O,O,X,X
ISTZLOJ,X,X,X,O,O,X,O,X,X,X,X,X,X
ISTZJLO,X,O,X,O,X,O,X,X,X,O,O,X,X
ISTZJOL,X,O,X,O,X,O,O,X,X,O,O,X,X
ISTZOLJ,X,X,X,O,O,X,O,X,X,X,X,X,X
ISTZOJL,X,X,X,O,X,O,O,X,X,X,O,X,X
ISTOLJZ,X,X,X,O,X,X,O,X,X,O,X,X,X
ISTOLZJ,X,X,X,O,X,X,O,O,X,X,X,X,X
ISTOJLZ,X,X,X,O,X,O,O,X,X,O,X,X,X
ISTOJZL,X,X,X,O,X,O,O,O,X,O,X,X,X
ISTOZLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
ISTOZJL,X,X,X,O,X,X,O,O,X,X,X,X,X
ISLTJZO,X,O,X,X,X,O,X,X,O,O,X,X,X
ISLTJOZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ISLTZJO,X,O,X,X,X,O,X,X,O,O,X,X,X
ISLTZOJ,X,X,X,X,O,O,O,X,X,X,X,X,X
ISLTOJZ,X,X,X,X,X,O,O,X,O,O,X,X,X
ISLTOZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLJTZO,X,O,X,X,X,O,X,X,O,O,X,X,X
ISLJTOZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ISLJZTO,X,O,X,X,X,X,X,X,O,O,X,X,X
ISLJZOT,X,O,X,X,X,X,X,X,O,O,X,X,X
ISLJOTZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ISLJOZT,X,O,X,X,X,X,X,X,O,O,X,X,X
ISLZTJO,X,O,X,X,X,X,X,X,O,O,X,X,X
ISLZTOJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLZJTO,X,O,X,X,X,X,X,X,O,O,X,X,X
ISLZJOT,X,O,X,X,X,X,X,X,O,O,X,X,X
ISLZOTJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLZOJT,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLOTJZ,X,O,X,X,X,X,O,X,O,O,X,X,X
ISLOTZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,X,X,X,X,O,O,X,X,X
ISLOJZT,X,O,X,X,X,X,X,X,O,O,X,X,X
ISLOZTJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJTLZO,X,O,X,O,X,O,X,X,O,O,X,X,X
ISJTLOZ,X,O,X,O,X,O,X,X,O,O,X,X,X
ISJTZLO,X,O,X,O,X,O,X,X,X,O,O,O,X
ISJTZOL,X,O,X,O,X,O,O,X,X,O,O,O,X
ISJTOLZ,X,O,X,O,X,O,O,X,O,O,X,X,X
ISJTOZL,X,O,X,O,X,O,O,X,X,O,O,X,X
ISJLTZO,X,O,X,X,X,O,X,X,O,O,X,X,X
ISJLTOZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ISJLZTO,X,O,X,X,X,X,X,X,O,O,X,O,X
ISJLZOT,X,O,X,X,X,X,X,X,O,O,X,X,X
ISJLOTZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ISJLOZT,X,O,X,X,X,X,X,X,O,O,X,X,X
ISJZTLO,X,O,X,O,X,O,X,X,X,O,O,O,X
ISJZTOL,X,O,X,O,X,O,O,X,X,O,O,O,X
ISJZLTO,X,O,X,X,X,X,X,X,X,O,X,O,X
ISJZLOT,X,O,X,X,X,X,X,X,X,O,X,X,X
ISJZOTL,X,O,X,O,X,O,X,X,X,O,O,O,X
ISJZOLT,X,O,X,X,X,X,X,X,X,O,X,X,X
ISJOTLZ,X,O,X,O,X,O,O,X,O,O,X,X,X
ISJOTZL,X,O,X,O,X,O,O,X,X,O,O,X,X
ISJOLTZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ISJOLZT,X,O,X,X,X,X,X,X,O,O,X,X,X
