sequence,v115@ThA8EeF8AeE8JeOEJvhF8kBzgBfnBxiBCoBFrB,v115@ThA8EeF8AeE8Je2EJvhFzgBRiBSoBUnB3kBFrB,v115@ThA8EeF8AeE8Jei/IvhFzgBGjB3kBRnBUnBFrB,v115@ThA8EeF8AeE8JeKEJvhFzfBRhBGjBfrB0rBlsB,v115@ThA8EeF8AeE8Jem/IvhFUhBRiBSoBTkBfrBVxB,v115@ThA8EeF8AeE8JeOEJvhF8kBFhBxiBfrBzrBCtB,v115@ThA8EeF8AeE8Jex/IvhFGjBTkB0lBlmB3nBirB,v115@ThA8EeF8AeE8Jex/IvhFmhBSoBTkBllBcrB3sB,v115@ThA8EeF8AeE8JeyGJvhFGjBxkB3nBTkBllBcrB
IJSOTLZ,X,X,O,X,X,X,X,X,X
IJSOTZL,X,X,O,X,X,X,O,X,X
IJSOLTZ,X,X,O,O,X,X,X,X,O
IJSOLZT,X,X,X,O,X,X,O,X,O
IJSOZTL,X,X,X,X,X,X,O,X,X
IJSOZLT,X,X,X,X,X,X,O,X,X
IJZTLSO,X,O,X,X,X,X,X,X,X
IJZTLOS,X,O,X,X,X,X,X,X,X
IJZTSLO,X,O,O,X,X,X,X,X,X
IJZTSOL,X,O,O,X,X,X,X,X,X
IJZTOLS,X,O,X,X,X,X,X,X,X
IJZTOSL,X,O,O,X,X,X,X,X,X
IJZLTSO,X,O,X,X,X,X,X,X,X
IJZLTOS,X,O,X,X,X,X,X,X,X
IJZLSTO,X,O,X,X,X,X,X,X,X
IJZLSOT,X,X,X,X,X,X,X,X,X
IJZLOTS,X,O,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,X,X,X,X
IJZSTLO,X,O,O,X,X,X,X,X,X
IJZSTOL,X,O,O,X,X,X,O,X,X
IJZSLTO,X,O,O,X,X,X,X,X,O
IJZSLOT,X,X,X,X,X,X,X,X,O
IJZSOTL,X,X,X,X,X,X,O,X,X
IJZSOLT,X,X,X,X,X,X,O,X,X
IJZOTLS,X,O,X,X,X,X,X,X,X
IJZOTSL,X,O,X,X,X,X,O,X,X
IJZOLTS,X,O,X,X,X,X,X,X,X
IJZOLST,X,X,X,X,X,X,O,X,X
IJZOSTL,X,X,X,X,X,X,O,X,X
IJZOSLT,X,X,X,X,X,X,O,X,X
IJOTLSZ,X,X,O,X,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X,X,X,X
IJOTSLZ,X,X,O,X,X,X,X,X,X
IJOTSZL,X,X,O,X,X,X,O,X,X
IJOTZLS,X,X,X,X,X,X,X,X,X
IJOTZSL,X,X,O,X,X,X,O,X,X
IJOLTSZ,X,X,X,X,X,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,X,X
IJOLSTZ,X,X,X,X,X,X,X,X,X
IJOLSZT,X,X,X,X,X,X,O,X,X
IJOLZTS,X,X,X,X,X,X,X,X,X
IJOLZST,X,X,X,X,X,X,O,X,X
IJOSTLZ,X,X,O,X,X,X,X,X,X
IJOSTZL,X,X,O,X,X,X,O,X,X
IJOSLTZ,X,X,O,X,X,X,X,X,O
IJOSLZT,X,X,X,X,X,X,O,X,O
IJOSZTL,X,X,X,X,X,X,O,X,X
IJOSZLT,X,X,X,X,X,X,O,X,X
IJOZTLS,X,X,X,X,X,X,X,X,X
IJOZTSL,X,X,X,X,X,X,O,X,X
IJOZLTS,X,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,X,O,X,X
IJOZSTL,X,X,X,X,X,X,O,X,X
IJOZSLT,X,X,X,X,X,X,O,X,X
ISTLJZO,O,X,O,O,O,O,X,X,O
ISTLJOZ,O,X,O,O,O,X,X,X,O
ISTLZJO,O,X,O,O,O,O,X,X,X
ISTLZOJ,O,X,O,O,O,O,X,X,X
ISTLOJZ,O,X,O,O,O,X,X,X,X
ISTLOZJ,O,X,O,O,O,O,X,X,X
ISTJLZO,X,X,O,O,O,X,X,X,O
ISTJLOZ,X,X,O,O,O,X,X,X,O
ISTJZLO,O,X,O,O,O,X,X,X,X
ISTJZOL,O,X,O,O,O,X,O,X,X
ISTJOLZ,X,X,O,O,O,X,X,X,X
ISTJOZL,O,X,O,X,O,X,O,X,X
ISTZLJO,O,X,O,O,O,O,X,X,X
ISTZLOJ,O,X,O,O,O,O,X,X,X
ISTZJLO,O,X,O,O,O,O,X,X,X
ISTZJOL,O,X,O,O,O,O,O,X,X
ISTZOLJ,O,X,O,O,O,O,O,X,X
ISTZOJL,O,X,O,O,O,O,O,X,X
ISTOLJZ,O,X,O,O,O,O,X,X,X
ISTOLZJ,O,X,O,O,O,O,X,X,X
ISTOJLZ,X,X,O,O,O,X,X,X,X
ISTOJZL,O,X,O,X,O,O,O,X,X
ISTOZLJ,O,X,O,X,O,O,O,X,X
ISTOZJL,O,X,O,X,O,O,O,X,X
ISLTJZO,O,X,O,O,X,O,X,X,O
ISLTJOZ,O,X,O,O,X,X,X,X,O
ISLTZJO,O,X,O,O,X,O,X,X,X
ISLTZOJ,O,X,O,O,X,O,X,X,X
ISLTOJZ,O,X,O,O,X,X,X,X,X
ISLTOZJ,O,X,O,O,X,O,X,X,X
ISLJTZO,O,X,O,O,X,O,X,X,O
ISLJTOZ,O,X,O,O,X,X,X,X,O
ISLJZTO,O,X,O,O,X,O,X,X,O
ISLJZOT,O,X,X,O,X,O,X,X,O
ISLJOTZ,X,X,O,O,X,X,X,X,O
ISLJOZT,X,X,X,O,X,X,X,X,O
ISLZTJO,O,X,O,O,X,O,X,X,X
ISLZTOJ,O,X,O,O,X,O,X,X,X
ISLZJTO,O,X,O,O,X,O,X,X,O
ISLZJOT,O,X,X,O,X,O,X,X,O
ISLZOTJ,O,X,X,O,X,O,X,X,X
ISLZOJT,O,X,X,O,X,O,X,X,X
ISLOTJZ,O,X,O,O,X,O,X,X,X
ISLOTZJ,O,X,O,O,X,O,X,X,X
ISLOJTZ,X,X,O,O,X,O,X,X,O
ISLOJZT,X,X,X,O,X,O,X,X,O
ISLOZTJ,O,X,X,O,X,O,X,X,X
ISLOZJT,O,X,X,O,X,O,X,X,X
ISJTLZO,X,X,O,O,O,X,X,X,O
ISJTLOZ,X,X,O,O,O,X,X,X,O
ISJTZLO,O,X,O,O,O,X,X,X,X
ISJTZOL,O,X,O,O,O,X,O,X,X
ISJTOLZ,X,X,O,O,O,X,X,X,X
ISJTOZL,O,X,O,X,O,X,O,X,X
ISJLTZO,X,X,O,O,X,X,X,X,O
ISJLTOZ,X,X,O,O,X,X,X,X,O
ISJLZTO,X,X,O,O,X,X,X,X,O
ISJLZOT,X,X,X,O,X,X,X,X,O
ISJLOTZ,X,X,O,O,X,X,X,X,O
ISJLOZT,X,X,X,O,X,X,X,X,O
ISJZTLO,O,X,O,O,X,X,X,X,X
ISJZTOL,O,X,O,O,X,X,O,X,X
ISJZLTO,O,X,O,O,X,X,X,X,O
ISJZLOT,X,X,X,O,X,X,X,X,O
ISJZOTL,O,X,X,X,X,X,O,X,X
ISJZOLT,X,X,X,O,X,X,O,X,X
ISJOTLZ,X,X,O,X,X,X,X,X,X
ISJOTZL,X,X,O,X,X,X,O,X,X
ISJOLTZ,X,X,O,O,X,X,X,X,O
ISJOLZT,X,X,X,O,X,X,O,X,O
ISJOZTL,X,X,X,X,X,X,O,X,X
ISJOZLT,X,X,X,X,X,X,O,X,X
ISZTLJO,O,X,O,O,X,O,X,X,X
ISZTLOJ,O,X,O,O,X,O,X,X,X
ISZTJLO,O,X,O,O,X,O,X,X,X
ISZTJOL,O,X,O,O,X,O,O,X,X
ISZTOLJ,O,X,O,O,X,O,O,X,X
ISZTOJL,O,X,O,O,X,O,O,X,X
ISZLTJO,O,X,O,O,X,O,X,X,X
ISZLTOJ,O,X,O,O,X,O,X,X,X
ISZLJTO,O,X,O,O,X,O,X,X,O
ISZLJOT,O,X,X,O,X,O,X,X,O
ISZLOTJ,O,X,X,O,X,O,X,X,X
ISZLOJT,O,X,X,O,X,O,X,X,X
ISZJTLO,O,X,O,O,X,O,X,X,X
ISZJTOL,O,X,O,O,X,O,O,X,X
ISZJLTO,O,X,O,O,X,O,X,X,O
ISZJLOT,O,X,X,O,X,O,X,X,O
ISZJOTL,O,X,X,X,X,O,O,X,X
ISZJOLT,X,X,X,O,X,O,O,X,X
ISZOTLJ,O,X,X,O,X,O,O,X,X
ISZOTJL,O,X,X,O,X,O,O,X,X
ISZOLTJ,X,X,X,O,X,O,O,X,X
ISZOLJT,X,X,X,O,X,O,O,X,X
ISZOJTL,O,X,X,X,X,O,O,X,X
ISZOJLT,X,X,X,O,X,O,O,X,X
ISOTLJZ,X,X,O,O,O,O,X,X,X
ISOTLZJ,O,X,O,O,O,O,X,X,X
ISOTJLZ,X,X,O,O,O,X,X,X,X
ISOTJZL,O,X,O,X,O,O,O,X,X
ISOTZLJ,O,X,O,X,O,O,O,X,X
ISOTZJL,O,X,O,X,O,O,O,X,X
ISOLTJZ,X,X,O,O,X,O,X,X,X
ISOLTZJ,X,X,O,O,X,O,X,X,X
ISOLJTZ,X,X,O,O,X,O,X,X,O
ISOLJZT,X,X,X,O,X,O,O,X,O
ISOLZTJ,X,X,X,O,X,O,O,X,X
ISOLZJT,X,X,X,O,X,O,O,X,X
ISOJTLZ,X,X,O,X,O,X,X,X,X
ISOJTZL,X,X,O,X,O,O,O,X,X
ISOJLTZ,X,X,O,O,X,X,X,X,O
ISOJLZT,X,X,X,O,X,X,O,X,O
ISOJZTL,X,X,X,X,X,O,O,X,X
ISOJZLT,X,X,X,X,X,O,O,X,X
ISOZTLJ,O,X,X,O,X,O,O,X,X
ISOZTJL,O,X,X,O,X,O,O,X,X
ISOZLTJ,X,X,X,O,X,O,O,X,X
ISOZLJT,X,X,X,O,X,O,O,X,X
ISOZJTL,O,X,X,X,X,O,O,X,X
ISOZJLT,X,X,X,O,X,O,O,X,X
IZTLJSO,O,O,X,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,O,X
IZTLSJO,O,O,X,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,O,X
IZTLOSJ,O,O,X,X,X,X,X,O,X
IZTJLSO,O,O,X,X,X,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X,O,X
IZTJSLO,O,O,O,X,X,X,X,X,X
IZTJSOL,O,O,O,X,X,X,X,X,X
IZTJOLS,O,O,X,X,X,X,X,O,X
IZTJOSL,O,O,O,X,X,X,X,O,X
IZTSLJO,O,O,O,X,X,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,X,X,X
IZTSJLO,O,O,O,X,X,X,X,X,X
IZTSJOL,O,O,O,X,X,X,O,X,X
IZTSOLJ,O,O,O,X,X,X,O,X,X
IZTSOJL,O,O,O,X,X,X,O,X,X
IZTOLJS,O,O,X,X,X,X,X,O,X
IZTOLSJ,O,O,X,X,X,X,O,O,X
IZTOJLS,O,O,X,X,X,X,X,O,X
IZTOJSL,O,O,O,X,X,X,O,O,X
IZTOSLJ,O,O,O,X,X,X,O,O,X
IZTOSJL,O,O,O,X,X,X,O,O,X
IZLTJSO,O,O,X,X,X,O,X,X,X
IZLTJOS,O,O,X,X,X,O,X,O,X
IZLTSJO,O,O,X,X,X,O,X,X,X
IZLTSOJ,O,O,X,X,X,O,X,X,X
IZLTOJS,O,O,X,X,X,O,X,O,X
IZLTOSJ,O,O,X,X,X,O,X,O,X
IZLJTSO,O,O,X,X,X,O,X,X,X
IZLJTOS,O,O,X,X,X,O,X,O,X
IZLJSTO,O,O,X,X,X,O,X,X,X
IZLJSOT,O,X,X,X,X,O,X,X,X
IZLJOTS,X,O,X,X,X,O,X,O,X
IZLJOST,O,X,X,X,X,O,X,X,X
IZLSTJO,O,O,X,X,X,O,X,X,X
IZLSTOJ,O,O,X,X,X,O,X,X,X
IZLSJTO,O,O,X,X,X,O,X,X,X
IZLSJOT,O,X,X,X,X,O,X,X,X
IZLSOTJ,O,X,X,X,X,O,X,X,X
IZLSOJT,O,X,X,X,X,O,X,X,X
IZLOTJS,X,O,X,X,X,O,X,O,X
IZLOTSJ,X,O,X,X,X,O,X,O,X
IZLOJTS,X,O,X,X,X,O,X,O,X
IZLOJST,O,X,X,X,X,O,X,X,X
IZLOSTJ,O,X,X,X,X,O,X,X,X
IZLOSJT,O,X,X,X,X,O,X,X,X
IZJTLSO,O,O,X,X,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,X,O,X
IZJTSLO,O,O,O,X,X,X,X,X,X
IZJTSOL,O,O,O,X,X,X,X,X,X
IZJTOLS,O,O,X,X,X,X,X,O,X
IZJTOSL,O,O,O,X,X,X,X,O,X
IZJLTSO,O,O,X,X,X,O,X,X,X
IZJLTOS,O,O,X,X,X,O,X,O,X
IZJLSTO,O,O,X,X,X,O,X,X,X
IZJLSOT,O,X,X,X,X,O,X,X,X
IZJLOTS,X,O,X,X,X,O,X,O,X
IZJLOST,O,X,X,X,X,O,X,X,X
IZJSTLO,O,O,O,X,X,O,X,X,X
IZJSTOL,O,O,O,X,X,O,O,X,X
IZJSLTO,O,O,O,X,X,O,X,X,O
IZJSLOT,O,X,X,X,X,O,X,X,O
IZJSOTL,O,X,X,X,X,O,O,X,X
IZJSOLT,X,X,X,X,X,O,O,X,X
IZJOTLS,X,O,X,X,X,X,X,O,X
IZJOTSL,X,O,X,X,X,O,O,O,X
IZJOLTS,X,O,X,X,X,O,X,O,X
IZJOLST,X,X,X,X,X,O,O,X,X
IZJOSTL,X,X,X,X,X,O,O,X,X
IZJOSLT,X,X,X,X,X,O,O,X,X
IZSTLJO,O,O,O,X,X,O,X,X,X
IZSTLOJ,O,O,O,X,X,O,X,X,X
IZSTJLO,O,O,O,X,X,O,X,X,X
IZSTJOL,O,O,O,X,X,O,O,X,X
IZSTOLJ,O,O,O,X,X,O,O,X,X
IZSTOJL,O,O,O,X,X,O,O,X,X
IZSLTJO,O,O,O,X,X,O,X,X,X
IZSLTOJ,O,O,O,X,X,O,X,X,X
IZSLJTO,O,O,O,X,X,O,X,X,O
IZSLJOT,O,X,X,X,X,O,X,X,O
IZSLOTJ,O,X,X,X,X,O,X,X,X
IZSLOJT,O,X,X,X,X,O,X,X,X
IZSJTLO,O,O,O,X,X,O,X,X,X
IZSJTOL,O,O,O,X,X,O,O,X,X
IZSJLTO,O,O,O,X,X,O,X,X,O
IZSJLOT,O,X,X,X,X,O,X,X,O
IZSJOTL,O,X,X,X,X,O,O,X,X
IZSJOLT,X,X,X,X,X,O,O,X,X
IZSOTLJ,O,X,X,X,X,O,O,X,X
IZSOTJL,O,X,X,X,X,O,O,X,X
IZSOLTJ,X,X,X,X,X,O,O,X,X
IZSOLJT,X,X,X,X,X,O,O,X,X
IZSOJTL,O,X,X,X,X,O,O,X,X
IZSOJLT,X,X,X,X,X,O,O,X,X
IZOTLJS,X,O,X,X,X,X,X,O,X
IZOTLSJ,X,O,X,X,X,X,O,O,X
IZOTJLS,X,O,X,X,X,X,X,O,X
IZOTJSL,X,O,X,X,X,O,O,O,X
IZOTSLJ,X,O,X,X,X,O,O,O,X
IZOTSJL,X,O,X,X,X,O,O,O,X
IZOLTJS,X,O,X,X,X,O,X,O,X
IZOLTSJ,X,O,X,X,X,O,O,O,X
IZOLJTS,X,O,X,X,X,O,X,O,X
IZOLJST,X,X,X,X,X,O,O,X,X
IZOLSTJ,X,X,X,X,X,O,O,X,X
IZOLSJT,X,X,X,X,X,O,O,X,X
IZOJTLS,X,O,X,X,X,X,X,O,X
IZOJTSL,X,O,X,X,X,O,O,O,X
IZOJLTS,X,O,X,X,X,O,X,O,X
IZOJLST,X,X,X,X,X,O,O,X,X
IZOJSTL,X,X,X,X,X,O,O,X,X
IZOJSLT,X,X,X,X,X,O,O,X,X
IZOSTLJ,X,X,X,X,X,O,O,X,X
IZOSTJL,X,X,X,X,X,O,O,X,X
IZOSLTJ,X,X,X,X,X,O,O,X,X
IZOSLJT,X,X,X,X,X,O,O,X,X
IZOSJTL,X,X,X,X,X,O,O,X,X
IZOSJLT,X,X,X,X,X,O,O,X,X
IOTLJSZ,X,X,O,X,O,X,X,X,X
IOTLJZS,X,X,X,X,O,X,X,O,X
IOTLSJZ,X,X,O,X,O,X,X,X,X
IOTLSZJ,X,X,O,X,O,X,X,O,X
IOTLZJS,X,X,X,X,O,X,X,O,X
IOTLZSJ,X,X,X,X,O,X,X,O,X
IOTJLSZ,X,X,O,X,O,X,X,X,X
IOTJLZS,X,X,X,X,O,X,X,O,X
IOTJSLZ,X,X,O,X,O,X,X,X,X
IOTJSZL,X,X,O,X,O,X,O,X,X
IOTJZLS,X,X,X,X,O,X,X,O,X
IOTJZSL,X,X,O,X,O,X,O,O,X
IOTSLJZ,X,X,O,X,O,X,X,X,X
IOTSLZJ,X,X,O,X,O,O,X,O,X
IOTSJLZ,X,X,O,X,O,X,X,X,X
IOTSJZL,X,X,O,X,O,O,O,X,X
IOTSZLJ,X,X,O,X,O,O,O,O,X
IOTSZJL,X,X,O,X,O,O,O,O,X
IOTZLJS,X,X,X,X,O,X,X,O,X
IOTZLSJ,X,X,X,X,O,X,O,O,X
IOTZJLS,X,X,X,X,O,X,X,O,X
IOTZJSL,X,X,O,X,O,O,O,O,X
IOTZSLJ,X,X,O,X,O,O,O,O,X
IOTZSJL,X,X,O,X,O,O,O,O,X
IOLTJSZ,X,X,X,X,O,X,X,X,X
IOLTJZS,X,X,X,X,O,X,X,O,X
IOLTSJZ,X,X,X,X,O,O,X,X,X
IOLTSZJ,X,X,X,X,O,O,X,O,X
IOLTZJS,X,X,X,X,O,O,X,O,X
IOLTZSJ,X,X,X,X,O,O,X,O,X
IOLJTSZ,X,X,X,X,O,X,X,X,X
IOLJTZS,X,X,X,X,O,X,X,O,X
IOLJSTZ,X,X,X,X,O,O,X,X,X
IOLJSZT,X,X,X,X,X,O,O,X,X
IOLJZTS,X,X,X,X,O,O,X,X,X
IOLJZST,X,X,X,X,X,O,O,X,X
IOLSTJZ,X,X,X,X,O,O,X,X,X
IOLSTZJ,X,X,X,X,O,O,X,O,X
IOLSJTZ,X,X,X,X,O,O,X,X,X
IOLSJZT,X,X,X,X,X,O,O,X,X
IOLSZTJ,X,X,X,X,X,O,O,X,X
IOLSZJT,X,X,X,X,X,O,O,X,X
IOLZTJS,X,X,X,X,O,O,X,O,X
IOLZTSJ,X,X,X,X,O,O,O,O,X
IOLZJTS,X,X,X,X,O,O,X,O,X
IOLZJST,X,X,X,X,X,O,O,X,X
IOLZSTJ,X,X,X,X,X,O,O,X,X
IOLZSJT,X,X,X,X,X,O,O,X,X
IOJTLSZ,X,X,O,X,O,X,X,X,X
IOJTLZS,X,X,X,X,O,X,X,O,X
IOJTSLZ,X,X,O,X,O,X,X,X,X
IOJTSZL,X,X,O,X,O,X,O,X,X
IOJTZLS,X,X,X,X,O,X,X,O,X
IOJTZSL,X,X,O,X,O,X,O,O,X
IOJLTSZ,X,X,X,X,O,X,X,X,X
IOJLTZS,X,X,X,X,O,X,X,O,X
IOJLSTZ,X,X,X,X,O,X,X,X,X
IOJLSZT,X,X,X,X,X,X,O,X,X
IOJLZTS,X,X,X,X,O,X,X,X,X
IOJLZST,X,X,X,X,X,X,O,X,X
IOJSTLZ,X,X,O,X,O,X,X,X,X
IOJSTZL,X,X,O,X,O,O,O,X,X
IOJSLTZ,X,X,O,X,X,X,X,X,O
IOJSLZT,X,X,X,X,X,X,O,X,O
IOJSZTL,X,X,X,X,X,O,O,X,X
IOJSZLT,X,X,X,X,X,O,O,X,X
IOJZTLS,X,X,X,X,X,X,X,X,X
IOJZTSL,X,X,X,X,X,O,O,X,X
IOJZLTS,X,X,X,X,X,X,X,X,X
IOJZLST,X,X,X,X,X,O,O,X,X
IOJZSTL,X,X,X,X,X,O,O,X,X
IOJZSLT,X,X,X,X,X,O,O,X,X
IOSTLJZ,X,X,O,X,O,O,X,X,X
IOSTLZJ,X,X,O,X,O,O,X,O,X
IOSTJLZ,X,X,O,X,O,X,X,X,X
IOSTJZL,X,X,O,X,O,O,O,X,X
IOSTZLJ,X,X,O,X,O,O,O,O,X
IOSTZJL,X,X,O,X,O,O,O,O,X
IOSLTJZ,X,X,O,X,X,O,X,X,X
IOSLTZJ,X,X,O,X,X,O,X,O,X
IOSLJTZ,X,X,O,X,X,O,X,X,O
IOSLJZT,X,X,X,X,X,O,O,X,O
IOSLZTJ,X,X,X,X,X,O,O,X,X
IOSLZJT,X,X,X,X,X,O,O,X,X
IOSJTLZ,X,X,O,X,O,X,X,X,X
IOSJTZL,X,X,O,X,O,O,O,X,X
IOSJLTZ,X,X,O,X,X,X,X,X,O
IOSJLZT,X,X,X,X,X,X,O,X,O
IOSJZTL,X,X,X,X,X,O,O,X,X
IOSJZLT,X,X,X,X,X,O,O,X,X
IOSZTLJ,X,X,X,X,X,O,O,X,X
IOSZTJL,X,X,X,X,X,O,O,X,X
IOSZLTJ,X,X,X,X,X,O,O,X,X
IOSZLJT,X,X,X,X,X,O,O,X,X
IOSZJTL,X,X,X,X,X,O,O,X,X
IOSZJLT,X,X,X,X,X,O,O,X,X
IOZTLJS,X,X,X,X,X,X,X,O,X
IOZTLSJ,X,X,X,X,X,X,O,O,X
IOZTJLS,X,X,X,X,X,X,X,O,X
IOZTJSL,X,X,X,X,X,O,O,O,X
IOZTSLJ,X,X,X,X,X,O,O,O,X
IOZTSJL,X,X,X,X,X,O,O,O,X
IOZLTJS,X,X,X,X,X,O,X,O,X
IOZLTSJ,X,X,X,X,X,O,O,O,X
IOZLJTS,X,X,X,X,X,O,X,O,X
IOZLJST,X,X,X,X,X,O,O,X,X
IOZLSTJ,X,X,X,X,X,O,O,X,X
IOZLSJT,X,X,X,X,X,O,O,X,X
IOZJTLS,X,X,X,X,X,X,X,O,X
IOZJTSL,X,X,X,X,X,O,O,O,X
IOZJLTS,X,X,X,X,X,O,X,O,X
IOZJLST,X,X,X,X,X,O,O,X,X
IOZJSTL,X,X,X,X,X,O,O,X,X
IOZJSLT,X,X,X,X,X,O,O,X,X
IOZSTLJ,X,X,X,X,X,O,O,X,X
IOZSTJL,X,X,X,X,X,O,O,X,X
IOZSLTJ,X,X,X,X,X,O,O,X,X
IOZSLJT,X,X,X,X,X,O,O,X,X
IOZSJTL,X,X,X,X,X,O,O,X,X
IOZSJLT,X,X,X,X,X,O,O,X,X
LTIJSZO,X,X,O,O,O,X,X,X,X
LTIJSOZ,X,X,O,O,O,X,X,X,X
LTIJZSO,X,O,X,X,O,X,X,X,X
LTIJZOS,X,O,X,O,X,X,X,X,X
LTIJOSZ,X,X,O,O,O,X,X,X,X
LTIJOZS,X,O,X,O,O,X,X,X,X
LTISJZO,O,X,O,O,O,O,X,X,X
LTISJOZ,O,X,O,O,O,X,X,X,X
LTISZJO,O,X,O,O,O,O,X,X,X
LTISZOJ,O,X,O,O,O,O,X,X,X
LTISOJZ,O,X,O,O,O,X,X,X,X
LTISOZJ,O,X,O,O,O,O,X,X,X
LTIZJSO,O,O,X,X,O,O,X,X,X
LTIZJOS,O,O,X,O,X,O,X,X,X
LTIZSJO,O,O,X,X,O,O,X,X,X
LTIZSOJ,O,O,X,X,O,O,X,X,X
LTIZOJS,O,O,X,O,O,O,X,X,X
LTIZOSJ,O,O,X,X,O,O,X,X,X
LTIOJSZ,X,X,O,O,O,X,X,X,X
LTIOJZS,X,O,X,O,O,X,X,O,X
LTIOSJZ,O,X,O,O,O,O,X,X,X
LTIOSZJ,O,X,O,O,O,O,X,O,X
LTIOZJS,O,O,X,O,O,O,X,O,X
LTIOZSJ,O,O,X,X,O,O,X,O,X
LTJISZO,X,X,O,O,O,X,X,X,X
LTJISOZ,X,X,O,O,O,X,X,X,X
LTJIZSO,X,O,X,X,O,X,X,X,X
LTJIZOS,X,O,X,O,X,X,X,X,X
LTJIOSZ,X,X,O,O,O,X,X,X,X
LTJIOZS,X,O,X,O,O,X,X,X,X
LTJSIZO,O,X,O,O,O,X,X,X,X
LTJSIOZ,O,X,O,O,O,X,X,X,X
LTJSZIO,O,O,O,O,O,X,X,X,X
LTJSZOI,O,O,O,O,O,X,X,X,X
LTJSOIZ,O,X,O,O,O,X,X,X,X
LTJSOZI,O,O,O,O,O,X,X,X,X
LTJZISO,O,O,X,X,O,X,X,X,X
LTJZIOS,O,O,X,O,X,X,X,X,X
LTJZSIO,O,O,X,O,O,X,X,X,X
LTJZSOI,O,O,X,O,O,X,X,X,X
LTJZOIS,O,O,X,O,X,X,X,X,X
LTJZOSI,O,O,X,O,X,X,X,X,X
LTJOISZ,X,X,O,O,O,X,X,X,X
LTJOIZS,X,O,X,O,O,X,X,O,X
LTJOSIZ,O,X,O,O,O,X,X,X,X
LTJOSZI,O,O,O,O,O,X,X,X,X
LTJOZIS,O,O,X,O,O,X,X,X,X
LTJOZSI,O,O,X,O,O,X,X,X,X
LTSIJZO,O,X,O,O,O,O,X,X,X
LTSIJOZ,O,X,O,O,O,X,X,X,X
LTSIZJO,O,X,O,O,O,O,X,X,X
LTSIZOJ,O,X,O,O,O,O,X,X,X
LTSIOJZ,O,X,O,O,O,X,X,X,X
LTSIOZJ,O,X,O,O,O,O,X,X,X
LTSJIZO,O,X,O,O,O,O,X,X,X
LTSJIOZ,O,X,O,O,O,X,X,X,X
LTSJZIO,O,O,O,O,O,O,X,X,X
LTSJZOI,O,O,O,O,O,O,O,X,X
LTSJOIZ,O,X,O,O,O,X,X,X,X
LTSJOZI,O,O,O,O,O,X,O,X,X
LTSZIJO,O,O,O,O,O,O,X,X,X
LTSZIOJ,O,O,O,O,O,O,X,X,X
LTSZJIO,O,O,O,O,O,O,X,X,X
LTSZJOI,O,O,O,O,O,O,O,X,X
LTSZOIJ,O,O,O,O,O,O,O,X,X
LTSZOJI,O,O,O,O,O,O,O,X,X
LTSOIJZ,O,X,O,O,O,O,X,X,X
LTSOIZJ,O,X,O,O,O,O,X,O,X
LTSOJIZ,O,X,O,O,O,O,X,X,X
LTSOJZI,O,O,O,O,O,O,O,X,X
LTSOZIJ,O,O,O,O,O,O,O,X,X
LTSOZJI,O,O,O,O,O,O,O,X,X
LTZIJSO,O,O,X,X,O,O,X,X,X
LTZIJOS,O,O,X,O,X,O,X,O,X
LTZISJO,O,O,X,X,O,O,X,X,X
LTZISOJ,O,O,X,X,O,O,X,X,X
LTZIOJS,O,O,X,O,O,O,X,O,X
LTZIOSJ,O,O,X,X,O,O,X,O,X
LTZJISO,O,O,X,X,O,O,X,X,X
LTZJIOS,O,O,X,O,X,O,X,O,X
LTZJSIO,O,O,X,O,O,O,X,X,X
LTZJSOI,O,O,X,O,O,O,X,O,X
LTZJOIS,O,O,X,O,X,O,X,O,X
LTZJOSI,O,O,X,O,X,O,X,O,X
LTZSIJO,O,O,X,O,O,O,X,X,X
LTZSIOJ,O,O,X,O,O,O,X,X,X
LTZSJIO,O,O,X,O,O,O,X,X,X
LTZSJOI,O,O,X,O,O,O,O,O,X
LTZSOIJ,O,O,X,O,O,O,O,O,X
LTZSOJI,O,O,X,O,O,O,O,O,X
LTZOIJS,O,O,X,O,O,O,X,O,X
LTZOISJ,O,O,X,X,O,O,O,O,X
LTZOJIS,O,O,X,O,O,O,X,O,X
LTZOJSI,O,O,X,O,O,O,X,O,X
LTZOSIJ,O,O,X,O,O,O,O,O,X
LTZOSJI,O,O,X,O,O,O,O,O,X
LTOIJSZ,X,X,O,O,O,X,X,X,X
LTOIJZS,X,O,X,O,O,X,X,O,X
LTOISJZ,O,X,O,O,O,O,X,X,X
LTOISZJ,O,X,O,O,O,O,X,O,X
LTOIZJS,O,O,X,O,O,O,X,O,X
LTOIZSJ,O,O,X,X,O,O,X,O,X
LTOJISZ,X,X,O,O,O,X,X,X,X
LTOJIZS,X,O,X,O,O,X,X,O,X
