sequence,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFzgBfnB9oBqsBmn?B0rB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFfmB0hB9oBqsBmn?BzrB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFChBziB+oB/rB0s?BdsB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFzgB0iBStBmrBtr?BXtB
JSIZOTL,X,O,O,X
JSIZOLT,X,O,O,X
JSIOTLZ,X,O,X,X
JSIOTZL,X,O,X,X
JSIOLTZ,X,O,X,O
JSIOLZT,X,O,O,X
JSIOZTL,X,O,O,X
JSIOZLT,X,O,O,X
JSLTIZO,X,O,O,X
JSLTIOZ,X,O,X,X
JSLTZIO,X,O,O,X
JSLTZOI,X,X,X,X
JSLTOIZ,X,O,X,X
JSLTOZI,X,O,X,X
JSLITZO,X,O,O,O
JSLITOZ,X,O,X,O
JSLIZTO,X,O,O,X
JSLIZOT,X,X,O,X
JSLIOTZ,X,O,X,O
JSLIOZT,X,O,O,X
JSLZTIO,X,O,O,X
JSLZTOI,X,X,X,X
JSLZITO,X,O,O,O
JSLZIOT,X,X,O,X
JSLZOTI,X,X,X,X
JSLZOIT,X,X,O,X
JSLOTIZ,X,O,X,X
JSLOTZI,X,O,X,X
JSLOITZ,X,O,X,O
JSLOIZT,X,O,O,X
JSLOZTI,X,O,X,X
JSLOZIT,X,O,O,X
JSZTILO,X,O,O,X
JSZTIOL,X,X,O,X
JSZTLIO,X,O,O,X
JSZTLOI,X,X,X,X
JSZTOIL,X,X,O,X
JSZTOLI,X,X,X,X
JSZITLO,X,O,O,X
JSZITOL,X,X,O,X
JSZILTO,X,O,O,X
JSZILOT,X,X,O,X
JSZIOTL,X,O,O,X
JSZIOLT,X,O,O,X
JSZLTIO,X,O,O,X
JSZLTOI,X,X,X,X
JSZLITO,X,O,O,X
JSZLIOT,X,X,O,X
JSZLOTI,X,X,X,X
JSZLOIT,X,X,O,X
JSZOTIL,X,O,O,X
JSZOTLI,X,O,X,X
JSZOITL,X,O,O,X
JSZOILT,X,O,O,X
JSZOLTI,X,O,X,X
JSZOLIT,X,O,O,X
JSOTILZ,X,O,X,X
JSOTIZL,X,O,X,X
JSOTLIZ,X,O,X,X
JSOTLZI,X,O,X,X
JSOTZIL,X,O,X,X
JSOTZLI,X,O,X,X
JSOITLZ,X,O,X,X
JSOITZL,X,O,X,X
JSOILTZ,X,O,X,O
JSOILZT,X,O,O,X
JSOIZTL,X,O,O,X
JSOIZLT,X,O,O,X
JSOLTIZ,X,O,X,X
JSOLTZI,X,O,X,X
JSOLITZ,X,O,X,O
JSOLIZT,X,O,O,X
JSOLZTI,X,O,X,X
JSOLZIT,X,O,O,X
JSOZTIL,X,O,O,X
JSOZTLI,X,O,X,X
JSOZITL,X,O,O,X
JSOZILT,X,O,O,X
JSOZLTI,X,O,X,X
JSOZLIT,X,O,O,X
JZTILSO,O,X,X,X
JZTILOS,O,X,X,X
JZTISLO,O,X,O,X
JZTISOL,O,X,O,X
JZTIOLS,O,X,X,X
JZTIOSL,O,X,O,X
JZTLISO,O,X,X,X
JZTLIOS,O,X,X,X
JZTLSIO,O,X,X,X
JZTLSOI,O,X,X,X
JZTLOIS,O,X,X,X
JZTLOSI,O,X,X,X
JZTSILO,O,X,O,X
JZTSIOL,O,X,O,X
JZTSLIO,O,X,O,X
JZTSLOI,O,X,X,X
JZTSOIL,O,X,O,X
JZTSOLI,O,X,X,X
JZTOILS,O,X,X,X
JZTOISL,O,X,O,X
JZTOLIS,O,X,X,X
JZTOLSI,O,X,X,X
JZTOSIL,O,X,O,X
JZTOSLI,O,X,X,X
JZITLSO,O,X,X,X
JZITLOS,O,X,X,X
JZITSLO,O,X,O,X
JZITSOL,O,X,O,X
JZITOLS,O,X,X,X
JZITOSL,O,X,O,X
JZILTSO,O,X,X,O
JZILTOS,O,X,X,O
JZILSTO,O,X,O,X
JZILSOT,O,X,O,X
JZILOTS,O,X,X,O
JZILOST,O,X,O,X
JZISTLO,O,X,O,X
JZISTOL,O,X,O,X
JZISLTO,O,X,O,X
JZISLOT,O,X,O,X
JZISOTL,O,X,O,X
JZISOLT,O,X,O,X
JZIOTLS,O,X,X,X
JZIOTSL,O,X,O,X
JZIOLTS,O,X,X,O
JZIOLST,O,X,O,X
JZIOSTL,O,X,O,X
JZIOSLT,O,X,O,X
JZLTISO,O,X,X,O
JZLTIOS,O,X,X,O
JZLTSIO,O,X,X,X
JZLTSOI,O,X,X,X
JZLTOIS,O,X,X,X
JZLTOSI,O,X,X,X
JZLITSO,O,X,X,O
JZLITOS,O,X,X,O
JZLISTO,O,X,O,O
JZLISOT,O,X,O,X
JZLIOTS,O,X,X,O
JZLIOST,O,X,O,X
JZLSTIO,O,X,O,X
JZLSTOI,O,X,X,X
JZLSITO,O,X,O,O
JZLSIOT,O,X,O,X
JZLSOTI,O,X,X,X
JZLSOIT,O,X,O,X
JZLOTIS,O,X,X,X
JZLOTSI,O,X,X,X
JZLOITS,O,X,X,O
JZLOIST,O,X,O,X
JZLOSTI,O,X,X,X
JZLOSIT,O,X,O,X
JZSTILO,O,X,O,X
JZSTIOL,O,X,O,X
JZSTLIO,O,X,O,X
JZSTLOI,O,X,X,X
JZSTOIL,O,X,O,X
JZSTOLI,O,X,X,X
JZSITLO,O,X,O,X
JZSITOL,O,X,O,X
JZSILTO,O,X,O,X
JZSILOT,O,X,O,X
JZSIOTL,O,X,O,X
JZSIOLT,O,X,O,X
JZSLTIO,O,X,O,X
JZSLTOI,O,X,X,X
JZSLITO,O,X,O,X
JZSLIOT,O,X,O,X
JZSLOTI,O,X,X,X
JZSLOIT,O,X,O,X
JZSOTIL,O,X,O,X
JZSOTLI,O,X,X,X
JZSOITL,O,X,O,X
JZSOILT,O,X,O,X
JZSOLTI,O,X,X,X
JZSOLIT,O,X,O,X
JZOTILS,O,X,X,X
JZOTISL,O,X,O,X
JZOTLIS,O,X,X,X
JZOTLSI,O,X,X,X
JZOTSIL,O,X,O,X
JZOTSLI,O,X,X,X
JZOITLS,O,X,X,X
JZOITSL,O,X,O,X
JZOILTS,O,X,X,O
JZOILST,O,X,O,X
JZOISTL,O,X,O,X
JZOISLT,O,X,O,X
JZOLTIS,O,X,X,X
JZOLTSI,O,X,X,X
JZOLITS,O,X,X,O
JZOLIST,O,X,O,X
JZOLSTI,O,X,X,X
JZOLSIT,O,X,O,X
JZOSTIL,O,X,O,X
JZOSTLI,O,X,X,X
JZOSITL,O,X,O,X
JZOSILT,O,X,O,X
JZOSLTI,O,X,X,X
JZOSLIT,O,X,O,X
JOTILSZ,X,O,X,O
JOTILZS,O,X,X,O
JOTISLZ,X,O,X,X
JOTISZL,X,O,X,X
JOTIZLS,O,X,X,X
JOTIZSL,O,X,O,X
JOTLISZ,X,O,X,O
JOTLIZS,O,X,X,O
JOTLSIZ,X,O,X,X
JOTLSZI,X,O,X,X
JOTLZIS,O,X,X,X
JOTLZSI,O,X,X,X
JOTSILZ,X,O,X,X
JOTSIZL,X,O,X,X
JOTSLIZ,X,O,X,X
JOTSLZI,X,O,X,X
JOTSZIL,X,O,X,X
JOTSZLI,X,O,X,X
JOTZILS,O,X,X,X
JOTZISL,O,X,O,X
JOTZLIS,O,X,X,X
JOTZLSI,O,X,X,X
JOTZSIL,O,X,O,X
JOTZSLI,O,X,X,X
JOITLSZ,X,O,X,O
JOITLZS,O,X,X,O
JOITSLZ,X,O,X,X
JOITSZL,X,O,X,X
JOITZLS,O,X,X,X
JOITZSL,O,X,O,X
JOILTSZ,X,O,X,O
JOILTZS,O,X,X,O
JOILSTZ,X,O,X,O
JOILSZT,X,O,O,X
JOILZTS,O,X,X,O
JOILZST,O,X,O,X
JOISTLZ,X,O,X,X
JOISTZL,X,O,X,X
JOISLTZ,X,O,X,O
JOISLZT,X,O,O,X
JOISZTL,X,O,O,X
JOISZLT,X,O,O,X
JOIZTLS,O,X,X,X
JOIZTSL,O,X,O,X
JOIZLTS,O,X,X,O
JOIZLST,O,X,O,X
JOIZSTL,O,X,O,X
JOIZSLT,O,X,O,X
JOLTISZ,X,O,X,O
JOLTIZS,O,X,X,O
JOLTSIZ,X,O,X,X
JOLTSZI,X,O,X,X
JOLTZIS,O,X,X,X
JOLTZSI,O,X,X,X
JOLITSZ,X,O,X,O
JOLITZS,O,X,X,O
JOLISTZ,X,O,X,O
JOLISZT,X,O,O,X
JOLIZTS,O,X,X,O
JOLIZST,O,X,O,X
JOLSTIZ,X,O,X,X
JOLSTZI,X,O,X,X
JOLSITZ,X,O,X,O
JOLSIZT,X,O,O,X
JOLSZTI,X,O,X,X
JOLSZIT,X,O,O,X
JOLZTIS,O,X,X,X
JOLZTSI,O,X,X,X
JOLZITS,O,X,X,O
JOLZIST,O,X,O,X
JOLZSTI,O,X,X,X
JOLZSIT,O,X,O,X
JOSTILZ,X,O,X,X
JOSTIZL,X,O,X,X
JOSTLIZ,X,O,X,X
JOSTLZI,X,O,X,X
JOSTZIL,X,O,X,X
JOSTZLI,X,O,X,X
JOSITLZ,X,O,X,X
JOSITZL,X,O,X,X
JOSILTZ,X,O,X,O
JOSILZT,X,O,O,X
JOSIZTL,X,O,O,X
JOSIZLT,X,O,O,X
JOSLTIZ,X,O,X,X
JOSLTZI,X,O,X,X
JOSLITZ,X,O,X,O
JOSLIZT,X,O,O,X
JOSLZTI,X,O,X,X
JOSLZIT,X,O,O,X
JOSZTIL,X,O,O,X
JOSZTLI,X,O,X,X
JOSZITL,X,O,O,X
JOSZILT,X,O,O,X
JOSZLTI,X,O,X,X
JOSZLIT,X,O,O,X
JOZTILS,O,X,X,X
JOZTISL,O,X,O,X
JOZTLIS,O,X,X,X
JOZTLSI,O,X,X,X
JOZTSIL,O,X,O,X
JOZTSLI,O,X,X,X
JOZITLS,O,X,X,X
JOZITSL,O,X,O,X
JOZILTS,O,X,X,O
JOZILST,O,X,O,X
JOZISTL,O,X,O,X
JOZISLT,O,X,O,X
JOZLTIS,O,X,X,X
JOZLTSI,O,X,X,X
JOZLITS,O,X,X,O
JOZLIST,O,X,O,X
JOZLSTI,O,X,X,X
JOZLSIT,O,X,O,X
JOZSTIL,O,X,O,X
JOZSTLI,O,X,X,X
JOZSITL,O,X,O,X
JOZSILT,O,X,O,X
JOZSLTI,O,X,X,X
JOZSLIT,O,X,O,X
STILJZO,X,O,O,X
STILJOZ,X,O,X,X
STILZJO,O,O,O,X
STILZOJ,O,O,X,X
STILOJZ,X,O,X,X
STILOZJ,O,O,X,X
STIJLZO,X,O,O,X
STIJLOZ,X,O,X,X
STIJZLO,X,O,O,X
STIJZOL,X,X,O,X
STIJOLZ,X,O,X,X
STIJOZL,X,O,X,X
STIZLJO,O,O,O,X
STIZLOJ,O,O,X,X
STIZJLO,O,O,O,X
STIZJOL,O,X,O,X
STIZOLJ,O,O,X,X
STIZOJL,O,O,X,X
STIOLJZ,X,O,X,X
STIOLZJ,O,O,X,X
STIOJLZ,X,O,X,X
STIOJZL,X,O,X,X
STIOZLJ,O,O,X,X
STIOZJL,O,O,X,X
STLIJZO,X,O,O,X
STLIJOZ,X,O,X,X
STLIZJO,O,O,O,X
STLIZOJ,O,O,X,X
STLIOJZ,X,O,X,X
STLIOZJ,O,O,X,X
STLJIZO,X,O,O,X
STLJIOZ,X,O,X,X
STLJZIO,X,O,O,X
STLJZOI,X,X,X,X
STLJOIZ,X,O,X,X
STLJOZI,X,O,X,X
STLZIJO,O,O,O,X
STLZIOJ,O,O,X,X
STLZJIO,O,O,O,X
STLZJOI,O,X,X,X
STLZOIJ,O,O,X,X
STLZOJI,O,O,X,X
STLOIJZ,X,O,X,X
STLOIZJ,O,O,X,X
STLOJIZ,X,O,X,X
STLOJZI,X,O,X,X
STLOZIJ,O,O,X,X
STLOZJI,O,O,X,X
STJILZO,X,O,O,X
STJILOZ,X,O,X,X
STJIZLO,X,O,O,X
STJIZOL,X,X,O,X
STJIOLZ,X,O,X,X
STJIOZL,X,O,X,X
STJLIZO,X,O,O,X
STJLIOZ,X,O,X,X
STJLZIO,X,O,O,X
STJLZOI,X,X,X,X
STJLOIZ,X,O,X,X
STJLOZI,X,O,X,X
STJZILO,X,O,O,X
STJZIOL,X,X,O,X
STJZLIO,X,O,O,X
STJZLOI,X,X,X,X
STJZOIL,X,X,O,X
STJZOLI,X,X,X,X
STJOILZ,X,O,X,X
STJOIZL,X,O,X,X
STJOLIZ,X,O,X,X
STJOLZI,X,O,X,X
STJOZIL,X,O,X,X
STJOZLI,X,O,X,X
STZILJO,O,O,O,X
STZILOJ,O,O,X,X
STZIJLO,O,O,O,X
STZIJOL,O,X,O,X
STZIOLJ,O,O,X,X
STZIOJL,O,O,X,X
STZLIJO,O,O,O,X
STZLIOJ,O,O,X,X
STZLJIO,O,O,O,X
STZLJOI,O,X,X,X
STZLOIJ,O,O,X,X
STZLOJI,O,O,X,X
STZJILO,O,O,O,X
STZJIOL,O,X,O,X
STZJLIO,O,O,O,X
STZJLOI,O,X,X,X
STZJOIL,O,X,O,X
STZJOLI,O,X,X,X
STZOILJ,O,O,X,X
STZOIJL,O,O,X,X
STZOLIJ,O,O,X,X
STZOLJI,O,O,X,X
STZOJIL,O,O,X,X
STZOJLI,O,O,X,X
STOILJZ,X,O,X,X
STOILZJ,O,O,X,X
STOIJLZ,X,O,X,X
STOIJZL,X,O,X,X
STOIZLJ,O,O,X,X
STOIZJL,O,O,X,X
STOLIJZ,X,O,X,X
STOLIZJ,O,O,X,X
STOLJIZ,X,O,X,X
STOLJZI,X,O,X,X
STOLZIJ,O,O,X,X
STOLZJI,O,O,X,X
STOJILZ,X,O,X,X
STOJIZL,X,O,X,X
STOJLIZ,X,O,X,X
STOJLZI,X,O,X,X
STOJZIL,X,O,X,X
STOJZLI,X,O,X,X
STOZILJ,O,O,X,X
STOZIJL,O,O,X,X
STOZLIJ,O,O,X,X
STOZLJI,O,O,X,X
STOZJIL,O,O,X,X
STOZJLI,O,O,X,X
SITLJZO,X,O,O,X
SITLJOZ,X,O,X,X
SITLZJO,O,O,O,X
SITLZOJ,O,O,X,X
SITLOJZ,X,O,X,X
SITLOZJ,O,O,X,X
SITJLZO,X,O,O,X
SITJLOZ,X,O,X,X
SITJZLO,X,O,O,X
SITJZOL,X,X,O,X
SITJOLZ,X,O,X,X
SITJOZL,X,O,X,X
SITZLJO,O,O,O,X
SITZLOJ,O,O,X,X
SITZJLO,O,O,O,X
SITZJOL,O,X,O,X
SITZOLJ,O,O,X,X
SITZOJL,O,O,X,X
SITOLJZ,X,O,X,X
SITOLZJ,O,O,X,X
SITOJLZ,X,O,X,X
SITOJZL,X,O,X,X
SITOZLJ,O,O,X,X
SITOZJL,O,O,X,X
SILTJZO,X,O,O,X
SILTJOZ,X,O,X,X
SILTZJO,O,O,O,X
SILTZOJ,O,O,X,X
SILTOJZ,X,O,X,X
SILTOZJ,O,O,X,X
SILJTZO,X,O,O,O
SILJTOZ,X,O,X,O
SILJZTO,X,O,O,X
SILJZOT,X,X,O,X
SILJOTZ,X,O,X,O
SILJOZT,X,O,O,X
SILZTJO,O,O,O,X
SILZTOJ,O,O,X,X
SILZJTO,O,O,O,O
SILZJOT,O,X,O,X
SILZOTJ,O,O,X,X
SILZOJT,O,O,O,X
SILOTJZ,X,O,X,X
SILOTZJ,O,O,X,X
SILOJTZ,X,O,X,O
SILOJZT,X,O,O,X
SILOZTJ,O,O,X,X
SILOZJT,O,O,O,X
SIJTLZO,X,O,O,X
SIJTLOZ,X,O,X,X
SIJTZLO,X,O,O,X
SIJTZOL,X,X,O,X
SIJTOLZ,X,O,X,X
SIJTOZL,X,O,X,X
SIJLTZO,X,O,O,O
SIJLTOZ,X,O,X,O
SIJLZTO,X,O,O,X
SIJLZOT,X,X,O,X
SIJLOTZ,X,O,X,O
SIJLOZT,X,O,O,X
SIJZTLO,X,O,O,X
SIJZTOL,X,X,O,X
SIJZLTO,X,O,O,X
SIJZLOT,X,X,O,X
SIJZOTL,X,O,O,X
SIJZOLT,X,O,O,X
SIJOTLZ,X,O,X,X
SIJOTZL,X,O,X,X
SIJOLTZ,X,O,X,O
SIJOLZT,X,O,O,X
SIJOZTL,X,O,O,X
SIJOZLT,X,O,O,X
SIZTLJO,O,O,O,X
SIZTLOJ,O,O,X,X
SIZTJLO,O,O,O,X
SIZTJOL,O,X,O,X
SIZTOLJ,O,O,X,X
SIZTOJL,O,O,X,X
SIZLTJO,O,O,O,X
SIZLTOJ,O,O,X,X
SIZLJTO,O,O,O,X
SIZLJOT,O,X,O,X
SIZLOTJ,O,O,X,X
SIZLOJT,O,O,O,X
SIZJTLO,O,O,O,X
SIZJTOL,O,X,O,X
SIZJLTO,O,O,O,X
SIZJLOT,O,X,O,X
SIZJOTL,O,O,O,X
SIZJOLT,O,O,O,X
SIZOTLJ,O,O,X,X
SIZOTJL,O,O,X,X
SIZOLTJ,O,O,X,X
SIZOLJT,O,O,O,X
SIZOJTL,O,O,O,X
SIZOJLT,O,O,O,X
SIOTLJZ,X,O,X,X
SIOTLZJ,O,O,X,X
SIOTJLZ,X,O,X,X
SIOTJZL,X,O,X,X
SIOTZLJ,O,O,X,X
SIOTZJL,O,O,X,X
SIOLTJZ,X,O,X,X
SIOLTZJ,O,O,X,X
SIOLJTZ,X,O,X,O
SIOLJZT,X,O,O,X
SIOLZTJ,O,O,X,X
SIOLZJT,O,O,O,X
SIOJTLZ,X,O,X,X
SIOJTZL,X,O,X,X
SIOJLTZ,X,O,X,O
SIOJLZT,X,O,O,X
SIOJZTL,X,O,O,X
SIOJZLT,X,O,O,X
SIOZTLJ,O,O,X,X
SIOZTJL,O,O,X,X
SIOZLTJ,O,O,X,X
SIOZLJT,O,O,O,X
SIOZJTL,O,O,O,X
SIOZJLT,O,O,O,X
SLTIJZO,X,O,O,X
SLTIJOZ,X,O,X,X
SLTIZJO,O,O,O,X
SLTIZOJ,O,O,X,X
SLTIOJZ,X,O,X,X
SLTIOZJ,O,O,X,X
SLTJIZO,X,O,O,X
SLTJIOZ,X,O,X,X
SLTJZIO,X,O,O,X
SLTJZOI,X,X,X,X
SLTJOIZ,X,O,X,X
SLTJOZI,X,O,X,X
SLTZIJO,O,O,O,X
SLTZIOJ,O,O,X,X
SLTZJIO,O,O,O,X
SLTZJOI,O,X,X,X
SLTZOIJ,O,O,X,X
SLTZOJI,O,O,X,X
SLTOIJZ,X,O,X,X
SLTOIZJ,O,O,X,X
SLTOJIZ,X,O,X,X
SLTOJZI,X,O,X,X
SLTOZIJ,O,O,X,X
SLTOZJI,O,O,X,X
SLITJZO,X,O,O,X
SLITJOZ,X,O,X,X
SLITZJO,O,O,O,X
SLITZOJ,O,O,X,X
SLITOJZ,X,O,X,X
SLITOZJ,O,O,X,X
SLIJTZO,X,O,O,O
SLIJTOZ,X,O,X,O
SLIJZTO,X,O,O,X
SLIJZOT,X,X,O,X
SLIJOTZ,X,O,X,O
SLIJOZT,X,O,O,X
SLIZTJO,O,O,O,X
SLIZTOJ,O,O,X,X
SLIZJTO,O,O,O,O
SLIZJOT,O,X,O,X
SLIZOTJ,O,O,X,X
SLIZOJT,O,O,O,X
SLIOTJZ,X,O,X,X
SLIOTZJ,O,O,X,X
SLIOJTZ,X,O,X,O
SLIOJZT,X,O,O,X
SLIOZTJ,O,O,X,X
SLIOZJT,O,O,O,X
SLJTIZO,X,O,O,X
SLJTIOZ,X,O,X,X
SLJTZIO,X,O,O,X
SLJTZOI,X,X,X,X
SLJTOIZ,X,O,X,X
SLJTOZI,X,O,X,X
SLJITZO,X,O,O,O
SLJITOZ,X,O,X,O
SLJIZTO,X,O,O,X
SLJIZOT,X,X,O,X
SLJIOTZ,X,O,X,O
SLJIOZT,X,O,O,X
SLJZTIO,X,O,O,X
SLJZTOI,X,X,X,X
SLJZITO,X,O,O,O
SLJZIOT,X,X,O,X
SLJZOTI,X,X,X,X
SLJZOIT,X,X,O,X
SLJOTIZ,X,O,X,X
SLJOTZI,X,O,X,X
SLJOITZ,X,O,X,O
SLJOIZT,X,O,O,X
SLJOZTI,X,O,X,X
SLJOZIT,X,O,O,X
SLZTIJO,O,O,O,X
SLZTIOJ,O,O,X,X
SLZTJIO,O,O,O,X
SLZTJOI,O,X,X,X
SLZTOIJ,O,O,X,X
SLZTOJI,O,O,X,X
SLZITJO,O,O,O,X
SLZITOJ,O,O,X,X
SLZIJTO,O,O,O,O
SLZIJOT,O,X,O,X
SLZIOTJ,O,O,X,X
SLZIOJT,O,O,O,X
SLZJTIO,O,O,O,X
SLZJTOI,O,X,X,X
SLZJITO,O,O,O,O
SLZJIOT,O,X,O,X
SLZJOTI,O,X,X,X
SLZJOIT,O,X,O,X
SLZOTIJ,O,O,X,X
SLZOTJI,O,O,X,X
SLZOITJ,O,O,X,X
SLZOIJT,O,O,O,X
SLZOJTI,O,O,X,X
SLZOJIT,O,O,O,X
SLOTIJZ,X,O,X,X
SLOTIZJ,O,O,X,X
SLOTJIZ,X,O,X,X
SLOTJZI,X,O,X,X
SLOTZIJ,O,O,X,X
SLOTZJI,O,O,X,X
SLOITJZ,X,O,X,X
SLOITZJ,O,O,X,X
SLOIJTZ,X,O,X,O
SLOIJZT,X,O,O,X
SLOIZTJ,O,O,X,X
SLOIZJT,O,O,O,X
SLOJTIZ,X,O,X,X
SLOJTZI,X,O,X,X
SLOJITZ,X,O,X,O
SLOJIZT,X,O,O,X
SLOJZTI,X,O,X,X
SLOJZIT,X,O,O,X
SLOZTIJ,O,O,X,X
SLOZTJI,O,O,X,X
SLOZITJ,O,O,X,X
SLOZIJT,O,O,O,X
SLOZJTI,O,O,X,X
SLOZJIT,O,O,O,X
SJTILZO,X,O,O,X
SJTILOZ,X,O,X,X
SJTIZLO,X,O,O,X
SJTIZOL,X,X,O,X
SJTIOLZ,X,O,X,X
SJTIOZL,X,O,X,X
SJTLIZO,X,O,O,X
SJTLIOZ,X,O,X,X
SJTLZIO,X,O,O,X
SJTLZOI,X,X,X,X
SJTLOIZ,X,O,X,X
SJTLOZI,X,O,X,X
SJTZILO,X,O,O,X
SJTZIOL,X,X,O,X
SJTZLIO,X,O,O,X
SJTZLOI,X,X,X,X
SJTZOIL,X,X,O,X
SJTZOLI,X,X,X,X
SJTOILZ,X,O,X,X
SJTOIZL,X,O,X,X
SJTOLIZ,X,O,X,X
SJTOLZI,X,O,X,X
SJTOZIL,X,O,X,X
SJTOZLI,X,O,X,X
SJITLZO,X,O,O,X
SJITLOZ,X,O,X,X
SJITZLO,X,O,O,X
SJITZOL,X,X,O,X
SJITOLZ,X,O,X,X
SJITOZL,X,O,X,X
SJILTZO,X,O,O,O
SJILTOZ,X,O,X,O
SJILZTO,X,O,O,X
SJILZOT,X,X,O,X
SJILOTZ,X,O,X,O
SJILOZT,X,O,O,X
SJIZTLO,X,O,O,X
SJIZTOL,X,X,O,X
SJIZLTO,X,O,O,X
SJIZLOT,X,X,O,X
SJIZOTL,X,O,O,X
SJIZOLT,X,O,O,X
SJIOTLZ,X,O,X,X
SJIOTZL,X,O,X,X
SJIOLTZ,X,O,X,O
SJIOLZT,X,O,O,X
SJIOZTL,X,O,O,X
SJIOZLT,X,O,O,X
SJLTIZO,X,O,O,X
SJLTIOZ,X,O,X,X
SJLTZIO,X,O,O,X
SJLTZOI,X,X,X,X
SJLTOIZ,X,O,X,X
SJLTOZI,X,O,X,X
SJLITZO,X,O,O,O
SJLITOZ,X,O,X,O
SJLIZTO,X,O,O,X
SJLIZOT,X,X,O,X
SJLIOTZ,X,O,X,O
SJLIOZT,X,O,O,X
SJLZTIO,X,O,O,X
SJLZTOI,X,X,X,X
SJLZITO,X,O,O,O
SJLZIOT,X,X,O,X
SJLZOTI,X,X,X,X
SJLZOIT,X,X,O,X
SJLOTIZ,X,O,X,X
SJLOTZI,X,O,X,X
SJLOITZ,X,O,X,O
SJLOIZT,X,O,O,X
SJLOZTI,X,O,X,X
SJLOZIT,X,O,O,X
SJZTILO,X,O,O,X
SJZTIOL,X,X,O,X
SJZTLIO,X,O,O,X
SJZTLOI,X,X,X,X
SJZTOIL,X,X,O,X
SJZTOLI,X,X,X,X
SJZITLO,X,O,O,X
SJZITOL,X,X,O,X
SJZILTO,X,O,O,X
SJZILOT,X,X,O,X
SJZIOTL,X,O,O,X
SJZIOLT,X,O,O,X
SJZLTIO,X,O,O,X
SJZLTOI,X,X,X,X
SJZLITO,X,O,O,X
SJZLIOT,X,X,O,X
SJZLOTI,X,X,X,X
SJZLOIT,X,X,O,X
SJZOTIL,X,O,O,X
SJZOTLI,X,O,X,X
SJZOITL,X,O,O,X
SJZOILT,X,O,O,X
SJZOLTI,X,O,X,X
SJZOLIT,X,O,O,X
SJOTILZ,X,O,X,X
SJOTIZL,X,O,X,X
SJOTLIZ,X,O,X,X
SJOTLZI,X,O,X,X
SJOTZIL,X,O,X,X
SJOTZLI,X,O,X,X
SJOITLZ,X,O,X,X
SJOITZL,X,O,X,X
SJOILTZ,X,O,X,O
SJOILZT,X,O,O,X
SJOIZTL,X,O,O,X
SJOIZLT,X,O,O,X
SJOLTIZ,X,O,X,X
SJOLTZI,X,O,X,X
SJOLITZ,X,O,X,O
SJOLIZT,X,O,O,X
SJOLZTI,X,O,X,X
SJOLZIT,X,O,O,X
SJOZTIL,X,O,O,X
SJOZTLI,X,O,X,X
SJOZITL,X,O,O,X
SJOZILT,X,O,O,X
SJOZLTI,X,O,X,X
SJOZLIT,X,O,O,X
SZTILJO,O,O,O,X
SZTILOJ,O,O,X,X
SZTIJLO,O,O,O,X
SZTIJOL,O,X,O,X
SZTIOLJ,O,O,X,X
SZTIOJL,O,O,X,X
SZTLIJO,O,O,O,X
SZTLIOJ,O,O,X,X
SZTLJIO,O,O,O,X
SZTLJOI,O,X,X,X
SZTLOIJ,O,O,X,X
SZTLOJI,O,O,X,X
SZTJILO,O,O,O,X
SZTJIOL,O,X,O,X
SZTJLIO,O,O,O,X
SZTJLOI,O,X,X,X
SZTJOIL,O,X,O,X
SZTJOLI,O,X,X,X
SZTOILJ,O,O,X,X
SZTOIJL,O,O,X,X
SZTOLIJ,O,O,X,X
SZTOLJI,O,O,X,X
SZTOJIL,O,O,X,X
SZTOJLI,O,O,X,X
SZITLJO,O,O,O,X
SZITLOJ,O,O,X,X
SZITJLO,O,O,O,X
SZITJOL,O,X,O,X
SZITOLJ,O,O,X,X
SZITOJL,O,O,X,X
SZILTJO,O,O,O,X
SZILTOJ,O,O,X,X
SZILJTO,O,O,O,X
SZILJOT,O,X,O,X
SZILOTJ,O,O,X,X
SZILOJT,O,O,O,X
SZIJTLO,O,O,O,X
SZIJTOL,O,X,O,X
SZIJLTO,O,O,O,X
SZIJLOT,O,X,O,X
SZIJOTL,O,O,O,X
SZIJOLT,O,O,O,X
SZIOTLJ,O,O,X,X
SZIOTJL,O,O,X,X
SZIOLTJ,O,O,X,X
SZIOLJT,O,O,O,X
SZIOJTL,O,O,O,X
SZIOJLT,O,O,O,X
SZLTIJO,O,O,O,X
SZLTIOJ,O,O,X,X
SZLTJIO,O,O,O,X
SZLTJOI,O,X,X,X
SZLTOIJ,O,O,X,X
SZLTOJI,O,O,X,X
SZLITJO,O,O,O,X
SZLITOJ,O,O,X,X
SZLIJTO,O,O,O,X
SZLIJOT,O,X,O,X
SZLIOTJ,O,O,X,X
SZLIOJT,O,O,O,X
SZLJTIO,O,O,O,X
SZLJTOI,O,X,X,X
SZLJITO,O,O,O,X
SZLJIOT,O,X,O,X
SZLJOTI,O,X,X,X
SZLJOIT,O,X,O,X
SZLOTIJ,O,O,X,X
SZLOTJI,O,O,X,X
SZLOITJ,O,O,X,X
SZLOIJT,O,O,O,X
SZLOJTI,O,O,X,X
SZLOJIT,O,O,O,X
SZJTILO,O,O,O,X
