sequence,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigBOnB8nB5?oBlpB3qB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigB2nB5oB3?nB0pBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBlqBiqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBiqBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeiAJvhF2nB5oBTkB3?nBlqB0pB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFiiB5oB2qB3?nB0pBlqB
JZTSLOI,O,O,X,X,X,O
JZTSOIL,O,O,X,X,X,O
JZTSOLI,O,O,X,X,X,O
JZTOILS,O,O,X,X,O,X
JZTOISL,O,O,X,X,X,O
JZTOLIS,O,O,X,X,O,X
JZTOLSI,O,O,X,X,X,X
JZTOSIL,O,O,X,X,X,O
JZTOSLI,O,O,X,X,X,O
JZITLSO,O,O,X,X,X,X
JZITLOS,O,O,X,X,O,X
JZITSLO,O,O,X,X,X,O
JZITSOL,O,O,X,X,X,O
JZITOLS,O,O,X,X,O,X
JZITOSL,O,O,X,X,X,O
JZILTSO,O,O,X,X,X,X
JZILTOS,O,O,X,X,O,X
JZILSTO,O,X,X,X,X,O
JZILSOT,O,O,X,X,X,O
JZILOTS,O,O,X,X,X,X
JZILOST,O,O,X,X,X,O
JZISTLO,O,X,X,X,X,O
JZISTOL,O,X,X,X,X,O
JZISLTO,O,X,X,X,X,O
JZISLOT,O,O,X,X,X,O
JZISOTL,O,X,X,X,X,O
JZISOLT,O,O,X,X,X,O
JZIOTLS,O,O,X,X,X,X
JZIOTSL,O,X,X,X,X,O
JZIOLTS,O,O,X,X,X,X
JZIOLST,O,O,X,X,X,O
JZIOSTL,O,X,X,X,X,O
JZIOSLT,O,O,X,X,X,O
JZLTISO,O,O,X,X,X,X
JZLTIOS,O,O,X,X,O,X
JZLTSIO,O,O,X,X,X,X
JZLTSOI,O,O,X,X,X,X
JZLTOIS,O,O,X,X,O,X
JZLTOSI,O,O,X,X,X,X
JZLITSO,O,O,X,X,X,X
JZLITOS,O,O,X,X,O,X
JZLISTO,O,X,X,X,X,O
JZLISOT,O,O,X,X,X,O
JZLIOTS,O,O,X,X,X,X
JZLIOST,O,O,X,X,X,O
JZLSTIO,O,X,X,X,X,O
JZLSTOI,O,X,X,X,X,O
JZLSITO,O,X,X,X,X,O
JZLSIOT,O,O,X,X,X,O
JZLSOTI,O,X,X,X,X,O
JZLSOIT,O,O,X,X,X,O
JZLOTIS,O,O,X,X,X,X
JZLOTSI,O,X,X,X,X,X
JZLOITS,O,O,X,X,X,X
JZLOIST,O,O,X,X,X,O
JZLOSTI,O,X,X,X,X,O
JZLOSIT,O,O,X,X,X,O
JZSTILO,O,X,X,X,X,O
JZSTIOL,O,X,X,X,X,O
JZSTLIO,O,X,X,X,X,O
JZSTLOI,O,X,X,X,X,O
JZSTOIL,O,X,X,X,X,O
JZSTOLI,O,X,X,X,X,O
JZSITLO,O,X,X,X,X,O
JZSITOL,O,X,X,X,X,O
JZSILTO,O,X,X,X,X,O
JZSILOT,O,O,X,X,X,O
JZSIOTL,O,X,X,X,X,O
JZSIOLT,O,O,X,X,X,O
JZSLTIO,O,X,X,X,X,O
JZSLTOI,O,X,X,X,X,O
JZSLITO,O,X,X,X,X,O
JZSLIOT,O,O,X,X,X,O
JZSLOTI,O,X,X,X,X,O
JZSLOIT,O,O,X,X,X,O
JZSOTIL,O,X,X,X,X,O
JZSOTLI,O,X,X,X,X,O
JZSOITL,O,X,X,X,X,O
JZSOILT,O,O,X,X,X,O
JZSOLTI,O,X,X,X,X,O
JZSOLIT,O,O,X,X,X,O
JZOTILS,O,O,X,X,X,X
JZOTISL,O,X,X,X,X,O
JZOTLIS,O,O,X,X,X,X
JZOTLSI,O,X,X,X,X,X
JZOTSIL,O,X,X,X,X,O
JZOTSLI,O,X,X,X,X,O
JZOITLS,O,O,X,X,X,X
JZOITSL,O,X,X,X,X,O
JZOILTS,O,O,X,X,X,X
JZOILST,O,O,X,X,X,O
JZOISTL,O,X,X,X,X,O
JZOISLT,O,O,X,X,X,O
JZOLTIS,O,O,X,X,X,X
JZOLTSI,O,X,X,X,X,X
JZOLITS,O,O,X,X,X,X
JZOLIST,O,O,X,X,X,O
JZOLSTI,O,X,X,X,X,O
JZOLSIT,O,O,X,X,X,O
JZOSTIL,O,X,X,X,X,O
JZOSTLI,O,X,X,X,X,O
JZOSITL,O,X,X,X,X,O
JZOSILT,O,O,X,X,X,O
JZOSLTI,O,X,X,X,X,O
JZOSLIT,O,O,X,X,X,O
JOTILSZ,X,X,O,O,O,X
JOTILZS,X,O,X,X,O,X
JOTISLZ,X,X,O,O,O,X
JOTISZL,X,X,O,O,X,X
JOTIZLS,X,O,X,X,O,X
JOTIZSL,X,O,O,X,X,X
JOTLISZ,X,X,O,O,O,X
JOTLIZS,X,O,X,X,O,X
JOTLSIZ,X,X,O,O,O,X
JOTLSZI,X,X,O,O,X,X
JOTLZIS,X,O,X,X,O,X
JOTLZSI,X,O,X,X,X,X
JOTSILZ,X,X,O,O,O,X
JOTSIZL,X,X,O,O,X,X
JOTSLIZ,X,X,O,O,O,X
JOTSLZI,X,X,O,O,X,X
JOTSZIL,X,X,O,O,X,X
JOTSZLI,X,X,O,X,X,X
JOTZILS,X,O,X,X,O,X
JOTZISL,X,O,O,X,X,X
JOTZLIS,X,O,X,X,O,X
JOTZLSI,X,O,X,X,X,X
JOTZSIL,X,O,O,X,X,X
JOTZSLI,X,O,O,X,X,X
JOITLSZ,X,X,O,O,O,X
JOITLZS,X,O,X,X,O,X
JOITSLZ,X,X,O,O,O,X
JOITSZL,X,X,O,O,X,X
JOITZLS,X,O,X,X,O,X
JOITZSL,X,O,O,X,X,X
JOILTSZ,X,X,O,O,O,X
JOILTZS,X,O,X,X,O,X
JOILSTZ,X,X,X,O,X,X
JOILSZT,X,X,O,O,X,X
JOILZTS,X,O,X,X,X,X
JOILZST,X,O,X,O,X,X
JOISTLZ,X,X,O,O,X,X
JOISTZL,X,X,O,O,X,X
JOISLTZ,X,X,X,O,X,X
JOISLZT,X,X,O,O,X,O
JOISZTL,X,X,O,O,X,O
JOISZLT,X,X,O,O,X,O
JOIZTLS,X,O,X,X,X,X
JOIZTSL,X,X,O,X,X,O
JOIZLTS,X,O,X,X,X,X
JOIZLST,X,O,X,O,X,O
JOIZSTL,X,X,O,O,X,O
JOIZSLT,X,O,O,O,X,O
JOLTISZ,X,X,O,O,O,X
JOLTIZS,X,O,X,X,O,X
JOLTSIZ,X,X,O,O,O,X
JOLTSZI,X,X,O,O,X,X
JOLTZIS,X,O,X,X,O,X
JOLTZSI,X,O,X,X,X,X
JOLITSZ,X,X,O,O,O,X
JOLITZS,X,O,X,X,O,X
JOLISTZ,X,X,X,O,X,X
JOLISZT,X,X,O,O,X,X
JOLIZTS,X,O,X,X,X,X
JOLIZST,X,O,X,O,X,X
JOLSTIZ,X,X,X,O,X,X
JOLSTZI,X,X,X,O,X,X
JOLSITZ,X,X,X,O,X,X
JOLSIZT,X,X,O,O,X,X
JOLSZTI,X,X,X,O,X,X
JOLSZIT,X,X,O,O,X,X
JOLZTIS,X,O,X,X,X,X
JOLZTSI,X,X,X,X,X,X
JOLZITS,X,O,X,X,X,X
JOLZIST,X,O,X,O,X,X
JOLZSTI,X,X,X,O,X,X
JOLZSIT,X,O,X,O,X,X
JOSTILZ,X,X,O,O,X,X
JOSTIZL,X,X,O,O,X,X
JOSTLIZ,X,X,O,O,X,X
JOSTLZI,X,X,O,O,X,X
JOSTZIL,X,X,O,O,X,X
JOSTZLI,X,X,O,X,X,X
JOSITLZ,X,X,O,O,X,X
JOSITZL,X,X,O,O,X,X
JOSILTZ,X,X,X,O,X,X
JOSILZT,X,X,O,O,X,O
JOSIZTL,X,X,O,O,X,O
JOSIZLT,X,X,O,O,X,O
JOSLTIZ,X,X,X,O,X,X
JOSLTZI,X,X,X,O,X,X
JOSLITZ,X,X,X,O,X,X
JOSLIZT,X,X,O,O,X,O
JOSLZTI,X,X,X,O,X,O
JOSLZIT,X,X,O,O,X,O
JOSZTIL,X,X,O,O,X,O
JOSZTLI,X,X,X,X,X,O
JOSZITL,X,X,O,O,X,O
JOSZILT,X,X,O,O,X,O
JOSZLTI,X,X,X,O,X,O
JOSZLIT,X,X,O,O,X,O
JOZTILS,X,O,X,X,X,X
JOZTISL,X,X,O,X,X,O
JOZTLIS,X,O,X,X,X,X
JOZTLSI,X,X,X,X,X,X
JOZTSIL,X,X,O,X,X,O
JOZTSLI,X,X,O,X,X,O
JOZITLS,X,O,X,X,X,X
JOZITSL,X,X,O,X,X,O
JOZILTS,X,O,X,X,X,X
JOZILST,X,O,X,O,X,O
JOZISTL,X,X,O,O,X,O
JOZISLT,X,O,O,O,X,O
JOZLTIS,X,O,X,X,X,X
JOZLTSI,X,X,X,X,X,X
JOZLITS,X,O,X,X,X,X
JOZLIST,X,O,X,O,X,O
JOZLSTI,X,X,X,O,X,O
JOZLSIT,X,O,X,O,X,O
JOZSTIL,X,X,O,O,X,O
JOZSTLI,X,X,X,X,X,O
JOZSITL,X,X,O,O,X,O
JOZSILT,X,O,O,O,X,O
JOZSLTI,X,X,X,O,X,O
JOZSLIT,X,O,O,O,X,O
STILJZO,O,O,X,X,X,O
STILJOZ,O,X,X,X,O,X
STILZJO,O,O,X,X,X,O
STILZOJ,O,O,O,O,X,O
STILOJZ,O,X,O,O,O,X
STILOZJ,O,X,O,O,X,X
STIJLZO,O,O,X,X,X,O
STIJLOZ,O,X,X,X,O,X
STIJZLO,O,O,X,X,X,O
STIJZOL,O,O,O,X,X,O
STIJOLZ,O,X,O,X,O,X
STIJOZL,O,X,O,X,X,X
STIZLJO,O,O,X,X,X,O
STIZLOJ,O,O,O,X,X,O
STIZJLO,O,O,X,X,X,O
STIZJOL,O,O,O,X,X,O
STIZOLJ,O,O,O,X,X,O
STIZOJL,O,O,O,O,X,O
STIOLJZ,O,X,O,O,O,X
STIOLZJ,O,X,O,O,X,X
STIOJLZ,O,X,O,O,O,X
STIOJZL,O,X,O,O,X,X
STIOZLJ,O,X,O,X,X,X
STIOZJL,O,X,O,O,X,X
STLIJZO,O,O,X,X,X,O
STLIJOZ,O,X,X,X,O,X
STLIZJO,O,O,X,X,X,O
STLIZOJ,O,O,O,O,X,O
STLIOJZ,O,X,O,O,O,X
STLIOZJ,O,X,O,O,X,X
STLJIZO,O,O,X,X,X,O
STLJIOZ,O,X,X,X,O,X
STLJZIO,O,O,X,X,X,O
STLJZOI,O,O,X,X,X,O
STLJOIZ,O,X,X,X,O,X
STLJOZI,O,X,X,X,X,X
STLZIJO,O,O,X,X,X,O
STLZIOJ,O,O,O,O,X,O
STLZJIO,O,O,X,X,X,O
STLZJOI,O,O,X,X,X,O
STLZOIJ,O,O,O,O,X,O
STLZOJI,O,O,O,O,X,O
STLOIJZ,O,X,O,O,O,X
STLOIZJ,O,X,O,O,X,X
STLOJIZ,O,X,O,O,O,X
STLOJZI,O,X,O,O,X,X
STLOZIJ,O,X,O,O,X,X
STLOZJI,O,X,O,O,X,X
STJILZO,O,O,X,X,X,O
STJILOZ,O,X,X,X,O,X
STJIZLO,O,O,X,X,X,O
STJIZOL,O,O,O,X,X,O
STJIOLZ,O,X,O,X,O,X
STJIOZL,O,X,O,X,X,X
STJLIZO,O,O,X,X,X,O
STJLIOZ,O,X,X,X,O,X
STJLZIO,O,O,X,X,X,O
STJLZOI,O,O,X,X,X,O
STJLOIZ,O,X,X,X,O,X
STJLOZI,O,X,X,X,X,X
STJZILO,O,O,X,X,X,O
STJZIOL,O,O,O,X,X,O
STJZLIO,O,O,X,X,X,O
STJZLOI,O,O,X,X,X,O
STJZOIL,O,O,O,X,X,O
STJZOLI,O,O,O,X,X,O
STJOILZ,O,X,O,X,O,X
STJOIZL,O,X,O,X,X,X
STJOLIZ,O,X,O,X,O,X
STJOLZI,O,X,O,X,X,X
STJOZIL,O,X,O,X,X,X
STJOZLI,O,X,O,X,X,X
STZILJO,O,O,X,X,X,O
STZILOJ,O,O,O,X,X,O
STZIJLO,O,O,X,X,X,O
STZIJOL,O,O,O,X,X,O
STZIOLJ,O,O,O,X,X,O
STZIOJL,O,O,O,O,X,O
STZLIJO,O,O,X,X,X,O
STZLIOJ,O,O,O,X,X,O
STZLJIO,O,O,X,X,X,O
STZLJOI,O,O,X,X,X,O
STZLOIJ,O,O,O,X,X,O
STZLOJI,O,O,O,X,X,O
STZJILO,O,O,X,X,X,O
STZJIOL,O,O,O,X,X,O
STZJLIO,O,O,X,X,X,O
STZJLOI,O,O,X,X,X,O
STZJOIL,O,O,O,X,X,O
STZJOLI,O,O,O,X,X,O
STZOILJ,O,O,O,X,X,O
STZOIJL,O,O,O,O,X,O
STZOLIJ,O,O,O,X,X,O
STZOLJI,O,O,O,X,X,O
STZOJIL,O,O,O,O,X,O
STZOJLI,O,O,O,X,X,O
STOILJZ,O,X,O,O,O,X
STOILZJ,O,X,O,O,X,X
STOIJLZ,O,X,O,O,O,X
STOIJZL,O,X,O,O,X,X
STOIZLJ,O,X,O,X,X,X
STOIZJL,O,X,O,O,X,X
STOLIJZ,O,X,O,O,O,X
STOLIZJ,O,X,O,O,X,X
STOLJIZ,O,X,O,O,O,X
STOLJZI,O,X,O,O,X,X
STOLZIJ,O,X,O,O,X,X
STOLZJI,O,X,O,O,X,X
STOJILZ,O,X,O,O,O,X
STOJIZL,O,X,O,O,X,X
STOJLIZ,O,X,O,O,O,X
STOJLZI,O,X,O,O,X,X
STOJZIL,O,X,O,O,X,X
STOJZLI,O,X,O,X,X,X
STOZILJ,O,X,O,X,X,X
STOZIJL,O,X,O,O,X,X
STOZLIJ,O,X,O,X,X,X
STOZLJI,O,X,O,X,X,X
STOZJIL,O,X,O,O,X,X
STOZJLI,O,X,O,X,X,X
SITLJZO,O,O,X,X,X,O
SITLJOZ,O,X,X,X,O,X
SITLZJO,O,O,X,X,X,O
SITLZOJ,O,O,O,O,X,O
SITLOJZ,O,X,O,O,O,X
SITLOZJ,O,X,O,O,X,X
SITJLZO,O,O,X,X,X,O
SITJLOZ,O,X,X,X,O,X
SITJZLO,O,O,X,X,X,O
SITJZOL,O,O,O,X,X,O
SITJOLZ,O,X,O,X,O,X
SITJOZL,O,X,O,X,X,X
SITZLJO,O,O,X,X,X,O
SITZLOJ,O,O,O,X,X,O
SITZJLO,O,O,X,X,X,O
SITZJOL,O,O,O,X,X,O
SITZOLJ,O,O,O,X,X,O
SITZOJL,O,O,O,O,X,O
SITOLJZ,O,X,O,O,O,X
SITOLZJ,O,X,O,O,X,X
SITOJLZ,O,X,O,O,O,X
SITOJZL,O,X,O,O,X,X
SITOZLJ,O,X,O,X,X,X
SITOZJL,O,X,O,O,X,X
SILTJZO,O,O,X,X,X,O
SILTJOZ,O,X,X,X,O,X
SILTZJO,O,O,X,X,X,O
SILTZOJ,O,O,X,O,X,O
SILTOJZ,O,X,X,O,O,X
SILTOZJ,O,X,X,O,X,X
SILJTZO,O,O,X,X,X,O
SILJTOZ,O,X,X,X,O,X
SILJZTO,O,X,X,X,X,O
SILJZOT,O,O,X,O,X,O
SILJOTZ,X,X,X,O,X,X
SILJOZT,X,X,X,O,X,O
SILZTJO,O,X,X,X,X,O
SILZTOJ,O,X,X,O,X,O
SILZJTO,O,X,X,X,X,O
SILZJOT,O,O,X,O,X,O
SILZOTJ,O,X,X,O,X,O
SILZOJT,O,O,O,O,X,O
SILOTJZ,O,X,X,O,X,X
SILOTZJ,O,X,X,O,X,X
SILOJTZ,X,X,X,O,X,X
SILOJZT,X,X,O,O,X,O
SILOZTJ,O,X,X,O,X,O
SILOZJT,O,X,O,O,X,O
SIJTLZO,O,O,X,X,X,O
SIJTLOZ,O,X,X,X,O,X
SIJTZLO,O,O,X,X,X,O
SIJTZOL,O,O,X,X,X,O
SIJTOLZ,O,X,X,X,O,X
SIJTOZL,O,X,X,X,X,X
SIJLTZO,O,O,X,X,X,O
SIJLTOZ,O,X,X,X,O,X
SIJLZTO,O,X,X,X,X,O
SIJLZOT,O,O,X,O,X,O
SIJLOTZ,X,X,X,O,X,X
SIJLOZT,X,X,X,O,X,O
SIJZTLO,O,X,X,X,X,O
SIJZTOL,O,X,X,X,X,O
SIJZLTO,O,X,X,X,X,O
SIJZLOT,O,O,X,X,X,O
SIJZOTL,O,X,O,O,X,O
SIJZOLT,O,O,O,O,X,O
SIJOTLZ,X,X,X,O,X,X
SIJOTZL,X,X,O,O,X,X
SIJOLTZ,X,X,X,O,X,X
SIJOLZT,X,X,O,O,X,O
SIJOZTL,X,X,O,O,X,O
SIJOZLT,X,X,O,O,X,O
SIZTLJO,O,X,X,X,X,O
SIZTLOJ,O,X,X,X,X,O
SIZTJLO,O,X,X,X,X,O
SIZTJOL,O,X,X,X,X,O
SIZTOLJ,O,X,X,X,X,O
SIZTOJL,O,X,O,O,X,O
SIZLTJO,O,X,X,X,X,O
SIZLTOJ,O,X,X,O,X,O
SIZLJTO,O,X,X,X,X,O
SIZLJOT,O,O,X,O,X,O
SIZLOTJ,O,X,X,O,X,O
SIZLOJT,O,O,O,O,X,O
SIZJTLO,O,X,X,X,X,O
SIZJTOL,O,X,X,X,X,O
SIZJLTO,O,X,X,X,X,O
SIZJLOT,O,O,X,X,X,O
SIZJOTL,O,X,O,O,X,O
SIZJOLT,O,O,O,O,X,O
SIZOTLJ,O,X,X,X,X,O
SIZOTJL,O,X,O,O,X,O
SIZOLTJ,O,X,X,O,X,O
SIZOLJT,O,O,O,O,X,O
SIZOJTL,O,X,O,O,X,O
SIZOJLT,O,O,O,O,X,O
SIOTLJZ,O,X,O,O,X,X
SIOTLZJ,O,X,O,O,X,X
SIOTJLZ,O,X,O,O,X,X
SIOTJZL,O,X,O,O,X,X
SIOTZLJ,O,X,O,X,X,X
SIOTZJL,O,X,O,O,X,X
SIOLTJZ,O,X,X,O,X,X
SIOLTZJ,O,X,X,O,X,X
SIOLJTZ,X,X,X,O,X,X
SIOLJZT,X,X,O,O,X,O
SIOLZTJ,O,X,X,O,X,O
SIOLZJT,O,X,O,O,X,O
SIOJTLZ,X,X,O,O,X,X
SIOJTZL,X,X,O,O,X,X
SIOJLTZ,X,X,X,O,X,X
SIOJLZT,X,X,O,O,X,O
SIOJZTL,X,X,O,O,X,O
SIOJZLT,X,X,O,O,X,O
SIOZTLJ,O,X,X,X,X,O
SIOZTJL,O,X,O,O,X,O
SIOZLTJ,O,X,X,O,X,O
SIOZLJT,O,X,O,O,X,O
SIOZJTL,O,X,O,O,X,O
SIOZJLT,O,X,O,O,X,O
SLTIJZO,O,O,X,X,X,O
SLTIJOZ,O,X,X,X,O,X
SLTIZJO,O,O,X,X,X,O
SLTIZOJ,O,O,X,O,X,O
SLTIOJZ,O,X,X,O,O,X
SLTIOZJ,O,X,X,O,X,X
SLTJIZO,O,O,X,X,X,O
SLTJIOZ,O,X,X,X,O,X
SLTJZIO,O,O,X,X,X,O
SLTJZOI,O,O,X,X,X,O
SLTJOIZ,O,X,X,X,O,X
SLTJOZI,O,X,X,X,X,X
SLTZIJO,O,O,X,X,X,O
SLTZIOJ,O,O,X,O,X,O
SLTZJIO,O,O,X,X,X,O
SLTZJOI,O,O,X,X,X,O
SLTZOIJ,O,O,X,O,X,O
SLTZOJI,O,O,X,O,X,O
SLTOIJZ,O,X,X,O,O,X
SLTOIZJ,O,X,X,O,X,X
SLTOJIZ,O,X,X,O,O,X
SLTOJZI,O,X,X,O,X,X
SLTOZIJ,O,X,X,O,X,X
SLTOZJI,O,X,X,O,X,X
SLITJZO,O,O,X,X,X,O
SLITJOZ,O,X,X,X,O,X
SLITZJO,O,O,X,X,X,O
SLITZOJ,O,O,X,O,X,O
SLITOJZ,O,X,X,O,O,X
SLITOZJ,O,X,X,O,X,X
SLIJTZO,O,O,X,X,X,O
SLIJTOZ,O,X,X,X,O,X
SLIJZTO,O,X,X,X,X,O
SLIJZOT,O,O,X,O,X,O
SLIJOTZ,X,X,X,O,X,X
SLIJOZT,X,X,X,O,X,O
SLIZTJO,O,X,X,X,X,O
SLIZTOJ,O,X,X,O,X,O
SLIZJTO,O,X,X,X,X,O
SLIZJOT,O,O,X,O,X,O
SLIZOTJ,O,X,X,O,X,O
SLIZOJT,O,O,O,O,X,O
SLIOTJZ,O,X,X,O,X,X
SLIOTZJ,O,X,X,O,X,X
SLIOJTZ,X,X,X,O,X,X
SLIOJZT,X,X,O,O,X,O
SLIOZTJ,O,X,X,O,X,O
SLIOZJT,O,X,O,O,X,O
SLJTIZO,O,O,X,X,X,O
SLJTIOZ,O,X,X,X,O,X
SLJTZIO,O,O,X,X,X,O
SLJTZOI,O,O,X,X,X,O
SLJTOIZ,O,X,X,X,O,X
SLJTOZI,O,X,X,X,X,X
SLJITZO,O,O,X,X,X,O
SLJITOZ,O,X,X,X,O,X
SLJIZTO,O,X,X,X,X,O
SLJIZOT,O,O,X,O,X,O
SLJIOTZ,X,X,X,O,X,X
SLJIOZT,X,X,X,O,X,O
SLJZTIO,O,X,X,X,X,O
SLJZTOI,O,X,X,X,X,O
SLJZITO,O,X,X,X,X,O
SLJZIOT,O,O,X,O,X,O
SLJZOTI,O,X,X,O,X,O
SLJZOIT,O,O,X,O,X,O
SLJOTIZ,X,X,X,O,X,X
SLJOTZI,X,X,X,O,X,X
SLJOITZ,X,X,X,O,X,X
SLJOIZT,X,X,X,O,X,O
SLJOZTI,X,X,X,O,X,O
SLJOZIT,X,X,X,O,X,O
SLZTIJO,O,X,X,X,X,O
SLZTIOJ,O,X,X,O,X,O
SLZTJIO,O,X,X,X,X,O
SLZTJOI,O,X,X,X,X,O
SLZTOIJ,O,X,X,O,X,O
SLZTOJI,O,X,X,O,X,O
SLZITJO,O,X,X,X,X,O
SLZITOJ,O,X,X,O,X,O
SLZIJTO,O,X,X,X,X,O
SLZIJOT,O,O,X,O,X,O
SLZIOTJ,O,X,X,O,X,O
SLZIOJT,O,O,O,O,X,O
SLZJTIO,O,X,X,X,X,O
SLZJTOI,O,X,X,X,X,O
SLZJITO,O,X,X,X,X,O
SLZJIOT,O,O,X,O,X,O
SLZJOTI,O,X,X,O,X,O
SLZJOIT,O,O,X,O,X,O
SLZOTIJ,O,X,X,O,X,O
SLZOTJI,O,X,X,O,X,O
SLZOITJ,O,X,X,O,X,O
SLZOIJT,O,O,O,O,X,O
SLZOJTI,O,X,X,O,X,O
SLZOJIT,O,O,O,O,X,O
SLOTIJZ,O,X,X,O,X,X
SLOTIZJ,O,X,X,O,X,X
SLOTJIZ,O,X,X,O,X,X
SLOTJZI,O,X,X,O,X,X
SLOTZIJ,O,X,X,O,X,X
SLOTZJI,O,X,X,O,X,X
SLOITJZ,O,X,X,O,X,X
SLOITZJ,O,X,X,O,X,X
SLOIJTZ,X,X,X,O,X,X
SLOIJZT,X,X,O,O,X,O
SLOIZTJ,O,X,X,O,X,O
SLOIZJT,O,X,O,O,X,O
SLOJTIZ,X,X,X,O,X,X
SLOJTZI,X,X,X,O,X,X
SLOJITZ,X,X,X,O,X,X
SLOJIZT,X,X,O,O,X,O
SLOJZTI,X,X,X,O,X,O
SLOJZIT,X,X,O,O,X,O
SLOZTIJ,O,X,X,O,X,O
SLOZTJI,O,X,X,O,X,O
SLOZITJ,O,X,X,O,X,O
SLOZIJT,O,X,O,O,X,O
SLOZJTI,O,X,X,O,X,O
SLOZJIT,O,X,O,O,X,O
SJTILZO,O,O,X,X,X,O
SJTILOZ,O,X,X,X,O,X
SJTIZLO,O,O,X,X,X,O
SJTIZOL,O,O,X,X,X,O
SJTIOLZ,O,X,X,X,O,X
SJTIOZL,O,X,X,X,X,X
SJTLIZO,O,O,X,X,X,O
SJTLIOZ,O,X,X,X,O,X
SJTLZIO,O,O,X,X,X,O
SJTLZOI,O,O,X,X,X,O
SJTLOIZ,O,X,X,X,O,X
SJTLOZI,O,X,X,X,X,X
SJTZILO,O,O,X,X,X,O
SJTZIOL,O,O,X,X,X,O
SJTZLIO,O,O,X,X,X,O
SJTZLOI,O,O,X,X,X,O
SJTZOIL,O,O,X,X,X,O
SJTZOLI,O,O,X,X,X,O
SJTOILZ,O,X,X,X,O,X
SJTOIZL,O,X,X,X,X,X
SJTOLIZ,O,X,X,X,O,X
SJTOLZI,O,X,X,X,X,X
SJTOZIL,O,X,X,X,X,X
SJTOZLI,O,X,X,X,X,X
SJITLZO,O,O,X,X,X,O
SJITLOZ,O,X,X,X,O,X
SJITZLO,O,O,X,X,X,O
SJITZOL,O,O,X,X,X,O
SJITOLZ,O,X,X,X,O,X
SJITOZL,O,X,X,X,X,X
SJILTZO,O,O,X,X,X,O
SJILTOZ,O,X,X,X,O,X
SJILZTO,O,X,X,X,X,O
SJILZOT,O,O,X,O,X,O
SJILOTZ,X,X,X,O,X,X
SJILOZT,X,X,X,O,X,O
SJIZTLO,O,X,X,X,X,O
SJIZTOL,O,X,X,X,X,O
SJIZLTO,O,X,X,X,X,O
SJIZLOT,O,O,X,X,X,O
SJIZOTL,O,X,O,O,X,O
SJIZOLT,O,O,O,O,X,O
SJIOTLZ,X,X,X,O,X,X
SJIOTZL,X,X,O,O,X,X
SJIOLTZ,X,X,X,O,X,X
SJIOLZT,X,X,O,O,X,O
SJIOZTL,X,X,O,O,X,O
SJIOZLT,X,X,O,O,X,O
SJLTIZO,O,O,X,X,X,O
SJLTIOZ,O,X,X,X,O,X
SJLTZIO,O,O,X,X,X,O
SJLTZOI,O,O,X,X,X,O
SJLTOIZ,O,X,X,X,O,X
SJLTOZI,O,X,X,X,X,X
SJLITZO,O,O,X,X,X,O
SJLITOZ,O,X,X,X,O,X
SJLIZTO,O,X,X,X,X,O
SJLIZOT,O,O,X,O,X,O
SJLIOTZ,X,X,X,O,X,X
SJLIOZT,X,X,X,O,X,O
SJLZTIO,O,X,X,X,X,O
SJLZTOI,O,X,X,X,X,O
SJLZITO,O,X,X,X,X,O
SJLZIOT,O,O,X,O,X,O
SJLZOTI,O,X,X,O,X,O
SJLZOIT,O,O,X,O,X,O
SJLOTIZ,X,X,X,O,X,X
SJLOTZI,X,X,X,O,X,X
SJLOITZ,X,X,X,O,X,X
SJLOIZT,X,X,X,O,X,O
SJLOZTI,X,X,X,O,X,O
SJLOZIT,X,X,X,O,X,O
SJZTILO,O,X,X,X,X,O
SJZTIOL,O,X,X,X,X,O
SJZTLIO,O,X,X,X,X,O
SJZTLOI,O,X,X,X,X,O
SJZTOIL,O,X,X,X,X,O
SJZTOLI,O,X,X,X,X,O
SJZITLO,O,X,X,X,X,O
SJZITOL,O,X,X,X,X,O
SJZILTO,O,X,X,X,X,O
SJZILOT,O,O,X,X,X,O
SJZIOTL,O,X,O,O,X,O
SJZIOLT,O,O,O,O,X,O
SJZLTIO,O,X,X,X,X,O
SJZLTOI,O,X,X,X,X,O
SJZLITO,O,X,X,X,X,O
SJZLIOT,O,O,X,X,X,O
SJZLOTI,O,X,X,X,X,O
SJZLOIT,O,O,X,X,X,O
SJZOTIL,O,X,O,O,X,O
SJZOTLI,O,X,X,X,X,O
SJZOITL,O,X,O,O,X,O
SJZOILT,O,O,O,O,X,O
SJZOLTI,O,X,X,X,X,O
SJZOLIT,O,O,O,O,X,O
SJOTILZ,X,X,X,O,X,X
SJOTIZL,X,X,O,O,X,X
SJOTLIZ,X,X,X,O,X,X
SJOTLZI,X,X,X,O,X,X
SJOTZIL,X,X,O,O,X,X
SJOTZLI,X,X,X,X,X,X
SJOITLZ,X,X,X,O,X,X
SJOITZL,X,X,O,O,X,X
SJOILTZ,X,X,X,O,X,X
SJOILZT,X,X,O,O,X,O
