sequence,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigBOnB8nB5?oBlpB3qB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigB2nB5oB3?nB0pBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBlqBiqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBiqBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeiAJvhF2nB5oBTkB3?nBlqB0pB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFiiB5oB2qB3?nB0pBlqB
TZILOSJ,O,O,X,X,X,X
TZIJLSO,O,O,X,X,X,X
TZIJLOS,O,O,X,X,O,X
TZIJSLO,O,O,X,X,X,O
TZIJSOL,O,O,X,X,X,O
TZIJOLS,O,O,X,X,O,X
TZIJOSL,O,O,X,X,X,O
TZISLJO,O,O,X,X,X,O
TZISLOJ,O,O,O,X,X,O
TZISJLO,O,O,X,X,X,O
TZISJOL,O,O,O,X,X,O
TZISOLJ,O,O,O,X,X,O
TZISOJL,O,O,O,X,X,O
TZIOLJS,O,O,X,X,O,X
TZIOLSJ,O,O,X,X,X,X
TZIOJLS,O,O,X,X,O,X
TZIOJSL,O,O,O,X,X,O
TZIOSLJ,O,O,O,X,X,O
TZIOSJL,O,O,O,X,X,O
TZLIJSO,O,O,X,X,X,X
TZLIJOS,O,O,X,X,O,X
TZLISJO,O,O,X,X,X,X
TZLISOJ,O,O,X,X,X,X
TZLIOJS,O,O,X,X,O,X
TZLIOSJ,O,O,X,X,X,X
TZLJISO,O,O,X,X,X,X
TZLJIOS,O,O,X,X,O,X
TZLJSIO,O,O,X,X,X,X
TZLJSOI,O,O,X,X,X,X
TZLJOIS,O,O,X,X,O,X
TZLJOSI,O,O,X,X,X,X
TZLSIJO,O,O,X,X,X,X
TZLSIOJ,O,O,X,X,X,X
TZLSJIO,O,O,X,X,X,X
TZLSJOI,O,O,X,X,X,X
TZLSOIJ,O,O,X,X,X,X
TZLSOJI,O,O,X,X,X,X
TZLOIJS,O,O,X,X,O,X
TZLOISJ,O,O,X,X,X,X
TZLOJIS,O,O,X,X,O,X
TZLOJSI,O,O,X,X,X,X
TZLOSIJ,O,O,X,X,X,X
TZLOSJI,O,O,X,X,X,X
TZJILSO,O,O,X,X,X,X
TZJILOS,O,O,X,X,O,X
TZJISLO,O,O,X,X,X,O
TZJISOL,O,O,X,X,X,O
TZJIOLS,O,O,X,X,O,X
TZJIOSL,O,O,X,X,X,O
TZJLISO,O,O,X,X,X,X
TZJLIOS,O,O,X,X,O,X
TZJLSIO,O,O,X,X,X,X
TZJLSOI,O,O,X,X,X,X
TZJLOIS,O,O,X,X,O,X
TZJLOSI,O,O,X,X,X,X
TZJSILO,O,O,X,X,X,O
TZJSIOL,O,O,X,X,X,O
TZJSLIO,O,O,X,X,X,O
TZJSLOI,O,O,X,X,X,O
TZJSOIL,O,O,X,X,X,O
TZJSOLI,O,O,X,X,X,O
TZJOILS,O,O,X,X,O,X
TZJOISL,O,O,X,X,X,O
TZJOLIS,O,O,X,X,O,X
TZJOLSI,O,O,X,X,X,X
TZJOSIL,O,O,X,X,X,O
TZJOSLI,O,O,X,X,X,O
TZSILJO,O,O,X,X,X,O
TZSILOJ,O,O,O,X,X,O
TZSIJLO,O,O,X,X,X,O
TZSIJOL,O,O,O,X,X,O
TZSIOLJ,O,O,O,X,X,O
TZSIOJL,O,O,O,X,X,O
TZSLIJO,O,O,X,X,X,O
TZSLIOJ,O,O,O,X,X,O
TZSLJIO,O,O,X,X,X,O
TZSLJOI,O,O,X,X,X,O
TZSLOIJ,O,O,O,X,X,O
TZSLOJI,O,O,O,X,X,O
TZSJILO,O,O,X,X,X,O
TZSJIOL,O,O,O,X,X,O
TZSJLIO,O,O,X,X,X,O
TZSJLOI,O,O,X,X,X,O
TZSJOIL,O,O,O,X,X,O
TZSJOLI,O,O,O,X,X,O
TZSOILJ,O,O,O,X,X,O
TZSOIJL,O,O,O,X,X,O
TZSOLIJ,O,O,O,X,X,O
TZSOLJI,O,O,O,X,X,O
TZSOJIL,O,O,O,X,X,O
TZSOJLI,O,O,O,X,X,O
TZOILJS,O,O,X,X,O,X
TZOILSJ,O,O,X,X,X,X
TZOIJLS,O,O,X,X,O,X
TZOIJSL,O,O,O,X,X,O
TZOISLJ,O,O,O,X,X,O
TZOISJL,O,O,O,X,X,O
TZOLIJS,O,O,X,X,O,X
TZOLISJ,O,O,X,X,X,X
TZOLJIS,O,O,X,X,O,X
TZOLJSI,O,O,X,X,X,X
TZOLSIJ,O,O,X,X,X,X
TZOLSJI,O,O,X,X,X,X
TZOJILS,O,O,X,X,O,X
TZOJISL,O,O,O,X,X,O
TZOJLIS,O,O,X,X,O,X
TZOJLSI,O,O,X,X,X,X
TZOJSIL,O,O,O,X,X,O
TZOJSLI,O,O,O,X,X,O
TZOSILJ,O,O,O,X,X,O
TZOSIJL,O,O,O,X,X,O
TZOSLIJ,O,O,O,X,X,O
TZOSLJI,O,O,O,X,X,O
TZOSJIL,O,O,O,X,X,O
TZOSJLI,O,O,O,X,X,O
TOILJSZ,X,X,O,O,O,X
TOILJZS,O,O,X,X,O,X
TOILSJZ,X,X,O,O,O,X
TOILSZJ,O,X,O,O,X,X
TOILZJS,O,O,X,X,O,X
TOILZSJ,O,O,X,X,X,X
TOIJLSZ,X,X,O,O,O,X
TOIJLZS,O,O,X,X,O,X
TOIJSLZ,X,X,O,O,O,X
TOIJSZL,X,X,O,O,X,X
TOIJZLS,O,O,X,X,O,X
TOIJZSL,O,O,O,X,X,X
TOISLJZ,X,X,O,O,O,X
TOISLZJ,O,X,O,O,X,X
