sequence,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KeXAJvhF8l?BanBunB5oB9rBzpB,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KemAJvhF3i?B5oBqpBTlB9rBUsB,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KeNFJvhF3h?BunB5oBqpB8rBzqB
ZLSTIJO,O,X,O
ZLSTIOJ,O,O,O
ZLSTJIO,O,X,O
ZLSTJOI,O,X,O
ZLSTOIJ,O,O,O
ZLSTOJI,O,O,O
ZLSITJO,O,X,O
ZLSITOJ,O,O,O
ZLSIJTO,O,X,O
ZLSIJOT,X,X,O
ZLSIOTJ,X,O,O
ZLSIOJT,X,X,O
ZLSJTIO,O,X,O
ZLSJTOI,O,X,O
ZLSJITO,O,X,O
ZLSJIOT,X,X,O
ZLSJOTI,X,X,O
ZLSJOIT,X,X,O
ZLSOTIJ,X,O,O
ZLSOTJI,X,O,O
ZLSOITJ,X,O,O
ZLSOIJT,X,X,O
ZLSOJTI,X,X,O
ZLSOJIT,X,X,O
ZLOTIJS,O,O,O
ZLOTISJ,O,O,O
ZLOTJIS,O,O,O
ZLOTJSI,O,O,O
ZLOTSIJ,O,O,O
ZLOTSJI,O,O,O
ZLOITJS,O,O,O
ZLOITSJ,O,O,O
ZLOIJTS,O,O,O
ZLOIJST,X,X,O
ZLOISTJ,X,O,O
ZLOISJT,X,X,O
ZLOJTIS,O,O,O
ZLOJTSI,O,O,O
ZLOJITS,O,O,O
ZLOJIST,X,X,O
ZLOJSTI,X,X,O
ZLOJSIT,X,X,O
ZLOSTIJ,X,O,O
ZLOSTJI,X,O,O
ZLOSITJ,X,O,O
ZLOSIJT,X,X,O
ZLOSJTI,X,X,O
ZLOSJIT,X,X,O
ZJTILSO,O,X,O
ZJTILOS,O,X,O
ZJTISLO,O,X,O
ZJTISOL,O,X,X
ZJTIOLS,O,X,X
ZJTIOSL,O,X,X
ZJTLISO,O,X,O
ZJTLIOS,O,X,O
ZJTLSIO,O,X,O
ZJTLSOI,O,X,O
ZJTLOIS,O,X,O
ZJTLOSI,O,X,O
ZJTSILO,O,X,O
ZJTSIOL,O,X,X
ZJTSLIO,O,X,O
ZJTSLOI,O,X,O
ZJTSOIL,O,X,X
ZJTSOLI,O,X,X
ZJTOILS,O,X,X
ZJTOISL,O,X,X
ZJTOLIS,O,X,X
ZJTOLSI,O,X,X
ZJTOSIL,O,X,X
ZJTOSLI,O,X,X
ZJITLSO,O,X,O
ZJITLOS,O,X,O
ZJITSLO,O,X,O
ZJITSOL,O,X,X
ZJITOLS,O,X,X
ZJITOSL,O,X,X
ZJILTSO,O,X,O
ZJILTOS,O,X,O
ZJILSTO,O,X,O
ZJILSOT,X,X,O
ZJILOTS,O,X,O
ZJILOST,X,X,O
ZJISTLO,O,X,O
ZJISTOL,O,X,X
ZJISLTO,O,X,O
ZJISLOT,X,X,O
ZJISOTL,O,X,X
ZJISOLT,X,X,O
ZJIOTLS,O,X,X
ZJIOTSL,O,X,X
ZJIOLTS,O,X,O
ZJIOLST,O,X,O
ZJIOSTL,O,X,X
ZJIOSLT,O,X,O
ZJLTISO,O,X,O
ZJLTIOS,O,X,O
ZJLTSIO,O,X,O
ZJLTSOI,O,X,O
ZJLTOIS,O,X,O
ZJLTOSI,O,X,O
ZJLITSO,O,X,O
ZJLITOS,O,X,O
ZJLISTO,O,X,O
ZJLISOT,X,X,O
ZJLIOTS,O,X,O
ZJLIOST,X,X,O
ZJLSTIO,O,X,O
ZJLSTOI,O,X,O
ZJLSITO,O,X,O
ZJLSIOT,X,X,O
ZJLSOTI,X,X,O
ZJLSOIT,X,X,O
ZJLOTIS,O,X,O
ZJLOTSI,O,X,O
ZJLOITS,O,X,O
ZJLOIST,X,X,O
ZJLOSTI,X,X,O
ZJLOSIT,X,X,O
ZJSTILO,O,X,O
ZJSTIOL,O,X,X
ZJSTLIO,O,X,O
ZJSTLOI,O,X,O
ZJSTOIL,O,X,X
ZJSTOLI,O,X,X
ZJSITLO,O,X,O
ZJSITOL,O,X,X
ZJSILTO,O,X,O
ZJSILOT,X,X,O
ZJSIOTL,O,X,X
ZJSIOLT,X,X,O
ZJSLTIO,O,X,O
ZJSLTOI,O,X,O
ZJSLITO,O,X,O
ZJSLIOT,X,X,O
ZJSLOTI,X,X,O
ZJSLOIT,X,X,O
ZJSOTIL,O,X,X
ZJSOTLI,O,X,X
ZJSOITL,O,X,X
ZJSOILT,X,X,O
ZJSOLTI,X,X,O
ZJSOLIT,X,X,O
ZJOTILS,O,X,X
ZJOTISL,O,X,X
ZJOTLIS,O,X,X
ZJOTLSI,O,X,X
ZJOTSIL,O,X,X
ZJOTSLI,O,X,X
ZJOITLS,O,X,X
ZJOITSL,O,X,X
ZJOILTS,O,X,O
ZJOILST,O,X,O
ZJOISTL,O,X,X
ZJOISLT,O,X,O
ZJOLTIS,O,X,O
ZJOLTSI,O,X,O
ZJOLITS,O,X,O
ZJOLIST,O,X,O
ZJOLSTI,O,X,O
ZJOLSIT,O,X,O
ZJOSTIL,O,X,X
ZJOSTLI,O,X,X
ZJOSITL,O,X,X
ZJOSILT,O,X,O
ZJOSLTI,O,X,O
ZJOSLIT,O,X,O
ZSTILJO,O,X,O
ZSTILOJ,O,O,O
ZSTIJLO,O,X,O
ZSTIJOL,O,X,X
ZSTIOLJ,O,X,X
ZSTIOJL,O,X,X
ZSTLIJO,O,X,O
ZSTLIOJ,O,O,O
ZSTLJIO,O,X,O
ZSTLJOI,O,X,O
ZSTLOIJ,O,O,O
ZSTLOJI,O,O,O
ZSTJILO,O,X,O
ZSTJIOL,O,X,X
ZSTJLIO,O,X,O
ZSTJLOI,O,X,O
ZSTJOIL,O,X,X
ZSTJOLI,O,X,X
ZSTOILJ,O,X,X
ZSTOIJL,O,X,X
ZSTOLIJ,O,X,X
ZSTOLJI,O,X,X
ZSTOJIL,O,X,X
ZSTOJLI,O,X,X
ZSITLJO,O,X,O
ZSITLOJ,O,O,O
ZSITJLO,O,X,O
ZSITJOL,O,X,X
ZSITOLJ,O,X,X
ZSITOJL,O,X,X
ZSILTJO,O,X,O
ZSILTOJ,O,O,O
ZSILJTO,O,X,O
ZSILJOT,X,X,O
ZSILOTJ,X,O,O
ZSILOJT,X,X,O
ZSIJTLO,O,X,O
ZSIJTOL,O,X,X
ZSIJLTO,O,X,O
ZSIJLOT,X,X,O
ZSIJOTL,O,X,X
ZSIJOLT,X,X,O
ZSIOTLJ,O,X,X
ZSIOTJL,O,X,X
ZSIOLTJ,X,X,O
ZSIOLJT,X,X,O
ZSIOJTL,O,X,X
ZSIOJLT,X,X,O
ZSLTIJO,O,X,O
ZSLTIOJ,O,O,O
ZSLTJIO,O,X,O
ZSLTJOI,O,X,O
ZSLTOIJ,O,O,O
ZSLTOJI,O,O,O
ZSLITJO,O,X,O
ZSLITOJ,O,O,O
ZSLIJTO,O,X,O
ZSLIJOT,X,X,O
ZSLIOTJ,X,O,O
ZSLIOJT,X,X,O
ZSLJTIO,O,X,O
ZSLJTOI,O,X,O
ZSLJITO,O,X,O
ZSLJIOT,X,X,O
ZSLJOTI,X,X,O
ZSLJOIT,X,X,O
ZSLOTIJ,X,O,O
ZSLOTJI,X,O,O
ZSLOITJ,X,O,O
ZSLOIJT,X,X,O
ZSLOJTI,X,X,O
ZSLOJIT,X,X,O
ZSJTILO,O,X,O
ZSJTIOL,O,X,X
ZSJTLIO,O,X,O
ZSJTLOI,O,X,O
ZSJTOIL,O,X,X
ZSJTOLI,O,X,X
ZSJITLO,O,X,O
ZSJITOL,O,X,X
ZSJILTO,O,X,O
ZSJILOT,X,X,O
ZSJIOTL,O,X,X
ZSJIOLT,X,X,O
ZSJLTIO,O,X,O
ZSJLTOI,O,X,O
ZSJLITO,O,X,O
ZSJLIOT,X,X,O
ZSJLOTI,X,X,O
ZSJLOIT,X,X,O
ZSJOTIL,O,X,X
ZSJOTLI,O,X,X
ZSJOITL,O,X,X
ZSJOILT,X,X,O
ZSJOLTI,X,X,O
ZSJOLIT,X,X,O
ZSOTILJ,O,X,X
ZSOTIJL,O,X,X
ZSOTLIJ,O,X,X
ZSOTLJI,O,X,X
ZSOTJIL,O,X,X
ZSOTJLI,O,X,X
ZSOITLJ,O,X,X
ZSOITJL,O,X,X
ZSOILTJ,X,X,O
ZSOILJT,X,X,O
ZSOIJTL,O,X,X
ZSOIJLT,X,X,O
ZSOLTIJ,X,X,O
ZSOLTJI,X,X,O
ZSOLITJ,X,X,O
ZSOLIJT,X,X,O
ZSOLJTI,X,X,O
ZSOLJIT,X,X,O
ZSOJTIL,O,X,X
ZSOJTLI,O,X,X
ZSOJITL,O,X,X
ZSOJILT,X,X,O
ZSOJLTI,X,X,O
ZSOJLIT,X,X,O
ZOTILJS,O,X,X
ZOTILSJ,O,X,X
ZOTIJLS,O,X,X
ZOTIJSL,O,X,X
ZOTISLJ,O,X,X
ZOTISJL,O,X,X
ZOTLIJS,O,X,X
ZOTLISJ,O,X,X
ZOTLJIS,O,X,X
ZOTLJSI,O,X,X
ZOTLSIJ,O,X,X
ZOTLSJI,O,X,X
ZOTJILS,O,X,X
ZOTJISL,O,X,X
ZOTJLIS,O,X,X
ZOTJLSI,O,X,X
ZOTJSIL,O,X,X
ZOTJSLI,O,X,X
ZOTSILJ,O,X,X
ZOTSIJL,O,X,X
ZOTSLIJ,O,X,X
ZOTSLJI,O,X,X
ZOTSJIL,O,X,X
ZOTSJLI,O,X,X
ZOITLJS,O,X,X
ZOITLSJ,O,X,X
ZOITJLS,O,X,X
ZOITJSL,O,X,X
ZOITSLJ,O,X,X
ZOITSJL,O,X,X
ZOILTJS,O,X,O
ZOILTSJ,O,X,O
ZOILJTS,O,X,O
ZOILJST,O,X,O
ZOILSTJ,O,X,O
ZOILSJT,O,X,O
ZOIJTLS,O,X,X
ZOIJTSL,O,X,X
ZOIJLTS,O,X,O
ZOIJLST,O,X,O
ZOIJSTL,O,X,X
ZOIJSLT,O,X,O
ZOISTLJ,O,X,X
ZOISTJL,O,X,X
ZOISLTJ,O,X,O
ZOISLJT,O,X,O
ZOISJTL,O,X,X
ZOISJLT,O,X,O
ZOLTIJS,O,X,O
ZOLTISJ,O,X,O
ZOLTJIS,O,X,O
ZOLTJSI,O,X,O
ZOLTSIJ,O,X,O
ZOLTSJI,O,X,O
ZOLITJS,O,X,O
ZOLITSJ,O,X,O
ZOLIJTS,O,X,O
ZOLIJST,O,X,O
ZOLISTJ,O,X,O
ZOLISJT,O,X,O
ZOLJTIS,O,X,O
ZOLJTSI,O,X,O
ZOLJITS,O,X,O
ZOLJIST,O,X,O
ZOLJSTI,O,X,O
ZOLJSIT,O,X,O
ZOLSTIJ,O,X,O
ZOLSTJI,O,X,O
ZOLSITJ,O,X,O
ZOLSIJT,O,X,O
ZOLSJTI,O,X,O
ZOLSJIT,O,X,O
ZOJTILS,O,X,X
ZOJTISL,O,X,X
ZOJTLIS,O,X,X
ZOJTLSI,O,X,X
ZOJTSIL,O,X,X
ZOJTSLI,O,X,X
ZOJITLS,O,X,X
ZOJITSL,O,X,X
ZOJILTS,O,X,O
ZOJILST,O,X,O
ZOJISTL,O,X,X
ZOJISLT,O,X,O
ZOJLTIS,O,X,O
ZOJLTSI,O,X,O
ZOJLITS,O,X,O
ZOJLIST,O,X,O
ZOJLSTI,O,X,O
ZOJLSIT,O,X,O
ZOJSTIL,O,X,X
ZOJSTLI,O,X,X
ZOJSITL,O,X,X
ZOJSILT,O,X,O
ZOJSLTI,O,X,O
ZOJSLIT,O,X,O
ZOSTILJ,O,X,X
ZOSTIJL,O,X,X
ZOSTLIJ,O,X,X
ZOSTLJI,O,X,X
ZOSTJIL,O,X,X
ZOSTJLI,O,X,X
ZOSITLJ,O,X,X
ZOSITJL,O,X,X
ZOSILTJ,O,X,O
ZOSILJT,O,X,O
ZOSIJTL,O,X,X
ZOSIJLT,O,X,O
ZOSLTIJ,O,X,O
ZOSLTJI,O,X,O
ZOSLITJ,O,X,O
ZOSLIJT,O,X,O
ZOSLJTI,O,X,O
ZOSLJIT,O,X,O
ZOSJTIL,O,X,X
ZOSJTLI,O,X,X
ZOSJITL,O,X,X
ZOSJILT,O,X,O
ZOSJLTI,O,X,O
ZOSJLIT,O,X,O
OTILJSZ,O,O,X
OTILJZS,O,O,X
OTILSJZ,O,O,X
OTILSZJ,O,O,X
OTILZJS,O,O,X
OTILZSJ,O,O,X
OTIJLSZ,O,X,X
OTIJLZS,O,X,X
OTIJSLZ,O,X,X
OTIJSZL,O,X,X
OTIJZLS,O,X,X
OTIJZSL,O,X,X
OTISLJZ,O,O,X
OTISLZJ,O,O,X
OTISJLZ,O,X,X
OTISJZL,O,X,X
OTISZLJ,O,X,X
OTISZJL,O,X,X
OTIZLJS,O,X,X
OTIZLSJ,O,X,X
OTIZJLS,O,X,X
OTIZJSL,O,X,X
OTIZSLJ,O,X,X
OTIZSJL,O,X,X
OTLIJSZ,O,O,X
OTLIJZS,O,O,X
OTLISJZ,O,O,X
OTLISZJ,O,O,X
OTLIZJS,O,O,X
OTLIZSJ,O,O,X
OTLJISZ,O,O,X
OTLJIZS,O,O,X
OTLJSIZ,O,O,X
OTLJSZI,O,O,X
OTLJZIS,O,O,X
OTLJZSI,O,O,X
OTLSIJZ,O,O,X
OTLSIZJ,O,O,X
OTLSJIZ,O,O,X
OTLSJZI,O,O,X
OTLSZIJ,O,O,X
OTLSZJI,O,O,X
OTLZIJS,O,O,X
OTLZISJ,O,O,X
OTLZJIS,O,O,X
OTLZJSI,O,O,X
OTLZSIJ,O,O,X
OTLZSJI,O,O,X
OTJILSZ,O,X,X
OTJILZS,O,X,X
OTJISLZ,O,X,X
OTJISZL,O,X,X
OTJIZLS,O,X,X
OTJIZSL,O,X,X
OTJLISZ,O,X,X
OTJLIZS,O,X,X
OTJLSIZ,O,X,X
OTJLSZI,O,X,X
OTJLZIS,O,X,X
OTJLZSI,O,X,X
OTJSILZ,O,X,X
OTJSIZL,O,X,X
OTJSLIZ,O,X,X
OTJSLZI,O,X,X
OTJSZIL,O,X,X
OTJSZLI,O,X,X
OTJZILS,O,X,X
OTJZISL,O,X,X
OTJZLIS,O,X,X
OTJZLSI,O,X,X
OTJZSIL,O,X,X
OTJZSLI,O,X,X
OTSILJZ,O,O,X
OTSILZJ,O,O,X
OTSIJLZ,O,X,X
OTSIJZL,O,X,X
OTSIZLJ,O,X,X
OTSIZJL,O,X,X
OTSLIJZ,O,O,X
OTSLIZJ,O,O,X
OTSLJIZ,O,O,X
OTSLJZI,O,O,X
OTSLZIJ,O,O,X
OTSLZJI,O,O,X
OTSJILZ,O,X,X
OTSJIZL,O,X,X
OTSJLIZ,O,X,X
OTSJLZI,O,X,X
OTSJZIL,O,X,X
OTSJZLI,O,X,X
OTSZILJ,O,X,X
OTSZIJL,O,X,X
OTSZLIJ,O,X,X
OTSZLJI,O,X,X
OTSZJIL,O,X,X
OTSZJLI,O,X,X
OTZILJS,O,X,X
OTZILSJ,O,X,X
OTZIJLS,O,X,X
OTZIJSL,O,X,X
OTZISLJ,O,X,X
OTZISJL,O,X,X
OTZLIJS,O,X,X
OTZLISJ,O,X,X
OTZLJIS,O,X,X
OTZLJSI,O,X,X
OTZLSIJ,O,X,X
OTZLSJI,O,X,X
OTZJILS,O,X,X
OTZJISL,O,X,X
OTZJLIS,O,X,X
OTZJLSI,O,X,X
OTZJSIL,O,X,X
OTZJSLI,O,X,X
OTZSILJ,O,X,X
OTZSIJL,O,X,X
OTZSLIJ,O,X,X
OTZSLJI,O,X,X
OTZSJIL,O,X,X
OTZSJLI,O,X,X
OITLJSZ,O,O,X
OITLJZS,O,O,X
OITLSJZ,O,O,X
OITLSZJ,O,O,X
OITLZJS,O,O,X
OITLZSJ,O,O,X
OITJLSZ,O,X,X
OITJLZS,O,X,X
OITJSLZ,O,X,X
OITJSZL,O,X,X
OITJZLS,O,X,X
OITJZSL,O,X,X
OITSLJZ,O,O,X
OITSLZJ,O,O,X
OITSJLZ,O,X,X
OITSJZL,O,X,X
OITSZLJ,O,X,X
OITSZJL,O,X,X
OITZLJS,O,X,X
OITZLSJ,O,X,X
OITZJLS,O,X,X
OITZJSL,O,X,X
OITZSLJ,O,X,X
OITZSJL,O,X,X
OILTJSZ,O,O,X
OILTJZS,O,O,O
OILTSJZ,O,O,X
OILTSZJ,O,O,X
OILTZJS,O,O,O
OILTZSJ,O,O,O
OILJTSZ,O,O,X
OILJTZS,O,O,O
OILJSTZ,O,O,X
OILJSZT,O,X,X
OILJZTS,O,O,O
OILJZST,O,X,O
OILSTJZ,O,O,X
OILSTZJ,O,O,X
OILSJTZ,O,O,X
OILSJZT,O,X,X
OILSZTJ,O,O,X
OILSZJT,O,X,X
OILZTJS,O,O,O
OILZTSJ,O,O,O
OILZJTS,O,O,O
OILZJST,O,X,O
OILZSTJ,O,O,O
OILZSJT,O,X,O
OIJTLSZ,O,X,X
OIJTLZS,O,X,X
OIJTSLZ,O,X,X
OIJTSZL,O,X,X
OIJTZLS,O,X,X
OIJTZSL,O,X,X
OIJLTSZ,O,X,X
OIJLTZS,O,X,O
OIJLSTZ,O,X,X
OIJLSZT,O,X,X
OIJLZTS,O,X,O
OIJLZST,O,X,O
OIJSTLZ,O,X,X
OIJSTZL,O,X,X
OIJSLTZ,O,X,X
OIJSLZT,O,X,X
OIJSZTL,O,X,X
OIJSZLT,O,X,X
OIJZTLS,O,X,X
OIJZTSL,O,X,X
OIJZLTS,O,X,O
OIJZLST,O,X,O
OIJZSTL,O,X,X
OIJZSLT,O,X,O
OISTLJZ,O,O,X
OISTLZJ,O,O,X
OISTJLZ,O,X,X
OISTJZL,O,X,X
OISTZLJ,O,X,X
OISTZJL,O,X,X
OISLTJZ,O,O,X
OISLTZJ,O,O,X
OISLJTZ,O,O,X
OISLJZT,O,X,X
OISLZTJ,O,O,X
OISLZJT,O,X,X
OISJTLZ,O,X,X
OISJTZL,O,X,X
OISJLTZ,O,X,X
OISJLZT,O,X,X
OISJZTL,O,X,X
OISJZLT,O,X,X
OISZTLJ,O,X,X
OISZTJL,O,X,X
OISZLTJ,O,X,X
OISZLJT,O,X,X
OISZJTL,O,X,X
OISZJLT,O,X,X
OIZTLJS,O,X,X
OIZTLSJ,O,X,X
OIZTJLS,O,X,X
OIZTJSL,O,X,X
OIZTSLJ,O,X,X
OIZTSJL,O,X,X
OIZLTJS,O,X,O
OIZLTSJ,O,X,O
OIZLJTS,O,X,O
OIZLJST,O,X,O
OIZLSTJ,O,X,O
OIZLSJT,O,X,O
OIZJTLS,O,X,X
OIZJTSL,O,X,X
OIZJLTS,O,X,O
OIZJLST,O,X,O
OIZJSTL,O,X,X
OIZJSLT,O,X,O
OIZSTLJ,O,X,X
OIZSTJL,O,X,X
OIZSLTJ,O,X,O
OIZSLJT,O,X,O
OIZSJTL,O,X,X
OIZSJLT,O,X,O
OLTIJSZ,O,O,X
OLTIJZS,O,O,O
OLTISJZ,O,O,X
OLTISZJ,O,O,X
OLTIZJS,O,O,O
OLTIZSJ,O,O,O
OLTJISZ,O,O,X
OLTJIZS,O,O,O
OLTJSIZ,O,O,X
OLTJSZI,O,O,X
OLTJZIS,O,O,O
OLTJZSI,O,O,O
OLTSIJZ,O,O,X
OLTSIZJ,O,O,X
OLTSJIZ,O,O,X
OLTSJZI,O,O,X
OLTSZIJ,O,O,X
OLTSZJI,O,O,X
OLTZIJS,O,O,O
OLTZISJ,O,O,O
OLTZJIS,O,O,O
OLTZJSI,O,O,O
OLTZSIJ,O,O,O
OLTZSJI,O,O,O
OLITJSZ,O,O,X
OLITJZS,O,O,O
OLITSJZ,O,O,X
OLITSZJ,O,O,X
OLITZJS,O,O,O
OLITZSJ,O,O,O
OLIJTSZ,O,O,X
OLIJTZS,O,O,O
OLIJSTZ,O,O,X
OLIJSZT,O,X,X
OLIJZTS,O,O,O
OLIJZST,O,X,O
OLISTJZ,O,O,X
OLISTZJ,O,O,X
OLISJTZ,O,O,X
OLISJZT,O,X,X
OLISZTJ,O,O,X
OLISZJT,O,X,X
OLIZTJS,O,O,O
OLIZTSJ,O,O,O
OLIZJTS,O,O,O
OLIZJST,O,X,O
OLIZSTJ,O,O,O
OLIZSJT,O,X,O
OLJTISZ,O,O,X
OLJTIZS,O,O,O
OLJTSIZ,O,O,X
OLJTSZI,O,O,X
OLJTZIS,O,O,O
OLJTZSI,O,O,O
OLJITSZ,O,O,X
OLJITZS,O,O,O
OLJISTZ,O,O,X
OLJISZT,O,X,X
OLJIZTS,O,O,O
OLJIZST,O,X,O
OLJSTIZ,O,O,X
OLJSTZI,O,O,X
OLJSITZ,O,O,X
OLJSIZT,O,X,X
OLJSZTI,O,X,X
OLJSZIT,O,X,X
OLJZTIS,O,O,O
OLJZTSI,O,O,O
OLJZITS,O,O,O
OLJZIST,O,X,O
OLJZSTI,O,X,O
OLJZSIT,O,X,O
OLSTIJZ,O,O,X
OLSTIZJ,O,O,X
OLSTJIZ,O,O,X
OLSTJZI,O,O,X
OLSTZIJ,O,O,X
OLSTZJI,O,O,X
OLSITJZ,O,O,X
OLSITZJ,O,O,X
OLSIJTZ,O,O,X
OLSIJZT,O,X,X
OLSIZTJ,O,O,X
OLSIZJT,O,X,X
OLSJTIZ,O,O,X
OLSJTZI,O,O,X
OLSJITZ,O,O,X
OLSJIZT,O,X,X
OLSJZTI,O,X,X
OLSJZIT,O,X,X
OLSZTIJ,O,O,X
OLSZTJI,O,O,X
OLSZITJ,O,O,X
OLSZIJT,O,X,X
OLSZJTI,O,X,X
OLSZJIT,O,X,X
OLZTIJS,O,O,O
OLZTISJ,O,O,O
OLZTJIS,O,O,O
OLZTJSI,O,O,O
OLZTSIJ,O,O,O
OLZTSJI,O,O,O
OLZITJS,O,O,O
OLZITSJ,O,O,O
OLZIJTS,O,O,O
OLZIJST,O,X,O
OLZISTJ,O,O,O
OLZISJT,O,X,O
OLZJTIS,O,O,O
OLZJTSI,O,O,O
OLZJITS,O,O,O
OLZJIST,O,X,O
OLZJSTI,O,X,O
OLZJSIT,O,X,O
OLZSTIJ,O,O,O
OLZSTJI,O,O,O
OLZSITJ,O,O,O
OLZSIJT,O,X,O
OLZSJTI,O,X,O
OLZSJIT,O,X,O
OJTILSZ,O,X,X
OJTILZS,O,X,X
OJTISLZ,O,X,X
OJTISZL,O,X,X
OJTIZLS,O,X,X
OJTIZSL,O,X,X
OJTLISZ,O,X,X
OJTLIZS,O,X,X
OJTLSIZ,O,X,X
OJTLSZI,O,X,X
OJTLZIS,O,X,X
OJTLZSI,O,X,X
OJTSILZ,O,X,X
OJTSIZL,O,X,X
OJTSLIZ,O,X,X
OJTSLZI,O,X,X
OJTSZIL,O,X,X
OJTSZLI,O,X,X
OJTZILS,O,X,X
OJTZISL,O,X,X
OJTZLIS,O,X,X
OJTZLSI,O,X,X
OJTZSIL,O,X,X
OJTZSLI,O,X,X
OJITLSZ,O,X,X
OJITLZS,O,X,X
OJITSLZ,O,X,X
OJITSZL,O,X,X
OJITZLS,O,X,X
OJITZSL,O,X,X
OJILTSZ,O,X,X
OJILTZS,O,X,O
OJILSTZ,O,X,X
OJILSZT,O,X,X
OJILZTS,O,X,O
OJILZST,O,X,O
OJISTLZ,O,X,X
OJISTZL,O,X,X
OJISLTZ,O,X,X
OJISLZT,O,X,X
OJISZTL,O,X,X
OJISZLT,O,X,X
OJIZTLS,O,X,X
OJIZTSL,O,X,X
OJIZLTS,O,X,O
OJIZLST,O,X,O
OJIZSTL,O,X,X
OJIZSLT,O,X,O
OJLTISZ,O,X,X
OJLTIZS,O,X,O
OJLTSIZ,O,X,X
OJLTSZI,O,X,X
OJLTZIS,O,X,O
OJLTZSI,O,X,O
OJLITSZ,O,X,X
OJLITZS,O,X,O
OJLISTZ,O,X,X
OJLISZT,O,X,X
OJLIZTS,O,X,O
OJLIZST,O,X,O
OJLSTIZ,O,X,X
OJLSTZI,O,X,X
OJLSITZ,O,X,X
OJLSIZT,O,X,X
OJLSZTI,O,X,X
OJLSZIT,O,X,X
OJLZTIS,O,X,O
OJLZTSI,O,X,O
OJLZITS,O,X,O
OJLZIST,O,X,O
OJLZSTI,O,X,O
OJLZSIT,O,X,O
OJSTILZ,O,X,X
OJSTIZL,O,X,X
OJSTLIZ,O,X,X
OJSTLZI,O,X,X
OJSTZIL,O,X,X
OJSTZLI,O,X,X
OJSITLZ,O,X,X
OJSITZL,O,X,X
OJSILTZ,O,X,X
OJSILZT,O,X,X
OJSIZTL,O,X,X
OJSIZLT,O,X,X
OJSLTIZ,O,X,X
OJSLTZI,O,X,X
OJSLITZ,O,X,X
OJSLIZT,O,X,X
OJSLZTI,O,X,X
OJSLZIT,O,X,X
OJSZTIL,O,X,X
OJSZTLI,O,X,X
OJSZITL,O,X,X
OJSZILT,O,X,X
OJSZLTI,O,X,X
OJSZLIT,O,X,X
OJZTILS,O,X,X
OJZTISL,O,X,X
OJZTLIS,O,X,X
OJZTLSI,O,X,X
OJZTSIL,O,X,X
OJZTSLI,O,X,X
OJZITLS,O,X,X
OJZITSL,O,X,X
OJZILTS,O,X,O
OJZILST,O,X,O
OJZISTL,O,X,X
OJZISLT,O,X,O
OJZLTIS,O,X,O
OJZLTSI,O,X,O
OJZLITS,O,X,O
OJZLIST,O,X,O
OJZLSTI,O,X,O
OJZLSIT,O,X,O
OJZSTIL,O,X,X
OJZSTLI,O,X,X
OJZSITL,O,X,X
OJZSILT,O,X,O
OJZSLTI,O,X,O
OJZSLIT,O,X,O
OSTILJZ,O,O,X
OSTILZJ,O,O,X
OSTIJLZ,O,X,X
OSTIJZL,O,X,X
OSTIZLJ,O,X,X
OSTIZJL,O,X,X
OSTLIJZ,O,O,X
OSTLIZJ,O,O,X
OSTLJIZ,O,O,X
OSTLJZI,O,O,X
OSTLZIJ,O,O,X
OSTLZJI,O,O,X
OSTJILZ,O,X,X
OSTJIZL,O,X,X
OSTJLIZ,O,X,X
OSTJLZI,O,X,X
OSTJZIL,O,X,X
OSTJZLI,O,X,X
OSTZILJ,O,X,X
OSTZIJL,O,X,X
OSTZLIJ,O,X,X
OSTZLJI,O,X,X
OSTZJIL,O,X,X
OSTZJLI,O,X,X
OSITLJZ,O,O,X
OSITLZJ,O,O,X
OSITJLZ,O,X,X
OSITJZL,O,X,X
OSITZLJ,O,X,X
OSITZJL,O,X,X
OSILTJZ,O,O,X
OSILTZJ,O,O,X
OSILJTZ,O,O,X
OSILJZT,O,X,X
OSILZTJ,O,O,X
OSILZJT,O,X,X
OSIJTLZ,O,X,X
OSIJTZL,O,X,X
OSIJLTZ,O,X,X
OSIJLZT,O,X,X
OSIJZTL,O,X,X
OSIJZLT,O,X,X
OSIZTLJ,O,X,X
OSIZTJL,O,X,X
OSIZLTJ,O,X,X
OSIZLJT,O,X,X
OSIZJTL,O,X,X
OSIZJLT,O,X,X
OSLTIJZ,O,O,X
OSLTIZJ,O,O,X
OSLTJIZ,O,O,X
OSLTJZI,O,O,X
OSLTZIJ,O,O,X
OSLTZJI,O,O,X
OSLITJZ,O,O,X
OSLITZJ,O,O,X
OSLIJTZ,O,O,X
OSLIJZT,O,X,X
OSLIZTJ,O,O,X
OSLIZJT,O,X,X
OSLJTIZ,O,O,X
OSLJTZI,O,O,X
OSLJITZ,O,O,X
OSLJIZT,O,X,X
OSLJZTI,O,X,X
OSLJZIT,O,X,X
OSLZTIJ,O,O,X
OSLZTJI,O,O,X
OSLZITJ,O,O,X
OSLZIJT,O,X,X
OSLZJTI,O,X,X
OSLZJIT,O,X,X
OSJTILZ,O,X,X
OSJTIZL,O,X,X
OSJTLIZ,O,X,X
OSJTLZI,O,X,X
OSJTZIL,O,X,X
OSJTZLI,O,X,X
