sequence,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFcnBTjBOqBX?mBSwBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeWGJvhFxhBTjBKqBX?nBUrBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFumBcnBTjBy?qBFtBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFSnBTjBOqB8?qB3rBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFcnBTjBilB+?rB3qBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFRiBSoBOrB8?rBTqBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeFBJvhF0iB6oBTlB3?mBmsBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JecFJvhFemBCiBTjBX?nBFtBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeGCJvhFTjBxlB8rB3?lByvBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFRiBWtBTqBi?rBctBlrB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je/HJvhFFjBxlBctBT?qBirBGrB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JecHJvhFTjBxlB3lBu?rByvBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je2HJvhFxlBctBFmBC?oBTqB3rB
ITJZSLO,X,X,O,O,O,X,O,O,X,X,X,X,X
ITJZSOL,O,X,O,O,O,X,O,O,O,X,X,X,X
ITJZOLS,O,X,O,O,O,X,O,O,O,X,X,X,X
ITJZOSL,O,X,O,O,O,X,O,O,O,X,X,X,X
ITJOLSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ITJOLZS,O,X,O,O,X,X,O,X,X,X,X,X,X
ITJOSLZ,X,X,X,O,X,X,O,X,X,X,X,X,X
ITJOSZL,X,X,X,O,O,X,O,O,X,X,X,X,X
ITJOZLS,O,X,O,O,O,X,O,O,O,X,X,X,X
ITJOZSL,O,X,O,O,O,X,O,O,O,X,X,X,X
ITSLJZO,X,O,O,O,O,X,O,X,X,X,X,X,X
ITSLJOZ,X,O,O,O,O,X,X,X,X,X,X,X,X
ITSLZJO,X,O,O,O,X,X,O,O,X,X,X,X,X
ITSLZOJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ITSLOJZ,X,O,O,O,O,X,X,X,X,X,X,X,X
ITSLOZJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ITSJLZO,X,O,X,O,X,X,O,X,X,X,X,X,X
ITSJLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITSJZLO,X,X,X,O,O,X,O,O,X,X,X,X,X
ITSJZOL,X,O,X,O,O,X,X,O,X,X,X,X,X
ITSJOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITSJOZL,X,O,X,O,O,X,X,O,X,X,X,X,X
ITSZLJO,X,O,O,O,X,X,O,O,X,X,X,X,X
ITSZLOJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ITSZJLO,X,X,O,O,X,X,O,O,X,X,X,X,X
ITSZJOL,X,O,O,O,X,X,X,O,X,X,X,X,X
ITSZOLJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ITSZOJL,X,O,O,O,X,X,X,O,X,X,X,X,X
ITSOLJZ,X,O,O,O,O,X,X,X,X,X,X,X,X
ITSOLZJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ITSOJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITSOJZL,X,O,X,O,O,X,X,O,X,X,X,X,X
ITSOZLJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ITSOZJL,X,O,O,O,X,X,X,O,X,X,X,X,X
ITZLJSO,O,X,O,X,X,O,X,O,O,X,X,X,X
ITZLJOS,O,X,O,O,X,O,X,O,O,X,X,O,X
ITZLSJO,O,X,O,X,X,O,X,O,O,X,X,X,X
ITZLSOJ,O,X,O,O,X,O,X,O,O,X,X,O,X
ITZLOJS,O,X,O,O,O,O,X,O,O,X,X,O,X
ITZLOSJ,O,X,O,O,X,O,X,O,O,X,X,O,X
ITZJLSO,O,X,O,X,X,O,X,O,O,X,X,X,X
ITZJLOS,O,X,O,O,O,O,X,O,O,X,X,X,X
ITZJSLO,X,X,O,X,O,O,X,O,X,X,X,X,X
ITZJSOL,O,X,O,X,O,O,X,O,O,X,X,X,X
ITZJOLS,O,X,O,O,O,O,X,O,O,X,X,X,X
ITZJOSL,O,X,O,X,O,O,X,O,O,X,X,X,X
ITZSLJO,X,X,O,X,X,O,X,O,X,X,X,X,X
ITZSLOJ,X,X,O,O,X,O,X,O,X,X,X,X,X
ITZSJLO,X,X,O,X,X,O,X,O,X,X,X,X,X
ITZSJOL,X,X,O,X,X,O,X,O,O,X,X,X,X
ITZSOLJ,O,X,O,O,X,O,X,O,X,X,X,X,X
ITZSOJL,O,X,O,X,O,O,X,O,O,X,X,X,X
ITZOLJS,O,X,O,O,O,O,X,O,O,X,X,O,X
ITZOLSJ,O,X,O,O,X,O,X,O,O,X,X,O,X
ITZOJLS,O,X,O,O,O,O,X,O,O,X,X,X,X
ITZOJSL,O,X,O,X,O,O,X,O,O,X,X,X,X
ITZOSLJ,O,X,O,O,X,O,X,O,X,X,X,X,X
ITZOSJL,O,X,O,X,O,O,X,O,O,X,X,X,X
ITOLJSZ,O,X,O,O,X,O,O,X,X,X,X,X,X
ITOLJZS,O,X,O,O,X,O,O,X,X,X,X,O,X
ITOLSJZ,X,O,O,O,X,O,O,X,X,X,X,X,X
ITOLSZJ,O,O,O,O,X,O,O,O,X,X,X,O,X
ITOLZJS,O,O,O,O,X,O,O,O,O,X,X,O,X
ITOLZSJ,O,O,O,O,X,O,O,O,O,X,X,O,X
ITOJLSZ,O,X,O,X,X,O,O,X,X,X,X,X,X
ITOJLZS,O,X,O,O,X,X,O,X,X,X,X,X,X
ITOJSLZ,X,X,X,O,X,O,O,X,X,X,X,X,X
ITOJSZL,X,X,X,O,O,O,O,O,X,X,X,X,X
ITOJZLS,O,X,O,O,O,X,O,O,O,X,X,X,X
ITOJZSL,O,X,O,O,O,X,O,O,O,X,X,X,X
ITOSLJZ,X,O,O,O,O,O,O,X,X,X,X,X,X
ITOSLZJ,X,O,O,O,X,O,O,O,X,X,X,X,X
ITOSJLZ,X,O,X,O,X,O,O,X,X,X,X,X,X
ITOSJZL,X,O,X,O,O,O,O,O,X,X,X,X,X
ITOSZLJ,X,O,O,O,X,O,O,O,X,X,X,X,X
ITOSZJL,X,O,O,O,X,O,O,O,X,X,X,X,X
ITOZLJS,O,X,O,O,O,O,O,O,O,X,X,O,X
ITOZLSJ,O,X,O,O,X,O,O,O,O,X,X,O,X
ITOZJLS,O,X,O,O,O,O,O,O,O,X,X,X,X
ITOZJSL,O,X,O,X,O,O,O,O,O,X,X,X,X
ITOZSLJ,O,X,O,O,X,O,O,O,X,X,X,X,X
ITOZSJL,O,X,O,X,O,O,O,O,O,X,X,X,X
ILTJSZO,O,X,O,X,X,X,O,X,X,X,X,X,X
ILTJSOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ILTJZSO,O,X,O,X,X,X,O,X,X,X,X,X,X
ILTJZOS,O,X,O,X,X,X,O,X,X,X,X,O,X
ILTJOSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ILTJOZS,O,X,O,X,X,X,O,X,X,X,X,O,X
ILTSJZO,X,O,O,X,X,X,O,X,X,X,X,X,X
ILTSJOZ,X,O,O,X,X,X,X,X,X,X,X,X,X
ILTSZJO,O,O,O,X,X,X,O,O,X,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,O,O,X,X,X,O,X
ILTSOJZ,X,O,O,X,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,O,O,X,X,X,O,O,X,X,X,O,X
ILTZJSO,O,O,O,X,X,X,X,O,O,X,X,X,X
ILTZJOS,O,O,O,X,X,X,X,O,O,X,X,O,X
ILTZSJO,O,O,O,X,X,X,X,O,O,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X,O,O,X,X,O,X
ILTZOJS,O,O,O,X,X,X,X,O,O,X,X,O,X
ILTZOSJ,O,O,O,X,X,X,X,O,O,X,X,O,X
ILTOJSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ILTOJZS,O,X,O,X,X,X,O,X,X,X,X,O,X
ILTOSJZ,X,O,O,X,X,X,O,X,X,X,X,X,X
ILTOSZJ,O,O,O,X,X,X,O,O,X,X,X,O,X
ILTOZJS,O,O,O,X,X,X,O,O,O,X,X,O,X
ILTOZSJ,O,O,O,X,X,X,O,O,O,X,X,O,X
ILJTSZO,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJTSOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJTZSO,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJTZOS,O,X,O,X,X,X,O,X,X,X,X,O,X
ILJTOSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJTOZS,O,X,O,X,X,X,O,X,X,X,X,O,X
ILJSTZO,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJSTOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJSZTO,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJSZOT,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJSOTZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILJSOZT,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJZTSO,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJZTOS,O,X,O,X,X,X,O,X,X,X,X,O,X
ILJZSTO,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJZSOT,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJZOTS,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJZOST,X,X,O,X,X,X,O,X,X,X,X,X,X
ILJOTSZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILJOTZS,X,X,X,X,X,X,O,X,X,X,X,X,X
ILJOSTZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILJOSZT,X,X,O,X,X,X,O,X,X,X,X,X,X
ILJOZTS,O,X,O,X,X,X,O,X,X,X,X,X,X
ILJOZST,X,X,O,X,X,X,O,X,X,X,X,X,X
ILSTJZO,X,O,O,X,X,X,O,X,X,X,X,X,X
ILSTJOZ,X,O,O,X,X,X,X,X,X,X,X,X,X
ILSTZJO,O,O,O,X,X,X,O,O,X,X,X,X,X
ILSTZOJ,O,O,O,X,X,X,O,O,X,X,X,O,X
ILSTOJZ,X,O,O,X,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,O,X,X,X,O,O,X,X,X,O,X
ILSJTZO,X,O,O,X,X,X,O,X,X,X,X,X,X
ILSJTOZ,X,O,O,X,X,X,O,X,X,X,X,X,X
ILSJZTO,O,O,O,X,X,X,O,X,X,X,X,X,X
ILSJZOT,X,X,O,X,X,X,O,X,X,X,X,X,X
ILSJOTZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILSJOZT,X,X,O,X,X,X,O,X,X,X,X,X,X
ILSZTJO,O,O,O,X,X,X,O,O,X,X,X,X,X
ILSZTOJ,O,O,O,X,X,X,O,O,X,X,X,O,X
ILSZJTO,O,O,O,X,X,X,O,O,X,X,X,X,X
ILSZJOT,X,O,O,X,X,X,X,O,X,X,X,X,X
ILSZOTJ,O,O,O,X,X,X,O,X,X,X,X,X,X
ILSZOJT,X,O,O,X,X,X,X,X,X,X,X,X,X
ILSOTJZ,X,O,O,X,X,X,O,X,X,X,X,X,X
ILSOTZJ,X,O,O,X,X,X,O,X,X,X,X,X,X
ILSOJTZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILSOJZT,X,X,O,X,X,X,O,X,X,X,X,X,X
ILSOZTJ,O,X,O,X,X,X,O,X,X,X,X,X,X
ILSOZJT,X,X,O,X,X,X,O,X,X,X,X,X,X
ILZTJSO,O,O,O,X,X,X,X,O,O,X,X,X,X
ILZTJOS,O,O,O,X,X,X,X,O,O,X,X,O,X
ILZTSJO,O,O,O,X,X,X,X,O,O,X,X,X,X
ILZTSOJ,O,O,O,X,X,X,X,O,O,X,X,O,X
ILZTOJS,O,O,O,X,X,X,X,O,O,X,X,O,X
ILZTOSJ,O,O,O,X,X,X,X,O,O,X,X,O,X
ILZJTSO,O,O,O,X,X,X,O,O,O,X,X,X,X
ILZJTOS,O,O,O,X,X,X,O,O,O,X,X,O,X
ILZJSTO,O,O,O,X,X,X,O,O,O,X,X,X,X
ILZJSOT,O,O,O,X,X,X,O,O,X,X,X,X,X
ILZJOTS,O,O,O,X,X,X,O,X,O,X,X,X,X
ILZJOST,X,O,O,X,X,X,O,X,X,X,X,X,X
ILZSTJO,O,O,O,X,X,X,O,O,O,X,X,X,X
ILZSTOJ,O,O,O,X,X,X,O,O,O,X,X,O,X
ILZSJTO,O,O,O,X,X,X,O,O,O,X,X,X,X
ILZSJOT,X,O,O,X,X,X,X,O,X,X,X,X,X
ILZSOTJ,O,O,O,X,X,X,O,X,X,X,X,X,X
ILZSOJT,X,O,O,X,X,X,X,X,X,X,X,X,X
ILZOTJS,O,X,O,X,X,X,O,X,O,X,X,O,X
ILZOTSJ,O,X,O,X,X,X,O,X,O,X,X,O,X
ILZOJTS,X,X,O,X,X,X,O,X,O,X,X,X,X
ILZOJST,X,X,O,X,X,X,O,X,X,X,X,X,X
ILZOSTJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILZOSJT,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOTJSZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOTJZS,X,X,O,X,X,X,O,X,X,X,X,O,X
ILOTSJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOTSZJ,X,X,O,X,X,X,O,X,X,X,X,O,X
ILOTZJS,X,X,O,X,X,X,O,X,X,X,X,O,X
ILOTZSJ,X,X,O,X,X,X,O,X,X,X,X,O,X
ILOJTSZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILOJTZS,X,X,X,X,X,X,O,X,X,X,X,X,X
ILOJSTZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILOJSZT,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOJZTS,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOJZST,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOSTJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOSTZJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOSJTZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILOSJZT,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOSZTJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOSZJT,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOZTJS,X,X,O,X,X,X,O,X,X,X,X,O,X
ILOZTSJ,X,X,O,X,X,X,O,X,X,X,X,O,X
ILOZJTS,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOZJST,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOZSTJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOZSJT,X,X,O,X,X,X,O,X,X,X,X,X,X
IJTLSZO,O,X,O,X,X,O,O,X,X,X,X,X,X
IJTLSOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
IJTLZSO,O,X,O,O,X,X,O,X,X,X,X,X,X
IJTLZOS,O,X,O,O,X,X,O,X,X,X,X,X,X
IJTLOSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
IJTLOZS,O,X,O,O,X,X,O,X,X,X,X,X,X
IJTSLZO,X,X,X,O,X,O,O,X,X,X,X,X,X
IJTSLOZ,X,X,X,O,X,X,O,X,X,X,X,X,X
IJTSZLO,X,X,X,O,O,O,O,O,X,X,X,X,X
IJTSZOL,X,X,X,O,O,O,O,O,X,X,X,X,X
IJTSOLZ,X,X,X,O,X,X,O,X,X,X,X,X,X
IJTSOZL,X,X,X,O,O,X,O,O,X,X,X,X,X
IJTZLSO,O,X,O,O,X,X,O,O,X,X,X,X,X
IJTZLOS,O,X,O,O,O,X,O,O,X,X,X,X,X
IJTZSLO,X,X,O,O,O,X,O,O,X,X,X,X,X
IJTZSOL,O,X,O,O,O,X,O,O,X,X,X,X,X
IJTZOLS,O,X,O,O,O,X,O,O,X,X,X,X,X
IJTZOSL,O,X,O,O,O,X,O,O,X,X,X,X,X
IJTOLSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
IJTOLZS,O,X,O,O,X,X,O,X,X,X,X,X,X
IJTOSLZ,X,X,X,O,X,X,O,X,X,X,X,X,X
IJTOSZL,X,X,X,O,O,X,O,O,X,X,X,X,X
IJTOZLS,O,X,O,O,O,X,O,O,X,X,X,X,X
IJTOZSL,O,X,O,O,O,X,O,O,X,X,X,X,X
IJLTSZO,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLTSOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLTZSO,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLTZOS,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLTOSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLTOZS,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLSTZO,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLSTOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLSZTO,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLSZOT,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLSOZT,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLZTSO,O,X,O,O,X,X,O,X,X,X,X,X,X
IJLZTOS,O,X,O,O,O,X,O,X,X,X,X,X,X
IJLZSTO,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLZSOT,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLZOTS,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLZOST,X,X,O,X,X,X,O,X,X,X,X,X,X
IJLOTSZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLOTZS,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLOSTZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLOSZT,X,X,O,X,X,X,O,X,X,X,X,X,X
IJLOZTS,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLOZST,X,X,O,X,X,X,O,X,X,X,X,X,X
IJSTLZO,X,X,X,O,X,O,O,X,X,X,X,X,X
IJSTLOZ,X,X,X,O,X,X,O,X,X,X,X,X,X
IJSTZLO,X,X,X,O,O,O,O,O,X,X,X,X,X
IJSTZOL,X,X,X,O,O,O,O,O,X,X,X,X,X
IJSTOLZ,X,X,X,O,X,X,O,X,X,X,X,X,X
IJSTOZL,X,X,X,O,O,X,O,O,X,X,X,X,X
IJSLTZO,X,X,O,O,X,X,O,X,X,X,X,X,X
IJSLTOZ,X,X,X,O,X,X,O,X,X,X,X,X,X
IJSLZTO,O,X,O,O,O,X,O,X,X,X,X,X,X
IJSLZOT,X,X,O,O,X,X,O,X,X,X,X,X,X
IJSLOTZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IJSLOZT,X,X,O,X,X,X,O,X,X,X,X,X,X
IJSZTLO,X,X,O,O,O,O,O,O,X,X,X,X,X
IJSZTOL,O,X,O,O,O,O,O,O,X,X,X,X,X
IJSZLTO,X,X,O,O,O,X,O,O,X,X,X,X,X
IJSZLOT,X,X,O,O,X,X,O,O,X,X,X,X,X
IJSZOTL,X,X,X,O,O,X,O,O,X,X,X,X,X
IJSZOLT,X,X,X,O,X,X,O,O,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IJSOTZL,X,X,X,X,X,X,O,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IJSOLZT,X,X,X,X,X,X,O,X,X,X,X,X,X
IJSOZTL,X,X,X,X,O,X,O,X,X,X,X,X,X
IJSOZLT,X,X,X,X,X,X,O,X,X,X,X,X,X
IJZTLSO,O,X,O,O,X,X,O,O,X,X,X,X,X
IJZTLOS,O,X,O,O,O,X,O,O,X,X,X,X,X
IJZTSLO,X,X,O,O,O,X,O,O,X,X,X,X,X
IJZTSOL,O,X,O,O,O,X,O,O,X,X,X,X,X
IJZTOLS,O,X,O,O,O,X,O,O,X,X,X,X,X
IJZTOSL,O,X,O,O,O,X,O,O,X,X,X,X,X
IJZLTSO,O,X,O,O,X,X,O,O,X,X,X,X,X
IJZLTOS,O,X,O,O,O,X,O,O,X,X,X,X,X
IJZLSTO,O,X,O,X,X,X,O,O,X,X,X,X,X
IJZLSOT,O,X,O,X,X,X,O,O,X,X,X,X,X
IJZLOTS,O,X,O,X,X,X,O,X,X,X,X,X,X
IJZLOST,X,X,O,X,X,X,O,X,X,X,X,X,X
IJZSTLO,X,X,O,O,O,X,O,O,X,X,X,X,X
IJZSTOL,O,X,O,O,O,X,O,O,X,X,X,X,X
IJZSLTO,X,X,O,X,O,X,O,O,X,X,X,X,X
IJZSLOT,X,X,O,X,X,X,O,O,X,X,X,X,X
IJZSOTL,X,X,X,X,O,X,O,O,X,X,X,X,X
IJZSOLT,X,X,X,X,X,X,O,O,X,X,X,X,X
IJZOTLS,O,X,O,O,O,X,O,O,X,X,X,X,X
IJZOTSL,O,X,O,O,O,X,O,O,X,X,X,X,X
IJZOLTS,X,X,O,X,X,X,O,X,X,X,X,X,X
IJZOLST,X,X,O,X,X,X,O,X,X,X,X,X,X
IJZOSTL,X,X,X,X,X,X,O,O,X,X,X,X,X
IJZOSLT,X,X,X,X,X,X,O,O,X,X,X,X,X
IJOTLSZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOTSLZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOTSZL,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOTZLS,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOTZSL,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,X,X,O,X,X,O,X,X,X
IJOLTZS,X,X,X,X,X,X,O,X,X,O,X,X,X
IJOLSTZ,X,X,X,X,X,X,O,X,X,O,X,X,X
IJOLSZT,X,X,O,X,X,X,O,X,X,O,X,X,X
IJOLZTS,O,X,O,X,X,X,O,X,X,O,X,X,X
IJOLZST,X,X,O,X,X,X,O,X,X,O,X,X,X
IJOSTLZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOSTZL,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOSLTZ,X,X,X,X,X,X,O,X,X,O,X,X,X
IJOSLZT,X,X,X,X,X,X,O,X,X,O,X,X,X
IJOSZTL,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOSZLT,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOZTLS,O,X,O,O,O,X,O,X,X,X,X,X,X
IJOZTSL,O,X,O,O,O,X,O,X,X,X,X,X,X
IJOZLTS,X,X,O,X,X,X,O,X,X,X,X,X,X
IJOZLST,X,X,O,X,X,X,O,X,X,X,X,X,X
IJOZSTL,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOZSLT,X,X,X,X,X,X,O,X,X,X,X,X,X
ISTLJZO,X,O,O,O,O,X,O,X,X,X,X,X,X
ISTLJOZ,X,O,O,O,O,X,X,X,X,X,X,X,X
ISTLZJO,X,O,O,O,X,X,O,O,X,X,X,X,X
ISTLZOJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ISTLOJZ,X,O,O,O,O,X,X,X,X,X,X,X,X
ISTLOZJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ISTJLZO,X,O,X,O,X,X,O,X,X,X,X,X,X
ISTJLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTJZLO,X,X,X,O,O,X,O,O,X,X,X,X,X
ISTJZOL,X,O,X,O,O,X,X,O,X,X,X,X,X
ISTJOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTJOZL,X,O,X,O,O,X,X,O,X,X,X,X,X
ISTZLJO,X,O,O,O,X,X,O,O,X,X,X,X,X
ISTZLOJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ISTZJLO,X,X,O,O,X,X,O,O,X,X,X,X,O
ISTZJOL,X,O,O,O,X,X,X,O,X,X,X,X,O
ISTZOLJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ISTZOJL,X,O,O,O,X,X,X,O,X,X,X,X,X
ISTOLJZ,X,O,O,O,O,X,X,X,X,X,X,X,X
ISTOLZJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ISTOJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTOJZL,X,O,X,O,O,X,X,O,X,X,X,X,X
ISTOZLJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ISTOZJL,X,O,O,O,X,X,X,O,X,X,X,X,X
ISLTJZO,X,O,O,O,O,X,O,X,X,X,X,X,X
ISLTJOZ,X,O,O,O,O,X,X,X,X,X,X,X,X
ISLTZJO,X,O,O,O,X,X,O,O,X,X,X,X,X
ISLTZOJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ISLTOJZ,X,O,O,O,O,X,X,X,X,X,X,X,X
ISLTOZJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ISLJTZO,X,O,O,O,O,X,O,X,X,X,X,X,X
ISLJTOZ,X,O,O,O,O,X,O,X,X,X,X,X,X
ISLJZTO,X,O,O,O,O,X,O,X,X,X,X,X,X
ISLJZOT,X,X,O,O,O,X,O,X,X,X,X,X,X
ISLJOTZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLJOZT,X,X,O,X,O,X,O,X,X,X,X,X,X
ISLZTJO,X,O,O,O,X,X,O,O,X,X,X,X,X
ISLZTOJ,X,O,O,O,X,X,O,O,X,X,X,X,X
ISLZJTO,X,O,O,O,O,X,O,O,X,X,X,X,O
ISLZJOT,X,O,O,X,O,X,X,O,X,X,X,X,O
ISLZOTJ,X,O,O,O,X,X,O,X,X,X,X,X,X
ISLZOJT,X,O,O,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,O,O,O,X,X,O,X,X,X,X,X,X
ISLOTZJ,X,O,O,O,X,X,O,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLOJZT,X,X,O,X,O,X,O,X,X,X,X,X,X
ISLOZTJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ISLOZJT,X,X,O,X,X,X,O,X,X,X,X,X,X
ISJTLZO,X,O,X,O,X,X,O,X,X,X,X,X,X
ISJTLOZ,X,O,X,O,X,X,O,X,X,X,X,X,X
ISJTZLO,X,X,X,O,O,X,O,O,X,X,X,X,X
ISJTZOL,X,O,X,O,O,X,O,O,X,X,X,X,X
ISJTOLZ,X,O,X,O,X,X,O,X,X,X,X,X,X
ISJTOZL,X,O,X,O,O,X,O,O,X,X,X,X,X
ISJLTZO,X,O,O,O,X,X,O,X,X,X,X,X,X
ISJLTOZ,X,O,X,O,X,X,O,X,X,X,X,X,X
ISJLZTO,X,O,O,O,O,X,O,X,X,X,X,X,X
ISJLZOT,X,X,O,O,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJLOZT,X,X,O,X,X,X,O,X,X,X,X,X,X
ISJZTLO,X,X,O,O,O,X,O,O,X,X,X,X,O
ISJZTOL,X,O,O,O,O,X,O,O,X,X,X,X,O
ISJZLTO,X,X,O,O,O,X,O,O,X,X,X,X,O
ISJZLOT,X,X,O,O,X,X,O,O,X,X,X,X,O
ISJZOTL,X,X,X,O,O,X,O,O,X,X,X,X,O
