sequence,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhFlgBRiBzkBXmB0n?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Jex/IvhFVmBUiBTkB2qB3s?BatB,v115@GhA8IeA8EeB8BeG8CeA8Je0/IvhFxgBVnB2pBzlB3s?BatB,v115@GhA8IeA8EeB8BeG8CeA8JeKEJvhFzfBUhBRiB1qB3s?BmsB,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhF8kB3lBRnBFmBzs?BisB,v115@GhA8IeA8EeB8BeG8CeA8Jex/IvhFVmBynBTkB2qBft?BUsB,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhF0gBzkBRnBXmBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Je3/IvhFFhB0lBRnB2pBzs?BisB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhF2lBXiB8nBFmBxp?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Je0AJvhFmkBRnBTkBXmBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8JeXBJvhFmkBRnBTkB0lBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8JeKEJvhFflBxgBzlB8sBFs?BmsB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhF0gBypBRnBXmBmn?B1xB,v115@GhA8IeA8EeB8BeG8CeA8Je1FJvhFZoB0kBGnBikBXm?BTsB,v115@GhA8IeA8EeB8BeG8CeA8Jel/IvhFynB2pBxlBzlBft?BUsB,v115@GhA8IeA8EeB8BeG8CeA8Je3/IvhFUiBaoBxlB2pBzl?B1xB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhFXhBypBRnB0lBmn?B1xB
JSZIOTL,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSZIOLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSZLTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSZLIOT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSZLOTI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOILT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTIZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTLZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOITZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOIZLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLTZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLIZT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLZTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOZILT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTILSO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JZTILOS,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X
JZTISLO,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
JZTISOL,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
JZTIOLS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JZTIOSL,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JZTLISO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JZTLIOS,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X
JZTLSIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
JZTSIOL,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JZTSLIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTSOLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZTOISL,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JZTOLIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTOSLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JZITLOS,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X
JZITSLO,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
JZITSOL,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
JZITOLS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JZITOSL,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JZILTSO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JZILTOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JZILSTO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZILSOT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZILOTS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZILOST,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZISTLO,O,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X
JZISTOL,O,X,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
JZISLTO,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZISLOT,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZISOTL,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZISOLT,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZIOTLS,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
JZIOTSL,O,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X
JZIOLTS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZIOLST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZIOSTL,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZIOSLT,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZLTISO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JZLTIOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JZLTSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JZLITOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JZLISTO,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZLISOT,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZLIOTS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLIOST,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLSTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZLSIOT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZLSOTI,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLSOIT,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLOTIS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLOIST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZLOSTI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLOSIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JZSTILO,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
JZSTIOL,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JZSTLIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSTOLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,O,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X
JZSITOL,O,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X
JZSILTO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSILOT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSIOTL,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSIOLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSLTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSLIOT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSLOTI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSOTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSOILT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JZOTISL,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JZOTLIS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOTLSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOTSLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
JZOITSL,O,O,O,X,O,X,O,O,X,O,X,X,X,O,X,X,X
JZOILTS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZOILST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZOISTL,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X
JZOISLT,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZOLTIS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOLTSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZOLIST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZOLSTI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOLSIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JZOSTIL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOSTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSITL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JZOSILT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTILSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOTILZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOTISLZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZLS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTIZSL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTLISZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOTLIZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JOTLSIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLSZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTLZSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSIZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSLZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZISL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTZLIS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZLSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZSIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOITLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOITSLZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITZLS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOITZSL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOILTSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOILTZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JOILSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOILZTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOILZST,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOISTLZ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOISTZL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOISLTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOISLZT,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOISZTL,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JOISZLT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JOIZTLS,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
JOIZTSL,O,O,O,X,O,X,O,O,X,O,X,X,X,O,X,X,X
JOIZLTS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOIZLST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JOIZSTL,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X
JOIZSLT,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JOLTISZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOLTIZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JOLTSIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOLTZSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOLITZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JOLISTZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLISZT,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JOLIZTS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLIZST,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JOLSTIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLSTZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSIZT,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLSZTI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSZIT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLZTIS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOLZTSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLZITS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLZIST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JOLZSTI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLZSIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSTILZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSTIZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSTLZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILTZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZTL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSIZLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSLTIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSLTZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSLITZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLIZT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSLZTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSZTIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZITL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSZILT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSZLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOZTILS,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JOZTISL,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JOZTLIS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTLSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZTSIL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOZTSLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZITLS,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
JOZITSL,O,O,O,X,O,X,O,O,X,O,X,X,X,O,X,X,X
JOZILTS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOZILST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JOZISTL,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X
JOZISLT,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JOZLTIS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZLTSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZLITS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOZLIST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JOZLSTI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZLSIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOZSTIL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOZSTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSITL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOZSILT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOZSLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSLIT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
STILJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STILJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
STILZJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STILZOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
STILOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
STILOZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
STIJLZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STIJLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STIJZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STIJZOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJOLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJOZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STIZLOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
STIZJLO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
STIZJOL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STIZOLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STIZOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOLJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STIOLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
STIOJLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOJZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STIOZJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STLIJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
STLIZJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STLIZOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
STLIOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
STLIOZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
STLJIZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJIOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJZIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJZOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJOIZ,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJOZI,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STLZIJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
