sequence,v115@PhB8BeB8DeE8DeC8Jem/IvhFChBxiBTkBcsBXrBlrB,v115@PhB8BeB8DeE8DeC8Jex/IvhFmhBCjBTkBcrBXsBlqB,v115@PhB8BeB8DeE8DeC8Jem/IvhFfmBCjBTkBUnBlmBRwB,v115@PhB8BeB8DeE8DeC8JeWGJvhFxiBlkBTnBikBXrB0rB,v115@PhB8BeB8DeE8DeC8JeWGJvhFxiBlkBTnBikB0rBXrB,v115@PhB8BeB8DeE8DeC8Jei/IvhFcmBxiB3kBTnB1wBuqB,v115@PhB8BeB8DeE8DeC8JeKEJvhFzfBFhBxiB3mBcsBWwB,v115@PhB8BeB8DeE8DeC8JeOEJvhF8kBzgBxiBSsBVwBfsB,v115@PhB8BeB8DeE8DeC8Jei/IvhF1mBxiB3kBcsBTrBuqB,v115@PhB8BeB8DeE8DeC8JeWHJvhFxiBlkBUmBikBXsBzqB,v115@PhB8BeB8DeE8DeC8JelBJvhFxkB/rBOsBTkBCoB0qB,v115@PhB8BeB8DeE8DeC8JemAJvhFUiBxkBfsBTkBCoBVwB
TLIZOSJ,X,X,O,X,X,X,O,X,X,X,X,X
TLIOJSZ,O,X,O,O,O,X,X,X,X,X,X,X
TLIOJZS,O,X,O,O,O,X,X,X,X,X,X,X
TLIOSJZ,X,X,O,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,O,X,O,X,X,O,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,O,X,X,X,X,X
TLJISZO,O,X,X,X,X,X,X,X,X,X,X,O
TLJISOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,X,X,X,X,X,X,X,X,O
TLJSIOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,X,X,X,X,X,O
TLJSZOI,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,O,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,O,X,X,X,X
TLJZIOS,O,X,X,X,X,X,X,O,X,X,X,X
TLJZSIO,X,X,X,X,X,X,X,O,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,O,X,X,X,X
TLJZOIS,X,X,X,X,O,X,X,O,X,X,X,X
TLJZOSI,X,X,X,X,O,X,X,O,X,X,X,X
TLJOISZ,X,X,X,O,O,X,X,X,X,X,X,X
TLJOIZS,X,X,X,O,O,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,O,O,X,X,X,X,X,X,X
TLJOSZI,X,X,X,O,O,X,X,X,X,X,X,X
TLJOZIS,X,X,X,O,O,X,X,O,X,X,X,X
TLJOZSI,X,X,X,O,O,X,X,O,X,X,X,X
TLSIJZO,O,X,X,X,X,X,X,X,X,X,X,O
TLSIJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X,X,X,X,O,X,O
TLSIZOJ,X,X,O,X,X,O,X,X,X,X,X,X
TLSIOJZ,O,X,O,X,X,O,X,X,X,X,X,X
TLSIOZJ,X,X,O,X,X,O,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,X,X,O
TLSJIOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X,X,X,X,X,X,O
TLSJZOI,X,X,X,X,X,O,X,X,X,X,X,X
TLSJOIZ,X,O,X,O,X,O,X,X,X,X,X,X
TLSJOZI,X,X,X,O,X,O,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X,X,X,X,O,X,O
TLSZIOJ,O,X,X,X,X,O,X,X,X,X,X,X
TLSZJIO,O,X,X,X,X,X,X,O,X,O,X,O
TLSZJOI,X,O,X,X,X,O,X,O,X,O,X,X
TLSZOIJ,O,O,X,X,X,O,X,X,X,X,X,X
TLSZOJI,O,O,O,X,X,O,X,O,X,X,X,X
TLSOIJZ,O,O,O,O,X,O,X,X,X,X,X,X
TLSOIZJ,X,O,O,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,O,O,O,X,O,X,X,X,X,X,X
TLSOJZI,O,X,O,O,X,O,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,O,X,X,X,X,X,X
TLSOZJI,O,O,O,X,X,O,X,O,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,O,X,X,X,X
TLZIJOS,O,X,X,X,X,X,X,O,X,X,X,X
TLZISJO,X,X,X,X,X,X,O,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,O,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,O,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,O,X,X,X,X,X
TLZJISO,O,X,X,X,X,X,X,O,X,X,X,X
TLZJIOS,O,X,X,X,X,X,X,O,X,X,X,X
TLZJSIO,X,X,X,X,X,X,X,O,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,O,X,X,X,X
TLZJOIS,X,X,X,X,O,X,X,O,X,X,X,X
TLZJOSI,X,X,X,X,O,X,X,O,X,X,X,X
TLZSIJO,X,X,X,X,X,X,O,X,X,O,X,X
TLZSIOJ,X,X,X,X,X,O,O,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X,O,O,X,O,X,X
TLZSJOI,X,X,X,X,X,O,O,O,X,O,X,X
TLZSOIJ,X,X,X,X,X,O,O,X,X,X,X,X
TLZSOJI,X,X,O,X,X,O,O,O,X,X,X,X
TLZOIJS,O,X,X,X,O,X,X,O,X,X,X,X
TLZOISJ,X,X,X,X,X,O,O,X,X,X,X,X
TLZOJIS,O,X,X,X,O,X,X,O,X,X,X,X
TLZOJSI,X,X,O,X,O,X,X,O,X,X,X,X
TLZOSIJ,X,X,X,X,X,O,O,X,X,X,X,X
TLZOSJI,X,X,O,X,X,O,O,O,X,X,X,X
TLOIJSZ,O,X,O,O,O,X,X,X,X,X,X,X
TLOIJZS,O,X,O,O,O,X,X,X,X,X,X,X
TLOISJZ,X,O,O,O,X,O,X,X,X,X,X,X
TLOISZJ,X,O,O,X,X,O,X,X,X,X,X,X
TLOIZJS,X,X,O,X,O,X,X,O,X,X,X,X
TLOIZSJ,X,X,O,X,X,O,O,X,X,X,X,X
TLOJISZ,O,X,O,O,O,X,X,X,X,X,X,X
TLOJIZS,O,X,O,O,O,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,O,O,X,X,X,X,X,X,X
TLOJSZI,O,X,O,O,O,X,X,X,X,X,X,X
TLOJZIS,O,X,X,O,O,X,X,O,X,X,X,X
TLOJZSI,X,X,O,O,O,X,X,O,X,X,X,X
TLOSIJZ,O,O,O,O,X,O,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,X,O,X,X,X,X,X,X
TLOSJIZ,O,O,O,O,X,O,X,X,X,X,X,X
TLOSJZI,O,X,O,O,X,O,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,O,X,X,X,X,X,X
TLOSZJI,O,O,O,X,X,O,X,O,X,X,X,X
TLOZIJS,O,X,X,X,O,X,X,O,X,X,X,X
TLOZISJ,X,X,X,X,X,O,O,X,X,X,X,X
TLOZJIS,O,X,X,X,O,X,X,O,X,X,X,X
TLOZJSI,X,X,O,X,O,X,X,O,X,X,X,X
TLOZSIJ,X,X,X,X,X,O,O,X,X,X,X,X
TLOZSJI,X,X,O,X,X,O,O,O,X,X,X,X
TJILSZO,O,X,X,X,X,X,X,X,X,X,X,O
TJILSOZ,O,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,O,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,X,X,X,X,X,X,X,X,X,X
TJILOZS,O,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,X,X,X,X,X,O,O
TJISLOZ,O,X,X,X,X,X,X,X,X,X,O,X
TJISZLO,X,X,X,X,X,X,X,X,X,O,O,O
TJISZOL,X,X,X,X,X,X,X,X,X,O,O,O
TJISOLZ,X,X,X,O,X,X,X,X,X,X,O,X
