sequence,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBTjBOpBl?lBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF0iB6oBfqBl?lBzsBGqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBOpBllBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFFgB0iB6oBf?qBuqBzsB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JexCJvhF0kBllBCoBO?pBXtBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoBX?oBTqB0sB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoB0?nBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF1lB6nBWqBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lBXjBc?tB6sBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lB0iBS?tBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Je0AJvhFxiB3kBTqBC?tBOpBFtB
ILJTOZS,X,X,O,X,X,X,O,O,X,X,X
ILJSTZO,O,X,X,O,X,O,O,X,X,X,X
ILJSTOZ,O,X,X,O,X,O,X,X,X,X,X
ILJSZTO,O,X,X,O,X,X,X,X,X,X,X
ILJSZOT,O,X,X,O,X,X,X,X,X,X,X
ILJSOTZ,O,X,X,O,X,X,X,O,X,X,X
ILJSOZT,O,X,X,O,X,X,X,X,X,X,X
ILJZTSO,O,X,O,O,X,O,O,X,X,X,X
ILJZTOS,O,X,O,X,X,X,O,X,X,X,X
ILJZSTO,O,X,X,O,X,X,X,X,X,X,X
ILJZSOT,O,X,X,O,X,X,X,X,X,X,X
ILJZOTS,X,X,O,X,X,X,X,O,X,O,X
ILJZOST,O,X,X,O,X,X,X,X,X,X,X
ILJOTSZ,X,X,X,O,X,O,X,O,X,O,X
ILJOTZS,X,X,O,O,X,X,O,O,X,O,X
ILJOSTZ,O,X,X,O,X,X,X,O,X,X,O
ILJOSZT,O,X,X,O,X,X,X,X,X,X,O
ILJOZTS,X,X,O,O,X,X,X,O,X,O,X
ILJOZST,X,X,X,O,X,X,X,X,X,X,O
ILSTJZO,O,X,X,O,X,O,O,X,X,X,X
ILSTJOZ,O,X,X,X,X,O,X,O,X,X,X
ILSTZJO,X,X,X,O,X,X,X,X,X,X,X
ILSTZOJ,O,X,X,O,X,X,X,X,X,X,X
ILSTOJZ,O,O,X,O,X,X,X,O,X,X,X
ILSTOZJ,O,O,X,O,X,X,X,X,X,X,X
ILSJTZO,O,X,X,O,X,O,O,X,X,X,X
ILSJTOZ,O,X,X,O,X,O,X,X,X,X,X
ILSJZTO,O,X,X,O,X,X,X,X,X,X,X
ILSJZOT,O,X,X,O,X,X,X,X,X,X,X
ILSJOTZ,O,X,X,O,X,X,X,O,X,X,X
ILSJOZT,O,X,X,O,X,X,X,X,X,X,X
ILSZTJO,O,X,X,O,X,X,X,X,X,X,X
ILSZTOJ,O,X,X,O,X,X,X,X,X,X,X
ILSZJTO,O,X,X,O,X,X,X,X,X,X,X
ILSZJOT,O,X,X,O,X,X,X,X,X,X,X
ILSZOTJ,O,X,X,O,X,X,X,X,X,O,X
ILSZOJT,O,X,X,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,X,O,X,X,X,O,X,O,O
ILSOTZJ,O,O,X,O,X,X,X,X,X,O,O
ILSOJTZ,O,O,X,O,X,X,X,O,X,X,O
ILSOJZT,O,O,X,O,X,X,X,X,X,X,O
ILSOZTJ,O,O,X,O,X,X,X,X,X,O,O
ILSOZJT,O,O,X,O,X,X,X,X,X,X,O
ILZTJSO,O,X,O,O,X,O,O,X,O,X,X
ILZTJOS,O,X,O,X,X,X,O,O,X,X,X
ILZTSJO,O,X,X,O,X,X,X,X,O,X,X
ILZTSOJ,O,X,X,O,X,X,X,X,X,X,X
ILZTOJS,X,X,O,X,X,X,X,O,X,O,X
ILZTOSJ,O,X,X,X,X,X,X,X,X,O,X
ILZJTSO,O,X,O,O,X,O,O,X,X,X,X
ILZJTOS,O,X,O,X,X,X,O,X,X,X,X
ILZJSTO,O,X,X,O,X,X,X,X,X,X,X
ILZJSOT,O,X,X,O,X,X,X,X,X,X,X
ILZJOTS,X,X,O,X,X,X,X,O,X,O,X
ILZJOST,O,X,X,O,X,X,X,X,X,X,X
ILZSTJO,O,X,X,O,X,X,X,X,O,X,X
ILZSTOJ,O,X,X,O,X,X,X,X,X,X,X
ILZSJTO,O,X,X,O,X,X,X,X,X,X,X
ILZSJOT,O,X,X,O,X,X,X,X,X,X,X
ILZSOTJ,O,X,X,O,X,X,X,X,O,O,X
ILZSOJT,O,X,X,X,X,X,X,X,X,X,X
ILZOTJS,X,X,O,X,X,X,X,O,O,O,X
ILZOTSJ,X,X,X,X,X,X,X,X,O,O,O
ILZOJTS,X,X,O,X,X,X,X,O,X,O,X
ILZOJST,X,X,X,O,X,X,X,X,X,X,O
ILZOSTJ,X,X,X,O,X,X,X,X,O,O,O
ILZOSJT,X,X,X,X,X,X,X,X,X,X,O
ILOTJSZ,X,X,X,O,X,O,X,O,X,O,X
ILOTJZS,X,X,O,O,X,X,O,O,O,O,X
ILOTSJZ,X,O,X,O,X,X,X,O,X,O,O
ILOTSZJ,X,O,X,O,X,X,X,X,X,O,O
ILOTZJS,X,X,X,O,X,X,X,O,O,O,X
ILOTZSJ,X,O,X,O,X,X,X,X,O,O,O
ILOJTSZ,X,X,X,O,X,O,X,O,X,O,X
ILOJTZS,X,X,O,O,X,X,O,O,X,O,X
ILOJSTZ,X,O,X,O,X,X,X,O,X,X,O
ILOJSZT,X,O,X,O,X,X,X,X,X,X,O
ILOJZTS,X,X,O,O,X,X,X,O,X,O,X
ILOJZST,X,O,X,O,X,X,X,X,X,X,O
ILOSTJZ,X,O,X,O,X,X,X,O,X,O,O
ILOSTZJ,X,O,X,O,X,X,X,X,X,O,O
ILOSJTZ,X,O,X,O,X,X,X,O,X,X,O
ILOSJZT,X,O,X,O,X,X,X,X,X,X,O
ILOSZTJ,X,O,X,O,X,X,X,X,X,O,O
ILOSZJT,X,O,X,O,X,X,X,X,X,X,O
ILOZTJS,X,X,O,O,X,X,X,O,O,O,X
ILOZTSJ,X,O,X,O,X,X,X,X,O,O,O
ILOZJTS,X,X,O,O,X,X,X,O,X,O,X
ILOZJST,X,O,X,O,X,X,X,X,X,X,O
ILOZSTJ,X,O,X,O,X,X,X,X,O,O,O
ILOZSJT,X,O,X,O,X,X,X,X,X,X,O
IJTLSZO,O,X,X,O,X,O,O,X,X,X,X
IJTLSOZ,O,X,X,O,X,O,X,O,X,X,X
IJTLZSO,O,X,X,O,X,O,O,X,O,X,X
IJTLZOS,X,X,X,X,X,X,O,O,X,X,X
IJTLOSZ,O,X,X,X,X,O,X,O,X,X,X
IJTLOZS,X,X,O,X,X,X,O,O,X,X,X
IJTSLZO,O,X,X,O,X,X,X,X,X,X,X
IJTSLOZ,O,X,X,O,X,X,X,O,X,X,X
IJTSZLO,O,X,X,O,X,X,X,X,O,X,X
IJTSZOL,O,X,X,O,X,X,X,X,O,X,X
IJTSOLZ,O,X,X,O,X,X,X,O,X,X,X
IJTSOZL,O,X,X,O,X,X,X,X,X,X,X
IJTZLSO,O,X,X,O,X,X,X,X,O,X,X
IJTZLOS,X,X,X,X,X,X,X,O,X,X,X
IJTZSLO,O,X,X,O,X,X,X,X,O,X,X
IJTZSOL,O,X,X,O,X,X,X,X,O,X,X
IJTZOLS,X,X,X,X,X,X,X,O,X,X,X
IJTZOSL,X,X,X,X,X,X,X,X,O,X,X
IJTOLSZ,O,X,X,O,X,X,X,O,X,X,X
IJTOLZS,X,X,O,O,X,X,X,O,X,X,X
IJTOSLZ,O,X,X,O,X,X,X,O,X,X,X
IJTOSZL,O,X,X,O,X,X,X,X,X,X,X
IJTOZLS,X,X,X,O,X,X,X,O,X,X,X
IJTOZSL,X,X,X,O,X,X,X,X,O,X,X
IJLTSZO,O,X,X,O,X,O,O,X,X,X,X
IJLTSOZ,O,X,X,O,X,O,X,O,X,X,X
IJLTZSO,O,X,X,O,X,O,O,X,X,X,X
IJLTZOS,X,X,X,X,X,X,O,O,X,X,X
IJLTOSZ,O,X,X,X,X,O,X,O,X,X,X
IJLTOZS,X,X,O,X,X,X,O,O,X,X,X
IJLSTZO,O,X,X,O,X,O,O,X,X,X,X
IJLSTOZ,O,X,X,O,X,O,X,X,X,X,X
IJLSZTO,O,X,X,O,X,X,X,X,X,X,X
IJLSZOT,O,X,X,O,X,X,X,X,X,X,X
IJLSOTZ,O,X,X,O,X,X,X,O,X,X,X
IJLSOZT,O,X,X,O,X,X,X,X,X,X,X
IJLZTSO,O,X,O,O,X,O,O,X,X,X,X
IJLZTOS,O,X,O,X,X,X,O,X,X,X,X
IJLZSTO,O,X,X,O,X,X,X,X,X,X,X
IJLZSOT,O,X,X,O,X,X,X,X,X,X,X
IJLZOTS,X,X,O,X,X,X,X,O,X,O,X
IJLZOST,O,X,X,O,X,X,X,X,X,X,X
IJLOTSZ,X,X,X,O,X,O,X,O,X,O,X
IJLOTZS,X,X,O,O,X,X,O,O,X,O,X
IJLOSTZ,O,X,X,O,X,X,X,O,X,X,X
IJLOSZT,O,X,X,O,X,X,X,X,X,X,X
IJLOZTS,X,X,O,O,X,X,X,O,X,O,X
IJLOZST,X,X,X,O,X,X,X,X,X,X,X
IJSTLZO,O,X,X,O,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,O,X,X,X,X,X,X,X
IJSTZLO,O,X,X,O,X,X,X,X,X,X,X
IJSTZOL,O,X,X,O,X,X,X,X,X,X,X
IJSTOLZ,O,O,X,O,X,X,X,X,X,X,X
IJSTOZL,O,O,X,O,X,X,X,X,X,X,X
IJSLTZO,O,X,X,O,X,O,O,X,X,X,X
IJSLTOZ,O,X,X,O,X,O,X,X,X,X,X
IJSLZTO,O,X,X,O,X,X,X,X,X,X,X
IJSLZOT,O,X,X,O,X,X,X,X,X,X,X
IJSLOTZ,O,X,X,O,X,X,X,O,X,X,X
IJSLOZT,O,X,X,O,X,X,X,X,X,X,X
IJSZTLO,O,X,X,O,X,X,X,X,X,X,X
IJSZTOL,O,X,X,O,X,X,X,X,X,X,X
IJSZLTO,O,X,X,O,X,X,X,X,X,X,X
IJSZLOT,O,X,X,O,X,X,X,X,X,X,X
IJSZOTL,O,X,X,O,X,X,X,X,X,X,X
IJSZOLT,O,X,X,O,X,X,X,X,X,X,X
IJSOTLZ,O,O,X,O,X,X,X,X,X,X,X
IJSOTZL,O,O,X,O,X,X,X,X,X,X,X
IJSOLTZ,O,O,X,O,X,X,X,O,X,X,X
IJSOLZT,O,O,X,O,X,X,X,X,X,X,X
IJSOZTL,O,O,X,O,X,X,X,X,X,X,X
IJSOZLT,O,O,X,O,X,X,X,X,X,X,X
IJZTLSO,O,X,O,O,X,X,X,X,O,X,X
IJZTLOS,O,X,O,X,X,X,X,X,X,X,X
IJZTSLO,O,X,O,O,X,X,X,X,O,X,X
IJZTSOL,O,X,O,O,X,X,X,X,O,X,X
IJZTOLS,O,X,O,X,X,X,X,X,X,X,X
IJZTOSL,O,X,O,X,X,X,X,X,O,X,X
IJZLTSO,O,X,O,O,X,O,O,X,X,X,X
IJZLTOS,O,X,O,X,X,X,O,X,X,X,X
IJZLSTO,O,X,X,O,X,X,X,X,X,X,X
IJZLSOT,O,X,X,O,X,X,X,X,X,X,X
IJZLOTS,X,X,O,X,X,X,X,O,X,O,X
IJZLOST,O,X,X,O,X,X,X,X,X,X,X
IJZSTLO,O,X,X,O,X,X,X,X,O,X,X
IJZSTOL,O,X,X,O,X,X,X,X,O,X,X
IJZSLTO,O,X,X,O,X,X,X,X,X,X,X
IJZSLOT,O,X,X,O,X,X,X,X,X,X,X
IJZSOTL,O,X,X,O,X,X,X,X,O,X,X
IJZSOLT,O,X,X,O,X,X,X,X,X,X,X
IJZOTLS,X,X,O,O,X,X,X,X,O,O,X
IJZOTSL,X,X,O,O,X,X,X,X,O,O,X
IJZOLTS,X,X,O,O,X,X,X,O,X,O,X
IJZOLST,O,X,X,O,X,X,X,X,X,X,X
IJZOSTL,O,X,X,O,X,X,X,X,O,X,X
IJZOSLT,O,X,X,O,X,X,X,X,X,X,X
IJOTLSZ,X,X,X,O,X,X,X,O,X,O,X
IJOTLZS,X,X,O,O,X,X,X,O,O,O,X
IJOTSLZ,X,X,X,O,X,X,X,O,X,O,X
IJOTSZL,X,X,X,O,X,X,X,X,O,O,X
IJOTZLS,X,X,X,O,X,X,X,O,O,O,X
IJOTZSL,X,X,X,O,X,X,X,X,O,O,X
IJOLTSZ,X,X,X,O,X,O,X,O,X,O,X
IJOLTZS,X,X,O,O,X,X,O,O,X,O,X
IJOLSTZ,O,O,X,O,X,X,X,O,X,X,X
IJOLSZT,O,O,X,O,X,X,X,X,X,X,X
IJOLZTS,X,X,O,O,X,X,X,O,X,O,X
IJOLZST,X,O,X,O,X,X,X,X,X,X,X
IJOSTLZ,O,O,X,O,X,X,X,X,X,X,X
IJOSTZL,X,O,X,O,X,X,X,X,X,X,X
IJOSLTZ,O,O,X,O,X,X,X,O,X,X,X
IJOSLZT,O,O,X,O,X,X,X,X,X,X,X
IJOSZTL,X,O,X,O,X,X,X,X,X,X,X
IJOSZLT,O,O,X,O,X,X,X,X,X,X,X
IJOZTLS,X,X,O,O,X,X,X,X,O,O,X
IJOZTSL,X,X,O,O,X,X,X,X,O,O,X
IJOZLTS,X,X,O,O,X,X,X,O,X,O,X
IJOZLST,X,O,X,O,X,X,X,X,X,X,X
IJOZSTL,X,O,X,O,X,X,X,X,O,X,X
IJOZSLT,X,O,X,O,X,X,X,X,X,X,X
ISTLJZO,O,X,X,O,O,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X,X,O,X,X,X
ISTLZJO,X,X,X,O,O,X,X,X,X,X,X
ISTLZOJ,O,X,X,O,O,X,X,X,X,X,X
ISTLOJZ,O,O,X,O,X,X,X,O,X,X,X
ISTLOZJ,O,O,X,O,O,X,X,X,X,X,X
ISTJLZO,O,X,X,O,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,X,X,O,X,X,X
ISTJZLO,O,X,X,O,X,X,X,X,O,X,X
ISTJZOL,O,X,X,X,X,X,X,X,O,X,X
ISTJOLZ,O,O,X,O,X,X,X,O,X,X,X
ISTJOZL,O,O,X,O,X,X,X,X,X,X,X
ISTZLJO,X,X,X,O,O,X,X,X,O,X,X
ISTZLOJ,O,X,X,O,O,X,X,X,X,X,X
ISTZJLO,X,X,X,O,X,X,X,X,O,X,X
ISTZJOL,X,X,X,X,X,X,X,X,O,X,X
ISTZOLJ,O,O,X,O,X,X,X,X,X,X,X
ISTZOJL,X,O,X,O,X,X,X,X,O,X,X
ISTOLJZ,O,O,X,O,X,X,X,O,X,X,X
ISTOLZJ,O,O,X,O,X,X,X,X,X,X,X
ISTOJLZ,O,O,X,O,X,X,X,O,X,X,X
ISTOJZL,O,O,X,O,X,X,X,X,X,X,X
ISTOZLJ,O,O,X,O,X,X,X,X,X,X,X
ISTOZJL,X,O,X,O,X,X,X,X,X,X,X
ISLTJZO,O,X,X,O,O,O,O,X,X,X,X
ISLTJOZ,O,X,X,X,X,O,X,O,X,X,X
ISLTZJO,X,X,X,O,O,X,X,X,X,X,X
ISLTZOJ,O,X,X,O,O,X,X,X,X,X,X
ISLTOJZ,O,O,X,O,X,X,X,O,X,X,X
ISLTOZJ,O,O,X,O,O,X,X,X,X,X,X
ISLJTZO,O,X,X,O,O,O,O,X,X,X,X
ISLJTOZ,O,X,X,O,X,O,X,X,X,X,X
ISLJZTO,O,X,X,O,O,X,X,X,X,X,X
ISLJZOT,O,X,X,O,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,O,X,X,X,O,X,X,X
ISLJOZT,O,X,X,O,X,X,X,X,X,X,X
ISLZTJO,O,X,X,O,O,X,X,X,X,X,X
ISLZTOJ,O,X,X,O,O,X,X,X,X,X,X
ISLZJTO,O,X,X,O,O,X,X,X,X,X,X
ISLZJOT,O,X,X,O,X,X,X,X,X,X,X
ISLZOTJ,O,X,X,O,O,X,X,X,X,O,X
ISLZOJT,O,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,O,X,O,X,X,X,O,X,O,X
ISLOTZJ,O,O,X,O,O,X,X,X,X,O,X
ISLOJTZ,O,O,X,O,X,X,X,O,X,X,X
ISLOJZT,O,O,X,O,X,X,X,X,X,X,X
ISLOZTJ,O,O,X,O,O,X,X,X,X,O,X
ISLOZJT,O,O,X,O,X,X,X,X,X,X,X
ISJTLZO,O,X,X,O,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,O,X,X,X,X,X,X,X
ISJTZLO,O,X,X,O,X,X,X,X,X,X,X
ISJTZOL,O,X,X,O,X,X,X,X,X,X,X
ISJTOLZ,O,O,X,O,X,X,X,X,X,X,X
ISJTOZL,O,O,X,O,X,X,X,X,X,X,X
ISJLTZO,O,X,X,O,X,O,O,X,X,X,X
ISJLTOZ,O,X,X,O,X,O,X,X,X,X,X
ISJLZTO,O,X,X,O,X,X,X,X,X,X,X
ISJLZOT,O,X,X,O,X,X,X,X,X,X,X
ISJLOTZ,O,X,X,O,X,X,X,O,X,X,X
ISJLOZT,O,X,X,O,X,X,X,X,X,X,X
ISJZTLO,O,X,X,O,X,X,X,X,X,X,X
ISJZTOL,O,X,X,O,X,X,X,X,X,X,X
ISJZLTO,O,X,X,O,X,X,X,X,X,X,X
ISJZLOT,O,X,X,O,X,X,X,X,X,X,X
ISJZOTL,O,X,X,O,X,X,X,X,X,X,X
ISJZOLT,O,X,X,O,X,X,X,X,X,X,X
ISJOTLZ,O,O,X,O,X,X,X,X,X,X,X
ISJOTZL,O,O,X,O,X,X,X,X,X,X,X
ISJOLTZ,O,O,X,O,X,X,X,O,X,X,X
ISJOLZT,O,O,X,O,X,X,X,X,X,X,X
ISJOZTL,O,O,X,O,X,X,X,X,X,X,X
ISJOZLT,O,O,X,O,X,X,X,X,X,X,X
ISZTLJO,O,X,X,O,O,X,X,X,O,X,X
ISZTLOJ,O,X,X,O,O,X,X,X,X,X,X
ISZTJLO,O,X,X,O,X,X,X,X,O,X,X
ISZTJOL,O,X,X,X,X,X,X,X,O,X,X
ISZTOLJ,O,O,X,O,X,X,X,X,O,X,X
ISZTOJL,O,O,X,O,X,X,X,X,O,X,X
ISZLTJO,O,X,X,O,O,X,X,X,O,X,X
ISZLTOJ,O,X,X,O,O,X,X,X,X,X,X
ISZLJTO,O,X,X,O,O,X,X,X,X,X,X
ISZLJOT,O,X,X,O,X,X,X,X,X,X,X
ISZLOTJ,O,X,X,O,O,X,X,X,O,O,X
ISZLOJT,O,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,X,X,O,X,X,X,X,O,X,X
ISZJTOL,O,X,X,O,X,X,X,X,O,X,X
ISZJLTO,O,X,X,O,X,X,X,X,X,X,X
ISZJLOT,O,X,X,O,X,X,X,X,X,X,X
ISZJOTL,O,X,X,O,X,X,X,X,O,X,X
ISZJOLT,O,X,X,O,X,X,X,X,X,X,X
ISZOTLJ,O,O,X,O,X,X,X,X,O,O,X
ISZOTJL,O,O,X,O,X,X,X,X,O,O,X
ISZOLTJ,O,O,X,O,X,X,X,X,O,O,X
ISZOLJT,O,O,X,O,X,X,X,X,X,X,X
ISZOJTL,O,O,X,O,X,X,X,X,O,X,X
ISZOJLT,O,O,X,O,X,X,X,X,X,X,X
ISOTLJZ,O,O,X,O,X,X,X,O,X,O,X
ISOTLZJ,O,O,X,O,X,X,X,X,X,O,X
ISOTJLZ,O,O,X,O,X,X,X,O,X,O,X
ISOTJZL,O,O,X,O,X,X,X,X,O,O,X
ISOTZLJ,O,O,X,O,X,X,X,X,O,O,X
ISOTZJL,X,O,X,O,X,X,X,X,O,O,X
ISOLTJZ,O,O,X,O,X,X,X,O,X,O,X
ISOLTZJ,O,O,X,O,X,X,X,X,X,O,X
ISOLJTZ,O,O,X,O,X,X,X,O,X,X,X
ISOLJZT,O,O,X,O,X,X,X,X,X,X,X
ISOLZTJ,O,O,X,O,X,X,X,X,X,O,X
ISOLZJT,O,O,X,O,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,O,X,X,X,X,X,X,X
ISOJTZL,O,O,X,O,X,X,X,X,X,X,X
ISOJLTZ,O,O,X,O,X,X,X,O,X,X,X
ISOJLZT,O,O,X,O,X,X,X,X,X,X,X
ISOJZTL,O,O,X,O,X,X,X,X,X,X,X
ISOJZLT,O,O,X,O,X,X,X,X,X,X,X
ISOZTLJ,O,O,X,O,X,X,X,X,O,O,X
ISOZTJL,O,O,X,O,X,X,X,X,O,O,X
ISOZLTJ,O,O,X,O,X,X,X,X,O,O,X
ISOZLJT,O,O,X,O,X,X,X,X,X,X,X
ISOZJTL,O,O,X,O,X,X,X,X,O,X,X
ISOZJLT,O,O,X,O,X,X,X,X,X,X,X
IZTLJSO,O,X,O,O,X,X,X,X,O,X,X
IZTLJOS,O,X,O,X,X,X,X,O,X,X,X
IZTLSJO,O,X,X,O,X,X,X,X,O,X,X
IZTLSOJ,O,X,X,O,X,X,X,X,X,X,X
IZTLOJS,X,X,O,X,X,X,X,O,X,O,X
IZTLOSJ,O,X,X,X,X,X,X,X,X,O,X
IZTJLSO,O,X,O,O,X,X,X,X,O,X,X
IZTJLOS,O,X,O,X,X,X,X,O,X,X,X
IZTJSLO,O,X,O,O,X,X,X,X,O,X,X
IZTJSOL,O,X,O,O,X,X,X,X,O,X,X
IZTJOLS,O,X,O,X,X,X,X,O,X,X,X
IZTJOSL,O,X,O,X,X,X,X,X,O,X,X
IZTSLJO,O,X,X,O,O,X,X,X,O,X,X
IZTSLOJ,O,X,X,O,O,X,X,X,X,X,X
IZTSJLO,O,X,X,O,X,X,X,X,O,X,X
IZTSJOL,O,X,X,X,X,X,X,X,O,X,X
IZTSOLJ,O,X,X,O,X,X,X,X,O,X,X
IZTSOJL,O,X,X,X,X,X,X,X,O,X,X
IZTOLJS,X,X,O,X,X,X,X,O,O,O,X
IZTOLSJ,O,X,X,X,X,X,X,X,O,O,X
IZTOJLS,X,X,O,X,X,X,X,O,O,O,X
IZTOJSL,X,X,O,X,X,X,X,X,O,O,X
IZTOSLJ,O,X,X,X,X,X,X,X,O,O,X
IZTOSJL,O,X,X,X,X,X,X,X,O,O,X
IZLTJSO,O,X,O,O,X,O,O,X,O,X,X
IZLTJOS,O,X,O,X,X,X,O,O,X,X,X
IZLTSJO,O,X,X,O,X,X,X,X,O,X,X
IZLTSOJ,O,X,X,O,X,X,X,X,X,X,X
IZLTOJS,X,X,O,X,X,X,X,O,X,O,X
IZLTOSJ,O,X,X,X,X,X,X,X,X,O,X
IZLJTSO,O,X,O,O,X,O,O,X,X,X,X
IZLJTOS,O,X,O,X,X,X,O,X,X,X,X
IZLJSTO,O,X,X,O,X,X,X,X,X,X,X
IZLJSOT,O,X,X,O,X,X,X,X,X,X,X
IZLJOTS,X,X,O,X,X,X,X,O,X,O,X
IZLJOST,O,X,X,O,X,X,X,X,X,X,X
IZLSTJO,O,X,X,O,X,X,X,X,O,X,X
IZLSTOJ,O,X,X,O,X,X,X,X,X,X,X
IZLSJTO,O,X,X,O,X,X,X,X,X,X,X
IZLSJOT,O,X,X,O,X,X,X,X,X,X,X
IZLSOTJ,O,X,X,O,X,X,X,X,O,O,X
IZLSOJT,O,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,X,O,X,X,X,X,O,O,O,X
IZLOTSJ,X,X,X,X,X,X,X,X,O,O,X
IZLOJTS,X,X,O,X,X,X,X,O,X,O,X
IZLOJST,X,X,X,O,X,X,X,X,X,X,X
IZLOSTJ,X,X,X,O,X,X,X,X,O,O,X
IZLOSJT,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,X,O,O,X,X,X,X,O,X,X
IZJTLOS,O,X,O,X,X,X,X,X,X,X,X
IZJTSLO,O,X,O,O,X,X,X,X,O,X,X
IZJTSOL,O,X,O,O,X,X,X,X,O,X,X
IZJTOLS,O,X,O,X,X,X,X,X,X,X,X
IZJTOSL,O,X,O,X,X,X,X,X,O,X,X
IZJLTSO,O,X,O,O,X,O,O,X,X,X,X
IZJLTOS,O,X,O,X,X,X,O,X,X,X,X
IZJLSTO,O,X,X,O,X,X,X,X,X,X,X
IZJLSOT,O,X,X,O,X,X,X,X,X,X,X
IZJLOTS,X,X,O,X,X,X,X,O,X,O,X
IZJLOST,O,X,X,O,X,X,X,X,X,X,X
IZJSTLO,O,X,X,O,X,X,X,X,O,X,X
IZJSTOL,O,X,X,O,X,X,X,X,O,X,X
IZJSLTO,O,X,X,O,X,X,X,X,X,X,X
IZJSLOT,O,X,X,O,X,X,X,X,X,X,X
IZJSOTL,O,X,X,O,X,X,X,X,O,X,X
IZJSOLT,O,X,X,O,X,X,X,X,X,X,X
IZJOTLS,X,X,O,O,X,X,X,X,O,O,X
IZJOTSL,X,X,O,O,X,X,X,X,O,O,X
IZJOLTS,X,X,O,O,X,X,X,O,X,O,X
IZJOLST,O,X,X,O,X,X,X,X,X,X,X
IZJOSTL,O,X,X,O,X,X,X,X,O,X,X
IZJOSLT,O,X,X,O,X,X,X,X,X,X,X
IZSTLJO,O,X,X,O,O,X,X,X,O,X,X
IZSTLOJ,O,X,X,O,O,X,X,X,X,X,X
IZSTJLO,O,X,X,O,X,X,X,X,O,X,X
IZSTJOL,O,X,X,X,X,X,X,X,O,X,X
IZSTOLJ,O,O,X,O,X,X,X,X,O,X,X
IZSTOJL,O,O,X,O,X,X,X,X,O,X,X
IZSLTJO,O,X,X,O,O,X,X,X,O,X,X
IZSLTOJ,O,X,X,O,O,X,X,X,X,X,X
IZSLJTO,O,X,X,O,O,X,X,X,X,X,X
IZSLJOT,O,X,X,O,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,O,O,X,X,X,O,O,X
IZSLOJT,O,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,X,O,X,X,X,X,O,X,X
IZSJTOL,O,X,X,O,X,X,X,X,O,X,X
IZSJLTO,O,X,X,O,X,X,X,X,X,X,X
IZSJLOT,O,X,X,O,X,X,X,X,X,X,X
IZSJOTL,O,X,X,O,X,X,X,X,O,X,X
IZSJOLT,O,X,X,O,X,X,X,X,X,X,X
IZSOTLJ,O,O,X,O,X,X,X,X,O,O,X
IZSOTJL,O,O,X,O,X,X,X,X,O,O,X
IZSOLTJ,O,O,X,O,X,X,X,X,O,O,X
IZSOLJT,O,O,X,O,X,X,X,X,X,X,X
IZSOJTL,O,O,X,O,X,X,X,X,O,X,X
IZSOJLT,O,O,X,O,X,X,X,X,X,X,X
IZOTLJS,X,X,O,O,X,X,X,O,O,O,X
IZOTLSJ,X,O,X,O,X,X,X,X,O,O,X
IZOTJLS,X,X,O,O,X,X,X,O,O,O,X
IZOTJSL,X,X,O,O,X,X,X,X,O,O,X
IZOTSLJ,X,O,X,O,X,X,X,X,O,O,X
IZOTSJL,X,O,X,O,X,X,X,X,O,O,X
IZOLTJS,X,X,O,O,X,X,X,O,O,O,X
IZOLTSJ,X,O,X,O,X,X,X,X,O,O,X
IZOLJTS,X,X,O,O,X,X,X,O,X,O,X
IZOLJST,X,O,X,O,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,O,X,X,X,X,O,O,X
IZOLSJT,X,O,X,O,X,X,X,X,X,X,X
IZOJTLS,X,X,O,O,X,X,X,X,O,O,X
IZOJTSL,X,X,O,O,X,X,X,X,O,O,X
IZOJLTS,X,X,O,O,X,X,X,O,X,O,X
