sequence,v115@RhB8EeA8BeE8AeD8Jex/IvhF8lBzhBfoB6oBmkBlrB,v115@RhB8EeA8BeE8AeD8Je2EJvhFRgBzhBSoB3lBUoBlrB,v115@RhB8EeA8BeE8AeD8Jei/IvhFzhBGjBRlBUoB3lBlrB,v115@RhB8EeA8BeE8AeD8Jei/IvhFRhBziB+oBFlBXmB8rB,v115@RhB8EeA8BeE8AeD8Je2EJvhFRgB3hBCjB1qB8rBTtB,v115@RhB8EeA8BeE8AeD8Jex/IvhFlhBfoB6oBmkBzlB8rB,v115@RhB8EeA8BeE8AeD8Jei/IvhFxiBUlBFmBXnBToBGrB,v115@RhB8EeA8BeE8AeD8Je2EJvhFChBxiB/rBFsBTtBUqB,v115@RhB8EeA8BeE8AeD8Jei/IvhFWmBUlBxnB/rBFsBTtB
IJSZLTO,O,O,X,X,X,O,X,X,X
IJSZLOT,O,X,X,X,X,O,X,X,X
IJSZOTL,O,X,X,X,X,O,X,X,X
IJSZOLT,O,X,X,X,X,O,X,X,X
IJSOTLZ,X,O,X,X,O,O,X,O,X
IJSOTZL,X,O,X,X,O,O,X,O,X
IJSOLTZ,X,O,X,X,O,O,X,O,X
IJSOLZT,O,X,X,X,X,O,X,X,X
IJSOZTL,O,X,X,X,X,O,X,X,X
IJSOZLT,O,X,X,X,X,O,X,X,X
IJZTLSO,O,X,O,O,O,O,X,X,O
IJZTLOS,O,X,O,O,O,X,X,X,O
IJZTSLO,O,X,O,O,O,O,X,X,X
IJZTSOL,O,X,O,O,O,O,X,X,X
IJZTOLS,O,X,O,O,O,X,X,X,X
IJZTOSL,O,X,O,O,O,O,X,X,X
IJZLTSO,O,X,O,O,O,O,X,X,O
IJZLTOS,O,X,O,O,O,X,X,X,O
IJZLSTO,O,O,O,O,X,O,X,X,O
IJZLSOT,O,X,X,O,X,O,X,X,O
IJZLOTS,X,X,O,O,X,X,X,X,O
IJZLOST,X,X,X,O,X,X,X,X,O
IJZSTLO,O,O,O,O,X,O,X,X,X
IJZSTOL,O,O,O,O,X,O,X,X,X
IJZSLTO,O,O,O,O,X,O,X,X,O
IJZSLOT,O,X,X,O,X,O,X,X,O
IJZSOTL,O,X,X,O,X,O,X,X,X
IJZSOLT,O,X,X,O,X,O,X,X,X
IJZOTLS,O,X,O,O,O,O,X,X,X
IJZOTSL,O,X,O,O,O,O,X,X,X
IJZOLTS,X,X,O,O,O,O,X,X,O
IJZOLST,X,X,X,O,X,O,X,X,O
IJZOSTL,O,X,X,O,X,O,X,X,X
IJZOSLT,O,X,X,O,X,O,X,X,X
IJOTLSZ,X,X,X,O,O,X,X,O,X
IJOTLZS,X,X,X,O,O,X,X,X,X
IJOTSLZ,X,X,X,O,O,O,X,O,X
IJOTSZL,X,X,X,X,O,O,X,O,X
IJOTZLS,X,X,X,O,O,O,X,X,X
IJOTZSL,X,X,X,O,O,O,X,O,X
IJOLTSZ,X,X,X,O,O,X,X,O,X
IJOLTZS,X,X,X,O,O,X,X,X,X
IJOLSTZ,X,O,X,X,O,O,X,X,X
IJOLSZT,X,X,X,X,X,O,X,X,X
IJOLZTS,X,X,X,O,O,O,X,X,X
IJOLZST,X,X,X,O,X,O,X,X,X
IJOSTLZ,X,O,X,X,O,O,X,O,X
IJOSTZL,X,O,X,X,O,O,X,O,X
IJOSLTZ,X,O,X,X,O,O,X,O,X
IJOSLZT,O,X,X,X,X,O,X,X,X
IJOSZTL,O,X,X,X,X,O,X,X,X
IJOSZLT,O,X,X,X,X,O,X,X,X
IJOZTLS,O,X,X,O,O,O,X,X,X
IJOZTSL,O,X,X,O,O,O,X,O,X
IJOZLTS,X,X,X,O,O,O,X,X,X
IJOZLST,X,X,X,O,X,O,X,X,X
IJOZSTL,O,X,X,O,X,O,X,X,X
IJOZSLT,O,X,X,O,X,O,X,X,X
ISTLJZO,O,O,X,X,X,X,X,X,X
ISTLJOZ,O,O,X,X,X,X,X,O,X
ISTLZJO,O,O,O,X,X,X,X,X,X
ISTLZOJ,O,O,O,X,X,X,X,X,X
ISTLOJZ,O,O,X,X,X,X,X,O,X
ISTLOZJ,O,O,O,X,X,X,X,O,X
ISTJLZO,O,O,X,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,X,X,O,X
ISTJZLO,O,O,X,X,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,X,X,O,X
ISTJOZL,O,O,X,X,X,X,X,O,X
ISTZLJO,O,O,O,X,X,X,X,X,X
ISTZLOJ,O,O,O,X,X,X,O,X,X
ISTZJLO,O,O,O,X,X,X,X,X,X
ISTZJOL,O,O,O,X,X,X,X,X,X
ISTZOLJ,O,O,O,X,X,X,O,X,X
ISTZOJL,O,O,O,X,X,X,O,X,X
ISTOLJZ,O,O,X,X,X,X,X,O,X
ISTOLZJ,O,O,O,X,X,X,O,O,X
ISTOJLZ,O,O,X,X,X,X,X,O,X
ISTOJZL,O,O,X,X,X,X,O,O,X
ISTOZLJ,O,O,O,X,X,X,O,O,X
ISTOZJL,O,O,O,X,X,X,O,O,X
ISLTJZO,O,O,X,X,X,X,X,X,X
ISLTJOZ,O,O,X,X,X,X,X,O,X
ISLTZJO,O,O,O,X,X,X,X,X,X
ISLTZOJ,O,O,O,X,X,X,X,X,X
ISLTOJZ,O,O,X,X,X,X,X,O,X
ISLTOZJ,O,O,O,X,X,X,X,O,X
ISLJTZO,O,O,X,X,X,O,X,X,X
ISLJTOZ,O,O,X,X,X,O,X,O,X
ISLJZTO,O,O,X,X,X,O,X,X,X
ISLJZOT,O,X,X,X,X,O,X,X,X
ISLJOTZ,X,O,X,X,X,O,X,O,X
ISLJOZT,O,X,X,X,X,O,X,X,X
ISLZTJO,O,O,O,X,X,O,X,X,X
ISLZTOJ,O,O,O,X,X,O,O,X,X
ISLZJTO,O,O,O,X,X,O,X,X,O
ISLZJOT,O,X,X,X,X,O,X,X,O
ISLZOTJ,O,X,X,X,X,O,O,X,X
ISLZOJT,X,X,X,X,X,O,O,X,X
ISLOTJZ,X,O,X,X,X,X,X,O,X
ISLOTZJ,X,O,X,X,X,O,O,O,X
ISLOJTZ,X,O,X,X,X,O,X,O,X
ISLOJZT,X,X,X,X,X,O,O,X,X
ISLOZTJ,X,X,X,X,X,O,O,X,X
ISLOZJT,X,X,X,X,X,O,O,X,X
ISJTLZO,O,O,X,X,X,O,X,X,X
ISJTLOZ,O,O,X,X,X,O,X,O,X
ISJTZLO,O,O,X,X,X,O,X,X,X
ISJTZOL,O,O,X,X,X,O,X,X,X
ISJTOLZ,O,O,X,X,X,O,X,O,X
ISJTOZL,O,O,X,X,X,O,X,O,X
ISJLTZO,O,O,X,X,X,O,X,X,X
ISJLTOZ,O,O,X,X,X,O,X,O,X
ISJLZTO,O,O,X,X,X,O,X,X,X
ISJLZOT,O,X,X,X,X,O,X,X,X
ISJLOTZ,X,O,X,X,X,O,X,O,X
ISJLOZT,O,X,X,X,X,O,X,X,X
ISJZTLO,O,O,X,X,X,O,X,X,X
ISJZTOL,O,O,X,X,X,O,X,X,X
ISJZLTO,O,O,X,X,X,O,X,X,X
ISJZLOT,O,X,X,X,X,O,X,X,X
ISJZOTL,O,X,X,X,X,O,X,X,X
ISJZOLT,O,X,X,X,X,O,X,X,X
ISJOTLZ,X,O,X,X,X,O,X,O,X
ISJOTZL,X,O,X,X,X,O,X,O,X
ISJOLTZ,X,O,X,X,X,O,X,O,X
ISJOLZT,O,X,X,X,X,O,X,X,X
ISJOZTL,O,X,X,X,X,O,X,X,X
ISJOZLT,O,X,X,X,X,O,X,X,X
ISZTLJO,O,O,O,X,X,O,X,X,X
ISZTLOJ,O,O,O,X,X,O,O,X,X
ISZTJLO,O,O,O,X,X,O,X,X,X
ISZTJOL,O,O,O,X,X,O,X,X,X
ISZTOLJ,O,O,O,X,X,O,O,X,X
ISZTOJL,O,O,O,X,X,O,O,X,X
ISZLTJO,O,O,O,X,X,O,X,X,X
ISZLTOJ,O,O,O,X,X,O,O,X,X
ISZLJTO,O,O,O,X,X,O,X,X,O
ISZLJOT,O,X,X,X,X,O,X,X,O
ISZLOTJ,O,X,X,X,X,O,O,X,X
ISZLOJT,X,X,X,X,X,O,O,X,X
ISZJTLO,O,O,O,X,X,O,X,X,X
ISZJTOL,O,O,O,X,X,O,X,X,X
ISZJLTO,O,O,O,X,X,O,X,X,O
ISZJLOT,O,X,X,X,X,O,X,X,O
ISZJOTL,O,X,X,X,X,O,X,X,X
ISZJOLT,O,X,X,X,X,O,X,X,X
ISZOTLJ,O,X,X,X,X,O,O,X,X
ISZOTJL,O,X,X,X,X,O,O,X,X
ISZOLTJ,O,X,X,X,X,O,O,X,X
ISZOLJT,X,X,X,X,X,O,O,X,X
ISZOJTL,X,X,X,X,X,O,O,X,X
ISZOJLT,X,X,X,X,X,O,O,X,X
ISOTLJZ,X,O,X,X,X,X,X,O,X
ISOTLZJ,X,O,X,X,X,O,O,O,X
ISOTJLZ,X,O,X,X,X,X,X,O,X
ISOTJZL,X,O,X,X,X,X,O,O,X
ISOTZLJ,X,O,X,X,X,O,O,O,X
ISOTZJL,X,O,X,X,X,O,O,O,X
ISOLTJZ,X,O,X,X,X,X,X,O,X
ISOLTZJ,X,O,X,X,X,O,O,O,X
ISOLJTZ,X,O,X,X,X,O,X,O,X
ISOLJZT,X,X,X,X,X,O,O,X,X
ISOLZTJ,X,X,X,X,X,O,O,X,X
ISOLZJT,X,X,X,X,X,O,O,X,X
ISOJTLZ,X,O,X,X,X,O,X,O,X
ISOJTZL,X,O,X,X,X,O,O,O,X
ISOJLTZ,X,O,X,X,X,O,X,O,X
ISOJLZT,X,X,X,X,X,O,O,X,X
ISOJZTL,X,X,X,X,X,O,O,X,X
ISOJZLT,X,X,X,X,X,O,O,X,X
ISOZTLJ,X,X,X,X,X,O,O,X,X
ISOZTJL,X,X,X,X,X,O,O,X,X
ISOZLTJ,X,X,X,X,X,O,O,X,X
ISOZLJT,X,X,X,X,X,O,O,X,X
ISOZJTL,X,X,X,X,X,O,O,X,X
ISOZJLT,X,X,X,X,X,O,O,X,X
IZTLJSO,X,X,O,O,O,X,X,X,O
IZTLJOS,X,X,O,O,O,X,X,X,O
IZTLSJO,O,X,O,O,O,X,X,X,X
IZTLSOJ,O,X,O,O,O,X,O,X,X
IZTLOJS,X,X,O,O,O,X,X,X,X
IZTLOSJ,O,X,O,X,O,X,O,X,X
IZTJLSO,O,X,O,O,O,O,X,X,O
IZTJLOS,O,X,O,O,O,X,X,X,O
IZTJSLO,O,X,O,O,O,O,X,X,X
IZTJSOL,O,X,O,O,O,O,X,X,X
IZTJOLS,O,X,O,O,O,X,X,X,X
IZTJOSL,O,X,O,O,O,O,X,X,X
IZTSLJO,O,X,O,O,O,O,X,X,X
IZTSLOJ,O,X,O,O,O,O,O,X,X
IZTSJLO,O,X,O,O,O,O,X,X,X
IZTSJOL,O,X,O,O,O,O,X,X,X
IZTSOLJ,O,X,O,O,O,O,O,X,X
IZTSOJL,O,X,O,O,O,O,O,X,X
IZTOLJS,X,X,O,O,O,X,X,X,X
IZTOLSJ,O,X,O,X,O,O,O,X,X
IZTOJLS,O,X,O,O,O,O,X,X,X
IZTOJSL,O,X,O,O,O,O,X,X,X
IZTOSLJ,O,X,O,X,O,O,O,X,X
IZTOSJL,O,X,O,X,O,O,O,X,X
IZLTJSO,X,X,O,O,O,X,X,X,O
IZLTJOS,X,X,O,O,O,X,X,X,O
IZLTSJO,O,X,O,O,O,X,X,X,X
IZLTSOJ,O,X,O,O,O,X,O,X,X
IZLTOJS,X,X,O,O,O,X,X,X,X
IZLTOSJ,O,X,O,X,O,X,O,X,X
IZLJTSO,X,X,O,O,X,X,X,X,O
IZLJTOS,X,X,O,O,X,X,X,X,O
IZLJSTO,X,X,O,O,X,X,X,X,O
IZLJSOT,X,X,X,O,X,X,X,X,O
IZLJOTS,X,X,O,O,X,X,X,X,O
IZLJOST,X,X,X,O,X,X,X,X,O
IZLSTJO,O,X,O,O,X,X,X,X,X
IZLSTOJ,O,X,O,O,X,X,O,X,X
IZLSJTO,O,X,O,O,X,X,X,X,O
IZLSJOT,X,X,X,O,X,X,X,X,O
IZLSOTJ,O,X,X,X,X,X,O,X,X
IZLSOJT,X,X,X,O,X,X,O,X,X
IZLOTJS,X,X,O,X,X,X,X,X,X
IZLOTSJ,X,X,O,X,X,X,O,X,X
IZLOJTS,X,X,O,O,X,X,X,X,O
IZLOJST,X,X,X,O,X,X,O,X,O
IZLOSTJ,X,X,X,X,X,X,O,X,X
IZLOSJT,X,X,X,X,X,X,O,X,X
IZJTLSO,O,X,O,O,X,O,X,X,O
IZJTLOS,O,X,O,O,X,X,X,X,O
IZJTSLO,O,X,O,O,X,O,X,X,X
IZJTSOL,O,X,O,O,X,O,X,X,X
IZJTOLS,O,X,O,O,X,X,X,X,X
IZJTOSL,O,X,O,O,X,O,X,X,X
IZJLTSO,O,X,O,O,X,O,X,X,O
IZJLTOS,O,X,O,O,X,X,X,X,O
IZJLSTO,O,X,O,O,X,O,X,X,O
IZJLSOT,O,X,X,O,X,O,X,X,O
IZJLOTS,X,X,O,O,X,X,X,X,O
IZJLOST,X,X,X,O,X,X,X,X,O
IZJSTLO,O,X,O,O,X,O,X,X,X
IZJSTOL,O,X,O,O,X,O,X,X,X
IZJSLTO,O,X,O,O,X,O,X,X,O
IZJSLOT,O,X,X,O,X,O,X,X,O
IZJSOTL,O,X,X,O,X,O,X,X,X
IZJSOLT,O,X,X,O,X,O,X,X,X
IZJOTLS,O,X,O,O,X,O,X,X,X
IZJOTSL,O,X,O,O,X,O,X,X,X
IZJOLTS,X,X,O,O,X,O,X,X,O
IZJOLST,X,X,X,O,X,O,X,X,O
IZJOSTL,O,X,X,O,X,O,X,X,X
IZJOSLT,O,X,X,O,X,O,X,X,X
IZSTLJO,O,X,O,O,X,O,X,X,X
IZSTLOJ,O,X,O,O,X,O,O,X,X
IZSTJLO,O,X,O,O,X,O,X,X,X
IZSTJOL,O,X,O,O,X,O,X,X,X
IZSTOLJ,O,X,O,O,X,O,O,X,X
IZSTOJL,O,X,O,O,X,O,O,X,X
IZSLTJO,O,X,O,O,X,O,X,X,X
IZSLTOJ,O,X,O,O,X,O,O,X,X
IZSLJTO,O,X,O,O,X,O,X,X,O
IZSLJOT,O,X,X,O,X,O,X,X,O
IZSLOTJ,O,X,X,X,X,O,O,X,X
IZSLOJT,X,X,X,O,X,O,O,X,X
IZSJTLO,O,X,O,O,X,O,X,X,X
IZSJTOL,O,X,O,O,X,O,X,X,X
IZSJLTO,O,X,O,O,X,O,X,X,O
IZSJLOT,O,X,X,O,X,O,X,X,O
IZSJOTL,O,X,X,O,X,O,X,X,X
IZSJOLT,O,X,X,O,X,O,X,X,X
IZSOTLJ,O,X,X,O,X,O,O,X,X
IZSOTJL,O,X,X,O,X,O,O,X,X
IZSOLTJ,O,X,X,X,X,O,O,X,X
IZSOLJT,X,X,X,O,X,O,O,X,X
IZSOJTL,X,X,X,O,X,O,O,X,X
IZSOJLT,X,X,X,O,X,O,O,X,X
IZOTLJS,X,X,O,O,O,X,X,X,X
IZOTLSJ,O,X,O,X,O,O,O,X,X
IZOTJLS,X,X,O,O,O,O,X,X,X
IZOTJSL,O,X,O,O,O,O,X,X,X
IZOTSLJ,O,X,O,X,O,O,O,X,X
IZOTSJL,O,X,O,X,O,O,O,X,X
IZOLTJS,X,X,O,X,O,X,X,X,X
IZOLTSJ,X,X,O,X,O,O,O,X,X
IZOLJTS,X,X,O,O,X,X,X,X,O
IZOLJST,X,X,X,O,X,X,O,X,O
IZOLSTJ,X,X,X,X,X,O,O,X,X
IZOLSJT,X,X,X,X,X,O,O,X,X
IZOJTLS,X,X,O,O,X,O,X,X,X
IZOJTSL,X,X,O,O,X,O,X,X,X
IZOJLTS,X,X,O,O,X,O,X,X,O
IZOJLST,X,X,X,O,X,O,O,X,O
IZOJSTL,X,X,X,O,X,O,O,X,X
IZOJSLT,X,X,X,O,X,O,O,X,X
IZOSTLJ,O,X,X,O,X,O,O,X,X
IZOSTJL,O,X,X,O,X,O,O,X,X
IZOSLTJ,O,X,X,X,X,O,O,X,X
IZOSLJT,X,X,X,O,X,O,O,X,X
IZOSJTL,X,X,X,O,X,O,O,X,X
IZOSJLT,X,X,X,O,X,O,O,X,X
IOTLJSZ,X,X,X,X,O,X,X,O,X
IOTLJZS,X,X,O,X,O,X,X,X,X
IOTLSJZ,X,X,X,X,O,X,X,O,X
IOTLSZJ,X,X,O,X,O,X,O,O,X
IOTLZJS,X,X,O,X,O,X,X,X,X
IOTLZSJ,X,X,O,X,O,X,O,X,X
IOTJLSZ,X,X,X,X,O,X,X,O,X
IOTJLZS,X,X,O,X,O,X,X,X,X
IOTJSLZ,X,X,X,X,O,X,X,O,X
IOTJSZL,X,X,X,X,O,X,X,O,X
IOTJZLS,X,X,O,X,O,X,X,X,X
IOTJZSL,X,X,O,X,O,X,X,O,X
IOTSLJZ,X,X,X,X,O,X,X,O,X
IOTSLZJ,X,X,O,X,O,O,O,O,X
IOTSJLZ,X,X,X,X,O,X,X,O,X
IOTSJZL,X,X,X,X,O,X,O,O,X
IOTSZLJ,X,X,O,X,O,O,O,O,X
IOTSZJL,X,X,O,X,O,O,O,O,X
IOTZLJS,X,X,O,X,O,X,X,X,X
IOTZLSJ,X,X,O,X,O,O,O,X,X
IOTZJLS,X,X,O,X,O,X,X,X,X
IOTZJSL,X,X,O,X,O,O,X,O,X
IOTZSLJ,X,X,O,X,O,O,O,O,X
IOTZSJL,X,X,O,X,O,O,O,O,X
IOLTJSZ,X,X,X,X,O,X,X,O,X
IOLTJZS,X,X,O,X,O,X,X,X,X
IOLTSJZ,X,X,X,X,O,X,X,O,X
IOLTSZJ,X,X,O,X,O,X,O,O,X
IOLTZJS,X,X,O,X,O,X,X,X,X
IOLTZSJ,X,X,O,X,O,X,O,X,X
IOLJTSZ,X,X,X,X,O,X,X,O,X
IOLJTZS,X,X,X,X,O,X,X,X,X
IOLJSTZ,X,X,X,X,O,X,X,X,X
IOLJSZT,X,X,X,X,X,X,O,X,X
IOLJZTS,X,X,X,X,O,X,X,X,X
IOLJZST,X,X,X,X,X,X,O,X,X
IOLSTJZ,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,X,O,O,X,X
IOLSJTZ,X,X,X,X,X,X,X,X,X
IOLSJZT,X,X,X,X,X,O,O,X,X
IOLSZTJ,X,X,X,X,X,O,O,X,X
IOLSZJT,X,X,X,X,X,O,O,X,X
IOLZTJS,X,X,O,X,O,X,X,X,X
IOLZTSJ,X,X,O,X,O,O,O,X,X
IOLZJTS,X,X,O,X,X,X,X,X,O
IOLZJST,X,X,X,X,X,X,O,X,O
IOLZSTJ,X,X,X,X,X,O,O,X,X
IOLZSJT,X,X,X,X,X,O,O,X,X
IOJTLSZ,X,X,X,X,O,X,X,O,X
IOJTLZS,X,X,X,X,O,X,X,X,X
IOJTSLZ,X,X,X,X,O,O,X,O,X
IOJTSZL,X,X,X,X,O,O,X,O,X
IOJTZLS,X,X,X,X,O,O,X,X,X
IOJTZSL,X,X,X,X,O,O,X,O,X
IOJLTSZ,X,X,X,X,O,X,X,O,X
IOJLTZS,X,X,X,X,O,X,X,X,X
IOJLSTZ,X,X,X,X,O,O,X,X,X
IOJLSZT,X,X,X,X,X,O,O,X,X
IOJLZTS,X,X,X,X,O,O,X,X,X
IOJLZST,X,X,X,X,X,O,O,X,X
IOJSTLZ,X,X,X,X,O,O,X,O,X
IOJSTZL,X,X,X,X,O,O,O,O,X
IOJSLTZ,X,X,X,X,O,O,X,O,X
IOJSLZT,X,X,X,X,X,O,O,X,X
IOJSZTL,X,X,X,X,X,O,O,X,X
IOJSZLT,X,X,X,X,X,O,O,X,X
IOJZTLS,X,X,X,X,O,O,X,X,X
IOJZTSL,X,X,X,X,O,O,X,O,X
IOJZLTS,X,X,X,X,O,O,X,X,X
IOJZLST,X,X,X,X,X,O,O,X,X
IOJZSTL,X,X,X,X,X,O,O,X,X
IOJZSLT,X,X,X,X,X,O,O,X,X
IOSTLJZ,X,X,X,X,X,X,X,O,X
IOSTLZJ,X,X,X,X,X,O,O,O,X
IOSTJLZ,X,X,X,X,X,X,X,O,X
IOSTJZL,X,X,X,X,X,X,O,O,X
IOSTZLJ,X,X,X,X,X,O,O,O,X
IOSTZJL,X,X,X,X,X,O,O,O,X
IOSLTJZ,X,X,X,X,X,X,X,O,X
IOSLTZJ,X,X,X,X,X,O,O,O,X
IOSLJTZ,X,X,X,X,X,O,X,O,X
IOSLJZT,X,X,X,X,X,O,O,X,X
IOSLZTJ,X,X,X,X,X,O,O,X,X
IOSLZJT,X,X,X,X,X,O,O,X,X
IOSJTLZ,X,X,X,X,X,O,X,O,X
IOSJTZL,X,X,X,X,X,O,O,O,X
IOSJLTZ,X,X,X,X,X,O,X,O,X
IOSJLZT,X,X,X,X,X,O,O,X,X
IOSJZTL,X,X,X,X,X,O,O,X,X
IOSJZLT,X,X,X,X,X,O,O,X,X
IOSZTLJ,X,X,X,X,X,O,O,X,X
IOSZTJL,X,X,X,X,X,O,O,X,X
IOSZLTJ,X,X,X,X,X,O,O,X,X
IOSZLJT,X,X,X,X,X,O,O,X,X
IOSZJTL,X,X,X,X,X,O,O,X,X
IOSZJLT,X,X,X,X,X,O,O,X,X
IOZTLJS,X,X,O,X,O,X,X,X,X
IOZTLSJ,X,X,O,X,O,O,O,X,X
IOZTJLS,X,X,O,X,O,O,X,X,X
IOZTJSL,X,X,O,X,O,O,X,O,X
IOZTSLJ,X,X,O,X,O,O,O,O,X
IOZTSJL,X,X,O,X,O,O,O,O,X
IOZLTJS,X,X,O,X,O,X,X,X,X
IOZLTSJ,X,X,O,X,O,O,O,X,X
IOZLJTS,X,X,O,X,X,X,X,X,O
IOZLJST,X,X,X,X,X,X,O,X,O
IOZLSTJ,X,X,X,X,X,O,O,X,X
IOZLSJT,X,X,X,X,X,O,O,X,X
IOZJTLS,X,X,O,X,X,O,X,X,X
IOZJTSL,X,X,O,X,X,O,X,O,X
IOZJLTS,X,X,O,X,X,O,X,X,O
IOZJLST,X,X,X,X,X,O,O,X,O
IOZJSTL,X,X,X,X,X,O,O,X,X
IOZJSLT,X,X,X,X,X,O,O,X,X
IOZSTLJ,X,X,X,X,X,O,O,X,X
IOZSTJL,X,X,X,X,X,O,O,X,X
IOZSLTJ,X,X,X,X,X,O,O,X,X
IOZSLJT,X,X,X,X,X,O,O,X,X
IOZSJTL,X,X,X,X,X,O,O,X,X
IOZSJLT,X,X,X,X,X,O,O,X,X
LTIJSZO,X,O,X,X,O,X,X,X,X
LTIJSOZ,X,O,X,O,X,X,X,X,X
LTIJZSO,X,X,O,O,O,X,X,X,X
LTIJZOS,X,X,O,O,O,X,X,X,X
LTIJOSZ,X,O,X,O,O,X,X,X,X
LTIJOZS,X,X,O,O,O,X,X,X,X
LTISJZO,X,O,X,X,O,X,X,X,X
LTISJOZ,X,O,X,O,X,X,X,X,X
LTISZJO,X,O,O,X,O,X,X,X,X
LTISZOJ,X,O,O,X,O,X,X,X,X
LTISOJZ,X,O,X,X,X,X,X,X,X
LTISOZJ,X,O,O,X,X,X,X,X,X
LTIZJSO,X,X,O,O,O,X,X,X,O
LTIZJOS,X,X,O,O,O,X,X,X,O
LTIZSJO,X,X,O,O,O,X,X,X,X
LTIZSOJ,X,X,O,O,O,X,X,X,X
LTIZOJS,X,X,O,O,O,X,X,X,X
LTIZOSJ,X,X,O,X,O,X,X,X,X
LTIOJSZ,X,O,X,O,O,X,X,X,X
LTIOJZS,X,X,O,O,O,X,X,X,X
LTIOSJZ,X,O,X,X,O,X,X,X,X
LTIOSZJ,X,O,O,X,O,X,X,X,X
LTIOZJS,X,X,O,X,O,X,X,X,X
LTIOZSJ,X,X,O,X,O,X,X,X,X
LTJISZO,X,O,X,X,O,X,X,X,X
LTJISOZ,X,O,X,O,X,X,X,X,X
LTJIZSO,X,X,O,O,O,X,X,X,X
LTJIZOS,X,X,O,O,O,X,X,X,X
LTJIOSZ,X,O,X,O,O,X,X,X,X
LTJIOZS,X,X,O,O,O,X,X,X,X
LTJSIZO,O,O,X,X,O,X,X,X,X
LTJSIOZ,O,O,X,O,X,X,X,X,X
LTJSZIO,O,O,X,O,O,X,X,X,X
LTJSZOI,O,O,X,O,O,X,X,X,X
LTJSOIZ,O,O,X,O,X,X,X,X,X
LTJSOZI,O,O,X,O,X,X,X,X,X
LTJZISO,O,X,O,O,O,X,X,X,X
LTJZIOS,O,X,O,O,O,X,X,X,X
LTJZSIO,O,O,O,O,O,X,X,X,X
LTJZSOI,O,O,O,O,O,X,X,X,X
LTJZOIS,O,X,O,O,O,X,X,X,X
LTJZOSI,O,O,O,O,O,X,X,X,X
LTJOISZ,X,O,X,O,O,X,X,O,X
LTJOIZS,X,X,O,O,O,X,X,X,X
LTJOSIZ,O,O,X,O,O,X,X,X,X
LTJOSZI,O,O,X,O,O,X,X,X,X
LTJOZIS,O,X,O,O,O,X,X,X,X
LTJOZSI,O,O,O,O,O,X,X,X,X
LTSIJZO,O,O,X,X,O,X,X,X,X
LTSIJOZ,O,O,X,O,X,X,X,X,X
LTSIZJO,O,O,O,X,O,X,X,X,X
LTSIZOJ,O,O,O,X,O,X,X,X,X
LTSIOJZ,O,O,X,X,X,X,X,X,X
LTSIOZJ,O,O,O,X,X,X,X,X,X
LTSJIZO,O,O,X,X,O,X,X,X,X
LTSJIOZ,O,O,X,O,X,X,X,X,X
LTSJZIO,O,O,X,O,O,X,X,X,X
LTSJZOI,O,O,X,O,O,X,X,X,X
LTSJOIZ,O,O,X,O,X,X,X,X,X
LTSJOZI,O,O,X,O,X,X,X,X,X
LTSZIJO,O,O,O,O,O,X,X,X,X
LTSZIOJ,O,O,O,O,O,X,O,X,X
LTSZJIO,O,O,O,O,O,X,X,X,X
LTSZJOI,O,O,O,O,O,X,O,X,X
LTSZOIJ,O,O,O,O,O,X,O,X,X
LTSZOJI,O,O,O,O,O,X,O,X,X
LTSOIJZ,O,O,X,X,X,X,X,X,X
LTSOIZJ,O,O,O,X,X,X,O,X,X
LTSOJIZ,O,O,X,X,X,X,X,X,X
LTSOJZI,O,O,X,X,X,X,X,X,X
LTSOZIJ,O,O,O,X,X,X,O,X,X
LTSOZJI,O,O,O,X,X,X,O,X,X
LTZIJSO,X,X,O,O,O,X,X,X,O
LTZIJOS,X,X,O,O,O,X,X,X,O
LTZISJO,O,X,O,O,O,X,X,X,X
LTZISOJ,O,X,O,O,O,X,O,X,X
LTZIOJS,X,X,O,O,O,X,X,X,X
LTZIOSJ,O,X,O,X,O,X,O,X,X
LTZJISO,O,X,O,O,O,X,X,X,O
LTZJIOS,O,X,O,O,O,X,X,X,O
LTZJSIO,O,O,O,O,O,X,X,X,X
LTZJSOI,O,O,O,O,O,X,O,X,X
LTZJOIS,O,X,O,O,O,X,X,X,X
LTZJOSI,O,O,O,O,O,X,O,X,X
LTZSIJO,O,O,O,O,O,X,X,X,X
LTZSIOJ,O,O,O,O,O,X,O,X,X
LTZSJIO,O,O,O,O,O,X,X,X,X
LTZSJOI,O,O,O,O,O,X,O,X,X
LTZSOIJ,O,O,O,O,O,X,O,X,X
LTZSOJI,O,O,O,O,O,X,O,X,X
LTZOIJS,X,X,O,O,O,X,X,X,X
LTZOISJ,O,X,O,X,O,X,O,X,X
LTZOJIS,O,X,O,O,O,X,X,X,X
LTZOJSI,O,O,O,O,O,X,O,X,X
LTZOSIJ,O,O,O,O,O,X,O,X,X
LTZOSJI,O,O,O,O,O,X,O,X,X
LTOIJSZ,X,O,X,O,O,X,X,O,X
LTOIJZS,X,X,O,O,O,X,X,X,X
LTOISJZ,X,O,X,X,O,X,X,O,X
