sequence,v115@HhA8IeD8AeA8DeD8AeA8BeA8Kel/IvhF3gBUiBaoB5?oBOrBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanBziB5?oBOrB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanBziB5oBF?mB3sBmqB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFxgBVnBGjBa?rB/tBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanB5oBO?rBznB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanB5oBFmBz?nBmqB3sB
TZSLIOJ,X,O,O,X,X,X
TZSLJIO,X,X,X,O,X,X
TZSLJOI,X,X,X,X,X,X
TZSLOIJ,X,O,O,X,X,X
TZSLOJI,X,X,X,X,X,X
TZSJILO,X,X,X,O,X,X
TZSJIOL,X,X,X,X,X,X
TZSJLIO,X,X,X,O,X,X
TZSJLOI,X,X,X,X,X,X
TZSJOIL,X,X,X,X,X,X
TZSJOLI,X,X,X,X,X,X
TZSOILJ,X,O,O,X,X,X
TZSOIJL,X,X,X,X,X,X
TZSOLIJ,X,O,O,X,X,X
TZSOLJI,X,X,X,X,X,X
TZSOJIL,X,X,X,X,X,X
TZSOJLI,X,X,X,X,X,X
TZOILJS,X,X,X,X,X,O
TZOILSJ,X,X,X,X,X,O
TZOIJLS,X,X,X,X,X,X
TZOIJSL,X,X,X,X,X,X
TZOISLJ,X,X,X,X,X,X
TZOISJL,X,X,X,X,X,X
TZOLIJS,X,X,X,X,X,O
TZOLISJ,X,X,X,X,X,O
TZOLJIS,X,X,X,X,X,X
TZOLJSI,X,X,X,X,X,X
TZOLSIJ,X,X,X,X,X,X
TZOLSJI,X,X,X,X,X,X
TZOJILS,X,X,X,X,X,X
TZOJISL,X,X,X,X,X,X
TZOJLIS,X,X,X,X,X,X
TZOJLSI,X,X,X,X,X,X
TZOJSIL,X,X,X,X,X,X
TZOJSLI,X,X,X,X,X,X
TZOSILJ,X,X,X,X,X,X
TZOSIJL,X,X,X,X,X,X
TZOSLIJ,X,X,X,X,X,X
TZOSLJI,X,X,X,X,X,X
TZOSJIL,X,X,X,X,X,X
TZOSJLI,X,X,X,X,X,X
TOILJSZ,O,X,X,X,X,X
TOILJZS,O,X,X,X,X,X
TOILSJZ,X,X,X,X,X,X
TOILSZJ,O,X,X,X,X,X
TOILZJS,X,X,X,X,X,O
TOILZSJ,O,X,X,X,X,O
TOIJLSZ,O,X,X,X,X,X
TOIJLZS,O,X,X,X,X,X
TOIJSLZ,O,X,X,X,X,X
TOIJSZL,O,X,X,X,X,X
TOIJZLS,O,X,X,X,X,X
TOIJZSL,O,X,X,X,X,X
TOISLJZ,X,X,X,X,X,X
TOISLZJ,O,X,X,X,X,X
TOISJLZ,X,X,X,X,X,X
