sequence,v115@UhB8CeI8BeA8Je3AJvhFRiBSoBTkBlmBmkB0sB,v115@UhB8CeI8BeA8JeOEJvhF0gB6mBxiBzkB/sBFtB,v115@UhB8CeI8BeA8Jel/IvhF3gBTjB2pBxmBCnB0sB,v115@UhB8CeI8BeA8Jex/IvhFWoBTkBilBUnBlmBXtB,v115@UhB8CeI8BeA8JeT/IvhFxgBliBypBGmB/sBctB,v115@UhB8CeI8BeA8JeT/IvhFlgBypB0mBxnBGnBXtB,v115@UhB8CeI8BeA8JeOEJvhFSoBRlBUnBXlBlmBzsB,v115@UhB8CeI8BeA8JeWIJvhFxkBlmBTkBilBUnBXtB
LJTISOZ,O,X,O,X,O,X,X,O
LJTIZSO,X,X,X,X,X,X,O,O
LJTIZOS,X,X,X,X,X,O,O,O
LJTIOSZ,O,X,O,X,O,X,X,O
LJTIOZS,X,X,X,X,X,O,X,O
LJTSIZO,X,O,X,X,O,X,X,X
LJTSIOZ,O,X,O,X,O,X,X,X
LJTSZIO,X,O,O,X,O,X,X,X
LJTSZOI,X,X,O,X,O,X,X,X
LJTSOIZ,O,X,O,X,O,X,X,X
LJTSOZI,O,X,X,X,O,X,X,X
LJTZISO,X,X,O,X,X,X,O,X
LJTZIOS,X,X,O,X,X,O,O,X
LJTZSIO,X,O,O,X,X,X,X,X
LJTZSOI,X,X,O,X,X,X,X,X
LJTZOIS,X,X,O,O,X,O,X,X
LJTZOSI,X,X,O,O,X,X,X,X
LJTOISZ,O,X,O,X,O,X,X,X
LJTOIZS,X,X,X,O,X,O,X,X
LJTOSIZ,O,X,O,X,O,X,X,X
LJTOSZI,O,X,X,X,O,X,X,X
LJTOZIS,X,X,X,O,X,O,X,X
LJTOZSI,X,X,X,O,X,X,X,X
LJITSZO,X,X,X,X,O,X,X,O
LJITSOZ,X,X,O,X,O,X,X,O
LJITZSO,X,X,X,X,X,X,O,O
LJITZOS,X,X,X,X,X,O,O,O
LJITOSZ,X,X,O,X,O,X,X,O
LJITOZS,X,X,X,X,X,O,X,O
LJISTZO,X,O,X,X,O,X,X,X
LJISTOZ,X,X,O,X,O,X,X,X
LJISZTO,X,O,X,X,O,X,O,X
LJISZOT,X,O,X,X,O,X,O,X
LJISOTZ,X,X,O,X,O,X,X,X
LJISOZT,X,O,X,X,O,X,X,X
LJIZTSO,X,X,X,X,X,X,O,X
LJIZTOS,X,X,X,X,X,O,O,X
LJIZSTO,X,O,X,X,O,X,O,X
LJIZSOT,X,O,X,X,O,X,O,X
LJIZOTS,X,X,X,O,X,O,O,X
LJIZOST,X,X,X,O,O,X,O,X
LJIOTSZ,X,X,O,X,O,X,X,X
LJIOTZS,X,X,X,O,X,O,X,X
LJIOSTZ,X,X,O,X,O,X,X,X
LJIOSZT,X,X,X,O,O,X,X,X
LJIOZTS,X,X,X,O,X,O,O,X
LJIOZST,X,X,X,O,O,X,O,X
LJSTIZO,X,O,X,X,O,X,X,X
LJSTIOZ,O,X,O,X,O,X,X,X
LJSTZIO,X,O,O,X,O,X,X,X
LJSTZOI,X,X,O,X,O,X,X,X
LJSTOIZ,O,X,O,X,O,X,X,X
LJSTOZI,O,X,X,X,O,X,X,X
LJSITZO,X,O,X,X,O,X,X,X
LJSITOZ,X,X,O,X,O,X,X,X
LJSIZTO,X,O,X,X,O,X,O,X
LJSIZOT,X,O,X,X,O,X,O,X
LJSIOTZ,X,O,O,X,O,X,X,X
LJSIOZT,X,O,X,X,O,X,X,X
LJSZTIO,X,O,O,X,O,X,X,X
LJSZTOI,X,X,O,X,O,X,X,X
LJSZITO,X,O,O,X,O,X,O,X
LJSZIOT,X,O,O,X,O,X,O,X
LJSZOTI,X,O,O,O,O,X,X,X
LJSZOIT,X,O,O,O,O,X,X,X
LJSOTIZ,O,O,O,X,O,X,X,X
LJSOTZI,O,O,X,X,O,X,X,X
LJSOITZ,X,O,O,X,O,X,X,X
LJSOIZT,X,O,X,O,O,X,X,X
LJSOZTI,X,O,X,O,O,X,X,X
LJSOZIT,X,O,X,O,O,X,X,X
LJZTISO,X,X,O,X,X,X,O,X
LJZTIOS,X,X,O,X,X,O,O,X
LJZTSIO,X,O,O,X,X,X,X,X
LJZTSOI,X,X,O,X,X,X,X,X
LJZTOIS,X,X,O,O,X,O,X,X
LJZTOSI,X,X,O,O,X,X,X,X
LJZITSO,X,X,O,X,X,X,O,X
LJZITOS,X,X,O,X,X,O,O,X
LJZISTO,X,O,O,X,O,X,O,X
LJZISOT,X,O,O,X,O,X,O,X
LJZIOTS,X,X,O,O,X,O,O,X
LJZIOST,X,X,O,O,O,X,O,X
LJZSTIO,X,O,O,X,O,X,X,X
LJZSTOI,X,X,O,X,O,X,X,X
LJZSITO,X,O,O,X,O,X,O,X
LJZSIOT,X,O,O,X,O,X,O,X
LJZSOTI,X,O,O,O,O,X,X,X
LJZSOIT,X,O,O,O,O,X,X,X
LJZOTIS,X,X,O,O,X,O,X,X
LJZOTSI,X,O,O,O,X,X,X,X
LJZOITS,X,X,O,O,X,O,O,X
LJZOIST,X,O,O,O,O,X,O,X
LJZOSTI,X,O,O,O,O,X,X,X
LJZOSIT,X,O,O,O,O,X,X,X
LJOTISZ,O,X,O,X,O,X,X,X
LJOTIZS,X,X,X,O,X,O,X,X
LJOTSIZ,O,O,O,X,O,X,X,X
LJOTSZI,O,O,X,X,O,X,X,X
LJOTZIS,X,X,X,O,X,O,X,X
LJOTZSI,X,O,X,O,X,X,X,X
LJOITSZ,X,X,O,X,O,X,X,X
LJOITZS,X,X,X,O,X,O,X,X
LJOISTZ,X,O,O,X,O,X,X,X
LJOISZT,X,O,X,O,O,X,X,X
LJOIZTS,X,X,X,O,X,O,O,X
LJOIZST,X,O,X,O,O,X,O,X
LJOSTIZ,O,O,O,X,O,X,X,X
LJOSTZI,O,O,X,X,O,X,X,X
LJOSITZ,X,O,O,X,O,X,X,X
LJOSIZT,X,O,X,O,O,X,X,X
LJOSZTI,X,O,X,O,O,X,X,X
LJOSZIT,X,O,X,O,O,X,X,X
LJOZTIS,X,X,X,O,X,O,X,X
LJOZTSI,X,O,X,O,X,X,X,X
LJOZITS,X,X,X,O,X,O,O,X
LJOZIST,X,O,X,O,O,X,O,X
LJOZSTI,X,O,X,O,O,X,X,X
LJOZSIT,X,O,X,O,O,X,X,X
LSTIJZO,X,O,X,X,X,X,X,X
LSTIJOZ,O,X,X,X,X,X,X,X
LSTIZJO,X,O,X,X,X,X,X,X
LSTIZOJ,O,O,X,X,X,O,X,X
LSTIOJZ,O,O,X,X,X,X,X,X
LSTIOZJ,O,O,X,X,X,O,X,X
LSTJIZO,X,O,X,X,O,X,X,X
LSTJIOZ,O,X,X,X,O,X,X,X
LSTJZIO,X,O,X,X,O,X,X,X
LSTJZOI,X,X,X,X,O,X,X,X
LSTJOIZ,O,X,X,X,O,X,X,X
LSTJOZI,O,X,X,X,O,X,X,X
LSTZIJO,O,O,X,X,X,X,X,X
LSTZIOJ,O,O,X,X,X,O,X,X
LSTZJIO,O,O,X,X,X,X,X,X
LSTZJOI,O,X,X,X,X,X,X,X
LSTZOIJ,O,O,X,X,X,O,X,X
LSTZOJI,O,O,X,X,X,X,X,X
LSTOIJZ,O,O,X,X,X,X,X,X
LSTOIZJ,O,O,X,X,X,O,X,X
LSTOJIZ,O,O,X,X,O,X,X,X
LSTOJZI,O,O,X,X,O,X,X,X
LSTOZIJ,O,O,X,X,X,O,X,X
LSTOZJI,O,O,X,X,X,X,X,X
LSITJZO,X,O,X,X,X,X,X,X
LSITJOZ,O,X,X,X,X,X,X,X
LSITZJO,X,O,X,X,X,X,X,X
LSITZOJ,O,O,X,X,X,O,X,X
LSITOJZ,O,O,X,X,X,X,X,X
LSITOZJ,O,O,X,X,X,O,X,X
LSIJTZO,X,O,X,X,O,X,X,X
LSIJTOZ,X,X,O,X,O,X,X,X
LSIJZTO,X,O,X,X,O,X,O,X
LSIJZOT,X,O,X,X,O,X,O,X
LSIJOTZ,X,O,O,X,O,X,X,X
LSIJOZT,X,O,X,X,O,X,X,X
LSIZTJO,X,O,X,X,X,X,X,X
LSIZTOJ,X,O,X,X,X,O,X,X
LSIZJTO,X,O,X,X,X,X,O,X
LSIZJOT,X,O,X,X,X,X,O,X
LSIZOTJ,X,O,X,X,X,O,X,X
LSIZOJT,X,O,X,X,X,X,X,X
LSIOTJZ,O,O,X,X,X,X,X,X
LSIOTZJ,O,O,X,X,X,O,X,X
LSIOJTZ,X,O,O,X,O,X,X,X
LSIOJZT,X,O,X,X,O,X,X,X
LSIOZTJ,X,O,X,X,X,O,X,X
LSIOZJT,X,O,X,X,X,X,X,X
LSJTIZO,X,O,X,X,O,X,X,X
LSJTIOZ,O,X,O,X,O,X,X,X
LSJTZIO,X,O,O,X,O,X,X,X
LSJTZOI,X,X,O,X,O,X,X,X
LSJTOIZ,O,X,O,X,O,X,X,X
LSJTOZI,O,X,X,X,O,X,X,X
LSJITZO,X,O,X,X,O,X,X,X
LSJITOZ,X,X,O,X,O,X,X,X
LSJIZTO,X,O,X,X,O,X,O,X
LSJIZOT,X,O,X,X,O,X,O,X
LSJIOTZ,X,O,O,X,O,X,X,X
LSJIOZT,X,O,X,X,O,X,X,X
LSJZTIO,X,O,O,X,O,X,X,X
LSJZTOI,X,X,O,X,O,X,X,X
LSJZITO,X,O,O,X,O,X,O,X
LSJZIOT,X,O,O,X,O,X,O,X
LSJZOTI,X,O,O,O,O,X,X,X
LSJZOIT,X,O,O,O,O,X,X,X
LSJOTIZ,O,O,O,X,O,X,X,X
LSJOTZI,O,O,X,X,O,X,X,X
LSJOITZ,X,O,O,X,O,X,X,X
LSJOIZT,X,O,X,O,O,X,X,X
LSJOZTI,X,O,X,O,O,X,X,X
LSJOZIT,X,O,X,O,O,X,X,X
LSZTIJO,O,O,X,X,X,X,X,X
LSZTIOJ,O,O,X,X,X,O,X,X
LSZTJIO,O,O,X,X,X,X,X,X
LSZTJOI,O,X,X,X,X,X,X,X
LSZTOIJ,O,O,X,X,X,O,X,X
LSZTOJI,O,O,X,X,X,X,X,X
LSZITJO,O,O,X,X,X,X,X,X
LSZITOJ,O,O,X,X,X,O,X,X
LSZIJTO,X,O,O,X,X,X,O,X
LSZIJOT,X,O,O,X,X,X,O,X
LSZIOTJ,O,O,X,X,X,O,X,X
LSZIOJT,X,O,O,X,X,X,X,X
LSZJTIO,O,O,O,X,O,X,X,X
LSZJTOI,O,X,O,X,O,X,X,X
LSZJITO,X,O,O,X,O,X,O,X
LSZJIOT,X,O,O,X,O,X,O,X
LSZJOTI,O,O,O,O,O,X,X,X
LSZJOIT,X,O,O,O,O,X,X,X
LSZOTIJ,O,O,X,X,X,O,X,X
LSZOTJI,O,O,X,X,X,X,X,X
LSZOITJ,O,O,X,X,X,O,X,X
LSZOIJT,X,O,O,O,X,X,X,X
LSZOJTI,O,O,O,O,O,X,X,X
LSZOJIT,X,O,O,O,O,X,X,X
LSOTIJZ,O,O,X,X,X,X,X,X
LSOTIZJ,O,O,X,X,X,O,X,X
LSOTJIZ,O,O,X,X,O,X,X,X
LSOTJZI,O,O,X,X,O,X,X,X
LSOTZIJ,O,O,X,X,X,O,X,X
LSOTZJI,O,O,X,X,X,X,X,X
LSOITJZ,O,O,X,X,X,X,X,X
LSOITZJ,O,O,X,X,X,O,X,X
LSOIJTZ,X,O,O,X,O,X,X,X
LSOIJZT,X,O,X,O,O,X,X,X
LSOIZTJ,X,O,X,X,X,O,X,X
LSOIZJT,X,O,X,O,X,X,X,X
LSOJTIZ,O,O,O,X,O,X,X,X
LSOJTZI,O,O,X,X,O,X,X,X
LSOJITZ,X,O,O,X,O,X,X,X
LSOJIZT,X,O,X,O,O,X,X,X
LSOJZTI,X,O,X,O,O,X,X,X
LSOJZIT,X,O,X,O,O,X,X,X
LSOZTIJ,O,O,X,X,X,O,X,X
LSOZTJI,O,O,X,X,X,X,X,X
LSOZITJ,O,O,X,X,X,O,X,X
LSOZIJT,X,O,X,O,X,X,X,X
LSOZJTI,O,O,X,O,O,X,X,X
LSOZJIT,X,O,X,O,O,X,X,X
LZTIJSO,O,X,X,X,X,X,O,X
LZTIJOS,O,X,X,X,X,O,O,X
LZTISJO,O,X,X,X,X,X,X,X
LZTISOJ,O,X,X,X,X,O,X,X
LZTIOJS,O,X,X,X,X,O,X,X
LZTIOSJ,O,X,X,X,X,O,X,X
LZTJISO,O,X,X,X,X,X,O,X
LZTJIOS,O,X,X,X,X,O,O,X
LZTJSIO,O,O,X,X,X,X,X,X
LZTJSOI,O,X,X,X,X,X,X,X
LZTJOIS,O,X,X,O,X,O,X,X
LZTJOSI,O,X,X,O,X,X,X,X
LZTSIJO,O,O,X,X,X,X,X,X
LZTSIOJ,O,O,X,X,X,O,X,X
LZTSJIO,O,O,X,X,X,X,X,X
LZTSJOI,O,X,X,X,X,X,X,X
LZTSOIJ,O,O,X,X,X,O,X,X
LZTSOJI,O,O,X,X,X,X,X,X
LZTOIJS,O,X,X,O,X,O,X,X
LZTOISJ,O,X,X,X,X,O,X,X
LZTOJIS,O,X,X,O,X,O,X,X
LZTOJSI,O,O,X,O,X,X,X,X
LZTOSIJ,O,O,X,X,X,O,X,X
LZTOSJI,O,O,X,X,X,X,X,X
LZITJSO,O,X,X,X,X,X,O,X
LZITJOS,O,X,X,X,X,O,O,X
LZITSJO,O,X,X,X,X,X,X,X
LZITSOJ,O,X,X,X,X,O,X,X
LZITOJS,O,X,X,X,X,O,X,X
LZITOSJ,O,X,X,X,X,O,X,X
LZIJTSO,X,X,O,X,X,X,O,X
LZIJTOS,X,X,O,X,X,O,O,X
LZIJSTO,X,O,O,X,O,X,O,X
LZIJSOT,X,O,O,X,O,X,O,X
LZIJOTS,X,X,O,O,X,O,O,X
LZIJOST,X,X,O,O,O,X,O,X
LZISTJO,O,O,X,X,X,X,X,X
LZISTOJ,O,O,X,X,X,O,X,X
LZISJTO,X,O,O,X,X,X,O,X
LZISJOT,X,O,O,X,X,X,O,X
LZISOTJ,O,O,X,X,X,O,X,X
LZISOJT,X,O,O,X,X,X,X,X
LZIOTJS,O,X,X,O,X,O,X,X
LZIOTSJ,O,X,X,X,X,O,X,X
LZIOJTS,X,X,O,O,X,O,O,X
LZIOJST,X,O,O,O,O,X,O,X
LZIOSTJ,O,O,X,X,X,O,X,X
LZIOSJT,X,O,O,O,X,X,X,X
LZJTISO,O,X,O,X,X,X,O,X
LZJTIOS,O,X,O,X,X,O,O,X
LZJTSIO,O,O,O,X,X,X,X,X
LZJTSOI,O,X,O,X,X,X,X,X
LZJTOIS,O,X,O,O,X,O,X,X
LZJTOSI,O,X,O,O,X,X,X,X
LZJITSO,X,X,O,X,X,X,O,X
LZJITOS,X,X,O,X,X,O,O,X
LZJISTO,X,O,O,X,O,X,O,X
LZJISOT,X,O,O,X,O,X,O,X
LZJIOTS,X,X,O,O,X,O,O,X
LZJIOST,X,X,O,O,O,X,O,X
LZJSTIO,O,O,O,X,O,X,X,X
LZJSTOI,O,X,O,X,O,X,X,X
LZJSITO,X,O,O,X,O,X,O,X
LZJSIOT,X,O,O,X,O,X,O,X
LZJSOTI,O,O,O,O,O,X,X,X
LZJSOIT,X,O,O,O,O,X,X,X
LZJOTIS,O,X,O,O,X,O,X,X
LZJOTSI,O,O,O,O,X,X,X,X
LZJOITS,X,X,O,O,X,O,O,X
LZJOIST,X,O,O,O,O,X,O,X
LZJOSTI,O,O,O,O,O,X,X,X
LZJOSIT,X,O,O,O,O,X,X,X
LZSTIJO,O,O,X,X,X,X,X,X
LZSTIOJ,O,O,X,X,X,O,X,X
LZSTJIO,O,O,X,X,X,X,X,X
LZSTJOI,O,X,X,X,X,X,X,X
LZSTOIJ,O,O,X,X,X,O,X,X
LZSTOJI,O,O,X,X,X,X,X,X
LZSITJO,O,O,X,X,X,X,X,X
LZSITOJ,O,O,X,X,X,O,X,X
LZSIJTO,X,O,O,X,X,X,O,X
LZSIJOT,X,O,O,X,X,X,O,X
LZSIOTJ,O,O,X,X,X,O,X,X
LZSIOJT,X,O,O,X,X,X,X,X
LZSJTIO,O,O,O,X,O,X,X,X
LZSJTOI,O,X,O,X,O,X,X,X
LZSJITO,X,O,O,X,O,X,O,X
LZSJIOT,X,O,O,X,O,X,O,X
LZSJOTI,O,O,O,O,O,X,X,X
LZSJOIT,X,O,O,O,O,X,X,X
LZSOTIJ,O,O,X,X,X,O,X,X
LZSOTJI,O,O,X,X,X,X,X,X
LZSOITJ,O,O,X,X,X,O,X,X
LZSOIJT,X,O,O,O,X,X,X,X
LZSOJTI,O,O,O,O,O,X,X,X
LZSOJIT,X,O,O,O,O,X,X,X
LZOTIJS,O,X,X,O,X,O,X,X
LZOTISJ,O,X,X,X,X,O,X,X
LZOTJIS,O,X,X,O,X,O,X,X
LZOTJSI,O,O,X,O,X,X,X,X
LZOTSIJ,O,O,X,X,X,O,X,X
LZOTSJI,O,O,X,X,X,X,X,X
LZOITJS,O,X,X,O,X,O,X,X
LZOITSJ,O,X,X,X,X,O,X,X
LZOIJTS,X,X,O,O,X,O,O,X
LZOIJST,X,O,O,O,O,X,O,X
LZOISTJ,O,O,X,X,X,O,X,X
LZOISJT,X,O,O,O,X,X,X,X
LZOJTIS,O,X,O,O,X,O,X,X
LZOJTSI,O,O,O,O,X,X,X,X
LZOJITS,X,X,O,O,X,O,O,X
LZOJIST,X,O,O,O,O,X,O,X
LZOJSTI,O,O,O,O,O,X,X,X
LZOJSIT,X,O,O,O,O,X,X,X
LZOSTIJ,O,O,X,X,X,O,X,X
LZOSTJI,O,O,X,X,X,X,X,X
LZOSITJ,O,O,X,X,X,O,X,X
LZOSIJT,X,O,O,O,X,X,X,X
LZOSJTI,O,O,O,O,O,X,X,X
LZOSJIT,X,O,O,O,O,X,X,X
LOTIJSZ,O,X,X,X,O,X,X,X
LOTIJZS,X,X,X,O,X,O,X,X
LOTISJZ,O,X,X,X,X,X,X,X
LOTISZJ,O,X,X,X,X,O,X,X
LOTIZJS,X,X,X,O,X,O,X,X
LOTIZSJ,O,X,X,X,X,O,X,X
LOTJISZ,O,X,X,X,O,X,X,X
LOTJIZS,X,X,X,O,X,O,X,X
LOTJSIZ,O,O,X,X,O,X,X,X
LOTJSZI,O,O,X,X,O,X,X,X
LOTJZIS,X,X,X,O,X,O,X,X
LOTJZSI,X,O,X,O,X,X,X,X
LOTSIJZ,O,O,X,X,X,X,X,X
LOTSIZJ,O,O,X,X,X,O,X,X
LOTSJIZ,O,O,X,X,O,X,X,X
LOTSJZI,O,O,X,X,O,X,X,X
LOTSZIJ,O,O,X,X,X,O,X,X
LOTSZJI,O,O,X,X,X,X,X,X
LOTZIJS,O,X,X,O,X,O,X,X
LOTZISJ,O,X,X,X,X,O,X,X
LOTZJIS,O,X,X,O,X,O,X,X
LOTZJSI,O,O,X,O,X,X,X,X
LOTZSIJ,O,O,X,X,X,O,X,X
LOTZSJI,O,O,X,X,X,X,X,X
LOITJSZ,O,X,X,X,O,X,X,X
LOITJZS,X,X,X,O,X,O,X,X
LOITSJZ,O,X,X,X,X,X,X,X
LOITSZJ,O,X,X,X,X,O,X,X
LOITZJS,X,X,X,O,X,O,X,X
LOITZSJ,O,X,X,X,X,O,X,X
LOIJTSZ,X,X,O,X,O,X,X,X
LOIJTZS,X,X,X,O,X,O,X,X
LOIJSTZ,X,O,O,X,O,X,X,X
LOIJSZT,X,O,X,O,O,X,X,X
LOIJZTS,X,X,X,O,X,O,O,X
LOIJZST,X,O,X,O,O,X,O,X
LOISTJZ,O,O,X,X,X,X,X,X
LOISTZJ,O,O,X,X,X,O,X,X
LOISJTZ,X,O,O,X,O,X,X,X
LOISJZT,X,O,X,O,O,X,X,X
LOISZTJ,X,O,X,X,X,O,X,X
LOISZJT,X,O,X,O,X,X,X,X
LOIZTJS,X,X,X,O,X,O,X,X
LOIZTSJ,X,X,X,X,X,O,X,X
LOIZJTS,X,X,X,O,X,O,O,X
LOIZJST,X,O,X,O,O,X,O,X
LOIZSTJ,X,O,X,X,X,O,X,X
LOIZSJT,X,O,X,O,X,X,X,X
LOJTISZ,O,X,O,X,O,X,X,X
LOJTIZS,X,X,X,O,X,O,X,X
LOJTSIZ,O,O,O,X,O,X,X,X
LOJTSZI,O,O,X,X,O,X,X,X
LOJTZIS,X,X,X,O,X,O,X,X
LOJTZSI,X,O,X,O,X,X,X,X
LOJITSZ,X,X,O,X,O,X,X,X
LOJITZS,X,X,X,O,X,O,X,X
LOJISTZ,X,O,O,X,O,X,X,X
LOJISZT,X,O,X,O,O,X,X,X
LOJIZTS,X,X,X,O,X,O,O,X
LOJIZST,X,O,X,O,O,X,O,X
LOJSTIZ,O,O,O,X,O,X,X,X
LOJSTZI,O,O,X,X,O,X,X,X
LOJSITZ,X,O,O,X,O,X,X,X
LOJSIZT,X,O,X,O,O,X,X,X
LOJSZTI,X,O,X,O,O,X,X,X
LOJSZIT,X,O,X,O,O,X,X,X
LOJZTIS,X,X,X,O,X,O,X,X
LOJZTSI,X,O,X,O,X,X,X,X
LOJZITS,X,X,X,O,X,O,O,X
LOJZIST,X,O,X,O,O,X,O,X
LOJZSTI,X,O,X,O,O,X,X,X
LOJZSIT,X,O,X,O,O,X,X,X
LOSTIJZ,O,O,X,X,X,X,X,X
LOSTIZJ,O,O,X,X,X,O,X,X
LOSTJIZ,O,O,X,X,O,X,X,X
LOSTJZI,O,O,X,X,O,X,X,X
LOSTZIJ,O,O,X,X,X,O,X,X
LOSTZJI,O,O,X,X,X,X,X,X
LOSITJZ,O,O,X,X,X,X,X,X
LOSITZJ,O,O,X,X,X,O,X,X
LOSIJTZ,X,O,O,X,O,X,X,X
LOSIJZT,X,O,X,O,O,X,X,X
LOSIZTJ,X,O,X,X,X,O,X,X
LOSIZJT,X,O,X,O,X,X,X,X
LOSJTIZ,O,O,O,X,O,X,X,X
LOSJTZI,O,O,X,X,O,X,X,X
LOSJITZ,X,O,O,X,O,X,X,X
LOSJIZT,X,O,X,O,O,X,X,X
LOSJZTI,X,O,X,O,O,X,X,X
LOSJZIT,X,O,X,O,O,X,X,X
LOSZTIJ,O,O,X,X,X,O,X,X
LOSZTJI,O,O,X,X,X,X,X,X
LOSZITJ,O,O,X,X,X,O,X,X
LOSZIJT,X,O,X,O,X,X,X,X
LOSZJTI,O,O,X,O,O,X,X,X
LOSZJIT,X,O,X,O,O,X,X,X
LOZTIJS,O,X,X,O,X,O,X,X
LOZTISJ,O,X,X,X,X,O,X,X
LOZTJIS,O,X,X,O,X,O,X,X
LOZTJSI,O,O,X,O,X,X,X,X
LOZTSIJ,O,O,X,X,X,O,X,X
LOZTSJI,O,O,X,X,X,X,X,X
LOZITJS,O,X,X,O,X,O,X,X
LOZITSJ,O,X,X,X,X,O,X,X
LOZIJTS,X,X,X,O,X,O,O,X
LOZIJST,X,O,X,O,O,X,O,X
LOZISTJ,O,O,X,X,X,O,X,X
LOZISJT,X,O,X,O,X,X,X,X
LOZJTIS,O,X,X,O,X,O,X,X
LOZJTSI,O,O,X,O,X,X,X,X
LOZJITS,X,X,X,O,X,O,O,X
LOZJIST,X,O,X,O,O,X,O,X
LOZJSTI,O,O,X,O,O,X,X,X
LOZJSIT,X,O,X,O,O,X,X,X
LOZSTIJ,O,O,X,X,X,O,X,X
LOZSTJI,O,O,X,X,X,X,X,X
LOZSITJ,O,O,X,X,X,O,X,X
LOZSIJT,X,O,X,O,X,X,X,X
LOZSJTI,O,O,X,O,O,X,X,X
LOZSJIT,X,O,X,O,O,X,X,X
JTILSZO,X,X,X,X,O,X,X,O
JTILSOZ,O,X,O,X,O,X,X,O
JTILZSO,X,X,X,X,X,X,O,O
JTILZOS,X,X,X,X,X,O,O,O
JTILOSZ,O,X,O,X,O,X,X,O
JTILOZS,X,X,X,X,X,O,X,O
JTISLZO,X,X,X,X,O,X,X,O
JTISLOZ,O,X,O,X,O,X,X,O
JTISZLO,X,X,O,X,X,X,X,O
JTISZOL,X,X,O,X,X,X,X,O
JTISOLZ,O,X,O,X,X,X,X,O
JTISOZL,X,X,O,X,X,X,X,O
JTIZLSO,X,X,O,X,X,X,O,O
JTIZLOS,X,X,O,X,X,O,O,O
JTIZSLO,X,X,O,X,X,X,X,O
JTIZSOL,X,X,O,X,X,X,X,O
JTIZOLS,X,X,O,X,X,X,X,O
JTIZOSL,X,X,O,X,X,X,X,O
JTIOLSZ,O,X,O,X,X,X,X,O
JTIOLZS,X,X,X,X,X,X,X,O
JTIOSLZ,O,X,O,X,X,X,X,O
JTIOSZL,X,X,O,X,X,X,X,O
JTIOZLS,X,X,X,X,X,X,X,O
JTIOZSL,X,X,O,X,X,X,X,O
JTLISZO,X,X,X,X,O,X,X,O
JTLISOZ,O,X,O,X,O,X,X,O
JTLIZSO,X,X,X,X,X,X,O,O
JTLIZOS,X,X,X,X,X,O,O,O
JTLIOSZ,O,X,O,X,O,X,X,O
JTLIOZS,X,X,X,X,X,O,X,O
JTLSIZO,X,O,X,X,O,X,X,X
JTLSIOZ,O,X,O,X,O,X,X,X
JTLSZIO,X,O,O,X,O,X,X,X
JTLSZOI,X,X,O,X,O,X,X,X
JTLSOIZ,O,X,O,X,O,X,X,X
JTLSOZI,O,X,X,X,O,X,X,X
JTLZISO,X,X,O,X,X,X,O,X
JTLZIOS,X,X,O,X,X,O,O,X
JTLZSIO,X,O,O,X,X,X,X,X
JTLZSOI,X,X,O,X,X,X,X,X
JTLZOIS,X,X,O,O,X,O,X,X
JTLZOSI,X,X,O,O,X,X,X,X
JTLOISZ,O,X,O,X,O,X,X,X
JTLOIZS,X,X,X,O,X,O,X,X
JTLOSIZ,O,X,O,X,O,X,X,X
JTLOSZI,O,X,X,X,O,X,X,X
JTLOZIS,X,X,X,O,X,O,X,X
JTLOZSI,X,X,X,O,X,X,X,X
JTSILZO,X,O,X,X,O,X,X,O
JTSILOZ,O,X,O,X,O,X,X,O
JTSIZLO,X,O,O,X,X,X,X,O
JTSIZOL,X,X,O,X,X,X,X,O
JTSIOLZ,O,X,O,X,X,X,X,O
JTSIOZL,X,X,O,X,X,X,X,O
JTSLIZO,X,O,X,X,O,X,X,X
JTSLIOZ,O,X,O,X,O,X,X,X
JTSLZIO,X,O,O,X,O,X,X,X
JTSLZOI,X,X,O,X,O,X,X,X
JTSLOIZ,O,X,O,X,O,X,X,X
JTSLOZI,O,X,X,X,O,X,X,X
JTSZILO,O,O,O,X,X,X,X,X
JTSZIOL,O,X,O,X,X,X,X,X
JTSZLIO,O,O,O,X,X,X,X,X
JTSZLOI,O,X,O,X,X,X,X,X
JTSZOIL,O,X,O,X,X,X,X,X
JTSZOLI,O,X,O,X,X,X,X,X
JTSOILZ,O,X,O,X,X,X,X,X
JTSOIZL,X,X,O,X,X,X,X,X
JTSOLIZ,O,X,O,X,X,X,X,X
JTSOLZI,O,X,X,X,X,X,X,X
JTSOZIL,O,X,O,X,X,X,X,X
JTSOZLI,O,X,O,X,X,X,X,X
JTZILSO,O,X,O,X,X,X,O,O
JTZILOS,O,X,O,X,X,O,O,O
JTZISLO,O,X,O,X,X,X,X,O
JTZISOL,O,X,O,X,X,X,X,O
JTZIOLS,O,X,O,X,X,X,X,O
JTZIOSL,O,X,O,X,X,X,X,O
JTZLISO,O,X,O,X,X,X,O,X
JTZLIOS,O,X,O,X,X,O,O,X
JTZLSIO,O,O,O,X,X,X,X,X
JTZLSOI,O,X,O,X,X,X,X,X
JTZLOIS,O,X,O,O,X,O,X,X
JTZLOSI,O,X,O,O,X,X,X,X
JTZSILO,O,O,O,X,X,X,X,X
JTZSIOL,O,X,O,X,X,X,X,X
JTZSLIO,O,O,O,X,X,X,X,X
JTZSLOI,O,X,O,X,X,X,X,X
JTZSOIL,O,X,O,X,X,X,X,X
JTZSOLI,O,X,O,X,X,X,X,X
