sequence,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFCgBmiBXlBl?mBcsBTrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukBclBihBz?iBFsB3rB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukB8mBziBi?lBXsBFrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFGgB/mBFiB8?nBzkBywB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukBXiB8nBi?lBzrBFrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFCgBThBOnB8?nBXlB1wB,v115@GhA8IeA8CeB8CeB8AeC8CeC8Jex/IvhFziBOpBXlBV?sB0rBirB
IZTJOSL,O,O,X,X,X,O,X
IZTSLJO,O,O,X,O,X,O,X
IZTSLOJ,O,O,X,O,X,O,X
IZTSJLO,O,O,X,O,X,O,X
IZTSJOL,O,O,X,O,X,O,X
IZTSOLJ,O,O,X,O,X,O,X
IZTSOJL,O,O,X,O,X,O,X
IZTOLJS,X,O,X,O,O,O,X
IZTOLSJ,X,O,X,O,O,O,X
IZTOJLS,X,O,X,O,O,O,X
IZTOJSL,O,O,X,O,X,O,X
IZTOSLJ,O,O,X,O,O,O,X
IZTOSJL,O,O,X,O,X,O,X
IZLTJSO,O,O,X,O,X,O,X
IZLTJOS,X,O,X,X,O,O,X
IZLTSJO,O,O,X,O,X,O,X
IZLTSOJ,O,O,X,O,X,O,X
IZLTOJS,X,O,X,O,O,O,X
IZLTOSJ,X,O,X,O,O,O,X
IZLJTSO,O,O,X,O,X,X,X
IZLJTOS,X,O,X,X,O,X,X
IZLJSTO,O,O,O,O,X,X,X
IZLJSOT,O,O,O,O,O,X,X
IZLJOTS,X,O,X,O,O,X,X
IZLJOST,X,O,O,O,O,X,X
IZLSTJO,O,O,O,O,X,O,X
IZLSTOJ,O,O,O,O,X,O,X
IZLSJTO,O,O,O,O,X,O,X
IZLSJOT,O,O,O,O,O,X,X
IZLSOTJ,O,X,O,O,O,O,X
IZLSOJT,O,O,O,O,O,X,X
IZLOTJS,X,O,X,O,O,X,X
IZLOTSJ,X,O,X,O,O,X,X
IZLOJTS,X,O,X,O,O,X,X
IZLOJST,X,O,O,O,O,X,X
IZLOSTJ,X,X,O,O,O,X,X
IZLOSJT,X,O,O,O,O,X,X
IZJTLSO,O,O,X,O,X,O,X
IZJTLOS,X,O,X,X,O,O,X
IZJTSLO,O,O,X,O,X,O,X
IZJTSOL,O,O,X,O,X,O,X
IZJTOLS,X,O,X,X,O,O,X
IZJTOSL,O,O,X,X,X,O,X
IZJLTSO,O,O,X,O,X,X,X
IZJLTOS,X,O,X,X,O,X,X
IZJLSTO,O,O,O,O,X,X,X
IZJLSOT,O,O,O,O,O,X,X
IZJLOTS,X,O,X,O,O,X,X
IZJLOST,X,O,O,O,O,X,X
IZJSTLO,O,O,X,O,X,O,X
IZJSTOL,O,O,X,O,X,O,X
IZJSLTO,O,O,O,O,X,O,X
IZJSLOT,O,O,O,O,O,X,X
IZJSOTL,O,O,X,O,X,X,X
IZJSOLT,O,O,O,O,O,X,X
IZJOTLS,X,O,X,O,O,X,X
IZJOTSL,O,O,X,O,X,X,X
IZJOLTS,X,O,X,O,O,X,X
IZJOLST,X,O,O,O,O,X,X
IZJOSTL,O,O,X,O,X,X,X
IZJOSLT,O,O,O,O,O,X,X
IZSTLJO,O,O,O,O,X,O,X
IZSTLOJ,O,O,O,O,X,O,X
IZSTJLO,O,O,X,O,X,O,X
IZSTJOL,O,O,X,O,X,O,X
IZSTOLJ,O,O,O,O,X,O,X
IZSTOJL,O,O,X,O,X,O,X
IZSLTJO,O,O,O,O,X,O,X
IZSLTOJ,O,O,O,O,X,O,X
IZSLJTO,O,O,O,O,X,O,X
IZSLJOT,O,O,O,O,O,X,X
IZSLOTJ,O,X,O,O,O,O,X
IZSLOJT,O,O,O,O,O,X,X
IZSJTLO,O,O,X,O,X,O,X
IZSJTOL,O,O,X,O,X,O,X
IZSJLTO,O,O,O,O,X,O,X
IZSJLOT,O,O,O,O,O,X,X
IZSJOTL,O,O,X,O,X,X,X
IZSJOLT,O,O,O,O,O,X,X
IZSOTLJ,O,O,O,O,O,O,X
IZSOTJL,O,O,X,O,X,O,X
IZSOLTJ,O,X,O,O,O,O,X
IZSOLJT,O,O,O,O,O,X,X
IZSOJTL,O,O,X,O,X,X,X
IZSOJLT,O,O,O,O,O,X,X
IZOTLJS,X,O,X,O,O,O,X
IZOTLSJ,X,O,X,O,O,O,X
IZOTJLS,X,O,X,O,O,O,X
IZOTJSL,O,O,X,O,X,O,X
IZOTSLJ,O,O,X,O,O,O,X
IZOTSJL,O,O,X,O,X,O,X
IZOLTJS,X,O,X,O,O,X,X
IZOLTSJ,X,O,X,O,O,X,X
IZOLJTS,X,O,X,O,O,X,X
IZOLJST,X,O,O,O,O,X,X
IZOLSTJ,X,X,O,O,O,X,X
IZOLSJT,X,O,O,O,O,X,X
IZOJTLS,X,O,X,O,O,X,X
IZOJTSL,O,O,X,O,X,X,X
IZOJLTS,X,O,X,O,O,X,X
IZOJLST,X,O,O,O,O,X,X
IZOJSTL,O,O,X,O,X,X,X
IZOJSLT,O,O,O,O,O,X,X
IZOSTLJ,O,O,O,O,O,O,X
IZOSTJL,O,O,X,O,X,O,X
IZOSLTJ,O,X,O,O,O,O,X
IZOSLJT,O,O,O,O,O,X,X
IZOSJTL,O,O,X,O,X,X,X
IZOSJLT,O,O,O,O,O,X,X
IOTLJSZ,X,X,O,X,X,X,X
IOTLJZS,X,O,X,X,O,X,X
IOTLSJZ,X,X,O,X,X,X,X
IOTLSZJ,X,O,O,X,X,X,X
IOTLZJS,X,O,X,X,O,X,X
IOTLZSJ,X,O,X,X,O,X,X
IOTJLSZ,X,X,O,X,X,X,X
IOTJLZS,X,O,X,X,O,X,X
IOTJSLZ,X,X,O,X,X,X,O
IOTJSZL,X,X,X,O,X,X,O
IOTJZLS,X,O,X,O,O,X,X
IOTJZSL,X,O,X,O,X,X,X
IOTSLJZ,X,X,O,X,X,X,X
IOTSLZJ,X,O,O,X,X,X,X
IOTSJLZ,X,X,O,X,X,X,O
IOTSJZL,X,X,X,O,X,X,O
IOTSZLJ,X,O,O,O,X,X,X
IOTSZJL,X,O,X,O,X,X,X
IOTZLJS,X,O,X,O,O,X,X
IOTZLSJ,X,O,X,O,O,X,X
IOTZJLS,X,O,X,O,O,X,X
IOTZJSL,X,O,X,O,X,X,X
IOTZSLJ,X,O,X,O,O,X,X
IOTZSJL,X,O,X,O,X,X,X
IOLTJSZ,X,X,O,X,X,X,X
IOLTJZS,X,O,X,X,O,X,X
IOLTSJZ,X,X,O,X,X,X,X
IOLTSZJ,X,O,O,X,X,X,X
IOLTZJS,X,O,X,X,O,X,X
IOLTZSJ,X,O,X,X,O,X,X
IOLJTSZ,X,X,O,X,X,X,X
IOLJTZS,X,X,X,X,O,X,X
IOLJSTZ,X,X,O,X,X,X,X
IOLJSZT,X,X,O,O,O,X,X
IOLJZTS,X,O,X,O,O,X,X
IOLJZST,X,O,O,O,O,X,X
IOLSTJZ,X,X,O,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,X
IOLSJTZ,X,X,O,X,X,X,X
IOLSJZT,X,X,O,O,O,X,X
IOLSZTJ,X,X,O,O,O,X,X
IOLSZJT,X,O,O,O,O,X,X
IOLZTJS,X,O,X,O,O,X,X
IOLZTSJ,X,O,X,O,O,X,X
IOLZJTS,X,O,X,O,O,X,X
IOLZJST,X,O,O,O,O,X,X
IOLZSTJ,X,X,O,O,O,X,X
IOLZSJT,X,O,O,O,O,X,X
IOJTLSZ,X,X,O,X,X,X,X
IOJTLZS,X,O,X,X,O,X,X
IOJTSLZ,X,X,O,X,X,X,O
IOJTSZL,X,X,X,O,X,X,O
IOJTZLS,X,O,X,O,O,X,X
IOJTZSL,X,O,X,O,X,X,X
IOJLTSZ,X,X,O,X,X,X,X
IOJLTZS,X,X,X,X,O,X,X
IOJLSTZ,X,X,O,X,X,X,X
IOJLSZT,X,X,O,O,O,X,X
IOJLZTS,X,O,X,O,O,X,X
IOJLZST,X,O,O,O,O,X,X
IOJSTLZ,X,X,O,X,X,X,O
IOJSTZL,X,X,X,O,X,X,O
IOJSLTZ,X,X,O,X,X,X,O
IOJSLZT,O,X,O,O,O,X,X
IOJSZTL,O,X,X,O,X,X,O
IOJSZLT,O,X,O,O,O,X,X
IOJZTLS,X,O,X,O,O,X,X
IOJZTSL,O,O,X,O,X,X,X
IOJZLTS,X,O,X,O,O,X,X
IOJZLST,X,O,O,O,O,X,X
IOJZSTL,O,O,X,O,X,X,X
IOJZSLT,O,O,O,O,O,X,X
IOSTLJZ,X,X,O,X,X,X,X
IOSTLZJ,X,O,O,X,X,X,X
IOSTJLZ,X,X,O,X,X,X,O
IOSTJZL,X,X,X,O,X,X,O
IOSTZLJ,X,O,O,O,X,X,X
IOSTZJL,X,O,X,O,X,X,X
IOSLTJZ,X,X,O,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X
IOSLJTZ,X,X,O,X,X,X,X
IOSLJZT,O,X,O,O,O,X,X
IOSLZTJ,O,X,O,O,O,O,X
IOSLZJT,O,O,O,O,O,X,X
IOSJTLZ,X,X,O,X,X,X,O
IOSJTZL,X,X,X,O,X,X,O
IOSJLTZ,X,X,O,X,X,X,O
IOSJLZT,O,X,O,O,O,X,X
IOSJZTL,O,X,X,O,X,X,O
IOSJZLT,O,X,O,O,O,X,X
IOSZTLJ,O,O,O,O,O,O,X
IOSZTJL,O,O,X,O,X,O,X
IOSZLTJ,O,X,O,O,O,O,X
IOSZLJT,O,O,O,O,O,X,X
IOSZJTL,O,O,X,O,X,X,X
IOSZJLT,O,O,O,O,O,X,X
IOZTLJS,X,O,X,O,O,O,X
IOZTLSJ,X,O,X,O,O,O,X
IOZTJLS,X,O,X,O,O,O,X
IOZTJSL,O,O,X,O,X,O,X
IOZTSLJ,O,O,X,O,O,O,X
IOZTSJL,O,O,X,O,X,O,X
IOZLTJS,X,O,X,O,O,X,X
IOZLTSJ,X,O,X,O,O,X,X
IOZLJTS,X,O,X,O,O,X,X
IOZLJST,X,O,O,O,O,X,X
IOZLSTJ,X,X,O,O,O,X,X
IOZLSJT,X,O,O,O,O,X,X
IOZJTLS,X,O,X,O,O,X,X
IOZJTSL,O,O,X,O,X,X,X
IOZJLTS,X,O,X,O,O,X,X
IOZJLST,X,O,O,O,O,X,X
IOZJSTL,O,O,X,O,X,X,X
IOZJSLT,O,O,O,O,O,X,X
IOZSTLJ,O,O,O,O,O,O,X
IOZSTJL,O,O,X,O,X,O,X
IOZSLTJ,O,X,O,O,O,O,X
IOZSLJT,O,O,O,O,O,X,X
IOZSJTL,O,O,X,O,X,X,X
IOZSJLT,O,O,O,O,O,X,X
LTIJSZO,X,X,O,X,X,X,X
LTIJSOZ,X,X,O,X,X,X,X
LTIJZSO,X,O,X,X,X,X,X
LTIJZOS,X,O,X,X,O,X,X
LTIJOSZ,X,X,O,X,X,X,X
LTIJOZS,X,O,X,X,O,X,X
LTISJZO,X,X,O,X,X,X,X
LTISJOZ,X,X,O,X,X,X,X
LTISZJO,X,O,O,X,X,X,X
LTISZOJ,X,O,O,X,X,X,X
LTISOJZ,X,X,O,X,X,X,X
LTISOZJ,X,O,O,X,X,X,X
LTIZJSO,X,O,X,X,X,X,X
LTIZJOS,X,O,X,X,O,X,X
LTIZSJO,X,O,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,X,X
LTIZOJS,X,O,X,X,O,X,X
LTIZOSJ,X,O,X,X,O,X,X
LTIOJSZ,X,X,O,X,X,X,X
LTIOJZS,X,O,X,X,O,X,X
LTIOSJZ,X,X,O,X,X,X,X
LTIOSZJ,X,O,O,X,X,X,X
LTIOZJS,X,O,X,X,O,X,X
LTIOZSJ,X,O,X,X,O,X,X
LTJISZO,X,X,O,X,X,X,X
LTJISOZ,X,X,O,X,X,X,X
LTJIZSO,X,O,X,X,X,X,X
LTJIZOS,X,O,X,X,O,X,X
LTJIOSZ,X,X,O,X,X,X,X
LTJIOZS,X,O,X,X,O,X,X
LTJSIZO,X,X,O,X,X,X,O
LTJSIOZ,X,X,O,X,X,X,O
LTJSZIO,X,X,O,X,X,X,O
LTJSZOI,X,X,O,X,X,X,O
LTJSOIZ,X,X,O,X,X,X,O
LTJSOZI,X,X,O,X,X,X,O
LTJZISO,X,O,X,X,X,X,X
LTJZIOS,X,O,X,X,O,X,X
LTJZSIO,X,O,X,X,X,X,X
LTJZSOI,X,O,X,X,X,X,X
LTJZOIS,X,O,X,X,O,X,X
LTJZOSI,X,O,X,X,O,X,X
LTJOISZ,X,X,O,X,X,X,X
LTJOIZS,X,O,X,X,O,X,X
LTJOSIZ,X,X,O,X,X,X,O
LTJOSZI,X,X,O,X,X,X,O
LTJOZIS,X,O,X,X,O,X,X
LTJOZSI,X,O,X,X,O,X,X
LTSIJZO,X,X,O,X,X,X,X
LTSIJOZ,X,X,O,X,X,X,X
LTSIZJO,X,O,O,X,X,X,X
LTSIZOJ,X,O,O,X,X,X,X
LTSIOJZ,X,X,O,X,X,X,X
LTSIOZJ,X,O,O,X,X,X,X
LTSJIZO,X,X,O,X,X,X,O
LTSJIOZ,X,X,O,X,X,X,O
LTSJZIO,X,X,O,X,X,X,O
LTSJZOI,X,X,O,X,X,X,O
LTSJOIZ,X,X,O,X,X,X,O
LTSJOZI,X,X,O,X,X,X,O
LTSZIJO,X,O,O,X,X,X,X
LTSZIOJ,X,O,O,X,X,X,X
LTSZJIO,X,O,O,X,X,X,X
LTSZJOI,X,O,O,X,X,X,X
LTSZOIJ,X,O,O,X,X,X,X
LTSZOJI,X,O,O,X,X,X,X
LTSOIJZ,X,X,O,X,X,X,X
LTSOIZJ,X,O,O,X,X,X,X
LTSOJIZ,X,X,O,X,X,X,O
LTSOJZI,X,X,O,X,X,X,O
LTSOZIJ,X,O,O,X,X,X,X
LTSOZJI,X,O,O,X,X,X,X
LTZIJSO,X,O,X,X,X,X,X
LTZIJOS,X,O,X,X,O,X,X
LTZISJO,X,O,X,X,X,X,X
LTZISOJ,X,O,X,X,X,X,X
LTZIOJS,X,O,X,X,O,X,X
LTZIOSJ,X,O,X,X,O,X,X
LTZJISO,X,O,X,X,X,X,X
LTZJIOS,X,O,X,X,O,X,X
LTZJSIO,X,O,X,X,X,X,X
LTZJSOI,X,O,X,X,X,X,X
LTZJOIS,X,O,X,X,O,X,X
LTZJOSI,X,O,X,X,O,X,X
LTZSIJO,X,O,X,X,X,X,X
LTZSIOJ,X,O,X,X,X,X,X
LTZSJIO,X,O,X,X,X,X,X
LTZSJOI,X,O,X,X,X,X,X
LTZSOIJ,X,O,X,X,X,X,X
LTZSOJI,X,O,X,X,X,X,X
LTZOIJS,X,O,X,X,O,X,X
LTZOISJ,X,O,X,X,O,X,X
LTZOJIS,X,O,X,X,O,X,X
LTZOJSI,X,O,X,X,O,X,X
LTZOSIJ,X,O,X,X,O,X,X
LTZOSJI,X,O,X,X,O,X,X
LTOIJSZ,X,X,O,X,X,X,X
LTOIJZS,X,O,X,X,O,X,X
LTOISJZ,X,X,O,X,X,X,X
LTOISZJ,X,O,O,X,X,X,X
LTOIZJS,X,O,X,X,O,X,X
LTOIZSJ,X,O,X,X,O,X,X
LTOJISZ,X,X,O,X,X,X,X
LTOJIZS,X,O,X,X,O,X,X
LTOJSIZ,X,X,O,X,X,X,O
LTOJSZI,X,X,O,X,X,X,O
LTOJZIS,X,O,X,X,O,X,X
LTOJZSI,X,O,X,X,O,X,X
LTOSIJZ,X,X,O,X,X,X,X
LTOSIZJ,X,O,O,X,X,X,X
LTOSJIZ,X,X,O,X,X,X,O
LTOSJZI,X,X,O,X,X,X,O
LTOSZIJ,X,O,O,X,X,X,X
LTOSZJI,X,O,O,X,X,X,X
LTOZIJS,X,O,X,X,O,X,X
LTOZISJ,X,O,X,X,O,X,X
LTOZJIS,X,O,X,X,O,X,X
LTOZJSI,X,O,X,X,O,X,X
LTOZSIJ,X,O,X,X,O,X,X
LTOZSJI,X,O,X,X,O,X,X
LITJSZO,X,X,O,X,X,X,X
LITJSOZ,X,X,O,X,X,X,X
LITJZSO,X,O,X,X,X,X,X
LITJZOS,X,O,X,X,O,X,X
LITJOSZ,X,X,O,X,X,X,X
LITJOZS,X,O,X,X,O,X,X
LITSJZO,X,X,O,X,X,X,X
LITSJOZ,X,X,O,X,X,X,X
LITSZJO,X,O,O,X,X,X,X
LITSZOJ,X,O,O,X,X,X,X
LITSOJZ,X,X,O,X,X,X,X
LITSOZJ,X,O,O,X,X,X,X
LITZJSO,X,O,X,X,X,X,X
LITZJOS,X,O,X,X,O,X,X
LITZSJO,X,O,X,X,X,X,X
LITZSOJ,X,O,X,X,X,X,X
LITZOJS,X,O,X,X,O,X,X
LITZOSJ,X,O,X,X,O,X,X
LITOJSZ,X,X,O,X,X,X,X
LITOJZS,X,O,X,X,O,X,X
LITOSJZ,X,X,O,X,X,X,X
LITOSZJ,X,O,O,X,X,X,X
LITOZJS,X,O,X,X,O,X,X
LITOZSJ,X,O,X,X,O,X,X
LIJTSZO,X,X,O,X,X,X,X
LIJTSOZ,X,X,O,X,X,X,X
LIJTZSO,X,O,X,X,X,X,X
LIJTZOS,X,O,X,X,O,X,X
LIJTOSZ,X,X,O,X,X,X,X
LIJTOZS,X,O,X,X,O,X,X
LIJSTZO,O,X,O,X,X,X,X
LIJSTOZ,X,X,O,X,X,X,X
LIJSZTO,O,X,O,O,X,X,X
LIJSZOT,O,X,O,X,O,X,X
LIJSOTZ,X,X,O,X,X,X,X
LIJSOZT,O,X,O,X,O,X,X
LIJZTSO,O,O,X,O,X,X,X
LIJZTOS,X,O,X,X,O,X,X
LIJZSTO,O,O,O,O,X,X,X
LIJZSOT,O,O,O,O,O,X,X
LIJZOTS,X,O,X,X,O,X,X
LIJZOST,X,O,O,O,O,X,X
LIJOTSZ,X,X,O,X,X,X,X
LIJOTZS,X,X,X,X,O,X,X
LIJOSTZ,X,X,O,X,X,X,X
LIJOSZT,X,X,O,X,O,X,X
LIJOZTS,X,O,X,X,O,X,X
LIJOZST,X,O,O,X,O,X,X
LISTJZO,O,X,O,X,X,X,X
LISTJOZ,X,X,O,X,X,X,X
LISTZJO,O,O,O,X,X,O,X
LISTZOJ,O,O,O,X,X,O,X
LISTOJZ,X,X,O,X,X,X,X
LISTOZJ,X,O,O,X,X,X,X
LISJTZO,O,X,O,X,X,X,X
LISJTOZ,X,X,O,X,X,X,X
LISJZTO,O,X,O,O,X,O,X
LISJZOT,O,X,O,X,O,X,X
LISJOTZ,X,X,O,X,X,X,X
LISJOZT,O,X,O,X,O,X,X
LISZTJO,O,O,O,O,X,O,X
LISZTOJ,O,O,O,O,X,O,X
LISZJTO,O,O,O,O,X,O,X
LISZJOT,O,O,O,X,O,X,X
LISZOTJ,O,X,O,O,O,O,X
LISZOJT,O,O,O,O,O,X,X
LISOTJZ,X,X,O,X,X,X,X
LISOTZJ,X,X,O,X,X,X,X
LISOJTZ,X,X,O,X,X,X,X
LISOJZT,O,X,O,O,O,X,X
LISOZTJ,O,X,O,O,O,O,X
LISOZJT,O,O,O,O,O,X,X
LIZTJSO,O,O,X,O,X,O,X
LIZTJOS,X,O,X,X,O,O,X
LIZTSJO,O,O,X,O,X,O,X
LIZTSOJ,O,O,X,O,X,O,X
LIZTOJS,X,O,X,O,O,O,X
LIZTOSJ,X,O,X,O,O,O,X
LIZJTSO,O,O,X,O,X,X,X
LIZJTOS,X,O,X,X,O,X,X
LIZJSTO,O,O,O,O,X,X,X
LIZJSOT,O,O,O,O,O,X,X
LIZJOTS,X,O,X,O,O,X,X
LIZJOST,X,O,O,O,O,X,X
LIZSTJO,O,O,O,O,X,O,X
LIZSTOJ,O,O,O,O,X,O,X
LIZSJTO,O,O,O,O,X,O,X
LIZSJOT,O,O,O,O,O,X,X
LIZSOTJ,O,X,O,O,O,O,X
LIZSOJT,O,O,O,O,O,X,X
LIZOTJS,X,O,X,O,O,X,X
LIZOTSJ,X,O,X,O,O,X,X
LIZOJTS,X,O,X,O,O,X,X
LIZOJST,X,O,O,O,O,X,X
LIZOSTJ,X,X,O,O,O,X,X
LIZOSJT,X,O,O,O,O,X,X
LIOTJSZ,X,X,O,X,X,X,X
LIOTJZS,X,O,X,X,O,X,X
LIOTSJZ,X,X,O,X,X,X,X
LIOTSZJ,X,O,O,X,X,X,X
LIOTZJS,X,O,X,X,O,X,X
LIOTZSJ,X,O,X,X,O,X,X
LIOJTSZ,X,X,O,X,X,X,X
LIOJTZS,X,X,X,X,O,X,X
LIOJSTZ,X,X,O,X,X,X,X
LIOJSZT,X,X,O,O,O,X,X
LIOJZTS,X,O,X,O,O,X,X
LIOJZST,X,O,O,O,O,X,X
LIOSTJZ,X,X,O,X,X,X,X
LIOSTZJ,X,X,O,X,X,X,X
LIOSJTZ,X,X,O,X,X,X,X
LIOSJZT,X,X,O,O,O,X,X
LIOSZTJ,X,X,O,O,O,X,X
LIOSZJT,X,O,O,O,O,X,X
LIOZTJS,X,O,X,O,O,X,X
LIOZTSJ,X,O,X,O,O,X,X
LIOZJTS,X,O,X,O,O,X,X
LIOZJST,X,O,O,O,O,X,X
LIOZSTJ,X,X,O,O,O,X,X
LIOZSJT,X,O,O,O,O,X,X
LJTISZO,X,X,O,X,X,X,X
LJTISOZ,X,X,O,X,X,X,X
LJTIZSO,X,O,X,X,X,X,X
LJTIZOS,X,O,X,X,O,X,X
LJTIOSZ,X,X,O,X,X,X,X
LJTIOZS,X,O,X,X,O,X,X
LJTSIZO,X,X,O,X,X,X,O
LJTSIOZ,X,X,O,X,X,X,O
LJTSZIO,X,X,O,X,X,X,O
LJTSZOI,X,X,O,X,X,X,O
LJTSOIZ,X,X,O,X,X,X,O
LJTSOZI,X,X,O,X,X,X,O
LJTZISO,X,O,X,X,X,X,X
LJTZIOS,X,O,X,X,O,X,X
LJTZSIO,X,O,X,X,X,X,X
LJTZSOI,X,O,X,X,X,X,X
LJTZOIS,X,O,X,X,O,X,X
LJTZOSI,X,O,X,X,O,X,X
LJTOISZ,X,X,O,X,X,X,X
LJTOIZS,X,O,X,X,O,X,X
LJTOSIZ,X,X,O,X,X,X,O
LJTOSZI,X,X,O,X,X,X,O
LJTOZIS,X,O,X,X,O,X,X
LJTOZSI,X,O,X,X,O,X,X
LJITSZO,X,X,O,X,X,X,X
LJITSOZ,X,X,O,X,X,X,X
LJITZSO,X,O,X,X,X,X,X
LJITZOS,X,O,X,X,O,X,X
LJITOSZ,X,X,O,X,X,X,X
LJITOZS,X,O,X,X,O,X,X
LJISTZO,O,X,O,X,X,X,X
LJISTOZ,X,X,O,X,X,X,X
LJISZTO,O,X,O,O,X,X,X
LJISZOT,O,X,O,X,O,X,X
LJISOTZ,X,X,O,X,X,X,X
LJISOZT,O,X,O,X,O,X,X
LJIZTSO,O,O,X,O,X,X,X
LJIZTOS,X,O,X,X,O,X,X
LJIZSTO,O,O,O,O,X,X,X
LJIZSOT,O,O,O,O,O,X,X
LJIZOTS,X,O,X,X,O,X,X
LJIZOST,X,O,O,O,O,X,X
LJIOTSZ,X,X,O,X,X,X,X
LJIOTZS,X,X,X,X,O,X,X
LJIOSTZ,X,X,O,X,X,X,X
LJIOSZT,X,X,O,X,O,X,X
LJIOZTS,X,O,X,X,O,X,X
LJIOZST,X,O,O,X,O,X,X
LJSTIZO,O,X,O,X,X,X,O
LJSTIOZ,X,X,O,X,X,X,O
LJSTZIO,O,X,O,X,X,X,O
LJSTZOI,O,X,O,X,X,X,O
LJSTOIZ,X,X,O,X,X,X,O
LJSTOZI,X,X,O,X,X,X,O
LJSITZO,O,X,O,X,X,X,O
LJSITOZ,X,X,O,X,X,X,O
LJSIZTO,O,X,O,O,X,X,X
LJSIZOT,O,X,O,X,O,X,X
LJSIOTZ,X,X,O,X,X,X,O
LJSIOZT,O,X,O,X,O,X,X
LJSZTIO,O,X,O,O,X,X,X
LJSZTOI,O,X,O,X,X,X,X
LJSZITO,O,X,O,O,X,X,X
LJSZIOT,O,X,O,X,O,X,X
LJSZOTI,O,X,O,X,O,X,X
LJSZOIT,O,X,O,X,O,X,X
LJSOTIZ,X,X,O,X,X,X,O
LJSOTZI,X,X,O,X,X,X,O
LJSOITZ,X,X,O,X,X,X,O
LJSOIZT,O,X,O,X,O,X,X
LJSOZTI,O,X,O,X,O,X,X
LJSOZIT,O,X,O,X,O,X,X
LJZTISO,O,O,X,O,X,X,X
LJZTIOS,X,O,X,X,O,X,X
LJZTSIO,O,O,X,O,X,X,X
LJZTSOI,O,O,X,O,X,X,X
LJZTOIS,X,O,X,X,O,X,X
LJZTOSI,X,O,X,X,O,X,X
LJZITSO,O,O,X,O,X,X,X
LJZITOS,X,O,X,X,O,X,X
LJZISTO,O,O,O,O,X,X,X
LJZISOT,O,O,O,O,O,X,X
LJZIOTS,X,O,X,X,O,X,X
LJZIOST,X,O,O,O,O,X,X
LJZSTIO,O,O,O,O,X,X,X
LJZSTOI,O,O,O,O,X,X,X
LJZSITO,O,O,O,O,X,X,X
LJZSIOT,O,O,O,O,O,X,X
LJZSOTI,O,X,O,O,O,X,X
LJZSOIT,O,O,O,O,O,X,X
LJZOTIS,X,O,X,X,O,X,X
LJZOTSI,X,O,X,X,O,X,X
LJZOITS,X,O,X,X,O,X,X
LJZOIST,X,O,O,O,O,X,X
LJZOSTI,X,X,O,O,O,X,X
LJZOSIT,X,O,O,O,O,X,X
LJOTISZ,X,X,O,X,X,X,X
LJOTIZS,X,X,X,X,O,X,X
LJOTSIZ,X,X,O,X,X,X,O
LJOTSZI,X,X,O,X,X,X,O
LJOTZIS,X,X,X,X,O,X,X
LJOTZSI,X,X,X,X,O,X,X
LJOITSZ,X,X,O,X,X,X,X
LJOITZS,X,X,X,X,O,X,X
LJOISTZ,X,X,O,X,X,X,X
LJOISZT,X,X,O,X,O,X,X
LJOIZTS,X,O,X,X,O,X,X
LJOIZST,X,O,O,X,O,X,X
LJOSTIZ,X,X,O,X,X,X,O
LJOSTZI,X,X,O,X,X,X,O
LJOSITZ,X,X,O,X,X,X,O
LJOSIZT,X,X,O,X,O,X,X
LJOSZTI,X,X,O,X,O,X,X
LJOSZIT,X,X,O,X,O,X,X
LJOZTIS,X,O,X,X,O,X,X
LJOZTSI,X,X,X,X,O,X,X
LJOZITS,X,O,X,X,O,X,X
LJOZIST,X,O,O,X,O,X,X
LJOZSTI,X,X,O,X,O,X,X
LJOZSIT,X,O,O,X,O,X,X
LSTIJZO,O,X,O,X,X,X,X
LSTIJOZ,X,X,O,X,X,X,X
LSTIZJO,O,O,O,X,X,O,X
LSTIZOJ,O,O,O,X,X,O,X
LSTIOJZ,X,X,O,X,X,X,X
LSTIOZJ,X,O,O,X,X,X,X
LSTJIZO,O,X,O,X,X,X,O
LSTJIOZ,X,X,O,X,X,X,O
LSTJZIO,O,X,O,X,X,X,O
LSTJZOI,O,X,O,X,X,X,O
LSTJOIZ,X,X,O,X,X,X,O
LSTJOZI,X,X,O,X,X,X,O
LSTZIJO,O,O,O,X,X,O,X
LSTZIOJ,O,O,O,X,X,O,X
LSTZJIO,O,O,O,X,X,O,X
LSTZJOI,O,O,O,X,X,O,X
LSTZOIJ,O,O,O,X,X,O,X
LSTZOJI,O,O,O,X,X,O,X
LSTOIJZ,X,X,O,X,X,X,X
LSTOIZJ,X,O,O,X,X,X,X
LSTOJIZ,X,X,O,X,X,X,O
LSTOJZI,X,X,O,X,X,X,O
LSTOZIJ,X,O,O,X,X,X,X
LSTOZJI,X,O,O,X,X,X,X
LSITJZO,O,X,O,X,X,X,X
LSITJOZ,X,X,O,X,X,X,X
