sequence,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFzfBfmB?0hBeoBFqB6sB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFzfBWmB?3iB8sBimBFqB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFqkBlhB?3iBzlB8sBOqB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFFgB0hB?eoBfqBzlB6sB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8Jex/IvhFlhB3iB?zlB8sBmpBipB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFfmB0hB?WqBznBaqBlsB
TZJSLIO,O,O,X,X,X,X
TZJSLOI,O,O,X,X,X,X
TZJSOIL,O,O,O,X,O,X
TZJSOLI,O,O,O,X,O,X
TZJOILS,X,O,O,X,O,X
TZJOISL,O,O,O,O,O,X
TZJOLIS,X,O,O,X,O,X
TZJOLSI,X,O,O,X,O,X
TZJOSIL,O,O,O,O,O,X
TZJOSLI,O,O,O,O,O,X
TZSILJO,O,O,X,X,X,X
TZSILOJ,O,O,O,X,X,X
TZSIJLO,O,O,X,X,X,X
TZSIJOL,O,O,O,X,X,O
TZSIOLJ,O,O,O,X,O,X
TZSIOJL,O,O,O,X,O,O
TZSLIJO,O,O,X,X,X,X
TZSLIOJ,O,O,O,X,X,X
TZSLJIO,O,O,X,X,X,X
TZSLJOI,O,O,X,X,X,X
TZSLOIJ,O,O,O,X,O,X
TZSLOJI,O,O,O,X,O,X
TZSJILO,O,O,X,X,X,X
TZSJIOL,O,O,O,X,X,O
TZSJLIO,O,O,X,X,X,X
TZSJLOI,O,O,X,X,X,X
TZSJOIL,O,O,O,X,O,O
TZSJOLI,O,O,O,X,O,X
TZSOILJ,O,O,O,X,O,X
TZSOIJL,O,O,O,X,O,O
TZSOLIJ,O,O,O,X,O,X
TZSOLJI,O,O,O,X,O,X
TZSOJIL,O,O,O,X,O,O
TZSOJLI,O,O,O,X,O,X
TZOILJS,X,O,O,X,X,X
TZOILSJ,X,O,O,X,O,X
TZOIJLS,X,O,O,X,O,X
TZOIJSL,O,O,O,O,O,X
TZOISLJ,O,O,O,O,O,X
