sequence,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF0iB6oBmlBz?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFXiB6oBmlBz?nBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFTiB6oBmlBf?sB8sBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFfnBxiBUmB+?sBToBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBimBGoBX?oBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF8mBfoB6oBm?lBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxiBimBGoB0?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBXjB2rBS?tBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF0hBxiB2rBS?tBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFGjBRmBUoB3?mBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8Je2FJvhFRhBSoB3mBU?oBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFOmB8mBSoBF?qBxsB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF2mBfoB6oBF?qBxrBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFzhBGjBUmBF?qBxsB3sB
JLOZSIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSTILZO,O,X,O,O,X,O,O,O,X,X,X,X,O,X
JSTILOZ,O,X,O,O,X,X,O,O,X,X,X,X,O,X
JSTIZLO,O,X,O,O,X,O,O,X,X,X,X,X,O,X
JSTIZOL,O,X,O,X,X,O,O,X,X,X,X,X,O,X
JSTIOLZ,O,X,O,O,X,X,O,O,X,X,X,X,O,X
JSTIOZL,O,X,O,O,X,X,O,X,X,X,X,X,O,X
JSTLIZO,O,X,O,O,X,O,O,O,O,X,X,X,O,X
JSTLIOZ,O,X,O,O,O,X,O,O,O,X,X,X,O,X
JSTLZIO,O,X,O,O,X,O,O,O,O,X,X,X,X,X
JSTLZOI,O,X,O,O,X,O,O,O,O,X,X,X,X,X
JSTLOIZ,O,X,O,O,O,X,O,O,O,X,X,X,O,X
JSTLOZI,O,X,O,O,O,O,O,O,O,X,X,X,X,X
JSTZILO,O,X,O,O,X,O,O,X,X,X,X,O,X,X
JSTZIOL,O,X,O,O,X,O,O,X,O,X,X,O,X,X
JSTZLIO,O,X,O,O,O,O,O,X,O,X,X,X,X,X
JSTZLOI,O,X,O,O,O,O,O,X,O,X,X,X,X,X
JSTZOIL,O,X,O,O,X,O,O,X,O,X,X,O,X,X
JSTZOLI,O,X,O,O,O,O,O,X,O,X,X,X,X,X
JSTOILZ,O,X,O,O,X,X,O,O,X,X,X,X,O,X
JSTOIZL,O,X,O,O,X,X,O,X,X,X,X,X,O,X
JSTOLIZ,O,X,O,O,O,X,O,O,O,X,X,X,O,X
JSTOLZI,O,X,O,O,O,O,O,O,O,X,X,X,X,X
JSTOZIL,O,X,O,O,X,O,O,X,O,X,X,O,X,X
JSTOZLI,O,X,O,O,O,O,O,X,O,X,X,X,X,X
JSITLZO,O,X,O,O,X,X,O,O,X,X,X,X,O,X
JSITLOZ,X,X,X,O,X,X,O,O,X,X,X,X,O,X
JSITZLO,O,X,O,O,X,X,O,X,X,X,X,X,O,X
JSITZOL,X,X,O,X,X,X,O,X,X,X,X,X,O,X
JSITOLZ,X,X,X,O,X,X,O,O,X,X,X,X,O,X
JSITOZL,X,X,X,O,X,X,O,X,X,X,X,X,O,X
JSILTZO,O,X,O,O,X,X,O,O,X,X,X,X,O,X
JSILTOZ,X,X,X,O,O,X,O,O,X,X,X,X,O,X
JSILZTO,O,O,O,O,X,O,O,O,X,X,X,X,O,X
JSILZOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSILOTZ,O,O,X,X,X,X,O,O,X,X,X,X,O,X
JSILOZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,O,O,O,X,O,O,X,X,X,X,X,O,X
JSIZTOL,X,O,O,X,X,X,O,X,X,X,X,X,O,X
JSIZLTO,O,O,O,O,O,O,O,X,X,X,X,X,O,X
JSIZLOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSIZOTL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSIZOLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSIOTLZ,O,O,X,O,X,X,O,X,X,X,X,X,O,X
JSIOTZL,O,X,X,O,X,X,O,X,X,X,X,X,O,X
JSIOLTZ,O,O,X,O,X,X,O,X,X,X,X,X,O,X
JSIOLZT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSIOZTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSIOZLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSLTIZO,O,X,O,O,X,O,O,O,O,X,X,X,O,X
JSLTIOZ,O,X,O,O,O,X,O,O,O,X,X,X,O,X
JSLTZIO,O,X,O,O,X,O,O,O,O,X,X,X,X,X
JSLTZOI,O,X,O,O,X,O,O,O,O,X,X,X,X,X
JSLTOIZ,O,X,O,O,O,X,O,O,O,X,X,X,O,X
JSLTOZI,O,X,O,O,O,O,O,O,O,X,X,X,X,X
JSLITZO,O,X,O,O,X,X,O,O,O,X,X,X,O,X
JSLITOZ,X,X,X,O,O,X,O,O,O,X,X,X,O,X
JSLIZTO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
JSLIZOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSLIOTZ,O,O,X,X,X,X,O,O,X,X,X,X,O,X
JSLIOZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
JSLZTOI,O,X,O,O,X,O,O,O,O,X,X,X,X,X
JSLZITO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
JSLZIOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSLZOTI,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JSLZOIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,X,O,X,X,O,O,X,X,X,X,X,X
JSLOTZI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
JSLOITZ,O,O,X,O,X,X,O,O,X,X,X,X,X,X
JSLOIZT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSLOZTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSLOZIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZTILO,O,O,O,O,X,O,O,X,X,X,X,O,X,X
JSZTIOL,O,O,O,X,X,O,O,X,O,X,X,O,X,X
JSZTLIO,O,O,O,O,O,O,O,X,O,X,X,X,X,X
JSZTLOI,O,X,O,O,O,O,O,X,O,X,X,X,X,X
JSZTOIL,O,O,O,O,X,O,O,X,O,X,X,O,X,X
JSZTOLI,O,O,O,O,O,O,O,X,O,X,X,X,X,X
JSZITLO,O,O,O,O,X,O,O,X,X,X,X,O,X,X
JSZITOL,X,O,O,X,X,X,O,X,O,X,X,O,X,X
JSZILTO,O,O,O,O,O,O,O,X,X,X,X,O,X,X
JSZILOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZIOTL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSZIOLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZLTIO,O,O,O,O,O,O,O,X,O,X,X,X,X,X
JSZLTOI,O,X,O,O,O,O,O,X,O,X,X,X,X,X
JSZLITO,O,O,O,O,O,O,O,X,O,X,X,X,X,X
JSZLIOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZLOTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZLOIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZOTIL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSZOTLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSZOITL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSZOILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZOLTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZOLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOTILZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSOTIZL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOTLIZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSOTLZI,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JSOTZIL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JSOTZLI,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JSOITLZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSOITZL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOILTZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSOILZT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOIZTL,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JSOIZLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOLTIZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSOLTZI,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JSOLITZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSOLIZT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOLZTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOLZIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOZTIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOZTLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOZITL,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOZILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOZLTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOZLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZTILSO,X,O,O,O,O,O,X,O,O,O,X,O,X,X
JZTILOS,X,O,O,O,O,X,O,O,O,O,X,O,X,X
JZTISLO,X,O,O,O,X,O,O,X,X,O,X,O,X,X
JZTISOL,X,O,O,O,X,O,O,X,O,X,X,O,X,X
JZTIOLS,X,O,O,O,O,X,O,O,O,O,X,O,X,X
JZTIOSL,X,O,O,O,X,O,O,X,O,X,X,O,X,X
JZTLISO,X,O,O,O,O,O,X,O,O,O,X,O,X,X
JZTLIOS,X,O,O,O,O,X,O,O,O,O,X,O,X,X
JZTLSIO,X,O,O,O,O,O,X,O,O,O,X,X,X,X
JZTLSOI,X,O,O,O,O,O,X,O,O,X,X,X,X,X
JZTLOIS,X,O,O,O,O,X,O,O,O,O,X,O,X,X
JZTLOSI,X,O,O,O,O,X,O,O,O,X,X,X,X,X
JZTSILO,X,O,O,O,X,O,O,X,X,O,X,O,X,X
JZTSIOL,X,O,O,O,X,O,O,X,O,X,X,O,X,X
JZTSLIO,X,O,O,O,O,O,O,X,O,O,X,X,X,X
JZTSLOI,X,O,O,O,O,O,O,X,O,X,X,X,X,X
JZTSOIL,X,O,O,O,X,O,O,X,O,X,X,O,X,X
JZTSOLI,X,O,O,O,O,O,O,X,O,X,X,X,X,X
JZTOILS,X,O,O,O,O,X,O,O,O,O,X,O,X,X
JZTOISL,X,O,O,O,X,O,O,X,O,X,X,O,X,X
JZTOLIS,X,O,O,O,O,X,O,O,O,O,X,O,X,X
JZTOLSI,X,O,O,O,O,X,O,O,O,X,X,X,X,X
JZTOSIL,X,O,O,O,X,O,O,X,O,X,X,O,X,X
JZTOSLI,X,O,O,O,O,O,O,X,O,X,X,X,X,X
JZITLSO,X,O,O,X,O,X,X,O,O,O,X,O,X,X
JZITLOS,X,X,X,X,O,X,O,O,O,O,X,O,X,X
JZITSLO,X,O,O,O,X,O,O,X,X,O,X,O,X,X
JZITSOL,X,O,O,X,X,X,O,X,O,X,X,O,X,X
JZITOLS,X,O,X,X,O,X,O,O,O,O,X,O,X,X
JZITOSL,X,O,X,X,X,X,O,X,O,X,X,O,X,X
JZILTSO,X,O,O,X,O,X,X,O,O,X,X,O,X,X
JZILTOS,X,X,X,X,O,X,O,O,O,X,X,O,X,X
JZILSTO,O,O,O,O,O,O,X,O,O,X,X,O,X,X
JZILSOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZILOTS,O,O,X,X,O,X,X,X,O,X,X,O,X,X
JZILOST,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,O,O,X,O,O,X,X,X,X,O,X,X
JZISTOL,X,O,O,X,X,X,O,X,O,X,X,O,X,X
JZISLTO,O,O,O,O,O,O,O,X,X,X,X,O,X,X
JZISLOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZISOTL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZIOTLS,O,O,X,X,X,X,X,X,O,X,X,O,X,X
JZIOTSL,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JZIOLTS,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JZIOLST,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZIOSTL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZLTISO,X,O,O,X,O,X,X,O,O,O,X,O,X,X
JZLTIOS,X,O,O,X,O,X,O,O,O,O,X,O,X,X
JZLTSIO,X,O,O,O,O,X,X,O,O,O,X,X,X,X
JZLTSOI,X,O,O,O,O,X,X,O,O,X,X,X,X,X
JZLTOIS,X,O,O,X,O,X,O,O,O,O,X,O,X,X
JZLTOSI,X,O,O,O,O,X,O,O,O,X,X,X,X,X
JZLITSO,X,O,O,X,O,X,X,O,O,X,X,O,X,X
JZLITOS,X,X,X,X,O,X,O,O,O,X,X,O,X,X
JZLISTO,O,O,O,O,O,O,X,O,O,X,X,O,X,X
JZLISOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZLIOTS,O,O,X,X,O,X,X,X,O,X,X,O,X,X
JZLIOST,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,O,O,O,O,O,X,O,O,X,X,X,X,X
JZLSTOI,X,O,O,O,O,O,X,O,O,X,X,X,X,X
JZLSITO,O,O,O,O,O,O,X,O,O,X,X,X,X,X
JZLSIOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZLSOTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZLSOIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZLOTIS,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZLOTSI,O,O,X,O,O,X,X,X,O,X,X,X,X,X
JZLOITS,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZLOIST,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZLOSTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,O,O,O,X,O,O,X,X,O,X,O,X,X
JZSTIOL,X,O,O,X,X,O,O,X,O,X,X,O,X,X
JZSTLIO,O,O,O,O,O,O,O,X,O,O,X,X,X,X
JZSTLOI,X,O,O,O,O,O,O,X,O,X,X,X,X,X
JZSTOIL,X,O,O,O,X,O,O,X,O,X,X,O,X,X
JZSTOLI,X,O,O,O,O,O,O,X,O,X,X,X,X,X
JZSITLO,O,O,O,O,X,O,O,X,X,X,X,O,X,X
JZSITOL,X,O,O,X,X,X,O,X,O,X,X,O,X,X
JZSILTO,O,O,O,O,O,O,O,X,X,X,X,O,X,X
JZSILOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZSIOTL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZSLTIO,O,O,O,O,O,O,O,X,O,X,X,X,X,X
JZSLTOI,X,O,O,O,O,O,O,X,O,X,X,X,X,X
JZSLITO,O,O,O,O,O,O,O,X,O,X,X,X,X,X
JZSLIOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZSLOTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZSLOIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZSOTIL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZSOTLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZSOITL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZSOILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZSOLTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZSOLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOTILS,O,O,X,O,O,X,X,X,O,O,X,O,X,X
JZOTISL,X,O,X,O,X,O,X,X,O,X,X,O,X,X
JZOTLIS,O,O,X,O,O,X,X,X,O,O,X,O,X,X
JZOTLSI,O,O,X,O,O,X,X,X,O,X,X,X,X,X
JZOTSIL,X,O,X,O,X,O,X,X,O,X,X,O,X,X
JZOTSLI,X,O,X,O,O,O,X,X,O,X,X,X,X,X
JZOITLS,O,O,X,X,X,X,X,X,O,X,X,O,X,X
JZOITSL,X,O,X,O,X,O,X,X,O,X,X,O,X,X
JZOILTS,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JZOILST,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOISTL,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOISLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOLTIS,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZOLTSI,O,O,X,O,O,X,X,X,O,X,X,X,X,X
JZOLITS,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZOLIST,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOLSTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOLSIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOSTIL,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOSTLI,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOSITL,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOSILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOSLTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOTILSZ,O,O,X,O,O,X,O,O,O,X,O,X,X,X
JOTILZS,O,O,X,O,O,X,O,O,O,O,X,X,X,X
JOTISLZ,O,O,X,O,X,O,O,O,X,X,O,X,X,X
JOTISZL,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOTIZLS,O,O,X,O,O,O,O,O,O,O,X,O,X,X
JOTIZSL,O,O,X,O,X,O,O,X,O,O,X,O,X,X
JOTLISZ,O,O,X,O,O,X,O,O,O,X,O,X,X,X
JOTLIZS,O,O,X,O,O,X,O,O,O,O,X,X,X,X
JOTLSIZ,O,O,X,O,O,O,O,O,O,X,O,X,X,X
JOTLSZI,O,O,X,O,O,O,O,O,O,X,O,X,X,X
JOTLZIS,O,O,X,O,O,O,O,O,O,O,X,O,X,X
JOTLZSI,O,O,X,O,O,O,O,O,O,O,O,X,X,X
JOTSILZ,O,O,X,O,X,O,O,O,X,X,O,X,X,X
JOTSIZL,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOTSLIZ,O,O,X,O,O,O,O,O,O,X,O,X,X,X
JOTSLZI,O,O,X,O,O,O,O,O,O,X,O,X,X,X
JOTSZIL,O,O,X,O,X,O,O,X,O,X,O,O,X,X
JOTSZLI,O,O,X,O,O,O,O,X,O,X,O,X,X,X
JOTZILS,O,O,X,O,O,O,O,O,O,O,X,O,X,X
JOTZISL,O,O,X,O,X,O,O,X,O,O,X,O,X,X
JOTZLIS,O,O,X,O,O,O,O,O,O,O,X,O,X,X
JOTZLSI,O,O,X,O,O,O,O,O,O,O,O,X,X,X
JOTZSIL,O,O,X,O,X,O,O,X,O,O,O,O,X,X
JOTZSLI,O,O,X,O,O,O,O,X,O,O,O,X,X,X
JOITLSZ,X,O,X,O,X,X,O,O,X,X,X,X,X,X
JOITLZS,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JOITSLZ,X,O,X,O,X,X,O,O,X,X,X,X,X,X
JOITSZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOITZLS,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JOITZSL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOILTSZ,X,O,X,O,O,X,O,O,X,X,X,X,X,X
JOILTZS,O,X,X,X,O,X,O,O,X,X,X,X,X,X
JOILSTZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JOILSZT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOILZTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOILZST,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JOISTLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JOISTZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOISLTZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JOISLZT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOISZTL,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JOISZLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOIZTLS,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOIZTSL,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JOIZLTS,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JOIZLST,O,O,O,O,X,O,X,X,X,O,X,X,X,X
JOIZSTL,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JOIZSLT,O,O,O,O,X,O,X,X,X,O,X,X,X,X
JOLTISZ,O,O,X,O,O,X,O,O,O,X,O,X,X,X
JOLTIZS,O,O,X,O,O,X,O,O,O,X,X,X,X,X
JOLTSIZ,O,O,X,O,O,X,O,O,O,X,O,X,X,X
JOLTSZI,O,O,X,O,O,X,O,O,O,X,O,X,X,X
JOLTZIS,O,O,X,O,O,X,O,O,O,X,X,X,X,X
JOLTZSI,O,O,X,O,O,X,O,O,O,X,O,X,X,X
JOLITSZ,X,O,X,O,O,X,O,O,O,X,X,X,X,X
JOLITZS,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JOLISTZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JOLISZT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOLIZTS,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLIZST,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLSTIZ,O,O,X,O,X,X,X,O,X,X,O,X,X,X
JOLSTZI,O,O,X,O,X,O,X,O,X,X,O,X,X,X
JOLSITZ,O,O,X,O,X,X,X,O,X,X,O,X,X,X
JOLSIZT,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOLSZTI,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOLSZIT,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOLZTIS,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLZTSI,O,O,X,O,X,X,X,X,O,X,X,X,X,X
JOLZITS,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLZIST,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOLZSTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOLZSIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOSTILZ,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOSTIZL,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOSTLIZ,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOSTLZI,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOSTZIL,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOSTZLI,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOSITLZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X
JOSITZL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSILTZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X
JOSILZT,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOSIZTL,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JOSIZLT,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOSLTIZ,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOSLTZI,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOSLITZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X
JOSLIZT,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOSLZTI,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOSLZIT,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOSZTIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOSZTLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOSZITL,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOSZILT,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOSZLTI,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOSZLIT,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOZTILS,O,O,X,O,O,O,X,X,O,O,X,O,X,X
JOZTISL,O,O,X,O,X,O,X,X,O,O,X,O,X,X
JOZTLIS,O,O,X,O,O,O,X,X,O,O,X,O,X,X
JOZTLSI,O,O,X,O,O,O,X,X,O,O,X,X,X,X
JOZTSIL,O,O,X,O,X,O,X,X,O,O,X,O,X,X
JOZTSLI,O,O,X,O,O,O,X,X,O,O,X,X,X,X
JOZITLS,O,O,X,X,X,X,X,X,O,O,X,O,X,X
JOZITSL,X,O,X,O,X,O,X,X,O,O,X,O,X,X
JOZILTS,O,O,X,X,O,X,X,X,X,O,X,O,X,X
JOZILST,O,O,O,O,X,O,X,X,X,O,X,X,X,X
JOZISTL,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JOZISLT,O,O,O,O,X,O,X,X,X,O,X,X,X,X
JOZLTIS,O,O,X,X,O,X,X,X,O,O,X,X,X,X
JOZLTSI,O,O,X,O,O,X,X,X,O,O,X,X,X,X
JOZLITS,O,O,X,X,O,X,X,X,O,O,X,X,X,X
JOZLIST,O,O,O,O,X,O,X,X,X,O,X,X,X,X
JOZLSTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOZLSIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOZSTIL,X,O,O,O,X,O,X,X,X,O,X,X,X,X
JOZSTLI,X,O,O,O,X,O,X,X,X,O,X,X,X,X
JOZSITL,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JOZSILT,O,O,O,O,X,O,X,X,X,O,X,X,X,X
JOZSLTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOZSLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
STILJZO,O,X,O,X,X,O,O,X,X,X,X,X,O,O
STILJOZ,O,X,O,X,X,X,O,X,X,X,X,X,O,O
STILZJO,O,X,O,X,X,O,X,X,X,O,X,O,O,O
STILZOJ,O,X,O,X,X,O,X,X,X,X,X,O,O,O
STILOJZ,O,X,X,X,X,X,O,X,X,X,X,X,O,O
STILOZJ,O,X,O,X,X,X,X,X,X,X,X,O,O,X
STIJLZO,O,X,O,X,X,O,O,X,X,X,X,X,O,O
STIJLOZ,O,X,O,X,X,X,O,X,X,X,X,X,O,O
STIJZLO,O,X,O,X,X,O,O,X,X,X,X,X,O,O
