sequence,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBliB5oBzlBet?BCsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiB6tBlr?BzsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nBOtB6t?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBCiBxnBToBlr?BWyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nB6tBOt?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBxiBzlBGoBCs?BVyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiBlrBCt?BTtB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhFlhB5nBzlB8rB6t?BOtB,v115@9gB8HeA8IeC8GeE8AeA8MeGDJvhFRlBzmBqsB/tB0l?BlrB
TJOLZSI,O,O,O,O,O,O,O,X,X
TJOSILZ,O,X,X,X,X,O,X,X,X
TJOSIZL,O,O,O,X,X,O,X,X,X
TJOSLIZ,O,O,X,X,X,O,X,X,X
TJOSLZI,O,O,X,X,X,O,X,X,X
TJOSZIL,O,O,O,X,X,O,X,X,X
TJOSZLI,O,O,O,X,X,O,X,X,X
TJOZILS,O,O,O,O,O,O,X,X,X
TJOZISL,O,O,O,O,O,O,O,X,X
TJOZLIS,O,O,O,O,O,O,O,X,X
TJOZLSI,O,O,O,O,O,O,O,X,X
TJOZSIL,O,O,O,O,O,O,O,X,X
TJOZSLI,O,O,O,O,O,O,O,X,X
TSILJZO,X,X,X,X,X,O,X,X,X
TSILJOZ,X,X,X,X,X,O,X,X,O
TSILZJO,X,X,X,O,O,O,X,X,X
TSILZOJ,X,X,X,O,O,O,X,X,X
TSILOJZ,X,X,X,X,X,X,X,X,O
TSILOZJ,X,X,X,X,O,X,X,O,X
TSIJLZO,O,X,X,X,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,O,X,X,O
TSIJZLO,X,X,O,X,X,X,X,X,X
TSIJZOL,O,X,O,X,X,O,X,X,X
TSIJOLZ,O,X,X,X,X,O,X,X,X
TSIJOZL,O,X,O,X,X,O,X,X,X
TSIZLJO,X,X,O,O,O,X,X,X,X
TSIZLOJ,X,X,O,O,O,X,X,X,X
TSIZJLO,X,X,O,O,O,X,X,X,X
TSIZJOL,X,X,O,X,O,X,X,X,X
TSIZOLJ,X,X,O,O,O,X,X,X,X
TSIZOJL,X,X,O,X,O,X,X,X,X
TSIOLJZ,X,X,X,X,X,O,X,X,X
