sequence,v115@RhC8GeF8AeC8JeT/IvhF/lBRhBGjBimBUoBFsB,v115@RhC8GeF8AeC8JeT/IvhFmhBfoB6oBxlB0lBFsB,v115@RhC8GeF8AeC8Je2EJvhFRgBUiBFjBzlBfsBSyB,v115@RhC8GeF8AeC8JeT/IvhFxgBXjB0lBlmBStBOsB,v115@RhC8GeF8AeC8Jei/IvhFUiBGjBRlBfsBVyBzqB,v115@RhC8GeF8AeC8JeT/IvhFxgB+oB0lBlmB3nBisB,v115@RhC8GeF8AeC8JeT/IvhF6oBxlBmnBllB3mBcsB
IZTOSJL,O,O,X,X,X,O,X
IZLTJSO,X,X,X,O,O,O,X
IZLTJOS,X,X,X,O,X,O,X
IZLTSJO,X,X,X,O,O,X,X
IZLTSOJ,X,X,X,O,O,X,X
IZLTOJS,X,X,X,O,X,O,X
IZLTOSJ,X,X,X,O,X,X,X
IZLJTSO,X,X,X,O,X,O,X
IZLJTOS,X,X,X,O,X,O,X
IZLJSTO,O,X,X,X,X,X,X
IZLJSOT,O,X,X,X,X,X,X
IZLJOTS,X,X,X,O,X,O,O
IZLJOST,O,X,X,X,X,X,O
IZLSTJO,O,X,X,O,O,X,X
IZLSTOJ,O,X,X,O,O,X,X
IZLSJTO,O,X,X,X,O,X,X
IZLSJOT,O,O,X,X,X,X,X
IZLSOTJ,O,X,X,O,O,X,X
IZLSOJT,O,O,X,X,X,X,X
IZLOTJS,X,X,X,O,X,O,X
IZLOTSJ,X,X,X,O,X,X,X
IZLOJTS,X,X,X,O,X,O,O
IZLOJST,O,X,X,X,X,X,O
IZLOSTJ,O,X,X,O,X,X,X
IZLOSJT,O,O,X,X,X,X,X
IZJTLSO,O,X,X,O,X,O,X
IZJTLOS,O,X,X,O,X,O,X
IZJTSLO,O,X,X,X,X,O,X
IZJTSOL,O,X,X,X,X,O,X
IZJTOLS,O,X,X,O,X,O,X
IZJTOSL,O,X,X,X,X,O,X
IZJLTSO,X,X,X,O,X,O,X
IZJLTOS,X,X,X,O,X,O,X
IZJLSTO,O,X,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X,X
IZJLOTS,X,X,X,O,X,O,O
IZJLOST,O,X,X,X,X,X,O
IZJSTLO,O,X,X,X,X,O,X
IZJSTOL,O,X,X,X,X,O,X
IZJSLTO,O,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X
IZJSOTL,O,X,X,X,X,O,X
IZJSOLT,O,O,X,X,X,X,X
IZJOTLS,O,X,X,O,X,O,X
IZJOTSL,O,X,X,X,X,O,X
IZJOLTS,X,X,X,O,X,O,O
IZJOLST,O,X,X,X,X,X,O
IZJOSTL,O,X,X,X,X,O,X
IZJOSLT,O,O,X,X,X,X,X
IZSTLJO,O,X,X,O,O,X,X
IZSTLOJ,O,X,X,O,O,X,X
IZSTJLO,O,X,X,X,O,O,X
IZSTJOL,O,X,X,X,O,O,X
IZSTOLJ,O,X,X,O,O,X,X
IZSTOJL,O,X,X,X,O,O,X
IZSLTJO,O,X,X,O,O,X,X
IZSLTOJ,O,X,X,O,O,X,X
IZSLJTO,O,X,X,X,O,X,X
IZSLJOT,O,O,X,X,X,X,X
IZSLOTJ,O,X,X,O,O,X,X
IZSLOJT,O,O,X,X,X,X,X
IZSJTLO,O,X,X,X,O,O,X
IZSJTOL,O,X,X,X,O,O,X
IZSJLTO,O,X,X,X,O,X,X
IZSJLOT,O,O,X,X,X,X,X
IZSJOTL,O,X,X,X,X,O,X
IZSJOLT,O,O,X,X,X,X,X
IZSOTLJ,O,X,X,O,O,X,X
IZSOTJL,O,X,X,X,O,O,X
IZSOLTJ,O,X,X,O,O,X,X
IZSOLJT,O,O,X,X,X,X,X
IZSOJTL,O,X,X,X,X,O,X
IZSOJLT,O,O,X,X,X,X,X
IZOTLJS,O,X,X,O,X,O,X
IZOTLSJ,O,X,X,O,X,X,X
IZOTJLS,O,X,X,O,X,O,X
IZOTJSL,O,O,X,X,X,O,X
IZOTSLJ,O,O,X,O,X,X,X
IZOTSJL,O,O,X,X,X,O,X
IZOLTJS,X,X,X,O,X,O,X
IZOLTSJ,X,X,X,O,X,X,X
IZOLJTS,X,X,X,O,X,O,O
IZOLJST,O,X,X,X,X,X,O
IZOLSTJ,O,X,X,O,X,X,X
IZOLSJT,O,O,X,X,X,X,X
IZOJTLS,O,X,X,O,X,O,X
IZOJTSL,O,X,X,X,X,O,X
IZOJLTS,X,X,X,O,X,O,O
IZOJLST,O,X,X,X,X,X,O
IZOJSTL,O,X,X,X,X,O,X
IZOJSLT,O,O,X,X,X,X,X
IZOSTLJ,O,X,X,O,X,X,X
IZOSTJL,O,X,X,X,X,O,X
IZOSLTJ,O,X,X,O,X,X,X
IZOSLJT,O,O,X,X,X,X,X
IZOSJTL,O,X,X,X,X,O,X
IZOSJLT,O,O,X,X,X,X,X
IOTLJSZ,X,O,O,X,O,X,O
IOTLJZS,X,X,O,X,X,X,O
IOTLSJZ,O,O,O,X,O,X,X
IOTLSZJ,O,O,O,O,O,X,X
IOTLZJS,O,X,O,O,X,X,X
IOTLZSJ,O,X,O,O,X,X,X
IOTJLSZ,X,O,O,X,O,X,O
IOTJLZS,X,X,O,X,X,X,O
IOTJSLZ,X,O,O,X,O,X,X
IOTJSZL,X,O,O,X,O,O,X
IOTJZLS,X,X,X,X,X,O,X
IOTJZSL,X,O,X,X,X,O,X
IOTSLJZ,O,O,O,X,O,X,X
IOTSLZJ,O,O,O,X,O,X,X
IOTSJLZ,O,O,O,X,O,X,X
IOTSJZL,O,O,O,X,O,X,X
IOTSZLJ,O,O,O,X,O,X,X
IOTSZJL,O,O,O,X,O,X,X
IOTZLJS,O,X,X,O,X,O,X
IOTZLSJ,O,X,X,O,X,X,X
IOTZJLS,O,X,X,O,X,O,X
IOTZJSL,O,O,X,X,X,O,X
IOTZSLJ,O,O,X,O,X,X,X
IOTZSJL,O,O,X,X,X,O,X
IOLTJSZ,X,O,O,X,O,X,O
IOLTJZS,X,X,O,X,X,X,O
IOLTSJZ,X,O,O,X,O,X,X
IOLTSZJ,X,O,O,O,O,X,X
IOLTZJS,X,X,O,O,X,X,X
IOLTZSJ,X,X,O,O,X,X,X
IOLJTSZ,X,X,O,X,X,X,O
IOLJTZS,X,X,O,X,X,X,O
IOLJSTZ,X,O,O,X,X,X,O
IOLJSZT,X,O,O,X,X,X,O
IOLJZTS,X,X,O,X,X,X,O
IOLJZST,X,X,O,X,X,X,O
IOLSTJZ,X,O,O,X,O,X,X
IOLSTZJ,O,O,O,O,O,X,X
IOLSJTZ,X,O,O,X,X,X,O
IOLSJZT,O,O,O,X,X,X,O
IOLSZTJ,O,X,O,O,O,X,X
IOLSZJT,O,O,O,X,X,X,X
IOLZTJS,X,X,O,O,X,X,X
IOLZTSJ,X,X,O,O,X,X,X
IOLZJTS,X,X,O,O,X,X,O
IOLZJST,O,X,O,X,X,X,O
IOLZSTJ,O,X,O,O,X,X,X
IOLZSJT,O,O,O,X,X,X,X
IOJTLSZ,X,O,O,X,X,X,O
IOJTLZS,X,X,O,X,X,X,O
IOJTSLZ,X,O,O,X,X,X,X
IOJTSZL,X,O,O,X,X,O,X
IOJTZLS,X,X,X,X,X,O,X
IOJTZSL,X,O,X,X,X,O,X
IOJLTSZ,X,X,O,X,X,X,O
IOJLTZS,X,X,O,X,X,X,O
IOJLSTZ,X,O,O,X,X,X,O
IOJLSZT,X,O,O,X,X,X,O
IOJLZTS,X,X,O,X,X,X,O
IOJLZST,X,X,O,X,X,X,O
IOJSTLZ,X,O,O,X,X,X,X
IOJSTZL,X,X,O,X,X,O,X
IOJSLTZ,X,O,O,X,X,X,O
IOJSLZT,X,O,O,X,X,X,O
IOJSZTL,X,X,O,X,X,O,X
IOJSZLT,X,O,O,X,X,X,X
IOJZTLS,X,X,X,X,X,O,X
IOJZTSL,X,X,X,X,X,O,X
IOJZLTS,X,X,O,X,X,O,O
IOJZLST,X,X,O,X,X,X,O
IOJZSTL,X,X,O,X,X,O,X
IOJZSLT,X,O,O,X,X,X,X
IOSTLJZ,O,O,O,X,O,X,X
IOSTLZJ,O,O,O,X,O,X,X
IOSTJLZ,O,O,O,X,O,X,X
IOSTJZL,O,O,O,X,O,X,X
IOSTZLJ,O,O,O,X,O,X,X
IOSTZJL,O,O,O,X,O,X,X
IOSLTJZ,O,O,O,X,O,X,X
IOSLTZJ,O,O,O,X,O,X,X
IOSLJTZ,X,O,O,X,X,X,O
IOSLJZT,O,O,O,X,X,X,O
IOSLZTJ,O,X,O,X,O,X,X
IOSLZJT,O,O,O,X,X,X,X
IOSJTLZ,O,O,O,X,X,X,X
IOSJTZL,O,X,O,X,X,X,X
IOSJLTZ,X,O,O,X,X,X,O
IOSJLZT,O,O,O,X,X,X,O
IOSJZTL,O,X,O,X,X,X,X
IOSJZLT,O,O,O,X,X,X,X
IOSZTLJ,O,X,O,X,O,X,X
IOSZTJL,O,X,O,X,O,X,X
IOSZLTJ,O,X,O,X,O,X,X
IOSZLJT,O,O,O,X,X,X,X
IOSZJTL,O,X,O,X,X,X,X
IOSZJLT,O,O,O,X,X,X,X
IOZTLJS,O,X,X,O,X,O,X
IOZTLSJ,O,X,X,O,X,X,X
IOZTJLS,O,X,X,O,X,O,X
IOZTJSL,O,O,X,X,X,O,X
IOZTSLJ,O,O,X,O,X,X,X
IOZTSJL,O,O,X,X,X,O,X
IOZLTJS,X,X,O,O,X,O,X
IOZLTSJ,X,X,O,O,X,X,X
IOZLJTS,X,X,O,O,X,O,O
IOZLJST,O,X,O,X,X,X,O
IOZLSTJ,O,X,O,O,X,X,X
IOZLSJT,O,O,O,X,X,X,X
IOZJTLS,O,X,X,O,X,O,X
IOZJTSL,O,X,X,X,X,O,X
IOZJLTS,X,X,O,O,X,O,O
IOZJLST,O,X,O,X,X,X,O
IOZJSTL,O,X,O,X,X,O,X
IOZJSLT,O,O,O,X,X,X,X
IOZSTLJ,O,X,O,O,X,X,X
IOZSTJL,O,X,O,X,X,O,X
IOZSLTJ,O,X,O,O,X,X,X
IOZSLJT,O,O,O,X,X,X,X
IOZSJTL,O,X,O,X,X,O,X
IOZSJLT,O,O,O,X,X,X,X
LTIJSZO,X,O,O,X,O,X,X
LTIJSOZ,X,O,O,X,O,X,X
LTIJZSO,X,X,O,X,O,X,X
LTIJZOS,X,X,O,X,X,X,X
LTIJOSZ,X,O,O,X,O,X,O
LTIJOZS,X,X,O,X,X,X,O
LTISJZO,O,O,O,X,O,X,X
LTISJOZ,O,O,O,X,O,X,X
LTISZJO,O,O,O,O,O,X,X
LTISZOJ,O,O,O,O,O,X,X
LTISOJZ,O,O,O,X,O,X,X
LTISOZJ,O,O,O,O,O,X,X
LTIZJSO,O,X,X,O,O,X,X
LTIZJOS,O,X,X,O,X,X,X
LTIZSJO,O,X,X,O,O,X,X
LTIZSOJ,O,X,X,O,O,X,X
LTIZOJS,O,X,X,O,X,X,X
LTIZOSJ,O,X,X,O,X,X,X
LTIOJSZ,X,O,O,X,O,X,O
LTIOJZS,X,X,O,X,X,X,O
LTIOSJZ,O,O,O,X,O,X,X
LTIOSZJ,O,O,O,O,O,X,X
LTIOZJS,O,X,O,O,X,X,X
LTIOZSJ,O,X,O,O,X,X,X
LTJISZO,X,O,O,X,O,X,X
LTJISOZ,X,O,O,X,O,X,X
LTJIZSO,X,X,O,X,O,X,X
LTJIZOS,X,X,O,X,X,X,X
LTJIOSZ,X,O,O,X,O,X,O
LTJIOZS,X,X,O,X,X,X,O
LTJSIZO,O,O,O,X,O,X,X
LTJSIOZ,O,O,O,X,O,X,X
LTJSZIO,O,O,O,O,O,O,X
LTJSZOI,O,O,O,O,O,O,X
LTJSOIZ,O,O,O,X,O,X,X
LTJSOZI,O,O,O,O,O,O,X
LTJZISO,O,X,O,O,O,O,X
LTJZIOS,O,X,O,O,X,O,X
LTJZSIO,O,X,O,O,O,O,X
LTJZSOI,O,X,O,O,O,O,X
LTJZOIS,O,X,O,O,X,O,X
LTJZOSI,O,X,O,O,X,O,X
LTJOISZ,X,O,O,X,O,X,O
LTJOIZS,X,X,O,X,X,X,O
LTJOSIZ,O,O,O,X,O,X,X
LTJOSZI,O,O,O,O,O,O,X
LTJOZIS,O,X,O,O,X,O,X
LTJOZSI,O,X,O,O,X,O,X
LTSIJZO,O,O,O,X,O,X,X
LTSIJOZ,O,O,O,X,O,X,X
LTSIZJO,O,O,O,O,O,X,X
LTSIZOJ,O,O,O,O,O,X,X
LTSIOJZ,O,O,O,X,O,X,X
LTSIOZJ,O,O,O,O,O,X,X
LTSJIZO,O,O,O,X,O,X,X
LTSJIOZ,O,O,O,X,O,X,X
LTSJZIO,O,O,O,O,O,X,X
LTSJZOI,O,O,O,O,O,X,X
LTSJOIZ,O,O,O,X,O,X,X
LTSJOZI,O,O,O,O,O,X,X
LTSZIJO,O,O,O,O,O,X,X
LTSZIOJ,O,O,O,O,O,X,X
LTSZJIO,O,O,O,O,O,X,X
LTSZJOI,O,O,O,O,O,X,X
LTSZOIJ,O,O,O,O,O,X,X
LTSZOJI,O,O,O,O,O,X,X
LTSOIJZ,O,O,O,X,O,X,X
LTSOIZJ,O,O,O,O,O,X,X
LTSOJIZ,O,O,O,X,O,X,X
LTSOJZI,O,O,O,O,O,X,X
LTSOZIJ,O,O,O,O,O,X,X
LTSOZJI,O,O,O,O,O,X,X
LTZIJSO,O,X,X,O,O,O,X
LTZIJOS,O,X,X,O,X,O,X
LTZISJO,O,X,X,O,O,X,X
LTZISOJ,O,X,X,O,O,X,X
LTZIOJS,O,X,X,O,X,O,X
LTZIOSJ,O,X,X,O,X,X,X
LTZJISO,O,X,O,O,O,O,X
LTZJIOS,O,X,O,O,X,O,X
LTZJSIO,O,X,O,O,O,O,X
LTZJSOI,O,X,O,O,O,O,X
LTZJOIS,O,X,O,O,X,O,X
LTZJOSI,O,X,O,O,X,O,X
LTZSIJO,O,X,O,O,O,X,X
LTZSIOJ,O,X,O,O,O,X,X
LTZSJIO,O,X,O,O,O,X,X
LTZSJOI,O,X,O,O,O,X,X
LTZSOIJ,O,X,O,O,O,X,X
LTZSOJI,O,X,O,O,O,X,X
LTZOIJS,O,X,O,O,X,O,X
LTZOISJ,O,X,O,O,X,X,X
LTZOJIS,O,X,O,O,X,O,X
LTZOJSI,O,X,O,O,X,O,X
LTZOSIJ,O,X,O,O,X,X,X
LTZOSJI,O,X,O,O,X,X,X
LTOIJSZ,X,O,O,X,O,X,O
LTOIJZS,X,X,O,X,X,X,O
LTOISJZ,O,O,O,X,O,X,X
LTOISZJ,O,O,O,O,O,X,X
LTOIZJS,O,X,O,O,X,X,X
LTOIZSJ,O,X,O,O,X,X,X
LTOJISZ,X,O,O,X,O,X,O
LTOJIZS,X,X,O,X,X,X,O
LTOJSIZ,O,O,O,X,O,X,X
LTOJSZI,O,O,O,O,O,O,X
LTOJZIS,O,X,O,O,X,O,X
LTOJZSI,O,X,O,O,X,O,X
LTOSIJZ,O,O,O,X,O,X,X
LTOSIZJ,O,O,O,O,O,X,X
LTOSJIZ,O,O,O,X,O,X,X
LTOSJZI,O,O,O,O,O,X,X
LTOSZIJ,O,O,O,O,O,X,X
LTOSZJI,O,O,O,O,O,X,X
LTOZIJS,O,X,O,O,X,O,X
LTOZISJ,O,X,O,O,X,X,X
LTOZJIS,O,X,O,O,X,O,X
LTOZJSI,O,X,O,O,X,O,X
LTOZSIJ,O,X,O,O,X,X,X
LTOZSJI,O,X,O,O,X,X,X
LITJSZO,X,O,O,X,O,X,X
LITJSOZ,X,O,O,X,O,X,X
LITJZSO,X,X,O,X,O,X,X
LITJZOS,X,X,O,X,X,X,X
LITJOSZ,X,O,O,X,O,X,O
LITJOZS,X,X,O,X,X,X,O
LITSJZO,X,O,O,X,O,X,X
LITSJOZ,X,O,O,X,O,X,X
LITSZJO,X,O,O,O,O,X,X
LITSZOJ,X,O,O,O,O,X,X
LITSOJZ,X,O,O,X,O,X,X
LITSOZJ,X,O,O,O,O,X,X
LITZJSO,X,X,X,O,O,X,X
LITZJOS,X,X,X,O,X,X,X
LITZSJO,X,X,X,O,O,X,X
LITZSOJ,X,X,X,O,O,X,X
LITZOJS,X,X,X,O,X,X,X
LITZOSJ,X,X,X,O,X,X,X
LITOJSZ,X,O,O,X,O,X,O
LITOJZS,X,X,O,X,X,X,O
LITOSJZ,X,O,O,X,O,X,X
LITOSZJ,X,O,O,O,O,X,X
LITOZJS,X,X,O,O,X,X,X
LITOZSJ,X,X,O,O,X,X,X
LIJTSZO,X,X,O,X,O,X,X
LIJTSOZ,X,X,O,X,O,X,X
LIJTZSO,X,X,O,X,O,X,X
LIJTZOS,X,X,O,X,X,X,X
LIJTOSZ,X,X,O,X,O,X,O
LIJTOZS,X,X,O,X,X,X,O
LIJSTZO,X,X,O,X,O,X,X
LIJSTOZ,X,O,O,X,O,X,X
LIJSZTO,X,X,O,X,O,X,X
LIJSZOT,X,O,O,X,X,X,X
LIJSOTZ,X,O,O,X,X,X,O
LIJSOZT,X,O,O,X,X,X,O
LIJZTSO,X,X,O,X,X,X,X
LIJZTOS,X,X,O,X,X,X,X
LIJZSTO,X,X,O,X,X,X,X
LIJZSOT,X,X,O,X,X,X,X
LIJZOTS,X,X,O,X,X,X,O
LIJZOST,X,X,O,X,X,X,O
LIJOTSZ,X,X,O,X,X,X,O
LIJOTZS,X,X,O,X,X,X,O
LIJOSTZ,X,O,O,X,X,X,O
LIJOSZT,X,O,O,X,X,X,O
LIJOZTS,X,X,O,X,X,X,O
LIJOZST,X,X,O,X,X,X,O
LISTJZO,X,O,O,X,O,X,X
LISTJOZ,X,O,O,X,O,X,X
LISTZJO,O,O,O,O,O,X,X
LISTZOJ,O,O,O,O,O,X,X
LISTOJZ,X,O,O,X,O,X,X
LISTOZJ,O,O,O,O,O,X,X
LISJTZO,X,X,O,X,O,X,X
LISJTOZ,X,O,O,X,O,X,X
LISJZTO,O,X,O,X,O,X,X
LISJZOT,O,O,O,X,X,X,X
LISJOTZ,X,O,O,X,X,X,O
LISJOZT,O,O,O,X,X,X,O
LISZTJO,O,X,O,O,O,X,X
LISZTOJ,O,X,O,O,O,X,X
LISZJTO,O,X,O,X,O,X,X
LISZJOT,O,O,O,X,X,X,X
LISZOTJ,O,X,O,O,O,X,X
LISZOJT,O,O,O,X,X,X,X
LISOTJZ,X,O,O,X,O,X,X
LISOTZJ,O,O,O,O,O,X,X
LISOJTZ,X,O,O,X,X,X,O
LISOJZT,O,O,O,X,X,X,O
LISOZTJ,O,X,O,O,O,X,X
LISOZJT,O,O,O,X,X,X,X
LIZTJSO,X,X,X,O,O,X,X
LIZTJOS,X,X,X,O,X,X,X
LIZTSJO,X,X,X,O,O,X,X
LIZTSOJ,X,X,X,O,O,X,X
LIZTOJS,X,X,X,O,X,X,X
LIZTOSJ,X,X,X,O,X,X,X
LIZJTSO,X,X,X,O,X,X,X
LIZJTOS,X,X,X,O,X,X,X
LIZJSTO,O,X,X,X,X,X,X
LIZJSOT,O,X,X,X,X,X,X
LIZJOTS,X,X,X,O,X,X,O
LIZJOST,O,X,X,X,X,X,O
LIZSTJO,O,X,X,O,O,X,X
LIZSTOJ,O,X,X,O,O,X,X
LIZSJTO,O,X,X,X,O,X,X
LIZSJOT,O,O,X,X,X,X,X
LIZSOTJ,O,X,X,O,O,X,X
LIZSOJT,O,O,X,X,X,X,X
LIZOTJS,X,X,X,O,X,X,X
LIZOTSJ,X,X,X,O,X,X,X
LIZOJTS,X,X,X,O,X,X,O
LIZOJST,O,X,X,X,X,X,O
LIZOSTJ,O,X,X,O,X,X,X
LIZOSJT,O,O,X,X,X,X,X
LIOTJSZ,X,O,O,X,O,X,O
LIOTJZS,X,X,O,X,X,X,O
LIOTSJZ,X,O,O,X,O,X,X
LIOTSZJ,X,O,O,O,O,X,X
LIOTZJS,X,X,O,O,X,X,X
LIOTZSJ,X,X,O,O,X,X,X
LIOJTSZ,X,X,O,X,X,X,O
LIOJTZS,X,X,O,X,X,X,O
LIOJSTZ,X,O,O,X,X,X,O
LIOJSZT,X,O,O,X,X,X,O
LIOJZTS,X,X,O,X,X,X,O
LIOJZST,X,X,O,X,X,X,O
LIOSTJZ,X,O,O,X,O,X,X
LIOSTZJ,O,O,O,O,O,X,X
LIOSJTZ,X,O,O,X,X,X,O
LIOSJZT,O,O,O,X,X,X,O
LIOSZTJ,O,X,O,O,O,X,X
LIOSZJT,O,O,O,X,X,X,X
LIOZTJS,X,X,O,O,X,X,X
LIOZTSJ,X,X,O,O,X,X,X
LIOZJTS,X,X,O,O,X,X,O
LIOZJST,O,X,O,X,X,X,O
LIOZSTJ,O,X,O,O,X,X,X
LIOZSJT,O,O,O,X,X,X,X
LJTISZO,X,X,O,X,O,X,X
LJTISOZ,X,X,O,X,O,X,X
LJTIZSO,X,X,O,X,O,X,X
LJTIZOS,X,X,O,X,X,X,X
LJTIOSZ,X,X,O,X,O,X,O
LJTIOZS,X,X,O,X,X,X,O
LJTSIZO,X,X,O,X,O,X,X
LJTSIOZ,X,X,O,X,O,X,X
LJTSZIO,X,X,O,O,O,O,X
LJTSZOI,X,X,O,O,O,O,X
LJTSOIZ,X,X,O,X,O,X,X
LJTSOZI,X,X,O,O,O,O,X
LJTZISO,X,X,O,O,O,O,X
LJTZIOS,X,X,O,O,X,O,X
LJTZSIO,X,X,O,O,O,O,X
LJTZSOI,X,X,O,O,O,O,X
LJTZOIS,X,X,O,O,X,O,X
LJTZOSI,X,X,O,O,X,O,X
LJTOISZ,X,X,O,X,O,X,O
LJTOIZS,X,X,O,X,X,X,O
LJTOSIZ,X,X,O,X,O,X,X
LJTOSZI,X,X,O,O,O,O,X
LJTOZIS,X,X,O,O,X,O,X
LJTOZSI,X,X,O,O,X,O,X
LJITSZO,X,X,O,X,O,X,X
LJITSOZ,X,X,O,X,O,X,X
LJITZSO,X,X,O,X,O,X,X
LJITZOS,X,X,O,X,X,X,X
LJITOSZ,X,X,O,X,O,X,O
LJITOZS,X,X,O,X,X,X,O
LJISTZO,X,X,O,X,O,X,X
LJISTOZ,X,O,O,X,O,X,X
LJISZTO,X,X,O,X,O,X,X
LJISZOT,X,O,O,X,X,X,X
LJISOTZ,X,O,O,X,X,X,O
LJISOZT,X,O,O,X,X,X,O
LJIZTSO,X,X,O,X,X,X,X
LJIZTOS,X,X,O,X,X,X,X
LJIZSTO,X,X,O,X,X,X,X
LJIZSOT,X,X,O,X,X,X,X
LJIZOTS,X,X,O,X,X,X,O
LJIZOST,X,X,O,X,X,X,O
LJIOTSZ,X,X,O,X,X,X,O
LJIOTZS,X,X,O,X,X,X,O
LJIOSTZ,X,O,O,X,X,X,O
LJIOSZT,X,O,O,X,X,X,O
LJIOZTS,X,X,O,X,X,X,O
LJIOZST,X,X,O,X,X,X,O
LJSTIZO,X,O,O,X,O,X,X
LJSTIOZ,X,O,O,X,O,X,X
LJSTZIO,X,O,O,O,O,O,X
LJSTZOI,X,O,O,O,O,O,X
LJSTOIZ,X,O,O,X,O,X,X
LJSTOZI,X,O,O,O,O,O,X
LJSITZO,X,X,O,X,O,X,X
LJSITOZ,X,O,O,X,O,X,X
LJSIZTO,O,X,O,X,O,X,X
LJSIZOT,O,O,O,X,X,X,X
LJSIOTZ,X,O,O,X,X,X,O
LJSIOZT,O,O,O,X,X,X,O
LJSZTIO,O,X,O,O,O,O,X
LJSZTOI,O,X,O,O,O,O,X
LJSZITO,O,X,O,X,O,X,X
LJSZIOT,O,X,O,X,X,X,X
LJSZOTI,O,X,O,O,X,O,X
LJSZOIT,O,X,O,X,X,X,X
LJSOTIZ,X,O,O,X,X,X,X
LJSOTZI,X,O,O,O,X,O,X
LJSOITZ,X,O,O,X,X,X,O
LJSOIZT,O,O,O,X,X,X,O
LJSOZTI,O,X,O,O,X,O,X
LJSOZIT,O,X,O,X,X,X,X
LJZTISO,X,X,O,O,X,O,X
LJZTIOS,X,X,O,O,X,O,X
LJZTSIO,O,X,O,O,X,O,X
LJZTSOI,O,X,O,O,X,O,X
LJZTOIS,X,X,O,O,X,O,X
LJZTOSI,O,X,O,O,X,O,X
LJZITSO,X,X,O,O,X,O,X
LJZITOS,X,X,O,O,X,O,X
LJZISTO,O,X,O,X,X,X,X
LJZISOT,O,X,O,X,X,X,X
LJZIOTS,X,X,O,O,X,O,O
LJZIOST,O,X,O,X,X,X,O
LJZSTIO,O,X,O,O,X,O,X
LJZSTOI,O,X,O,O,X,O,X
LJZSITO,O,X,O,X,X,X,X
LJZSIOT,O,X,O,X,X,X,X
LJZSOTI,O,X,O,O,X,O,X
LJZSOIT,O,X,O,X,X,X,X
LJZOTIS,X,X,O,O,X,O,X
LJZOTSI,O,X,O,O,X,O,X
LJZOITS,X,X,O,O,X,O,O
LJZOIST,O,X,O,X,X,X,O
LJZOSTI,O,X,O,O,X,O,X
LJZOSIT,O,X,O,X,X,X,X
LJOTISZ,X,X,O,X,X,X,O
LJOTIZS,X,X,O,X,X,X,O
LJOTSIZ,X,X,O,X,X,X,X
LJOTSZI,X,X,O,O,X,O,X
LJOTZIS,X,X,O,O,X,O,X
LJOTZSI,X,X,O,O,X,O,X
LJOITSZ,X,X,O,X,X,X,O
LJOITZS,X,X,O,X,X,X,O
LJOISTZ,X,O,O,X,X,X,O
LJOISZT,X,O,O,X,X,X,O
LJOIZTS,X,X,O,X,X,X,O
LJOIZST,X,X,O,X,X,X,O
LJOSTIZ,X,O,O,X,X,X,X
LJOSTZI,X,O,O,O,X,O,X
LJOSITZ,X,O,O,X,X,X,O
LJOSIZT,O,O,O,X,X,X,O
LJOSZTI,O,X,O,O,X,O,X
LJOSZIT,O,X,O,X,X,X,X
LJOZTIS,X,X,O,O,X,O,X
LJOZTSI,O,X,O,O,X,O,X
LJOZITS,X,X,O,O,X,O,O
LJOZIST,O,X,O,X,X,X,O
LJOZSTI,O,X,O,O,X,O,X
LJOZSIT,O,X,O,X,X,X,X
LSTIJZO,O,O,O,X,O,X,X
LSTIJOZ,O,O,O,X,O,X,X
LSTIZJO,O,O,O,O,O,X,X
LSTIZOJ,O,O,O,O,O,X,X
LSTIOJZ,O,O,O,X,O,X,X
LSTIOZJ,O,O,O,O,O,X,X
LSTJIZO,O,O,O,X,O,X,X
LSTJIOZ,O,O,O,X,O,X,X
LSTJZIO,O,O,O,O,O,X,X
LSTJZOI,O,O,O,O,O,X,X
LSTJOIZ,O,O,O,X,O,X,X
LSTJOZI,O,O,O,O,O,X,X
LSTZIJO,O,O,O,O,O,X,X
LSTZIOJ,O,O,O,O,O,X,X
LSTZJIO,O,O,O,O,O,X,X
LSTZJOI,O,O,O,O,O,X,X
LSTZOIJ,O,O,O,O,O,X,X
LSTZOJI,O,O,O,O,O,X,X
LSTOIJZ,O,O,O,X,O,X,X
LSTOIZJ,O,O,O,O,O,X,X
LSTOJIZ,O,O,O,X,O,X,X
LSTOJZI,O,O,O,O,O,X,X
LSTOZIJ,O,O,O,O,O,X,X
LSTOZJI,O,O,O,O,O,X,X
LSITJZO,O,O,O,X,O,X,X
LSITJOZ,O,O,O,X,O,X,X
LSITZJO,O,O,O,O,O,X,X
LSITZOJ,O,O,O,O,O,X,X
LSITOJZ,O,O,O,X,O,X,X
LSITOZJ,O,O,O,O,O,X,X
LSIJTZO,X,X,O,X,O,X,X
LSIJTOZ,X,O,O,X,O,X,X
LSIJZTO,O,X,O,X,O,X,X
LSIJZOT,O,O,O,X,X,X,X
LSIJOTZ,X,O,O,X,X,X,O
LSIJOZT,O,O,O,X,X,X,O
LSIZTJO,O,X,O,O,O,X,X
LSIZTOJ,O,X,O,O,O,X,X
LSIZJTO,O,X,O,X,O,X,X
LSIZJOT,O,O,O,X,X,X,X
LSIZOTJ,O,X,O,O,O,X,X
LSIZOJT,O,O,O,X,X,X,X
