sequence,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFlhB3iB5oBU?mBywBzsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFXhBliB5oBU?nBTrByxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFiiB5oBFmBf?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PexAJvhF/nBGjBilBc?rBVxBTtB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF/nB5oBFmBa?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF6oBFmBXnB0?nBTrBxxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhB6oBFmB3?rBUtBTsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhBTnB0rBX?tB6tBFrB
TSIOLJZ,O,O,X,X,X,O,X,X
TSIOLZJ,O,O,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,O,X,X
TSIOJZL,O,O,X,X,X,X,O,X
TSIOZLJ,O,O,X,X,X,X,O,X
TSIOZJL,O,O,X,X,X,X,O,X
TSLIJZO,O,O,O,X,X,O,O,X
TSLIJOZ,O,O,X,X,X,O,X,X
TSLIZJO,O,O,O,X,X,O,O,X
TSLIZOJ,O,O,O,X,X,X,O,X
TSLIOJZ,O,O,X,X,X,O,X,X
TSLIOZJ,X,O,X,X,X,X,X,X
TSLJIZO,O,O,O,X,X,O,O,X
TSLJIOZ,O,O,X,X,X,O,X,X
TSLJZIO,O,O,O,O,X,X,X,X
TSLJZOI,O,O,O,O,X,X,X,X
TSLJOIZ,O,O,X,X,X,X,X,X
TSLJOZI,X,O,X,X,X,X,X,X
TSLZIJO,O,O,O,O,X,X,X,X
TSLZIOJ,O,O,O,O,X,X,X,X
TSLZJIO,O,O,O,O,X,X,X,X
TSLZJOI,O,O,O,O,X,X,X,X
TSLZOIJ,O,O,O,O,X,X,X,X
TSLZOJI,O,O,O,O,X,X,X,X
TSLOIJZ,O,O,X,X,X,X,X,X
TSLOIZJ,X,O,X,X,X,X,X,X
TSLOJIZ,O,O,X,X,X,X,X,X
TSLOJZI,X,O,X,X,X,X,X,X
TSLOZIJ,X,O,X,X,X,X,X,X
TSLOZJI,X,O,X,X,X,X,X,X
