sequence,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF0hB6nBTjBOpBll?BXrB,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF6nBTjBOpB0lBlm?BXrB,v115@ShB8CeA8AeB8AeB8BeE8JeZEJvhFzfB3hBGjBqqBls?BUrB
ITSLOJZ,X,X,O
ITSLOZJ,O,X,O
ITSJLZO,X,X,O
ITSJLOZ,X,X,O
ITSJZLO,X,X,O
ITSJZOL,X,X,X
ITSJOLZ,X,X,O
ITSJOZL,X,X,X
ITSZLJO,X,X,O
ITSZLOJ,O,X,O
ITSZJLO,X,X,O
ITSZJOL,X,X,X
ITSZOLJ,O,X,X
ITSZOJL,X,X,X
ITSOLJZ,X,X,O
ITSOLZJ,O,X,O
ITSOJLZ,X,X,O
ITSOJZL,X,X,X
ITSOZLJ,O,X,X
ITSOZJL,X,X,X
ITZLJSO,O,O,O
ITZLJOS,O,O,O
ITZLSJO,X,X,O
ITZLSOJ,O,X,O
ITZLOJS,O,O,O
ITZLOSJ,O,X,O
ITZJLSO,O,O,O
ITZJLOS,O,O,O
ITZJSLO,O,O,O
ITZJSOL,O,O,X
ITZJOLS,O,O,O
ITZJOSL,O,O,X
ITZSLJO,X,X,O
ITZSLOJ,O,X,O
ITZSJLO,X,X,O
ITZSJOL,X,X,X
ITZSOLJ,O,X,X
ITZSOJL,X,X,X
ITZOLJS,O,O,O
ITZOLSJ,O,X,O
ITZOJLS,O,O,O
ITZOJSL,O,O,X
ITZOSLJ,O,X,X
ITZOSJL,X,X,X
ITOLJSZ,O,X,O
ITOLJZS,O,O,O
ITOLSJZ,X,X,O
ITOLSZJ,O,X,O
ITOLZJS,O,O,O
ITOLZSJ,O,X,O
ITOJLSZ,O,X,O
ITOJLZS,O,O,O
ITOJSLZ,O,X,O
ITOJSZL,O,X,X
ITOJZLS,O,O,O
ITOJZSL,O,O,X
ITOSLJZ,X,X,O
ITOSLZJ,O,X,O
ITOSJLZ,X,X,O
ITOSJZL,X,X,X
ITOSZLJ,O,X,X
ITOSZJL,X,X,X
ITOZLJS,O,O,O
ITOZLSJ,O,X,O
ITOZJLS,O,O,O
ITOZJSL,O,O,X
ITOZSLJ,O,X,X
ITOZSJL,X,X,X
ILTJSZO,O,X,O
ILTJSOZ,O,X,O
ILTJZSO,O,O,O
ILTJZOS,O,O,O
ILTJOSZ,O,X,O
ILTJOZS,O,O,O
ILTSJZO,X,X,O
ILTSJOZ,X,X,O
ILTSZJO,X,X,O
ILTSZOJ,O,X,O
ILTSOJZ,X,X,O
ILTSOZJ,O,X,O
ILTZJSO,O,O,O
ILTZJOS,O,O,O
ILTZSJO,X,X,O
ILTZSOJ,O,X,O
ILTZOJS,O,O,O
ILTZOSJ,O,X,O
ILTOJSZ,O,X,O
ILTOJZS,O,O,O
ILTOSJZ,X,X,O
ILTOSZJ,O,X,O
ILTOZJS,O,O,O
ILTOZSJ,O,X,O
ILJTSZO,O,X,O
ILJTSOZ,O,X,O
ILJTZSO,O,O,O
ILJTZOS,O,O,O
ILJTOSZ,O,X,O
ILJTOZS,O,O,O
ILJSTZO,O,X,X
ILJSTOZ,O,X,X
ILJSZTO,O,O,X
ILJSZOT,O,O,X
ILJSOTZ,O,X,X
ILJSOZT,O,O,X
ILJZTSO,O,O,X
ILJZTOS,O,O,X
ILJZSTO,O,O,X
ILJZSOT,O,O,X
ILJZOTS,O,O,X
ILJZOST,O,O,X
ILJOTSZ,O,X,O
ILJOTZS,O,O,O
