sequence,v115@WhB8BeD8AeF8Jei/IvhFzgBRiBcoB3kBGnBlqB,v115@WhB8BeD8AeF8Jei/IvhFWmBxhBTjB3kB0nBlqB,v115@WhB8BeD8AeF8JeOEJvhF8kBzgBCiBxnBXoBlqB,v115@WhB8BeD8AeF8JeOEJvhFlgBCiBzkB8qBxsBXtB,v115@WhB8BeD8AeF8JeT/IvhFlgBWnBxiBypB8qBXtB,v115@WhB8BeD8AeF8JeWHJvhFxiBikBzlBXoB0kBlqB,v115@WhB8BeD8AeF8Je2EJvhFChBTjBxmB3kB0nBlqB,v115@WhB8BeD8AeF8JeKEJvhFxhBTjBFlBXmB0nBGqB,v115@WhB8BeD8AeF8JeKEJvhFTjBFlBxmBXmB0nBGqB,v115@WhB8BeD8AeF8Je2EJvhFTjB1qBxmB3kB0nBCrB
ILOSTZJ,X,X,X,X,O,X,X,X,O,X
ILOSJTZ,X,X,X,X,O,O,X,X,X,X
ILOSJZT,X,X,X,O,O,O,X,X,X,X
ILOSZTJ,X,X,X,O,O,X,X,X,X,X
ILOSZJT,X,X,X,O,O,O,X,X,X,X
ILOZTJS,X,X,O,O,O,X,X,X,O,X
ILOZTSJ,X,X,O,O,O,X,X,X,O,X
ILOZJTS,X,X,O,O,O,X,X,X,X,X
ILOZJST,X,X,X,O,O,X,X,X,X,X
ILOZSTJ,X,X,X,O,O,X,X,X,X,X
ILOZSJT,X,X,X,O,O,X,X,X,X,X
IJTLSZO,X,X,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,X,X,O,X,X,X
IJTLZSO,X,X,O,X,O,X,X,X,X,X
IJTLZOS,X,X,O,X,O,X,O,X,X,X
IJTLOSZ,X,X,X,X,X,X,O,X,X,O
IJTLOZS,X,X,O,O,O,X,O,X,X,O
IJTSLZO,O,O,X,X,X,X,X,X,X,X
IJTSLOZ,O,O,X,X,X,X,O,X,X,X
IJTSZLO,O,O,X,X,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X,X,X,X
IJTSOLZ,O,O,X,X,X,X,O,X,X,O
IJTSOZL,O,X,X,X,X,X,X,X,X,O
IJTZLSO,O,X,O,X,O,X,X,X,X,X
IJTZLOS,O,X,O,X,O,X,O,X,X,X
IJTZSLO,O,O,O,X,O,X,X,X,X,X
IJTZSOL,O,O,O,X,X,X,X,X,X,X
IJTZOLS,O,X,O,X,O,X,O,X,X,O
IJTZOSL,O,O,O,X,X,X,X,X,X,O
IJTOLSZ,X,X,X,X,X,X,O,X,X,O
IJTOLZS,X,X,O,O,X,X,O,X,X,O
IJTOSLZ,O,O,X,X,X,X,O,X,X,O
IJTOSZL,O,X,X,X,X,X,X,X,X,O
IJTOZLS,O,X,O,O,X,X,O,X,X,O
IJTOZSL,O,X,O,O,X,X,X,X,X,O
IJLTSZO,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,X,X,X,X,X
IJLTZSO,X,X,O,X,O,X,X,X,X,X
IJLTZOS,X,X,O,X,O,X,X,X,X,X
IJLTOSZ,X,X,X,X,X,X,X,X,O,X
IJLTOZS,X,X,O,O,O,X,X,X,O,X
IJLSTZO,X,O,X,X,O,X,X,X,X,X
IJLSTOZ,X,O,X,X,O,O,X,X,X,X
IJLSZTO,X,O,O,X,O,X,X,X,X,X
IJLSZOT,X,O,X,X,O,O,X,X,X,X
IJLSOTZ,X,O,X,X,O,O,X,X,X,X
IJLSOZT,X,O,X,O,O,O,X,X,X,X
IJLZTSO,X,X,O,X,O,X,X,X,X,X
IJLZTOS,X,X,O,O,O,X,X,X,X,X
IJLZSTO,X,O,O,X,O,X,X,X,X,X
IJLZSOT,X,O,X,X,O,X,X,X,X,X
IJLZOTS,X,X,O,O,O,X,X,X,X,X
IJLZOST,X,O,X,O,O,X,X,X,X,X
IJLOTSZ,X,X,X,X,X,X,X,X,O,X
IJLOTZS,X,X,X,O,O,X,X,X,O,X
IJLOSTZ,X,O,X,X,O,O,X,X,X,X
IJLOSZT,X,O,X,O,O,O,X,X,X,X
IJLOZTS,X,X,O,O,O,X,X,X,X,X
IJLOZST,X,X,X,O,O,X,X,X,X,X
IJSTLZO,O,O,X,X,O,X,X,X,X,X
IJSTLOZ,O,O,X,X,O,O,X,X,X,X
IJSTZLO,O,O,X,X,O,X,X,X,X,X
IJSTZOL,O,O,X,X,O,X,X,X,X,X
IJSTOLZ,O,O,X,X,X,O,X,X,X,X
IJSTOZL,O,X,X,X,X,X,X,X,X,X
IJSLTZO,O,O,X,X,O,X,X,X,X,X
IJSLTOZ,O,O,X,X,O,O,X,X,X,X
IJSLZTO,O,O,O,X,O,X,X,X,X,X
IJSLZOT,O,O,X,X,O,O,X,X,X,X
IJSLOTZ,X,O,X,X,O,O,X,X,X,X
IJSLOZT,X,O,X,O,O,O,X,X,X,X
IJSZTLO,O,O,O,X,O,X,X,X,X,X
IJSZTOL,O,O,O,X,O,X,X,X,X,X
IJSZLTO,O,O,O,X,O,X,X,X,X,X
IJSZLOT,O,O,X,X,O,O,X,X,X,X
IJSZOTL,O,O,X,X,O,X,X,X,X,X
IJSZOLT,O,O,X,X,O,O,X,X,X,X
IJSOTLZ,X,O,X,X,X,O,X,X,X,X
IJSOTZL,X,X,X,X,X,X,X,X,X,X
IJSOLTZ,X,O,X,X,O,O,X,X,X,X
IJSOLZT,X,O,X,O,O,O,X,X,X,X
IJSOZTL,X,O,X,O,O,X,X,X,X,X
IJSOZLT,X,O,X,O,O,O,X,X,X,X
IJZTLSO,O,X,O,X,O,X,X,X,X,X
IJZTLOS,O,X,O,O,O,X,X,X,X,X
IJZTSLO,O,O,O,X,O,X,X,X,X,X
IJZTSOL,O,O,O,X,O,X,X,X,X,X
IJZTOLS,O,X,O,O,O,X,X,X,X,X
IJZTOSL,O,O,O,O,X,X,X,X,X,X
IJZLTSO,O,X,O,X,O,X,X,X,X,X
IJZLTOS,O,X,O,O,O,X,X,X,X,X
IJZLSTO,O,O,O,X,O,X,X,X,X,X
IJZLSOT,O,O,X,X,O,X,X,X,X,X
IJZLOTS,X,X,O,O,O,X,X,X,X,X
IJZLOST,X,O,X,O,O,X,X,X,X,X
IJZSTLO,O,O,O,X,O,X,X,X,X,X
IJZSTOL,O,O,O,X,O,X,X,X,X,X
IJZSLTO,O,O,O,X,O,X,X,X,X,X
IJZSLOT,O,O,X,X,O,X,X,X,X,X
IJZSOTL,O,O,X,X,O,X,X,X,X,X
IJZSOLT,O,O,X,X,O,X,X,X,X,X
IJZOTLS,O,X,O,O,O,X,X,X,X,X
IJZOTSL,O,O,O,O,X,X,X,X,X,X
IJZOLTS,X,X,O,O,O,X,X,X,X,X
IJZOLST,X,O,X,O,O,X,X,X,X,X
IJZOSTL,O,O,X,O,X,X,X,X,X,X
IJZOSLT,O,O,X,O,X,X,X,X,X,X
IJOTLSZ,X,X,X,X,X,X,O,X,X,O
IJOTLZS,X,X,X,O,X,X,O,X,X,O
IJOTSLZ,X,O,X,X,X,X,O,X,X,O
IJOTSZL,X,X,X,X,X,X,X,X,X,O
IJOTZLS,X,X,X,O,X,X,O,X,X,O
IJOTZSL,X,X,X,O,X,X,X,X,X,O
IJOLTSZ,X,X,X,X,X,X,X,X,O,X
IJOLTZS,X,X,X,O,O,X,X,X,O,X
IJOLSTZ,X,O,X,X,X,O,X,X,X,X
IJOLSZT,X,O,X,O,O,O,X,X,X,X
IJOLZTS,X,X,O,O,O,X,X,X,X,X
IJOLZST,X,X,X,O,O,X,X,X,X,X
IJOSTLZ,X,O,X,X,X,O,X,X,X,X
IJOSTZL,X,X,X,X,X,X,X,X,X,X
IJOSLTZ,X,O,X,X,X,O,X,X,X,X
IJOSLZT,X,O,X,O,X,O,X,X,X,X
IJOSZTL,X,O,X,O,X,X,X,X,X,X
IJOSZLT,X,O,X,O,X,O,X,X,X,X
IJOZTLS,X,X,O,O,O,X,X,X,X,X
IJOZTSL,X,O,O,O,X,X,X,X,X,X
IJOZLTS,X,X,O,O,O,X,X,X,X,X
IJOZLST,X,O,X,O,O,X,X,X,X,X
IJOZSTL,X,O,X,O,X,X,X,X,X,X
IJOZSLT,X,O,X,O,X,X,X,X,X,X
ISTLJZO,O,O,X,X,O,X,X,O,X,X
ISTLJOZ,O,O,X,X,O,O,O,X,X,X
ISTLZJO,O,O,O,X,O,X,X,O,X,X
ISTLZOJ,O,O,O,X,O,X,X,O,X,X
ISTLOJZ,O,O,X,X,O,O,O,X,X,X
ISTLOZJ,O,X,O,X,O,X,X,O,X,X
ISTJLZO,O,O,X,X,O,X,X,X,X,X
ISTJLOZ,O,O,X,X,O,O,O,X,X,X
ISTJZLO,O,O,X,X,O,X,X,X,X,X
ISTJZOL,O,O,X,X,O,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,O,O,X,X,O
ISTJOZL,O,O,X,X,X,X,X,X,X,O
ISTZLJO,O,O,O,X,O,X,X,O,X,X
ISTZLOJ,O,O,O,X,O,X,X,O,X,X
ISTZJLO,O,O,O,X,O,X,X,X,X,X
ISTZJOL,O,O,O,X,O,X,X,X,X,X
ISTZOLJ,O,O,O,X,O,X,X,O,X,X
ISTZOJL,O,O,O,X,O,X,X,X,X,X
ISTOLJZ,O,O,X,X,X,O,O,X,X,X
ISTOLZJ,O,X,O,X,X,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,O,O,X,X,O
ISTOJZL,O,O,X,X,X,X,X,X,X,O
ISTOZLJ,O,X,O,X,X,X,X,X,X,X
ISTOZJL,O,X,O,X,X,X,X,X,X,X
ISLTJZO,O,O,X,X,O,X,X,O,X,X
ISLTJOZ,O,O,X,X,O,O,X,X,X,X
ISLTZJO,O,O,O,X,O,X,X,O,X,X
ISLTZOJ,O,O,O,X,O,X,X,O,X,X
ISLTOJZ,O,O,X,X,O,O,X,X,O,X
ISLTOZJ,O,X,O,X,O,X,X,O,O,X
ISLJTZO,O,O,X,X,O,X,X,O,X,X
ISLJTOZ,O,O,X,X,O,O,X,X,X,X
ISLJZTO,O,O,O,X,O,X,X,O,X,X
ISLJZOT,O,O,X,X,O,O,X,O,X,X
ISLJOTZ,X,O,X,X,O,O,X,X,X,X
ISLJOZT,X,O,X,O,O,O,X,X,X,X
ISLZTJO,O,O,O,X,O,X,X,O,X,X
ISLZTOJ,O,O,O,O,O,X,X,O,X,X
ISLZJTO,O,O,O,X,O,X,X,O,X,X
ISLZJOT,O,O,X,X,O,O,X,O,X,X
ISLZOTJ,O,O,X,O,O,X,X,O,X,X
ISLZOJT,O,O,X,O,O,O,X,O,X,X
ISLOTJZ,X,O,X,X,O,O,X,X,O,X
ISLOTZJ,X,X,X,X,O,X,X,O,O,X
ISLOJTZ,X,O,X,X,O,O,X,X,X,X
ISLOJZT,X,O,X,O,O,O,X,X,X,X
ISLOZTJ,X,X,X,O,O,X,X,O,X,X
ISLOZJT,X,X,X,O,O,O,X,O,X,X
ISJTLZO,O,O,X,X,O,X,X,X,X,X
ISJTLOZ,O,O,X,X,O,O,X,X,X,X
ISJTZLO,O,O,X,X,O,X,X,X,X,X
ISJTZOL,O,O,X,X,O,X,X,X,X,X
ISJTOLZ,O,O,X,X,X,O,X,X,X,X
ISJTOZL,O,X,X,X,X,X,X,X,X,X
ISJLTZO,O,O,X,X,O,X,X,O,X,X
ISJLTOZ,O,O,X,X,O,O,X,X,X,X
ISJLZTO,O,O,O,X,O,X,X,O,X,X
ISJLZOT,O,O,X,X,O,O,X,O,X,X
ISJLOTZ,X,O,X,X,O,O,X,X,X,X
ISJLOZT,X,O,X,O,O,O,X,X,X,X
ISJZTLO,O,O,O,X,O,X,X,X,X,X
ISJZTOL,O,O,O,X,O,X,X,X,X,X
ISJZLTO,O,O,O,X,O,X,X,O,X,X
ISJZLOT,O,O,X,X,O,O,X,O,X,X
ISJZOTL,O,O,X,X,O,X,X,X,X,X
ISJZOLT,O,O,X,X,O,O,X,O,X,X
ISJOTLZ,X,O,X,X,X,O,X,X,X,X
ISJOTZL,X,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,O,O,X,X,X,X
ISJOLZT,X,O,X,O,O,O,X,X,X,X
ISJOZTL,X,O,X,O,O,X,X,X,X,X
ISJOZLT,X,O,X,O,O,O,X,X,X,X
ISZTLJO,O,O,O,X,O,X,X,O,X,X
ISZTLOJ,O,O,O,O,O,X,X,O,X,X
ISZTJLO,O,O,O,X,O,X,X,X,X,X
ISZTJOL,O,O,O,X,O,X,X,X,X,X
ISZTOLJ,O,O,O,O,O,X,X,O,X,X
ISZTOJL,O,O,O,O,O,X,X,X,X,X
ISZLTJO,O,O,O,X,O,X,X,O,X,X
ISZLTOJ,O,O,O,O,O,X,X,O,X,X
ISZLJTO,O,O,O,X,O,X,X,O,X,X
ISZLJOT,O,O,X,X,O,O,X,O,X,X
ISZLOTJ,O,O,X,O,O,X,X,O,X,X
ISZLOJT,O,O,X,O,O,O,X,O,X,X
ISZJTLO,O,O,O,X,O,X,X,X,X,X
ISZJTOL,O,O,O,X,O,X,X,X,X,X
ISZJLTO,O,O,O,X,O,X,X,O,X,X
ISZJLOT,O,O,X,X,O,O,X,O,X,X
ISZJOTL,O,O,X,X,O,X,X,X,X,X
ISZJOLT,O,O,X,X,O,O,X,O,X,X
ISZOTLJ,O,O,X,O,O,X,X,O,X,X
ISZOTJL,O,O,X,O,O,X,X,X,X,X
ISZOLTJ,O,O,X,O,O,X,X,O,X,X
ISZOLJT,O,O,X,O,O,O,X,O,X,X
ISZOJTL,O,O,X,O,O,X,X,X,X,X
ISZOJLT,O,O,X,O,O,O,X,O,X,X
ISOTLJZ,X,O,X,X,X,O,O,X,X,X
ISOTLZJ,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,O,X,X,X,O,O,X,X,O
ISOTJZL,X,O,X,X,X,X,X,X,X,O
ISOTZLJ,X,X,X,X,X,X,X,X,X,X
ISOTZJL,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,X,O,X,X,O,O,X,X,O,X
ISOLTZJ,X,X,X,X,O,X,X,O,O,X
ISOLJTZ,X,O,X,X,O,O,X,X,X,X
ISOLJZT,X,O,X,O,O,O,X,X,X,X
ISOLZTJ,X,X,X,O,O,X,X,O,X,X
ISOLZJT,X,X,X,O,O,O,X,O,X,X
ISOJTLZ,X,O,X,X,X,O,X,X,X,X
ISOJTZL,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,X,O,X,X,O,O,X,X,X,X
ISOJLZT,X,O,X,O,O,O,X,X,X,X
ISOJZTL,X,X,X,O,O,X,X,X,X,X
ISOJZLT,X,O,X,O,O,O,X,X,X,X
ISOZTLJ,X,X,X,O,O,X,X,O,X,X
ISOZTJL,X,X,X,O,O,X,X,X,X,X
ISOZLTJ,X,X,X,O,O,X,X,O,X,X
ISOZLJT,X,X,X,O,O,O,X,O,X,X
ISOZJTL,X,X,X,O,O,X,X,X,X,X
ISOZJLT,X,X,X,O,O,O,X,O,X,X
IZTLJSO,O,O,O,X,O,X,X,X,X,X
IZTLJOS,O,O,O,O,O,X,O,X,X,X
IZTLSJO,O,O,O,X,O,X,X,O,X,X
IZTLSOJ,O,O,O,O,O,X,X,O,X,X
IZTLOJS,X,O,O,O,O,X,O,X,X,X
IZTLOSJ,O,O,O,O,O,X,X,O,X,X
IZTJLSO,O,O,O,X,O,X,X,X,X,X
IZTJLOS,O,O,O,O,O,X,O,X,X,X
IZTJSLO,O,O,O,X,O,X,X,X,X,X
IZTJSOL,O,O,O,X,O,X,X,X,X,X
IZTJOLS,O,O,O,O,O,X,O,X,X,O
IZTJOSL,O,O,O,O,X,X,X,X,X,O
IZTSLJO,O,O,O,X,O,X,X,O,X,X
IZTSLOJ,O,O,O,O,O,X,X,O,X,X
IZTSJLO,O,O,O,X,O,X,X,X,X,X
IZTSJOL,O,O,O,X,O,X,X,X,X,X
IZTSOLJ,O,O,O,O,O,X,X,O,X,X
IZTSOJL,O,O,O,O,O,X,X,X,X,X
IZTOLJS,X,O,O,O,X,X,O,X,X,X
IZTOLSJ,O,O,O,O,X,X,X,O,X,X
IZTOJLS,O,O,O,O,X,X,O,X,X,O
IZTOJSL,O,O,O,O,X,X,X,X,X,O
IZTOSLJ,O,O,O,O,X,X,X,O,X,X
IZTOSJL,O,O,O,O,X,X,X,X,X,X
IZLTJSO,O,O,O,X,O,X,X,X,X,X
IZLTJOS,O,O,O,O,O,X,X,X,X,X
IZLTSJO,O,O,O,X,O,X,X,O,X,X
IZLTSOJ,O,O,O,O,O,X,X,O,X,X
IZLTOJS,X,O,O,O,O,X,X,X,O,X
IZLTOSJ,O,O,O,O,O,X,X,O,O,X
IZLJTSO,O,X,O,X,O,X,X,X,X,X
IZLJTOS,O,X,O,O,O,X,X,X,X,X
IZLJSTO,O,O,O,X,O,X,X,O,X,X
IZLJSOT,O,O,X,X,O,X,X,O,X,X
IZLJOTS,X,X,O,O,O,X,X,X,X,X
IZLJOST,X,O,X,O,O,X,X,O,X,X
IZLSTJO,O,O,O,X,O,X,X,O,X,X
IZLSTOJ,O,O,O,O,O,X,X,O,X,X
IZLSJTO,O,O,O,X,O,X,X,O,X,X
IZLSJOT,O,O,X,X,O,X,X,O,X,X
IZLSOTJ,O,O,X,O,O,X,X,O,X,X
IZLSOJT,O,O,X,O,O,X,X,O,X,X
IZLOTJS,X,O,O,O,O,X,X,X,O,X
IZLOTSJ,X,O,O,O,O,X,X,O,O,X
IZLOJTS,X,X,O,O,O,X,X,X,X,X
IZLOJST,X,O,X,O,O,X,X,O,X,X
IZLOSTJ,X,O,X,O,O,X,X,O,X,X
IZLOSJT,X,O,X,O,O,X,X,O,X,X
IZJTLSO,O,O,O,X,O,X,X,X,X,X
IZJTLOS,O,O,O,O,O,X,X,X,X,X
IZJTSLO,O,O,O,X,O,X,X,X,X,X
IZJTSOL,O,O,O,X,O,X,X,X,X,X
IZJTOLS,O,O,O,O,O,X,X,X,X,X
IZJTOSL,O,O,O,O,X,X,X,X,X,X
IZJLTSO,O,X,O,X,O,X,X,X,X,X
IZJLTOS,O,X,O,O,O,X,X,X,X,X
IZJLSTO,O,O,O,X,O,X,X,O,X,X
IZJLSOT,O,O,X,X,O,X,X,O,X,X
IZJLOTS,X,X,O,O,O,X,X,X,X,X
IZJLOST,X,O,X,O,O,X,X,O,X,X
IZJSTLO,O,O,O,X,O,X,X,X,X,X
IZJSTOL,O,O,O,X,O,X,X,X,X,X
IZJSLTO,O,O,O,X,O,X,X,O,X,X
IZJSLOT,O,O,X,X,O,X,X,O,X,X
IZJSOTL,O,O,X,X,O,X,X,X,X,X
IZJSOLT,O,O,X,X,O,X,X,O,X,X
IZJOTLS,O,O,O,O,O,X,X,X,X,X
IZJOTSL,O,O,O,O,X,X,X,X,X,X
IZJOLTS,X,X,O,O,O,X,X,X,X,X
IZJOLST,X,O,X,O,O,X,X,O,X,X
IZJOSTL,O,O,X,O,X,X,X,X,X,X
IZJOSLT,O,O,X,O,X,X,X,O,X,X
IZSTLJO,O,O,O,X,O,X,X,O,X,X
IZSTLOJ,O,O,O,O,O,X,X,O,X,X
IZSTJLO,O,O,O,X,O,X,X,X,X,X
IZSTJOL,O,O,O,X,O,X,X,X,X,X
IZSTOLJ,O,O,O,O,O,X,X,O,X,X
IZSTOJL,O,O,O,O,O,X,X,X,X,X
IZSLTJO,O,O,O,X,O,X,X,O,X,X
IZSLTOJ,O,O,O,O,O,X,X,O,X,X
IZSLJTO,O,O,O,X,O,X,X,O,X,X
IZSLJOT,O,O,X,X,O,X,X,O,X,X
IZSLOTJ,O,O,X,O,O,X,X,O,X,X
IZSLOJT,O,O,X,O,O,X,X,O,X,X
IZSJTLO,O,O,O,X,O,X,X,X,X,X
IZSJTOL,O,O,O,X,O,X,X,X,X,X
IZSJLTO,O,O,O,X,O,X,X,O,X,X
IZSJLOT,O,O,X,X,O,X,X,O,X,X
IZSJOTL,O,O,X,X,O,X,X,X,X,X
IZSJOLT,O,O,X,X,O,X,X,O,X,X
IZSOTLJ,O,O,X,O,O,X,X,O,X,X
IZSOTJL,O,O,X,O,O,X,X,X,X,X
IZSOLTJ,O,O,X,O,O,X,X,O,X,X
IZSOLJT,O,O,X,O,O,X,X,O,X,X
IZSOJTL,O,O,X,O,O,X,X,X,X,X
IZSOJLT,O,O,X,O,O,X,X,O,X,X
IZOTLJS,X,O,O,O,X,X,O,X,X,X
IZOTLSJ,O,O,O,O,X,X,X,O,X,X
IZOTJLS,O,O,O,O,X,X,O,X,X,O
IZOTJSL,O,O,O,O,X,X,X,X,X,O
IZOTSLJ,O,O,O,O,X,X,X,O,X,X
IZOTSJL,O,O,O,O,X,X,X,X,X,X
IZOLTJS,X,O,O,O,X,X,X,X,O,X
IZOLTSJ,X,O,O,O,X,X,X,O,O,X
IZOLJTS,X,X,O,O,X,X,X,X,X,X
IZOLJST,X,O,X,O,X,X,X,O,X,X
IZOLSTJ,X,O,X,O,X,X,X,O,X,X
IZOLSJT,X,O,X,O,X,X,X,O,X,X
IZOJTLS,O,O,O,O,X,X,X,X,X,X
IZOJTSL,O,O,O,O,X,X,X,X,X,X
IZOJLTS,X,X,O,O,X,X,X,X,X,X
IZOJLST,X,O,X,O,X,X,X,O,X,X
IZOJSTL,O,O,X,O,X,X,X,X,X,X
IZOJSLT,O,O,X,O,X,X,X,O,X,X
IZOSTLJ,O,O,X,O,X,X,X,O,X,X
IZOSTJL,O,O,X,O,X,X,X,X,X,X
IZOSLTJ,O,O,X,O,X,X,X,O,X,X
IZOSLJT,O,O,X,O,X,X,X,O,X,X
IZOSJTL,O,O,X,O,X,X,X,X,X,X
IZOSJLT,O,O,X,O,X,X,X,O,X,X
IOTLJSZ,X,X,X,X,X,X,O,X,O,O
IOTLJZS,X,X,O,O,X,X,O,X,O,O
IOTLSJZ,X,X,X,X,X,X,O,X,O,X
IOTLSZJ,X,X,O,X,X,X,X,X,O,X
IOTLZJS,X,X,O,O,X,X,O,X,O,X
IOTLZSJ,X,X,O,O,X,X,X,X,O,X
IOTJLSZ,X,O,X,X,X,X,O,X,X,O
IOTJLZS,X,X,O,O,X,X,O,X,X,O
IOTJSLZ,X,O,X,X,X,X,O,X,X,O
IOTJSZL,X,O,X,X,X,X,X,X,X,O
IOTJZLS,X,X,O,O,X,X,O,X,X,O
IOTJZSL,X,O,O,O,X,X,X,X,X,O
IOTSLJZ,X,O,X,X,X,X,O,X,X,X
IOTSLZJ,X,X,O,X,X,X,X,X,X,X
IOTSJLZ,X,O,X,X,X,X,O,X,X,O
IOTSJZL,X,O,X,X,X,X,X,X,X,O
IOTSZLJ,X,X,O,X,X,X,X,X,X,X
IOTSZJL,X,X,O,X,X,X,X,X,X,X
IOTZLJS,X,X,O,O,X,X,O,X,X,X
IOTZLSJ,X,X,O,O,X,X,X,X,X,X
IOTZJLS,X,X,O,O,X,X,O,X,X,O
IOTZJSL,X,X,O,O,X,X,X,X,X,O
IOTZSLJ,X,X,O,O,X,X,X,X,X,X
IOTZSJL,X,X,O,O,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,O,X,O,O
IOLTJZS,X,X,O,O,X,X,O,X,O,O
IOLTSJZ,X,X,X,X,X,X,O,X,O,X
IOLTSZJ,X,X,O,X,X,X,X,X,O,X
IOLTZJS,X,X,O,O,X,X,O,X,O,X
IOLTZSJ,X,X,O,O,X,X,X,X,O,X
IOLJTSZ,X,X,X,X,X,X,X,X,O,X
IOLJTZS,X,X,X,O,X,X,X,X,O,X
IOLJSTZ,X,X,X,X,X,O,X,X,X,X
IOLJSZT,X,X,X,O,X,O,X,X,X,X
IOLJZTS,X,X,O,O,X,X,X,X,X,X
IOLJZST,X,X,X,O,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,O,X,X,O,X
IOLSTZJ,X,X,X,X,X,X,X,X,O,X
IOLSJTZ,X,X,X,X,X,O,X,X,X,X
IOLSJZT,X,X,X,O,X,O,X,X,X,X
IOLSZTJ,X,X,X,O,X,X,X,X,X,X
IOLSZJT,X,X,X,O,X,O,X,X,X,X
IOLZTJS,X,X,O,O,X,X,X,X,O,X
IOLZTSJ,X,X,O,O,X,X,X,X,O,X
IOLZJTS,X,X,O,O,X,X,X,X,X,X
IOLZJST,X,X,X,O,X,X,X,X,X,X
IOLZSTJ,X,X,X,O,X,X,X,X,X,X
IOLZSJT,X,X,X,O,X,X,X,X,X,X
IOJTLSZ,X,X,X,X,X,X,O,X,X,O
IOJTLZS,X,X,X,O,X,X,O,X,X,O
IOJTSLZ,X,O,X,X,X,X,O,X,X,O
IOJTSZL,X,X,X,X,X,X,X,X,X,O
IOJTZLS,X,X,X,O,X,X,O,X,X,O
IOJTZSL,X,X,X,O,X,X,X,X,X,O
IOJLTSZ,X,X,X,X,X,X,X,X,O,X
IOJLTZS,X,X,X,O,X,X,X,X,O,X
IOJLSTZ,X,O,X,X,X,O,X,X,X,X
IOJLSZT,X,O,X,O,X,O,X,X,X,X
IOJLZTS,X,X,O,O,X,X,X,X,X,X
IOJLZST,X,X,X,O,X,X,X,X,X,X
IOJSTLZ,X,O,X,X,X,O,X,X,X,X
IOJSTZL,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,O,X,X,X,O,X,X,X,X
IOJSLZT,X,O,X,O,X,O,X,X,X,X
IOJSZTL,X,X,X,O,X,X,X,X,X,X
IOJSZLT,X,O,X,O,X,O,X,X,X,X
IOJZTLS,X,X,O,O,X,X,X,X,X,X
IOJZTSL,X,X,O,O,X,X,X,X,X,X
IOJZLTS,X,X,O,O,X,X,X,X,X,X
IOJZLST,X,X,X,O,X,X,X,X,X,X
IOJZSTL,X,X,X,O,X,X,X,X,X,X
IOJZSLT,X,O,X,O,X,X,X,X,X,X
IOSTLJZ,X,O,X,X,X,O,O,X,X,X
IOSTLZJ,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,O,X,X,X,O,O,X,X,O
IOSTJZL,X,O,X,X,X,X,X,X,X,O
IOSTZLJ,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,O,X,X,X,O,X,X,O,X
IOSLTZJ,X,X,X,X,X,X,X,X,O,X
IOSLJTZ,X,O,X,X,X,O,X,X,X,X
IOSLJZT,X,O,X,O,X,O,X,X,X,X
IOSLZTJ,X,X,X,O,X,X,X,X,X,X
IOSLZJT,X,X,X,O,X,O,X,X,X,X
IOSJTLZ,X,O,X,X,X,O,X,X,X,X
IOSJTZL,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,O,X,X,X,O,X,X,X,X
IOSJLZT,X,O,X,O,X,O,X,X,X,X
IOSJZTL,X,X,X,O,X,X,X,X,X,X
IOSJZLT,X,O,X,O,X,O,X,X,X,X
IOSZTLJ,X,X,X,O,X,X,X,X,X,X
IOSZTJL,X,X,X,O,X,X,X,X,X,X
IOSZLTJ,X,X,X,O,X,X,X,X,X,X
IOSZLJT,X,X,X,O,X,O,X,X,X,X
IOSZJTL,X,X,X,O,X,X,X,X,X,X
IOSZJLT,X,X,X,O,X,O,X,X,X,X
IOZTLJS,X,X,O,O,X,X,O,X,X,X
IOZTLSJ,X,X,O,O,X,X,X,X,X,X
IOZTJLS,X,X,O,O,X,X,O,X,X,O
IOZTJSL,X,X,O,O,X,X,X,X,X,O
IOZTSLJ,X,X,O,O,X,X,X,X,X,X
IOZTSJL,X,X,O,O,X,X,X,X,X,X
IOZLTJS,X,X,O,O,X,X,X,X,O,X
IOZLTSJ,X,X,O,O,X,X,X,X,O,X
IOZLJTS,X,X,O,O,X,X,X,X,X,X
IOZLJST,X,X,X,O,X,X,X,X,X,X
IOZLSTJ,X,X,X,O,X,X,X,X,X,X
IOZLSJT,X,X,X,O,X,X,X,X,X,X
IOZJTLS,X,X,O,O,X,X,X,X,X,X
