sequence,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBunBcoBlpB3q?BSyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBCjB8sB+tBlp?B3qB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBSoBUoBlpB3q?BWyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBWoBXoB0pBlq?BSyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGjBqsB/tB0p?BlqB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGjBlpB3qBCt?BUtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBfoB6oB0pBlq?BWyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGoBlpB3qBUt?BCtB,v115@DhA8EeE8HeB8CeA8CeC8MexAJvhFWoBTkBXoBlqBSy?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Me5HJvhFTkB6tB/qBFmBOt?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Me5HJvhFTkBOtB/qBFmB6t?B0pB,v115@DhA8EeE8HeB8CeA8CeC8MexAJvhFfoB6oBTkBlqBWy?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Mex/IvhFTkBGoBXmBVvBUt?BCtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBCoB0pBlqBXt?BGtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhF5nBOtB/qBFmB6t?B0pB
JSITLZO,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X
JSITLOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSITZLO,X,O,O,X,X,X,O,O,X,X,X,O,X,O,X
JSITZOL,X,O,O,X,X,X,O,O,X,X,X,O,X,O,X
JSITOLZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSITOZL,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSILTZO,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X
JSILTOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSILZTO,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSILZOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSILOTZ,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
JSILOZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIZTLO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSIZTOL,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSIZLTO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSIZLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIZOTL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
JSIZOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JSIOTLZ,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
JSIOTZL,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
JSIOLTZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
JSIOLZT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JSIOZTL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JSIOZLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JSLTIZO,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X
JSLTIOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLTZIO,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X
JSLTZOI,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X
JSLTOIZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLTOZI,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLITZO,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X
JSLITOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLIZTO,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLIZOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLIOTZ,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLIOZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZTIO,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLZTOI,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLZITO,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLZIOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZOTI,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JSLZOIT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLOTIZ,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLOTZI,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLOITZ,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLOIZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLOZTI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLOZIT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZTILO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZTIOL,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZTLIO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZTLOI,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZTOIL,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZTOLI,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZITLO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZITOL,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZILTO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZILOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZIOTL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
JSZIOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JSZLTIO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZLTOI,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZLITO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZLIOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZLOTI,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JSZLOIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZOTIL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JSZOTLI,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JSZOITL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
JSZOILT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JSZOLTI,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JSZOLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOTILZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSOTIZL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSOTLIZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSOTLZI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSOTZIL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSOTZLI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSOITLZ,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
JSOITZL,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
JSOILTZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
JSOILZT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JSOIZTL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JSOIZLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JSOLTIZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JSOLTZI,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JSOLITZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JSOLIZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOLZTI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSOLZIT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOZTIL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOZTLI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOZITL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOZILT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOZLTI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSOZLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTILSO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTILOS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTISLO,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JZTISOL,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JZTIOLS,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O
JZTIOSL,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O
JZTLISO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTLIOS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTLSIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTLSOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTLOIS,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JZTLOSI,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JZTSILO,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JZTSIOL,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JZTSLIO,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JZTSLOI,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JZTSOIL,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
JZTSOLI,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
JZTOILS,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O
JZTOISL,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O
JZTOLIS,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JZTOLSI,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JZTOSIL,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
JZTOSLI,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
JZITLSO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZITLOS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZITSLO,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JZITSOL,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JZITOLS,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O
JZITOSL,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O
JZILTSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILSTO,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JZILSOT,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JZILOTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZILOST,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
JZISTLO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZISTOL,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZISLTO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZISLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISOTL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
JZISOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JZIOTLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JZIOTSL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JZIOLTS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O
JZIOLST,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
JZIOSTL,X,O,X,X,X,X,O,O,X,X,O,X,X,X,O
JZIOSLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JZLTISO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTIOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTSIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JZLTOSI,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X
JZLITSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLITOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLISTO,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JZLISOT,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLIOTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZLIOST,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
JZLSTIO,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JZLSTOI,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JZLSITO,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JZLSIOT,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLSOTI,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLSOIT,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLOTIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZLOIST,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
JZLOSTI,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLOSIT,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JZSTILO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZSTIOL,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZSTLIO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZSTLOI,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZSTOIL,X,O,O,X,X,X,O,O,X,X,X,O,O,X,X
JZSTOLI,X,O,O,X,X,X,O,O,X,X,X,O,O,X,X
JZSITLO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZSITOL,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZSILTO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZSILOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSIOTL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
JZSIOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JZSLTIO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZSLTOI,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZSLITO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZSLIOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSLOTI,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JZSLOIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSOTIL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JZSOTLI,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JZSOITL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
JZSOILT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JZSOLTI,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JZSOLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOTILS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
JZOTISL,X,O,X,X,X,X,O,O,X,X,X,X,O,X,O
JZOTLIS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOTLSI,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JZOTSIL,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
JZOTSLI,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
JZOITLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JZOITSL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JZOILTS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O
JZOILST,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
JZOISTL,X,O,X,X,X,X,O,O,X,X,O,X,X,X,O
JZOISLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JZOLTIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLTSI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZOLIST,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
JZOLSTI,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JZOLSIT,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JZOSTIL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JZOSTLI,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JZOSITL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
JZOSILT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JZOSLTI,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JZOSLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTILSZ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
JOTILZS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTISLZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
JOTISZL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JOTIZLS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
JOTIZSL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JOTLISZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTLIZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTLSZI,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTLZIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTLZSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JOTSIZL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTSLIZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JOTSLZI,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JOTSZIL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTSZLI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTZILS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOTZISL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTZLIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOTZLSI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOTZSIL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTZSLI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOITLSZ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
JOITLZS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOITSLZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
JOITSZL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JOITZLS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
JOITZSL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JOILTSZ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
JOILTZS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
JOILSTZ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
JOILSZT,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOILZTS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOILZST,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOISTLZ,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
JOISTZL,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
JOISLTZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
JOISLZT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JOISZTL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOISZLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOIZTLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOIZTSL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JOIZLTS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOIZLST,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JOIZSTL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JOIZSLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JOLTISZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLTIZS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLTSIZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLTSZI,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLTZIS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLTZSI,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLITSZ,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
JOLITZS,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
JOLISTZ,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
JOLISZT,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLIZTS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLIZST,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLSTIZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JOLSTZI,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JOLSITZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JOLSIZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOLSZIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLZTSI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLZITS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZIST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSTI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLZSIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTILZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JOSTIZL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JOSTLIZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JOSTLZI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JOSTZIL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JOSTZLI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JOSITLZ,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
JOSITZL,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
JOSILTZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
JOSILZT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JOSIZTL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOSIZLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOSLTIZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JOSLTZI,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JOSLITZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JOSLIZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSLZTI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JOSLZIT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSZTIL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSZTLI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSZITL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSZILT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSZLTI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOSZLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZTILS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOZTISL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JOZTLIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTLSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTSIL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZTSLI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZITLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOZITSL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JOZILTS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOZILST,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JOZISTL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JOZISLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JOZLTIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLTSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLITS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOZLIST,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JOZLSTI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZLSIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZSTIL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZSTLI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZSITL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JOZSILT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JOZSLTI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOZSLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STILJZO,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X
STILJOZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
STILZJO,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
STILZOJ,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
STILOJZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
STILOZJ,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X
STIJLZO,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X
STIJLOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
STIJZLO,X,O,O,X,X,X,O,O,X,X,X,O,X,O,X
STIJZOL,X,O,O,X,X,X,O,O,X,X,X,O,X,O,X
STIJOLZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
STIJOZL,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
STIZLJO,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
STIZLOJ,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
STIZJLO,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
