sequence,v115@FhB8GeC8IeA8CeA8AeE8Jex/IvhFylBfnBOpB0nBzp?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeT/IvhFxhBllBcrB2sBip?BXqB,v115@FhB8GeC8IeA8CeA8AeE8Jei/IvhFUhBFiBzkBfrB2u?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Jem/IvhFUhBFiBTkBfrByu?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Jei/IvhFXiBcpBeqBzlBRs?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeyEJvhFUhBFiBfrBOpBzp?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Je2EJvhFUhBFiBfrBaqBTp?BRxB,v115@FhB8GeC8IeA8CeA8AeE8JeZEJvhFFgBXhBqpBzmB0n?BmqB,v115@FhB8GeC8IeA8CeA8AeE8JeZFJvhFzgBfnB6pBOpB0n?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JemAJvhFfnBxkBTkB0nByu?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeZFJvhFzgBfnBOpB6pB0n?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeOEJvhF8kBXiBzlByuBRs?BFrB,v115@FhB8GeC8IeA8CeA8AeE8Jex/IvhFXhBikBzmB0nB1u?BmqB
ITJOLZS,X,X,O,X,X,X,X,X,X,X,X,X,O
ITJOSLZ,O,X,O,X,X,O,O,X,O,O,O,X,O
ITJOSZL,X,X,O,X,O,O,O,X,X,O,O,X,X
ITJOZLS,X,X,O,X,O,X,X,X,X,X,X,X,X
ITJOZSL,X,X,O,X,O,X,O,X,X,X,O,X,X
ITSLJZO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITSLJOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
ITSLZJO,X,X,O,O,X,X,X,X,X,O,X,O,X
ITSLZOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ITSLOJZ,O,X,X,O,X,O,O,X,O,O,O,X,X
ITSLOZJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ITSJLZO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITSJLOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
ITSJZLO,O,X,O,O,O,X,X,X,X,O,X,X,X
ITSJZOL,X,X,O,X,O,O,O,X,X,O,O,X,X
ITSJOLZ,O,X,O,X,X,O,O,X,O,O,O,X,X
ITSJOZL,X,X,O,X,O,O,O,X,X,O,O,X,X
ITSZLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
ITSZLOJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ITSZJLO,X,X,O,O,O,X,X,X,X,O,X,X,X
ITSZJOL,X,X,O,X,O,O,O,X,X,O,O,X,X
ITSZOLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ITSZOJL,X,X,O,X,X,O,O,X,X,X,O,X,X
ITSOLJZ,O,X,X,O,X,O,O,X,O,X,O,X,X
ITSOLZJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ITSOJLZ,O,X,O,X,X,O,O,X,O,O,O,X,X
ITSOJZL,O,X,O,X,O,O,O,X,X,O,O,X,X
ITSOZLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ITSOZJL,X,X,O,X,X,O,O,X,X,X,O,X,X
ITZLJSO,X,X,X,O,O,X,X,X,X,X,X,X,X
ITZLJOS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITZLSJO,X,X,X,O,O,X,X,X,X,X,X,X,X
ITZLSOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
ITZLOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
ITZLOSJ,X,X,X,O,X,X,X,X,O,X,X,X,X
ITZJLSO,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZJLOS,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZJSLO,X,X,O,X,O,X,X,X,X,O,X,X,X
ITZJSOL,X,X,O,X,O,X,X,X,X,O,O,X,X
ITZJOLS,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZJOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
ITZSLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
ITZSLOJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ITZSJLO,X,X,O,O,O,X,X,X,X,O,X,X,X
ITZSJOL,X,X,O,X,O,O,O,X,X,O,O,X,X
ITZSOLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ITZSOJL,X,X,O,X,X,O,O,X,X,X,O,X,X
ITZOLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
ITZOLSJ,X,X,X,X,X,O,X,X,O,X,X,X,X
ITZOJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
ITZOJSL,X,X,X,X,X,X,O,X,X,X,O,X,X
ITZOSLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
ITZOSJL,X,X,X,X,X,O,O,X,X,X,O,X,X
ITOLJSZ,O,X,X,O,X,O,O,O,O,X,O,X,O
ITOLJZS,O,X,X,O,X,X,X,O,X,X,X,X,O
ITOLSJZ,O,X,X,O,X,O,O,O,O,X,O,X,O
ITOLSZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
ITOLZJS,X,X,X,O,X,X,X,O,X,X,X,O,O
ITOLZSJ,X,X,X,O,X,O,X,O,O,X,X,O,O
ITOJLSZ,O,X,O,X,X,O,O,X,O,X,O,X,O
ITOJLZS,O,X,O,X,X,X,X,X,X,X,X,X,O
ITOJSLZ,O,X,O,X,X,O,O,X,O,O,O,X,O
ITOJSZL,O,X,O,X,O,O,O,X,X,O,O,X,X
ITOJZLS,O,X,O,X,O,X,X,X,X,X,X,X,X
ITOJZSL,O,X,O,X,O,X,O,X,X,X,O,X,X
ITOSLJZ,O,X,X,O,X,O,O,O,O,X,O,X,O
ITOSLZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
ITOSJLZ,O,X,O,X,X,O,O,X,O,O,O,X,O
ITOSJZL,O,X,O,X,O,O,O,X,X,O,O,X,X
ITOSZLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ITOSZJL,X,X,O,X,X,O,O,X,X,X,O,X,X
ITOZLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,X,X,X,X,O,X,X,O,X,X,X,X
ITOZJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOZJSL,X,X,X,X,X,X,O,X,X,X,O,X,X
ITOZSLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
ITOZSJL,X,X,X,X,X,O,O,X,X,X,O,X,X
ILTJSZO,X,X,O,O,X,X,X,X,X,O,X,X,X
ILTJSOZ,X,X,O,O,X,X,X,O,O,O,O,X,X
ILTJZSO,X,O,O,O,X,X,X,X,X,O,X,X,X
ILTJZOS,X,O,O,X,X,X,X,O,X,X,X,X,X
ILTJOSZ,X,X,O,O,X,X,X,O,O,O,O,X,X
ILTJOZS,X,O,O,O,X,X,X,O,X,X,X,X,X
ILTSJZO,X,X,O,O,X,X,X,X,X,O,X,X,X
ILTSJOZ,X,X,O,O,X,X,X,X,O,O,O,X,X
ILTSZJO,X,X,O,O,X,X,X,X,X,O,X,O,X
ILTSZOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ILTSOJZ,X,X,X,O,X,O,O,O,O,O,O,X,X
ILTSOZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
ILTZJSO,X,X,X,O,X,X,X,X,X,O,X,O,X
ILTZJOS,X,X,X,X,X,X,X,X,X,X,X,O,X
ILTZSJO,X,X,X,O,X,X,X,X,X,O,X,O,X
ILTZSOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
ILTZOJS,X,X,X,O,X,X,X,O,X,X,X,O,X
ILTZOSJ,X,X,X,O,X,X,X,O,O,X,X,O,X
ILTOJSZ,X,X,X,O,X,O,O,O,O,O,O,X,X
ILTOJZS,X,O,X,O,X,X,X,O,X,X,X,X,X
ILTOSJZ,X,X,X,O,X,O,O,O,O,O,O,X,X
ILTOSZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
ILTOZJS,X,X,X,O,X,X,X,O,X,X,X,O,X
ILTOZSJ,X,X,X,O,X,O,X,O,O,X,X,O,X
ILJTSZO,X,X,O,O,X,X,X,X,X,O,X,X,X
ILJTSOZ,X,X,O,O,X,X,X,O,O,O,O,X,X
ILJTZSO,X,O,O,O,X,X,X,X,X,O,X,X,X
ILJTZOS,X,O,O,X,X,X,X,O,X,X,X,X,X
ILJTOSZ,X,X,O,O,X,X,X,O,O,O,O,X,X
ILJTOZS,X,O,O,O,X,X,X,O,X,X,X,X,X
ILJSTZO,X,X,O,O,X,X,X,X,X,O,X,X,X
ILJSTOZ,X,X,O,O,X,X,X,O,O,O,O,X,X
ILJSZTO,X,O,O,O,O,X,X,X,X,O,X,O,X
ILJSZOT,X,O,O,O,O,X,X,X,X,O,X,O,X
ILJSOTZ,X,X,O,O,X,X,X,O,X,O,X,X,X
ILJSOZT,X,O,O,O,O,X,X,O,X,O,X,O,X
ILJZTSO,X,O,O,O,O,X,X,X,X,O,X,O,X
ILJZTOS,X,O,O,X,O,X,X,O,X,X,X,O,X
ILJZSTO,X,O,O,O,O,X,X,X,X,O,X,O,X
ILJZSOT,X,O,O,O,O,X,X,X,X,O,X,O,X
ILJZOTS,X,O,O,X,O,X,X,O,X,X,X,O,X
ILJZOST,X,O,O,X,O,X,X,O,X,X,X,O,X
ILJOTSZ,X,X,O,O,X,X,X,O,X,O,X,X,X
ILJOTZS,X,O,O,O,X,X,X,O,X,X,X,X,X
ILJOSTZ,X,X,O,O,X,X,X,O,X,O,X,X,X
ILJOSZT,X,O,O,O,O,X,X,O,X,O,X,O,X
ILJOZTS,X,O,O,O,O,X,X,O,X,X,X,O,X
ILJOZST,X,O,O,O,O,X,X,O,X,X,X,O,X
ILSTJZO,X,X,O,O,X,X,X,X,X,O,X,X,X
ILSTJOZ,X,X,O,O,X,X,X,X,O,O,O,X,X
ILSTZJO,X,X,O,O,X,X,X,X,X,O,X,O,X
ILSTZOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ILSTOJZ,X,X,X,O,X,O,O,O,O,O,O,X,X
ILSTOZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
ILSJTZO,X,X,O,O,X,X,X,X,X,O,X,X,X
ILSJTOZ,X,X,O,O,X,X,X,O,O,O,O,X,X
ILSJZTO,X,O,O,O,O,X,X,X,X,O,X,O,X
ILSJZOT,X,O,O,O,O,X,X,X,X,O,X,O,X
ILSJOTZ,X,X,O,O,X,X,X,O,X,O,X,X,X
ILSJOZT,X,O,O,O,O,X,X,O,X,O,X,O,X
ILSZTJO,X,X,O,O,O,X,X,X,X,X,X,O,X
ILSZTOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ILSZJTO,X,X,O,O,O,X,X,X,X,O,X,O,X
ILSZJOT,X,X,O,O,O,X,X,X,X,O,X,O,X
ILSZOTJ,X,X,X,O,X,O,O,X,X,X,X,O,X
ILSZOJT,X,X,X,O,O,O,O,X,X,X,X,O,X
ILSOTJZ,X,X,X,O,X,O,O,O,O,X,X,X,X
ILSOTZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
ILSOJTZ,X,X,X,O,X,O,O,O,X,O,X,X,X
ILSOJZT,X,O,X,O,O,O,O,O,X,O,X,O,X
ILSOZTJ,X,X,X,O,X,O,O,O,X,X,X,O,X
ILSOZJT,X,X,X,O,X,O,O,O,X,X,X,O,X
ILZTJSO,X,O,X,O,O,X,X,X,X,O,X,O,X
ILZTJOS,X,O,X,X,O,X,X,X,X,X,X,O,X
ILZTSJO,X,X,X,O,O,X,X,X,X,O,X,O,X
ILZTSOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
ILZTOJS,X,O,X,O,X,X,X,O,X,X,X,O,X
ILZTOSJ,X,X,X,O,X,X,X,O,O,X,X,O,X
ILZJTSO,X,O,X,O,O,X,X,X,X,O,X,O,X
ILZJTOS,X,O,X,X,O,X,X,O,X,X,X,O,X
ILZJSTO,X,O,X,O,O,X,X,X,X,O,X,O,X
ILZJSOT,X,O,X,O,O,X,X,X,X,O,X,O,X
ILZJOTS,X,O,X,X,O,X,X,O,X,X,X,O,X
ILZJOST,X,O,X,X,O,X,X,O,X,X,X,O,X
ILZSTJO,X,X,X,O,O,X,X,X,X,X,X,O,X
ILZSTOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
ILZSJTO,X,X,X,O,O,X,X,X,X,O,X,O,X
ILZSJOT,X,X,X,O,O,X,X,X,X,O,X,O,X
ILZSOTJ,X,X,X,O,X,X,X,X,X,X,X,O,X
ILZSOJT,X,X,X,O,O,X,X,X,X,X,X,O,X
ILZOTJS,X,O,X,O,X,X,X,O,X,X,X,O,X
ILZOTSJ,X,X,X,O,X,X,X,O,X,X,X,O,X
ILZOJTS,X,O,X,O,O,X,X,O,X,X,X,O,X
ILZOJST,X,O,X,O,O,X,X,O,X,X,X,O,X
ILZOSTJ,X,X,X,O,X,X,X,O,X,X,X,O,X
ILZOSJT,X,X,X,O,O,X,X,O,X,X,X,O,X
ILOTJSZ,X,X,X,O,X,O,O,O,O,O,X,X,X
ILOTJZS,X,O,X,O,X,X,X,O,X,X,X,X,X
ILOTSJZ,X,X,X,O,X,O,O,O,O,O,X,X,X
ILOTSZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
ILOTZJS,X,X,X,O,X,X,X,O,X,X,X,O,X
ILOTZSJ,X,X,X,O,X,O,X,O,O,X,X,O,X
ILOJTSZ,X,X,X,O,X,O,O,O,X,O,X,X,X
ILOJTZS,X,O,X,O,X,X,X,O,X,X,X,X,X
ILOJSTZ,X,X,X,O,X,O,O,O,X,O,X,X,X
ILOJSZT,X,O,X,O,O,O,O,O,X,O,X,O,X
ILOJZTS,X,O,X,O,O,X,X,O,X,X,X,O,X
ILOJZST,X,O,X,O,O,X,X,O,X,X,X,O,X
ILOSTJZ,X,X,X,O,X,O,O,O,O,X,X,X,X
ILOSTZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
ILOSJTZ,X,X,X,O,X,O,O,O,X,O,X,X,X
ILOSJZT,X,O,X,O,O,O,O,O,X,O,X,O,X
ILOSZTJ,X,X,X,O,X,O,O,O,X,X,X,O,X
ILOSZJT,X,X,X,O,X,O,O,O,X,X,X,O,X
ILOZTJS,X,O,X,O,X,X,X,O,X,X,X,O,X
ILOZTSJ,X,X,X,O,X,O,X,O,X,X,X,O,X
ILOZJTS,X,O,X,O,X,X,X,O,X,X,X,O,X
ILOZJST,X,O,X,O,X,X,X,O,X,X,X,O,X
ILOZSTJ,X,X,X,O,X,O,X,O,X,X,X,O,X
ILOZSJT,X,X,X,O,X,O,X,O,X,X,X,O,X
IJTLSZO,O,X,O,O,X,X,X,X,X,X,X,X,X
IJTLSOZ,O,X,O,O,X,X,X,X,O,X,O,X,O
IJTLZSO,O,O,O,O,X,X,X,X,X,X,X,X,X
IJTLZOS,X,O,O,X,X,X,X,X,X,X,X,X,O
IJTLOSZ,O,X,O,O,X,X,X,X,O,X,O,X,O
IJTLOZS,X,O,O,O,X,X,X,X,X,X,X,X,O
IJTSLZO,O,X,O,O,X,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,O,O,X,X,X,X,O,X,O,X,X
IJTSZLO,O,X,O,O,O,X,X,X,X,X,X,X,X
IJTSZOL,X,X,O,X,O,O,O,X,X,X,O,X,X
IJTSOLZ,O,X,O,X,X,O,O,X,O,X,O,X,X
IJTSOZL,X,X,O,X,O,O,O,X,X,X,O,X,X
IJTZLSO,O,O,O,X,O,X,X,X,X,X,X,X,X
IJTZLOS,X,O,O,X,O,X,X,X,X,X,X,X,X
IJTZSLO,O,O,O,X,O,X,X,X,X,X,X,X,X
IJTZSOL,X,X,O,X,O,X,X,X,X,X,O,X,X
IJTZOLS,X,O,O,X,O,X,X,X,X,X,X,X,X
IJTZOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
IJTOLSZ,O,X,O,X,X,O,O,X,O,X,O,X,O
IJTOLZS,X,X,O,X,X,X,X,X,X,X,X,X,O
IJTOSLZ,O,X,O,X,X,O,O,X,O,X,O,X,O
IJTOSZL,X,X,O,X,O,O,O,X,X,X,O,X,X
IJTOZLS,X,X,O,X,O,X,X,X,X,X,X,X,X
IJTOZSL,X,X,O,X,O,X,O,X,X,X,O,X,X
IJLTSZO,O,X,O,O,X,X,X,X,X,X,X,X,X
IJLTSOZ,O,X,O,O,X,X,X,O,O,X,O,X,X
IJLTZSO,O,O,O,O,X,X,X,X,X,X,X,X,X
IJLTZOS,X,O,O,X,X,X,X,O,X,X,X,X,X
IJLTOSZ,O,X,O,O,X,X,X,O,O,X,O,X,X
IJLTOZS,X,O,O,O,X,X,X,O,X,X,X,X,X
IJLSTZO,X,X,O,O,X,X,X,X,X,X,X,X,X
IJLSTOZ,X,X,O,O,X,X,X,O,O,X,O,X,X
IJLSZTO,X,O,O,O,O,X,X,X,X,X,X,O,X
IJLSZOT,X,O,O,O,O,X,X,X,X,X,X,O,X
IJLSOTZ,X,X,O,O,X,X,X,O,X,X,X,X,X
IJLSOZT,X,O,O,O,O,X,X,O,X,X,X,O,X
IJLZTSO,X,O,O,O,O,X,X,X,X,X,X,O,X
IJLZTOS,X,O,O,X,O,X,X,O,X,X,X,O,X
IJLZSTO,X,O,O,O,O,X,X,X,X,X,X,O,X
IJLZSOT,X,O,O,O,O,X,X,X,X,X,X,O,X
IJLZOTS,X,O,O,X,O,X,X,O,X,X,X,O,X
IJLZOST,X,O,O,X,O,X,X,O,X,X,X,O,X
IJLOTSZ,X,X,O,O,X,X,X,O,X,X,X,X,X
IJLOTZS,X,O,O,O,X,X,X,O,X,X,X,X,X
IJLOSTZ,X,X,O,O,X,X,X,O,X,X,X,X,X
IJLOSZT,X,O,O,O,O,X,X,O,X,X,X,O,X
IJLOZTS,X,O,O,O,O,X,X,O,X,X,X,O,X
IJLOZST,X,O,O,O,O,X,X,O,X,X,X,O,X
IJSTLZO,O,X,O,O,X,X,X,X,X,X,X,X,X
IJSTLOZ,O,X,O,O,X,X,X,X,O,X,O,X,X
IJSTZLO,O,X,O,O,O,X,X,X,X,X,X,X,X
IJSTZOL,X,X,O,X,O,O,O,X,X,X,O,X,X
IJSTOLZ,O,X,O,X,X,O,O,X,O,X,O,X,X
IJSTOZL,X,X,O,X,O,O,O,X,X,X,O,X,X
IJSLTZO,X,X,O,O,X,X,X,X,X,X,X,X,X
IJSLTOZ,X,X,O,O,X,X,X,X,O,X,O,X,X
IJSLZTO,X,O,O,O,O,X,X,X,X,X,X,O,X
IJSLZOT,X,O,O,O,O,X,X,X,X,X,X,O,X
IJSLOTZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IJSLOZT,X,O,O,O,O,X,X,X,X,X,X,O,X
IJSZTLO,X,O,O,O,O,X,X,X,X,X,X,X,X
IJSZTOL,X,X,O,X,O,O,O,X,X,X,O,X,X
IJSZLTO,X,O,O,O,O,X,X,X,X,X,X,X,X
IJSZLOT,X,O,O,O,O,X,X,X,X,X,X,X,X
IJSZOTL,X,X,O,X,O,O,O,X,X,X,X,X,X
IJSZOLT,X,X,O,X,O,O,O,X,X,X,X,X,X
IJSOTLZ,X,X,O,X,X,O,O,X,X,X,O,X,X
IJSOTZL,X,X,O,X,O,O,O,X,X,X,O,X,X
IJSOLTZ,X,X,O,X,X,O,O,X,X,X,X,X,X
IJSOLZT,X,X,O,X,O,O,O,X,X,X,X,O,X
IJSOZTL,X,X,O,X,O,O,O,X,X,X,X,X,X
IJSOZLT,X,X,O,X,O,O,O,X,X,X,X,X,X
IJZTLSO,O,O,O,X,O,X,X,X,X,X,X,X,X
IJZTLOS,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZTSLO,O,O,O,X,O,X,X,X,X,X,X,X,X
IJZTSOL,X,X,O,X,O,X,X,X,X,X,O,X,X
IJZTOLS,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZTOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
IJZLTSO,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZLTOS,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZLSTO,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZLSOT,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZLOTS,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZLOST,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZSTLO,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZSTOL,X,X,O,X,O,X,X,X,X,X,O,X,X
IJZSLTO,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZSLOT,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZSOTL,X,X,O,X,O,X,X,X,X,X,X,X,X
IJZSOLT,X,X,O,X,O,X,X,X,X,X,X,X,X
IJZOTLS,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZOTSL,X,X,O,X,O,X,X,X,X,X,X,X,X
IJZOLTS,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZOLST,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZOSTL,X,X,O,X,O,X,X,X,X,X,X,X,X
IJZOSLT,X,X,O,X,O,X,X,X,X,X,X,X,X
IJOTLSZ,O,X,O,X,X,O,O,X,X,X,O,X,O
IJOTLZS,X,X,O,X,X,X,X,X,X,X,X,X,O
IJOTSLZ,O,X,O,X,X,O,O,X,X,X,O,X,O
IJOTSZL,X,X,O,X,O,O,O,X,X,X,O,X,X
IJOTZLS,X,X,O,X,O,X,X,X,X,X,X,X,X
IJOTZSL,X,X,O,X,O,X,O,X,X,X,O,X,X
IJOLTSZ,X,X,O,X,X,O,O,O,X,X,X,X,X
IJOLTZS,X,O,O,X,X,X,X,O,X,X,X,X,X
IJOLSTZ,X,X,O,X,X,O,O,O,X,X,X,X,X
IJOLSZT,X,O,O,X,O,O,O,O,X,X,X,O,X
IJOLZTS,X,O,O,X,O,X,X,O,X,X,X,O,X
IJOLZST,X,O,O,X,O,X,X,O,X,X,X,O,X
IJOSTLZ,X,X,O,X,X,O,O,X,X,X,O,X,O
IJOSTZL,X,X,O,X,O,O,O,X,X,X,O,X,X
IJOSLTZ,X,X,O,X,X,O,O,O,X,X,X,X,X
IJOSLZT,X,X,O,X,O,O,O,O,X,X,X,O,X
IJOSZTL,X,X,O,X,O,O,O,X,X,X,X,X,X
IJOSZLT,X,X,O,X,O,O,O,X,X,X,X,X,X
IJOZTLS,X,O,O,X,O,X,X,X,X,X,X,X,X
IJOZTSL,X,X,O,X,O,X,O,X,X,X,X,X,X
IJOZLTS,X,O,O,X,O,X,X,X,X,X,X,X,X
IJOZLST,X,O,O,X,O,X,X,X,X,X,X,X,X
IJOZSTL,X,X,O,X,O,X,O,X,X,X,X,X,X
IJOZSLT,X,X,O,X,O,X,O,X,X,X,X,X,X
ISTLJZO,O,X,O,O,X,X,X,X,X,O,X,X,X
ISTLJOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
ISTLZJO,X,X,O,O,X,X,X,X,X,O,X,O,X
ISTLZOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ISTLOJZ,O,X,X,O,X,O,O,X,O,O,O,X,X
ISTLOZJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ISTJLZO,O,X,O,O,X,X,X,X,X,O,X,X,X
ISTJLOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
ISTJZLO,O,X,O,O,O,X,X,X,X,O,X,X,X
ISTJZOL,X,X,O,X,O,O,O,X,X,O,O,X,X
ISTJOLZ,O,X,O,X,X,O,O,X,O,O,O,X,X
ISTJOZL,X,X,O,X,O,O,O,X,X,O,O,X,X
ISTZLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISTZLOJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ISTZJLO,X,X,O,O,O,X,X,X,X,O,X,X,X
ISTZJOL,X,X,O,X,O,O,O,X,X,O,O,X,X
ISTZOLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ISTZOJL,X,X,O,X,X,O,O,X,X,X,O,X,X
ISTOLJZ,O,X,X,O,X,O,O,X,O,X,O,X,X
ISTOLZJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ISTOJLZ,O,X,O,X,X,O,O,X,O,O,O,X,X
ISTOJZL,O,X,O,X,O,O,O,X,X,O,O,X,X
ISTOZLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ISTOZJL,X,X,O,X,X,O,O,X,X,X,O,X,X
ISLTJZO,X,X,O,O,X,X,X,X,X,O,X,X,X
ISLTJOZ,X,X,O,O,X,X,X,X,O,O,O,X,X
ISLTZJO,X,X,O,O,X,X,X,X,X,O,X,O,X
ISLTZOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ISLTOJZ,X,X,X,O,X,O,O,O,O,O,O,X,X
ISLTOZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
ISLJTZO,X,X,O,O,X,X,X,X,X,O,X,X,X
ISLJTOZ,X,X,O,O,X,X,X,O,O,O,O,X,X
ISLJZTO,X,O,O,O,O,X,X,X,X,O,X,O,X
ISLJZOT,X,O,O,O,O,X,X,X,X,O,X,O,X
ISLJOTZ,X,X,O,O,X,X,X,O,X,O,X,X,X
ISLJOZT,X,O,O,O,O,X,X,O,X,O,X,O,X
ISLZTJO,X,X,O,O,O,X,X,X,X,X,X,O,X
ISLZTOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ISLZJTO,X,X,O,O,O,X,X,X,X,O,X,O,X
ISLZJOT,X,X,O,O,O,X,X,X,X,O,X,O,X
ISLZOTJ,X,X,X,O,X,O,O,X,X,X,X,O,X
ISLZOJT,X,X,X,O,O,O,O,X,X,X,X,O,X
ISLOTJZ,X,X,X,O,X,O,O,O,O,X,X,X,X
ISLOTZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
ISLOJTZ,X,X,X,O,X,O,O,O,X,O,X,X,X
ISLOJZT,X,O,X,O,O,O,O,O,X,O,X,O,X
ISLOZTJ,X,X,X,O,X,O,O,O,X,X,X,O,X
ISLOZJT,X,X,X,O,X,O,O,O,X,X,X,O,X
ISJTLZO,O,X,O,O,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,O,O,X,X,X,X,O,X,O,X,X
ISJTZLO,O,X,O,O,O,X,X,X,X,X,X,X,X
ISJTZOL,X,X,O,X,O,O,O,X,X,X,O,X,X
ISJTOLZ,O,X,O,X,X,O,O,X,O,X,O,X,X
ISJTOZL,X,X,O,X,O,O,O,X,X,X,O,X,X
ISJLTZO,X,X,O,O,X,X,X,X,X,X,X,X,X
ISJLTOZ,X,X,O,O,X,X,X,X,O,X,O,X,X
ISJLZTO,X,O,O,O,O,X,X,X,X,X,X,O,X
ISJLZOT,X,O,O,O,O,X,X,X,X,X,X,O,X
ISJLOTZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISJLOZT,X,O,O,O,O,X,X,X,X,X,X,O,X
ISJZTLO,X,O,O,O,O,X,X,X,X,X,X,X,X
ISJZTOL,X,X,O,X,O,O,O,X,X,X,O,X,X
ISJZLTO,X,O,O,O,O,X,X,X,X,X,X,X,X
ISJZLOT,X,O,O,O,O,X,X,X,X,X,X,X,X
ISJZOTL,X,X,O,X,O,O,O,X,X,X,X,X,X
ISJZOLT,X,X,O,X,O,O,O,X,X,X,X,X,X
ISJOTLZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ISJOTZL,X,X,O,X,O,O,O,X,X,X,O,X,X
ISJOLTZ,X,X,O,X,X,O,O,X,X,X,X,X,X
ISJOLZT,X,X,O,X,O,O,O,X,X,X,X,O,X
ISJOZTL,X,X,O,X,O,O,O,X,X,X,X,X,X
